,FLARE_TYPE,COINCIDENCE,MEANJZD_1,MEANJZD_2,MEANJZD_3,MEANJZD_4,MEANJZD_5,MEANJZD_6,MEANJZD_7,MEANJZD_8,MEANJZD_9,MEANJZD_10,MEANJZD_11,MEANJZD_12,MEANJZD_13,MEANJZD_14,MEANJZD_15,MEANJZD_16,MEANJZD_17,MEANJZD_18,MEANJZD_19,MEANJZD_20,MEANJZD_21,MEANJZD_22,MEANJZD_23,MEANJZD_24,MEANJZD_25,MEANJZD_26,MEANJZD_27,MEANJZD_28,MEANJZD_29,MEANJZD_30,MEANJZD_31,MEANJZD_32,MEANJZD_33,MEANJZD_34,MEANJZD_35,MEANJZD_36,MEANJZD_37,MEANJZD_38,MEANJZD_39,MEANJZD_40,MEANJZD_41,MEANJZD_42,MEANJZD_43,MEANJZD_44,MEANJZD_45,MEANJZD_46,MEANJZD_47,MEANJZD_48,MEANJZD_49,MEANJZD_50
10,X,False,-0.0080651,0.0166,0.044873,0.05679,0.054917,0.0019969,-0.0084533,0.038668,0.002197,-0.020192,-0.014327,0.011804,0.0055784,0.039048,0.076973,-0.052945,-0.059031,-0.020678,-0.010891,-0.041555,-0.049286,-0.074545,-0.12671,-0.13331,-0.1733,-0.14749,-0.20586,-0.12687,-0.20489,-0.18633,-0.22912,-0.24952,-0.24419,-0.21686,-0.28812,-0.31237,0.13857,0.13521,-0.30038,-0.36841,-0.27793,-0.28664,-0.2873,-0.34622,-0.32176,-0.29155,-0.30356,-0.1696,-0.27511,-0.29915
11,X,False,-0.071349,-0.067366,-0.045246,-0.033926,-0.045122,-0.045574,-0.10488,-0.088682,-0.069164,-0.055075,-0.028677,-0.048938,-0.075736,-0.033396,-0.062393,-0.057547,-0.089092,-0.062,-0.10381,-0.049194,-0.11402,-0.12419,-0.11567,-0.10625,-0.054861,-0.087,-0.10815,-0.11862,-0.06899,-0.075534,-0.068565,-0.12333,-0.036175,-0.088553,-0.018385,-0.022137,-0.044692,-0.029959,-0.02764,-0.066167,-0.062878,-0.045701,-0.068687,-0.048484,-0.015727,-0.037932,-0.061776,-0.13661,-0.11335,-0.06996
12,X,False,-0.040821,-0.040536,-0.052127,-0.12343,-0.057423,-0.059937,-0.067877,-0.077554,-0.057499,-0.036251,-0.0060787,0.041524,0.011845,-0.00031258,-0.014969,0.023771,0.030495,0.057618,0.0164,0.01787,0.035495,-0.0041608,-0.0053531,0.027303,0.010258,-0.065176,-0.040895,-0.035201,0.033951,-0.043251,-0.06841,-0.03616,-0.031594,-0.068674,-0.020392,-0.052708,0.0047602,0.0089545,-0.027367,-0.0078061,0.0017887,-0.012945,0.013483,-0.049516,-0.040745,-0.013843,-0.081818,0.022159,0.0066081,-0.012622
13,X,False,0.23124,0.19962,0.13257,0.16393,0.15869,0.15265,0.14565,0.13804,0.095986,0.0772,0.096006,0.068889,0.1123,0.15532,0.085199,0.12229,0.11891,0.20977,0.15051,0.16403,0.11908,0.16334,0.16503,0.20024,0.13945,0.24096,0.186,0.204,0.19764,0.23248,0.1986,0.20154,0.21496,0.198,0.22534,0.24961,0.2658,0.24182,0.24418,0.22111,0.23569,0.20166,0.23128,0.18902,0.19102,0.21926,0.18099,0.19753,0.15495,0.12137
14,X,False,-0.14417,-0.21463,-0.18271,-0.15557,-0.20316,-0.15774,-0.17459,-0.20582,-0.21451,-0.22873,-0.24107,-0.22292,-0.19753,-0.25422,-0.18663,-0.21196,-0.21774,-0.2344,-0.2209,-0.20076,-0.17175,-0.18505,-0.21664,-0.23775,-0.18036,-0.20341,-0.23164,-0.21166,-0.2202,-0.1595,-0.24046,-0.13811,-0.16257,-0.1631,-0.15534,-0.15888,-0.11998,-0.11361,-0.13986,-0.038958,-0.12057,-0.1221,-0.12888,-0.093817,-0.080467,-0.070366,-0.089902,-0.066262,-0.08047,-0.12228
15,X,False,0.18994,0.20608,0.19843,0.1938,0.19995,0.17046,0.19537,0.19073,0.21186,0.1365,0.1719,0.19625,0.2069,0.20491,0.21621,0.19884,0.19195,0.19601,0.2229,0.21018,0.2226,0.22041,0.19653,0.18586,0.18821,0.19666,0.18714,0.19676,0.18463,0.16472,0.15137,0.11347,0.17387,0.15868,0.13872,0.15356,0.16074,0.17339,0.16235,0.22015,0.18192,0.20361,0.23645,0.2256,0.20158,0.22801,0.1914,0.18583,0.21295,0.22036
16,X,False,-0.080412,-0.065701,-0.05682,-0.03249,-0.15779,-0.1534,-0.022619,-0.1438,-0.02964,-0.1695,-0.20647,-0.073904,-0.012877,-0.073423,-0.16264,-0.053553,0.00025584,-0.12147,-0.12356,-0.037528,0.12316,0.049027,-0.10279,-0.025358,-0.12088,-0.20359,-0.23972,-0.31846,-0.23303,-0.34458,-0.18966,-0.20718,-0.33482,-0.17385,-0.056669,-0.1771,-0.094266,-0.092943,-0.10618,-0.19947,-0.17179,-0.21839,-0.25188,-0.35198,-0.38148,-0.21759,-0.31316,-0.29665,-0.25833,-0.24416
17,X,False,-0.066379,-0.057506,-0.05837,-0.070427,-0.036716,-0.068891,-0.104,-0.0349,-0.031451,-0.0098586,-0.087757,-0.060251,-0.11392,-0.075097,-0.08633,-0.15961,-0.14825,-0.21983,-0.34658,-0.31237,-0.40542,-0.33854,-0.21311,-0.26402,-0.17952,-0.10813,-0.20153,-0.23052,-0.21872,-0.091595,-0.059202,-0.058517,-0.087078,-0.12745,-0.20157,-0.14704,-0.058223,-0.10024,-0.15445,-0.12061,-0.18328,-0.23114,-0.20718,-0.25347,-0.23173,-0.31196,-0.35186,-0.28995,-0.34971,-0.33396
18,X,False,0.47934,0.5576,0.6568,0.60961,0.4609,0.45168,0.44165,0.37677,0.3715,0.089552,0.18856,0.27343,0.39926,0.3732,0.51876,0.14988,0.44153,0.51257,0.56659,0.28125,0.4515,0.45759,0.38624,0.59356,0.34419,0.41341,0.58883,0.43112,0.51458,0.3902,0.36687,0.4111,0.40164,0.53999,0.35944,0.47544,0.40605,0.53249,0.44966,0.30593,0.38582,0.37206,0.43061,0.47368,0.39342,0.36193,0.32615,0.37065,0.34629,0.43439
19,X,False,-0.034101,-0.085632,-0.07016,-0.061271,-0.057418,-0.022381,-0.037742,-0.036803,-0.0062619,-0.025456,-0.035737,-0.040104,-0.043066,-0.015805,-0.010335,-0.029783,-0.0086417,-0.021808,-0.0061853,-0.0094178,-0.010536,-0.061046,-0.00077461,-0.0073396,-0.045683,-0.019932,-0.015891,0.0082186,-0.029097,-0.017199,-0.024281,-0.035833,-0.019792,-0.034613,-0.050479,-0.032291,-0.018602,-0.017478,-0.042137,-0.011959,-0.02355,-0.021816,-0.00066774,-0.017877,-0.014176,-0.012731,-0.021472,0.0051572,-0.048672,-0.004224
20,X,True,0.066035,0.052623,0.059599,0.079203,0.06265,0.060347,0.052164,0.043123,0.024953,0.0078262,0.028874,0.0078338,0.022716,0.013335,0.023492,0.024884,0.030265,0.024482,0.041105,0.023345,0.039751,0.05897,0.054661,0.057661,0.052768,0.068973,0.031362,0.012875,0.014537,0.021415,0.0094911,0.0027217,0.0017662,-0.0075301,0.0081604,-0.025096,-0.036817,-0.018885,-0.023987,-0.022079,-0.021605,-0.019753,-0.029757,-0.022821,-0.013727,-0.01598,-0.041847,-0.03227,-0.036824,-0.018615
21,X,False,0.017255,0.02227,0.0038469,0.018414,0.050084,0.02439,0.0077247,0.050562,0.033122,-0.016582,-0.033473,-0.045625,-0.044603,-0.10918,-0.089248,-0.068803,-0.09018,-0.023757,-0.073326,-0.045971,-0.014258,-0.087789,-0.051315,-0.042204,-0.058955,0.0085888,0.0006062,-0.030914,-0.056593,-0.026311,0.015975,0.027159,-0.017911,0.0078271,-0.015619,-0.014726,-0.010062,0.011705,-0.018174,-0.025896,0.0056398,-0.058098,-0.078665,-0.014574,-0.036376,-0.084468,-0.040257,-0.0034717,-0.053031,-0.084717
22,X,True,0.12352,0.15816,0.26462,0.16581,0.20941,0.20576,0.20364,0.24125,0.18536,0.1455,0.16988,0.17292,0.16011,0.18455,0.13135,0.086559,0.1404,0.16596,0.13291,0.24104,0.22135,0.26347,0.30397,0.24171,0.27864,0.27335,0.27473,0.25325,0.21984,0.23126,0.27139,0.22994,0.11813,0.16181,0.20766,0.14787,0.22947,0.083118,0.070553,0.082556,0.087724,0.1629,0.16579,0.099603,0.19893,0.21716,0.10577,0.10133,0.2117,0.1954
23,X,False,0.24106,0.1152,-0.24006,-0.51174,-0.51778,-0.41688,0.041553,0.14283,0.1469,0.11129,0.12044,0.12179,0.22265,0.20329,0.52706,0.36801,0.52938,0.62857,0.67693,0.37725,0.35114,0.073428,0.52118,0.58531,0.53571,0.62894,0.55257,0.55512,0.55666,0.52113,0.49541,0.43942,0.35746,0.39321,0.48513,0.55034,0.56315,0.39079,0.31104,0.31264,0.28837,0.31072,0.39135,0.48321,0.44082,0.49887,0.3458,0.47214,0.44065,0.37794
24,X,True,0.10294,0.023538,-0.00097538,-0.04241,0.061468,0.0066911,0.089318,0.088612,0.089011,0.063438,0.054014,0.060363,0.029878,0.071824,0.12661,0.11535,0.038478,0.073222,-0.0043441,0.029507,0.022344,0.017627,0.014844,0.019501,-0.0014334,0.018429,0.017155,0.04614,-0.044282,-0.069614,-0.081594,-0.0050986,-0.0031493,-0.049895,-0.0019722,-0.037572,-0.046476,0.0025259,-0.080133,-0.079169,-0.11041,-0.12627,-0.25297,-0.16529,-0.12001,-0.19126,-0.091542,-0.11497,-0.14161,-0.075251
25,X,True,0.12661,0.11535,0.038478,0.073222,-0.0043441,0.029507,0.022344,0.017627,0.014844,0.019501,-0.0014334,0.018429,0.017155,0.04614,-0.044282,-0.069614,-0.081594,-0.0050986,-0.0031493,-0.049895,-0.0019722,-0.037572,-0.046476,0.0025259,-0.080133,-0.079169,-0.11041,-0.12627,-0.25297,-0.16529,-0.12001,-0.19126,-0.091542,-0.11497,-0.14161,-0.075251,-0.076728,-0.10449,-0.089646,-0.25344,-0.074717,-0.099954,-0.197,-0.13766,-0.22742,-0.18144,-0.282,-0.22965,-0.17383,-0.18708
26,X,False,-0.2529,-0.29507,-0.406,-0.42005,-0.35676,-0.18942,-0.21776,-0.33786,-0.077164,-0.19525,-0.18083,-0.25889,-0.2239,-0.23645,-0.13441,-0.2382,-0.29139,-0.28456,-0.33376,-0.41305,-0.34418,-0.33547,-0.17821,-0.45366,-0.25379,-0.39149,-0.15476,-0.13211,-0.13366,-0.26055,-0.043786,-0.14428,-0.13105,-0.20721,-0.21007,-0.31053,-0.094487,-0.10082,-0.23308,-0.3975,-0.24612,-0.57257,-0.38228,-0.21742,-0.50775,-0.49322,-0.48169,-0.57002,-0.59628,-0.73897
27,M,False,-0.13928,-0.12102,-0.20535,-0.09096,-0.16092,-0.15269,-0.107,-0.12717,-0.085642,-0.21272,-0.11218,-0.15,-0.13291,-0.40174,-0.22082,-0.17005,-0.12251,-0.18786,-0.2135,-0.20275,-0.23251,-0.14951,0.087359,-0.25801,-0.068223,-0.16278,0.066432,0.067001,-0.049297,-0.053346,0.064941,0.058778,0.027984,0.0046713,0.087207,0.092341,0.1534,-0.010928,-0.0741,0.21127,0.060393,-0.081612,0.092314,0.26272,0.21337,0.19375,0.008574,0.1895,0.15281,0.22598
28,M,False,-0.36592,-0.74456,-0.83645,-0.61915,-0.503,-0.64891,-0.59689,-0.51658,-0.37667,-0.44262,-0.16737,-0.46,-0.20058,-0.52103,-0.29548,-0.27684,0.071988,-0.11309,-0.058413,-0.14409,-0.32327,-0.21659,-0.10978,-0.26472,-0.0010643,-0.05892,0.01855,-0.18969,0.16627,0.17392,0.17857,0.18194,0.2103,-0.055865,0.23997,-0.0068269,0.15085,0.10899,-0.16934,0.038482,-0.041093,0.19556,-0.049971,-0.013048,-0.05083,0.051812,-0.14197,-0.1675,0.034178,-0.017012
29,M,False,-0.21485,-0.11105,-0.14628,-0.1472,-0.12457,-0.14593,-0.082339,-0.085854,-0.080621,-0.10075,-0.15362,-0.20234,-0.13446,-0.1388,-0.17088,-0.24577,-0.20278,-0.21058,-0.17018,-0.1968,-0.19041,-0.065702,-0.13406,-0.15255,-0.10476,-0.068405,-0.089745,-0.095296,-0.040269,-0.068977,-0.0611,0.055453,0.017528,0.034145,-0.028627,0.047398,-0.048252,0.062431,0.041609,0.02344,0.037782,0.068428,0.0090841,-0.038966,-0.033654,0.044132,0.027418,-0.0040351,-0.015218,-0.033948
30,M,True,0.35191,0.73354,0.0077968,0.68104,0.81349,0.69114,0.66685,0.73087,0.74849,0.68383,0.85334,0.6943,0.84815,0.8185,0.72497,0.81636,0.90589,0.85582,0.82311,0.86956,0.69693,0.93896,0.67246,0.83265,0.76515,0.62181,0.53457,0.51144,0.55606,0.57583,0.51721,0.45603,0.51881,0.54609,0.44445,0.60526,0.48732,0.64106,0.59811,0.66623,0.88286,0.66248,0.70922,0.73852,0.77672,0.79193,0.73368,0.61348,0.77699,0.77685
31,M,False,0.21497,0.11834,0.04523,0.13078,0.078544,0.13891,0.18277,0.13696,0.11729,0.082682,0.090673,0.14005,0.14251,0.16017,0.1498,0.17497,0.15676,0.18507,0.15288,0.14632,0.12463,0.11533,0.12442,0.053408,0.11542,0.081894,0.093088,0.049486,0.04515,0.094771,0.013117,0.10246,0.03977,0.064108,0.060583,0.10325,0.12146,0.053698,0.088007,0.070642,0.078585,0.075659,0.092159,0.084445,0.082323,0.076938,0.13345,0.13442,0.15465,0.10754
32,M,False,-0.30999,-0.3372,-0.30464,-0.31557,-0.22995,-0.31251,-0.28622,-0.27635,-0.30454,-0.14937,-0.19584,-0.31045,-0.27307,-0.2624,-0.31414,-0.32097,-0.34108,-0.27029,-0.32107,-0.3226,-0.32834,-0.24929,-0.29573,-0.33274,-0.28993,-0.26064,-0.28692,-0.24577,-0.31603,-0.26513,-0.35692,-0.43176,-0.38547,-0.35776,-0.35075,-0.33614,-0.26718,-0.32119,-0.31381,-0.27984,-0.24254,-0.27068,-0.31763,-0.4136,-0.36564,-0.45433,-0.4354,-0.3778,-0.38195,-0.33375
33,M,False,-0.35787,-0.19513,-0.32859,-0.26615,-0.19823,-0.096122,-0.19112,-0.20662,-0.2099,-0.2015,-0.23632,-0.14937,-0.24081,-0.26462,-0.21379,-0.29641,-0.21377,-0.23103,-0.30193,-0.16181,-0.22292,-0.21305,-0.18193,-0.26804,-0.23032,-0.19526,-0.27125,-0.27606,-0.37522,-0.30494,-0.27251,-0.3267,-0.2557,-0.10734,-0.21103,-0.14767,-0.24074,-0.20299,-0.17083,-0.18749,-0.11587,-0.28664,-0.32296,-0.29654,-0.34364,-0.28861,-0.19131,-0.31339,-0.43683,-0.43775
34,M,True,0.22749,0.25255,0.29752,0.11,0.079731,0.12627,-0.01505,0.16439,-0.024663,-0.058774,0.0028471,0.021394,0.20586,0.089317,0.089277,-0.0033651,0.025285,0.16257,0.30396,0.010858,0.094336,0.043606,0.13117,0.11911,-0.025856,-0.020181,0.11632,0.094158,0.18596,0.19004,0.062765,0.16568,0.25183,0.19559,-0.015115,0.069214,0.14634,0.33768,0.19721,0.11185,0.059194,-0.0074264,0.18086,0.20358,0.10705,0.22994,0.12996,0.11773,0.045741,0.11935
35,M,True,0.013596,0.078197,0.022146,-0.0017799,0.053234,0.013152,0.021643,0.025872,0.061696,0.051499,0.058758,0.013052,0.028688,-0.010335,0.089889,0.092262,0.091462,0.080576,0.058386,0.063342,0.06151,0.12783,0.10953,0.11229,0.12346,0.1606,0.080953,0.17558,0.093832,0.19951,0.13512,0.11114,0.10192,0.12002,0.15873,0.09635,0.085855,0.11431,0.1833,0.11528,0.15871,0.11,0.11124,0.10488,0.13981,0.18104,0.14171,0.14921,0.1414,0.1156
36,M,False,-0.27733,-0.23795,-0.22426,-0.20306,-0.24586,-0.25837,-0.21355,-0.26596,-0.31586,-0.21149,-0.24545,-0.32712,-0.39479,-0.32789,-0.25706,-0.32533,-0.29707,-0.25654,-0.30606,-0.2655,-0.2195,-0.30697,-0.20568,-0.30493,-0.23045,-0.25572,-0.24665,-0.20806,-0.16938,-0.20788,-0.11736,-0.058478,-0.12131,-0.18614,-0.17368,-0.15073,-0.09093,-0.18074,-0.21116,-0.20073,-0.14326,-0.1228,-0.15988,-0.2658,-0.18009,-0.22847,-0.12993,-0.12486,-0.12006,-0.13572
37,M,False,0.20009,0.19108,0.17003,0.18543,0.14537,0.15002,0.14139,0.16681,0.13634,0.21042,0.18322,0.22715,0.1999,0.191,0.1737,0.18869,0.2081,0.17726,0.18066,0.17031,0.21676,0.2046,0.22283,0.19473,0.20314,0.23814,0.25694,0.22732,0.22556,0.22297,0.26013,0.23688,0.24005,0.30084,0.2799,0.23655,0.24466,0.25279,0.29462,0.27721,0.25638,0.33786,0.27805,0.2912,0.29615,0.27031,0.27118,0.27659,0.27147,0.22563
38,M,True,-0.090532,-0.10605,-0.10652,-0.092416,-0.027129,-0.040506,-0.092549,-0.054265,-0.10278,-0.089544,-0.078998,-0.094254,-0.088385,-0.046504,-0.023156,-0.018995,0.005152,-0.028279,-0.070775,-0.05068,-0.033057,-0.074287,-0.062213,-0.046059,-0.063992,0.025182,0.02165,-0.051569,-0.038352,-0.12827,-0.057615,-0.020031,-0.14919,-0.12281,-0.080103,-0.065132,-0.12099,-0.080045,-0.11703,-0.084073,-0.057179,0.0068267,-0.010158,-0.026288,0.0076572,0.013379,0.016131,0.020731,0.063412,0.062821
39,M,True,0.44324,0.34465,0.39161,0.34702,0.41112,0.42076,0.24296,0.29408,0.43627,0.31869,0.3705,0.43979,0.35017,0.39573,0.44614,0.41386,0.34608,0.33357,0.36929,0.42551,0.37371,0.29728,0.40748,0.43573,0.52179,0.39512,0.5142,0.40848,0.29788,0.40625,0.35585,0.35776,0.36541,0.33682,0.35228,0.31202,0.30827,0.32438,0.34236,0.36017,0.34452,0.35402,0.28157,0.30861,0.35992,0.46059,0.3092,0.42933,0.30162,0.33437
40,M,False,-0.018995,0.005152,-0.028279,-0.070775,-0.05068,-0.033057,-0.074287,-0.062213,-0.046059,-0.063992,0.025182,0.02165,-0.051569,-0.038352,-0.12827,-0.057615,-0.020031,-0.14919,-0.12281,-0.080103,-0.065132,-0.12099,-0.080045,-0.11703,-0.084073,-0.057179,0.0068267,-0.010158,-0.026288,0.0076572,0.013379,0.016131,0.020731,0.063412,0.062821,-0.012427,-0.013353,0.021307,0.0097142,-0.036749,-0.0023733,-0.0034589,-0.006246,0.013198,0.030643,0.053362,0.066504,0.00051185,0.049586,0.039603
41,M,False,0.36929,0.42551,0.37371,0.29728,0.40748,0.43573,0.52179,0.39512,0.5142,0.40848,0.29788,0.40625,0.35585,0.35776,0.36541,0.33682,0.35228,0.31202,0.30827,0.32438,0.34236,0.36017,0.34452,0.35402,0.28157,0.30861,0.35992,0.46059,0.3092,0.42933,0.30162,0.33437,0.38815,0.41752,0.38443,0.49185,0.43945,0.38964,0.29875,0.36101,0.25779,0.30104,0.36191,0.28313,0.18453,0.27828,0.15488,0.17239,0.12875,0.068349
42,M,False,0.49185,0.43945,0.38964,0.29875,0.36101,0.25779,0.30104,0.36191,0.28313,0.18453,0.27828,0.15488,0.17239,0.12875,0.068349,0.027036,-0.17132,0.0705,0.049852,0.079995,0.079417,-0.023994,0.10878,0.16862,0.17896,0.11682,0.23726,0.16353,0.14695,0.035114,-0.02198,0.04474,0.1044,0.12386,0.044384,0.074747,0.050043,0.052744,-0.0016097,0.010229,-0.029121,0.024732,-0.016672,0.029964,0.067937,0.12111,-0.049863,0.090284,0.034569,0.00043391
43,M,False,-0.15971,-0.17853,-0.16718,-0.17831,-0.24411,-0.21877,-0.19493,-0.18743,-0.15389,-0.091297,-0.1866,-0.13429,-0.14208,-0.18371,-0.19072,-0.12843,-0.16031,-0.14262,-0.14275,-0.092903,-0.086636,-0.072048,-0.07465,-0.11542,-0.030272,-0.056907,-0.076006,-0.076659,-0.059203,-0.076642,-0.052944,-0.13366,-0.12973,-0.13146,-0.15071,-0.1786,-0.13268,-0.15157,-0.15493,-0.14752,-0.1574,-0.161,-0.085402,-0.098024,-0.10426,-0.088703,-0.1282,-0.10801,-0.071816,-0.06119
44,M,True,-0.035897,-0.040305,-0.01738,-0.020016,0.028326,0.021244,0.045621,0.03148,0.025018,0.053054,0.028834,0.056667,0.073082,0.03788,0.082957,0.069058,0.052544,0.036903,0.028504,0.0073888,-0.011742,-0.015001,0.0074687,-0.020595,-0.022002,-0.011165,0.0045703,0.04574,0.070664,0.066855,0.026766,0.070157,0.052821,0.091114,0.036443,0.018179,0.0028236,0.040547,0.015942,0.0085267,0.017091,0.03903,0.016518,0.019356,0.028581,0.011261,-0.035832,-0.0086212,0.013499,-0.057344
45,M,True,-0.19164,-0.17553,-0.13665,-0.15652,-0.22605,-0.16495,-0.14005,-0.18966,-0.17563,-0.22408,-0.32757,-0.29823,-0.30158,-0.19566,-0.2629,-0.27243,-0.27483,-0.2909,-0.28616,-0.24488,-0.22917,-0.25265,-0.22454,-0.21392,-0.17749,-0.17997,-0.16965,-0.15435,-0.11393,-0.17981,-0.22643,-0.22366,-0.16604,-0.17882,-0.14721,-0.10997,-0.14547,-0.19101,-0.18387,-0.18572,-0.12903,-0.15211,-0.18096,-0.22083,-0.13262,-0.11976,-0.088783,-0.10404,-0.07348,-0.049676
