,FLARE_TYPE,COINCIDENCE,MEANGBZ_1,MEANGBZ_2,MEANGBZ_3,MEANGBZ_4,MEANGBZ_5,MEANGBZ_6,MEANGBZ_7,MEANGBZ_8,MEANGBZ_9,MEANGBZ_10,MEANGBZ_11,MEANGBZ_12,MEANGBZ_13,MEANGBZ_14,MEANGBZ_15,MEANGBZ_16,MEANGBZ_17,MEANGBZ_18,MEANGBZ_19,MEANGBZ_20,MEANGBZ_21,MEANGBZ_22,MEANGBZ_23,MEANGBZ_24,MEANGBZ_25,MEANGBZ_26,MEANGBZ_27,MEANGBZ_28,MEANGBZ_29,MEANGBZ_30,MEANGBZ_31,MEANGBZ_32,MEANGBZ_33,MEANGBZ_34,MEANGBZ_35,MEANGBZ_36,MEANGBZ_37,MEANGBZ_38,MEANGBZ_39,MEANGBZ_40,MEANGBZ_41,MEANGBZ_42,MEANGBZ_43,MEANGBZ_44,MEANGBZ_45,MEANGBZ_46,MEANGBZ_47,MEANGBZ_48,MEANGBZ_49,MEANGBZ_50,MEANGBZ_51,MEANGBZ_52,MEANGBZ_53,MEANGBZ_54,MEANGBZ_55,MEANGBZ_56,MEANGBZ_57,MEANGBZ_58,MEANGBZ_59,MEANGBZ_60,MEANGBZ_61,MEANGBZ_62,MEANGBZ_63,MEANGBZ_64,MEANGBZ_65,MEANGBZ_66,MEANGBZ_67,MEANGBZ_68,MEANGBZ_69,MEANGBZ_70,MEANGBZ_71,MEANGBZ_72,MEANGBZ_73,MEANGBZ_74,MEANGBZ_75,MEANGBZ_76,MEANGBZ_77,MEANGBZ_78,MEANGBZ_79,MEANGBZ_80,MEANGBZ_81,MEANGBZ_82,MEANGBZ_83,MEANGBZ_84,MEANGBZ_85,MEANGBZ_86,MEANGBZ_87,MEANGBZ_88,MEANGBZ_89,MEANGBZ_90,MEANGBZ_91,MEANGBZ_92,MEANGBZ_93,MEANGBZ_94,MEANGBZ_95,MEANGBZ_96,MEANGBZ_97,MEANGBZ_98,MEANGBZ_99,MEANGBZ_100,MEANGBZ_101,MEANGBZ_102,MEANGBZ_103,MEANGBZ_104,MEANGBZ_105
958,B,False,89.243,89.519,88.254,88.523,88.02,88.107,88.586,88.721,88.727,88.932,88.535,88.126,88.045,88.521,87.718,87.931,88.003,87.459,86.982,86.299,86.129,85.318,85.141,84.69,84.766,84.301,83.484,83.581,82.545,82.047,81.699,81.915,82.623,82.285,82.134,81.96,81.531,81.351,82.154,81.652,81.52,82.257,82.503,82.399,82.555,83.617,82.676,83.521,84.438,84.577,84.287,84.038,82.894,82.814,82.622,82.662,82.1,82.258,81.502,80.853,80.386,80.328,80.583,81.487,80.81,80.98,81.356,81.364,81.248,81.448,81.429,81.598,81.691,81.949,82.447,82.83,82.601,82.426,82.561,83.163,82.41,82.292,81.78,81.288,80.095,79.849,80.613,80.451,79.054,78.736,79.59,79.257,78.983,79.132,78.007,78.52,78.406,79.167,79.244,80.028,79.664,79.921,79.608,80.797,80.163
959,B,False,135.27,114.44,117.1,134.24,129.29,125.45,131.94,128.84,125.06,114.26,117.53,121.99,109.02,123.27,133.03,121.46,120.34,124.62,119.05,123.29,125.09,132.5,129.67,138.27,145.58,146.78,138.41,130.41,148.93,145.18,125.9,136.11,139.26,137.64,146.41,142.26,143.5,143.5,143.0,140.87,139.14,148.07,148.32,151.59,149.37,149.98,151.65,149.62,152.22,147.6,146.39,146.37,137.56,127.18,121.3,124.12,134.09,135.61,139.58,135.12,135.42,129.89,128.84,148.61,139.17,143.47,141.34,136.36,137.24,138.66,135.22,137.36,135.43,137.71,134.98,137.53,139.96,134.96,139.41,145.79,142.38,145.77,148.01,139.07,145.44,145.36,143.45,138.3,134.71,128.58,129.42,131.63,132.49,133.07,132.13,126.63,126.23,127.18,129.58,130.42,130.6,126.34,126.01,131.32,133.31
960,B,False,87.605,88.22,89.068,88.012,87.411,88.207,88.323,88.071,89.114,89.805,89.073,89.755,90.545,89.421,90.078,89.592,88.004,87.316,87.321,87.301,86.89,87.004,86.345,85.987,86.179,86.531,86.304,87.565,87.297,87.497,87.516,88.062,88.368,88.739,88.133,89.307,89.207,88.871,89.265,88.783,87.978,87.277,87.22,87.231,88.284,88.315,87.94,88.409,88.449,87.654,88.796,88.809,88.096,88.251,88.545,87.291,87.993,87.963,87.294,87.608,86.82,87.379,87.785,88.122,87.949,87.942,88.096,86.947,86.56,86.79,85.325,85.423,84.609,83.43,83.431,83.587,83.66,84.274,84.311,82.47,82.177,82.769,84.032,83.391,82.744,82.29,83.178,82.919,83.418,84.072,84.855,85.588,85.395,85.625,84.662,84.472,84.328,84.477,84.059,83.313,82.72,83.185,82.601,81.975,81.152
961,B,False,56.517,57.012,58.836,56.836,56.233,54.468,55.465,52.877,55.268,54.558,56.181,52.702,54.888,52.13,51.528,52.271,51.488,51.464,51.63,51.744,52.074,52.406,52.398,51.942,52.42,53.246,50.911,52.43,51.061,50.3,50.212,51.189,50.62,49.638,48.609,48.155,48.693,48.49,48.018,48.395,48.372,49.181,48.868,48.455,49.131,47.468,46.673,47.629,47.754,48.012,48.272,47.704,47.901,47.102,48.394,49.431,47.059,47.191,47.055,50.4,47.792,49.228,50.877,52.102,48.372,55.625,51.093,56.897,62.39,59.466,58.936,62.486,64.713,63.383,58.6,63.643,64.403,59.257,61.796,58.323,66.667,59.617,65.914,74.957,78.496,62.808,74.013,82.471,83.782,125.39,110.6,171.27,97.883,120.43,131.85,113.68,135.74,148.83,204.73,227.55,117.87,51.219,72.756,152.43,108.61
962,B,False,105.42,107.59,107.18,107.31,108.19,108.97,108.29,108.11,110.4,110.64,112.29,113.62,113.65,114.12,113.55,114.55,115.06,114.26,114.23,112.31,113.49,115.14,114.15,113.84,113.45,111.04,108.66,109.74,109.3,107.91,109.62,107.5,105.69,103.45,103.62,103.04,102.55,105.2,106.62,107.1,107.1,107.89,106.16,110.14,110.93,113.0,112.93,113.49,116.91,114.37,114.43,115.64,117.32,113.85,113.91,115.94,116.06,115.19,116.8,114.74,113.36,115.63,113.83,114.56,114.25,114.5,114.67,116.35,113.96,115.9,114.1,113.99,115.58,116.26,116.18,116.55,117.49,114.03,115.04,114.07,115.18,113.99,112.31,112.85,111.41,109.77,108.94,110.41,109.88,110.6,110.79,110.61,111.13,111.34,112.85,113.2,115.38,116.04,118.14,119.22,119.53,118.72,120.2,120.01,122.54
963,B,False,125.63,125.74,126.38,125.23,127.85,128.46,126.5,125.32,124.05,125.25,124.52,122.85,124.13,122.35,121.8,120.24,118.69,118.29,119.49,117.82,117.55,116.97,117.06,117.59,122.59,122.51,125.42,126.32,125.63,123.34,124.77,123.32,121.28,122.08,119.83,120.94,120.5,121.43,118.11,117.76,114.67,117.83,115.77,117.66,115.08,114.42,114.54,115.96,114.46,115.84,116.28,116.12,117.47,119.64,119.79,116.7,117.77,115.98,115.34,114.88,113.12,113.51,115.41,119.15,117.7,119.75,117.64,118.99,119.93,120.2,117.26,120.94,120.55,119.29,121.73,120.95,122.35,124.04,122.29,124.57,128.01,125.14,124.25,122.32,120.07,117.88,111.38,111.51,112.69,112.03,110.87,109.26,111.48,116.56,117.81,117.29,116.97,117.27,120.51,121.7,125.44,126.69,126.61,128.48,126.85
964,B,False,61.404,61.518,60.33,60.112,60.864,60.584,60.606,60.499,59.772,60.579,59.953,60.573,60.116,60.166,60.253,60.745,59.964,59.427,60.001,59.929,59.581,58.873,59.178,59.775,59.277,58.663,58.149,56.939,57.663,56.208,55.986,56.417,56.388,57.692,55.665,56.809,56.787,56.018,54.931,57.078,57.667,59.557,56.517,57.012,58.836,56.836,56.233,54.468,55.465,52.877,55.268,54.558,56.181,52.702,54.888,52.13,51.528,52.271,51.488,51.464,51.63,51.744,52.074,52.406,52.398,51.942,52.42,53.246,50.911,52.43,51.061,50.3,50.212,51.189,50.62,49.638,48.609,48.155,48.693,48.49,48.018,48.395,48.372,49.181,48.868,48.455,49.131,47.468,46.673,47.629,47.754,48.012,48.272,47.704,47.901,47.102,48.394,49.431,47.059,47.191,47.055,50.4,47.792,49.228,50.877
965,B,False,99.058,99.132,98.397,97.773,96.563,97.613,97.68,97.997,97.35,97.318,98.385,98.019,97.798,98.197,97.3,96.394,96.478,97.037,97.171,97.016,96.554,96.603,96.626,96.314,96.846,96.116,96.113,97.033,97.134,96.773,97.478,97.684,97.089,96.83,96.124,95.62,93.97,93.611,92.923,92.064,92.835,92.91,93.982,93.708,95.512,95.299,96.582,97.557,98.132,99.246,99.685,100.45,99.654,100.32,99.986,99.382,98.022,98.426,97.804,97.97,97.005,96.498,94.771,94.518,95.219,95.428,95.015,95.187,95.733,95.189,95.539,95.872,96.814,96.738,97.198,97.565,97.924,97.189,97.121,97.326,96.948,96.118,95.804,96.299,96.783,97.887,95.777,95.557,95.709,95.415,94.994,94.144,93.483,94.296,94.27,94.976,94.727,92.864,92.159,91.741,93.544,93.52,94.424,94.782,94.906
966,B,False,142.12,150.37,139.89,136.96,139.59,152.34,150.34,151.96,141.12,145.62,154.21,147.81,146.26,160.79,161.03,151.36,152.06,157.92,155.8,155.6,151.34,163.32,163.18,164.64,166.15,162.93,158.54,156.88,157.12,149.64,150.24,145.48,146.1,141.25,137.18,141.15,136.21,132.57,128.5,136.76,138.81,132.29,132.43,131.2,137.84,131.44,129.47,130.31,133.52,132.81,134.29,132.66,137.67,132.57,133.44,132.08,130.81,137.43,135.06,130.14,128.37,128.9,129.88,136.47,135.73,133.36,137.47,142.49,145.13,142.89,141.36,142.09,141.77,142.02,141.98,145.34,150.09,150.96,155.1,152.61,155.69,153.08,154.58,149.25,148.25,139.6,136.47,138.84,139.3,135.17,133.41,132.02,132.35,132.27,136.18,136.71,136.63,141.92,142.9,149.04,145.75,147.74,148.6,148.62,145.04
967,B,False,98.688,98.472,97.315,97.33,95.64,94.73,94.815,95.876,96.246,94.677,94.682,95.685,95.68,96.08,95.373,95.383,96.023,96.466,96.151,97.04,97.863,97.778,97.227,96.712,97.091,97.75,96.696,97.638,98.873,100.02,100.7,101.47,101.49,102.32,103.53,104.34,105.49,104.69,105.17,107.51,108.03,107.12,107.18,106.4,104.65,103.16,101.98,101.94,100.52,98.99,98.95,98.897,99.361,99.757,99.669,102.32,102.1,101.67,103.27,103.79,103.85,105.19,105.75,104.97,105.27,105.24,105.67,105.2,106.0,107.7,107.97,106.95,107.91,107.85,106.93,106.57,104.56,104.44,104.66,107.26,108.06,106.07,106.36,106.88,106.34,105.32,104.98,105.6,105.49,106.62,107.44,107.82,107.48,106.79,104.78,105.19,105.96,105.54,104.97,103.99,104.16,104.03,105.03,106.18,107.61
