,FLARE_TYPE,COINCIDENCE,AREA_ACR_1,AREA_ACR_2,AREA_ACR_3,AREA_ACR_4,AREA_ACR_5,AREA_ACR_6,AREA_ACR_7,AREA_ACR_8,AREA_ACR_9,AREA_ACR_10,AREA_ACR_11,AREA_ACR_12,AREA_ACR_13,AREA_ACR_14,AREA_ACR_15,AREA_ACR_16,AREA_ACR_17,AREA_ACR_18,AREA_ACR_19,AREA_ACR_20,AREA_ACR_21,AREA_ACR_22,AREA_ACR_23,AREA_ACR_24,AREA_ACR_25,AREA_ACR_26,AREA_ACR_27,AREA_ACR_28,AREA_ACR_29,AREA_ACR_30,AREA_ACR_31,AREA_ACR_32,AREA_ACR_33,AREA_ACR_34,AREA_ACR_35,AREA_ACR_36,AREA_ACR_37,AREA_ACR_38,AREA_ACR_39,AREA_ACR_40,AREA_ACR_41,AREA_ACR_42,AREA_ACR_43,AREA_ACR_44,AREA_ACR_45,AREA_ACR_46,AREA_ACR_47,AREA_ACR_48,AREA_ACR_49,AREA_ACR_50,AREA_ACR_51,AREA_ACR_52,AREA_ACR_53,AREA_ACR_54,AREA_ACR_55,AREA_ACR_56,AREA_ACR_57,AREA_ACR_58,AREA_ACR_59,AREA_ACR_60,AREA_ACR_61,AREA_ACR_62,AREA_ACR_63,AREA_ACR_64,AREA_ACR_65,AREA_ACR_66,AREA_ACR_67,AREA_ACR_68,AREA_ACR_69,AREA_ACR_70,AREA_ACR_71,AREA_ACR_72,AREA_ACR_73,AREA_ACR_74,AREA_ACR_75,AREA_ACR_76,AREA_ACR_77,AREA_ACR_78,AREA_ACR_79,AREA_ACR_80,AREA_ACR_81,AREA_ACR_82,AREA_ACR_83,AREA_ACR_84,AREA_ACR_85,AREA_ACR_86,AREA_ACR_87,AREA_ACR_88,AREA_ACR_89,AREA_ACR_90,AREA_ACR_91,AREA_ACR_92,AREA_ACR_93,AREA_ACR_94,AREA_ACR_95,AREA_ACR_96,AREA_ACR_97,AREA_ACR_98,AREA_ACR_99,AREA_ACR_100,AREA_ACR_101,AREA_ACR_102,AREA_ACR_103,AREA_ACR_104,AREA_ACR_105
10,X,False,2157.9,2143.0,2145.5,2129.3,2143.0,2130.9,2143.4,2129.2,2119.7,2153.2,2142.3,2149.7,2134.4,2145.9,2150.3,2162.1,2148.0,2144.1,2155.6,2164.3,2149.3,2144.3,2127.9,2123.9,2130.3,2123.3,2101.0,2131.7,2125.9,2102.9,2122.4,2103.9,2105.2,2094.8,2080.6,2080.3,2091.0,2073.6,2061.7,2052.4,2051.6,2039.5,2029.0,1996.4,1977.9,1955.8,1949.0,1910.0,1890.8,1877.2,1857.2,1845.3,1818.1,1785.0,1745.9,1732.1,1701.3,1666.5,1636.2,1588.4,1556.9,1516.6,1483.5,1434.6,1402.9,1361.6,1331.6,1283.4,1262.5,1233.8,1192.7,1146.8,1121.3,1062.3,1040.9,1007.7,966.72,936.09,905.98,872.51,839.89,812.67,784.76,757.35,726.14,697.2,678.33,652.26,646.09,618.81,606.65,574.03,563.12,541.43,513.73,501.82,482.14,464.82,445.3,429.32,408.66,392.5,382.58,360.18,352.62
11,X,False,2338.0,2334.4,2333.7,2322.2,2331.7,2330.6,2329.5,2330.5,2341.4,2348.8,2335.4,2346.9,2346.0,2338.5,2340.2,2343.1,2347.2,2352.6,2358.1,2360.8,2362.2,2372.1,2366.0,2375.1,2386.3,2398.9,2390.3,2399.9,2406.1,2402.7,2399.1,2406.5,2412.2,2408.8,2412.8,2417.9,2417.6,2413.8,2417.0,2419.0,2407.2,2412.8,2430.0,2434.0,2450.3,2450.2,2448.0,2444.3,2454.5,2460.0,2477.0,2474.8,2473.3,2476.0,2477.8,2481.4,2484.8,2490.1,2502.0,2496.3,2495.5,2501.8,2494.3,2503.9,2505.1,2503.5,2485.5,2479.9,2479.0,2479.7,2490.3,2484.2,2490.2,2483.9,2488.2,2493.5,2487.0,2487.5,2489.1,2483.8,2480.4,2470.0,2485.2,2479.8,2486.5,2486.1,2478.5,2471.9,2460.7,2474.3,2457.8,2446.3,2456.5,2447.1,2445.3,2455.9,2458.4,2452.3,2454.4,2459.7,2466.3,2469.4,2461.2,2473.6,2471.7
12,X,False,2177.5,2171.4,2176.2,2170.5,2169.6,2172.4,2156.9,2162.0,2163.1,2160.8,2153.3,2150.3,2154.7,2143.4,2143.0,2140.7,2143.7,2146.5,2143.1,2145.8,2142.2,2147.3,2148.6,2154.4,2158.4,2159.9,2168.1,2165.6,2168.9,2173.7,2166.3,2168.3,2166.8,2166.0,2174.4,2170.9,2163.7,2161.7,2154.1,2163.2,2162.3,2156.2,2164.2,2163.9,2160.3,2166.7,2172.8,2179.6,2180.1,2179.4,2173.8,2173.6,2173.7,2179.7,2172.8,2168.8,2164.1,2158.1,2163.7,2174.2,2176.3,2176.2,2166.2,2164.5,2175.6,2175.9,2167.9,2169.6,2180.3,2181.5,2175.9,2168.9,2165.5,2152.1,2156.7,2151.8,2142.9,2158.6,2156.0,2142.2,2144.8,2147.8,2146.7,2140.1,2139.5,2135.7,2134.2,2125.7,2131.3,2120.8,2129.3,2131.8,2131.1,2127.3,2134.2,2133.3,2136.9,2141.6,2132.2,2137.7,2137.5,2150.4,2145.4,2152.9,2148.9
13,X,False,1513.6,1504.7,1490.5,1504.4,1515.5,1520.5,1513.4,1515.6,1522.4,1530.7,1526.7,1540.3,1543.5,1549.3,1563.5,1558.1,1565.0,1559.2,1558.0,1558.8,1552.3,1563.1,1571.9,1572.6,1574.7,1572.9,1570.8,1578.8,1574.5,1567.7,1576.1,1573.5,1573.6,1561.3,1574.2,1574.8,1574.1,1571.5,1570.5,1572.6,1579.9,1577.5,1567.2,1575.0,1565.6,1563.6,1579.1,1576.9,1568.3,1580.4,1572.3,1569.7,1572.5,1565.4,1560.0,1571.8,1560.5,1573.5,1584.0,1581.6,1569.5,1569.6,1563.3,1567.2,1551.0,1561.0,1565.5,1561.0,1546.6,1547.4,1550.3,1550.4,1551.8,1568.3,1570.1,1557.7,1563.4,1565.0,1559.7,1542.9,1546.5,1543.0,1548.9,1541.0,1550.0,1558.0,1560.5,1557.0,1555.4,1565.4,1568.2,1569.9,1559.6,1561.4,1543.2,1546.8,1554.0,1561.7,1551.0,1562.4,1565.5,1554.5,1555.9,1555.8,1540.7
14,X,False,4538.5,4545.5,4556.8,4566.7,4556.3,4563.3,4552.4,4542.2,4552.1,4541.3,4540.3,4534.5,4523.9,4524.5,4515.7,4516.9,4516.9,4500.1,4495.9,4482.1,4479.4,4484.0,4480.1,4474.5,4470.5,4483.4,4476.6,4468.8,4470.3,4464.1,4455.4,4448.3,4439.2,4443.2,4436.2,4427.0,4430.4,4417.0,4409.2,4404.0,4399.9,4387.4,4390.8,4379.3,4388.4,4385.2,4375.5,4381.5,4380.9,4385.5,4384.4,4395.9,4389.7,4381.7,4405.7,4401.2,4408.2,4415.4,4409.0,4418.2,4416.7,4421.7,4430.8,4428.8,4429.2,4432.5,4434.8,4443.7,4436.8,4451.7,4445.6,4446.0,4465.4,4455.6,4462.6,4463.9,4454.2,4442.3,4423.5,4427.9,4420.5,4419.4,4407.7,4404.5,4400.7,4412.2,4414.5,4400.0,4404.3,4399.0,4390.7,4388.1,4383.8,4383.0,4385.5,4393.1,4395.6,4400.5,4394.2,4396.7,4389.4,4374.8,4382.8,4383.0,4379.1
15,X,False,89.82,89.58,103.24,108.87,112.23,116.21,127.03,146.89,148.47,172.25,184.82,196.32,216.42,228.94,239.73,252.28,282.13,307.06,326.39,344.07,348.02,361.11,382.23,384.62,380.45,394.01,409.24,418.47,444.26,458.87,471.05,479.85,497.49,512.56,525.44,544.05,572.38,586.52,621.19,616.18,644.91,669.42,686.44,711.68,724.44,750.33,769.17,778.79,797.74,807.24,833.2,846.58,860.03,870.19,899.0,906.0,906.5,910.79,914.66,902.19,899.21,903.41,900.92,904.06,907.81,894.83,890.77,891.51,896.75,901.01,897.98,910.52,906.07,914.57,918.89,922.33,936.99,939.19,932.27,946.38,942.04,951.34,956.66,949.31,964.27,966.4,968.59,956.88,954.77,957.93,949.31,955.99,956.11,951.09,951.88,954.34,958.0,951.69,961.33,958.79,963.83,974.65,971.63,986.42,984.75
16,X,False,1443.5,1410.5,1388.7,1368.6,1357.7,1313.1,1307.9,1268.6,1256.4,1215.1,1170.7,1166.5,1113.7,1130.9,1086.4,1103.8,1100.7,1081.7,1093.2,1098.1,1100.4,1098.3,1108.4,1096.8,1089.4,1075.1,1062.1,1030.7,1010.2,996.84,982.08,958.56,949.98,905.96,888.48,874.37,857.64,826.66,814.77,814.38,790.7,781.7,776.47,769.46,748.95,738.1,745.15,733.98,717.32,695.55,701.8,694.12,676.83,657.22,664.41,650.46,655.65,644.44,646.69,642.37,633.95,632.16,624.69,621.7,615.51,616.87,619.66,621.74,627.05,631.89,641.79,649.41,648.5,648.02,634.38,620.99,620.44,599.32,590.44,601.52,601.58,601.93,597.18,588.8,606.44,609.91,610.31,594.16,597.07,596.09,595.8,594.02,596.41,586.54,580.27,583.25,574.88,572.13,564.45,577.89,580.95,572.45,553.99,554.22,538.07
17,X,False,408.5,402.58,400.8,386.99,383.22,380.21,385.79,391.58,388.11,369.87,361.2,367.25,366.53,367.46,355.51,353.36,349.65,342.75,341.31,359.18,396.04,412.35,416.95,410.14,413.26,416.31,416.9,421.01,422.56,416.84,417.1,425.54,423.36,426.99,423.73,429.59,433.69,430.43,432.22,431.41,439.9,435.07,426.86,425.92,426.72,426.95,423.75,420.52,410.21,412.62,414.78,410.79,416.93,420.59,416.15,416.86,410.31,408.11,414.42,411.87,411.67,413.74,414.77,413.32,404.78,409.03,414.94,413.39,421.1,421.42,421.8,420.63,416.55,414.5,411.98,419.18,427.35,435.37,433.01,438.72,457.16,468.13,463.12,462.4,480.22,521.6,514.05,545.24,544.4,567.75,557.95,561.59,558.71,554.79,569.52,577.19,585.77,607.44,612.01,613.96,602.28,616.84,622.84,648.88,657.31
18,X,False,3656.5,3642.1,3649.7,3652.5,3648.5,3618.7,3639.0,3642.6,3627.4,3663.8,3640.4,3615.8,3609.5,3624.0,3618.7,3608.7,3623.0,3613.4,3611.3,3631.1,3633.5,3616.5,3612.6,3642.9,3627.1,3659.8,3638.7,3629.8,3633.9,3628.6,3629.5,3639.2,3661.3,3644.2,3665.3,3674.2,3659.3,3661.7,3660.1,3673.1,3663.6,3663.0,3658.6,3664.6,3658.9,3663.1,3670.1,3661.8,3683.5,3672.3,3689.0,3711.5,3733.4,3740.3,3732.4,3720.7,3709.3,3735.3,3736.1,3741.3,3757.9,3769.0,3783.3,3799.9,3811.7,3824.0,3818.1,3821.3,3843.6,3842.9,3844.1,3873.9,3869.2,3861.5,3857.3,3875.3,3887.2,3911.5,3917.1,3898.1,3917.6,3930.2,3931.3,3966.9,3983.7,3995.5,3983.2,3992.0,4011.2,4025.2,4027.8,4019.0,4027.1,4034.8,4034.4,4034.0,4027.4,4049.0,4058.6,4075.8,4087.2,4098.2,4116.8,4116.1,4125.1
19,X,True,6808.2,6833.4,6837.2,6823.0,6802.2,6818.7,6800.4,6793.5,6787.0,6775.5,6772.6,6789.2,6801.7,6794.2,6768.0,6758.4,6765.0,6773.3,6758.6,6760.9,6773.3,6753.9,6758.1,6742.8,6748.4,6746.3,6752.1,6728.1,6721.8,6707.1,6690.4,6681.2,6672.8,6667.8,6640.0,6623.3,6614.1,6595.2,6552.6,6547.9,6534.7,6547.8,6552.7,6527.6,6507.2,6504.5,6496.0,6504.5,6504.5,6470.4,6461.8,6458.3,6442.9,6436.7,6448.2,6440.6,6459.4,6440.9,6457.5,6480.6,6490.7,6492.6,6490.8,6494.2,6481.7,6486.6,6498.3,6506.3,6525.8,6545.1,6541.1,6537.6,6531.5,6510.3,6508.4,6499.2,6451.9,6444.2,6443.1,6443.1,6462.6,6449.2,6450.9,6426.8,6416.1,6405.6,6418.4,6418.5,6407.7,6412.3,6402.8,6390.3,6384.3,6398.6,6346.8,6330.6,6344.3,6347.7,6350.5,6345.8,6329.3,6309.4,6298.3,6305.6,6303.3
20,X,False,1408.9,1417.1,1412.1,1404.9,1410.3,1421.9,1411.1,1405.2,1414.8,1415.7,1421.1,1424.3,1429.1,1420.3,1424.1,1416.4,1413.3,1422.8,1423.1,1410.7,1406.2,1408.0,1408.7,1410.7,1415.0,1421.4,1417.3,1426.7,1423.4,1427.1,1435.7,1427.5,1428.7,1428.2,1419.9,1418.4,1427.8,1425.9,1436.9,1448.1,1443.8,1444.4,1458.8,1456.2,1455.4,1456.7,1462.6,1458.9,1449.6,1451.3,1455.8,1454.1,1464.8,1454.5,1443.4,1452.2,1456.3,1442.5,1440.7,1445.6,1448.2,1446.5,1459.7,1459.8,1457.9,1456.7,1457.3,1466.5,1464.2,1467.1,1468.9,1470.9,1476.3,1475.2,1476.8,1472.3,1466.6,1463.6,1466.1,1459.5,1467.6,1472.8,1477.7,1476.8,1471.4,1486.4,1491.7,1494.8,1491.0,1498.8,1489.2,1483.6,1490.6,1494.7,1488.7,1489.7,1496.2,1498.8,1505.9,1511.6,1506.0,1498.6,1492.8,1500.3,1507.3
21,X,True,1483.2,1492.0,1492.9,1494.1,1500.9,1491.2,1493.9,1495.1,1502.2,1502.3,1507.4,1500.1,1496.6,1499.5,1506.8,1510.1,1509.8,1512.0,1516.2,1523.8,1536.0,1541.4,1540.6,1550.5,1550.6,1554.4,1556.7,1552.5,1556.2,1560.0,1566.5,1566.3,1561.1,1564.8,1560.7,1558.1,1570.0,1574.1,1571.4,1572.4,1573.0,1580.7,1587.5,1580.8,1575.6,1574.5,1568.6,1571.7,1570.7,1568.9,1565.0,1560.7,1562.5,1556.7,1554.4,1552.5,1543.5,1536.7,1536.1,1532.3,1530.2,1535.4,1534.5,1531.2,1535.1,1543.0,1555.7,1554.2,1551.2,1545.7,1547.6,1544.7,1544.2,1545.2,1546.3,1545.6,1545.1,1547.4,1544.4,1543.1,1541.1,1542.3,1543.5,1542.3,1542.1,1540.3,1548.2,1543.8,1559.3,1560.3,1566.0,1568.9,1562.2,1572.0,1578.1,1582.6,1592.8,1606.6,1607.8,1618.1,1623.0,1620.5,1623.2,1630.3,1647.8
22,M,False,164.03,171.01,171.18,169.53,173.93,174.22,175.39,174.06,179.17,177.46,180.69,179.62,180.73,183.35,186.05,186.37,186.77,182.08,180.56,184.63,186.39,185.09,188.04,186.3,192.57,187.92,189.12,191.81,193.17,184.59,185.67,188.96,189.12,190.05,187.69,187.75,191.87,191.67,192.89,194.41,200.6,203.71,208.05,207.79,211.48,212.09,216.84,216.12,219.59,214.51,211.53,212.64,210.53,215.49,213.87,212.66,213.52,220.09,218.7,215.28,222.57,221.45,221.84,229.94,233.9,238.26,238.05,244.66,241.47,247.37,252.19,254.77,254.94,255.59,259.64,260.99,268.99,275.01,273.46,269.05,270.93,271.36,272.97,272.12,276.34,274.28,275.12,277.69,281.17,278.79,277.38,279.65,281.6,278.58,282.78,284.17,281.94,282.94,281.06,275.22,282.21,281.13,282.49,282.29,281.46
