,FLARE_TYPE,COINCIDENCE,AREA_ACR_1,AREA_ACR_2,AREA_ACR_3,AREA_ACR_4,AREA_ACR_5,AREA_ACR_6,AREA_ACR_7,AREA_ACR_8,AREA_ACR_9,AREA_ACR_10,AREA_ACR_11,AREA_ACR_12,AREA_ACR_13,AREA_ACR_14,AREA_ACR_15,AREA_ACR_16,AREA_ACR_17,AREA_ACR_18,AREA_ACR_19,AREA_ACR_20,AREA_ACR_21,AREA_ACR_22,AREA_ACR_23,AREA_ACR_24,AREA_ACR_25,AREA_ACR_26,AREA_ACR_27,AREA_ACR_28,AREA_ACR_29,AREA_ACR_30,AREA_ACR_31,AREA_ACR_32,AREA_ACR_33,AREA_ACR_34,AREA_ACR_35,AREA_ACR_36,AREA_ACR_37,AREA_ACR_38,AREA_ACR_39,AREA_ACR_40,AREA_ACR_41,AREA_ACR_42,AREA_ACR_43,AREA_ACR_44,AREA_ACR_45,AREA_ACR_46,AREA_ACR_47,AREA_ACR_48,AREA_ACR_49,AREA_ACR_50,AREA_ACR_51,AREA_ACR_52,AREA_ACR_53,AREA_ACR_54,AREA_ACR_55,AREA_ACR_56,AREA_ACR_57,AREA_ACR_58,AREA_ACR_59,AREA_ACR_60,AREA_ACR_61,AREA_ACR_62,AREA_ACR_63,AREA_ACR_64,AREA_ACR_65,AREA_ACR_66,AREA_ACR_67,AREA_ACR_68,AREA_ACR_69,AREA_ACR_70,AREA_ACR_71,AREA_ACR_72,AREA_ACR_73,AREA_ACR_74,AREA_ACR_75,AREA_ACR_76,AREA_ACR_77,AREA_ACR_78,AREA_ACR_79,AREA_ACR_80,AREA_ACR_81,AREA_ACR_82,AREA_ACR_83,AREA_ACR_84,AREA_ACR_85,AREA_ACR_86,AREA_ACR_87,AREA_ACR_88,AREA_ACR_89,AREA_ACR_90,AREA_ACR_91,AREA_ACR_92,AREA_ACR_93,AREA_ACR_94,AREA_ACR_95,AREA_ACR_96,AREA_ACR_97,AREA_ACR_98,AREA_ACR_99,AREA_ACR_100,AREA_ACR_101,AREA_ACR_102,AREA_ACR_103,AREA_ACR_104,AREA_ACR_105
0,X,False,942.44,945.31,946.55,947.42,946.52,952.37,956.45,961.74,962.37,964.36,967.04,972.08,974.66,977.48,987.6,994.94,998.1,1004.8,1008.2,1008.2,1012.6,1014.5,1012.9,1017.4,1017.5,1025.4,1031.0,1033.0,1033.4,1035.8,1038.3,1037.4,1037.2,1031.1,1035.0,1041.5,1038.8,1041.5,1043.0,1046.9,1041.9,1039.3,1034.6,1040.0,1038.9,1039.3,1040.6,1038.0,1040.0,1040.1,1049.4,1046.0,1049.1,1055.7,1060.0,1065.8,1067.6,1067.1,1069.1,1069.7,1074.1,1078.2,1076.0,1082.6,1082.1,1085.8,1089.6,1102.7,1107.0,1105.4,1107.0,1112.1,1115.4,1122.5,1126.7,1121.8,1116.8,1113.9,1111.7,1111.3,1108.6,1110.4,1111.7,1116.7,1117.6,1124.3,1125.4,1132.0,1132.6,1130.7,1134.3,1134.1,1129.1,1131.1,1132.5,1132.2,1128.7,1124.7,1122.6,1120.5,1123.1,1120.5,1115.1,1111.3,1112.0
1,X,False,1395.5,1401.9,1407.3,1400.0,1403.0,1400.9,1394.0,1391.5,1393.2,1402.8,1403.5,1403.3,1407.7,1406.7,1407.3,1404.8,1403.6,1397.5,1402.6,1402.5,1400.8,1403.3,1403.1,1401.6,1402.4,1408.9,1408.9,1408.4,1408.9,1414.6,1417.4,1415.6,1420.3,1424.5,1417.7,1427.3,1430.3,1431.7,1435.2,1438.0,1443.2,1451.2,1447.1,1448.9,1444.6,1443.2,1449.8,1450.9,1457.2,1463.3,1458.3,1459.9,1449.8,1459.8,1459.6,1461.0,1459.3,1461.7,1476.6,1477.2,1473.2,1469.4,1471.6,1469.1,1467.1,1472.5,1469.4,1473.8,1471.7,1475.5,1478.1,1474.0,1475.7,1476.9,1491.8,1489.4,1490.4,1486.6,1482.3,1489.7,1499.5,1505.9,1511.0,1516.0,1516.5,1514.5,1518.7,1525.7,1534.7,1536.5,1534.2,1538.8,1539.9,1547.9,1551.2,1543.2,1547.4,1547.1,1545.7,1549.7,1546.3,1553.0,1549.3,1543.7,1550.6
2,X,False,1095.0,1098.4,1088.3,1080.2,1072.5,1068.5,1067.0,1065.7,1060.9,1067.1,1068.1,1057.4,1055.7,1049.4,1048.0,1043.2,1034.7,1033.8,1040.6,1035.9,1032.7,1028.7,1034.8,1029.4,1018.3,1021.3,1014.1,1021.3,1020.8,1021.4,1019.9,1021.1,1014.1,1011.0,1006.6,1009.3,1017.7,1012.3,1008.6,1011.4,1009.1,1008.7,1011.6,1009.0,995.06,994.94,1000.5,992.95,982.94,986.84,984.94,987.53,982.25,974.62,979.12,978.21,982.07,983.36,973.95,975.18,965.14,957.94,964.15,956.34,949.77,937.07,935.26,940.44,935.17,942.83,941.66,944.15,944.22,944.01,940.81,938.57,943.07,945.21,945.16,948.39,944.18,955.71,956.6,960.19,951.33,950.07,941.33,944.45,949.43,950.08,948.24,950.67,949.08,949.24,951.36,965.91,965.19,971.31,960.67,960.06,942.1,945.94,949.75,950.58,951.3
3,X,False,1386.9,1386.2,1382.2,1379.6,1383.7,1374.7,1375.0,1373.1,1367.6,1366.2,1370.8,1367.5,1364.2,1355.4,1354.7,1355.7,1348.9,1348.6,1348.1,1349.9,1347.5,1343.6,1349.8,1348.7,1344.4,1333.5,1332.5,1329.6,1338.2,1338.1,1338.6,1342.0,1343.4,1345.5,1343.2,1340.6,1339.5,1342.8,1346.8,1345.2,1342.7,1336.3,1334.5,1330.4,1331.0,1338.8,1332.2,1332.7,1338.4,1336.2,1325.6,1329.3,1315.8,1308.4,1306.8,1299.8,1299.4,1297.0,1297.8,1299.8,1299.8,1298.5,1297.3,1295.8,1284.9,1285.2,1288.1,1292.9,1293.6,1286.0,1280.4,1283.3,1279.8,1276.1,1274.1,1269.3,1264.0,1265.1,1268.9,1261.3,1261.3,1266.8,1265.0,1258.8,1261.7,1259.1,1255.5,1259.7,1260.4,1264.9,1262.4,1261.3,1254.0,1256.9,1262.8,1257.6,1257.8,1256.5,1254.7,1249.1,1250.6,1245.6,1243.8,1245.0,1243.1
4,X,True,1212.4,1213.1,1209.6,1208.1,1209.1,1207.2,1209.3,1205.2,1198.6,1193.4,1194.3,1199.2,1194.6,1194.6,1194.3,1199.5,1197.6,1201.4,1201.0,1197.0,1194.0,1193.4,1195.4,1198.9,1194.1,1193.6,1188.7,1195.8,1192.5,1194.2,1198.0,1192.4,1188.7,1185.1,1183.0,1189.4,1183.4,1182.8,1188.1,1188.8,1186.1,1188.3,1181.0,1174.3,1176.6,1174.3,1179.5,1189.5,1181.9,1180.7,1179.4,1180.6,1180.5,1186.3,1169.7,1174.4,1174.3,1165.2,1165.1,1162.1,1167.0,1163.3,1156.4,1153.1,1152.6,1150.2,1148.1,1147.6,1147.7,1146.4,1141.1,1135.2,1136.0,1137.8,1137.8,1140.3,1134.3,1142.3,1140.5,1145.9,1138.1,1127.7,1127.6,1127.3,1130.8,1126.4,1133.6,1132.3,1134.2,1126.1,1121.5,1118.9,1109.1,1116.6,1114.2,1111.6,1112.5,1109.3,1107.7,1109.8,1111.8,1115.8,1112.9,1112.5,1111.5
5,X,False,2655.3,2643.5,2650.9,2666.4,2653.7,2677.6,2665.3,2675.5,2685.6,2672.9,2670.2,2676.8,2666.4,2683.9,2672.8,2671.8,2677.0,2689.9,2672.2,2668.8,2652.5,2655.2,2664.4,2653.0,2652.8,2647.2,2645.7,2639.3,2664.1,2666.8,2676.6,2667.5,2673.4,2673.0,2658.1,2666.7,2650.0,2650.1,2653.3,2657.8,2665.5,2654.9,2649.5,2656.2,2670.6,2670.4,2653.3,2635.8,2655.9,2655.8,2663.4,2670.6,2666.7,2653.2,2647.2,2648.9,2646.1,2665.3,2669.1,2665.5,2667.9,2666.8,2676.1,2667.4,2669.5,2664.4,2665.6,2677.5,2688.0,2682.1,2667.2,2677.7,2685.2,2678.1,2688.3,2675.1,2679.5,2683.0,2676.0,2673.6,2666.8,2665.9,2660.7,2666.1,2676.2,2673.6,2660.2,2663.0,2657.5,2643.6,2644.2,2648.2,2646.6,2637.3,2644.0,2630.4,2612.5,2601.7,2625.6,2619.9,2624.5,2619.2,2627.8,2620.1,2621.4
6,X,True,1139.0,1143.0,1148.1,1152.5,1139.4,1141.1,1151.3,1150.2,1152.7,1156.0,1161.1,1163.3,1167.0,1169.1,1171.5,1174.6,1176.9,1183.6,1182.7,1191.6,1203.2,1208.9,1206.0,1198.4,1205.2,1203.8,1208.3,1213.1,1214.2,1212.8,1214.8,1205.1,1218.2,1205.1,1219.0,1216.5,1215.5,1215.5,1217.6,1219.0,1232.4,1231.9,1238.5,1237.6,1233.1,1241.9,1249.8,1246.9,1246.9,1251.6,1259.1,1245.6,1250.4,1243.1,1249.8,1255.1,1253.2,1258.4,1260.8,1259.3,1267.1,1280.7,1268.8,1274.7,1272.1,1272.2,1276.3,1291.1,1293.0,1291.4,1299.9,1308.1,1303.2,1304.3,1301.2,1295.6,1292.9,1306.7,1308.6,1314.7,1318.2,1328.6,1325.4,1324.4,1318.6,1328.9,1331.2,1338.5,1338.6,1344.0,1338.6,1351.9,1347.6,1352.3,1363.3,1366.5,1372.6,1371.1,1378.6,1379.1,1379.7,1378.8,1390.4,1388.8,1386.5
7,X,False,4558.6,4560.0,4566.9,4569.7,4568.4,4577.0,4573.3,4577.3,4588.0,4584.5,4589.8,4576.3,4578.4,4572.3,4577.1,4569.3,4571.9,4561.1,4555.1,4558.9,4560.4,4567.4,4572.8,4567.0,4560.7,4565.0,4557.4,4549.4,4560.0,4542.1,4543.8,4534.7,4539.5,4529.8,4527.0,4522.5,4544.6,4536.2,4538.2,4544.4,4541.0,4532.7,4532.4,4536.8,4531.7,4538.5,4545.0,4528.0,4536.4,4542.2,4545.7,4548.1,4543.2,4541.6,4547.5,4540.6,4550.3,4549.9,4545.1,4542.7,4556.2,4558.1,4565.0,4578.7,4577.8,4590.6,4600.3,4605.0,4592.5,4609.8,4601.1,4603.3,4609.5,4607.4,4614.4,4621.5,4624.5,4616.7,4614.9,4633.9,4625.2,4625.0,4624.6,4614.8,4614.9,4617.9,4626.1,4617.0,4628.7,4628.0,4633.9,4627.2,4628.8,4611.9,4617.2,4617.2,4622.6,4601.3,4601.9,4583.1,4584.1,4588.9,4594.5,4594.1,4583.0
8,X,False,827.95,838.45,846.02,842.72,844.96,844.17,848.82,855.06,855.22,855.09,857.4,849.34,852.39,854.7,853.81,851.6,851.53,854.2,852.68,854.88,851.65,853.81,854.5,848.93,842.9,843.95,844.58,838.53,842.17,847.52,839.93,836.2,834.69,831.33,834.88,834.35,841.82,840.51,839.39,845.16,841.13,839.88,847.5,843.13,845.74,839.31,838.89,840.94,843.3,844.31,855.29,851.77,847.34,853.43,853.54,855.16,861.25,852.66,847.09,847.47,851.64,850.69,834.13,828.09,825.63,823.04,811.89,811.49,810.04,813.17,814.12,810.57,811.24,810.86,805.27,805.53,796.68,791.96,795.56,789.12,774.16,767.84,754.68,750.89,747.56,751.53,749.03,720.54,712.29,718.89,727.89,716.97,712.23,697.89,703.03,696.82,699.46,698.45,693.84,685.93,694.94,694.24,686.43,674.91,683.61
9,X,True,1909.1,1909.1,1930.8,1933.3,1923.0,1923.1,1911.3,1915.0,1927.2,1930.3,1925.7,1928.7,1926.2,1921.8,1917.1,1926.7,1923.5,1925.1,1929.9,1924.9,1920.9,1921.7,1921.2,1917.5,1931.1,1918.2,1931.4,1926.7,1916.0,1913.4,1902.0,1914.4,1912.8,1921.0,1910.9,1903.6,1908.2,1898.7,1899.6,1903.0,1904.0,1897.2,1896.1,1908.0,1904.4,1891.6,1895.2,1903.5,1893.2,1891.1,1900.9,1892.8,1895.2,1898.5,1900.3,1892.8,1900.9,1904.2,1902.9,1890.6,1876.9,1888.8,1898.3,1900.1,1916.3,1920.1,1910.3,1913.5,1922.0,1921.1,1908.7,1907.4,1928.7,1926.4,1921.2,1907.4,1894.0,1893.5,1913.3,1905.4,1895.5,1898.6,1906.9,1926.3,1924.1,1930.8,1937.3,1941.1,1938.1,1944.9,1966.9,1959.1,1969.3,1962.6,1969.3,1961.5,1964.3,1955.9,1953.9,1953.6,1956.4,1956.3,1961.9,1966.2,1958.3
