parameter,f_score,f_score_norm
TOTUSJH,476.78995257284805,0.9999999999999998
TOTUSJZ,466.17314836614145,0.9777294777571248
MEANPOT,409.1497251479043,0.8581133116848134
AREA_ACR,366.28523118841906,0.7681978674919863
SAVNCPP,352.2272589332252,0.7387089198102305
USFLUX,327.9103528361785,0.6877001428215687
TOTPOT,287.89536062033955,0.6037620050504704
ABSNJZH,281.85611715911716,0.5910936819642888
R_VALUE,273.52041183083924,0.5736081460808826
d_l_f,201.61133406466766,0.42276683030673223
SHRGT45,176.58476792968725,0.3702694227139854
g_s,144.84175228913153,0.30368313910970074
MEANSHR,102.90450358969832,0.215712746910537
MEANGAM,57.77976798679623,0.12105606789657684
MEANGBH,13.032904268399434,0.027192038350854656
MEANGBT,5.446705934492547,0.011278718726159027
MEANJZH,4.862406219852684,0.010053052363848927
MEANJZD,1.4897254364635029,0.002978290416450621
MEANGBZ,0.4446472299314295,0.0007860641126619389
slf,0.06991471638562341,0.0
