parameter,f_score,f_score_norm
TOTUSJH,1569.0813477090533,0.9999999999999998
TOTUSJZ,1539.4801619817174,0.9810973006809565
USFLUX,1299.5341403519644,0.8278727798307873
AREA_ACR,1201.8766890056877,0.7655107698739342
SAVNCPP,1148.8479048159195,0.7316476951975723
TOTPOT,1034.2804171407147,0.658487289016184
ABSNJZH,966.2031958828652,0.6150145965447891
R_VALUE,861.661532410546,0.5482564724232617
MEANPOT,678.1446156753976,0.43106640007427
g_s,506.53153153284734,0.3214778667418155
d_l_f,476.6941788282269,0.3024243561207581
SHRGT45,316.6616181203991,0.20023090332528173
MEANGBT,177.6473268576781,0.11145927866828403
MEANSHR,136.73684702710588,0.08533470020178843
MEANGBZ,74.01171168027223,0.04527973807530306
MEANGAM,55.39902988210055,0.033394067994629024
slf,15.50426064342382,0.007918101110474099
MEANGBH,12.232567456762506,0.005828866133832245
MEANJZH,3.168712827730779,4.087776396479413e-05
MEANJZD,3.104699203918806,0.0
