parameter,f_score,f_score_norm
TOTUSJZ,596.785497727762,1.0
USFLUX,574.4336638075952,0.9625427428794648
TOTUSJH,569.0433889483029,0.9535097072871281
AREA_ACR,548.6361057858276,0.9193111330100202
TOTPOT,391.3975999260661,0.6558104661621034
SAVNCPP,320.1097201017567,0.5363460654469681
ABSNJZH,301.9777678044453,0.5059604961141139
d_l_f,289.1459926551047,0.4844569764119526
R_VALUE,261.2476146843325,0.43770480741188494
g_s,123.21824643720619,0.206394859642774
MEANPOT,80.9301501427307,0.13552836601645174
SHRGT45,53.4625683688313,0.08949812632072864
MEANGBT,36.878744524472644,0.061706914378189016
slf,25.322562622757676,0.0423410369128208
MEANGBZ,19.157316356615343,0.03200930237027152
MEANSHR,15.750089440925942,0.02629946329823742
MEANGAM,7.477835657051095,0.012436800482487277
MEANGBH,2.6610196360971283,0.0043647685926834524
MEANJZD,0.7822177703813891,0.001216267900793459
MEANJZH,0.05643536636063841,0.0
