,FLARE_TYPE,COINCIDENCE,d_l_f_1,d_l_f_2,d_l_f_3,d_l_f_4,d_l_f_5,d_l_f_6,d_l_f_7,d_l_f_8,d_l_f_9,d_l_f_10,d_l_f_11,d_l_f_12,d_l_f_13,d_l_f_14,d_l_f_15,d_l_f_16,d_l_f_17,d_l_f_18,d_l_f_19,d_l_f_20,d_l_f_21,d_l_f_22,d_l_f_23,d_l_f_24,d_l_f_25,d_l_f_26,d_l_f_27,d_l_f_28,d_l_f_29,d_l_f_30,d_l_f_31,d_l_f_32,d_l_f_33,d_l_f_34,d_l_f_35,d_l_f_36,d_l_f_37,d_l_f_38,d_l_f_39,d_l_f_40,d_l_f_41,d_l_f_42,d_l_f_43,d_l_f_44,d_l_f_45,d_l_f_46,d_l_f_47,d_l_f_48,d_l_f_49,d_l_f_50,d_l_f_51,d_l_f_52,d_l_f_53,d_l_f_54,d_l_f_55,d_l_f_56,d_l_f_57,d_l_f_58,d_l_f_59,d_l_f_60,d_l_f_61,d_l_f_62,d_l_f_63,d_l_f_64,d_l_f_65,d_l_f_66,d_l_f_67,d_l_f_68,d_l_f_69,d_l_f_70,d_l_f_71,d_l_f_72,d_l_f_73,d_l_f_74,d_l_f_75,d_l_f_76,d_l_f_77,d_l_f_78,d_l_f_79,d_l_f_80
1080,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1081,B,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.227,0.0,56.08,54.378,53.0,52.479,53.339,54.203,54.203,54.203,54.589,54.562,53.666,54.129,54.129,55.462,55.946,56.08
1082,B,False,139.11,139.78,140.1,139.71,140.9,144.21,142.09,142.55,142.81,144.0,146.33,146.0,147.09,145.01,143.58,143.2,147.37,142.38,142.46,143.07,142.12,143.09,138.27,138.92,140.27,138.85,139.66,139.53,140.04,140.13,142.12,144.41,145.02,147.27,147.81,148.01,148.38,148.59,148.08,149.94,150.12,149.76,151.43,152.21,151.73,152.41,153.18,154.74,154.29,154.62,156.5,157.09,158.82,159.03,157.75,159.43,160.21,160.25,160.42,162.92,163.17,162.36,161.84,164.49,166.34,167.02,167.65,164.68,165.11,168.24,168.82,170.02,169.69,171.06,172.82,172.18,171.81,172.46,174.99,172.74
1083,B,False,142.89,165.76,126.97,48.356,126.95,136.05,99.515,125.77,142.24,104.09,139.55,152.34,80.039,20.541,186.55,179.34,89.999,124.39,124.43,124.97,134.37,267.81,235.54,281.33,205.04,202.72,217.65,201.9,278.42,267.35,158.33,211.44,163.32,123.06,148.25,159.7,185.01,188.25,158.27,198.13,160.2,181.71,167.43,190.85,264.48,245.68,125.63,189.54,218.78,102.35,131.73,207.49,128.8,148.64,159.18,23.019,152.7,132.29,278.5,223.38,218.34,184.77,221.49,175.39,178.44,184.81,211.72,202.37,175.44,208.49,194.25,232.9,228.73,167.58,177.92,235.35,216.6,198.02,281.02,254.42
1084,B,True,25.495,25.495,25.495,25.495,24.759,24.759,60.784,56.713,25.456,0.0,25.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1085,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1086,B,False,262.92,261.14,260.3,259.59,261.32,262.86,264.44,264.55,264.82,265.47,266.22,266.6,265.13,264.12,267.35,266.42,266.02,267.1,268.25,269.73,270.48,271.11,271.8,272.76,271.83,270.85,271.52,271.36,271.27,269.87,269.55,269.23,269.03,268.42,267.7,268.09,266.47,265.27,264.96,262.7,264.26,265.63,262.53,262.85,265.9,265.93,267.09,265.97,266.94,268.54,269.35,268.35,267.48,267.36,266.02,263.02,260.42,260.3,264.33,263.07,259.81,260.62,261.9,261.85,263.35,262.8,262.08,263.04,262.35,261.69,261.49,260.46,262.02,262.85,262.09,264.65,265.4,265.74,262.69,263.16
1087,B,False,88.028,89.25,87.698,87.566,89.166,89.97,91.333,91.876,92.158,94.328,93.612,96.71,97.367,98.625,94.395,94.709,93.694,90.301,90.445,91.215,89.42,83.567,81.329,87.787,83.527,84.83,81.443,80.694,82.737,82.895,80.784,81.937,82.408,82.026,79.875,80.265,82.415,82.785,84.801,86.562,86.648,88.462,89.347,91.668,93.751,95.933,96.986,97.316,98.861,100.78,101.15,100.89,98.54,94.224,94.899,93.765,93.15,90.092,93.602,94.157,96.179,98.995,105.79,104.16,107.56,109.52,105.78,112.36,113.62,113.53,109.44,101.57,98.603,99.002,96.351,92.362,90.579,94.241,78.431,89.305
1088,B,False,126.27,123.6,120.0,123.81,132.36,132.75,135.54,130.19,130.14,129.6,128.37,126.49,126.95,126.61,125.13,122.05,126.5,129.55,129.93,130.27,130.36,131.39,131.21,126.23,123.9,135.1,130.48,130.67,132.01,122.48,119.0,119.0,119.0,119.0,119.0,119.0,121.0,119.0,119.0,125.41,124.53,118.78,125.69,125.16,124.53,124.99,124.58,125.1,124.94,123.69,123.62,123.58,123.64,122.15,123.65,119.02,119.02,121.97,121.53,119.02,120.54,118.04,120.04,119.07,119.07,119.07,119.07,119.07,119.07,119.07,119.07,119.07,119.07,118.07,117.11,118.11,118.11,119.1,119.1,118.11
1089,B,False,377.96,376.88,312.05,377.97,378.51,378.64,0.0,375.11,0.0,374.81,377.47,369.97,375.77,377.25,376.16,376.2,375.92,377.3,378.64,379.89,377.15,377.29,375.91,283.46,375.78,276.25,377.06,0.0,379.53,369.12,371.6,372.55,372.55,372.55,372.55,256.48,0.0,375.22,375.08,372.55,372.55,372.55,371.6,370.65,371.9,371.6,370.95,370.95,0.0,371.6,371.6,369.69,345.65,369.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.05,0.0,298.22,298.22,298.22,298.22,297.27,297.27,297.27,296.63,296.94,296.94,296.94,296.94,0.0,0.0,295.68
