T_REC,NOAA_AR,SAVNCPP,MEANPOT,EPSZ,TOTBSQ,TOTFZ,TOTABSTWIST
2011.09.23_17:00:00.000_TAI,11295,3764574000000.0,7156.2,-0.3778392469072007,58569800374.78023,-11693.74597570903,7849.050050178725
2011.09.23_17:24:00.000_TAI,11302,17688140000000.0,15260.0,-0.1997025365787114,81900636628.3265,-8642.584781637783,7762.1090793552
2011.09.23_18:12:00.000_TAI,11302,17740190000000.0,14432.0,-0.198644013557081,82911089283.45328,-8702.838699436132,8227.44049121367
2011.09.23_19:24:00.000_TAI,11302,3836011000000.0,16286.0,-0.1598369601669474,84707736218.03972,-7154.397688088148,7529.501921708532
2011.09.23_20:36:00.000_TAI,11302,19396180000000.0,16434.0,-0.1969437986327254,85205041799.16994,-8867.072426543185,7667.964159926211
2013.06.06_15:36:00.000_TAI,11762,20064140000000.0,6305.5,-0.1407727030387023,90619121450.6807,-6740.792989296327,7812.918958260803
2011.09.24_04:48:00.000_TAI,11302,17088520000000.0,19251.0,-0.1151085428795228,87602577668.72116,-5328.404906700112,7801.72418275831
2014.04.18_11:36:00.000_TAI,12036,10200580000000.0,8218.9,-0.0931932835475033,82086600212.42987,-4042.309750192947,8102.093037515268
2011.09.24_09:36:00.000_TAI,11303,2283653000000.0,2691.3,-0.5538433674962292,2773803811.254012,-811.7746267211337,510.6064743819624
2011.09.24_15:36:00.000_TAI,11302,10573950000000.0,19711.0,-0.054743173990419,81095173309.30998,-2345.8361580869487,7692.584057545852
2011.09.24_17:00:00.000_TAI,11303,4097988000000.0,5231.9,-0.4589203409711508,6775402667.585993,-1643.029058902854,964.3511933560176
2012.01.16_00:12:00.000_TAI,11401,18097390000000.0,8581.7,-0.0951326474177469,85737039434.88794,-4309.9365940216685,7167.538022407657
2011.09.25_14:48:00.000_TAI,11302,16847050000000.0,20369.0,-0.0463391701049065,76444445448.75282,-1871.832656188796,6949.439192880786
2011.09.27_13:24:00.000_TAI,11302,9290162000000.0,20598.0,0.0112315436411437,65778751096.93887,390.3891811855244,5253.547472352417
2011.09.29_19:12:00.000_TAI,11305,8608635000000.0,13906.0,-0.078928611620452,13612111124.982763,-567.7180361441405,1475.663273368948
2011.09.30_10:00:00.000_TAI,11305,9951615000000.0,16653.0,-0.0289536166440679,13661567017.519505,-209.0143621867828,1173.4355210296494
2014.06.15_10:24:00.000_TAI,12087,20579790000000.0,5601.0,-0.0363744325652829,16971639287.63255,-326.20658233319176,1385.0997384682746
2011.10.01_17:24:00.000_TAI,11302,33374110000000.0,12921.0,-0.1938319895013013,48013463045.94447,-4917.691387571108,5301.594537048008
2011.10.20_13:00:00.000_TAI,11319,6358696000000.0,5866.0,-0.3713887294394251,59122598717.79928,-11602.589261117071,8088.778598662468
2011.10.21_11:12:00.000_TAI,11314,5291827000000.0,6532.2,-0.3503734531788321,54623129806.73784,-10113.010342287516,5936.627511272275
2012.02.05_18:00:00.000_TAI,11410,2576228000000.0,5212.3,-0.2030506792288216,100038271194.41573,-10733.548149904169,9800.115740354451
2011.11.04_03:36:00.000_TAI,11339,2193598000000.0,13113.0,-0.2085840993047252,98202670664.22765,-10823.735521773157,9860.456858576315
2011.11.04_11:24:00.000_TAI,11339,7609687000000.0,12052.0,-0.1965420104064204,90997201591.67244,-9450.529834211273,10017.789773419454
2011.11.04_20:36:00.000_TAI,11339,2709386000000.0,12783.0,-0.1999926236435187,96990082995.74892,-10249.766682510695,11054.360916367708
2011.11.05_01:00:00.000_TAI,11339,5477762000000.0,12102.0,-0.1933671823271484,98452778659.70476,-10059.663572760022,10684.762107140625
2011.11.05_06:36:00.000_TAI,11339,6740021000000.0,11998.0,-0.165300668342135,91463020135.48572,-7989.007648111978,10637.98947791457
2011.11.08_13:36:00.000_TAI,11342,5625341000000.0,6113.1,-0.3371578883973216,31375085672.0115,-5589.731544597133,6091.084003317824
2015.11.03_09:36:00.000_TAI,12445,6269236000000.0,9666.6,-0.474107698156029,16224876080.507812,-4064.723967373121,3333.8770910382677
2011.12.25_02:24:00.000_TAI,11387,1916230000000.0,3678.6,-0.3883841924276367,2618814379.474797,-537.4510321413493,684.2092179786184
2011.12.25_20:36:00.000_TAI,11387,18854450000000.0,9860.3,-0.1595928298945634,10155385013.471811,-856.4112342706172,2007.52436654484
2011.12.29_03:12:00.000_TAI,11389,10589940000000.0,5941.9,-0.4109551378851519,53208239733.14445,-11554.35965002011,7949.583385019607
2014.06.09_08:00:00.000_TAI,12080,13789300000000.0,10255.0,-0.3583915065033002,51415895342.75079,-9737.055489192762,9165.229496550131
2011.12.30_16:24:00.000_TAI,11389,10530100000000.0,6007.0,-0.3501103568385689,52032741948.22477,-9626.187562497766,8927.949829614705
2011.02.15_05:48:00.000_TAI,11158,25921260000000.0,15384.0,-0.2704008878557514,84566746739.12685,-12083.15381650792,11380.031334258849
2012.01.22_04:00:00.000_TAI,11402,23432540000000.0,8185.3,-0.2723791174242197,61124106076.1294,-8797.49348731212,10604.53248398174
2012.02.05_20:00:00.000_TAI,11410,4792349000000.0,5158.3,-0.4104502479438568,21738781055.490314,-4714.8545881276505,3789.080910736656
2012.03.04_04:00:00.000_TAI,11429,35790270000000.0,14848.0,-0.22678635194743,48525213397.60417,-5815.097960970187,3381.868812016284
2012.03.04_19:12:00.000_TAI,11429,40838630000000.0,13193.0,-0.2614381553622998,53298334829.011536,-7363.008329356898,5012.008065147217
2012.03.04_19:36:00.000_TAI,11429,39518300000000.0,13361.0,-0.2600418442441644,53203876254.33557,-7310.7035660030515,5108.6008563328505
2012.03.04_22:36:00.000_TAI,11429,47453470000000.0,14001.0,-0.2228646250099671,58700719348.6627,-6912.853143074532,5311.661272508673
2012.03.05_00:24:00.000_TAI,11429,50756820000000.0,14309.0,-0.2302487173546112,60993405614.41195,-7420.834567806227,5753.737283227294
2012.03.05_01:48:00.000_TAI,11429,54771850000000.0,14541.0,-0.2248436152842564,62832780034.28,-7465.167822786213,5890.297168198033
2012.03.05_04:00:00.000_TAI,11430,56011290000000.0,14435.0,-0.2107159921160361,64008236081.83067,-7126.987779393269,6292.116724735876
2012.03.05_08:00:00.000_TAI,11429,56213640000000.0,15182.0,-0.1981076417586844,65250269350.73714,-6830.558421242996,6146.196117082251
2012.03.05_12:36:00.000_TAI,11430,55583980000000.0,16121.0,-0.1882548001234678,64915384890.39932,-6457.528847083494,5894.944218105426
2012.03.05_22:48:00.000_TAI,11429,78387910000000.0,17438.0,-0.1470944195222318,76183501128.23227,-5921.473561550802,7025.723421344354
2012.03.06_00:24:00.000_TAI,11429,76721450000000.0,18207.0,-0.1328987806723093,77811407539.56111,-5464.330717865316,7108.240169487399
2012.03.06_01:12:00.000_TAI,11429,80033020000000.0,18190.0,-0.1378813279413481,78332584123.1996,-5707.167357127043,7257.535023502563
2012.03.08_03:48:00.000_TAI,11429,91721940000000.0,16383.0,-0.0840549264467003,79239904772.8143,-3519.4912059433755,8680.55361953212
