T_REC,NOAA_AR,R_VALUE,MEANPOT,EPSZ,TOTBSQ,TOTFZ,TOTABSTWIST
2016.07.20_22:24:00.000_TAI,12567,4.817,12922.0,-0.0323837195318815,51807274793.67288,-886.5237180768178,3878.369126414296
2015.10.01_23:12:00.000_TAI,12422,4.777,9455.7,-0.0598191891681746,25531531904.11063,-807.0310628119998,3979.908633526136
2015.01.30_00:12:00.000_TAI,12277,4.728,5697.3,-0.096059911167252,27764659529.97798,-1409.312643458435,4414.785641455149
2013.10.21_23:12:00.000_TAI,11875,4.749,8234.8,-0.176643324941946,44393052964.99416,-4143.669640303072,4906.310625317463
2011.10.20_12:24:00.000_TAI,11314,4.522,5826.2,-0.2410205429197061,43365415255.21529,-5522.941060285869,4740.769940067825
2016.07.23_04:00:00.000_TAI,12567,4.52,8714.0,-0.2437968217313735,41477582308.92304,-5343.358386140757,4303.69624301685
2012.04.26_18:36:00.000_TAI,11466,3.756,6583.9,-0.4085277511122856,14332397554.624607,-3093.949008172196,2787.4039155086944
2010.08.06_06:00:00.000_TAI,11093,3.821,6299.0,-0.4569868649370628,14590409810.166548,-3523.2542623818927,2782.992216079805
2014.07.10_08:24:00.000_TAI,12106,3.799,2003.5,-0.464785223015208,14573441920.764038,-3579.209938305948,2815.784970037568
2014.03.09_13:36:00.000_TAI,11996,4.194,4711.3,-0.1603268292310589,21503639779.59408,-1821.7590656738007,3874.120947813439
2014.03.10_05:24:00.000_TAI,11996,4.415,4953.5,-0.1159410444716139,19439373488.09289,-1190.9464991039115,3336.5411871269207
2012.11.13_05:48:00.000_TAI,11613,4.336,7006.9,-0.1298513293652801,17860217009.770603,-1225.4790719708988,2942.494792112735
2012.11.19_15:48:00.000_TAI,11618,4.332,4662.7,-0.1603130894333833,16336432838.183607,-1383.881687575909,3285.3671269223632
2013.11.09_08:12:00.000_TAI,11890,4.495,11564.0,-0.2307318506751784,18869502572.419533,-2300.5986630525,3667.073705127292
2014.12.26_22:48:00.000_TAI,12249,4.503,7467.4,-0.2504126386091307,18365383652.83229,-2430.127797079545,3724.3665621654873
2013.11.09_03:12:00.000_TAI,11890,4.523,11405.0,-0.3388423579512642,24263022221.163376,-4344.255168478348,4824.558094890071
2012.07.04_02:36:00.000_TAI,11513,4.135,10550.0,-0.5424516758469194,26932819237.849564,-7719.971056278241,4904.257753696434
2015.05.04_14:24:00.000_TAI,12335,4.561,7834.2,-0.3691291769174105,43929150468.91462,-8568.484842003689,8581.414666633196
2015.05.05_16:24:00.000_TAI,12339,4.664,8598.0,-0.4177319884260934,48747052515.575584,-10760.161700878769,8283.242253590637
2015.12.23_21:36:00.000_TAI,12473,4.755,15059.0,-0.1858562942518982,77360783583.10828,-7597.502878583216,7046.944296137299
2016.07.20_23:12:00.000_TAI,12567,4.748,12876.0,-0.206602187194616,78211355819.69627,-8538.419656516638,7158.588506674743
2011.08.03_04:00:00.000_TAI,11263,4.643,21997.0,-0.3778392469072007,58569800374.78023,-11693.74597570903,7849.050050178725
2011.09.23_17:24:00.000_TAI,11302,4.8210000000000015,15260.0,-0.1997025365787114,81900636628.3265,-8642.584781637783,7762.1090793552
2015.10.02_11:24:00.000_TAI,12422,4.84,9310.4,-0.198644013557081,82911089283.45328,-8702.838699436132,8227.44049121367
2015.06.18_16:36:00.000_TAI,12371,4.88,13577.0,-0.1598369601669474,84707736218.03972,-7154.397688088148,7529.501921708532
2012.01.17_14:24:00.000_TAI,11402,4.878,9225.8,-0.1969437986327254,85205041799.16994,-8867.072426543185,7667.964159926211
2014.12.21_19:24:00.000_TAI,12242,4.898,6582.8,-0.1407727030387023,90619121450.6807,-6740.792989296327,7812.918958260803
2014.02.06_14:36:00.000_TAI,11968,4.945,8426.0,-0.1151085428795228,87602577668.72116,-5328.404906700112,7801.72418275831
2015.03.10_18:12:00.000_TAI,12297,4.921,11522.0,-0.0931932835475033,82086600212.42987,-4042.309750192947,8102.093037515268
2013.05.22_11:24:00.000_TAI,11745,3.232,2784.2,-0.5538433674962292,2773803811.254012,-811.7746267211337,510.6064743819624
2015.10.01_04:24:00.000_TAI,12422,4.972,11067.0,-0.054743173990419,81095173309.30998,-2345.8361580869487,7692.584057545852
2015.06.18_00:00:00.000_TAI,12365,3.57,0.0,-0.4589203409711508,6775402667.585993,-1643.029058902854,964.3511933560176
2012.07.12_15:00:00.000_TAI,11520,5.132999999999999,12475.0,-0.0951326474177469,85737039434.88794,-4309.9365940216685,7167.538022407657
2015.08.25_05:00:00.000_TAI,12403,5.153,15305.0,-0.0463391701049065,76444445448.75282,-1871.832656188796,6949.439192880786
2014.12.21_19:00:00.000_TAI,12242,4.92,6605.9,0.0112315436411437,65778751096.93887,390.3891811855244,5253.547472352417
2015.02.09_07:48:00.000_TAI,12282,3.761,6265.8,-0.078928611620452,13612111124.982763,-567.7180361441405,1475.663273368948
2013.02.16_23:36:00.000_TAI,11675,3.981,6300.9,-0.0289536166440679,13661567017.519505,-209.0143621867828,1173.4355210296494
2011.03.14_08:00:00.000_TAI,11169,4.234,5943.7,-0.0363744325652829,16971639287.63255,-326.20658233319176,1385.0997384682746
2013.10.26_20:36:00.000_TAI,11875,4.646,10772.0,-0.1938319895013013,48013463045.94447,-4917.691387571108,5301.594537048008
2014.12.16_14:48:00.000_TAI,12241,4.512,9175.9,-0.3713887294394251,59122598717.79928,-11602.589261117071,8088.778598662468
2011.02.16_12:24:00.000_TAI,11162,4.539,9678.3,-0.3503734531788321,54623129806.73784,-10113.010342287516,5936.627511272275
2017.09.09_17:24:00.000_TAI,12673,4.977,9238.8,-0.2030506792288216,100038271194.41573,-10733.548149904169,9800.115740354451
2014.02.06_16:12:00.000_TAI,11968,4.975,8766.8,-0.2085840993047252,98202670664.22765,-10823.735521773157,9860.456858576315
2015.10.02_14:12:00.000_TAI,12422,5.029,9832.4,-0.1965420104064204,90997201591.67244,-9450.529834211273,10017.789773419454
2015.08.24_14:24:00.000_TAI,12403,5.12,15273.0,-0.1999926236435187,96990082995.74892,-10249.766682510695,11054.360916367708
2012.07.08_16:48:00.000_TAI,11520,5.138,10950.0,-0.1933671823271484,98452778659.70476,-10059.663572760022,10684.762107140625
2012.07.08_16:48:00.000_TAI,11520,5.138,10950.0,-0.165300668342135,91463020135.48572,-7989.007648111978,10637.98947791457
2014.02.28_02:24:00.000_TAI,11982,4.191,2767.8,-0.3371578883973216,31375085672.0115,-5589.731544597133,6091.084003317824
2013.06.07_05:24:00.000_TAI,11762,4.045,5973.3,-0.474107698156029,16224876080.507812,-4064.723967373121,3333.8770910382677
2011.12.25_02:24:00.000_TAI,11387,3.2510000000000003,3678.6,-0.3883841924276367,2618814379.474797,-537.4510321413493,684.2092179786184
2015.06.17_15:24:00.000_TAI,12371,4.5280000000000005,12228.0,-0.1595928298945634,10155385013.471811,-856.4112342706172,2007.52436654484
2012.03.11_22:24:00.000_TAI,11429,4.54,9102.6,-0.4109551378851519,53208239733.14445,-11554.35965002011,7949.583385019607
2015.10.30_17:00:00.000_TAI,12443,4.654,8554.0,-0.3583915065033002,51415895342.75079,-9737.055489192762,9165.229496550131
2012.08.09_16:48:00.000_TAI,11540,4.633,5038.9,-0.3501103568385689,52032741948.22477,-9626.187562497766,8927.949829614705
2016.02.14_19:48:00.000_TAI,12497,4.877,5468.0,-0.2704008878557514,84566746739.12685,-12083.15381650792,11380.031334258849
2015.10.31_00:12:00.000_TAI,12443,4.672,9715.5,-0.2723791174242197,61124106076.1294,-8797.49348731212,10604.53248398174
2012.09.05_18:48:00.000_TAI,11560,4.122,4243.7,-0.4104502479438568,21738781055.490314,-4714.8545881276505,3789.080910736656
2021.10.27_22:24:00.000_TAI,12891,4.4,7314.2,-0.22678635194743,48525213397.60417,-5815.097960970187,3381.868812016284
2011.03.09_17:36:00.000_TAI,11166,4.8260000000000005,16084.0,-0.2614381553622998,53298334829.011536,-7363.008329356898,5012.008065147217
2015.08.22_10:12:00.000_TAI,12403,4.839,11437.0,-0.2600418442441644,53203876254.33557,-7310.7035660030515,5108.6008563328505
2014.12.18_08:12:00.000_TAI,12241,4.879,16917.0,-0.2228646250099671,58700719348.6627,-6912.853143074532,5311.661272508673
2015.03.10_10:12:00.000_TAI,12297,4.905,10307.0,-0.2302487173546112,60993405614.41195,-7420.834567806227,5753.737283227294
2015.01.27_14:36:00.000_TAI,12277,4.923,1135.2,-0.2248436152842564,62832780034.28,-7465.167822786213,5890.297168198033
2013.11.06_11:00:00.000_TAI,11890,5.006,12723.0,-0.2107159921160361,64008236081.83067,-7126.987779393269,6292.116724735876
2011.03.05_17:00:00.000_TAI,11164,5.01,12771.0,-0.1981076417586844,65250269350.73714,-6830.558421242996,6146.196117082251
2011.03.10_20:48:00.000_TAI,11166,4.95,14608.0,-0.1882548001234678,64915384890.39932,-6457.528847083494,5894.944218105426
2014.01.31_02:12:00.000_TAI,11967,5.14,12839.0,-0.1470944195222318,76183501128.23227,-5921.473561550802,7025.723421344354
2014.01.31_13:12:00.000_TAI,11967,5.152,15072.0,-0.1328987806723093,77811407539.56111,-5464.330717865316,7108.240169487399
2015.08.25_05:00:00.000_TAI,12403,5.153,15305.0,-0.1378813279413481,78332584123.1996,-5707.167357127043,7257.535023502563
2013.01.11_03:36:00.000_TAI,11654,5.19,13254.0,-0.0840549264467003,79239904772.8143,-3519.4912059433755,8680.55361953212
2014.02.06_16:12:00.000_TAI,11968,4.975,8766.8,-0.1391331898430085,62864228569.47228,-4621.756696856045,7886.166224525416
2011.08.03_04:00:00.000_TAI,11263,4.643,21997.0,-0.2935854288728765,56286830452.664055,-8732.004705384228,7050.102707214342
2011.06.06_23:00:00.000_TAI,11226,3.787,3033.8,-0.4276743470090788,7585205530.11388,-1714.1676015599655,2488.856822153519
2014.01.07_00:00:00.000_TAI,11947,3.326,3294.5,-0.3792635865370246,6219533916.395692,-1246.4408383204643,1721.1718318470623
2012.03.16_20:36:00.000_TAI,11434,1.791,4796.4,-0.3497861779512913,2449003545.013405,-452.6523780095789,494.1466578263117
2012.03.14_18:48:00.000_TAI,11432,3.502,3073.6,-0.2301242771619505,11880002227.38783,-1444.6136759546075,1637.2586571862823
2012.05.06_09:48:00.000_TAI,11471,3.982,8529.9,-0.2703303139972662,20384987353.240368,-2911.910349177173,3162.100860979433
2011.02.14_04:48:00.000_TAI,11158,4.893,15604.0,-0.2308910746647613,67084068179.00472,-8184.634593802562,7851.027171394391
2013.11.04_23:48:00.000_TAI,11890,5.0360000000000005,11316.0,-0.1396318403697127,67603099635.70239,-4987.969634038597,8164.462413182588
2014.02.05_20:12:00.000_TAI,11968,4.998,9047.5,-0.1347793971692878,68924040803.72952,-4908.705168866747,8497.554477188483
2015.04.11_06:48:00.000_TAI,12321,5.012,10908.0,-0.1219863407944595,75836635480.356,-4888.358390697125,8519.381892958676
2012.05.09_09:48:00.000_TAI,11476,5.013999999999999,16249.0,-0.1112382444235433,79283732162.86856,-4660.269563053449,9105.74082105124
2013.11.04_23:48:00.000_TAI,11890,5.0360000000000005,11316.0,-0.0688640889748791,79367792494.96512,-2888.084715704729,9165.537384258763
2014.03.29_18:36:00.000_TAI,12014,4.126,5221.9,-0.3653397982619665,40911809387.17836,-7898.02350563333,5322.3252170612295
2014.01.31_04:48:00.000_TAI,11968,4.29,4353.0,-0.5127815857792828,43464422603.43103,-11777.12049891243,8321.888015409333
2014.02.18_17:24:00.000_TAI,11976,3.95,8757.4,-0.110759694425173,14957786988.54172,-875.4310091602441,1747.5707232968468
2012.07.07_03:12:00.000_TAI,11520,4.775,9071.7,-0.1991220754598774,38195518919.43378,-4018.876302289653,5163.705982819383
2021.09.23_00:12:00.000_TAI,12871,4.225,5857.7,-0.3644041740675239,15418004747.981562,-2968.8226119906776,2741.8038447993385
2014.04.14_22:24:00.000_TAI,12035,4.3210000000000015,4318.6,-0.398586169614932,20124983000.8142,-4238.680362957038,4157.510413235781
2021.09.22_23:12:00.000_TAI,12871,4.256,5831.7,-0.3638737744251938,20575012467.66749,-3956.067247691528,4151.151934862014
2011.01.26_12:36:00.000_TAI,11149,4.178999999999999,7080.6,-0.3018153401414736,18028792875.70277,-2875.284644195501,3503.7095182244584
2013.12.21_11:12:00.000_TAI,11934,4.297,6333.3,-0.298053135262822,21171476383.81756,-3334.3999860313365,4040.487605648226
2015.09.19_21:00:00.000_TAI,12420,4.694,0.0,-0.1450596088132464,39042586679.97308,-2992.663954069049,5028.3252718743215
2014.10.18_09:48:00.000_TAI,12192,4.792,12952.0,-0.1237025038555277,42402254543.30978,-2771.661712670756,5352.009669177262
2012.07.02_00:00:00.000_TAI,11515,4.721,12344.0,-0.1144531016120362,43059042072.13971,-2604.1425221107143,5476.709324566459
2017.09.08_11:24:00.000_TAI,12673,4.916,12528.0,-0.1021979757333122,47280866986.92479,-2553.292634547832,6414.865521809526
2011.11.03_22:48:00.000_TAI,11339,4.955,12766.0,-0.0920116429985436,49463831957.51592,-2404.935295808224,6714.441823810356
2014.10.19_11:36:00.000_TAI,12192,4.924,13722.0,-0.075954538884996,50268534351.85182,-2017.543294543012,6856.52780352299
2014.10.19_13:24:00.000_TAI,12192,5.013,13836.0,-0.0727757260806586,51844175267.93768,-1993.697831396304,7253.61944161904
2021.05.07_12:12:00.000_TAI,12822,3.985,10005.0,-0.1728679096556183,26485051086.58962,-2419.290658973398,3371.141511479024
2015.08.22_19:36:00.000_TAI,12403,4.9460000000000015,13390.0,-0.0955837062911511,55048824603.14192,-2780.383893786575,7375.011125792835
2012.07.11_22:24:00.000_TAI,11520,5.018,12478.0,-0.1127165016384885,55778176992.24038,-3322.1918118782887,7530.658181881698
2014.02.06_08:36:00.000_TAI,11968,5.033,8903.4,-0.1164518651084617,56114031790.148766,-3452.9538118280348,7610.5052815994095
2012.03.08_19:12:00.000_TAI,11429,5.038,14229.0,-0.1128587260029371,56349275841.87629,-3360.4419061512176,7733.802829205012
2012.07.12_18:36:00.000_TAI,11521,5.103,13560.0,-0.1093108127328018,56105025565.09769,-3240.691897319263,7775.969277245092
2015.08.24_14:24:00.000_TAI,12403,5.12,15273.0,-0.1041279409164278,56704689687.25424,-3120.032693144637,7825.363055645327
2015.08.25_05:00:00.000_TAI,12403,5.153,15305.0,-0.0931782424120699,57206060430.36209,-2816.627469198124,8123.981214795997
2012.07.08_20:24:00.000_TAI,11520,5.181,12380.0,-0.0931067788008447,57897302022.02586,-2848.475223460832,8322.467679144382
2012.07.04_20:12:00.000_TAI,11515,5.227,13082.0,-0.111608921053696,64826908719.53959,-3823.200657002867,9137.425968878477
2012.03.06_09:00:00.000_TAI,11429,5.222,15759.0,-0.1077439759855159,66098092035.337685,-3763.177993454552,9261.32919945895
2011.09.22_01:48:00.000_TAI,11302,5.188,14972.0,-0.1313803838810952,67262953642.16723,-4669.595735499472,9286.409187263567
2014.10.20_04:00:00.000_TAI,12192,5.223,16301.0,-0.1326715285463179,67879167023.35597,-4758.685886382164,9264.462810960127
2012.07.04_20:12:00.000_TAI,11515,5.227,13082.0,-0.1411711647255309,68658040168.59226,-5121.654657109358,9246.58693462576
2012.07.08_20:24:00.000_TAI,11520,5.181,12380.0,-0.146257966901554,67733944713.11589,-5234.783387780812,8972.311696945362
2012.07.06_14:24:00.000_TAI,11515,5.193,13277.0,-0.1533547382628574,68355184619.751526,-5539.128967853271,9367.604204834248
2014.02.05_08:00:00.000_TAI,11967,5.278,18035.0,-0.1657109304472818,75628562097.26105,-6622.315759664383,10496.905369574692
2011.11.15_06:00:00.000_TAI,11348,5.18,7046.9,-0.1754356644744188,78467477721.63882,-7274.1195759460925,10396.96421670072
2012.03.08_04:24:00.000_TAI,11429,5.195,15970.0,-0.1812506988802292,80774241888.27966,-7736.160319074805,10348.542043138914
2014.10.20_14:00:00.000_TAI,12192,5.2410000000000005,16504.0,-0.1972773088181113,83328544144.42458,-8686.480274183505,10139.353956400157
2014.12.19_18:00:00.000_TAI,12242,5.081,7172.4,-0.2560948879958525,91824173331.49634,-12425.980397459907,10371.203550513748
2012.07.11_22:24:00.000_TAI,11520,5.018,12478.0,-0.2552027113891791,88056822192.49374,-11874.658483345062,9935.421269740466
2014.06.12_13:36:00.000_TAI,12085,4.963,10398.0,-0.2788421389332616,88558127738.45633,-13048.470573670242,10043.326923257882
2014.11.14_06:12:00.000_TAI,12209,5.197,8121.1,-0.2151957870634999,132364324257.64618,-15051.423939369042,15850.80785583785
2012.07.06_03:36:00.000_TAI,11515,5.2170000000000005,14413.0,-0.191560508630628,133207732070.7495,-13483.673942840447,16135.09452299035
2012.07.05_04:12:00.000_TAI,11515,5.23,14127.0,-0.1903281510719918,130987381945.69247,-13173.626013756631,15856.620442740144
2011.09.25_01:36:00.000_TAI,11302,5.073,20189.0,-0.0996253125136768,110795441331.38664,-5832.6293752962265,12791.383798094526
2012.07.12_04:48:00.000_TAI,11521,5.063,12770.0,-0.137300909156058,115789654561.23984,-8400.709791978808,13470.479920526672
2014.01.01_14:36:00.000_TAI,11936,4.618,6573.1,-0.4044711058248088,71310204422.61078,-15240.950447820524,10532.347790052752
2013.11.03_09:24:00.000_TAI,11890,4.598,10093.0,-0.3804407091891303,69556871471.16269,-13982.982725390952,10408.162231165124
2015.09.26_05:12:00.000_TAI,12422,4.773,15433.0,-0.2826369056934678,64478380804.965485,-9629.766917062148,10843.172871808812
2014.03.09_11:36:00.000_TAI,12002,4.308,4929.6,-0.4566004503573176,29546859782.98007,-7128.866617574327,6661.329680405235
2015.01.26_21:24:00.000_TAI,12268,4.331,11351.0,-0.3789846947058311,15624526926.490835,-3128.9698660157005,2857.902692013951
2013.06.23_12:48:00.000_TAI,11778,4.081,3930.6,-0.4187485317429949,26077454565.416546,-5770.204679471699,8613.062801729073
2015.09.19_09:24:00.000_TAI,12415,4.293,7748.2,-0.4880274791679981,33233347299.694187,-8570.20417900381,8184.894200414104
2014.03.30_00:48:00.000_TAI,12017,4.307,5367.4,-0.4610580274987276,28408298757.88021,-6921.075960766013,5891.490580924106
2014.05.23_11:48:00.000_TAI,12065,4.0360000000000005,2971.8,-0.3110725468820048,11810975877.724863,-1941.4228692393256,1332.51289019944
2013.10.29_22:48:00.000_TAI,11877,4.172,4871.8,-0.3272944427932051,12293215997.882956,-2126.066511973129,1623.994330039184
2015.06.19_20:48:00.000_TAI,12367,4.372,4542.5,-0.3311950403368676,17476559607.81003,-3058.527675039281,2991.101582920505
2015.06.12_09:36:00.000_TAI,12360,4.436,4237.7,-0.3198801091972145,16528945738.688498,-2793.8630669130625,2948.6548454251183
2012.11.19_19:24:00.000_TAI,11618,4.199,5812.9,-0.3522250530828253,13457076733.921003,-2504.6300659043536,2913.647799949156
2011.08.07_22:00:00.000_TAI,11263,4.597,11695.0,-0.2074094156372944,16241940159.737768,-1780.077948513711,3641.468657895441
2017.04.02_04:12:00.000_TAI,12644,4.641,7701.2,-0.1841911944331602,17424305593.189697,-1695.8877018654846,3713.860064470858
2013.06.20_04:00:00.000_TAI,11777,4.131,14921.0,-0.5616947554116765,20700456860.258747,-6144.023713100897,3607.907567916169
2014.01.12_17:00:00.000_TAI,11944,4.722,11402.0,-0.1772510855813289,25760347043.962933,-2412.755723195756,3664.697279323255
2011.03.08_06:48:00.000_TAI,11166,4.695,13241.0,-0.2658952934561628,31954330227.025925,-4489.655349101649,4433.681508086077
2014.02.07_00:36:00.000_TAI,11967,5.07,12298.0,-0.2173700604862528,69028073862.1302,-7928.628969199806,7465.784439196222
2014.06.12_15:12:00.000_TAI,12085,4.981,10299.0,-0.2114811232512901,67676253646.09007,-7562.763746280621,7807.457064067178
2014.06.30_20:12:00.000_TAI,12106,4.212,2068.1,-0.3094944410828303,19648875627.01685,-3213.3878913532976,4959.698982118377
2013.05.04_04:48:00.000_TAI,11739,4.213,4568.1,-0.3387206054644285,17194114630.074127,-3077.471140921377,4637.492211797655
2013.02.16_15:48:00.000_TAI,11675,2.575,3616.8,-0.4569738137800464,696682444.0705003,-168.2282388302962,204.62535413040985
2013.03.04_08:00:00.000_TAI,11686,3.631,5241.0,-0.2789053957441541,4698645389.9017935,-692.4719830829417,573.202713530196
2012.11.12_10:00:00.000_TAI,11613,4.164,7481.7,-0.3726174624364404,36054431575.33746,-7098.956532543907,4722.811304160051
2011.02.26_20:00:00.000_TAI,11164,4.184,5872.9,-0.2807255817626693,18139485601.733784,-2690.7893799025987,3424.1797140487524
2013.10.07_13:36:00.000_TAI,11865,4.5680000000000005,5495.1,-0.2429368552322505,27432601557.76406,-3521.544586144006,3691.212419423678
2013.10.23_17:12:00.000_TAI,11875,4.935,15035.0,-0.0961488699904529,34200294128.17574,-1737.587810311735,4573.042910983232
2011.08.02_05:12:00.000_TAI,11261,4.763,13225.0,-0.1261027121561443,25678772629.600643,-1711.0845362133457,5431.7294960412455
2012.11.07_11:36:00.000_TAI,11611,4.492,9107.8,-0.3534567554880805,20061795297.293182,-3746.958121115707,5987.3891174302335
2013.10.28_05:36:00.000_TAI,11877,4.541,7400.2,-0.4921231623865158,20995425457.1174,-5459.730392757661,4384.985937245539
2011.03.23_11:48:00.000_TAI,11176,4.45,7637.2,-0.4027892057580641,25193158958.198154,-5362.078961768768,3850.904297142514
2016.07.23_21:48:00.000_TAI,12567,4.437,7862.8,-0.3539093512688682,21967123918.82809,-4108.071444658808,3939.2453421742152
2014.03.27_09:48:00.000_TAI,12017,3.4330000000000003,7055.5,-0.5603424091264468,16873906341.950811,-4996.224092049336,3680.762186719116
2013.05.31_13:48:00.000_TAI,11760,3.553,2551.7,-0.6486550308453125,3949740435.631008,-1353.8019365570915,1117.7316083901967
2013.11.15_11:00:00.000_TAI,11900,4.619,10594.0,-0.2605045215991293,30579804662.475483,-4209.425514828386,4607.837207743656
2015.01.26_21:24:00.000_TAI,12268,4.331,11351.0,-0.3596751232102224,12049584481.754091,-2290.104337976043,2413.44795603534
2015.06.20_22:12:00.000_TAI,12367,4.452,4708.4,-0.0830016455779768,21204500163.84614,-930.0100766125644,2306.785085776152
2013.11.15_07:48:00.000_TAI,11900,4.582,11578.0,-0.0963207269147952,21544493376.71936,-1096.5508062007736,2338.443968819557
2013.10.15_15:00:00.000_TAI,11865,4.33,5898.7,-0.2696993919692605,20194597471.16882,-2877.98110423633,3691.648480049844
2013.10.29_13:48:00.000_TAI,11877,4.258,5533.9,-0.2661202360048733,14573696748.317122,-2049.370223946888,2930.642179782232
2015.09.19_09:24:00.000_TAI,12415,4.293,7748.2,-0.2769116842899801,14892261834.351397,-2179.0869664929683,3123.357298006817
2013.10.17_04:00:00.000_TAI,11861,4.58,9325.2,-0.2907311175783581,35860878826.442726,-5509.157331621928,4161.716886718565
2010.10.16_07:00:00.000_TAI,11112,4.013,3694.7,-0.4303438931906013,11481411369.290468,-2610.860400033177,2880.6758150418536
2014.02.27_23:12:00.000_TAI,11991,4.2780000000000005,11108.0,-0.3620116512778919,18428541983.200115,-3525.2206235330445,4416.952259730841
2015.01.01_09:48:00.000_TAI,12253,4.774,8998.6,-0.1535938920537908,26599095175.80913,-2158.805384631808,5244.607596111986
