T_REC,NOAA_AR,R_VALUE,MEANPOT,EPSZ,TOTBSQ,TOTFZ,TOTABSTWIST
2013.12.20_02:00:00.000_TAI,11934,4.072,8128.5,-0.3687019193424324,5229536593.483387,-1018.8525657968606,1216.566630362739
2014.02.19_02:48:00.000_TAI,11976,3.818,6486.4,-0.3066304182256304,14440870563.459549,-2339.814305641651,2342.365915077236
2021.07.03_09:12:00.000_TAI,12838,3.707,6354.9,-0.454163945411238,7179321730.79921,-1722.9345667881744,2389.672058940356
2013.12.06_16:12:00.000_TAI,11909,3.782,5511.9,-0.54861213040489,7219961412.515813,-2093.0180313980604,1178.7999591721389
2012.06.26_17:00:00.000_TAI,11513,3.4730000000000003,5290.5,-0.28255439118425,5323465639.08771,-794.8207127950978,984.1588183661648
2012.07.02_08:00:00.000_TAI,11515,4.803,12587.0,-0.0314953514029192,27527128903.24016,-458.12078302699854,3577.874110498901
2013.11.04_01:36:00.000_TAI,11890,4.807,10470.0,-0.0609103266506883,33741086346.97802,-1085.9820348469316,3826.89829817622
2013.10.29_22:48:00.000_TAI,11877,4.172,4871.8,-0.5181944068678865,9015392531.740808,-2468.59567199102,1901.3384824767968
2013.11.13_12:36:00.000_TAI,11897,4.8610000000000015,6710.5,-0.0397890587348193,37892726256.88918,-796.6953183841432,4428.5126077627065
2015.08.23_19:12:00.000_TAI,12403,5.005,15136.0,-0.2303579866741237,37724957271.72985,-4592.030039495076,5002.580592258692
2021.10.27_05:12:00.000_TAI,12891,4.018,5991.6,-0.2101540960431289,17050543017.378609,-1893.427791922378,2518.405166284095
2014.01.06_00:24:00.000_TAI,11944,5.027,14884.0,-0.2287156458225893,38739559478.547134,-4681.911947032849,5103.712497092652
2013.03.19_23:48:00.000_TAI,11692,4.055,8617.7,-0.1983586270788618,16463349029.659103,-1725.6070234527267,2486.3022397528616
2014.07.10_07:00:00.000_TAI,12106,3.665,2179.2,-0.2196250019339963,17128337780.68236,-1987.7861313397093,2562.594170430419
2011.07.26_13:00:00.000_TAI,11260,4.4510000000000005,5458.6,-0.4322801897781458,18631190128.917816,-4255.774757854888,3602.455884036854
2011.02.17_12:12:00.000_TAI,11158,5.002,10859.0,-0.2069168797023859,64408721903.71484,-7042.279768949809,8699.150947065571
2015.05.04_14:24:00.000_TAI,12335,4.561,7834.2,-0.444187994721952,25202455656.06721,-5915.375595873779,4215.227279892364
2012.07.12_10:36:00.000_TAI,11520,5.082,13178.0,-0.2099883276140116,65019425622.8269,-7214.57952528752,8824.855135635786
2014.10.17_16:36:00.000_TAI,12192,5.06,11239.0,-0.1988388645027536,64023561614.35407,-6726.880581015983,8355.941561317488
2011.04.22_04:00:00.000_TAI,11195,4.846,4648.2,-0.2632894439625664,64400741378.27957,-8959.773814594962,8581.354267421399
2014.02.02_19:24:00.000_TAI,11968,4.606,8329.4,-0.4123671227548672,39297156339.9206,-8562.842181507018,5684.454202608051
2015.09.19_21:00:00.000_TAI,12420,4.694,0.0,-0.3843613573867358,43329191761.959946,-8800.209559217561,5748.148331329677
2014.11.07_18:12:00.000_TAI,12205,4.872,7807.0,-0.0546348284423162,45491552594.58197,-1313.327493524958,5103.55852017859
2015.04.22_03:00:00.000_TAI,12322,4.931,0.0,-0.1067800245543301,52872396115.95589,-2983.264110611061,6019.909779529228
2013.05.10_11:36:00.000_TAI,11745,4.581,990.73,-0.2701735137080562,23529897104.33033,-3359.1976296465755,3677.4397613119295
2011.02.27_22:00:00.000_TAI,11164,4.405,4360.7,-0.3332211620544619,23064776130.37961,-4061.2011966983055,3807.4942546977727
2011.08.08_00:24:00.000_TAI,11263,4.56,10980.0,-0.3426350883960802,48395467327.99325,-8762.12120113241,7473.084131602039
2011.02.17_04:00:00.000_TAI,11158,4.772,10037.0,-0.2179877980563308,25667546759.75276,-2956.577178216417,5247.2901399080765
2014.04.18_04:12:00.000_TAI,12036,4.376,9482.3,-0.5168982946322996,34123508611.27331,-9320.335983712412,6642.837547758863
2013.10.12_08:36:00.000_TAI,11865,4.498,8077.6,-0.5060616183812865,35569116010.10174,-9511.504228071532,7442.991513577383
2012.05.06_18:36:00.000_TAI,11471,3.971,7159.7,-0.4558865059368672,16334165387.872189,-3934.834978591404,4021.683731244969
2011.12.26_01:12:00.000_TAI,11387,4.408,8374.8,-0.4271314797233473,12329043274.387497,-2782.683797774805,2673.170516129158
2011.03.22_02:24:00.000_TAI,11176,4.51,12525.0,-0.288350706887546,23821150410.70581,-3629.581528053551,3647.566077559648
2012.01.17_14:24:00.000_TAI,11402,4.878,9225.8,-0.0477640672611647,30248562887.57112,-763.4469578645561,5008.848419270242
2012.06.12_03:36:00.000_TAI,11504,4.735,9156.3,-0.0313434251396348,27774036410.81612,-460.000509015127,4026.595818770285
