,time_start,time_peak,time_end,nar,xray_class,magnitude,COINCIDENCE,AR_class,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf
1,2017-12-23 20:24:00,2017-12-23 20:36:00,2017-12-23 20:36:00,12692,B,1.0,False,0,78.554,412.9,46.713,64.152,113.98,117.97,0.077318,0.0044399,5663.2,37.78,4.2607,3581400000000.0,31.809,1.3307e+23,953.55,19099000000000.0,1.1253e+22,176.45,5527.1,17.505
7,2021-07-21 02:00:00,2021-07-21 02:00:00,2021-07-21 02:12:00,12847,B,3.3,False,0,0.0,19.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4743,0.0,0.0,0.0,0.0,0.0,0.0,17.357,2710.3,2.3637
8,2021-09-03 09:36:00,2021-09-03 09:36:00,2021-09-03 09:36:00,12863,B,2.9,False,0,61.037,288.44,52.415,59.907,102.85,102.09,0.074811,0.0066446,10126.0,42.365,2.9965,1624200000000.0,43.109,1.2354e+23,374.7,8094500000000.0,5.719e+21,137.32,578.54,16.562
10,2017-12-25 07:00:00,2017-12-25 07:12:00,2017-12-25 07:24:00,12692,B,1.6,False,0,78.554,412.9,46.713,64.152,113.98,117.97,0.077318,0.0044399,5663.2,37.78,4.2607,3581400000000.0,31.809,1.3307e+23,953.55,19099000000000.0,1.1253e+22,176.45,5527.1,17.505
15,2019-04-08 22:12:00,2019-04-08 22:24:00,2019-04-08 22:24:00,12738,B,1.7,False,0,126.65,698.57,45.963,35.662,70.694,74.409,-0.12495,0.004028,14382.0,40.868,4.0607,6547900000000.0,37.517,6.0058e+23,1048.3,21149000000000.0,2.1701e+22,34.382,9400.4,2.22
16,2016-04-01 03:36:00,2016-04-01 03:36:00,2016-04-01 03:36:00,12526,B,1.0,False,0,18.992,535.71,45.11,39.977,80.617,84.936,-0.086798,-0.00079886,12076.0,38.844,4.1563,1080500000000.0,37.617,3.8128e+23,844.42,17663000000000.0,1.628e+22,54.966,0.0,4.1429
20,2013-08-08 17:48:00,2013-08-08 19:24:00,2013-08-08 19:24:00,11810,B,4.1,False,0,91.169,272.41,36.551,59.932,126.97,126.99,0.99969,0.011308,2753.9,29.201,2.8769,4359600000000.0,13.432,2.9488e+22,354.89,7594800000000.0,4.9502e+21,119.69,76.091,36.987
21,2017-04-10 21:12:00,2017-04-10 21:12:00,2017-04-10 21:24:00,12650,B,1.6,False,0,74.367,243.95,32.255,32.208,64.321,69.238,-0.034553,0.0040428,2955.6,24.735,3.2912,4418400000000.0,13.307,7.2208e+22,477.27,9041200000000.0,1.2664e+22,0.0,0.0,0.0
22,2016-03-26 23:12:00,2016-03-26 23:12:00,2016-03-26 23:24:00,12526,B,1.9,False,0,88.97,514.45,44.808,33.141,62.227,67.62,-0.077332,-0.0034061,11227.0,36.147,4.0418,1057100000000.0,35.519,3.8947e+23,855.87,16406000000000.0,1.7926e+22,37.202,0.0,3.1227
25,2017-04-11 03:36:00,2017-04-11 04:00:00,2017-04-11 04:12:00,12650,B,1.3,True,0,76.64,232.52,30.869,33.796,70.819,74.058,-0.11925,0.004114,2780.8,23.668,3.6083,4520700000000.0,10.945,6.8796e+22,575.9,10691000000000.0,1.2925e+22,0.0,0.0,0.0
