,FLARE_TYPE,COINCIDENCE,TOTUSJH_1,TOTUSJH_2,TOTUSJH_3,TOTUSJH_4,TOTUSJH_5,TOTUSJH_6,TOTUSJH_7,TOTUSJH_8,TOTUSJH_9,TOTUSJH_10,TOTUSJH_11,TOTUSJH_12,TOTUSJH_13,TOTUSJH_14,TOTUSJH_15,TOTUSJH_16,TOTUSJH_17,TOTUSJH_18,TOTUSJH_19,TOTUSJH_20,TOTUSJH_21,TOTUSJH_22,TOTUSJH_23,TOTUSJH_24,TOTUSJH_25,TOTUSJH_26,TOTUSJH_27,TOTUSJH_28,TOTUSJH_29,TOTUSJH_30,TOTUSJH_31,TOTUSJH_32,TOTUSJH_33,TOTUSJH_34,TOTUSJH_35,TOTUSJH_36,TOTUSJH_37,TOTUSJH_38,TOTUSJH_39,TOTUSJH_40,TOTUSJH_41,TOTUSJH_42,TOTUSJH_43,TOTUSJH_44,TOTUSJH_45,TOTUSJH_46,TOTUSJH_47,TOTUSJH_48,TOTUSJH_49,TOTUSJH_50,TOTUSJH_51,TOTUSJH_52,TOTUSJH_53,TOTUSJH_54,TOTUSJH_55,TOTUSJH_56,TOTUSJH_57,TOTUSJH_58,TOTUSJH_59,TOTUSJH_60,TOTUSJH_61,TOTUSJH_62,TOTUSJH_63,TOTUSJH_64,TOTUSJH_65,TOTUSJH_66,TOTUSJH_67,TOTUSJH_68,TOTUSJH_69,TOTUSJH_70,TOTUSJH_71,TOTUSJH_72,TOTUSJH_73,TOTUSJH_74,TOTUSJH_75,TOTUSJH_76,TOTUSJH_77,TOTUSJH_78,TOTUSJH_79,TOTUSJH_80,TOTUSJH_81,TOTUSJH_82,TOTUSJH_83,TOTUSJH_84,TOTUSJH_85,TOTUSJH_86,TOTUSJH_87,TOTUSJH_88,TOTUSJH_89,TOTUSJH_90,TOTUSJH_91,TOTUSJH_92,TOTUSJH_93,TOTUSJH_94,TOTUSJH_95,TOTUSJH_96,TOTUSJH_97,TOTUSJH_98,TOTUSJH_99,TOTUSJH_100,TOTUSJH_101,TOTUSJH_102,TOTUSJH_103,TOTUSJH_104,TOTUSJH_105,TOTUSJH_106,TOTUSJH_107,TOTUSJH_108,TOTUSJH_109,TOTUSJH_110,TOTUSJH_111,TOTUSJH_112,TOTUSJH_113,TOTUSJH_114,TOTUSJH_115,TOTUSJH_116,TOTUSJH_117
0,X,False,2922.3,2975.1,2982.6,2959.0,2975.3,2962.9,2970.9,2954.4,2949.6,2922.5,2926.6,2902.5,2891.1,2869.3,2871.9,2894.2,2880.9,2878.2,2858.9,2869.3,2896.2,2870.1,2887.6,2875.9,2898.0,2935.1,2953.9,2976.7,3007.1,3016.0,2997.0,2995.3,3004.6,3027.1,2994.7,3012.6,2998.1,2951.0,2951.9,2948.1,2933.1,2881.8,2868.3,2887.0,2883.9,2884.4,2862.4,2878.7,2890.6,2879.2,2895.8,2929.5,2918.0,2905.7,2906.7,2900.7,2920.9,2937.3,2925.1,2953.3,2964.2,2940.4,2955.3,2965.8,2952.3,2933.7,2930.1,2904.9,2907.4,2897.8,2896.2,2907.6,2911.8,2930.0,2931.0,2919.1,2930.9,2986.1,2973.9,3021.6,3030.0,3046.9,3059.1,3080.0,3091.8,3076.5,3072.1,3084.8,3096.1,3096.8,3107.1,3094.3,3088.6,3071.4,3020.0,3020.6,2997.3,2960.5,2962.6,2981.7,3028.9,3030.6,3029.4,3016.6,3047.0,3060.2,3078.7,3096.1,3130.6,3137.0,3131.4,3157.0,3175.1,3130.1,3155.2,3136.1,3181.0
1,X,False,3133.6,3067.6,3078.9,3041.2,3073.1,3055.1,3027.3,3024.3,3021.6,3009.1,2994.3,2984.0,2995.8,2983.6,2978.1,2964.8,2999.9,3001.1,2994.9,3002.2,2990.4,3009.3,2996.7,3006.9,2981.9,2967.1,2971.7,2962.4,2956.2,2929.4,2950.9,2918.8,2881.1,2892.8,2853.5,2857.9,2885.4,2917.1,2937.0,2995.6,3023.9,3031.5,3066.1,3040.0,3072.0,3060.1,3055.8,3032.8,3001.5,2966.7,2979.9,2955.4,2889.4,2843.9,2861.7,2888.5,2875.4,2851.4,2855.9,2845.6,2836.0,2828.6,2846.7,2863.2,2879.7,2891.8,2907.8,2912.6,2879.3,2888.4,2893.2,2896.5,2941.5,2984.0,3012.5,3003.9,3040.0,3073.4,3066.1,3095.6,3111.5,3106.0,3093.0,3130.5,3131.0,3179.1,3211.2,3240.0,3241.6,3271.2,3308.4,3358.7,3424.3,3456.1,3479.9,3564.4,3612.1,3631.6,3618.5,3601.6,3608.4,3560.7,3739.8,3471.3,3466.7,3477.9,3482.6,3511.3,3527.1,3572.5,3598.5,3629.7,3651.6,3703.6,3725.2,3790.7,3786.2
2,X,False,2283.9,2283.0,2307.4,2299.2,2327.6,2307.4,2318.4,2254.9,2241.8,2208.7,2202.1,2195.4,2187.3,2160.8,2183.9,2174.2,2155.9,2154.9,2175.3,2178.7,2165.9,2150.1,2125.6,2121.9,2083.2,2120.3,2142.8,2105.2,2116.1,2160.8,2166.0,2167.4,2134.5,2152.9,2166.2,2191.5,2165.6,2178.4,2202.7,2213.8,2204.9,2210.1,2205.8,2197.8,2205.1,2229.9,2258.5,2295.4,2313.4,2346.0,2382.2,2359.7,2397.8,2434.3,2434.8,2440.5,2439.5,2425.0,2433.1,2422.0,2398.6,2405.1,2377.6,2411.9,2372.0,2423.6,2400.9,2426.9,2445.9,2451.4,2443.4,2473.4,2524.5,2570.9,2588.3,2636.2,2677.2,2710.5,2650.3,2597.8,2667.3,2526.6,2658.9,2709.7,2667.9,2618.2,2671.9,2634.5,2676.9,2657.4,2559.5,2557.5,2699.3,2747.5,2750.7,2743.2,2605.5,2780.3,2773.0,2814.8,2765.5,2863.1,2980.8,3026.6,2959.8,2999.8,3002.0,2989.7,2999.3,2961.0,2957.4,2981.4,2950.3,2936.1,2959.4,3007.6,2981.4
3,X,False,1711.6,1710.0,1716.0,1724.4,1712.4,1712.8,1713.3,1714.3,1728.2,1708.9,1723.9,1715.5,1699.4,1679.8,1704.6,1695.0,1684.5,1703.6,1703.6,1718.8,1703.7,1696.2,1689.1,1700.5,1694.5,1673.5,1727.6,1681.2,1672.0,1664.6,1660.6,1645.1,1632.4,1638.0,1680.0,1706.9,1762.1,1806.2,1844.5,1865.2,1835.8,1810.1,1742.2,1709.3,1662.6,1660.7,1657.5,1626.4,1608.4,1594.2,1557.1,1557.3,1585.1,1549.0,1594.6,1578.4,1586.3,1605.6,1634.8,1652.8,1616.8,1628.1,1661.6,1667.1,1653.3,1655.0,1643.6,1620.5,1626.7,1584.0,1597.4,1586.9,1588.9,1601.6,1593.1,1586.2,1594.2,1599.4,1596.5,1591.9,1604.3,1596.6,1604.0,1604.4,1607.6,1624.2,1601.9,1604.6,1594.2,1568.2,1559.9,1570.6,1534.6,1513.7,1489.6,1454.2,1477.3,1485.1,1496.8,1495.0,1532.5,1556.6,1569.8,1589.7,1595.6,1572.7,1599.8,1673.6,1698.1,1668.5,1660.1,1610.5,1556.3,1523.6,1525.1,1506.2,1515.1
4,X,True,1630.3,1687.8,1708.1,1706.9,1697.7,1679.6,1703.2,1691.3,1701.5,1675.4,1674.6,1687.7,1683.2,1700.2,1687.8,1658.1,1667.0,1645.0,1643.9,1650.8,1618.7,1638.7,1647.9,1645.3,1621.2,1610.8,1587.8,1603.9,1584.4,1601.2,1593.0,1584.8,1566.1,1557.5,1569.7,1564.3,1612.3,1668.4,1684.7,1739.9,1691.1,1665.5,1629.8,1594.0,1551.6,1585.0,1545.8,1524.5,1519.1,1500.3,1503.8,1458.6,1448.2,1434.1,1439.3,1461.4,1451.4,1480.9,1461.1,1482.5,1492.8,1488.5,1450.7,1445.9,1448.9,1456.9,1442.2,1437.6,1416.9,1392.7,1403.5,1392.4,1413.7,1408.4,1416.7,1431.3,1424.3,1436.3,1427.8,1416.6,1439.4,1439.3,1422.0,1432.9,1417.2,1434.5,1406.4,1399.9,1386.0,1381.7,1335.8,1350.3,1369.5,1383.4,1369.3,1407.6,1406.5,1396.3,1398.5,1436.6,1435.0,1464.6,1542.1,1566.4,1825.8,1545.9,1518.9,1512.0,1498.2,1457.9,1450.3,1439.0,1409.0,1400.6,1390.7,1399.4,1401.7
5,X,False,4998.1,5003.2,5247.5,4992.9,5237.0,5020.8,5070.3,5108.0,5167.0,5230.7,5297.4,5286.1,5275.0,5258.7,5217.8,5218.2,5276.9,5257.2,5287.6,5278.0,5361.5,5298.4,5366.3,5398.1,5409.4,5347.4,5331.4,5371.2,5336.2,5329.0,5397.6,5291.4,5359.6,5295.4,5345.3,5285.0,5350.9,5306.4,5405.1,5334.4,5336.0,5255.7,5308.0,5294.0,5288.9,5246.5,5247.8,5303.3,5331.9,5295.8,5290.5,5492.4,5450.9,5385.1,5399.0,5409.2,5398.4,5401.7,5470.4,5344.6,5450.6,5400.1,5266.3,5359.4,5286.2,5276.8,5327.4,5273.2,5217.1,5196.1,5200.4,5208.9,5245.2,5244.5,5275.5,5212.3,5247.4,5359.2,5362.1,5325.9,5384.5,5354.2,5386.7,5369.1,5329.2,5367.6,5321.8,5333.7,5384.8,5426.2,5369.5,5384.5,5349.0,5392.3,5471.8,5350.3,5426.9,5478.8,5496.2,5498.4,5562.4,5444.8,5552.2,5550.8,5532.8,5520.8,5418.4,5410.7,5496.2,5460.2,5345.6,5402.0,5377.4,5385.7,5377.3,5434.3,5407.4
6,X,False,1778.1,1781.6,1764.1,1738.6,1706.9,1674.0,1654.3,1624.3,1679.9,1616.2,1581.3,1557.2,1558.9,1549.4,1538.2,1541.5,1519.4,1581.2,1586.7,1601.9,1682.2,1685.7,1649.6,1660.7,1790.2,1761.1,1686.1,1713.9,1692.8,1692.4,1650.3,1646.0,1654.0,1599.2,1583.7,1593.4,1601.1,1536.0,1588.1,1573.7,1578.0,1561.4,1537.6,1512.9,1428.9,1512.9,1507.8,1514.7,1476.6,1479.7,1492.6,1532.9,1461.3,1482.4,1485.9,1448.7,1512.0,1397.5,1416.4,1352.0,1318.7,1352.7,1340.6,1303.3,1351.7,1246.6,1258.4,1292.9,1264.1,1285.1,1271.7,1268.2,1256.8,1281.5,1154.2,1269.3,1228.4,1246.1,1241.2,1145.4,1165.9,1119.3,1133.8,1075.4,1078.7,1052.5,999.52,980.83,930.87,971.92,805.36,749.82,744.75,726.89,640.78,625.62,598.05,552.18,563.67,549.12,582.6,507.76,552.13,488.5,526.82,478.58,437.95,421.08,417.15,428.43,382.8,367.27,352.49,366.26,321.17,272.82,265.37
7,X,True,2406.0,2403.8,2362.9,2391.4,2314.4,2365.3,2368.0,2339.7,2375.8,2354.6,2344.1,2323.8,2349.1,2343.4,2304.0,2304.4,2309.5,2270.6,2277.4,2270.3,2270.0,2237.4,2257.8,2305.7,2301.5,2310.5,2310.4,2273.7,2355.5,2398.4,2435.0,2415.7,2412.7,2366.9,2346.0,2335.2,2333.5,2317.4,2350.8,2336.0,2419.3,2430.6,2479.6,2533.0,2553.7,2479.3,2538.3,2498.8,2520.3,2597.8,2627.9,2602.4,2625.9,2589.3,2605.1,2605.1,2657.5,2638.1,2670.0,2677.0,2743.2,2801.8,2790.2,2793.6,2764.5,2802.7,2818.1,2791.3,2793.5,2895.5,2870.2,2895.1,2958.2,2976.2,3014.1,3040.8,3122.0,3161.6,3171.1,3180.8,3154.8,3156.4,3145.1,3196.1,3173.1,3182.1,3196.8,3228.5,3292.6,3262.0,3326.3,3291.5,3391.0,3381.1,3409.2,3406.1,3396.2,3471.4,3528.5,3509.4,3561.4,3599.8,3584.4,3574.5,3581.7,3644.5,3686.6,3769.1,3770.2,3916.2,3901.1,3938.5,3979.4,4081.9,4064.4,4104.4,4151.8
8,X,False,5145.9,5139.9,5119.3,5097.1,5121.5,5188.1,5227.6,5217.8,5208.6,5221.8,5230.4,5246.7,5239.2,5264.6,5259.7,5242.6,5198.5,5215.2,5198.5,5196.2,5268.5,5193.4,5186.8,5163.2,5196.9,5247.4,5249.0,5203.9,5235.1,5212.0,5223.3,5262.8,5208.6,5209.2,5252.7,5202.6,5115.1,5051.5,5057.4,5052.7,5013.3,4962.3,4895.5,4878.8,4854.3,4852.4,4873.5,4873.9,4883.3,4912.3,4866.3,4849.9,4856.2,4813.5,4868.0,4851.0,4836.5,4908.0,4848.2,4841.3,4822.1,4875.6,4818.4,4834.2,4822.2,4848.0,4885.4,4870.7,4913.9,4955.6,4901.2,4950.2,4976.0,4892.5,4950.5,4960.4,4970.2,5032.7,5108.9,5071.8,5051.0,5077.3,5064.8,5065.5,5050.5,5132.8,5149.2,5176.6,5187.0,5137.3,5243.7,5241.1,5267.2,5277.3,5282.2,5332.1,5394.0,5457.7,5530.4,5582.4,5544.4,5548.8,5501.3,5514.7,5486.3,5516.0,5514.3,5504.3,5569.7,5549.2,5508.6,5529.0,5535.9,5527.0,5606.6,5630.9,5673.8
9,X,False,5188.1,5227.6,5217.8,5208.6,5221.8,5230.4,5246.7,5239.2,5264.6,5259.7,5242.6,5198.5,5215.2,5198.5,5196.2,5268.5,5193.4,5186.8,5163.2,5196.9,5247.4,5249.0,5203.9,5235.1,5212.0,5223.3,5262.8,5208.6,5209.2,5252.7,5202.6,5115.1,5051.5,5057.4,5052.7,5013.3,4962.3,4895.5,4878.8,4854.3,4852.4,4873.5,4873.9,4883.3,4912.3,4866.3,4849.9,4856.2,4813.5,4868.0,4851.0,4836.5,4908.0,4848.2,4841.3,4822.1,4875.6,4818.4,4834.2,4822.2,4848.0,4885.4,4870.7,4913.9,4955.6,4901.2,4950.2,4976.0,4892.5,4950.5,4960.4,4970.2,5032.7,5108.9,5071.8,5051.0,5077.3,5064.8,5065.5,5050.5,5132.8,5149.2,5176.6,5187.0,5137.3,5243.7,5241.1,5267.2,5277.3,5282.2,5332.1,5394.0,5457.7,5530.4,5582.4,5544.4,5548.8,5501.3,5514.7,5486.3,5516.0,5514.3,5504.3,5569.7,5549.2,5508.6,5529.0,5535.9,5527.0,5606.6,5630.9,5673.8,5680.2,5703.9,5740.1,5992.4,5985.8
