,FLARE_TYPE,COINCIDENCE,g_s_1,g_s_2,g_s_3,g_s_4,g_s_5,g_s_6,g_s_7,g_s_8,g_s_9,g_s_10,g_s_11,g_s_12,g_s_13,g_s_14,g_s_15,g_s_16,g_s_17,g_s_18,g_s_19,g_s_20,g_s_21,g_s_22,g_s_23,g_s_24,g_s_25,g_s_26,g_s_27,g_s_28,g_s_29,g_s_30,g_s_31,g_s_32,g_s_33,g_s_34,g_s_35,g_s_36,g_s_37,g_s_38,g_s_39,g_s_40,g_s_41,g_s_42,g_s_43,g_s_44,g_s_45,g_s_46,g_s_47,g_s_48,g_s_49,g_s_50,g_s_51,g_s_52,g_s_53,g_s_54,g_s_55,g_s_56,g_s_57,g_s_58,g_s_59,g_s_60,g_s_61,g_s_62,g_s_63,g_s_64,g_s_65,g_s_66,g_s_67,g_s_68,g_s_69,g_s_70,g_s_71,g_s_72,g_s_73,g_s_74,g_s_75,g_s_76,g_s_77,g_s_78,g_s_79,g_s_80,g_s_81,g_s_82,g_s_83,g_s_84,g_s_85,g_s_86,g_s_87,g_s_88,g_s_89,g_s_90,g_s_91,g_s_92,g_s_93,g_s_94,g_s_95,g_s_96,g_s_97,g_s_98,g_s_99,g_s_100,g_s_101,g_s_102,g_s_103,g_s_104,g_s_105,g_s_106,g_s_107,g_s_108,g_s_109,g_s_110,g_s_111,g_s_112,g_s_113,g_s_114,g_s_115,g_s_116,g_s_117,g_s_118,g_s_119
10,B,True,3300.1,3288.4,3254.0,3200.2,3167.1,3142.6,3190.8,3179.5,3205.3,6265.1,6318.4,6261.9,3156.0,3132.8,6087.8,6091.6,3139.4,6275.1,6359.1,0.0,0.0,0.0,3170.5,3125.1,0.0,0.0,0.0,0.0,3240.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3258.0,0.0,0.0,0.0,3177.9,3118.8,3094.7,3099.5,3155.6,3122.6,3162.2,0.0,3326.3,3242.3,0.0,0.0,0.0,0.0,3162.9,3189.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,B,True,344.76,180.06,174.54,185.64,190.91,189.63,355.13,190.97,189.41,185.73,192.23,349.87,361.18,203.49,171.43,190.35,190.78,182.89,186.66,194.87,188.2,182.64,181.9,194.11,289.61,183.68,190.31,185.02,224.1,216.46,186.86,184.02,204.24,210.06,204.36,234.78,172.83,180.48,163.81,160.67,182.98,339.18,184.24,178.44,177.1,189.11,312.0,333.0,317.2,270.79,298.96,317.7,323.17,338.23,341.59,343.26,446.27,444.47,403.23,468.46,439.48,426.43,394.32,313.79,314.08,314.13,321.13,331.39,355.5,326.9,327.8,282.26,272.84,275.66,274.09,270.51,303.85,317.7,327.19,428.35,308.03,318.82,311.2,297.11,293.03,276.47,268.29,253.02,285.74,299.52,394.29,300.8,303.86,305.26,298.78,296.1,280.24,336.27,308.18,298.01,159.93,176.67,153.43,128.62,144.93,151.77,153.2,152.0,131.3,131.49,127.2,144.47,141.21,140.21,123.13,138.47,137.93,113.05,109.04
12,B,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.2,82.607,75.064,70.053,67.568,82.2,70.778,58.015,77.709,82.055,90.373,71.645,68.98,76.975,84.225,82.613,51.822,46.33,49.668,80.498,65.461,51.211,47.498,39.363,43.873,44.337,39.927,47.264,43.546,47.559,46.97,48.064,50.268,52.213,58.974,56.934,54.359,43.186,45.083,39.649,32.833,38.201,38.049,41.872,38.918,39.584,37.076,30.005,28.709,35.174,34.359,29.737,34.962,30.787,24.403,29.863,37.402,34.644,37.885,0.0
13,B,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,B,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.79,452.49,448.95,492.58,522.0,549.69,488.58,526.25,534.73,518.48,511.32,520.38,524.14,532.11,536.94,1249.1,1158.4,1227.3,1174.5,1226.2,1178.6,593.08,565.04,575.42,586.29,587.62,602.5,613.68,1286.2,1278.7,1238.6,1255.5,1254.6
15,B,True,1881.4,1892.6,1888.8,1554.4,1526.8,1542.2,1541.0,1531.5,1555.9,1562.8,1547.9,1527.8,1534.3,1517.7,1541.5,1568.8,1570.4,1559.3,1578.3,2802.8,1510.0,2671.9,2736.0,2737.8,3098.8,3242.7,3248.1,2918.2,2924.1,2842.0,2947.6,2558.0,2848.9,2893.8,2875.3,2916.6,2918.1,2758.6,2379.6,2425.3,2515.9,2809.6,2726.5,2776.8,2392.6,2578.4,2294.9,1756.4,1834.6,2318.0,2329.6,2604.4,2545.7,2374.8,2309.3,2556.4,2497.7,2530.3,2517.8,2494.7,2437.6,1926.9,2464.9,1853.1,2982.3,2321.0,1829.2,2489.3,1759.8,1944.3,1942.1,2144.1,1991.3,2480.9,1875.8,1868.4,1652.1,2528.8,2144.7,2232.3,2152.6,2381.8,2631.4,2592.3,2114.8,2495.4,2594.8,2136.8,2052.9,1825.1,2328.9,2123.6,1973.3,1998.2,1987.9,2003.8,1975.5,1953.9,2079.6,2065.3,1721.5,2014.2,2392.6,1996.3,1995.7,1972.1,1897.0,1844.5,2210.0,2159.3,2160.4,1766.7,2136.3,1672.6,1752.4,1608.5,1672.6,2016.6,1681.3
16,B,True,395.96,336.2,341.68,357.22,439.59,472.36,442.82,387.96,400.69,296.73,470.5,364.21,330.99,188.89,319.96,329.14,327.29,344.83,333.58,308.0,120.71,162.66,159.71,176.19,184.23,142.41,152.88,156.4,168.33,154.62,156.58,135.74,85.937,99.225,92.173,92.697,82.612,122.99,147.52,152.04,133.27,122.89,148.32,124.34,118.53,116.86,92.422,83.481,86.249,83.759,39.781,48.241,0.0,15.073,20.684,8.1664,0.0,0.0,0.0,0.0,0.0,6.8833,7.9751,0.0,0.0,6.3173,4.7782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9134,9.1235,9.1351,9.1351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3309,9.1237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,B,False,1799.1,1873.6,2524.9,2348.9,2241.0,2176.6,2033.3,2088.5,2235.3,2153.3,2347.4,1873.7,1640.6,1585.4,1751.5,1419.5,1535.9,1377.8,1075.2,1439.9,1389.4,1411.0,1206.7,1349.6,1113.5,1107.5,1064.2,1114.7,1125.1,749.39,914.54,905.36,802.54,753.37,856.99,836.29,708.73,1190.5,935.57,885.8,816.99,697.09,722.22,1020.7,709.94,999.04,866.85,895.46,752.08,939.93,716.31,813.41,626.66,616.88,623.27,637.53,818.29,604.68,658.3,636.89,843.96,872.49,891.57,680.24,695.73,824.78,775.15,715.63,758.0,772.41,719.38,786.45,698.05,737.51,748.38,748.71,730.72,797.94,648.91,633.6,642.37,627.34,624.73,577.15,603.71,662.34,696.44,563.17,556.17,527.7,551.92,516.06,492.5,461.78,496.89,499.55,492.07,492.85,464.83,347.62,589.28,480.83,568.89,581.64,466.11,533.78,638.54,461.25,555.07,649.68,665.43,602.78,506.75,600.18,595.23,594.47,567.69,611.82,582.32
18,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.774,0.0,67.925,60.411,54.894,0.0,0.0,103.18,112.86,104.35,111.47,87.466,95.851,89.596,83.393,110.64,111.65,113.43,129.34,137.82,247.64,241.68,245.27,371.92,480.04,314.69,444.27,409.57,405.11,590.1,779.69,814.96,769.53,801.87,801.15,812.78,809.9,902.95,1290.1,1499.8,1192.1,1194.2,4434.6,1213.3,911.29,907.77,1175.7
19,B,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
