,FLARE_TYPE,COINCIDENCE,MEANGBH_1,MEANGBH_2,MEANGBH_3,MEANGBH_4,MEANGBH_5,MEANGBH_6,MEANGBH_7,MEANGBH_8,MEANGBH_9,MEANGBH_10,MEANGBH_11,MEANGBH_12,MEANGBH_13,MEANGBH_14,MEANGBH_15,MEANGBH_16,MEANGBH_17,MEANGBH_18,MEANGBH_19,MEANGBH_20,MEANGBH_21,MEANGBH_22,MEANGBH_23,MEANGBH_24,MEANGBH_25,MEANGBH_26,MEANGBH_27,MEANGBH_28,MEANGBH_29,MEANGBH_30,MEANGBH_31,MEANGBH_32,MEANGBH_33,MEANGBH_34,MEANGBH_35,MEANGBH_36,MEANGBH_37,MEANGBH_38,MEANGBH_39,MEANGBH_40,MEANGBH_41,MEANGBH_42,MEANGBH_43,MEANGBH_44,MEANGBH_45,MEANGBH_46,MEANGBH_47,MEANGBH_48,MEANGBH_49,MEANGBH_50,MEANGBH_51,MEANGBH_52,MEANGBH_53,MEANGBH_54,MEANGBH_55,MEANGBH_56,MEANGBH_57,MEANGBH_58,MEANGBH_59,MEANGBH_60,MEANGBH_61,MEANGBH_62,MEANGBH_63,MEANGBH_64,MEANGBH_65,MEANGBH_66,MEANGBH_67,MEANGBH_68,MEANGBH_69,MEANGBH_70,MEANGBH_71,MEANGBH_72,MEANGBH_73,MEANGBH_74,MEANGBH_75,MEANGBH_76,MEANGBH_77,MEANGBH_78,MEANGBH_79,MEANGBH_80,MEANGBH_81,MEANGBH_82,MEANGBH_83,MEANGBH_84,MEANGBH_85,MEANGBH_86,MEANGBH_87,MEANGBH_88,MEANGBH_89,MEANGBH_90,MEANGBH_91,MEANGBH_92,MEANGBH_93,MEANGBH_94,MEANGBH_95,MEANGBH_96,MEANGBH_97,MEANGBH_98,MEANGBH_99,MEANGBH_100,MEANGBH_101,MEANGBH_102,MEANGBH_103,MEANGBH_104,MEANGBH_105,MEANGBH_106,MEANGBH_107,MEANGBH_108,MEANGBH_109,MEANGBH_110,MEANGBH_111,MEANGBH_112,MEANGBH_113,MEANGBH_114,MEANGBH_115,MEANGBH_116,MEANGBH_117,MEANGBH_118,MEANGBH_119,MEANGBH_120
0,B,False,48.876,49.309,48.979,49.166,49.214,49.019,48.372,48.798,48.118,48.284,47.382,47.953,47.447,47.324,47.471,47.705,47.823,48.428,47.965,47.956,48.17,48.425,48.24,48.468,48.942,47.597,47.878,48.174,48.308,48.62,48.414,48.456,48.695,48.122,48.181,47.923,48.047,47.737,47.181,46.619,47.666,46.768,46.828,46.585,46.84,47.259,46.771,47.315,46.515,47.044,46.26,46.411,46.663,47.11,46.842,47.314,46.16,45.876,45.95,46.86,46.666,46.508,45.958,46.27,46.452,46.895,47.294,46.698,45.833,46.694,46.087,46.101,45.91,45.801,46.135,46.56,46.562,46.638,45.613,46.163,46.472,46.606,45.614,45.516,45.681,46.146,46.19,46.634,45.993,45.991,46.525,45.999,45.972,46.163,45.838,45.76,45.503,45.856,44.963,45.076,45.758,45.603,45.403,45.576,45.232,45.608,45.745,45.554,45.831,45.592,44.775,44.789,45.107,45.93,45.575,45.778,45.704,46.269,45.936,45.995
1,B,False,47.334,47.787,47.554,47.922,47.509,47.114,46.846,48.277,48.549,48.026,48.077,47.143,47.598,47.535,46.866,46.766,46.25,47.048,46.335,46.012,46.742,46.291,46.437,46.848,47.092,46.72,46.955,47.121,46.959,47.059,47.271,46.868,46.395,46.427,46.392,46.562,45.92,45.899,45.991,45.543,45.148,44.635,44.519,45.011,46.1,45.489,45.046,45.195,45.382,45.104,45.237,45.773,45.578,46.313,46.15,45.8,46.188,46.174,46.6,46.999,46.911,47.196,47.041,47.443,47.807,47.267,46.514,46.584,46.574,47.121,47.968,47.656,47.695,47.679,47.553,47.39,47.573,47.054,48.133,48.556,48.799,49.147,50.009,50.005,49.12,48.916,49.201,48.655,48.186,48.825,48.946,48.508,47.938,47.375,46.955,46.916,47.342,47.521,47.318,47.808,47.971,48.416,48.385,48.861,49.133,48.906,48.629,47.889,47.859,48.546,48.437,48.111,48.33,47.704,47.83,48.034,47.721,47.938,47.863,47.92
2,B,True,48.048,47.266,46.837,47.301,47.377,48.101,48.07,48.649,47.544,48.499,48.286,48.573,48.176,48.588,48.436,49.532,48.648,48.761,48.514,48.666,48.362,48.01,48.18,47.506,47.68,47.872,47.475,47.127,46.979,47.393,47.194,47.606,47.885,48.688,48.74,48.649,47.644,47.854,48.923,49.185,49.365,50.113,50.312,50.156,50.706,50.564,50.921,50.396,49.69,50.453,49.95,49.579,49.226,49.825,49.097,49.994,49.303,49.017,48.893,48.676,48.639,48.514,48.791,48.669,48.616,48.115,48.408,48.676,48.334,48.474,48.479,48.708,48.847,48.458,48.999,49.143,49.262,48.54,49.039,48.481,48.351,48.211,48.316,47.991,47.768,47.714,49.096,48.592,48.011,48.603,49.083,48.268,48.983,48.598,48.34,48.118,48.582,49.245,49.048,48.781,48.876,49.309,48.979,49.166,49.214,49.019,48.372,48.798,48.118,48.284,47.382,47.953,47.447,47.324,47.471,47.705,47.823,48.428,47.965,47.956
3,B,False,48.07,48.649,47.544,48.499,48.286,48.573,48.176,48.588,48.436,49.532,48.648,48.761,48.514,48.666,48.362,48.01,48.18,47.506,47.68,47.872,47.475,47.127,46.979,47.393,47.194,47.606,47.885,48.688,48.74,48.649,47.644,47.854,48.923,49.185,49.365,50.113,50.312,50.156,50.706,50.564,50.921,50.396,49.69,50.453,49.95,49.579,49.226,49.825,49.097,49.994,49.303,49.017,48.893,48.676,48.639,48.514,48.791,48.669,48.616,48.115,48.408,48.676,48.334,48.474,48.479,48.708,48.847,48.458,48.999,49.143,49.262,48.54,49.039,48.481,48.351,48.211,48.316,47.991,47.768,47.714,49.096,48.592,48.011,48.603,49.083,48.268,48.983,48.598,48.34,48.118,48.582,49.245,49.048,48.781,48.876,49.309,48.979,49.166,49.214,49.019,48.372,48.798,48.118,48.284,47.382,47.953,47.447,47.324,47.471,47.705,47.823,48.428,47.965,47.956,48.17,48.425,48.24,48.468,48.942,47.597
4,B,False,54.977,54.706,54.484,55.092,55.169,55.142,55.355,55.567,56.352,56.628,56.626,57.459,57.874,58.119,58.634,58.503,58.841,58.532,58.619,60.318,60.684,61.677,62.82,61.537,60.977,60.067,60.496,60.831,60.119,60.006,58.918,59.055,57.735,57.13,57.256,56.298,56.137,56.538,55.636,55.656,57.285,57.178,57.522,57.85,57.681,57.929,58.466,59.292,59.593,58.846,58.811,60.065,59.253,59.377,59.001,58.618,58.804,58.442,58.4,57.918,57.871,56.938,56.325,57.237,56.158,55.405,55.4,55.359,55.552,56.237,55.885,55.451,53.887,53.669,53.503,54.105,55.662,55.14,56.784,57.58,57.403,57.407,57.877,57.708,56.575,56.786,55.087,55.072,54.816,55.077,55.829,54.518,54.002,53.587,53.55,53.673,53.876,52.822,53.056,53.436,53.928,53.739,53.973,53.466,54.127,53.36,53.171,53.38,52.301,53.001,52.267,51.666,51.92,53.659,52.732,53.698,54.542,53.758,53.811,52.849
5,N,False,101.49,107.78,105.42,105.48,102.53,99.197,103.26,102.29,102.59,102.74,104.45,109.88,101.64,102.8,100.97,100.32,108.28,101.7,107.81,108.01,106.28,106.52,109.77,108.1,102.19,103.96,103.19,105.85,104.27,101.27,97.535,100.96,97.218,91.591,88.326,87.097,85.091,84.674,89.23,88.34,89.242,92.713,92.542,91.7,100.38,96.077,94.964,98.807,96.967,99.637,99.293,93.114,95.941,93.177,94.217,92.311,94.121,90.675,84.913,87.137,86.771,87.862,87.633,90.184,90.214,85.707,90.04,88.529,86.815,83.097,82.197,84.354,86.876,84.983,81.567,78.673,78.302,83.442,81.25,77.811,81.289,81.894,90.241,86.286,80.639,85.508,87.734,83.622,87.485,88.128,89.261,95.081,98.841,103.84,101.8,107.01,104.31,92.673,88.147,93.711,87.762,91.809,82.36,84.533,83.917,83.744,78.224,76.265,74.617,82.097,77.144,78.484,72.941,73.731,82.138,78.488,85.507,89.312,92.934,90.722
6,N,False,48.806,48.823,49.549,47.188,46.321,47.247,46.753,45.28,46.016,46.236,46.216,45.616,46.97,44.444,43.569,43.524,44.685,45.764,44.963,45.111,45.706,45.399,46.1,46.747,48.435,46.826,47.091,48.037,47.068,47.621,48.816,48.228,46.935,45.725,44.366,46.631,45.859,45.317,46.461,46.526,45.523,45.761,45.479,44.66,46.265,45.526,45.714,45.069,46.563,45.693,46.668,47.998,48.773,48.973,48.009,50.266,52.259,53.587,55.448,54.246,56.071,55.453,53.403,54.243,54.267,52.135,55.386,50.637,50.046,48.575,49.854,49.261,48.551,49.565,48.237,47.892,47.297,49.07,48.662,48.797,49.73,53.184,55.857,54.432,53.689,55.835,56.215,55.819,55.85,54.872,55.09,56.665,57.478,56.284,54.924,52.717,53.22,51.522,51.036,51.238,51.399,51.698,49.868,51.786,52.97,54.872,54.942,54.583,54.902,53.598,52.185,53.353,52.419,56.228,54.513,56.605,58.367,58.008,63.412,63.924
