,FLARE_TYPE,COINCIDENCE,AREA_ACR_1,AREA_ACR_2,AREA_ACR_3,AREA_ACR_4,AREA_ACR_5,AREA_ACR_6,AREA_ACR_7,AREA_ACR_8,AREA_ACR_9,AREA_ACR_10,AREA_ACR_11,AREA_ACR_12,AREA_ACR_13,AREA_ACR_14,AREA_ACR_15,AREA_ACR_16,AREA_ACR_17,AREA_ACR_18,AREA_ACR_19,AREA_ACR_20,AREA_ACR_21,AREA_ACR_22,AREA_ACR_23,AREA_ACR_24,AREA_ACR_25,AREA_ACR_26,AREA_ACR_27,AREA_ACR_28,AREA_ACR_29,AREA_ACR_30,AREA_ACR_31,AREA_ACR_32,AREA_ACR_33,AREA_ACR_34,AREA_ACR_35,AREA_ACR_36,AREA_ACR_37,AREA_ACR_38,AREA_ACR_39,AREA_ACR_40,AREA_ACR_41,AREA_ACR_42,AREA_ACR_43,AREA_ACR_44,AREA_ACR_45,AREA_ACR_46,AREA_ACR_47,AREA_ACR_48,AREA_ACR_49,AREA_ACR_50,AREA_ACR_51,AREA_ACR_52,AREA_ACR_53,AREA_ACR_54,AREA_ACR_55,AREA_ACR_56,AREA_ACR_57,AREA_ACR_58,AREA_ACR_59,AREA_ACR_60,AREA_ACR_61,AREA_ACR_62,AREA_ACR_63,AREA_ACR_64,AREA_ACR_65,AREA_ACR_66,AREA_ACR_67,AREA_ACR_68,AREA_ACR_69,AREA_ACR_70,AREA_ACR_71,AREA_ACR_72,AREA_ACR_73,AREA_ACR_74,AREA_ACR_75,AREA_ACR_76,AREA_ACR_77,AREA_ACR_78,AREA_ACR_79,AREA_ACR_80,AREA_ACR_81,AREA_ACR_82,AREA_ACR_83,AREA_ACR_84,AREA_ACR_85,AREA_ACR_86,AREA_ACR_87,AREA_ACR_88,AREA_ACR_89,AREA_ACR_90,AREA_ACR_91,AREA_ACR_92,AREA_ACR_93,AREA_ACR_94,AREA_ACR_95,AREA_ACR_96,AREA_ACR_97,AREA_ACR_98,AREA_ACR_99,AREA_ACR_100,AREA_ACR_101,AREA_ACR_102,AREA_ACR_103,AREA_ACR_104,AREA_ACR_105,AREA_ACR_106,AREA_ACR_107,AREA_ACR_108,AREA_ACR_109,AREA_ACR_110,AREA_ACR_111,AREA_ACR_112,AREA_ACR_113,AREA_ACR_114,AREA_ACR_115,AREA_ACR_116,AREA_ACR_117,AREA_ACR_118,AREA_ACR_119
10,B,True,991.94,985.1,990.71,986.18,985.5,979.53,981.91,982.64,977.03,972.89,971.0,969.33,973.49,966.42,971.4,972.6,965.0,959.46,949.19,948.11,942.92,945.77,944.43,942.37,948.53,950.81,950.52,955.56,956.05,961.48,956.51,953.62,955.04,948.91,950.4,951.81,955.24,957.36,956.04,950.97,949.35,951.96,952.31,949.96,946.69,950.6,949.54,942.11,943.9,943.58,944.05,935.94,929.03,931.14,937.54,923.62,936.86,937.49,934.48,932.5,936.52,943.04,937.8,940.34,939.82,943.34,940.74,944.25,946.85,940.09,945.98,955.32,948.53,948.79,945.34,941.36,938.62,947.05,947.41,948.4,949.67,951.02,955.32,960.97,964.43,961.5,953.87,948.63,952.88,947.5,943.04,936.2,937.56,931.77,928.09,925.07,924.22,924.73,920.94,919.07,921.45,923.2,923.32,919.33,908.83,916.73,912.02,910.41,905.72,906.54,904.67,899.13,896.79,899.36,890.19,885.0,880.79,869.72,873.52
11,B,True,917.65,919.25,926.75,936.33,950.16,942.28,948.71,947.5,947.85,944.16,949.27,949.99,951.13,952.47,947.79,943.64,952.09,957.81,960.92,962.66,967.47,953.03,951.85,953.86,964.52,966.77,974.56,972.67,984.67,976.92,972.54,969.67,978.42,983.7,981.24,981.0,980.95,979.69,976.06,987.64,985.56,985.28,982.97,990.49,998.59,995.22,992.96,994.77,990.77,989.34,1001.6,1008.8,1003.6,1009.8,1012.5,1010.8,1017.5,1009.7,1006.1,1014.7,1018.6,1024.0,1019.5,1024.7,1027.3,1034.7,1020.6,1027.4,1021.2,1025.9,1022.5,1023.4,1027.2,1033.2,1028.0,1033.3,1035.0,1032.1,1024.8,1026.1,1029.9,1023.1,1026.1,1021.5,1023.7,1026.4,1029.1,1033.7,1034.9,1036.7,1034.6,1028.3,1034.3,1029.3,1027.7,1024.2,1027.8,1030.7,1031.4,1026.8,1026.5,1021.3,1036.1,1038.6,1040.5,1042.5,1041.7,1042.3,1036.0,1043.5,1048.5,1050.7,1054.8,1047.7,1041.9,1046.9,1040.6,1041.6,1046.1
12,B,True,341.85,349.69,354.63,356.89,357.6,359.77,365.68,365.33,366.62,364.07,364.52,367.96,367.53,367.68,366.72,365.4,366.86,367.12,369.26,365.45,371.01,368.09,371.85,375.95,384.31,386.6,390.66,389.48,383.49,386.93,377.57,386.16,387.95,393.93,397.21,398.82,394.09,394.4,394.84,392.86,389.33,385.42,383.34,376.35,382.46,384.04,388.37,381.52,387.12,384.59,385.23,382.51,383.55,379.96,383.06,384.21,386.98,389.19,387.97,394.15,392.96,393.73,396.9,395.23,396.29,393.99,396.44,397.55,396.51,397.86,398.3,407.77,402.06,402.4,405.59,402.42,405.08,404.69,402.56,404.92,405.72,411.16,411.09,412.23,415.71,412.49,421.81,418.02,423.22,423.88,424.14,424.54,422.07,419.76,424.03,426.25,425.47,422.92,428.72,423.93,425.36,425.46,430.9,432.38,433.63,433.14,435.08,442.28,441.46,440.21,443.23,432.82,436.67,443.09,445.71,453.37,457.07,460.31,455.17
13,B,True,128.34,127.21,124.69,125.87,123.37,123.85,122.29,126.42,125.99,125.59,125.48,128.5,128.35,129.99,128.92,127.0,130.35,130.5,133.83,132.42,136.06,134.54,134.23,133.06,133.68,136.96,134.13,132.16,131.28,129.5,130.29,131.07,130.72,133.02,132.58,135.36,136.7,134.16,136.97,134.31,135.91,138.02,133.97,133.36,129.85,127.74,126.08,125.57,124.48,126.3,124.23,125.27,125.46,125.25,123.7,121.28,120.1,120.64,123.5,120.64,117.36,118.46,114.43,112.31,112.72,110.26,108.78,108.11,108.77,108.56,106.53,107.18,107.65,106.92,107.17,108.56,109.98,109.3,108.16,110.05,106.85,109.75,108.22,108.01,103.91,103.16,101.8,103.04,105.39,103.55,105.67,104.82,102.56,102.59,103.58,100.76,104.15,105.87,105.69,104.21,103.7,98.858,98.575,96.982,96.282,96.989,96.048,96.33,96.447,93.868,93.539,98.316,98.708,100.38,100.52,100.42,98.657,100.25,100.74
14,B,True,181.12,187.27,197.21,202.74,206.33,208.53,209.08,212.86,214.33,214.2,215.4,215.01,214.06,220.07,216.28,213.49,212.35,212.68,213.81,212.18,212.37,212.35,212.97,209.89,207.31,210.22,212.49,209.93,210.9,211.78,215.09,215.08,217.66,219.58,217.13,216.56,214.23,210.09,209.95,209.27,210.59,212.3,211.59,211.77,210.12,211.23,210.22,208.88,208.43,211.21,215.41,216.01,217.97,218.1,221.6,221.33,229.47,227.63,225.99,226.38,230.02,234.73,234.45,236.56,237.77,239.72,239.89,236.75,239.05,237.17,238.35,239.13,237.27,237.86,241.73,245.15,244.77,244.39,246.98,248.12,245.95,246.11,245.18,242.9,243.96,244.58,250.28,249.67,247.6,248.62,245.01,244.78,251.14,252.16,255.01,254.99,255.02,250.55,252.14,251.61,253.84,255.42,260.52,261.19,257.2,257.91,256.88,254.55,254.45,257.48,256.52,256.56,260.84,262.34,263.88,263.84,263.63,266.58,264.37
15,B,True,500.03,495.98,493.77,492.28,491.51,486.61,484.25,483.83,482.45,479.62,481.74,475.65,481.82,479.14,476.47,478.08,479.2,476.4,474.64,472.78,478.95,486.41,487.69,489.4,483.31,483.73,478.75,476.34,479.1,476.33,474.55,479.61,484.27,483.88,483.72,482.44,480.37,485.04,487.02,484.38,483.63,483.73,481.89,481.3,477.89,478.61,479.06,481.13,486.84,482.93,486.84,487.27,486.64,487.97,491.45,490.98,484.99,486.37,489.31,489.82,482.56,484.52,484.14,484.92,485.69,482.83,478.42,479.57,479.61,482.14,485.79,487.09,490.53,492.31,485.97,485.01,488.55,488.34,489.84,490.91,484.85,488.29,484.87,485.84,490.43,483.63,484.43,486.57,491.02,489.2,486.81,483.52,480.97,476.68,479.94,482.81,479.73,482.78,481.24,480.31,479.53,477.27,479.55,481.43,477.7,478.03,477.44,477.13,476.39,475.81,476.5,477.07,479.74,478.53,477.59,475.83,475.5,475.42,476.25
16,B,True,327.25,326.58,321.39,318.06,312.93,314.14,311.7,308.45,308.29,311.08,311.82,310.88,311.73,313.87,309.6,312.0,308.94,307.59,308.05,304.3,302.61,303.86,302.1,303.9,301.56,299.94,296.35,295.69,295.82,295.03,291.77,293.87,293.37,296.5,292.53,288.52,283.09,284.12,285.85,284.69,285.13,282.21,286.39,285.22,289.38,288.21,287.35,288.63,285.62,285.9,285.4,289.89,289.32,288.94,288.44,287.73,286.78,285.13,284.35,284.84,282.0,280.7,281.83,282.57,285.21,290.29,289.55,287.36,289.07,292.84,295.39,297.47,300.83,301.04,298.95,299.81,297.42,299.52,296.68,302.45,297.18,300.58,300.66,300.25,297.98,295.02,294.3,292.68,294.18,298.57,293.55,293.76,298.53,299.96,302.73,299.55,295.07,298.55,297.83,298.42,297.15,298.8,294.24,294.4,288.65,288.67,287.43,290.63,291.68,287.8,288.86,287.22,287.0,284.35,281.57,280.5,282.91,275.66,273.62
17,B,False,493.89,496.48,498.11,498.97,493.48,494.51,494.83,502.96,500.31,499.04,496.23,498.27,497.23,495.67,497.19,500.16,501.05,501.01,500.51,498.44,499.55,502.27,501.87,495.71,499.91,496.47,499.06,500.19,499.65,500.38,497.54,498.03,494.48,494.22,498.17,500.39,501.18,505.46,500.57,506.55,506.0,511.73,512.33,511.87,513.18,508.69,505.15,510.21,509.23,513.04,513.0,512.62,514.46,512.54,511.11,514.24,509.37,506.84,509.21,509.2,511.98,514.33,516.14,510.39,516.32,513.98,517.49,521.41,515.45,517.29,517.82,519.51,520.74,518.39,518.48,515.94,517.9,517.87,518.89,516.19,516.79,514.12,516.92,516.12,516.09,521.41,522.5,523.25,523.5,527.05,527.97,526.55,526.56,530.13,527.2,527.13,527.76,526.33,530.68,528.88,521.06,521.38,523.58,526.73,524.19,520.09,516.59,518.44,521.89,523.65,522.23,522.27,520.66,523.43,523.55,517.77,516.8,518.27,518.17
18,B,False,193.48,191.69,189.24,189.25,194.46,194.34,187.2,184.98,185.96,190.41,190.29,192.02,188.92,188.39,185.29,185.42,183.94,187.29,188.74,188.4,186.14,185.27,186.73,184.76,183.96,185.09,184.43,182.2,180.05,178.5,179.91,178.37,177.56,180.23,180.61,180.24,178.75,180.75,177.82,172.5,174.76,174.8,179.57,182.96,180.78,181.59,183.67,180.21,187.71,183.99,184.98,183.59,190.23,188.48,195.24,194.02,197.47,204.44,206.58,207.89,205.13,208.65,212.51,209.33,210.94,211.36,208.8,212.27,214.29,212.53,208.94,211.47,209.47,216.23,223.77,219.37,220.83,220.44,229.23,227.67,234.81,239.98,245.5,250.74,250.35,249.98,259.82,257.29,264.41,267.31,270.52,275.52,281.3,290.91,292.86,296.87,308.34,304.27,303.23,300.76,313.52,316.6,325.07,327.95,341.22,356.12,358.19,353.86,349.26,355.56,344.69,350.09,346.04,336.09,335.02,334.03,331.95,333.92,329.92
19,B,True,203.77,203.35,196.63,194.99,194.44,193.19,191.75,190.84,187.73,184.74,184.01,184.16,185.12,180.77,182.27,180.75,177.05,177.57,174.9,171.15,171.05,170.0,174.19,168.8,167.89,168.54,168.24,166.47,167.92,169.75,170.53,166.18,167.1,171.27,167.75,170.45,167.0,168.0,166.74,169.15,173.72,178.01,174.25,173.93,179.4,178.7,178.81,181.42,176.42,175.65,173.5,171.41,170.13,167.34,167.28,169.45,167.91,167.47,166.98,170.31,167.66,166.02,167.67,165.94,168.02,165.11,163.23,165.36,164.25,160.23,164.04,160.29,165.98,163.33,160.34,161.3,161.52,160.91,158.81,158.15,163.2,162.29,161.3,159.01,160.12,156.42,151.01,148.88,147.42,144.68,146.66,142.03,139.81,140.0,139.02,144.89,147.42,144.18,143.67,141.79,143.8,146.62,140.39,140.24,140.78,137.67,139.9,137.9,142.44,143.69,147.48,146.0,144.25,143.33,142.58,141.44,140.2,137.83,137.64
