,FLARE_TYPE,COINCIDENCE,MEANSHR_1,MEANSHR_2,MEANSHR_3,MEANSHR_4,MEANSHR_5,MEANSHR_6,MEANSHR_7,MEANSHR_8,MEANSHR_9,MEANSHR_10,MEANSHR_11,MEANSHR_12,MEANSHR_13,MEANSHR_14,MEANSHR_15,MEANSHR_16,MEANSHR_17,MEANSHR_18,MEANSHR_19,MEANSHR_20,MEANSHR_21,MEANSHR_22,MEANSHR_23,MEANSHR_24,MEANSHR_25,MEANSHR_26,MEANSHR_27,MEANSHR_28,MEANSHR_29,MEANSHR_30,MEANSHR_31,MEANSHR_32,MEANSHR_33,MEANSHR_34,MEANSHR_35,MEANSHR_36,MEANSHR_37,MEANSHR_38,MEANSHR_39,MEANSHR_40,MEANSHR_41,MEANSHR_42,MEANSHR_43,MEANSHR_44,MEANSHR_45,MEANSHR_46,MEANSHR_47,MEANSHR_48,MEANSHR_49,MEANSHR_50,MEANSHR_51,MEANSHR_52,MEANSHR_53,MEANSHR_54,MEANSHR_55,MEANSHR_56,MEANSHR_57,MEANSHR_58,MEANSHR_59,MEANSHR_60,MEANSHR_61,MEANSHR_62,MEANSHR_63,MEANSHR_64,MEANSHR_65,MEANSHR_66,MEANSHR_67,MEANSHR_68,MEANSHR_69,MEANSHR_70,MEANSHR_71,MEANSHR_72,MEANSHR_73,MEANSHR_74,MEANSHR_75,MEANSHR_76,MEANSHR_77,MEANSHR_78,MEANSHR_79,MEANSHR_80,MEANSHR_81,MEANSHR_82,MEANSHR_83,MEANSHR_84,MEANSHR_85,MEANSHR_86,MEANSHR_87,MEANSHR_88,MEANSHR_89,MEANSHR_90,MEANSHR_91,MEANSHR_92,MEANSHR_93,MEANSHR_94,MEANSHR_95,MEANSHR_96,MEANSHR_97,MEANSHR_98,MEANSHR_99,MEANSHR_100,MEANSHR_101,MEANSHR_102,MEANSHR_103,MEANSHR_104,MEANSHR_105,MEANSHR_106,MEANSHR_107,MEANSHR_108,MEANSHR_109,MEANSHR_110,MEANSHR_111,MEANSHR_112,MEANSHR_113,MEANSHR_114,MEANSHR_115,MEANSHR_116,MEANSHR_117,MEANSHR_118,MEANSHR_119
25,B,False,41.11,41.023,40.93,40.408,41.267,41.272,40.797,39.887,40.797,40.107,40.037,40.349,39.726,39.741,39.084,37.155,37.302,37.621,37.699,37.227,36.857,36.235,35.606,35.459,36.086,35.829,36.451,36.772,36.542,36.877,36.917,36.622,36.352,37.069,37.166,37.211,36.868,36.265,36.871,36.43,35.69,35.64,35.641,36.642,35.13,35.735,35.458,34.953,35.394,35.404,35.723,35.724,34.75,35.284,36.412,36.405,35.475,35.384,35.91,35.14,36.422,37.555,38.168,38.724,39.17,39.755,40.235,40.132,39.858,40.694,41.163,40.168,41.144,41.916,40.896,41.775,40.817,38.975,38.414,37.239,37.521,37.677,37.776,39.709,40.509,40.754,41.539,40.214,40.351,40.584,40.582,39.959,39.568,39.721,40.101,40.642,40.557,39.008,38.691,38.889,39.456,39.399,40.413,39.279,39.016,39.784,40.194,40.167,39.269,38.856,38.574,39.686,40.552,38.684,37.919,39.112,39.21,37.653,39.11
26,B,False,41.56,40.817,41.462,41.413,40.686,40.685,40.7,40.237,40.106,39.837,39.396,39.328,39.582,39.166,39.492,39.022,39.136,39.464,39.552,39.607,39.583,38.95,38.86,38.88,39.645,40.079,39.471,38.942,39.251,38.966,39.374,39.367,39.23,39.428,39.201,39.283,39.223,38.423,38.872,38.907,38.962,40.173,38.891,38.731,37.99,38.111,38.391,37.488,38.186,38.156,38.112,38.31,38.468,38.54,37.834,37.721,38.427,38.225,38.26,38.084,37.005,37.124,37.409,37.84,37.741,38.398,37.611,38.091,37.75,37.881,37.973,38.005,37.78,37.905,37.799,37.41,38.049,37.758,37.441,36.692,36.653,36.597,36.788,36.49,36.861,36.48,36.567,36.662,36.701,37.198,37.103,36.939,36.787,36.667,36.679,36.515,36.679,36.376,36.291,36.414,36.055,36.405,36.076,36.393,36.106,36.217,35.175,35.286,35.648,36.244,35.87,36.128,35.879,36.163,35.93,35.509,36.234,35.545,35.436
27,B,False,25.182,25.383,25.035,25.638,25.617,25.358,25.118,25.685,25.114,25.074,25.037,25.278,24.904,24.854,24.781,24.47,24.446,24.246,24.392,24.451,23.889,24.525,24.741,24.814,25.35,25.255,25.151,25.378,25.357,25.01,25.078,25.133,24.757,24.641,24.08,24.044,24.167,23.62,24.023,23.704,23.723,23.855,23.417,23.404,23.2,24.175,23.323,22.855,23.01,23.633,23.359,23.153,23.012,23.439,24.05,23.679,23.58,23.715,24.165,24.113,23.701,24.486,23.957,23.941,23.91,24.17,24.222,23.945,24.399,24.431,24.536,23.929,24.068,24.534,24.455,24.812,24.37,24.495,24.61,24.563,23.954,24.065,24.152,24.27,24.316,24.293,24.149,24.128,24.457,24.395,24.247,24.375,24.665,24.857,25.303,25.061,25.529,25.045,25.148,25.267,25.752,25.754,25.697,25.423,25.4,25.708,25.123,25.529,25.082,25.151,24.969,25.219,24.938,25.125,24.899,25.087,24.756,24.607,24.844
28,B,False,52.122,52.373,51.832,52.099,52.682,52.604,52.958,52.589,52.526,52.571,53.016,52.671,52.709,53.055,53.375,53.065,52.998,52.71,52.918,52.961,52.669,52.534,52.653,52.453,51.865,51.647,51.816,51.367,51.213,51.326,51.706,52.029,52.348,52.423,52.332,52.492,52.793,52.228,52.158,52.291,52.212,52.123,52.704,52.577,52.225,52.123,52.455,52.895,52.849,52.825,52.665,52.539,52.29,52.341,52.499,52.255,52.394,52.058,52.393,51.949,52.146,52.288,51.909,52.298,52.593,52.335,52.422,52.371,52.683,52.367,52.071,52.23,52.307,52.159,52.636,52.393,51.537,52.443,52.369,52.112,52.196,51.773,51.433,51.748,51.76,51.9,51.917,52.045,52.193,51.832,51.495,51.499,51.467,51.749,52.185,52.283,52.372,52.513,52.546,52.516,52.085,52.259,52.488,52.219,51.918,51.83,51.854,52.039,52.038,52.152,51.995,52.163,52.363,52.466,52.049,52.569,52.553,52.454,52.347
29,B,True,54.538,54.791,54.484,54.549,54.949,54.995,54.75,54.655,54.935,54.717,55.126,54.851,55.228,54.948,55.139,54.904,54.914,55.035,54.719,54.555,54.692,54.725,54.013,53.5,53.604,53.967,53.793,53.563,53.509,53.904,53.941,53.161,53.875,53.583,54.014,54.122,53.986,54.229,53.71,53.896,54.317,54.267,54.592,54.007,53.991,54.195,53.84,54.177,54.646,53.851,54.173,54.144,54.307,53.917,54.656,54.328,54.063,54.275,54.233,54.212,54.249,55.045,54.315,54.5,54.034,54.138,54.51,54.32,54.437,54.714,54.69,54.688,54.616,54.793,55.125,54.836,55.102,55.334,54.862,55.032,54.914,55.219,55.395,55.414,54.89,55.362,55.068,54.885,54.936,54.726,54.388,54.363,54.545,54.282,54.212,54.727,54.345,54.204,54.213,54.074,53.979,53.84,53.787,53.909,53.865,54.404,54.038,53.976,53.755,53.545,53.399,53.529,53.487,53.215,53.615,53.383,52.837,53.024,53.268
30,B,False,31.888,32.254,32.327,32.583,32.25,32.144,31.911,32.205,32.229,31.809,31.456,31.37,31.655,31.19,31.641,31.003,30.664,30.446,30.735,30.265,30.193,29.756,29.902,30.136,29.912,30.499,30.592,30.418,31.352,31.229,30.933,30.858,30.413,30.607,30.892,31.326,30.887,30.979,30.992,30.807,30.784,30.483,30.319,30.397,29.313,29.62,29.647,29.053,28.72,28.443,28.439,28.116,27.826,27.607,27.425,27.416,27.805,27.463,27.675,27.566,28.235,27.779,28.183,27.612,27.753,28.377,28.24,27.804,27.353,27.745,27.679,27.423,27.144,26.761,26.861,26.642,27.453,26.844,25.988,26.057,25.743,25.535,25.757,25.76,25.951,25.477,25.206,25.213,25.475,25.029,25.441,25.073,25.244,25.396,25.685,25.617,25.172,25.14,25.113,25.278,25.388,25.298,25.249,25.151,25.627,25.308,25.07,25.41,25.531,25.244,25.872,26.114,26.053,26.229,26.863,27.197,27.363,27.377,27.434
31,B,False,34.957,34.256,33.991,33.88,33.805,34.202,33.84,34.081,33.791,34.035,34.924,34.631,34.287,34.638,34.005,33.953,33.577,33.426,33.243,32.958,33.423,33.2,34.002,33.214,33.303,32.934,32.8,32.734,32.806,32.905,32.647,32.407,32.712,32.253,32.728,32.886,32.057,31.944,31.774,31.852,31.768,31.553,32.097,32.002,31.853,32.409,31.827,31.629,31.972,31.699,31.638,31.459,30.873,31.593,31.666,31.404,31.074,31.289,30.708,30.76,30.653,30.447,30.877,30.601,29.931,29.843,30.266,29.978,29.88,29.847,29.75,29.96,29.596,29.66,29.705,29.326,29.036,29.044,28.89,28.806,29.228,29.268,29.108,29.224,29.746,29.571,29.273,30.19,29.459,29.843,29.911,29.759,29.926,28.957,29.08,29.014,28.886,28.665,28.839,28.782,0.0,28.739,28.779,28.632,28.607,28.376,28.784,28.902,28.76,28.615,28.517,28.144,27.94,28.121,28.296,28.002,28.193,28.225,28.425
32,B,False,31.48,31.521,31.987,32.107,32.022,32.214,31.794,31.995,31.573,31.119,31.105,31.327,31.083,30.907,31.358,31.347,30.942,31.442,31.423,31.645,32.03,31.999,32.147,32.136,32.836,32.915,32.891,33.124,33.302,34.016,33.291,33.427,33.117,33.107,33.0,33.261,33.444,33.139,33.176,33.075,33.158,33.019,32.609,32.77,33.079,32.55,32.524,32.409,32.802,32.662,32.405,32.609,32.789,33.073,32.551,32.806,33.111,33.735,33.87,33.39,32.93,33.425,33.281,33.588,33.756,33.733,33.493,34.0,33.308,33.163,33.127,33.095,32.448,32.881,33.278,32.949,32.949,32.714,32.75,33.01,33.358,33.201,33.024,33.436,33.822,33.371,34.043,34.078,34.306,34.353,34.655,34.866,34.827,35.082,35.124,35.514,35.13,34.751,35.266,35.065,34.931,35.184,35.101,35.477,35.224,34.852,34.918,35.167,35.59,35.186,35.179,35.498,35.145,35.131,35.033,35.058,35.401,35.105,35.51
33,B,False,22.632,22.406,22.502,22.58,22.424,22.665,22.498,22.972,23.113,23.169,23.29,23.673,23.724,23.974,24.201,24.635,0.0,24.772,24.685,24.876,24.804,24.409,24.169,24.125,24.16,24.071,23.935,23.925,24.046,24.19,24.301,24.159,24.324,24.479,24.474,24.474,24.846,25.091,25.113,25.392,25.443,25.288,25.306,25.566,25.555,25.276,25.214,26.016,26.134,26.195,26.333,26.165,26.495,26.552,26.42,26.045,25.653,26.117,25.339,24.941,25.523,25.562,25.7,25.024,24.366,24.918,24.324,24.705,24.771,24.812,24.711,24.715,25.242,25.144,25.267,25.582,25.794,25.793,25.849,25.813,26.163,26.06,25.732,25.871,25.971,25.69,25.598,25.651,25.476,25.641,25.461,25.489,25.709,25.522,25.844,25.984,25.99,26.169,26.481,26.443,26.191,26.511,26.485,26.62,26.37,26.759,26.482,26.881,27.042,27.029,26.883,26.915,26.73,26.834,26.945,26.827,27.223,27.297,26.955
34,B,False,54.75,54.655,54.935,54.717,55.126,54.851,55.228,54.948,55.139,54.904,54.914,55.035,54.719,54.555,54.692,54.725,54.013,53.5,53.604,53.967,53.793,53.563,53.509,53.904,53.941,53.161,53.875,53.583,54.014,54.122,53.986,54.229,53.71,53.896,54.317,54.267,54.592,54.007,53.991,54.195,53.84,54.177,54.646,53.851,54.173,54.144,54.307,53.917,54.656,54.328,54.063,54.275,54.233,54.212,54.249,55.045,54.315,54.5,54.034,54.138,54.51,54.32,54.437,54.714,54.69,54.688,54.616,54.793,55.125,54.836,55.102,55.334,54.862,55.032,54.914,55.219,55.395,55.414,54.89,55.362,55.068,54.885,54.936,54.726,54.388,54.363,54.545,54.282,54.212,54.727,54.345,54.204,54.213,54.074,53.979,53.84,53.787,53.909,53.865,54.404,54.038,53.976,53.755,53.545,53.399,53.529,53.487,53.215,53.615,53.383,52.837,53.024,53.268,52.834,53.106,53.366,53.646,53.641,52.976
