,FLARE_TYPE,COINCIDENCE,MEANGBZ_1,MEANGBZ_2,MEANGBZ_3,MEANGBZ_4,MEANGBZ_5,MEANGBZ_6,MEANGBZ_7,MEANGBZ_8,MEANGBZ_9,MEANGBZ_10,MEANGBZ_11,MEANGBZ_12,MEANGBZ_13,MEANGBZ_14,MEANGBZ_15,MEANGBZ_16,MEANGBZ_17,MEANGBZ_18,MEANGBZ_19,MEANGBZ_20,MEANGBZ_21,MEANGBZ_22,MEANGBZ_23,MEANGBZ_24,MEANGBZ_25,MEANGBZ_26,MEANGBZ_27,MEANGBZ_28,MEANGBZ_29,MEANGBZ_30,MEANGBZ_31,MEANGBZ_32,MEANGBZ_33,MEANGBZ_34,MEANGBZ_35,MEANGBZ_36,MEANGBZ_37,MEANGBZ_38,MEANGBZ_39,MEANGBZ_40,MEANGBZ_41,MEANGBZ_42,MEANGBZ_43,MEANGBZ_44,MEANGBZ_45,MEANGBZ_46,MEANGBZ_47,MEANGBZ_48,MEANGBZ_49,MEANGBZ_50,MEANGBZ_51,MEANGBZ_52,MEANGBZ_53,MEANGBZ_54,MEANGBZ_55,MEANGBZ_56,MEANGBZ_57,MEANGBZ_58,MEANGBZ_59,MEANGBZ_60,MEANGBZ_61,MEANGBZ_62,MEANGBZ_63,MEANGBZ_64,MEANGBZ_65,MEANGBZ_66,MEANGBZ_67,MEANGBZ_68,MEANGBZ_69,MEANGBZ_70,MEANGBZ_71,MEANGBZ_72,MEANGBZ_73,MEANGBZ_74,MEANGBZ_75,MEANGBZ_76,MEANGBZ_77,MEANGBZ_78,MEANGBZ_79,MEANGBZ_80,MEANGBZ_81,MEANGBZ_82,MEANGBZ_83,MEANGBZ_84,MEANGBZ_85,MEANGBZ_86,MEANGBZ_87,MEANGBZ_88,MEANGBZ_89,MEANGBZ_90,MEANGBZ_91,MEANGBZ_92,MEANGBZ_93,MEANGBZ_94,MEANGBZ_95,MEANGBZ_96,MEANGBZ_97,MEANGBZ_98,MEANGBZ_99,MEANGBZ_100,MEANGBZ_101,MEANGBZ_102,MEANGBZ_103,MEANGBZ_104,MEANGBZ_105,MEANGBZ_106,MEANGBZ_107,MEANGBZ_108,MEANGBZ_109,MEANGBZ_110,MEANGBZ_111,MEANGBZ_112,MEANGBZ_113,MEANGBZ_114,MEANGBZ_115,MEANGBZ_116,MEANGBZ_117,MEANGBZ_118,MEANGBZ_119
10,B,True,79.254,79.722,78.907,79.394,80.663,80.281,80.75,81.06,79.843,80.294,81.362,81.417,82.534,83.246,83.051,83.811,83.617,84.425,84.136,84.603,84.829,84.222,83.891,83.6,83.533,83.715,83.35,83.324,83.551,82.506,81.536,81.63,82.875,83.253,83.748,83.337,83.341,83.358,83.159,83.299,82.235,82.37,81.994,81.522,81.123,81.443,81.384,80.459,79.933,79.386,78.602,77.532,77.027,77.183,77.802,77.293,77.879,78.143,78.02,79.676,80.05,79.523,81.095,81.749,82.863,83.347,83.903,84.478,84.256,83.123,83.018,82.804,81.956,80.778,80.486,80.476,79.314,78.862,78.73,78.825,78.554,78.608,78.511,77.782,77.795,77.617,77.616,78.114,78.241,78.198,78.156,78.235,77.986,78.408,78.831,79.084,79.224,79.432,79.541,80.218,81.189,81.025,81.382,80.869,81.917,82.937,81.773,81.079,80.381,80.121,80.316,78.947,78.492,77.811,76.792,76.589,76.309,75.169,75.411
11,B,True,102.82,103.8,104.93,105.81,105.67,105.05,105.31,104.47,103.34,102.14,101.69,101.45,100.79,100.12,99.243,98.927,98.947,100.59,100.82,101.56,102.63,103.83,104.24,104.73,104.88,104.88,105.25,104.91,105.56,105.21,104.22,103.79,103.63,103.42,103.61,103.28,102.75,102.09,102.75,102.97,103.48,103.14,104.38,104.17,104.44,104.62,104.45,105.98,106.62,106.08,106.82,107.01,107.21,107.55,108.37,108.99,108.88,108.81,109.01,107.68,106.02,105.74,104.13,104.2,103.83,103.57,105.06,106.7,107.53,109.19,110.72,112.38,112.9,113.57,112.65,113.05,113.11,112.36,111.5,110.66,110.48,109.63,108.72,107.85,106.87,107.71,107.25,107.01,107.73,108.27,108.82,109.11,109.29,110.1,109.82,110.27,110.45,110.64,110.81,110.78,110.83,110.34,110.44,109.93,109.24,109.68,109.52,108.84,108.79,108.39,109.32,109.31,109.02,109.76,109.47,109.71,111.35,112.34,113.02
12,B,True,94.937,94.923,96.843,97.428,97.962,98.446,100.52,102.39,103.39,104.09,104.51,104.8,105.99,106.51,106.35,107.04,106.93,107.31,107.01,108.91,108.14,108.28,108.93,108.68,107.73,109.21,110.53,108.4,108.36,107.32,107.28,106.55,105.7,105.66,104.55,103.71,102.58,101.47,99.923,99.291,100.04,100.24,100.1,100.2,102.69,103.08,103.38,104.52,106.7,107.93,110.16,111.45,112.68,112.2,113.5,113.38,114.05,113.62,113.54,113.11,112.53,110.63,110.12,109.27,108.41,107.98,106.9,105.84,105.58,104.64,106.34,105.45,105.11,105.83,106.04,106.36,105.93,105.97,105.07,104.54,104.21,105.02,105.37,103.5,104.29,105.04,104.08,105.63,107.46,108.13,106.93,108.09,108.09,108.29,109.16,109.84,111.27,111.8,111.63,112.02,114.5,114.37,114.42,116.11,116.36,115.24,114.42,113.55,114.07,113.78,112.69,111.81,111.67,110.11,110.0,108.78,108.32,107.75,107.62
13,B,True,118.32,120.77,120.33,120.84,120.94,123.52,124.74,122.5,123.79,125.29,126.41,127.8,130.24,130.81,129.41,129.18,127.96,125.01,125.9,122.65,124.21,125.35,127.09,122.6,122.38,121.82,121.83,122.86,124.1,126.53,125.48,124.76,123.82,121.48,121.7,124.05,124.34,126.43,124.89,124.39,125.41,127.3,126.72,127.54,127.51,127.38,130.19,129.6,131.6,131.76,132.35,131.05,132.91,133.7,134.86,133.0,131.16,128.91,126.35,126.06,125.16,122.59,123.25,121.93,121.76,119.57,120.33,119.75,118.82,120.94,121.59,124.93,124.23,124.75,126.31,127.2,128.77,129.88,132.35,130.97,128.38,126.85,127.8,127.39,127.92,127.4,123.61,122.16,119.41,119.9,117.78,118.86,119.24,119.2,116.6,117.96,118.35,121.77,120.03,123.53,122.43,122.45,119.67,120.82,120.72,122.72,121.53,123.45,121.4,121.57,120.74,120.16,117.83,117.3,118.92,116.14,115.82,113.43,113.66
14,B,True,100.76,102.32,102.89,102.9,104.02,105.63,104.39,105.76,106.88,108.79,108.28,109.02,107.41,106.87,107.78,106.31,106.06,106.14,106.84,103.71,103.14,102.83,103.06,105.56,104.24,103.95,107.13,106.21,107.09,103.5,106.66,106.21,105.84,106.36,107.31,108.43,107.9,108.21,111.83,109.8,107.24,107.95,107.23,108.23,107.46,110.96,107.39,105.01,101.21,100.18,98.134,97.936,96.891,95.835,97.145,94.635,95.087,97.581,98.17,99.184,102.57,102.53,105.28,110.44,111.72,116.08,114.49,112.82,114.04,112.71,112.19,106.86,107.79,108.56,107.51,106.71,107.01,108.83,109.92,109.84,110.33,109.74,108.93,113.37,114.58,113.38,114.51,115.27,114.18,116.25,118.49,115.82,113.28,112.38,113.54,115.08,116.22,114.58,114.14,115.86,116.15,113.46,115.05,118.64,116.73,115.8,116.67,115.44,115.76,115.04,114.04,112.05,110.23,108.74,111.35,110.99,110.81,110.6,111.15
15,B,True,103.29,103.26,103.62,104.88,103.22,104.74,105.03,104.75,103.97,105.51,105.89,105.9,104.39,103.85,105.19,104.44,103.85,104.17,104.75,104.5,104.04,105.07,103.26,103.4,103.91,102.76,101.7,99.642,99.414,99.812,99.258,98.832,97.543,97.988,97.142,97.468,97.997,98.959,100.46,101.09,103.16,104.55,105.66,107.51,107.43,107.18,106.31,106.16,104.03,103.08,101.34,101.21,99.904,99.02,99.038,98.19,98.253,97.431,97.477,97.756,97.086,97.786,99.197,99.401,99.217,98.985,98.714,98.311,98.291,98.656,99.269,99.572,98.233,98.161,99.513,99.753,99.149,99.424,99.447,100.4,99.109,98.469,98.812,98.936,98.165,97.995,98.106,99.133,99.357,98.863,99.533,99.875,100.72,101.63,102.96,105.36,106.91,106.5,107.41,108.07,106.53,105.08,104.56,103.52,102.52,100.6,98.523,97.036,97.021,97.571,96.805,97.465,97.494,98.08,98.657,99.298,99.849,102.08,102.76
16,B,True,125.61,123.14,122.34,120.84,117.73,116.07,117.02,118.08,118.62,117.32,118.89,121.93,125.39,127.09,126.89,128.71,127.55,130.03,129.07,133.42,132.15,131.31,130.17,128.7,127.1,127.42,128.58,125.98,125.25,124.68,121.89,121.69,120.92,121.12,120.02,119.01,119.08,118.14,119.86,117.56,118.37,120.07,118.15,118.79,119.55,119.86,122.99,122.04,122.89,124.69,125.52,127.05,128.86,130.98,134.79,134.64,136.3,137.01,136.92,137.02,135.93,135.19,132.68,130.86,128.25,127.74,125.78,121.74,121.57,122.59,123.86,122.79,122.69,123.05,124.6,127.02,127.75,130.76,128.89,132.42,135.5,135.74,137.87,138.64,138.96,138.5,136.87,140.22,141.02,138.52,136.86,136.54,135.18,135.43,136.6,137.33,133.45,131.44,131.65,132.07,132.37,131.85,131.6,130.53,131.7,131.41,131.37,132.14,131.7,128.8,130.1,128.3,125.5,123.44,122.12,120.54,119.8,117.97,116.78
17,B,False,116.64,114.58,112.28,109.44,110.48,112.76,114.81,116.94,121.07,127.11,135.54,135.07,135.75,134.86,133.42,131.69,128.42,124.48,119.77,116.86,113.89,112.3,113.29,113.39,112.34,113.21,113.31,115.54,116.54,116.33,117.8,119.04,120.54,120.6,121.35,122.26,120.48,120.41,121.92,121.92,122.23,122.34,122.74,122.24,122.36,122.65,123.85,122.96,122.85,121.34,120.76,120.42,120.0,120.58,121.69,119.22,119.28,118.63,117.12,116.99,119.74,120.55,122.82,122.5,122.21,125.61,126.45,130.7,137.1,142.04,141.55,140.61,142.37,142.06,140.29,137.77,133.5,130.52,127.47,125.02,124.93,123.47,124.58,124.91,123.67,127.2,127.24,126.71,129.2,130.94,133.33,134.74,138.17,140.98,144.99,145.68,144.36,148.21,147.76,148.89,150.84,149.84,149.5,149.15,150.41,151.04,147.95,143.85,140.42,139.69,137.48,134.63,131.45,131.81,131.26,132.61,130.62,130.83,131.11
18,B,False,115.87,116.3,114.7,115.4,114.9,116.18,116.56,116.85,118.69,118.96,119.02,119.29,121.77,123.92,121.61,122.12,121.18,119.72,118.74,117.57,116.7,116.3,115.9,114.18,112.53,111.24,111.41,111.28,110.72,109.42,106.95,107.07,106.72,107.37,110.11,109.72,109.8,110.08,109.9,109.22,107.47,108.57,109.8,110.82,112.82,112.88,114.95,113.4,110.69,109.97,109.56,109.14,109.0,107.8,107.83,104.68,104.56,104.52,106.2,108.02,107.75,108.14,109.7,109.33,111.53,111.01,110.84,109.8,106.27,105.23,102.02,101.14,99.462,99.594,100.49,102.06,102.02,98.501,97.759,99.01,97.96,97.81,97.262,99.847,97.311,97.964,98.289,100.52,100.39,102.17,104.12,102.68,102.65,104.11,101.11,101.97,101.28,101.71,101.06,101.14,100.41,102.73,103.61,103.58,103.88,106.78,106.29,107.91,108.01,110.32,111.17,111.96,109.77,109.04,109.92,107.82,107.28,107.12,106.28
19,B,True,106.81,107.73,107.42,107.58,106.39,106.53,108.18,110.08,109.15,108.58,107.63,107.91,108.89,106.72,106.33,105.49,106.07,106.1,104.28,102.45,101.96,101.42,102.3,100.02,100.33,101.54,101.12,99.758,99.49,98.956,98.331,98.559,97.027,95.562,96.804,93.882,97.467,96.405,99.567,100.07,101.19,100.82,101.75,104.03,105.4,105.82,105.97,107.13,107.15,107.26,107.95,109.1,108.19,106.99,107.13,105.26,103.58,102.6,101.58,100.19,100.78,99.579,100.47,98.731,97.875,98.315,99.048,98.443,100.03,99.534,99.845,98.703,98.732,98.387,99.515,100.3,101.26,102.69,101.04,102.42,103.75,104.25,104.45,104.3,105.91,104.44,104.05,105.49,105.36,103.55,102.44,103.34,101.89,100.85,100.1,98.922,100.6,99.199,100.61,99.561,97.686,99.341,99.237,98.221,97.979,97.497,96.18,96.272,95.09,93.696,93.313,91.675,90.406,91.172,91.194,91.188,91.674,91.075,89.809
20,B,False,116.18,116.55,117.49,114.03,115.04,114.07,115.18,113.99,112.85,111.41,109.77,108.94,110.41,109.88,110.6,110.79,110.61,111.13,111.34,112.85,113.2,115.38,116.04,118.14,119.22,119.53,118.72,120.2,120.01,122.54,120.82,121.57,120.99,122.04,122.9,121.74,120.43,121.14,119.38,119.74,118.99,120.32,120.24,118.43,118.69,120.0,118.38,119.68,121.16,123.1,122.4,122.06,123.18,122.63,123.64,122.97,122.01,121.7,125.48,125.33,123.06,121.77,121.57,120.16,118.68,119.21,116.21,112.97,111.86,111.87,110.15,111.29,110.12,107.61,109.62,107.83,108.87,106.03,107.63,109.51,110.34,110.15,111.67,112.29,113.15,114.98,114.19,115.9,115.58,116.3,115.82,115.23,115.94,116.42,115.64,116.01,116.61,116.94,117.1,114.65,113.72,113.47,113.71,113.96,113.93,112.38,113.64,114.54,113.0,114.15,112.08,112.06,113.27,112.94,111.78,113.03,111.97,113.01,111.35
21,B,True,114.02,114.29,112.02,111.89,112.03,111.08,111.45,110.37,109.91,110.67,110.4,109.84,109.57,109.16,108.17,109.4,107.82,106.9,105.46,107.18,107.71,106.72,105.42,107.59,107.18,107.31,108.19,108.97,108.29,108.11,110.4,110.64,112.29,113.62,113.65,114.12,113.55,114.55,115.06,114.26,114.23,112.31,113.49,115.14,113.84,113.45,111.04,108.66,109.74,109.3,107.91,109.62,107.5,105.69,103.45,103.62,103.04,102.55,105.2,106.62,107.1,107.1,107.89,106.16,110.14,110.93,113.0,112.93,113.49,116.91,114.37,114.43,115.64,117.32,113.85,113.91,115.94,116.06,115.19,116.8,114.74,113.36,115.63,113.83,114.56,114.25,114.5,114.67,116.35,113.96,115.9,114.1,113.99,115.58,116.26,116.18,116.55,117.49,114.03,115.04,114.07,115.18,113.99,112.85,111.41,109.77,108.94,110.41,109.88,110.6,110.79,110.61,111.13,111.34,112.85,113.2,115.38,116.04,118.14
22,B,False,106.9,105.46,107.18,107.71,106.72,105.42,107.59,107.18,107.31,108.19,108.97,108.29,108.11,110.4,110.64,112.29,113.62,113.65,114.12,113.55,114.55,115.06,114.26,114.23,112.31,113.49,115.14,113.84,113.45,111.04,108.66,109.74,109.3,107.91,109.62,107.5,105.69,103.45,103.62,103.04,102.55,105.2,106.62,107.1,107.1,107.89,106.16,110.14,110.93,113.0,112.93,113.49,116.91,114.37,114.43,115.64,117.32,113.85,113.91,115.94,116.06,115.19,116.8,114.74,113.36,115.63,113.83,114.56,114.25,114.5,114.67,116.35,113.96,115.9,114.1,113.99,115.58,116.26,116.18,116.55,117.49,114.03,115.04,114.07,115.18,113.99,112.85,111.41,109.77,108.94,110.41,109.88,110.6,110.79,110.61,111.13,111.34,112.85,113.2,115.38,116.04,118.14,119.22,119.53,118.72,120.2,120.01,122.54,120.82,121.57,120.99,122.04,122.9,121.74,120.43,121.14,119.38,119.74,118.99
23,B,False,120.21,118.7,118.45,120.07,125.45,125.67,127.35,127.68,127.59,128.44,130.84,132.12,127.28,128.06,130.62,131.22,131.25,135.94,139.72,140.64,140.7,138.7,139.45,143.14,144.99,145.0,143.69,144.8,141.97,141.28,138.48,138.12,135.59,135.88,132.8,128.1,129.04,127.0,127.79,128.08,126.85,128.84,130.02,128.59,128.22,129.77,132.48,132.3,131.13,133.17,135.9,136.12,135.92,136.15,136.82,136.23,135.35,134.85,138.62,137.98,137.89,137.5,135.11,132.66,131.65,130.95,130.46,129.27,128.57,131.61,129.93,129.66,130.83,131.54,128.37,127.87,130.3,131.77,132.46,135.81,135.68,136.61,139.68,140.2,145.5,145.72,145.75,145.21,148.32,146.07,145.87,145.99,146.39,142.43,140.62,141.26,139.61,134.86,136.84,134.65,132.6,134.34,134.58,135.16,134.74,132.17,130.99,131.89,131.34,132.99,138.46,136.56,136.95,138.42,141.13,137.86,137.95,137.66,134.95
