,FLARE_TYPE,COINCIDENCE,MEANGBZ_1,MEANGBZ_2,MEANGBZ_3,MEANGBZ_4,MEANGBZ_5,MEANGBZ_6,MEANGBZ_7,MEANGBZ_8,MEANGBZ_9,MEANGBZ_10,MEANGBZ_11,MEANGBZ_12,MEANGBZ_13,MEANGBZ_14,MEANGBZ_15,MEANGBZ_16,MEANGBZ_17,MEANGBZ_18,MEANGBZ_19,MEANGBZ_20,MEANGBZ_21,MEANGBZ_22,MEANGBZ_23,MEANGBZ_24,MEANGBZ_25,MEANGBZ_26,MEANGBZ_27,MEANGBZ_28,MEANGBZ_29,MEANGBZ_30,MEANGBZ_31,MEANGBZ_32,MEANGBZ_33,MEANGBZ_34,MEANGBZ_35,MEANGBZ_36,MEANGBZ_37,MEANGBZ_38,MEANGBZ_39,MEANGBZ_40,MEANGBZ_41,MEANGBZ_42,MEANGBZ_43,MEANGBZ_44,MEANGBZ_45,MEANGBZ_46,MEANGBZ_47,MEANGBZ_48,MEANGBZ_49,MEANGBZ_50,MEANGBZ_51,MEANGBZ_52,MEANGBZ_53,MEANGBZ_54,MEANGBZ_55,MEANGBZ_56,MEANGBZ_57,MEANGBZ_58,MEANGBZ_59,MEANGBZ_60,MEANGBZ_61,MEANGBZ_62,MEANGBZ_63,MEANGBZ_64,MEANGBZ_65,MEANGBZ_66,MEANGBZ_67,MEANGBZ_68,MEANGBZ_69,MEANGBZ_70,MEANGBZ_71,MEANGBZ_72,MEANGBZ_73,MEANGBZ_74,MEANGBZ_75,MEANGBZ_76,MEANGBZ_77,MEANGBZ_78,MEANGBZ_79,MEANGBZ_80,MEANGBZ_81,MEANGBZ_82,MEANGBZ_83,MEANGBZ_84,MEANGBZ_85,MEANGBZ_86,MEANGBZ_87,MEANGBZ_88,MEANGBZ_89,MEANGBZ_90,MEANGBZ_91,MEANGBZ_92,MEANGBZ_93,MEANGBZ_94,MEANGBZ_95,MEANGBZ_96,MEANGBZ_97,MEANGBZ_98,MEANGBZ_99,MEANGBZ_100,MEANGBZ_101,MEANGBZ_102,MEANGBZ_103,MEANGBZ_104,MEANGBZ_105,MEANGBZ_106,MEANGBZ_107,MEANGBZ_108,MEANGBZ_109,MEANGBZ_110,MEANGBZ_111,MEANGBZ_112,MEANGBZ_113,MEANGBZ_114,MEANGBZ_115,MEANGBZ_116,MEANGBZ_117,MEANGBZ_118,MEANGBZ_119
0,M,True,86.941,86.083,86.699,86.205,86.84,86.378,86.945,87.25,87.323,87.968,89.045,88.128,87.618,88.311,88.013,87.398,88.201,88.748,89.253,89.264,89.032,89.35,90.005,89.85,89.434,90.122,88.269,88.623,88.381,90.182,88.737,89.763,90.406,91.349,91.491,91.513,92.655,93.932,93.834,93.798,95.332,94.999,94.524,93.846,94.118,94.501,93.759,93.563,93.553,94.475,94.529,94.96,95.742,96.929,98.048,97.315,97.395,97.107,99.374,100.38,100.47,101.37,102.76,104.22,104.08,104.37,105.26,104.1,103.21,103.56,102.42,102.74,103.39,103.59,104.05,103.71,103.96,104.17,104.43,105.69,105.96,106.4,107.35,107.22,107.27,108.15,107.55,108.52,109.06,108.02,109.07,109.14,107.99,107.64,106.79,106.37,106.06,107.09,106.65,106.24,107.05,106.22,105.61,107.36,107.24,108.81,109.06,109.83,109.51,110.15,110.4,108.8,107.69,107.24,107.76,104.82,104.64,102.44,102.11
1,M,True,94.529,94.96,95.742,96.929,98.048,97.315,97.395,97.107,99.374,100.38,100.47,101.37,102.76,104.22,104.08,104.37,105.26,104.1,103.21,103.56,102.42,102.74,103.39,103.59,104.05,103.71,103.96,104.17,104.43,105.69,105.96,106.4,107.35,107.22,107.27,108.15,107.55,108.52,109.06,108.02,109.07,109.14,107.99,107.64,106.79,106.37,106.06,107.09,106.65,106.24,107.05,106.22,105.61,107.36,107.24,108.81,109.06,109.83,109.51,110.15,110.4,108.8,107.69,107.24,107.76,104.82,104.64,102.44,102.11,103.36,104.13,102.84,103.21,102.36,102.44,102.08,102.32,102.56,102.05,102.47,100.76,101.78,102.65,103.64,104.38,103.07,102.16,103.36,103.61,102.96,101.8,100.98,102.68,102.81,102.15,100.54,102.42,102.57,102.22,103.09,105.1,103.34,105.03,106.64,106.33,107.35,107.69,108.28,108.2,108.87,106.31,105.74,104.85,104.79,103.87,103.14,104.19,106.84,104.61
2,B,False,132.61,131.39,130.48,128.21,128.43,127.94,125.78,124.52,123.13,122.55,122.08,121.43,120.72,119.23,118.75,118.39,117.53,117.06,117.43,116.29,117.05,116.64,116.2,117.17,115.99,114.31,115.24,115.23,114.66,114.37,114.17,113.78,113.37,114.07,114.51,116.05,116.63,115.02,116.1,115.71,116.93,117.32,117.49,116.8,117.4,119.11,118.45,120.5,121.94,123.57,125.91,126.8,126.72,126.82,127.46,128.19,126.24,123.39,121.64,120.35,119.11,118.85,118.35,116.0,115.29,115.06,115.61,115.08,115.83,115.39,116.74,115.83,113.19,112.99,115.18,117.43,116.29,116.23,117.31,116.54,116.57,117.32,117.13,117.42,115.09,114.33,116.31,115.39,115.56,114.12,114.26,115.59,114.83,112.97,114.51,113.37,109.62,109.71,108.33,109.97,109.62,108.26,107.58,107.57,108.71,110.71,114.77,115.92,117.68,120.47,121.93,123.9,124.81,126.17,126.01,124.91,122.07,121.38,120.51
3,B,True,107.1,107.89,106.16,110.14,110.93,113.0,112.93,113.49,116.91,114.37,114.43,115.64,117.32,113.85,113.91,115.94,116.06,115.19,116.8,114.74,113.36,115.63,113.83,114.56,114.25,114.5,114.67,116.35,113.96,115.9,114.1,113.99,115.58,116.26,116.18,116.55,117.49,114.03,115.04,114.07,115.18,113.99,112.85,111.41,109.77,108.94,110.41,109.88,110.6,110.79,110.61,111.13,111.34,112.85,113.2,115.38,116.04,118.14,119.22,119.53,118.72,120.2,120.01,122.54,120.82,121.57,120.99,122.04,122.9,121.74,120.43,121.14,119.38,119.74,118.99,120.32,120.24,118.43,118.69,120.0,118.38,119.68,121.16,123.1,122.4,122.06,123.18,122.63,123.64,122.97,122.01,121.7,125.48,125.33,123.06,121.77,121.57,120.16,118.68,119.21,116.21,112.97,111.86,111.87,110.15,111.29,110.12,107.61,109.62,107.83,108.87,106.03,107.63,109.51,110.34,110.15,111.67,112.29,113.15
4,B,True,129.81,131.35,128.43,123.52,123.39,125.02,128.73,129.69,125.6,131.14,128.51,128.48,126.23,140.17,148.75,144.85,143.47,141.56,141.15,141.32,141.42,136.71,138.32,134.41,134.69,137.69,136.63,137.24,135.41,128.71,130.23,132.63,134.67,135.69,138.15,140.75,143.39,149.44,150.54,153.11,146.74,147.84,156.12,152.28,153.26,145.9,148.62,145.95,149.18,150.7,145.82,147.38,142.39,140.17,130.62,135.19,134.0,140.09,137.53,136.59,134.55,137.22,140.99,138.82,141.11,140.75,140.48,145.14,143.27,144.19,143.85,139.66,141.05,142.32,136.33,131.58,130.72,132.22,131.48,127.67,127.1,127.17,128.53,122.34,120.92,119.14,115.27,115.15,116.09,121.87,122.96,125.27,124.11,124.53,125.93,123.45,125.12,122.42,116.91,116.17,118.02,123.63,123.75,124.71,126.97,127.45,124.91,125.48,122.59,122.62,120.23,123.79,123.26,123.22,125.43,122.9,120.78,119.46,118.5
5,B,True,115.4,114.9,116.18,116.56,116.85,118.69,118.96,119.02,119.29,121.77,123.92,121.61,122.12,121.18,119.72,118.74,117.57,116.7,116.3,115.9,114.18,112.53,111.24,111.41,111.28,110.72,109.42,106.95,107.07,106.72,107.37,110.11,109.72,109.8,110.08,109.9,109.22,107.47,108.57,109.8,110.82,112.82,112.88,114.95,113.4,110.69,109.97,109.56,109.14,109.0,107.8,107.83,104.68,104.56,104.52,106.2,108.02,107.75,108.14,109.7,109.33,111.53,111.01,110.84,109.8,106.27,105.23,102.02,101.14,99.462,99.594,100.49,102.06,102.02,98.501,97.759,99.01,97.96,97.81,97.262,99.847,97.311,97.964,98.289,100.52,100.39,102.17,104.12,102.68,102.65,104.11,101.11,101.97,101.28,101.71,101.06,101.14,100.41,102.73,103.61,103.58,103.88,106.78,106.29,107.91,108.01,110.32,111.17,111.96,109.77,109.04,109.92,107.82,107.28,107.12,106.28,105.56,104.51,103.1
6,B,False,133.76,132.8,135.43,135.7,137.74,136.82,136.1,136.01,133.68,129.66,129.96,128.46,127.61,127.68,126.14,124.95,125.27,126.64,126.69,127.46,127.94,127.59,127.47,128.01,126.23,124.76,127.16,128.84,129.05,129.19,127.84,127.3,125.75,128.18,128.4,127.63,128.53,128.42,128.67,127.76,129.43,130.26,129.59,126.43,125.78,126.09,127.08,124.07,123.5,122.72,124.94,126.11,125.84,128.06,128.3,128.66,131.05,132.55,136.51,135.96,136.95,139.52,137.44,138.66,136.56,139.08,137.59,134.93,133.73,136.68,134.05,135.97,134.48,134.38,135.24,135.02,136.16,133.81,132.81,132.83,136.45,135.79,133.1,133.36,132.77,132.09,132.64,133.24,133.38,131.79,132.21,130.79,132.34,131.18,131.52,133.11,133.98,132.72,130.77,131.33,133.69,130.89,131.3,128.55,129.83,130.27,133.3,133.76,132.53,134.64,134.48,136.99,134.43,134.81,135.35,135.6,134.9,131.11,133.01
7,B,False,73.922,75.252,75.25,75.032,72.929,71.834,73.313,72.714,72.233,71.536,71.049,71.744,70.807,70.392,70.448,69.929,70.245,71.112,71.347,71.494,71.842,71.662,71.041,72.152,71.853,70.666,72.634,72.755,72.086,72.139,70.049,69.423,69.658,69.877,68.806,69.465,68.761,68.113,67.629,68.304,66.647,67.779,67.834,67.223,66.923,68.497,68.649,69.265,68.305,68.94,67.301,68.536,68.425,69.18,69.25,69.492,67.317,68.305,68.83,69.904,69.575,69.988,68.573,68.377,68.828,68.601,69.015,69.7,68.609,69.253,69.441,70.06,70.808,70.881,71.781,73.073,71.672,72.293,71.369,70.585,71.41,70.51,68.96,68.949,69.759,68.718,69.06,69.431,68.695,68.855,70.482,70.745,71.21,70.922,70.082,70.286,70.204,69.583,69.406,69.531,68.881,69.037,69.037,69.143,68.557,68.729,69.005,69.023,67.548,66.466,66.242,66.149,66.697,67.216,66.579,66.164,67.586,67.919,68.216
8,B,False,115.68,117.62,116.37,115.42,116.68,116.68,119.76,120.2,121.37,121.63,122.84,122.88,125.0,125.2,124.94,125.71,127.59,128.2,126.1,126.76,126.49,123.09,124.01,121.86,123.35,122.85,120.09,118.51,118.18,116.14,117.71,115.92,117.73,116.65,118.59,118.47,119.18,123.56,125.26,125.73,126.46,125.66,126.7,127.27,128.73,126.1,126.92,126.64,126.53,121.88,123.45,124.52,123.4,124.32,121.92,123.96,124.01,126.05,125.11,125.47,124.3,123.92,123.0,123.61,122.22,121.19,121.71,120.97,119.64,117.8,116.64,115.68,114.47,114.12,113.31,113.67,112.54,113.96,114.89,114.37,117.26,119.36,120.69,124.74,127.06,129.39,128.17,129.0,127.8,128.73,128.93,128.29,127.05,125.62,124.21,122.65,122.49,121.12,119.78,118.14,118.61,117.76,118.25,119.15,117.97,116.92,116.76,118.08,118.45,119.74,120.06,121.82,121.5,118.62,118.32,119.41,119.76,120.57,120.1
9,B,False,96.645,97.279,96.032,96.23,97.39,98.703,99.592,99.767,103.04,104.72,106.07,106.0,107.73,109.46,109.08,107.71,105.4,102.56,101.42,99.559,98.088,98.032,98.256,97.188,96.48,97.536,97.61,97.12,97.741,99.33,99.036,98.942,99.791,101.47,101.32,102.08,103.78,102.8,102.28,102.51,100.1,101.41,100.91,102.06,102.16,101.32,101.36,101.37,101.17,100.89,99.734,99.403,99.881,98.573,98.524,98.95,97.825,96.142,95.584,96.723,96.256,95.826,96.164,96.347,97.27,97.867,99.279,100.79,100.57,103.63,104.78,106.02,106.23,106.54,103.69,103.56,101.88,100.89,99.334,96.739,94.635,93.552,95.113,94.19,94.523,96.58,95.468,96.651,96.895,97.451,98.592,99.578,100.11,102.19,103.67,105.77,107.12,107.02,105.92,106.94,108.07,107.98,108.25,107.31,109.45,108.47,108.16,107.14,106.25,105.12,104.87,104.84,102.69,100.56,98.96,97.609,98.194,98.635,97.102
