,FLARE_TYPE,COINCIDENCE,MEANPOT_1,MEANPOT_2,MEANPOT_3,MEANPOT_4,MEANPOT_5,MEANPOT_6,MEANPOT_7,MEANPOT_8,MEANPOT_9,MEANPOT_10,MEANPOT_11,MEANPOT_12,MEANPOT_13,MEANPOT_14,MEANPOT_15,MEANPOT_16,MEANPOT_17,MEANPOT_18,MEANPOT_19,MEANPOT_20,MEANPOT_21,MEANPOT_22,MEANPOT_23,MEANPOT_24,MEANPOT_25,MEANPOT_26,MEANPOT_27,MEANPOT_28,MEANPOT_29,MEANPOT_30,MEANPOT_31,MEANPOT_32,MEANPOT_33,MEANPOT_34,MEANPOT_35,MEANPOT_36,MEANPOT_37,MEANPOT_38,MEANPOT_39,MEANPOT_40,MEANPOT_41,MEANPOT_42,MEANPOT_43,MEANPOT_44,MEANPOT_45,MEANPOT_46,MEANPOT_47,MEANPOT_48,MEANPOT_49,MEANPOT_50,MEANPOT_51,MEANPOT_52,MEANPOT_53,MEANPOT_54,MEANPOT_55,MEANPOT_56,MEANPOT_57,MEANPOT_58,MEANPOT_59,MEANPOT_60,MEANPOT_61,MEANPOT_62,MEANPOT_63,MEANPOT_64,MEANPOT_65,MEANPOT_66,MEANPOT_67,MEANPOT_68,MEANPOT_69,MEANPOT_70,MEANPOT_71,MEANPOT_72,MEANPOT_73,MEANPOT_74,MEANPOT_75,MEANPOT_76,MEANPOT_77,MEANPOT_78,MEANPOT_79,MEANPOT_80,MEANPOT_81,MEANPOT_82,MEANPOT_83,MEANPOT_84,MEANPOT_85,MEANPOT_86,MEANPOT_87,MEANPOT_88,MEANPOT_89,MEANPOT_90,MEANPOT_91,MEANPOT_92,MEANPOT_93,MEANPOT_94,MEANPOT_95,MEANPOT_96,MEANPOT_97,MEANPOT_98,MEANPOT_99,MEANPOT_100,MEANPOT_101,MEANPOT_102,MEANPOT_103,MEANPOT_104,MEANPOT_105,MEANPOT_106,MEANPOT_107,MEANPOT_108,MEANPOT_109,MEANPOT_110,MEANPOT_111,MEANPOT_112,MEANPOT_113,MEANPOT_114,MEANPOT_115,MEANPOT_116,MEANPOT_117,MEANPOT_118,MEANPOT_119,MEANPOT_120
0,B,False,19367.0,19785.0,19467.0,19484.0,19214.0,19157.0,18762.0,18902.0,18572.0,18486.0,18290.0,18412.0,18453.0,18489.0,18426.0,18770.0,18822.0,18818.0,18982.0,19058.0,19160.0,19150.0,19158.0,19359.0,19456.0,19118.0,19268.0,19698.0,19620.0,20018.0,20079.0,20503.0,20010.0,19987.0,20240.0,20514.0,20402.0,20130.0,20210.0,20282.0,19987.0,19682.0,19806.0,19666.0,19811.0,19620.0,19631.0,20105.0,19908.0,19725.0,19280.0,19409.0,19407.0,19263.0,19338.0,19040.0,19191.0,19154.0,19010.0,19232.0,18976.0,19518.0,19505.0,19657.0,19914.0,20163.0,20225.0,20092.0,19906.0,19714.0,19479.0,19546.0,19244.0,19228.0,18804.0,18858.0,18710.0,18717.0,19073.0,18474.0,18470.0,18324.0,18185.0,18343.0,18286.0,18526.0,18589.0,18551.0,18611.0,18665.0,18647.0,18618.0,18597.0,18684.0,18338.0,18250.0,18412.0,18663.0,18548.0,18549.0,18665.0,18600.0,18913.0,19124.0,18876.0,18994.0,18958.0,19243.0,19118.0,19143.0,19149.0,19198.0,19460.0,19943.0,20062.0,19856.0,20246.0,20390.0,20490.0,20393.0
1,B,False,19346.0,19404.0,19455.0,19577.0,19505.0,19248.0,19342.0,19344.0,19249.0,19090.0,19077.0,18908.0,18865.0,18880.0,18753.0,18558.0,17905.0,18004.0,18156.0,17862.0,18043.0,17975.0,18019.0,17960.0,18158.0,18219.0,18989.0,18833.0,18792.0,19000.0,19150.0,19251.0,19265.0,19015.0,19009.0,19066.0,18788.0,18419.0,18388.0,17984.0,17678.0,17695.0,17681.0,17522.0,17791.0,17864.0,17914.0,18226.0,18229.0,18372.0,18513.0,18652.0,18649.0,18749.0,18851.0,18546.0,18429.0,18296.0,18380.0,18693.0,18689.0,18780.0,18583.0,18665.0,18695.0,18283.0,18318.0,18465.0,18535.0,18292.0,18472.0,18328.0,18176.0,18367.0,18307.0,18176.0,18023.0,17965.0,18382.0,18726.0,18640.0,18693.0,19090.0,18976.0,19043.0,18641.0,18388.0,18265.0,18107.0,18287.0,18447.0,18269.0,17720.0,17592.0,17726.0,17601.0,17549.0,17347.0,17326.0,17451.0,17405.0,17760.0,17825.0,17596.0,17953.0,18088.0,18166.0,18299.0,18298.0,18556.0,18479.0,17946.0,17763.0,18097.0,18284.0,18130.0,18096.0,17923.0,18091.0,18121.0
2,B,True,18344.0,18669.0,18660.0,18739.0,18412.0,18745.0,18669.0,18739.0,18628.0,18514.0,18389.0,18783.0,18780.0,19016.0,18529.0,18524.0,18611.0,18342.0,18290.0,18185.0,17942.0,18309.0,18245.0,18047.0,17939.0,17739.0,17952.0,18053.0,18173.0,17953.0,17709.0,17583.0,17491.0,17839.0,17696.0,17412.0,17373.0,17527.0,17918.0,18127.0,18300.0,18349.0,19060.0,19400.0,19737.0,19589.0,19515.0,19976.0,19269.0,19142.0,18955.0,18692.0,18616.0,18847.0,18393.0,18426.0,18059.0,18257.0,18089.0,18100.0,17928.0,17616.0,18126.0,18116.0,18272.0,18278.0,18266.0,18279.0,18379.0,18342.0,18154.0,18514.0,18534.0,18414.0,18695.0,18990.0,19006.0,18658.0,18917.0,18942.0,18882.0,18483.0,18793.0,18631.0,18698.0,18614.0,19049.0,19006.0,18648.0,19029.0,19247.0,19277.0,19371.0,19242.0,18995.0,18707.0,19176.0,19274.0,19124.0,19143.0,19367.0,19785.0,19467.0,19484.0,19214.0,19157.0,18762.0,18902.0,18572.0,18486.0,18290.0,18412.0,18453.0,18489.0,18426.0,18770.0,18822.0,18818.0,18982.0,19058.0
3,B,False,18669.0,18739.0,18628.0,18514.0,18389.0,18783.0,18780.0,19016.0,18529.0,18524.0,18611.0,18342.0,18290.0,18185.0,17942.0,18309.0,18245.0,18047.0,17939.0,17739.0,17952.0,18053.0,18173.0,17953.0,17709.0,17583.0,17491.0,17839.0,17696.0,17412.0,17373.0,17527.0,17918.0,18127.0,18300.0,18349.0,19060.0,19400.0,19737.0,19589.0,19515.0,19976.0,19269.0,19142.0,18955.0,18692.0,18616.0,18847.0,18393.0,18426.0,18059.0,18257.0,18089.0,18100.0,17928.0,17616.0,18126.0,18116.0,18272.0,18278.0,18266.0,18279.0,18379.0,18342.0,18154.0,18514.0,18534.0,18414.0,18695.0,18990.0,19006.0,18658.0,18917.0,18942.0,18882.0,18483.0,18793.0,18631.0,18698.0,18614.0,19049.0,19006.0,18648.0,19029.0,19247.0,19277.0,19371.0,19242.0,18995.0,18707.0,19176.0,19274.0,19124.0,19143.0,19367.0,19785.0,19467.0,19484.0,19214.0,19157.0,18762.0,18902.0,18572.0,18486.0,18290.0,18412.0,18453.0,18489.0,18426.0,18770.0,18822.0,18818.0,18982.0,19058.0,19160.0,19150.0,19158.0,19359.0,19456.0,19118.0
4,B,False,14081.0,13912.0,13675.0,13609.0,13517.0,13654.0,13604.0,13370.0,13368.0,13024.0,12537.0,12335.0,12147.0,12299.0,12156.0,12108.0,12294.0,12340.0,12697.0,13048.0,13417.0,13579.0,13705.0,13771.0,13884.0,13784.0,14107.0,14276.0,14107.0,14189.0,13741.0,13269.0,12405.0,12185.0,11897.0,11844.0,12078.0,12251.0,12317.0,12463.0,12917.0,12937.0,12883.0,12763.0,13026.0,12977.0,13115.0,13321.0,13335.0,13238.0,13222.0,13624.0,13578.0,13657.0,13682.0,13343.0,13699.0,13624.0,13653.0,13423.0,13353.0,13249.0,12958.0,13338.0,12786.0,12823.0,12643.0,12618.0,12730.0,12929.0,12694.0,12431.0,11911.0,11777.0,11770.0,11926.0,12193.0,12370.0,13812.0,14421.0,15023.0,15023.0,14805.0,14642.0,14407.0,14429.0,14239.0,14099.0,13890.0,14168.0,14119.0,13811.0,13405.0,13466.0,13355.0,13473.0,13789.0,13690.0,13757.0,13960.0,14380.0,14631.0,14887.0,14761.0,15017.0,15043.0,15154.0,15116.0,14926.0,15165.0,14993.0,14896.0,14996.0,15541.0,15594.0,15726.0,15592.0,15639.0,15486.0,15307.0
5,N,False,4309.8,4586.7,4650.8,5014.9,4728.1,4641.4,5004.3,4842.6,4852.7,4642.1,4582.0,5014.5,4535.8,4704.4,4370.9,4513.2,4678.0,4254.5,4384.2,4461.6,4133.6,4004.5,4216.7,4339.0,4267.9,3960.3,3848.7,4123.4,4152.7,4075.3,4088.5,4026.1,3923.9,3592.3,3524.6,3306.1,3255.1,3376.6,3399.7,3386.9,3442.7,3521.6,3625.4,3769.2,3967.0,3775.6,3828.5,3796.5,3819.3,3993.5,4049.5,4033.0,3895.4,3763.3,3634.5,3573.7,3690.1,3343.0,3281.9,3312.1,2974.6,3254.7,3125.5,2987.9,3138.2,3014.8,3088.0,3122.3,2802.5,2921.4,2825.3,2958.1,2928.1,2723.9,2654.0,2593.2,2506.4,2756.7,2783.5,2502.2,2709.3,2650.5,2983.5,2886.1,2776.5,2782.9,2718.9,2513.9,2808.5,2777.4,2825.3,2988.2,3220.6,3212.1,3168.6,3115.2,3047.3,2632.6,2498.8,2545.1,2469.5,2739.3,2635.8,2370.3,2480.7,2572.1,2485.8,2350.3,2229.4,2512.2,2178.9,2262.8,2116.0,2128.1,2352.9,2507.6,2496.3,2441.1,2453.1,2336.0
6,N,False,1757.5,1679.7,1668.5,1593.1,1593.3,1603.3,1583.2,1543.4,1589.7,1659.0,1701.7,1724.0,1740.5,1746.1,1783.4,1749.3,1827.5,1811.1,1845.0,1851.7,1814.6,1808.1,1829.4,1811.0,1803.6,1765.7,1705.5,1807.4,1723.5,1799.6,1814.9,1759.1,1713.6,1653.9,1631.8,1660.0,1621.4,1659.7,1681.8,1765.7,1693.3,1727.0,1722.2,1674.0,1693.1,1699.4,1639.9,1573.1,1577.3,1572.2,1546.6,1529.2,1539.3,1567.1,1550.4,1553.7,1652.9,1653.2,1778.2,1840.9,1954.4,1915.9,1900.6,1896.8,1954.4,1953.7,2012.2,1929.9,1899.9,1829.0,1810.8,1700.9,1611.1,1623.2,1527.3,1535.1,1564.8,1616.5,1590.1,1629.1,1623.5,1728.7,1813.9,1789.1,1707.5,1748.7,1816.6,1830.1,1853.4,1835.3,1751.3,1862.1,1840.5,1819.1,1725.9,1619.1,1716.7,1636.3,1568.8,1600.2,1573.4,1526.3,1523.1,1533.9,1568.6,1515.0,1503.0,1571.6,1616.9,1602.3,1592.5,1697.2,1645.3,1782.9,1796.1,1953.5,2026.4,1949.3,2001.5,2115.3
