,FLARE_TYPE,COINCIDENCE,ABSNJZH_1,ABSNJZH_2,ABSNJZH_3,ABSNJZH_4,ABSNJZH_5,ABSNJZH_6,ABSNJZH_7,ABSNJZH_8,ABSNJZH_9,ABSNJZH_10,ABSNJZH_11,ABSNJZH_12,ABSNJZH_13,ABSNJZH_14,ABSNJZH_15,ABSNJZH_16,ABSNJZH_17,ABSNJZH_18,ABSNJZH_19,ABSNJZH_20,ABSNJZH_21,ABSNJZH_22,ABSNJZH_23,ABSNJZH_24,ABSNJZH_25,ABSNJZH_26,ABSNJZH_27,ABSNJZH_28,ABSNJZH_29,ABSNJZH_30,ABSNJZH_31,ABSNJZH_32,ABSNJZH_33,ABSNJZH_34,ABSNJZH_35,ABSNJZH_36,ABSNJZH_37,ABSNJZH_38,ABSNJZH_39,ABSNJZH_40,ABSNJZH_41,ABSNJZH_42,ABSNJZH_43,ABSNJZH_44,ABSNJZH_45,ABSNJZH_46,ABSNJZH_47,ABSNJZH_48,ABSNJZH_49,ABSNJZH_50,ABSNJZH_51,ABSNJZH_52,ABSNJZH_53,ABSNJZH_54,ABSNJZH_55,ABSNJZH_56,ABSNJZH_57,ABSNJZH_58,ABSNJZH_59,ABSNJZH_60,ABSNJZH_61,ABSNJZH_62,ABSNJZH_63,ABSNJZH_64,ABSNJZH_65,ABSNJZH_66,ABSNJZH_67,ABSNJZH_68,ABSNJZH_69,ABSNJZH_70,ABSNJZH_71,ABSNJZH_72,ABSNJZH_73,ABSNJZH_74,ABSNJZH_75,ABSNJZH_76,ABSNJZH_77,ABSNJZH_78,ABSNJZH_79,ABSNJZH_80,ABSNJZH_81,ABSNJZH_82,ABSNJZH_83,ABSNJZH_84,ABSNJZH_85,ABSNJZH_86,ABSNJZH_87,ABSNJZH_88,ABSNJZH_89,ABSNJZH_90,ABSNJZH_91,ABSNJZH_92,ABSNJZH_93,ABSNJZH_94,ABSNJZH_95,ABSNJZH_96,ABSNJZH_97,ABSNJZH_98,ABSNJZH_99,ABSNJZH_100,ABSNJZH_101,ABSNJZH_102,ABSNJZH_103,ABSNJZH_104,ABSNJZH_105,ABSNJZH_106,ABSNJZH_107,ABSNJZH_108,ABSNJZH_109,ABSNJZH_110,ABSNJZH_111,ABSNJZH_112,ABSNJZH_113,ABSNJZH_114,ABSNJZH_115,ABSNJZH_116,ABSNJZH_117,ABSNJZH_118,ABSNJZH_119
35,B,True,44.689,46.796,43.231,41.094,43.038,46.744,42.977,43.511,48.588,47.567,45.115,54.789,47.944,51.28,54.119,43.582,44.41,46.733,45.165,53.885,48.862,48.613,50.678,51.171,47.978,44.999,48.436,44.25,55.372,49.367,51.424,58.475,62.741,61.028,57.668,62.637,60.476,61.376,63.67,55.603,65.68,60.248,60.48,63.491,61.568,62.616,64.3,69.497,61.311,62.6,61.592,65.157,56.0,57.345,58.352,57.617,61.498,57.945,64.048,66.71,59.905,58.804,56.077,61.979,64.024,60.117,68.551,70.787,64.54,66.339,71.559,74.915,67.524,70.128,73.439,76.802,76.675,72.736,68.642,70.248,68.831,66.542,72.196,73.227,75.755,77.152,79.288,83.044,80.614,79.112,80.833,75.09,76.072,82.966,72.359,77.258,82.427,74.914,76.614,76.461,79.541,81.561,79.874,76.216,74.836,75.301,70.039,84.607,77.617,76.085,70.95,72.368,74.468,76.957,75.19,77.225,65.224,67.888,67.106
36,B,False,43.318,36.925,56.136,64.378,60.576,64.569,68.936,78.579,84.783,93.936,77.619,83.25,77.936,69.262,63.142,80.852,80.46,77.014,67.645,70.417,67.487,69.207,71.014,62.869,69.783,56.137,69.898,60.685,65.531,65.436,60.689,67.939,64.892,64.598,58.641,45.621,52.869,51.433,44.752,29.425,35.332,30.435,18.767,22.451,33.621,19.869,37.005,29.502,24.615,16.755,34.222,15.233,27.185,31.89,42.598,34.105,38.53,37.304,26.194,12.517,27.171,14.462,9.7169,11.411,14.069,10.674,6.0092,12.661,12.865,19.401,10.622,4.6761,1.0289,4.7877,5.223,11.415,7.0411,0.63297,2.4467,4.1578,13.51,14.396,14.428,7.5073,7.7839,5.1543,5.0257,7.2218,2.6323,17.162,23.727,13.442,28.643,36.812,39.043,38.5,34.237,35.596,31.476,18.13,12.861,2.217,5.4053,3.9652,5.6627,22.869,15.364,31.528,25.878,32.592,31.232,22.681,33.612,32.692,49.417,59.362,67.825,61.613,67.782
37,B,False,1.8037,0.80528,3.1219,2.0117,4.9458,3.0392,2.78,4.4246,7.9049,1.6268,0.66834,3.4693,3.9516,7.1779,16.077,14.218,10.268,7.9705,3.2443,2.4722,3.9852,1.6524,0.95923,4.6713,0.24005,0.37038,1.2085,3.8155,1.2908,3.8012,9.485,0.73821,4.0127,7.1496,5.0749,8.1799,2.8663,4.904,14.735,19.956,25.772,18.116,21.689,31.31,33.464,36.432,43.936,37.428,37.182,35.489,48.064,47.776,61.959,68.901,76.711,72.28,74.433,82.002,79.949,78.178,72.801,72.98,65.885,71.079,74.059,78.121,77.239,85.977,94.779,84.831,97.951,90.935,107.11,99.119,92.069,87.151,88.512,84.934,83.612,79.293,87.253,82.993,81.881,86.891,87.855,93.343,84.971,72.478,81.323,88.729,86.216,72.841,72.081,69.321,77.825,95.641,87.51,76.192,62.568,61.095,55.28,64.941,73.823,66.55,65.41,60.718,75.253,63.956,55.746,55.745,59.524,63.109,59.004,56.464,50.682,55.961,60.39,64.639,62.833
38,B,False,56.136,64.378,60.576,64.569,68.936,78.579,84.783,93.936,77.619,83.25,77.936,69.262,63.142,80.852,80.46,77.014,67.645,70.417,67.487,69.207,71.014,62.869,69.783,56.137,69.898,60.685,65.531,65.436,60.689,67.939,64.892,64.598,58.641,45.621,52.869,51.433,44.752,29.425,35.332,30.435,18.767,22.451,33.621,19.869,37.005,29.502,24.615,16.755,34.222,15.233,27.185,31.89,42.598,34.105,38.53,37.304,26.194,12.517,27.171,14.462,9.7169,11.411,14.069,10.674,6.0092,12.661,12.865,19.401,10.622,4.6761,1.0289,4.7877,5.223,11.415,7.0411,0.63297,2.4467,4.1578,13.51,14.396,14.428,7.5073,7.7839,5.1543,5.0257,7.2218,2.6323,17.162,23.727,13.442,28.643,36.812,39.043,38.5,34.237,35.596,31.476,18.13,12.861,2.217,5.4053,3.9652,5.6627,22.869,15.364,31.528,25.878,32.592,31.232,22.681,33.612,32.692,49.417,59.362,67.825,61.613,67.782,71.031,67.437
39,B,False,4.9781,1.519,3.7697,1.5877,0.88395,2.1523,1.8995,1.4489,2.2142,2.1306,2.5706,1.6149,5.2659,2.5542,0.82123,1.8037,0.80528,3.1219,2.0117,4.9458,3.0392,2.78,4.4246,7.9049,1.6268,0.66834,3.4693,3.9516,7.1779,16.077,14.218,10.268,7.9705,3.2443,2.4722,3.9852,1.6524,0.95923,4.6713,0.24005,0.37038,1.2085,3.8155,1.2908,3.8012,9.485,0.73821,4.0127,7.1496,5.0749,8.1799,2.8663,4.904,14.735,19.956,25.772,18.116,21.689,31.31,33.464,36.432,43.936,37.428,37.182,35.489,48.064,47.776,61.959,68.901,76.711,72.28,74.433,82.002,79.949,78.178,72.801,72.98,65.885,71.079,74.059,78.121,77.239,85.977,94.779,84.831,97.951,90.935,107.11,99.119,92.069,87.151,88.512,84.934,83.612,79.293,87.253,82.993,81.881,86.891,87.855,93.343,84.971,72.478,81.323,88.729,86.216,72.841,72.081,69.321,77.825,95.641,87.51,76.192,62.568,61.095,55.28,64.941,73.823,66.55
40,B,False,2.8663,4.904,14.735,19.956,25.772,18.116,21.689,31.31,33.464,36.432,43.936,37.428,37.182,35.489,48.064,47.776,61.959,68.901,76.711,72.28,74.433,82.002,79.949,78.178,72.801,72.98,65.885,71.079,74.059,78.121,77.239,85.977,94.779,84.831,97.951,90.935,107.11,99.119,92.069,87.151,88.512,84.934,83.612,79.293,87.253,82.993,81.881,86.891,87.855,93.343,84.971,72.478,81.323,88.729,86.216,72.841,72.081,69.321,77.825,95.641,87.51,76.192,62.568,61.095,55.28,64.941,73.823,66.55,65.41,60.718,75.253,63.956,55.746,55.745,59.524,63.109,59.004,56.464,50.682,55.961,60.39,64.639,62.833,59.088,56.892,61.75,75.699,72.548,72.564,63.429,66.844,65.161,67.097,65.087,74.256,60.9,67.104,54.167,59.17,66.821,61.505,64.506,61.083,56.537,60.263,55.535,57.817,54.156,62.157,50.255,42.03,44.169,54.71,55.004,53.462,62.329,52.575,49.192,52.157
41,B,False,36.786,38.945,28.196,33.902,37.03,37.97,43.607,45.324,45.762,48.806,54.352,47.576,54.421,55.241,65.701,62.703,56.93,57.891,63.783,69.686,69.477,82.453,82.127,92.672,90.601,78.153,72.793,83.438,82.85,84.727,81.119,86.222,75.03,62.887,73.687,74.477,65.599,66.529,68.971,69.02,76.191,65.816,66.456,66.167,69.228,76.443,75.933,71.924,74.389,63.599,59.099,70.547,66.165,71.265,66.555,62.047,53.37,53.387,60.035,59.774,60.017,64.328,66.095,57.645,60.704,61.91,62.296,55.426,57.762,44.531,43.641,51.694,36.595,27.925,37.824,31.217,49.069,48.288,40.389,46.961,55.454,53.193,46.03,41.633,40.384,44.659,38.689,34.141,29.6,31.747,37.245,32.447,34.648,36.318,36.812,36.988,39.441,26.138,34.515,31.714,43.874,36.036,26.682,27.103,33.146,23.559,26.863,24.92,28.732,22.902,23.69,21.77,17.912,12.783,21.595,19.775,23.573,11.144,10.591
42,B,False,74.51,74.108,83.707,84.182,82.668,91.728,93.045,90.578,103.79,105.57,103.97,101.91,112.51,124.06,128.82,115.72,112.71,110.48,112.87,115.33,112.1,114.11,123.18,141.76,135.08,141.35,133.09,135.31,142.38,134.13,133.16,128.31,121.38,119.84,119.77,117.98,115.34,124.57,121.31,122.01,118.88,104.31,109.09,122.83,119.09,112.29,111.36,112.61,114.68,120.82,119.5,123.14,117.83,121.76,115.65,122.95,120.0,115.35,113.51,114.93,113.35,116.81,112.33,101.8,103.45,101.94,98.202,91.41,99.547,101.98,101.21,99.117,97.549,101.04,106.96,103.27,108.82,113.32,113.55,114.69,114.42,120.08,117.05,112.63,112.37,109.07,114.07,106.15,98.943,91.695,90.41,89.586,95.119,91.841,86.436,85.785,89.09,87.152,94.32,92.706,91.918,91.119,95.778,91.936,97.072,91.446,95.047,89.451,94.162,90.115,90.443,90.566,87.287,87.68,87.985,87.801,88.457,89.21,88.211
43,B,False,4.3551,6.5506,10.11,4.3971,3.3301,7.534,9.3045,4.3278,7.7595,11.538,14.358,12.128,14.141,15.5,10.911,11.022,14.706,17.278,14.207,10.755,8.2715,12.773,11.277,8.2408,7.212,12.184,12.969,10.95,11.058,10.769,9.7248,14.605,17.4,11.138,13.288,15.08,12.844,10.262,15.478,12.801,15.413,19.77,22.96,26.354,20.623,15.994,15.62,23.128,20.936,27.337,24.114,35.968,37.929,50.552,58.317,58.94,63.037,71.677,82.849,105.33,103.19,109.54,102.68,95.388,100.14,90.267,95.335,77.557,64.501,57.399,66.781,67.171,75.548,82.633,84.241,89.499,74.962,86.208,86.182,89.534,95.21,114.09,94.921,106.99,118.98,115.97,105.48,102.81,95.178,128.38,121.34,111.57,116.74,102.05,90.918,98.515,92.664,106.93,108.2,91.674,91.524,82.941,73.132,75.495,78.329,63.384,65.909,67.566,76.729,75.6,78.86,68.797,78.127,73.805,76.438,77.108,72.26,88.539,92.026
44,B,False,34.141,29.6,31.747,37.245,32.447,34.648,36.318,36.812,36.988,39.441,26.138,34.515,31.714,43.874,36.036,26.682,27.103,33.146,23.559,26.863,24.92,28.732,22.902,23.69,21.77,17.912,12.783,21.595,19.775,23.573,11.144,10.591,9.941,13.039,16.141,17.588,19.707,20.005,28.331,23.501,25.53,22.42,14.924,15.321,21.534,10.856,7.0799,8.0939,15.631,16.732,15.724,16.657,11.76,16.202,12.05,17.096,17.742,22.819,11.722,12.671,11.339,9.6315,9.8553,10.202,16.82,14.098,17.328,17.202,21.57,15.766,18.757,15.152,5.6746,9.1858,10.549,12.187,7.9292,6.361,13.828,1.1838,0.42166,13.804,13.306,3.7736,9.2629,2.3814,12.302,6.5554,9.3527,18.107,15.077,12.098,12.622,6.702,8.7721,5.5942,5.7274,6.3717,10.945,2.8989,5.3476,9.2525,10.451,8.1792,18.078,22.537,26.636,26.62,30.761,24.122,11.387,16.507,23.462,26.497,24.645,20.265,22.461,18.112,16.352
