,FLARE_TYPE,COINCIDENCE,SAVNCPP_1,SAVNCPP_2,SAVNCPP_3,SAVNCPP_4,SAVNCPP_5,SAVNCPP_6,SAVNCPP_7,SAVNCPP_8,SAVNCPP_9,SAVNCPP_10,SAVNCPP_11,SAVNCPP_12,SAVNCPP_13,SAVNCPP_14,SAVNCPP_15,SAVNCPP_16,SAVNCPP_17,SAVNCPP_18,SAVNCPP_19,SAVNCPP_20,SAVNCPP_21,SAVNCPP_22,SAVNCPP_23,SAVNCPP_24,SAVNCPP_25,SAVNCPP_26,SAVNCPP_27,SAVNCPP_28,SAVNCPP_29,SAVNCPP_30,SAVNCPP_31,SAVNCPP_32,SAVNCPP_33,SAVNCPP_34,SAVNCPP_35,SAVNCPP_36,SAVNCPP_37,SAVNCPP_38,SAVNCPP_39,SAVNCPP_40,SAVNCPP_41,SAVNCPP_42,SAVNCPP_43,SAVNCPP_44,SAVNCPP_45,SAVNCPP_46,SAVNCPP_47,SAVNCPP_48,SAVNCPP_49,SAVNCPP_50,SAVNCPP_51,SAVNCPP_52,SAVNCPP_53,SAVNCPP_54,SAVNCPP_55,SAVNCPP_56,SAVNCPP_57,SAVNCPP_58,SAVNCPP_59,SAVNCPP_60,SAVNCPP_61,SAVNCPP_62,SAVNCPP_63,SAVNCPP_64,SAVNCPP_65,SAVNCPP_66,SAVNCPP_67,SAVNCPP_68,SAVNCPP_69,SAVNCPP_70,SAVNCPP_71,SAVNCPP_72,SAVNCPP_73,SAVNCPP_74,SAVNCPP_75,SAVNCPP_76,SAVNCPP_77,SAVNCPP_78,SAVNCPP_79,SAVNCPP_80,SAVNCPP_81,SAVNCPP_82,SAVNCPP_83,SAVNCPP_84,SAVNCPP_85,SAVNCPP_86,SAVNCPP_87,SAVNCPP_88,SAVNCPP_89,SAVNCPP_90,SAVNCPP_91,SAVNCPP_92,SAVNCPP_93,SAVNCPP_94,SAVNCPP_95,SAVNCPP_96,SAVNCPP_97,SAVNCPP_98,SAVNCPP_99,SAVNCPP_100,SAVNCPP_101,SAVNCPP_102,SAVNCPP_103,SAVNCPP_104,SAVNCPP_105,SAVNCPP_106,SAVNCPP_107,SAVNCPP_108,SAVNCPP_109,SAVNCPP_110,SAVNCPP_111,SAVNCPP_112,SAVNCPP_113,SAVNCPP_114,SAVNCPP_115,SAVNCPP_116,SAVNCPP_117,SAVNCPP_118,SAVNCPP_119
10,B,True,3213400000000.0,4833800000000.0,3505000000000.0,3436400000000.0,4268300000000.0,4207200000000.0,2370400000000.0,3413500000000.0,3643500000000.0,1782700000000.0,3443300000000.0,2473500000000.0,2333300000000.0,1640400000000.0,2470800000000.0,3200700000000.0,3286500000000.0,2910500000000.0,2738300000000.0,2645800000000.0,2505300000000.0,2288400000000.0,1450800000000.0,1273300000000.0,2831100000000.0,1704100000000.0,1704200000000.0,1215000000000.0,1620000000000.0,2247200000000.0,1831100000000.0,1193200000000.0,706970000000.0,2001800000000.0,2002000000000.0,2015300000000.0,1976000000000.0,2073600000000.0,1189300000000.0,1816600000000.0,2000400000000.0,1896600000000.0,1683500000000.0,1523100000000.0,1474400000000.0,1494000000000.0,1603400000000.0,441140000000.0,393680000000.0,793370000000.0,443570000000.0,1893800000000.0,1706000000000.0,785310000000.0,1827300000000.0,297040000000.0,1341500000000.0,1376500000000.0,2209100000000.0,1426500000000.0,2487000000000.0,2348100000000.0,1402600000000.0,421390000000.0,1574400000000.0,1234400000000.0,1309400000000.0,2672500000000.0,2831400000000.0,1261200000000.0,2171700000000.0,2033800000000.0,1665800000000.0,1130200000000.0,1537300000000.0,1993500000000.0,994060000000.0,1254400000000.0,1424800000000.0,2118600000000.0,2398100000000.0,2239400000000.0,2080000000000.0,1976700000000.0,2581000000000.0,1763800000000.0,2348900000000.0,2481500000000.0,2540800000000.0,2638300000000.0,1561600000000.0,2009100000000.0,2488400000000.0,2020700000000.0,2979400000000.0,2236300000000.0,1762600000000.0,1805200000000.0,1197500000000.0,537920000000.0,1483900000000.0,967050000000.0,1731100000000.0,2116000000000.0,1279700000000.0,1987600000000.0,1685000000000.0,1813000000000.0,3182100000000.0,2992900000000.0,3706700000000.0,3955200000000.0,4141600000000.0,4704500000000.0,3086600000000.0,3759900000000.0,4372400000000.0,3974000000000.0,2758700000000.0
11,B,True,12209000000000.0,11697000000000.0,11896000000000.0,12762000000000.0,12509000000000.0,11258000000000.0,11205000000000.0,10454000000000.0,10100000000000.0,10476000000000.0,9619200000000.0,8440200000000.0,9382300000000.0,9557300000000.0,8797000000000.0,8549000000000.0,10829000000000.0,9846000000000.0,8811500000000.0,10238000000000.0,9852200000000.0,10361000000000.0,11201000000000.0,9850700000000.0,8354200000000.0,10981000000000.0,10710000000000.0,10685000000000.0,9682500000000.0,9743600000000.0,10498000000000.0,9655300000000.0,10045000000000.0,10414000000000.0,9542700000000.0,8538600000000.0,8759600000000.0,8764600000000.0,7107100000000.0,7633800000000.0,9315300000000.0,8700200000000.0,9286400000000.0,8561100000000.0,8574200000000.0,10056000000000.0,10489000000000.0,10122000000000.0,10523000000000.0,11997000000000.0,10430000000000.0,10658000000000.0,11028000000000.0,12055000000000.0,11985000000000.0,11308000000000.0,13264000000000.0,12825000000000.0,11725000000000.0,12228000000000.0,11759000000000.0,12722000000000.0,10252000000000.0,10805000000000.0,8693400000000.0,9892800000000.0,9150100000000.0,8682300000000.0,9516900000000.0,8682300000000.0,10098000000000.0,10400000000000.0,8523700000000.0,9329300000000.0,10763000000000.0,11088000000000.0,10261000000000.0,11000000000000.0,11322000000000.0,10689000000000.0,9942500000000.0,10722000000000.0,8970300000000.0,9419800000000.0,8945700000000.0,8393900000000.0,7609000000000.0,7964700000000.0,9218600000000.0,7795800000000.0,8750600000000.0,9534400000000.0,7270200000000.0,9386400000000.0,8681200000000.0,8432000000000.0,9223200000000.0,9027500000000.0,8184600000000.0,8374700000000.0,9028900000000.0,7573000000000.0,7849100000000.0,8485700000000.0,7056500000000.0,5737300000000.0,6784800000000.0,5534100000000.0,5601000000000.0,7453400000000.0,6538700000000.0,5415200000000.0,6767100000000.0,5566000000000.0,6759700000000.0,7270700000000.0,6446600000000.0,6029600000000.0,7607400000000.0
12,B,True,1902200000000.0,2539100000000.0,2470000000000.0,2212300000000.0,1801300000000.0,2184300000000.0,2098700000000.0,2892300000000.0,1945300000000.0,2239600000000.0,2822600000000.0,2191900000000.0,2329200000000.0,2243700000000.0,2462100000000.0,1824500000000.0,2461200000000.0,2187900000000.0,2502900000000.0,2928300000000.0,3213800000000.0,1597100000000.0,2502700000000.0,2161800000000.0,1811700000000.0,2390800000000.0,2090100000000.0,1632700000000.0,1784700000000.0,1939200000000.0,1885800000000.0,557000000000.0,923490000000.0,1183100000000.0,802950000000.0,1256300000000.0,517280000000.0,1281000000000.0,2223300000000.0,2583400000000.0,2098300000000.0,1834300000000.0,2723500000000.0,1700100000000.0,2464000000000.0,2620900000000.0,2312700000000.0,2799500000000.0,2258700000000.0,395530000000.0,1621600000000.0,1313600000000.0,2021400000000.0,1736300000000.0,2238100000000.0,3170300000000.0,3308000000000.0,3115400000000.0,2867300000000.0,3126800000000.0,3068200000000.0,2888700000000.0,3260400000000.0,3415000000000.0,2620500000000.0,3388900000000.0,2971000000000.0,2624400000000.0,2552700000000.0,2658400000000.0,2855300000000.0,2772800000000.0,2792300000000.0,3175500000000.0,3053100000000.0,3461500000000.0,3197900000000.0,3252800000000.0,3973200000000.0,3855800000000.0,4028800000000.0,4564800000000.0,4501900000000.0,3970200000000.0,4083400000000.0,3833200000000.0,4515500000000.0,4216800000000.0,5099300000000.0,5261200000000.0,5094300000000.0,5097800000000.0,5260400000000.0,4733600000000.0,4606700000000.0,3871100000000.0,4406500000000.0,3795100000000.0,3086900000000.0,3424900000000.0,3848100000000.0,3347700000000.0,3531100000000.0,3808900000000.0,3164200000000.0,3374800000000.0,3856700000000.0,2604900000000.0,2545500000000.0,2491100000000.0,3186200000000.0,2677900000000.0,3492600000000.0,2822600000000.0,3052500000000.0,3178900000000.0,2807700000000.0,3187500000000.0,2591800000000.0
13,B,True,675530000000.0,578380000000.0,1303700000000.0,767000000000.0,743230000000.0,523790000000.0,495210000000.0,226210000000.0,960500000000.0,358050000000.0,326870000000.0,535030000000.0,528200000000.0,320310000000.0,910840000000.0,937090000000.0,776110000000.0,309760000000.0,493360000000.0,709120000000.0,753590000000.0,696310000000.0,577920000000.0,442950000000.0,759080000000.0,694620000000.0,815230000000.0,882250000000.0,631120000000.0,776840000000.0,785520000000.0,859410000000.0,878570000000.0,775050000000.0,687000000000.0,719960000000.0,1089300000000.0,1005700000000.0,665930000000.0,833540000000.0,809150000000.0,582710000000.0,753130000000.0,524840000000.0,260380000000.0,574130000000.0,444040000000.0,114930000000.0,396340000000.0,288030000000.0,32717000000.0,275470000000.0,249600000000.0,461570000000.0,249390000000.0,346380000000.0,435600000000.0,307350000000.0,280410000000.0,657380000000.0,320370000000.0,30949000000.0,217410000000.0,249970000000.0,615810000000.0,556280000000.0,166560000000.0,217680000000.0,161510000000.0,219330000000.0,367190000000.0,36514000000.0,428700000000.0,313530000000.0,587000000000.0,445310000000.0,562050000000.0,768220000000.0,478410000000.0,1147200000000.0,751490000000.0,1004200000000.0,649500000000.0,765450000000.0,436090000000.0,536080000000.0,493630000000.0,253910000000.0,677240000000.0,523700000000.0,760230000000.0,1125600000000.0,651100000000.0,853130000000.0,708840000000.0,770860000000.0,910900000000.0,702540000000.0,859700000000.0,768310000000.0,668510000000.0,724500000000.0,863330000000.0,415070000000.0,724900000000.0,815560000000.0,1011000000000.0,750490000000.0,862060000000.0,705090000000.0,461920000000.0,488530000000.0,511810000000.0,360710000000.0,438510000000.0,455680000000.0,206770000000.0,371840000000.0,275060000000.0
14,B,True,1146400000000.0,352930000000.0,459560000000.0,807650000000.0,1038200000000.0,330240000000.0,645520000000.0,753910000000.0,674250000000.0,387180000000.0,682950000000.0,661950000000.0,106410000000.0,466240000000.0,379930000000.0,254190000000.0,547470000000.0,794880000000.0,1137300000000.0,1312200000000.0,1443600000000.0,1015200000000.0,1103900000000.0,1413300000000.0,1506300000000.0,1585000000000.0,1403000000000.0,1299700000000.0,1714100000000.0,1481200000000.0,1042400000000.0,1428600000000.0,1135100000000.0,1023500000000.0,1109100000000.0,1326700000000.0,786300000000.0,1034100000000.0,830000000000.0,1144000000000.0,943070000000.0,1125000000000.0,1232000000000.0,1261800000000.0,1323100000000.0,1627200000000.0,1231000000000.0,868810000000.0,1431000000000.0,1469500000000.0,2046900000000.0,2020600000000.0,1937100000000.0,2210800000000.0,1953200000000.0,1169300000000.0,1369500000000.0,1835600000000.0,1403900000000.0,2420200000000.0,1025600000000.0,1221200000000.0,1641600000000.0,1752400000000.0,2358100000000.0,2691200000000.0,1909200000000.0,3444300000000.0,3399800000000.0,4516400000000.0,3600500000000.0,5491300000000.0,4781100000000.0,3495700000000.0,4604100000000.0,3398400000000.0,3839700000000.0,2512600000000.0,1846900000000.0,1465500000000.0,2122100000000.0,1389500000000.0,1792200000000.0,1919600000000.0,1663900000000.0,1795400000000.0,916240000000.0,1363700000000.0,1775000000000.0,1752000000000.0,2223600000000.0,2789500000000.0,2302700000000.0,3454000000000.0,3934000000000.0,3610100000000.0,2761100000000.0,3209500000000.0,3128600000000.0,3615300000000.0,2555900000000.0,2195200000000.0,2089800000000.0,2231300000000.0,1926700000000.0,1111800000000.0,1402400000000.0,2104900000000.0,2219900000000.0,1159600000000.0,1088500000000.0,1161000000000.0,890070000000.0,804590000000.0,1149400000000.0,84262000000.0,851470000000.0,491230000000.0,1584000000000.0
15,B,True,1553100000000.0,1479500000000.0,1312800000000.0,1022100000000.0,1242700000000.0,2272100000000.0,1518600000000.0,1939300000000.0,1742300000000.0,2012300000000.0,1520700000000.0,1894100000000.0,1554000000000.0,1565400000000.0,1618000000000.0,2440000000000.0,2076100000000.0,2291400000000.0,1931800000000.0,2131700000000.0,1422000000000.0,2004600000000.0,1908800000000.0,1741200000000.0,1760100000000.0,2303400000000.0,1922500000000.0,1842300000000.0,1862000000000.0,1974900000000.0,2377100000000.0,2328700000000.0,2885600000000.0,2737300000000.0,1879900000000.0,2203000000000.0,2738600000000.0,2793900000000.0,2316700000000.0,2773600000000.0,3089800000000.0,3215800000000.0,3118900000000.0,2607200000000.0,2459400000000.0,2241700000000.0,2460800000000.0,2560100000000.0,2701200000000.0,2791300000000.0,2419500000000.0,1688600000000.0,1657900000000.0,2394800000000.0,783330000000.0,1610900000000.0,2052600000000.0,2647900000000.0,3037500000000.0,2351300000000.0,2699700000000.0,2417500000000.0,2823000000000.0,3149000000000.0,2704300000000.0,2665100000000.0,2397800000000.0,1933200000000.0,1331500000000.0,2052300000000.0,2276000000000.0,2310400000000.0,2548900000000.0,1869100000000.0,618470000000.0,672850000000.0,1306500000000.0,977230000000.0,1634000000000.0,2419700000000.0,2304800000000.0,1669600000000.0,2706500000000.0,2293200000000.0,1237700000000.0,1664800000000.0,1906800000000.0,1219300000000.0,1257500000000.0,1836000000000.0,744250000000.0,747390000000.0,1803500000000.0,397550000000.0,1543200000000.0,1130800000000.0,1173800000000.0,1661600000000.0,1762900000000.0,2072000000000.0,1463000000000.0,2422700000000.0,2111100000000.0,1325700000000.0,1341600000000.0,1002200000000.0,1077000000000.0,1183400000000.0,1920700000000.0,1807100000000.0,1678900000000.0,1337700000000.0,1833400000000.0,1665400000000.0,1203600000000.0,1147500000000.0,922700000000.0,1325800000000.0,2130100000000.0
16,B,True,1433800000000.0,2288200000000.0,2040900000000.0,1612700000000.0,1996300000000.0,2513800000000.0,2300400000000.0,1843900000000.0,1724400000000.0,2131900000000.0,2373100000000.0,1536000000000.0,893530000000.0,643550000000.0,1347900000000.0,614070000000.0,1153000000000.0,706490000000.0,1014400000000.0,886580000000.0,678300000000.0,1131000000000.0,1038700000000.0,940970000000.0,2078800000000.0,1881200000000.0,2031100000000.0,2396400000000.0,2073800000000.0,2677900000000.0,2449600000000.0,1589100000000.0,2189100000000.0,2092400000000.0,1952500000000.0,2453000000000.0,2327000000000.0,2124100000000.0,2012300000000.0,1727000000000.0,1413100000000.0,2037500000000.0,1921000000000.0,1219700000000.0,2243600000000.0,2080200000000.0,2279900000000.0,1829800000000.0,2124500000000.0,2001200000000.0,1629500000000.0,1738500000000.0,1155000000000.0,1166000000000.0,600240000000.0,501460000000.0,328420000000.0,884000000000.0,1614100000000.0,963930000000.0,1563100000000.0,1026100000000.0,1258500000000.0,864310000000.0,1241700000000.0,1589100000000.0,2079600000000.0,1795400000000.0,2222300000000.0,1823000000000.0,2186300000000.0,1858700000000.0,2147200000000.0,1711800000000.0,1777000000000.0,1200000000000.0,792520000000.0,931860000000.0,963420000000.0,296310000000.0,940880000000.0,758340000000.0,450500000000.0,790300000000.0,408060000000.0,740800000000.0,703760000000.0,602240000000.0,547940000000.0,1065800000000.0,625460000000.0,511660000000.0,696060000000.0,540360000000.0,271960000000.0,704020000000.0,539210000000.0,829100000000.0,332840000000.0,919680000000.0,795380000000.0,501170000000.0,539520000000.0,286950000000.0,753110000000.0,640030000000.0,829980000000.0,563250000000.0,809010000000.0,1069400000000.0,672340000000.0,709990000000.0,96415000000.0,692190000000.0,568610000000.0,116950000000.0,1073600000000.0,747210000000.0,1763100000000.0
17,B,False,2940700000000.0,2738700000000.0,2136900000000.0,1958500000000.0,1960200000000.0,2064400000000.0,2495900000000.0,2186400000000.0,1944200000000.0,1915100000000.0,1903000000000.0,2500400000000.0,2083900000000.0,1902400000000.0,2080200000000.0,2356000000000.0,2730400000000.0,2692100000000.0,3314800000000.0,2068900000000.0,2117300000000.0,2214000000000.0,1775600000000.0,2328300000000.0,2038400000000.0,1777000000000.0,1992900000000.0,2579700000000.0,2070900000000.0,1989200000000.0,2417900000000.0,2252600000000.0,2020400000000.0,1889500000000.0,2222000000000.0,2244500000000.0,1639800000000.0,1596400000000.0,2256000000000.0,1784600000000.0,1333600000000.0,1685700000000.0,1562500000000.0,526660000000.0,1379400000000.0,1206200000000.0,1324700000000.0,892220000000.0,1895700000000.0,1786300000000.0,2153100000000.0,1411300000000.0,1986100000000.0,1902100000000.0,2237000000000.0,1932500000000.0,2092900000000.0,2420900000000.0,2223800000000.0,3154000000000.0,3161600000000.0,3248500000000.0,3082300000000.0,2478800000000.0,3608300000000.0,4026500000000.0,5235200000000.0,3689000000000.0,3846300000000.0,3849400000000.0,3408700000000.0,2594000000000.0,3093200000000.0,1921500000000.0,1920200000000.0,1191700000000.0,2861200000000.0,2475000000000.0,2727400000000.0,2007500000000.0,2599500000000.0,1939100000000.0,2254100000000.0,1929800000000.0,1943000000000.0,2400100000000.0,2591900000000.0,2854100000000.0,2877000000000.0,3371900000000.0,2328100000000.0,2418900000000.0,3648200000000.0,2963400000000.0,3050300000000.0,2902500000000.0,4262300000000.0,4005800000000.0,4415500000000.0,3486200000000.0,4195600000000.0,3940700000000.0,3652600000000.0,4566600000000.0,3444300000000.0,3655200000000.0,3828800000000.0,3326300000000.0,3836200000000.0,2873000000000.0,3676300000000.0,2809800000000.0,3682500000000.0,2667700000000.0,2352800000000.0,2513600000000.0,2391900000000.0,2094400000000.0,2149600000000.0
18,B,False,354160000000.0,610500000000.0,856890000000.0,252750000000.0,358680000000.0,381270000000.0,189670000000.0,886170000000.0,797140000000.0,1472600000000.0,1448700000000.0,1794000000000.0,1596300000000.0,1872700000000.0,1478100000000.0,1870600000000.0,1350800000000.0,1445100000000.0,1553000000000.0,1784200000000.0,1715100000000.0,1474900000000.0,1532900000000.0,1287000000000.0,1317000000000.0,1494100000000.0,1291400000000.0,1162300000000.0,1002500000000.0,1075200000000.0,1433300000000.0,1129800000000.0,1083600000000.0,1026700000000.0,1255600000000.0,1021100000000.0,1542100000000.0,1351400000000.0,1559100000000.0,1579300000000.0,1249400000000.0,1490500000000.0,1371800000000.0,912460000000.0,919580000000.0,1172000000000.0,638100000000.0,613360000000.0,744240000000.0,1178700000000.0,619060000000.0,1091100000000.0,1222600000000.0,1012600000000.0,564190000000.0,963880000000.0,624930000000.0,373910000000.0,1201500000000.0,620340000000.0,448510000000.0,940010000000.0,764010000000.0,509550000000.0,452210000000.0,1303700000000.0,521550000000.0,1011100000000.0,281020000000.0,514020000000.0,248210000000.0,538370000000.0,292790000000.0,860530000000.0,404100000000.0,1052200000000.0,1009900000000.0,622650000000.0,460670000000.0,661360000000.0,651400000000.0,630250000000.0,568220000000.0,692660000000.0,890450000000.0,369410000000.0,823080000000.0,366970000000.0,594970000000.0,1074600000000.0,988290000000.0,1303800000000.0,834510000000.0,843230000000.0,647810000000.0,686890000000.0,437170000000.0,673690000000.0,721280000000.0,580330000000.0,95509000000.0,1177700000000.0,547890000000.0,719730000000.0,1180100000000.0,1068800000000.0,843280000000.0,1004200000000.0,867950000000.0,1637900000000.0,2301000000000.0,1801400000000.0,1509300000000.0,1760700000000.0,1597100000000.0,1064200000000.0,1402000000000.0,933570000000.0,710520000000.0
19,B,True,1970000000000.0,2096700000000.0,2281100000000.0,2550400000000.0,2610400000000.0,1975100000000.0,2295500000000.0,2133600000000.0,2032700000000.0,2312000000000.0,1864800000000.0,2443600000000.0,2540400000000.0,2171500000000.0,1710900000000.0,1975600000000.0,2506100000000.0,1764000000000.0,2487700000000.0,2548600000000.0,2538200000000.0,2049200000000.0,2379300000000.0,2082400000000.0,2146000000000.0,2065100000000.0,1803400000000.0,2125900000000.0,2954300000000.0,1973600000000.0,1698200000000.0,1524400000000.0,2126500000000.0,2124600000000.0,2221900000000.0,1944200000000.0,2208200000000.0,2475900000000.0,1499700000000.0,1750800000000.0,1088500000000.0,1742900000000.0,1401700000000.0,1730800000000.0,2642500000000.0,1782800000000.0,2198400000000.0,1653300000000.0,1788900000000.0,1948200000000.0,1381500000000.0,928800000000.0,1332900000000.0,1937600000000.0,1782800000000.0,1962900000000.0,1800700000000.0,1681300000000.0,1203700000000.0,1649500000000.0,1911400000000.0,2138500000000.0,2108000000000.0,1684100000000.0,1488100000000.0,1969400000000.0,1467800000000.0,900230000000.0,1699300000000.0,2208500000000.0,2103200000000.0,1743100000000.0,1896600000000.0,1728900000000.0,1455400000000.0,1642400000000.0,1940400000000.0,2355400000000.0,2395900000000.0,1958000000000.0,2325400000000.0,1759300000000.0,1864200000000.0,1788700000000.0,1824300000000.0,1981500000000.0,1239700000000.0,1917800000000.0,2156000000000.0,1523700000000.0,1758700000000.0,1991200000000.0,2093000000000.0,2014600000000.0,2122200000000.0,2341400000000.0,2063800000000.0,1833500000000.0,2094400000000.0,1883700000000.0,2612800000000.0,1548000000000.0,1682500000000.0,1652900000000.0,1757100000000.0,1389100000000.0,1965000000000.0,2025900000000.0,2454200000000.0,2032900000000.0,2560400000000.0,1469300000000.0,1483800000000.0,1571000000000.0,1958800000000.0,1674800000000.0,1608400000000.0,2001400000000.0,1525200000000.0
20,B,False,3040500000000.0,2079100000000.0,2314300000000.0,2182400000000.0,2724000000000.0,3308700000000.0,3547500000000.0,3311200000000.0,2810600000000.0,2465400000000.0,2356300000000.0,3218300000000.0,3062400000000.0,3431600000000.0,3296800000000.0,3326000000000.0,3494600000000.0,4351600000000.0,4557800000000.0,3787800000000.0,3653800000000.0,3350400000000.0,3497900000000.0,3996200000000.0,4366100000000.0,3846200000000.0,4634100000000.0,3779500000000.0,3438800000000.0,3940300000000.0,3918000000000.0,2614200000000.0,2908100000000.0,2833000000000.0,2800200000000.0,2428200000000.0,2846100000000.0,3012800000000.0,3259500000000.0,3386700000000.0,3623900000000.0,3473600000000.0,2932500000000.0,4342100000000.0,3666500000000.0,4311900000000.0,4339600000000.0,5318200000000.0,5754800000000.0,4788000000000.0,4633700000000.0,4882600000000.0,3724200000000.0,3536300000000.0,3053100000000.0,3064600000000.0,3380000000000.0,2749700000000.0,3702200000000.0,3080400000000.0,3124900000000.0,4018100000000.0,2847700000000.0,2980400000000.0,2511900000000.0,1927900000000.0,2890600000000.0,2990100000000.0,2715600000000.0,2834200000000.0,3413700000000.0,3356600000000.0,2956700000000.0,2545800000000.0,2340400000000.0,1717100000000.0,1040900000000.0,2038800000000.0,2246600000000.0,2240700000000.0,2293800000000.0,2005800000000.0,1393500000000.0,2336800000000.0,3307700000000.0,2707800000000.0,3041100000000.0,1289600000000.0,2250800000000.0,2807300000000.0,2267700000000.0,1882700000000.0,1918000000000.0,1403600000000.0,1881500000000.0,2217600000000.0,1464500000000.0,1528200000000.0,2571200000000.0,1830900000000.0,2800000000000.0,1965600000000.0,2838900000000.0,2254700000000.0,2348200000000.0,2089700000000.0,2731100000000.0,2981100000000.0,2593600000000.0,3101500000000.0,2337200000000.0,1661700000000.0,1842400000000.0,1829400000000.0,2442600000000.0,2790100000000.0,2437300000000.0,2013100000000.0,1979000000000.0
21,B,True,1685600000000.0,981530000000.0,1920800000000.0,2208400000000.0,1734800000000.0,1831000000000.0,1683400000000.0,2039900000000.0,1572200000000.0,2148200000000.0,1491400000000.0,1062300000000.0,1419000000000.0,1650100000000.0,2043500000000.0,2213700000000.0,2239200000000.0,1510100000000.0,1920200000000.0,2280400000000.0,2346300000000.0,2208800000000.0,2491200000000.0,2181600000000.0,2341500000000.0,2294800000000.0,2162200000000.0,2294400000000.0,2395800000000.0,2661900000000.0,2554200000000.0,2451000000000.0,2473900000000.0,3173200000000.0,3468000000000.0,2658700000000.0,3434400000000.0,3306400000000.0,3222000000000.0,2410300000000.0,2773400000000.0,2492000000000.0,2167600000000.0,2762200000000.0,2963300000000.0,3129500000000.0,3200800000000.0,2600800000000.0,3577300000000.0,3493000000000.0,3878100000000.0,2940200000000.0,2901500000000.0,2132300000000.0,2522300000000.0,2641500000000.0,2402900000000.0,2340000000000.0,2275200000000.0,2119400000000.0,1709200000000.0,1313500000000.0,1571700000000.0,757420000000.0,1231400000000.0,1907300000000.0,1813300000000.0,1429800000000.0,1149200000000.0,1230500000000.0,1988000000000.0,1999900000000.0,1292300000000.0,1654000000000.0,994930000000.0,1598500000000.0,2188500000000.0,1766000000000.0,2622200000000.0,2590200000000.0,2540000000000.0,3300800000000.0,3061900000000.0,2405500000000.0,2274500000000.0,2709300000000.0,3392200000000.0,2780500000000.0,2880300000000.0,2800700000000.0,2352100000000.0,1246100000000.0,2368900000000.0,3911500000000.0,2502200000000.0,3040500000000.0,2079100000000.0,2314300000000.0,2182400000000.0,2724000000000.0,3308700000000.0,3547500000000.0,3311200000000.0,2810600000000.0,2465400000000.0,2356300000000.0,3218300000000.0,3062400000000.0,3431600000000.0,3296800000000.0,3326000000000.0,3494600000000.0,4351600000000.0,4557800000000.0,3787800000000.0,3653800000000.0,3350400000000.0,3497900000000.0,3996200000000.0
22,B,False,1510100000000.0,1920200000000.0,2280400000000.0,2346300000000.0,2208800000000.0,2491200000000.0,2181600000000.0,2341500000000.0,2294800000000.0,2162200000000.0,2294400000000.0,2395800000000.0,2661900000000.0,2554200000000.0,2451000000000.0,2473900000000.0,3173200000000.0,3468000000000.0,2658700000000.0,3434400000000.0,3306400000000.0,3222000000000.0,2410300000000.0,2773400000000.0,2492000000000.0,2167600000000.0,2762200000000.0,2963300000000.0,3129500000000.0,3200800000000.0,2600800000000.0,3577300000000.0,3493000000000.0,3878100000000.0,2940200000000.0,2901500000000.0,2132300000000.0,2522300000000.0,2641500000000.0,2402900000000.0,2340000000000.0,2275200000000.0,2119400000000.0,1709200000000.0,1313500000000.0,1571700000000.0,757420000000.0,1231400000000.0,1907300000000.0,1813300000000.0,1429800000000.0,1149200000000.0,1230500000000.0,1988000000000.0,1999900000000.0,1292300000000.0,1654000000000.0,994930000000.0,1598500000000.0,2188500000000.0,1766000000000.0,2622200000000.0,2590200000000.0,2540000000000.0,3300800000000.0,3061900000000.0,2405500000000.0,2274500000000.0,2709300000000.0,3392200000000.0,2780500000000.0,2880300000000.0,2800700000000.0,2352100000000.0,1246100000000.0,2368900000000.0,3911500000000.0,2502200000000.0,3040500000000.0,2079100000000.0,2314300000000.0,2182400000000.0,2724000000000.0,3308700000000.0,3547500000000.0,3311200000000.0,2810600000000.0,2465400000000.0,2356300000000.0,3218300000000.0,3062400000000.0,3431600000000.0,3296800000000.0,3326000000000.0,3494600000000.0,4351600000000.0,4557800000000.0,3787800000000.0,3653800000000.0,3350400000000.0,3497900000000.0,3996200000000.0,4366100000000.0,3846200000000.0,4634100000000.0,3779500000000.0,3438800000000.0,3940300000000.0,3918000000000.0,2614200000000.0,2908100000000.0,2833000000000.0,2800200000000.0,2428200000000.0,2846100000000.0,3012800000000.0,3259500000000.0,3386700000000.0,3623900000000.0
