,FLARE_TYPE,COINCIDENCE,MEANSHR_1,MEANSHR_2,MEANSHR_3,MEANSHR_4,MEANSHR_5,MEANSHR_6,MEANSHR_7,MEANSHR_8,MEANSHR_9,MEANSHR_10,MEANSHR_11,MEANSHR_12,MEANSHR_13,MEANSHR_14,MEANSHR_15,MEANSHR_16,MEANSHR_17,MEANSHR_18,MEANSHR_19,MEANSHR_20,MEANSHR_21,MEANSHR_22,MEANSHR_23,MEANSHR_24,MEANSHR_25,MEANSHR_26,MEANSHR_27,MEANSHR_28,MEANSHR_29,MEANSHR_30,MEANSHR_31,MEANSHR_32,MEANSHR_33,MEANSHR_34,MEANSHR_35,MEANSHR_36,MEANSHR_37,MEANSHR_38,MEANSHR_39,MEANSHR_40,MEANSHR_41,MEANSHR_42,MEANSHR_43,MEANSHR_44,MEANSHR_45,MEANSHR_46,MEANSHR_47,MEANSHR_48,MEANSHR_49,MEANSHR_50,MEANSHR_51,MEANSHR_52,MEANSHR_53,MEANSHR_54,MEANSHR_55,MEANSHR_56,MEANSHR_57,MEANSHR_58,MEANSHR_59,MEANSHR_60,MEANSHR_61,MEANSHR_62,MEANSHR_63,MEANSHR_64,MEANSHR_65,MEANSHR_66,MEANSHR_67,MEANSHR_68,MEANSHR_69,MEANSHR_70,MEANSHR_71,MEANSHR_72,MEANSHR_73,MEANSHR_74,MEANSHR_75,MEANSHR_76,MEANSHR_77,MEANSHR_78,MEANSHR_79,MEANSHR_80,MEANSHR_81,MEANSHR_82,MEANSHR_83,MEANSHR_84,MEANSHR_85,MEANSHR_86,MEANSHR_87,MEANSHR_88,MEANSHR_89,MEANSHR_90,MEANSHR_91,MEANSHR_92,MEANSHR_93,MEANSHR_94,MEANSHR_95,MEANSHR_96,MEANSHR_97,MEANSHR_98,MEANSHR_99,MEANSHR_100,MEANSHR_101,MEANSHR_102,MEANSHR_103,MEANSHR_104,MEANSHR_105,MEANSHR_106,MEANSHR_107,MEANSHR_108,MEANSHR_109,MEANSHR_110,MEANSHR_111,MEANSHR_112,MEANSHR_113,MEANSHR_114,MEANSHR_115,MEANSHR_116,MEANSHR_117,MEANSHR_118,MEANSHR_119,MEANSHR_120
0,B,False,53.979,53.84,53.787,53.909,53.865,54.404,54.038,53.976,53.755,53.545,53.399,53.529,53.487,53.215,53.615,53.383,52.837,53.024,53.268,52.834,53.106,53.366,53.646,53.641,52.976,53.531,53.305,53.061,53.299,53.433,54.052,54.03,54.071,53.824,54.217,54.272,54.91,54.976,54.24,54.256,55.105,54.818,54.596,54.744,54.625,53.997,54.126,54.454,54.565,54.381,54.166,54.538,54.222,53.452,53.168,53.962,54.719,54.394,53.6,53.746,54.198,53.986,54.518,54.279,54.671,54.712,54.522,54.087,54.383,54.247,53.994,54.009,53.874,53.531,53.37,52.973,53.555,53.137,53.125,53.739,53.694,53.505,53.734,53.78,53.307,53.41,53.463,53.759,54.061,54.21,53.553,53.101,52.837,53.063,53.276,52.874,53.389,53.067,53.132,52.94,53.946,53.969,53.576,53.246,53.207,53.73,53.761,53.915,53.804,53.688,53.612,53.862,53.698,53.259,53.02,53.323,53.309,53.687,53.637,53.529
1,B,False,52.122,52.373,51.832,52.099,52.682,52.604,52.958,52.589,52.526,52.571,53.016,52.671,52.709,53.055,53.375,53.065,52.998,52.71,52.918,52.961,52.669,52.534,52.653,52.453,51.865,51.647,51.816,51.367,51.213,51.326,51.706,52.029,52.348,52.423,52.332,52.492,52.793,52.228,52.158,52.291,52.212,52.123,52.704,52.577,52.225,52.123,52.455,52.895,52.849,52.825,52.665,52.539,52.29,52.341,52.499,52.255,52.394,52.058,52.393,51.949,52.146,52.288,51.909,52.298,52.593,52.335,52.422,52.371,52.683,52.367,52.071,52.23,52.307,52.159,52.636,52.393,51.537,52.443,52.369,52.112,52.196,51.773,51.433,51.748,51.76,51.9,51.917,52.045,52.193,51.832,51.495,51.499,51.467,51.749,52.185,52.283,52.372,52.513,52.546,52.516,52.085,52.259,52.488,52.219,51.918,51.83,51.854,52.039,52.038,52.152,51.995,52.163,52.363,52.466,52.049,52.569,52.553,52.454,52.347,52.185
2,B,True,54.538,54.791,54.484,54.549,54.949,54.995,54.75,54.655,54.935,54.717,55.126,54.851,55.228,54.948,55.139,54.904,54.914,55.035,54.719,54.555,54.692,54.725,54.013,53.5,53.604,53.967,53.793,53.563,53.509,53.904,53.941,53.161,53.875,53.583,54.014,54.122,53.986,54.229,53.71,53.896,54.317,54.267,54.592,54.007,53.991,54.195,53.84,54.177,54.646,53.851,54.173,54.144,54.307,53.917,54.656,54.328,54.063,54.275,54.233,54.212,54.249,55.045,54.315,54.5,54.034,54.138,54.51,54.32,54.437,54.714,54.69,54.688,54.616,54.793,55.125,54.836,55.102,55.334,54.862,55.032,54.914,55.219,55.395,55.414,54.89,55.362,55.068,54.885,54.936,54.726,54.388,54.363,54.545,54.282,54.212,54.727,54.345,54.204,54.213,54.074,53.979,53.84,53.787,53.909,53.865,54.404,54.038,53.976,53.755,53.545,53.399,53.529,53.487,53.215,53.615,53.383,52.837,53.024,53.268,52.834
3,B,False,54.75,54.655,54.935,54.717,55.126,54.851,55.228,54.948,55.139,54.904,54.914,55.035,54.719,54.555,54.692,54.725,54.013,53.5,53.604,53.967,53.793,53.563,53.509,53.904,53.941,53.161,53.875,53.583,54.014,54.122,53.986,54.229,53.71,53.896,54.317,54.267,54.592,54.007,53.991,54.195,53.84,54.177,54.646,53.851,54.173,54.144,54.307,53.917,54.656,54.328,54.063,54.275,54.233,54.212,54.249,55.045,54.315,54.5,54.034,54.138,54.51,54.32,54.437,54.714,54.69,54.688,54.616,54.793,55.125,54.836,55.102,55.334,54.862,55.032,54.914,55.219,55.395,55.414,54.89,55.362,55.068,54.885,54.936,54.726,54.388,54.363,54.545,54.282,54.212,54.727,54.345,54.204,54.213,54.074,53.979,53.84,53.787,53.909,53.865,54.404,54.038,53.976,53.755,53.545,53.399,53.529,53.487,53.215,53.615,53.383,52.837,53.024,53.268,52.834,53.106,53.366,53.646,53.641,52.976,53.531
4,B,False,48.94,48.989,49.622,48.319,48.266,48.547,48.529,48.266,47.832,48.291,47.902,46.99,47.153,47.43,47.63,47.911,47.321,47.172,48.119,47.762,47.83,47.883,47.398,47.631,47.17,48.1,47.589,46.937,47.523,47.548,47.659,46.952,47.536,47.824,47.642,47.431,47.332,47.605,48.143,48.505,47.966,48.349,48.162,48.148,48.551,48.473,48.221,47.942,47.848,48.443,48.502,48.334,48.874,49.056,48.743,49.098,48.245,48.102,48.564,48.274,47.907,48.596,48.589,48.388,48.554,48.602,48.396,48.369,48.736,48.347,48.259,48.51,48.7,48.88,48.315,48.375,48.354,48.29,48.396,49.07,48.853,49.394,49.748,50.116,49.631,50.373,50.821,50.93,50.899,50.705,50.553,50.538,50.457,51.165,50.82,50.903,50.932,50.852,50.94,50.866,50.676,50.649,50.493,51.011,51.583,52.05,52.062,52.687,52.773,52.012,52.555,53.2,53.15,53.185,53.122,52.539,52.76,52.865,52.406,52.658
5,N,False,28.958,26.753,26.082,29.308,31.1,31.932,31.115,28.17,30.426,29.033,26.727,26.126,25.641,27.222,24.44,25.71,24.402,24.435,25.555,23.966,23.778,22.934,23.865,23.252,27.714,25.553,24.53,25.698,25.527,25.467,26.122,24.829,24.194,25.759,25.689,26.522,25.849,26.081,24.869,26.157,25.216,24.867,24.132,23.823,24.594,24.092,24.516,23.06,23.205,24.374,24.263,26.205,25.65,27.005,24.611,24.817,23.589,25.025,24.95,24.754,25.294,26.427,26.524,22.533,24.21,23.938,21.801,22.118,22.848,23.303,23.4,23.415,24.096,23.102,23.856,23.928,25.483,24.448,24.282,24.731,23.527,24.303,22.684,22.649,24.607,23.251,21.746,21.787,22.121,22.256,22.034,20.828,21.548,20.179,20.421,20.696,19.869,20.978,20.326,19.791,20.656,20.704,24.447,21.65,22.906,21.985,22.388,21.866,24.356,21.957,21.499,20.366,21.11,21.294,21.467,22.004,20.964,21.586,21.441,20.628
6,N,False,23.864,23.78,23.561,23.642,24.592,24.779,24.843,24.801,24.645,25.001,26.253,25.402,25.623,26.337,25.751,25.692,25.179,24.868,25.716,25.237,26.044,25.383,25.532,25.497,24.838,25.016,24.454,25.111,24.719,25.181,24.979,24.317,24.549,24.577,24.251,24.945,24.512,24.477,24.736,24.561,25.261,25.016,25.309,24.864,24.944,24.916,25.386,25.22,25.334,25.921,25.986,25.109,24.606,24.492,23.763,22.944,22.375,22.76,22.97,23.082,22.895,23.152,23.82,23.479,23.377,23.907,23.911,24.195,24.17,24.266,24.633,24.269,25.398,24.937,24.716,24.284,23.457,23.081,22.356,21.793,21.776,22.107,22.365,22.736,22.324,22.012,22.125,22.905,21.3,21.818,22.487,22.214,22.7,22.538,22.432,23.009,22.299,22.994,22.938,22.3,22.588,22.532,22.112,22.32,22.792,22.247,23.123,23.542,23.459,24.126,24.143,24.397,22.604,22.968,22.954,23.397,23.254,22.755,22.292,23.282
