,FLARE_TYPE,COINCIDENCE,TOTUSJH_1,TOTUSJH_2,TOTUSJH_3,TOTUSJH_4,TOTUSJH_5,TOTUSJH_6,TOTUSJH_7,TOTUSJH_8,TOTUSJH_9,TOTUSJH_10,TOTUSJH_11,TOTUSJH_12,TOTUSJH_13,TOTUSJH_14,TOTUSJH_15,TOTUSJH_16,TOTUSJH_17,TOTUSJH_18,TOTUSJH_19,TOTUSJH_20,TOTUSJH_21,TOTUSJH_22,TOTUSJH_23,TOTUSJH_24,TOTUSJH_25,TOTUSJH_26,TOTUSJH_27,TOTUSJH_28,TOTUSJH_29,TOTUSJH_30,TOTUSJH_31,TOTUSJH_32,TOTUSJH_33,TOTUSJH_34,TOTUSJH_35,TOTUSJH_36,TOTUSJH_37,TOTUSJH_38,TOTUSJH_39,TOTUSJH_40,TOTUSJH_41,TOTUSJH_42,TOTUSJH_43,TOTUSJH_44,TOTUSJH_45,TOTUSJH_46,TOTUSJH_47,TOTUSJH_48,TOTUSJH_49,TOTUSJH_50,TOTUSJH_51,TOTUSJH_52,TOTUSJH_53,TOTUSJH_54,TOTUSJH_55,TOTUSJH_56,TOTUSJH_57,TOTUSJH_58,TOTUSJH_59,TOTUSJH_60,TOTUSJH_61,TOTUSJH_62,TOTUSJH_63,TOTUSJH_64,TOTUSJH_65,TOTUSJH_66,TOTUSJH_67,TOTUSJH_68,TOTUSJH_69,TOTUSJH_70,TOTUSJH_71,TOTUSJH_72,TOTUSJH_73,TOTUSJH_74,TOTUSJH_75,TOTUSJH_76,TOTUSJH_77,TOTUSJH_78,TOTUSJH_79,TOTUSJH_80,TOTUSJH_81,TOTUSJH_82,TOTUSJH_83,TOTUSJH_84,TOTUSJH_85,TOTUSJH_86,TOTUSJH_87,TOTUSJH_88,TOTUSJH_89,TOTUSJH_90,TOTUSJH_91,TOTUSJH_92,TOTUSJH_93,TOTUSJH_94,TOTUSJH_95,TOTUSJH_96,TOTUSJH_97,TOTUSJH_98,TOTUSJH_99,TOTUSJH_100,TOTUSJH_101,TOTUSJH_102,TOTUSJH_103,TOTUSJH_104,TOTUSJH_105,TOTUSJH_106,TOTUSJH_107,TOTUSJH_108,TOTUSJH_109,TOTUSJH_110,TOTUSJH_111,TOTUSJH_112,TOTUSJH_113,TOTUSJH_114,TOTUSJH_115,TOTUSJH_116,TOTUSJH_117,TOTUSJH_118,TOTUSJH_119
22,B,False,438.4,451.22,457.54,441.4,452.81,451.09,463.25,446.99,458.36,455.65,453.5,456.49,462.13,451.76,441.21,452.54,455.52,457.43,455.17,452.83,464.29,463.15,464.31,461.46,462.81,467.95,468.82,464.9,450.79,462.02,453.92,442.03,437.43,430.67,433.5,412.68,411.43,403.38,409.84,413.75,407.88,415.83,417.59,425.47,422.75,422.1,425.39,429.5,438.63,441.28,441.51,451.71,447.85,447.51,452.32,455.07,449.26,444.38,447.66,444.6,454.41,456.25,461.07,464.52,461.62,466.7,457.04,457.52,459.82,458.28,462.68,467.43,449.81,453.24,456.36,466.73,471.18,466.47,466.32,466.27,469.33,478.55,473.99,466.28,464.7,465.74,467.82,453.2,452.11,449.96,450.01,445.95,439.4,440.48,447.63,449.38,463.07,481.29,487.77,481.31,481.48,490.18,495.92,487.21,485.38,479.93,476.83,486.47,489.19,491.3,485.14,493.07,486.72,491.99,501.44,493.46,499.65,502.98,488.44
23,B,False,255.17,259.73,256.58,268.33,278.3,273.86,291.41,288.88,293.11,306.72,311.44,316.88,318.67,302.52,315.28,316.14,324.48,322.74,331.89,324.54,322.54,333.05,329.79,335.32,331.95,355.21,353.59,364.63,359.09,343.78,351.06,346.55,350.5,351.7,361.78,347.51,343.4,338.07,341.35,350.03,340.21,347.06,347.74,345.14,344.06,337.06,339.83,357.2,365.48,347.35,356.18,363.86,373.51,376.82,381.44,372.73,363.1,370.06,367.37,364.83,360.04,366.75,376.57,365.01,359.14,363.02,349.09,351.13,344.82,346.99,341.19,342.47,348.25,350.36,341.19,344.95,347.97,345.1,342.15,340.07,346.01,343.09,331.79,337.55,339.27,346.98,338.58,337.66,341.19,335.17,336.12,334.47,337.16,331.72,330.85,324.35,322.08,323.22,320.14,313.22,309.98,323.65,322.28,319.39,321.32,316.37,304.91,307.66,301.52,296.43,298.05,290.12,293.04,296.82,291.3,276.64,280.98,280.67,271.11
24,B,False,646.28,632.19,633.22,633.62,633.65,632.19,631.33,624.7,626.5,626.7,619.04,604.91,607.7,604.91,609.76,593.13,576.88,587.03,577.06,573.89,566.64,569.37,565.51,561.84,556.87,568.8,567.43,564.18,572.07,569.84,572.78,572.22,572.25,564.08,558.24,549.92,548.58,532.9,534.25,542.49,531.65,535.2,526.66,525.51,532.85,540.92,535.85,531.08,527.34,524.83,530.71,531.56,533.05,533.13,523.39,524.18,514.75,502.55,497.53,496.12,484.1,486.87,485.76,499.4,496.0,487.73,493.24,494.7,494.62,502.62,510.46,511.02,524.04,522.94,524.27,521.02,524.68,538.45,538.91,525.51,534.36,523.55,516.63,508.64,494.19,498.54,487.28,486.24,480.75,470.36,469.26,465.84,467.35,473.14,470.19,476.25,468.48,469.87,468.51,470.08,473.11,471.75,468.64,468.44,472.62,463.64,462.62,450.07,436.7,448.23,435.71,450.09,446.46,447.74,443.4,434.9,424.93,438.69,430.2
25,B,False,118.46,121.0,123.23,125.04,133.01,130.25,139.79,140.57,139.66,146.9,145.35,145.87,150.55,147.99,154.49,165.84,166.78,175.56,185.94,182.98,192.16,187.24,184.14,177.63,170.97,170.34,166.54,163.99,161.57,168.28,169.25,169.05,163.68,162.79,175.21,161.33,167.07,171.05,167.17,171.04,173.9,173.82,168.33,173.03,177.62,176.0,175.74,176.98,173.62,170.86,172.92,179.69,198.04,180.01,180.76,181.66,182.82,188.69,182.12,185.37,190.56,183.52,185.98,187.13,186.75,182.57,185.93,182.45,189.35,181.53,183.16,188.15,200.5,199.22,218.56,224.47,232.74,257.12,278.16,278.3,292.8,307.05,315.97,325.81,330.15,335.14,316.21,308.01,312.0,309.97,322.01,308.58,309.34,307.85,306.61,313.99,308.52,311.29,320.43,322.52,315.23,332.84,329.51,332.92,341.44,352.28,348.37,357.43,364.98,375.48,393.93,387.78,405.18,399.15,392.78,395.71,411.62,422.29,419.76
26,B,False,451.09,463.25,446.99,458.36,455.65,453.5,456.49,462.13,451.76,441.21,452.54,455.52,457.43,455.17,452.83,464.29,463.15,464.31,461.46,462.81,467.95,468.82,464.9,450.79,462.02,453.92,442.03,437.43,430.67,433.5,412.68,411.43,403.38,409.84,413.75,407.88,415.83,417.59,425.47,422.75,422.1,425.39,429.5,438.63,441.28,441.51,451.71,447.85,447.51,452.32,455.07,449.26,444.38,447.66,444.6,454.41,456.25,461.07,464.52,461.62,466.7,457.04,457.52,459.82,458.28,462.68,467.43,449.81,453.24,456.36,466.73,471.18,466.47,466.32,466.27,469.33,478.55,473.99,466.28,464.7,465.74,467.82,453.2,452.11,449.96,450.01,445.95,439.4,440.48,447.63,449.38,463.07,481.29,487.77,481.31,481.48,490.18,495.92,487.21,485.38,479.93,476.83,486.47,489.19,491.3,485.14,493.07,486.72,491.99,501.44,493.46,499.65,502.98,488.44,495.42,501.5,507.43,489.15,487.89
27,B,False,119.53,117.86,119.11,119.37,118.92,121.02,118.59,112.57,118.77,115.8,121.87,117.5,116.81,118.15,119.71,120.07,117.43,115.48,116.5,114.89,113.18,111.42,113.99,116.42,124.41,124.14,128.1,126.66,124.69,130.44,134.83,133.78,131.7,136.06,132.2,135.6,135.61,135.44,138.77,132.91,135.76,140.14,137.16,136.0,137.42,135.67,131.26,134.83,135.41,135.93,133.88,130.31,126.29,128.76,132.81,135.66,132.82,132.52,137.8,142.23,138.26,144.59,146.07,147.07,142.93,146.61,146.94,143.88,143.17,147.04,143.05,136.38,139.38,137.69,137.05,137.77,141.64,137.19,135.92,132.03,124.75,126.47,124.07,123.5,124.43,124.15,121.1,123.84,126.82,127.88,127.28,128.54,130.05,132.25,129.4,122.16,125.18,117.22,118.0,113.54,116.77,115.62,110.63,110.9,110.05,109.72,104.93,105.73,104.65,103.39,101.58,102.99,102.65,100.84,104.19,107.88,107.54,106.44,109.21
28,B,False,282.5,290.94,290.11,282.89,279.54,285.5,277.86,288.71,287.48,291.27,289.99,280.19,286.6,283.93,280.42,292.1,294.62,299.75,288.4,285.25,301.87,305.79,314.12,315.39,303.68,297.47,300.68,302.85,305.11,294.68,300.29,302.44,292.93,299.96,294.22,299.19,296.23,303.93,307.35,308.82,307.86,307.59,301.15,301.99,299.28,296.61,295.06,288.63,295.87,293.31,294.7,296.32,296.93,298.78,296.83,301.02,300.47,305.89,315.51,317.9,324.78,323.11,326.78,323.99,324.25,327.03,319.93,320.58,314.69,320.8,329.4,327.34,317.65,323.19,323.75,321.72,329.85,329.11,327.86,324.1,325.67,321.91,330.5,326.45,314.46,321.91,324.33,325.94,328.59,340.09,336.32,331.8,336.01,330.59,328.62,329.75,328.85,333.66,323.27,326.89,330.42,328.46,325.9,333.33,335.63,332.88,334.7,324.04,322.8,321.43,323.49,332.26,328.36,319.18,324.07,325.6,317.69,325.57,323.71
29,B,True,301.06,289.05,290.43,287.3,294.34,294.19,293.9,294.85,280.23,288.41,286.35,287.27,283.89,287.37,287.75,295.52,286.2,304.2,286.31,285.95,291.11,279.97,289.92,288.9,291.34,289.32,287.98,284.87,277.26,281.19,290.58,289.84,297.16,304.77,305.79,301.52,290.48,284.97,287.38,291.16,279.9,281.43,275.55,267.65,273.0,265.43,280.46,271.0,271.69,276.68,281.63,274.46,270.8,273.16,278.44,281.13,282.81,277.18,271.63,277.45,279.8,270.57,274.81,267.2,268.03,260.49,255.95,255.11,255.72,256.86,263.18,260.03,264.22,252.1,252.97,254.59,252.4,261.35,252.06,249.55,252.26,256.41,256.08,244.76,249.55,253.34,258.13,265.9,264.89,258.45,261.87,247.62,249.19,254.27,255.19,257.35,254.54,253.43,248.68,259.49,263.42,263.31,272.91,276.4,265.36,264.97,268.88,268.05,270.86,271.51,267.13,267.7,279.52,272.55,275.16,267.1,257.29,271.39,271.92
30,B,False,458.22,432.23,411.59,411.51,400.79,388.84,396.0,399.45,403.89,405.87,424.71,417.08,412.03,421.03,433.45,431.05,450.6,436.15,437.22,450.78,442.04,425.88,426.75,420.69,424.74,422.52,413.85,404.61,407.35,410.25,403.21,401.49,390.85,391.64,389.15,395.54,389.08,376.65,383.13,382.44,389.35,380.99,395.44,379.36,382.91,401.07,410.45,404.36,414.47,412.86,418.52,416.8,424.58,414.27,409.08,397.77,417.19,402.99,398.17,410.71,407.36,402.43,407.71,399.05,399.11,396.11,400.78,399.81,410.46,420.89,430.84,422.84,433.8,439.52,429.59,435.91,437.19,445.81,449.04,437.53,446.85,444.65,452.83,454.74,453.83,458.38,461.46,461.93,453.26,469.36,464.28,462.77,467.47,454.58,447.27,454.36,436.11,426.87,430.56,438.24,430.86,425.51,425.19,435.65,435.1,435.45,429.69,427.65,425.33,440.75,438.22,436.64,437.0,437.12,441.58,444.08,429.49,427.07,420.89
31,B,False,459.79,459.89,462.84,457.98,456.35,451.53,447.99,444.97,449.93,445.43,458.16,457.41,452.57,447.1,459.74,456.5,460.21,446.03,451.69,449.51,461.28,454.43,447.9,451.01,454.51,456.36,450.54,453.97,461.01,452.2,451.08,449.57,437.13,435.34,429.12,430.72,442.66,437.28,415.3,423.96,420.65,421.81,418.6,412.74,420.52,414.52,417.09,413.67,404.42,401.56,404.61,391.47,402.13,396.69,406.2,407.08,397.88,401.13,405.01,398.33,402.29,400.51,401.03,393.76,393.71,399.99,396.66,399.81,389.87,408.23,395.02,391.03,396.69,400.0,396.93,387.75,380.51,371.74,382.47,376.89,379.5,380.27,378.88,379.91,364.9,361.8,355.22,357.73,358.72,354.74,337.29,352.6,346.4,342.96,333.88,335.85,332.62,338.7,336.27,341.56,341.79,340.3,339.71,335.63,342.04,340.53,334.69,336.66,343.1,346.8,351.45,344.15,344.89,344.06,351.14,338.43,329.26,328.9,333.47
32,B,False,445.34,449.35,446.07,451.32,469.62,446.58,448.78,445.81,445.93,434.65,441.02,442.53,437.45,443.87,429.59,434.22,427.18,422.0,416.7,425.26,423.22,416.38,426.44,419.96,435.29,430.41,430.93,432.86,432.81,446.55,432.49,450.75,453.24,464.01,468.91,478.33,473.26,469.08,465.85,460.94,458.54,461.41,475.48,484.23,470.53,458.11,465.57,436.73,437.29,449.96,449.22,449.88,451.58,449.96,450.55,460.14,461.23,469.04,475.74,466.9,463.11,468.44,470.35,483.44,474.12,474.5,476.54,465.17,462.14,456.36,450.58,452.65,450.11,453.46,451.68,473.19,478.16,475.95,486.24,503.28,502.02,488.3,495.67,495.81,486.28,492.77,490.64,482.47,491.38,481.15,478.32,481.96,466.01,459.69,455.09,447.92,452.05,448.66,450.88,445.72,453.9,448.95,456.34,465.14,458.39,468.94,461.99,465.6,463.27,465.87,466.26,466.83,473.1,468.56,474.41,474.49,477.05,471.05,471.72
33,B,False,642.1,625.4,625.2,626.3,615.32,624.79,625.38,627.1,633.55,626.57,649.56,641.09,634.97,648.14,668.24,675.32,674.94,676.09,695.15,700.14,692.19,691.96,681.42,683.5,677.66,673.08,668.87,671.36,653.64,651.68,642.67,636.18,634.24,641.81,653.81,656.56,650.12,650.3,655.58,658.45,660.18,669.58,671.19,674.62,680.6,684.07,686.24,701.91,694.27,701.27,704.37,679.94,675.84,661.26,658.15,667.92,664.14,638.51,638.04,640.82,627.48,638.63,643.04,638.54,649.7,628.44,631.45,631.5,645.34,636.03,642.88,658.09,648.59,655.74,651.65,655.46,641.51,651.82,655.29,664.1,659.6,654.75,645.64,630.84,636.41,625.59,627.7,620.31,614.81,613.99,616.42,614.39,615.85,612.85,613.02,619.31,614.62,627.98,625.27,617.79,626.02,620.91,616.76,628.38,633.4,638.91,640.21,638.87,646.03,652.44,631.94,646.28,632.19,633.22,633.62,633.65,632.19,631.33,624.7
34,B,False,293.9,294.85,280.23,288.41,286.35,287.27,283.89,287.37,287.75,295.52,286.2,304.2,286.31,285.95,291.11,279.97,289.92,288.9,291.34,289.32,287.98,284.87,277.26,281.19,290.58,289.84,297.16,304.77,305.79,301.52,290.48,284.97,287.38,291.16,279.9,281.43,275.55,267.65,273.0,265.43,280.46,271.0,271.69,276.68,281.63,274.46,270.8,273.16,278.44,281.13,282.81,277.18,271.63,277.45,279.8,270.57,274.81,267.2,268.03,260.49,255.95,255.11,255.72,256.86,263.18,260.03,264.22,252.1,252.97,254.59,252.4,261.35,252.06,249.55,252.26,256.41,256.08,244.76,249.55,253.34,258.13,265.9,264.89,258.45,261.87,247.62,249.19,254.27,255.19,257.35,254.54,253.43,248.68,259.49,263.42,263.31,272.91,276.4,265.36,264.97,268.88,268.05,270.86,271.51,267.13,267.7,279.52,272.55,275.16,267.1,257.29,271.39,271.92,263.36,263.89,269.99,265.5,268.76,269.33
35,B,True,377.35,368.7,364.47,365.95,364.5,364.59,377.77,377.49,388.16,390.39,402.4,394.98,392.94,388.62,379.64,378.1,377.58,383.6,377.49,381.56,368.9,373.63,365.71,370.07,384.53,369.95,372.26,374.74,382.86,380.45,371.89,371.28,373.75,371.53,375.68,382.04,373.18,372.33,371.59,363.5,365.81,376.86,368.28,370.79,369.6,382.24,369.8,380.33,382.86,385.08,387.37,384.69,386.53,392.84,394.08,387.27,383.45,379.65,367.13,368.09,376.22,368.45,367.33,367.19,372.47,375.56,376.64,383.16,378.32,373.21,386.95,392.83,391.85,400.56,401.73,400.28,393.95,396.72,386.74,381.56,381.55,384.39,377.8,361.49,357.36,363.29,361.92,358.72,355.23,362.04,368.0,356.89,355.53,358.15,360.16,367.46,367.02,363.65,367.85,366.88,363.08,366.01,366.77,373.79,370.25,372.33,371.03,371.43,366.41,362.52,368.9,364.48,370.82,370.77,371.62,364.18,365.42,356.57,348.86
36,B,False,897.35,907.7,905.83,889.97,911.69,909.11,921.55,922.61,917.0,929.53,937.45,926.25,934.54,928.91,941.78,936.63,947.88,933.82,928.53,946.47,944.97,911.08,911.61,919.73,906.24,907.14,898.37,903.49,901.61,874.41,872.71,871.39,864.97,864.18,856.51,841.2,840.62,828.35,840.15,822.22,802.54,811.22,778.61,757.38,764.33,776.41,775.15,782.05,783.56,805.09,807.41,820.93,807.61,826.41,802.97,811.31,801.12,797.15,795.94,788.12,781.27,772.11,768.39,761.37,746.99,732.14,761.73,737.97,724.15,725.97,731.31,724.38,731.71,741.05,743.62,743.45,760.84,766.95,775.32,756.38,767.53,762.79,765.98,783.15,767.43,767.25,765.97,766.13,776.82,757.78,764.01,749.55,763.52,760.37,765.7,772.75,788.01,800.82,815.98,807.93,815.88,825.72,815.46,816.01,803.26,803.5,783.5,773.0,776.25,763.91,782.69,776.39,803.87,787.41,793.89,795.06,813.33,813.09,794.11
37,B,False,97.932,97.353,101.43,99.9,107.32,116.97,123.46,130.39,134.09,143.93,150.52,158.04,166.07,175.53,182.76,186.11,189.54,187.13,190.64,194.35,199.07,203.08,215.55,210.35,215.5,230.64,230.21,235.6,221.7,221.53,219.21,206.27,207.02,207.74,203.13,204.71,209.29,211.53,217.43,231.94,232.47,231.52,235.14,236.95,248.13,252.86,253.5,255.17,259.73,256.58,268.33,278.3,273.86,291.41,288.88,293.11,306.72,311.44,316.88,318.67,302.52,315.28,316.14,324.48,322.74,331.89,324.54,322.54,333.05,329.79,335.32,331.95,355.21,353.59,364.63,359.09,343.78,351.06,346.55,350.5,351.7,361.78,347.51,343.4,338.07,341.35,350.03,340.21,347.06,347.74,345.14,344.06,337.06,339.83,357.2,365.48,347.35,356.18,363.86,373.51,376.82,381.44,372.73,363.1,370.06,367.37,364.83,360.04,366.75,376.57,365.01,359.14,363.02,349.09,351.13,344.82,346.99,341.19,342.47
38,B,False,905.83,889.97,911.69,909.11,921.55,922.61,917.0,929.53,937.45,926.25,934.54,928.91,941.78,936.63,947.88,933.82,928.53,946.47,944.97,911.08,911.61,919.73,906.24,907.14,898.37,903.49,901.61,874.41,872.71,871.39,864.97,864.18,856.51,841.2,840.62,828.35,840.15,822.22,802.54,811.22,778.61,757.38,764.33,776.41,775.15,782.05,783.56,805.09,807.41,820.93,807.61,826.41,802.97,811.31,801.12,797.15,795.94,788.12,781.27,772.11,768.39,761.37,746.99,732.14,761.73,737.97,724.15,725.97,731.31,724.38,731.71,741.05,743.62,743.45,760.84,766.95,775.32,756.38,767.53,762.79,765.98,783.15,767.43,767.25,765.97,766.13,776.82,757.78,764.01,749.55,763.52,760.37,765.7,772.75,788.01,800.82,815.98,807.93,815.88,825.72,815.46,816.01,803.26,803.5,783.5,773.0,776.25,763.91,782.69,776.39,803.87,787.41,793.89,795.06,813.33,813.09,794.11,790.59,791.16
39,B,False,36.928,43.899,47.149,49.992,53.168,58.946,69.075,73.365,81.669,86.106,87.661,88.075,93.394,95.054,97.468,97.932,97.353,101.43,99.9,107.32,116.97,123.46,130.39,134.09,143.93,150.52,158.04,166.07,175.53,182.76,186.11,189.54,187.13,190.64,194.35,199.07,203.08,215.55,210.35,215.5,230.64,230.21,235.6,221.7,221.53,219.21,206.27,207.02,207.74,203.13,204.71,209.29,211.53,217.43,231.94,232.47,231.52,235.14,236.95,248.13,252.86,253.5,255.17,259.73,256.58,268.33,278.3,273.86,291.41,288.88,293.11,306.72,311.44,316.88,318.67,302.52,315.28,316.14,324.48,322.74,331.89,324.54,322.54,333.05,329.79,335.32,331.95,355.21,353.59,364.63,359.09,343.78,351.06,346.55,350.5,351.7,361.78,347.51,343.4,338.07,341.35,350.03,340.21,347.06,347.74,345.14,344.06,337.06,339.83,357.2,365.48,347.35,356.18,363.86,373.51,376.82,381.44,372.73,363.1
40,B,False,209.29,211.53,217.43,231.94,232.47,231.52,235.14,236.95,248.13,252.86,253.5,255.17,259.73,256.58,268.33,278.3,273.86,291.41,288.88,293.11,306.72,311.44,316.88,318.67,302.52,315.28,316.14,324.48,322.74,331.89,324.54,322.54,333.05,329.79,335.32,331.95,355.21,353.59,364.63,359.09,343.78,351.06,346.55,350.5,351.7,361.78,347.51,343.4,338.07,341.35,350.03,340.21,347.06,347.74,345.14,344.06,337.06,339.83,357.2,365.48,347.35,356.18,363.86,373.51,376.82,381.44,372.73,363.1,370.06,367.37,364.83,360.04,366.75,376.57,365.01,359.14,363.02,349.09,351.13,344.82,346.99,341.19,342.47,348.25,350.36,341.19,344.95,347.97,345.1,342.15,340.07,346.01,343.09,331.79,337.55,339.27,346.98,338.58,337.66,341.19,335.17,336.12,334.47,337.16,331.72,330.85,324.35,322.08,323.22,320.14,313.22,309.98,323.65,322.28,319.39,321.32,316.37,304.91,307.66
41,B,False,758.62,756.49,750.43,746.11,742.06,752.34,759.76,763.11,758.53,765.54,780.91,777.31,770.06,766.72,767.48,764.02,757.74,774.41,763.83,761.58,773.58,782.98,786.27,810.49,793.63,788.47,785.27,788.66,799.71,789.71,770.63,772.11,769.34,756.72,766.53,760.26,762.59,744.69,742.33,736.02,736.7,741.25,735.98,732.33,740.47,733.27,734.77,733.71,741.51,723.54,718.91,715.75,717.51,732.02,734.49,741.96,731.3,730.04,717.47,724.58,740.56,728.43,728.97,708.81,712.15,715.51,712.11,709.55,697.42,720.59,703.39,724.22,716.08,704.55,710.49,706.82,703.92,697.3,697.77,688.66,687.48,683.16,693.24,690.78,686.56,702.53,693.88,705.64,695.62,704.76,693.98,693.89,694.87,684.28,671.55,672.26,678.22,674.11,677.01,674.31,676.98,668.97,651.54,644.54,663.3,660.77,652.53,649.69,643.37,646.87,646.2,642.03,634.81,635.23,640.97,643.86,645.67,640.9,649.03
42,B,False,325.18,324.75,328.42,342.11,348.6,355.28,353.11,372.55,385.47,391.74,397.31,392.94,393.5,407.53,413.59,409.49,403.72,394.24,381.22,378.88,379.21,389.14,393.1,397.37,396.8,384.24,392.26,397.08,402.09,410.21,409.28,421.14,411.01,413.53,410.67,401.41,375.89,393.06,369.88,371.2,370.65,364.36,360.16,380.12,369.72,374.92,378.87,369.69,366.5,369.19,369.77,373.79,366.47,361.36,350.93,363.8,344.57,338.69,343.06,333.27,344.8,342.71,344.27,332.03,335.35,333.87,324.74,319.97,317.12,324.2,324.43,328.76,339.42,350.51,351.61,358.95,364.82,371.0,345.86,335.99,327.99,333.52,326.69,316.85,307.01,302.12,304.22,292.65,293.74,294.08,289.89,284.15,298.37,291.74,296.7,285.65,289.79,292.16,301.93,296.03,299.82,292.96,290.91,290.0,290.77,281.85,282.21,278.01,285.12,276.86,272.38,262.92,268.27,260.53,262.32,261.11,265.01,255.29,263.49
43,B,False,170.97,170.34,166.54,163.99,161.57,168.28,169.25,169.05,163.68,162.79,175.21,161.33,167.07,171.05,167.17,171.04,173.9,173.82,168.33,173.03,177.62,176.0,175.74,176.98,173.62,170.86,172.92,179.69,198.04,180.01,180.76,181.66,182.82,188.69,182.12,185.37,190.56,183.52,185.98,187.13,186.75,182.57,185.93,182.45,189.35,181.53,183.16,188.15,200.5,199.22,218.56,224.47,232.74,257.12,278.16,278.3,292.8,307.05,315.97,325.81,330.15,335.14,316.21,308.01,312.0,309.97,322.01,308.58,309.34,307.85,306.61,313.99,308.52,311.29,320.43,322.52,315.23,332.84,329.51,332.92,341.44,352.28,348.37,357.43,364.98,375.48,393.93,387.78,405.18,399.15,392.78,395.71,411.62,422.29,419.76,397.09,391.76,394.02,383.8,387.73,381.29,381.55,391.12,398.94,390.15,405.54,399.84,408.25,401.5,394.74,408.83,408.67,388.84,402.72,409.52,419.27,446.6,433.65,435.61
44,B,False,705.64,695.62,704.76,693.98,693.89,694.87,684.28,671.55,672.26,678.22,674.11,677.01,674.31,676.98,668.97,651.54,644.54,663.3,660.77,652.53,649.69,643.37,646.87,646.2,642.03,634.81,635.23,640.97,643.86,645.67,640.9,649.03,635.53,630.93,638.83,635.42,629.79,636.24,646.94,621.34,615.32,607.39,609.65,608.95,610.27,606.3,609.99,624.34,609.87,604.46,603.61,603.71,610.33,612.11,610.26,602.17,605.55,612.58,612.07,610.1,608.41,602.79,589.71,577.24,564.15,556.86,541.79,554.06,543.16,556.79,546.55,540.81,552.9,537.62,543.54,548.99,543.12,535.11,541.43,542.86,531.85,538.38,520.61,518.08,521.16,535.36,518.25,508.03,518.54,506.59,506.42,502.87,508.44,495.74,493.36,492.46,491.49,499.26,498.27,488.22,487.84,496.74,493.67,479.02,476.08,481.58,498.95,532.6,531.6,544.73,540.28,539.86,517.41,518.32,515.21,500.79,490.43,483.42,481.57
45,B,False,501.5,507.43,489.15,487.89,486.95,495.21,491.8,495.18,487.23,481.85,480.65,473.72,461.97,456.6,460.6,459.79,459.89,462.84,457.98,456.35,451.53,447.99,444.97,449.93,445.43,458.16,457.41,452.57,447.1,459.74,456.5,460.21,446.03,451.69,449.51,461.28,454.43,447.9,451.01,454.51,456.36,450.54,453.97,461.01,452.2,451.08,449.57,437.13,435.34,429.12,430.72,442.66,437.28,415.3,423.96,420.65,421.81,418.6,412.74,420.52,414.52,417.09,413.67,404.42,401.56,404.61,391.47,402.13,396.69,406.2,407.08,397.88,401.13,405.01,398.33,402.29,400.51,401.03,393.76,393.71,399.99,396.66,399.81,389.87,408.23,395.02,391.03,396.69,400.0,396.93,387.75,380.51,371.74,382.47,376.89,379.5,380.27,378.88,379.91,364.9,361.8,355.22,357.73,358.72,354.74,337.29,352.6,346.4,342.96,333.88,335.85,332.62,338.7,336.27,341.56,341.79,340.3,339.71,335.63
46,B,False,656.67,651.79,649.68,672.76,674.0,679.77,685.1,687.27,699.53,712.05,706.56,717.74,702.34,713.31,734.08,755.42,759.93,760.63,767.01,748.05,736.21,734.7,747.02,733.74,719.65,724.43,738.65,730.85,727.84,723.32,730.99,730.81,742.33,757.54,765.38,767.05,778.0,795.04,807.11,812.54,821.33,835.0,828.23,827.14,848.0,851.76,833.05,830.25,838.05,844.99,841.65,839.37,820.71,832.92,832.02,842.69,846.17,860.5,853.54,879.56,876.81,852.99,851.52,845.88,849.45,846.13,840.98,848.12,860.27,844.63,837.99,832.02,835.35,843.32,838.96,840.16,840.33,854.25,829.7,858.43,866.83,846.5,863.93,880.4,902.06,908.07,912.7,924.81,918.3,925.99,938.07,944.22,956.56,945.68,946.46,946.48,966.05,978.15,978.66,980.37,973.94,944.93,930.43,945.34,977.38,969.56,953.55,965.96,939.39,918.34,910.44,916.73,922.52,941.44,950.2,947.61,939.4,958.51,941.77
47,B,False,376.86,368.28,370.79,369.6,382.24,369.8,380.33,382.86,385.08,387.37,384.69,386.53,392.84,394.08,387.27,383.45,379.65,367.13,368.09,376.22,368.45,367.33,367.19,372.47,375.56,376.64,383.16,378.32,373.21,386.95,392.83,391.85,400.56,401.73,400.28,393.95,396.72,386.74,381.56,381.55,384.39,377.8,361.49,357.36,363.29,361.92,358.72,355.23,362.04,368.0,356.89,355.53,358.15,360.16,367.46,367.02,363.65,367.85,366.88,363.08,366.01,366.77,373.79,370.25,372.33,371.03,371.43,366.41,362.52,368.9,364.48,370.82,370.77,371.62,364.18,365.42,356.57,348.86,343.41,344.55,338.22,344.13,347.3,346.68,352.69,345.55,342.36,337.07,329.64,334.57,341.6,332.92,329.76,328.85,335.05,326.07,336.88,345.12,333.57,330.12,327.31,330.35,338.48,334.16,331.51,329.01,334.14,328.87,334.44,327.28,316.82,316.74,321.44,316.94,318.82,317.64,324.92,320.44,309.83
