,FLARE_TYPE,COINCIDENCE,TOTUSJH_1,TOTUSJH_2,TOTUSJH_3,TOTUSJH_4,TOTUSJH_5,TOTUSJH_6,TOTUSJH_7,TOTUSJH_8,TOTUSJH_9,TOTUSJH_10,TOTUSJH_11,TOTUSJH_12,TOTUSJH_13,TOTUSJH_14,TOTUSJH_15,TOTUSJH_16,TOTUSJH_17,TOTUSJH_18,TOTUSJH_19,TOTUSJH_20,TOTUSJH_21,TOTUSJH_22,TOTUSJH_23,TOTUSJH_24,TOTUSJH_25,TOTUSJH_26,TOTUSJH_27,TOTUSJH_28,TOTUSJH_29,TOTUSJH_30,TOTUSJH_31,TOTUSJH_32,TOTUSJH_33,TOTUSJH_34,TOTUSJH_35,TOTUSJH_36,TOTUSJH_37,TOTUSJH_38,TOTUSJH_39,TOTUSJH_40,TOTUSJH_41,TOTUSJH_42,TOTUSJH_43,TOTUSJH_44,TOTUSJH_45,TOTUSJH_46,TOTUSJH_47,TOTUSJH_48,TOTUSJH_49,TOTUSJH_50,TOTUSJH_51,TOTUSJH_52,TOTUSJH_53,TOTUSJH_54,TOTUSJH_55,TOTUSJH_56,TOTUSJH_57,TOTUSJH_58,TOTUSJH_59,TOTUSJH_60,TOTUSJH_61,TOTUSJH_62,TOTUSJH_63,TOTUSJH_64,TOTUSJH_65,TOTUSJH_66,TOTUSJH_67,TOTUSJH_68,TOTUSJH_69,TOTUSJH_70,TOTUSJH_71,TOTUSJH_72,TOTUSJH_73,TOTUSJH_74,TOTUSJH_75,TOTUSJH_76,TOTUSJH_77,TOTUSJH_78,TOTUSJH_79,TOTUSJH_80,TOTUSJH_81,TOTUSJH_82,TOTUSJH_83,TOTUSJH_84,TOTUSJH_85,TOTUSJH_86,TOTUSJH_87,TOTUSJH_88,TOTUSJH_89,TOTUSJH_90,TOTUSJH_91,TOTUSJH_92,TOTUSJH_93,TOTUSJH_94,TOTUSJH_95,TOTUSJH_96,TOTUSJH_97,TOTUSJH_98,TOTUSJH_99,TOTUSJH_100,TOTUSJH_101,TOTUSJH_102,TOTUSJH_103,TOTUSJH_104,TOTUSJH_105,TOTUSJH_106,TOTUSJH_107,TOTUSJH_108,TOTUSJH_109,TOTUSJH_110,TOTUSJH_111,TOTUSJH_112,TOTUSJH_113,TOTUSJH_114,TOTUSJH_115,TOTUSJH_116,TOTUSJH_117,TOTUSJH_118,TOTUSJH_119
10,B,True,866.84,870.71,853.86,860.94,859.25,860.1,857.4,874.5,880.84,897.35,907.7,905.83,889.97,911.69,909.11,921.55,922.61,917.0,929.53,937.45,926.25,934.54,928.91,941.78,936.63,947.88,933.82,928.53,946.47,944.97,911.08,911.61,919.73,906.24,907.14,898.37,903.49,901.61,874.41,872.71,871.39,864.97,864.18,856.51,841.2,840.62,828.35,840.15,822.22,802.54,811.22,778.61,757.38,764.33,776.41,775.15,782.05,783.56,805.09,807.41,820.93,807.61,826.41,802.97,811.31,801.12,797.15,795.94,788.12,781.27,772.11,768.39,761.37,746.99,732.14,761.73,737.97,724.15,725.97,731.31,724.38,731.71,741.05,743.62,743.45,760.84,766.95,775.32,756.38,767.53,762.79,765.98,783.15,767.43,767.25,765.97,766.13,776.82,757.78,764.01,749.55,763.52,760.37,765.7,772.75,788.01,800.82,815.98,807.93,815.88,825.72,815.46,816.01,803.26,803.5,783.5,773.0,776.25,763.91
11,B,True,1438.1,1425.6,1411.1,1391.6,1376.0,1355.8,1368.7,1347.2,1343.2,1330.9,1343.6,1340.2,1335.2,1336.3,1332.8,1338.3,1362.4,1380.9,1399.7,1414.9,1411.9,1391.5,1375.1,1342.0,1324.6,1322.2,1293.6,1298.6,1282.7,1269.5,1249.2,1236.8,1250.4,1237.5,1251.6,1255.0,1249.8,1232.8,1231.0,1225.4,1217.6,1216.4,1239.5,1247.8,1249.7,1273.0,1265.3,1262.1,1253.6,1254.0,1260.7,1263.8,1290.5,1281.0,1294.5,1341.3,1325.1,1338.7,1337.0,1343.6,1348.4,1354.0,1344.5,1353.2,1360.9,1341.6,1328.5,1325.0,1332.5,1321.4,1330.2,1345.8,1329.3,1350.3,1366.8,1351.0,1326.4,1343.8,1379.3,1377.6,1383.5,1398.1,1374.4,1374.3,1377.1,1381.7,1368.4,1359.7,1352.0,1355.3,1346.8,1338.9,1343.6,1354.6,1340.7,1352.0,1339.1,1324.8,1336.7,1349.7,1359.1,1340.0,1332.4,1345.1,1322.9,1303.7,1312.7,1325.4,1333.8,1331.3,1339.5,1353.0,1345.3,1338.0,1353.2,1353.6,1345.9,1343.3,1347.2
12,B,True,675.32,674.94,676.09,695.15,700.14,692.19,691.96,681.42,683.5,677.66,673.08,668.87,671.36,653.64,651.68,642.67,636.18,634.24,641.81,653.81,656.56,650.12,650.3,655.58,658.45,660.18,669.58,671.19,674.62,680.6,684.07,686.24,701.91,694.27,701.27,704.37,679.94,675.84,661.26,658.15,667.92,664.14,638.51,638.04,640.82,627.48,638.63,643.04,638.54,649.7,628.44,631.45,631.5,645.34,636.03,642.88,658.09,648.59,655.74,651.65,655.46,641.51,651.82,655.29,664.1,659.6,654.75,645.64,630.84,636.41,625.59,627.7,620.31,614.81,613.99,616.42,614.39,615.85,612.85,613.02,619.31,614.62,627.98,625.27,617.79,626.02,620.91,616.76,628.38,633.4,638.91,640.21,638.87,646.03,652.44,631.94,646.28,632.19,633.22,633.62,633.65,632.19,631.33,624.7,626.5,626.7,619.04,604.91,607.7,604.91,609.76,593.13,576.88,587.03,577.06,573.89,566.64,569.37,565.51
13,B,True,143.27,147.47,143.12,144.94,144.51,144.5,148.6,153.55,159.41,160.57,159.63,164.52,160.9,164.45,160.5,153.16,159.39,159.79,157.56,153.98,153.74,155.98,156.96,148.78,148.1,148.52,140.65,143.39,148.63,152.01,144.43,141.24,141.9,141.47,142.69,142.23,148.85,152.13,152.68,148.29,151.03,159.05,152.88,151.35,156.82,157.61,159.11,155.07,160.91,155.33,153.91,151.44,149.57,157.37,161.95,156.3,158.52,152.5,158.04,153.21,148.42,146.04,142.77,137.49,132.59,129.29,129.22,127.89,126.79,126.45,125.18,131.94,131.72,133.75,130.86,132.84,133.0,131.9,140.32,138.87,131.56,126.51,125.68,129.25,126.59,127.22,124.81,126.0,120.69,122.09,118.45,119.55,117.05,115.57,123.42,118.59,116.34,114.95,112.71,119.53,117.86,119.11,119.37,118.92,121.02,118.59,112.57,118.77,115.8,121.87,117.5,116.81,118.15,119.71,120.07,117.43,115.48,116.5,114.89
14,B,True,154.49,165.84,166.78,175.56,185.94,182.98,192.16,187.24,184.14,177.63,170.97,170.34,166.54,163.99,161.57,168.28,169.25,169.05,163.68,162.79,175.21,161.33,167.07,171.05,167.17,171.04,173.9,173.82,168.33,173.03,177.62,176.0,175.74,176.98,173.62,170.86,172.92,179.69,198.04,180.01,180.76,181.66,182.82,188.69,182.12,185.37,190.56,183.52,185.98,187.13,186.75,182.57,185.93,182.45,189.35,181.53,183.16,188.15,200.5,199.22,218.56,224.47,232.74,257.12,278.16,278.3,292.8,307.05,315.97,325.81,330.15,335.14,316.21,308.01,312.0,309.97,322.01,308.58,309.34,307.85,306.61,313.99,308.52,311.29,320.43,322.52,315.23,332.84,329.51,332.92,341.44,352.28,348.37,357.43,364.98,375.48,393.93,387.78,405.18,399.15,392.78,395.71,411.62,422.29,419.76,397.09,391.76,394.02,383.8,387.73,381.29,381.55,391.12,398.94,390.15,405.54,399.84,408.25,401.5
15,B,True,757.04,755.24,755.89,754.27,750.22,770.81,753.93,749.92,745.12,747.45,760.02,747.52,749.02,761.6,753.4,754.06,744.49,751.58,758.62,756.49,750.43,746.11,742.06,752.34,759.76,763.11,758.53,765.54,780.91,777.31,770.06,766.72,767.48,764.02,757.74,774.41,763.83,761.58,773.58,782.98,786.27,810.49,793.63,788.47,785.27,788.66,799.71,789.71,770.63,772.11,769.34,756.72,766.53,760.26,762.59,744.69,742.33,736.02,736.7,741.25,735.98,732.33,740.47,733.27,734.77,733.71,741.51,723.54,718.91,715.75,717.51,732.02,734.49,741.96,731.3,730.04,717.47,724.58,740.56,728.43,728.97,708.81,712.15,715.51,712.11,709.55,697.42,720.59,703.39,724.22,716.08,704.55,710.49,706.82,703.92,697.3,697.77,688.66,687.48,683.16,693.24,690.78,686.56,702.53,693.88,705.64,695.62,704.76,693.98,693.89,694.87,684.28,671.55,672.26,678.22,674.11,677.01,674.31,676.98
16,B,True,458.63,458.49,458.22,432.23,411.59,411.51,400.79,388.84,396.0,399.45,403.89,405.87,424.71,417.08,412.03,421.03,433.45,431.05,450.6,436.15,437.22,450.78,442.04,425.88,426.75,420.69,424.74,422.52,413.85,404.61,407.35,410.25,403.21,401.49,390.85,391.64,389.15,395.54,389.08,376.65,383.13,382.44,389.35,380.99,395.44,379.36,382.91,401.07,410.45,404.36,414.47,412.86,418.52,416.8,424.58,414.27,409.08,397.77,417.19,402.99,398.17,410.71,407.36,402.43,407.71,399.05,399.11,396.11,400.78,399.81,410.46,420.89,430.84,422.84,433.8,439.52,429.59,435.91,437.19,445.81,449.04,437.53,446.85,444.65,452.83,454.74,453.83,458.38,461.46,461.93,453.26,469.36,464.28,462.77,467.47,454.58,447.27,454.36,436.11,426.87,430.56,438.24,430.86,425.51,425.19,435.65,435.1,435.45,429.69,427.65,425.33,440.75,438.22,436.64,437.0,437.12,441.58,444.08,429.49
17,B,False,549.21,556.04,546.7,543.38,544.53,545.65,543.6,563.79,565.64,573.74,576.73,609.47,620.26,638.76,622.4,620.46,641.69,622.47,585.56,556.26,547.46,559.41,538.17,545.31,528.68,526.44,526.97,525.64,545.08,542.23,543.82,532.11,540.62,545.97,556.85,555.44,551.49,550.44,563.08,581.89,569.24,567.31,578.02,574.32,572.64,567.81,569.85,575.51,553.83,561.28,539.02,548.97,539.15,542.73,519.0,532.32,529.73,521.28,509.35,526.58,538.2,541.16,543.35,553.68,562.12,573.4,607.92,613.63,651.79,661.45,655.86,649.68,607.01,586.23,565.43,548.91,534.04,510.56,505.31,504.19,486.0,489.55,477.45,475.31,476.08,477.72,482.09,484.36,500.58,509.64,506.67,505.26,508.38,523.75,538.27,525.73,535.92,537.03,543.31,555.15,539.67,547.86,524.82,518.66,534.73,522.96,512.32,495.55,496.71,474.2,471.73,446.05,445.35,414.96,426.94,423.64,417.05,414.0,412.79
18,B,False,281.35,271.14,280.8,283.77,278.0,278.59,284.73,285.68,279.52,272.78,267.46,276.35,267.53,267.09,267.09,270.63,270.63,279.43,278.01,276.85,271.38,268.5,275.8,275.96,268.04,278.73,274.6,265.58,266.32,264.07,261.84,269.5,269.16,272.93,273.66,280.26,278.32,280.54,286.79,287.0,288.99,287.82,282.7,301.99,303.81,303.48,314.6,332.97,331.57,341.36,365.61,384.82,410.38,410.5,412.23,400.86,405.48,407.35,424.12,431.28,425.38,429.63,433.8,470.84,467.87,481.07,478.66,488.86,496.38,479.84,483.7,492.01,485.36,494.09,515.8,510.28,504.45,512.91,517.17,504.79,513.3,501.05,496.0,493.24,506.52,498.03,508.39,519.28,544.76,553.2,561.75,584.51,613.79,636.23,657.54,653.92,662.14,663.52,653.69,647.97,661.88,670.07,675.4,693.92,685.28,697.05,712.16,722.65,710.63,713.82,712.12,722.65,697.3,729.66,730.31,720.42,748.28,746.39,734.09
19,B,True,299.83,302.24,302.04,302.12,307.25,310.14,310.24,307.23,301.32,299.34,295.54,296.62,298.59,293.06,283.22,282.06,279.48,281.22,279.84,276.24,265.89,275.91,271.3,268.23,270.1,275.75,278.86,276.98,283.7,280.14,276.63,286.84,275.69,281.91,287.48,280.3,295.94,290.22,300.4,307.85,304.61,303.3,304.06,305.99,320.12,309.01,303.64,315.51,317.71,311.87,324.67,323.77,330.81,320.22,322.0,320.81,318.58,314.53,316.43,321.98,314.09,310.86,308.64,312.41,319.18,318.11,323.66,315.92,323.37,327.01,326.76,328.9,320.98,307.76,307.22,301.73,301.05,298.62,297.39,300.42,298.9,300.27,300.62,295.56,300.31,304.16,303.72,309.55,303.97,305.93,301.56,299.86,288.27,293.21,291.71,291.94,289.84,287.24,291.86,293.76,293.36,297.18,298.64,294.76,297.62,295.56,308.57,310.3,313.02,303.56,303.09,291.71,284.38,288.16,288.05,285.0,282.08,272.91,278.55
20,B,False,466.32,466.27,469.33,478.55,473.99,466.28,464.7,465.74,467.82,453.2,452.11,449.96,450.01,445.95,439.4,440.48,447.63,449.38,463.07,481.29,487.77,481.31,481.48,490.18,495.92,487.21,485.38,479.93,476.83,486.47,489.19,491.3,485.14,493.07,486.72,491.99,501.44,493.46,499.65,502.98,488.44,495.42,501.5,507.43,489.15,487.89,486.95,495.21,491.8,495.18,487.23,481.85,480.65,473.72,461.97,456.6,460.6,459.79,459.89,462.84,457.98,456.35,451.53,447.99,444.97,449.93,445.43,458.16,457.41,452.57,447.1,459.74,456.5,460.21,446.03,451.69,449.51,461.28,454.43,447.9,451.01,454.51,456.36,450.54,453.97,461.01,452.2,451.08,449.57,437.13,435.34,429.12,430.72,442.66,437.28,415.3,423.96,420.65,421.81,418.6,412.74,420.52,414.52,417.09,413.67,404.42,401.56,404.61,391.47,402.13,396.69,406.2,407.08,397.88,401.13,405.01,398.33,402.29,400.51
21,B,True,432.16,443.56,445.17,443.36,437.2,441.44,429.93,432.04,437.66,443.72,454.59,447.16,460.88,447.07,435.39,435.29,442.77,438.4,451.22,457.54,441.4,452.81,451.09,463.25,446.99,458.36,455.65,453.5,456.49,462.13,451.76,441.21,452.54,455.52,457.43,455.17,452.83,464.29,463.15,464.31,461.46,462.81,467.95,468.82,464.9,450.79,462.02,453.92,442.03,437.43,430.67,433.5,412.68,411.43,403.38,409.84,413.75,407.88,415.83,417.59,425.47,422.75,422.1,425.39,429.5,438.63,441.28,441.51,451.71,447.85,447.51,452.32,455.07,449.26,444.38,447.66,444.6,454.41,456.25,461.07,464.52,461.62,466.7,457.04,457.52,459.82,458.28,462.68,467.43,449.81,453.24,456.36,466.73,471.18,466.47,466.32,466.27,469.33,478.55,473.99,466.28,464.7,465.74,467.82,453.2,452.11,449.96,450.01,445.95,439.4,440.48,447.63,449.38,463.07,481.29,487.77,481.31,481.48,490.18
