,FLARE_TYPE,COINCIDENCE,slf_1,slf_2,slf_3,slf_4,slf_5,slf_6,slf_7,slf_8,slf_9,slf_10,slf_11,slf_12,slf_13,slf_14,slf_15,slf_16,slf_17,slf_18,slf_19,slf_20,slf_21,slf_22,slf_23,slf_24,slf_25,slf_26,slf_27,slf_28,slf_29,slf_30,slf_31,slf_32,slf_33,slf_34,slf_35,slf_36,slf_37,slf_38,slf_39,slf_40,slf_41,slf_42,slf_43,slf_44,slf_45,slf_46,slf_47,slf_48,slf_49,slf_50,slf_51,slf_52,slf_53,slf_54,slf_55,slf_56,slf_57,slf_58,slf_59,slf_60,slf_61,slf_62,slf_63,slf_64,slf_65,slf_66,slf_67,slf_68,slf_69,slf_70,slf_71,slf_72,slf_73,slf_74,slf_75,slf_76,slf_77,slf_78,slf_79,slf_80,slf_81,slf_82,slf_83,slf_84,slf_85,slf_86,slf_87,slf_88,slf_89,slf_90,slf_91,slf_92,slf_93,slf_94,slf_95,slf_96,slf_97,slf_98,slf_99,slf_100,slf_101,slf_102,slf_103,slf_104,slf_105,slf_106,slf_107,slf_108,slf_109,slf_110,slf_111,slf_112,slf_113,slf_114,slf_115,slf_116,slf_117,slf_118,slf_119
20,B,False,28.557,28.788,28.904,28.296,28.179,28.3,27.996,28.282,28.736,28.741,28.951,28.62,29.287,29.236,29.465,29.703,29.588,30.236,29.418,30.325,31.045,31.957,31.709,32.238,33.143,31.959,31.644,31.864,30.665,31.357,30.81,30.164,31.21,31.021,31.359,31.794,30.321,30.993,33.188,31.749,32.097,32.011,32.229,31.821,31.079,31.359,31.255,31.616,31.793,31.265,31.216,30.076,31.113,31.057,32.67,32.436,32.217,31.945,31.758,33.358,33.162,32.957,32.919,32.876,33.131,32.796,32.707,31.919,32.982,33.604,33.098,33.255,33.696,33.082,32.161,32.709,33.395,33.999,34.455,34.201,34.457,33.469,34.711,35.393,36.548,35.155,38.375,37.249,38.032,40.736,40.018,40.37,41.284,40.459,40.343,44.25,41.486,39.17,38.133,39.218,39.546,39.393,39.799,39.016,39.212,39.982,39.578,40.898,41.095,39.678,39.338,38.72,39.421,40.293,39.981,41.682,40.424,42.308,42.751
21,B,True,30.175,29.829,30.05,29.805,29.516,29.314,29.647,28.975,28.564,28.669,28.215,26.941,26.571,26.567,26.837,26.045,26.321,26.578,26.432,26.167,27.005,26.699,26.646,27.038,28.135,27.497,28.6,28.74,28.236,29.259,29.57,29.214,29.03,29.127,29.746,28.941,29.171,30.244,29.441,30.752,30.437,30.056,30.179,30.543,31.486,31.585,31.931,31.666,32.079,32.307,33.039,32.915,32.569,32.667,32.013,32.775,33.15,32.979,32.914,32.846,32.582,32.963,32.913,32.727,31.992,31.886,31.917,31.808,32.294,32.279,30.729,30.234,30.571,31.146,30.81,31.117,31.128,31.314,31.736,31.954,32.082,31.145,31.345,30.924,30.484,30.116,29.591,29.725,29.383,28.965,29.026,28.416,28.064,28.384,28.464,28.557,28.788,28.904,28.296,28.179,28.3,27.996,28.282,28.736,28.741,28.951,28.62,29.287,29.236,29.465,29.703,29.588,30.236,29.418,30.325,31.045,31.957,31.709,32.238
22,B,False,26.578,26.432,26.167,27.005,26.699,26.646,27.038,28.135,27.497,28.6,28.74,28.236,29.259,29.57,29.214,29.03,29.127,29.746,28.941,29.171,30.244,29.441,30.752,30.437,30.056,30.179,30.543,31.486,31.585,31.931,31.666,32.079,32.307,33.039,32.915,32.569,32.667,32.013,32.775,33.15,32.979,32.914,32.846,32.582,32.963,32.913,32.727,31.992,31.886,31.917,31.808,32.294,32.279,30.729,30.234,30.571,31.146,30.81,31.117,31.128,31.314,31.736,31.954,32.082,31.145,31.345,30.924,30.484,30.116,29.591,29.725,29.383,28.965,29.026,28.416,28.064,28.384,28.464,28.557,28.788,28.904,28.296,28.179,28.3,27.996,28.282,28.736,28.741,28.951,28.62,29.287,29.236,29.465,29.703,29.588,30.236,29.418,30.325,31.045,31.957,31.709,32.238,33.143,31.959,31.644,31.864,30.665,31.357,30.81,30.164,31.21,31.021,31.359,31.794,30.321,30.993,33.188,31.749,32.097
23,B,False,16.225,16.365,15.715,15.14,15.079,15.484,14.832,15.001,13.717,14.306,13.468,13.363,13.834,13.66,13.972,13.705,13.409,13.269,13.137,13.392,13.105,12.828,12.531,12.486,12.133,11.978,11.829,12.0,11.768,12.041,11.241,11.115,12.107,10.504,11.187,10.572,10.272,9.8693,9.9196,10.068,9.6461,9.3258,10.271,10.25,10.148,10.169,10.191,9.8345,10.352,10.582,10.316,10.718,10.581,10.78,11.176,11.623,11.585,12.315,12.049,11.851,11.818,12.198,12.83,13.808,12.942,13.967,14.026,14.5,14.441,14.938,14.646,14.474,14.609,14.762,14.795,15.176,16.414,16.479,17.949,16.678,17.491,17.556,17.713,17.89,17.244,18.826,17.965,18.375,17.47,17.536,19.2,19.046,19.967,20.219,19.823,18.533,18.726,19.462,19.042,19.539,20.81,20.464,20.864,21.516,21.482,23.242,25.296,25.465,26.092,24.259,24.117,24.508,24.493,24.315,25.677,26.477,29.061,9.5473,29.612
24,B,False,41.783,41.02,43.581,47.711,44.929,44.929,43.094,44.399,44.364,45.819,50.48,51.724,47.19,47.735,50.779,47.684,50.558,55.862,51.514,46.903,48.441,46.889,0.0,59.435,52.989,53.945,50.182,48.127,48.104,48.104,45.865,45.828,47.132,47.997,50.0,46.614,54.725,53.406,52.04,48.824,55.031,48.362,47.447,53.409,54.887,69.048,80.061,64.306,67.664,76.971,75.225,67.041,68.149,62.033,64.831,75.469,72.509,77.044,76.032,77.668,78.776,78.291,76.642,0.0,0.0,0.0,0.0,93.293,100.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.962,15.035,16.223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1637,3.031,0.0,3.0251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7926,0.0,0.0,0.0,0.0,0.0,2.5023,0.0,2.77,0.0,0.0,0.0,2.9654,3.0388,2.8057,0.0,2.77,0.0,0.0,0.0,0.0,2.5321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.066,9.2378,9.122,9.364,9.3601,9.407,8.9743,9.4078,9.2621,9.927,10.126,10.208,10.822,10.788,10.77,10.405,10.627,11.234,10.98,11.268,11.658,11.697,11.705,11.583,11.406,11.402,11.141,11.377,11.682,11.167,11.048,10.918,11.375,11.411,11.368,11.387,11.439,11.319,11.434,11.545,11.533,10.811,10.735,10.86,11.129
26,B,False,26.646,27.038,28.135,27.497,28.6,28.74,28.236,29.259,29.57,29.214,29.03,29.127,29.746,28.941,29.171,30.244,29.441,30.752,30.437,30.056,30.179,30.543,31.486,31.585,31.931,31.666,32.079,32.307,33.039,32.915,32.569,32.667,32.013,32.775,33.15,32.979,32.914,32.846,32.582,32.963,32.913,32.727,31.992,31.886,31.917,31.808,32.294,32.279,30.729,30.234,30.571,31.146,30.81,31.117,31.128,31.314,31.736,31.954,32.082,31.145,31.345,30.924,30.484,30.116,29.591,29.725,29.383,28.965,29.026,28.416,28.064,28.384,28.464,28.557,28.788,28.904,28.296,28.179,28.3,27.996,28.282,28.736,28.741,28.951,28.62,29.287,29.236,29.465,29.703,29.588,30.236,29.418,30.325,31.045,31.957,31.709,32.238,33.143,31.959,31.644,31.864,30.665,31.357,30.81,30.164,31.21,31.021,31.359,31.794,30.321,30.993,33.188,31.749,32.097,32.011,32.229,31.821,31.079,31.359
27,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0339,1.96,0.0,1.8924,1.8072,0.0,0.0,0.0,1.4592,1.7611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0749,1.9087,1.819,1.8198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.575,12.607,0.0,12.69,12.791,12.674,12.619,12.485,12.634,12.624,12.629,12.822
29,B,True,0.0,0.0,0.0,1.9376,1.9877,1.9904,1.8771,0.0,1.8935,1.89,0.0,0.0,1.9967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.884,2.1581,2.1747,2.161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1916,2.0891,2.0032,0.0,0.0,0.0,0.0,0.0,0.0,2.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1185,2.0948,2.0988,2.005,2.0177,0.0,2.0167,1.8935
30,B,False,26.965,27.021,26.464,25.859,26.225,27.017,27.38,29.015,26.76,27.519,28.242,33.052,28.953,28.472,29.034,28.85,29.492,30.581,36.999,33.958,34.034,34.036,33.47,34.373,34.865,36.478,35.503,35.02,34.603,36.133,35.013,32.303,32.291,32.657,34.267,39.045,37.954,36.67,38.705,41.199,38.712,40.198,41.982,42.187,47.623,49.302,48.159,48.264,47.838,44.057,20.663,85.595,66.39,86.753,0.0,28.961,0.0,0.0,0.0,120.12,113.25,0.0,0.0,124.24,139.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.8,97.859,97.859,97.859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.47,98.357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,B,False,31.945,31.758,33.358,33.162,32.957,32.919,32.876,33.131,32.796,32.707,31.919,32.982,33.604,33.098,33.255,33.696,33.082,32.161,32.709,33.395,33.999,34.455,34.201,34.457,33.469,34.711,35.393,36.548,35.155,38.375,37.249,38.032,40.736,40.018,40.37,41.284,40.459,40.343,44.25,41.486,39.17,38.133,39.218,39.546,39.393,39.799,39.016,39.212,39.982,39.578,40.898,41.095,39.678,39.338,38.72,39.421,40.293,39.981,41.682,40.424,42.308,42.751,43.387,42.992,46.222,46.704,46.982,47.624,46.636,46.542,47.458,46.611,46.773,46.982,47.624,47.479,46.636,48.142,49.071,49.392,49.141,49.629,50.474,51.083,51.264,51.617,51.165,52.19,52.085,52.267,52.557,52.46,53.558,54.847,53.983,53.26,53.176,52.974,52.958,54.302,53.773,53.992,52.967,53.502,54.204,53.878,0.0,0.0,35.052,0.0,54.926,55.417,0.0,0.0,0.0,0.0,0.0,55.408,0.0
32,B,False,3.481,4.3751,3.4116,2.8685,2.0599,2.2472,2.7124,2.6959,2.6824,2.5241,2.5192,2.4121,2.4985,2.0383,2.5469,2.2681,2.5751,2.651,2.6824,0.0,0.0,2.3887,2.135,2.0544,2.0349,1.9681,0.0,0.0,0.0,3.8869,4.3732,0.0,0.0,33.721,33.057,31.989,32.407,31.499,32.107,31.983,31.452,31.546,31.452,24.306,29.923,30.523,30.567,30.886,31.147,34.111,30.383,30.458,30.869,35.771,35.754,36.65,35.356,34.739,35.078,35.667,35.229,31.434,31.296,30.449,30.702,31.239,31.05,31.128,30.095,29.917,29.493,29.783,30.072,30.237,30.442,29.314,28.953,29.38,29.306,29.296,28.997,29.248,28.962,29.248,29.061,29.419,29.332,29.755,29.642,29.594,29.655,23.091,24.363,22.707,22.435,22.446,20.435,19.357,14.547,14.671,14.303,13.211,13.744,13.198,13.9,14.721,14.742,11.384,11.652,13.332,16.016,17.994,19.456,12.588,12.55,11.311,10.12,9.6583,8.479
33,B,False,7.0236,7.3605,11.592,7.976,16.572,15.866,16.656,8.0095,8.3434,16.572,13.358,14.118,0.0,6.7383,6.451,0.0,0.0,4.5166,4.043,4.1673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.412,22.864,22.885,26.367,20.708,37.011,50.43,31.937,24.603,25.312,24.081,21.507,21.521,23.186,21.847,23.455,21.164,21.392,20.682,18.392,22.688,21.815,23.238,22.725,22.288,28.508,30.846,24.548,19.924,18.989,18.263,18.317,20.177,20.37,19.456,18.083,19.248,19.878,19.047,16.857,18.523,17.479,19.927,27.228,28.827,22.556,18.751,25.096,27.55,24.718,21.91,23.618,35.024,20.829,39.635,37.453,36.452,35.106,38.005,38.63,36.606,35.277,36.358,37.08,38.948,37.83,36.327,39.828,37.481,38.959,42.353,40.558,40.134,42.323,39.426,41.039,39.46,39.868,39.554,38.785,38.11,36.368,36.893,37.829,41.783,41.02,43.581,47.711,44.929,44.929,43.094,44.399
34,B,False,1.8771,0.0,1.8935,1.89,0.0,0.0,1.9967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.884,2.1581,2.1747,2.161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1916,2.0891,2.0032,0.0,0.0,0.0,0.0,0.0,0.0,2.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1185,2.0948,2.0988,2.005,2.0177,0.0,2.0167,1.8935,0.0,1.9848,1.8911,1.8567,1.9369,1.903
35,B,True,24.518,24.965,24.938,25.639,25.781,25.465,24.909,25.396,24.54,24.767,25.026,25.237,25.376,24.591,24.196,24.357,25.184,24.597,24.806,25.506,24.667,26.034,26.261,25.926,26.079,26.656,26.116,25.752,26.537,27.27,27.295,26.28,26.779,26.632,27.601,26.92,26.201,25.49,25.758,25.809,25.705,26.25,25.808,24.816,24.785,24.366,23.998,23.854,23.74,24.509,24.977,25.411,25.501,26.007,25.977,26.243,26.129,26.345,26.351,25.747,25.46,25.577,25.751,25.049,24.37,24.821,25.464,26.171,25.499,25.576,25.508,25.542,25.304,25.592,25.716,25.723,26.15,26.339,26.28,27.559,26.699,26.13,25.916,25.651,25.224,25.191,25.305,25.54,25.489,25.55,26.229,26.648,26.755,26.745,26.622,27.051,2.1503,26.185,26.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,B,False,7.0245,7.0925,7.0701,6.9385,6.946,7.3016,6.2947,5.8698,6.424,7.3725,6.4781,6.4308,0.0,8.0541,8.1087,1.9133,6.3796,4.1774,6.3353,6.9393,6.4923,6.5479,6.5494,1.8281,1.7871,0.0,4.8907,4.5586,4.3115,4.366,3.5358,3.5765,4.9243,5.1773,4.4863,4.9105,3.6561,4.8855,6.8142,3.7029,3.482,6.5328,6.6461,1.7332,0.0,0.0,0.0,8.1093,8.0792,1.7757,0.0,0.0,0.0,2.0544,2.0662,0.0,0.0,0.0,1.4624,1.8556,1.8699,1.8525,0.0,1.805,0.0,1.6499,1.5846,1.5933,2.0071,2.0296,1.6665,1.6922,1.1406,2.0022,1.9837,0.0,0.0,0.0,0.0,0.0,1.8565,0.0,0.0,0.0,0.0,0.0,1.8311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0578,2.0694,1.8529,0.0,0.0,0.0,1.9361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.571,32.803,27.518,24.273,20.447,19.343,18.435,17.003,16.728,14.937,14.207,14.544,14.244,13.852,14.042,13.794,13.662,13.422,13.951,13.85,13.974,14.615,14.98,14.923,15.701,15.472,15.889,15.913,15.871,16.918,16.667,16.667,16.787,16.138,16.225,16.365,15.715,15.14,15.079,15.484,14.832,15.001,13.717,14.306,13.468,13.363,13.834,13.66,13.972,13.705,13.409,13.269,13.137,13.392,13.105,12.828,12.531,12.486,12.133,11.978,11.829,12.0,11.768,12.041,11.241,11.115,12.107,10.504,11.187,10.572,10.272,9.8693,9.9196,10.068,9.6461,9.3258,10.271,10.25,10.148,10.169,10.191,9.8345,10.352,10.582,10.316,10.718,10.581,10.78,11.176,11.623,11.585,12.315,12.049,11.851,11.818,12.198,12.83,13.808,12.942,13.967,14.026,14.5,14.441,14.938,14.646,14.474
38,B,False,7.0701,6.9385,6.946,7.3016,6.2947,5.8698,6.424,7.3725,6.4781,6.4308,0.0,8.0541,8.1087,1.9133,6.3796,4.1774,6.3353,6.9393,6.4923,6.5479,6.5494,1.8281,1.7871,0.0,4.8907,4.5586,4.3115,4.366,3.5358,3.5765,4.9243,5.1773,4.4863,4.9105,3.6561,4.8855,6.8142,3.7029,3.482,6.5328,6.6461,1.7332,0.0,0.0,0.0,8.1093,8.0792,1.7757,0.0,0.0,0.0,2.0544,2.0662,0.0,0.0,0.0,1.4624,1.8556,1.8699,1.8525,0.0,1.805,0.0,1.6499,1.5846,1.5933,2.0071,2.0296,1.6665,1.6922,1.1406,2.0022,1.9837,0.0,0.0,0.0,0.0,0.0,1.8565,0.0,0.0,0.0,0.0,0.0,1.8311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0578,2.0694,1.8529,0.0,0.0,0.0,1.9361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.571,32.803,27.518,24.273,20.447,19.343,18.435,17.003,16.728,14.937,14.207,14.544,14.244,13.852,14.042,13.794,13.662,13.422,13.951,13.85,13.974,14.615,14.98,14.923,15.701,15.472,15.889,15.913,15.871,16.918,16.667,16.667,16.787,16.138,16.225,16.365,15.715,15.14,15.079,15.484,14.832,15.001,13.717,14.306,13.468,13.363,13.834,13.66,13.972,13.705,13.409,13.269,13.137,13.392,13.105,12.828,12.531,12.486,12.133,11.978,11.829,12.0,11.768,12.041,11.241,11.115,12.107,10.504,11.187,10.572,10.272,9.8693,9.9196,10.068,9.6461,9.3258,10.271,10.25,10.148,10.169,10.191,9.8345,10.352,10.582,10.316,10.718,10.581,10.78,11.176,11.623,11.585
40,B,False,14.923,15.701,15.472,15.889,15.913,15.871,16.918,16.667,16.667,16.787,16.138,16.225,16.365,15.715,15.14,15.079,15.484,14.832,15.001,13.717,14.306,13.468,13.363,13.834,13.66,13.972,13.705,13.409,13.269,13.137,13.392,13.105,12.828,12.531,12.486,12.133,11.978,11.829,12.0,11.768,12.041,11.241,11.115,12.107,10.504,11.187,10.572,10.272,9.8693,9.9196,10.068,9.6461,9.3258,10.271,10.25,10.148,10.169,10.191,9.8345,10.352,10.582,10.316,10.718,10.581,10.78,11.176,11.623,11.585,12.315,12.049,11.851,11.818,12.198,12.83,13.808,12.942,13.967,14.026,14.5,14.441,14.938,14.646,14.474,14.609,14.762,14.795,15.176,16.414,16.479,17.949,16.678,17.491,17.556,17.713,17.89,17.244,18.826,17.965,18.375,17.47,17.536,19.2,19.046,19.967,20.219,19.823,18.533,18.726,19.462,19.042,19.539,20.81,20.464,20.864,21.516,21.482,23.242,25.296,25.465
41,B,False,20.595,20.674,21.115,21.398,21.209,21.148,21.22,20.934,20.932,20.609,20.626,20.744,20.434,20.761,20.797,20.686,20.554,20.556,20.69,20.507,21.027,20.628,20.323,20.43,20.525,20.386,20.638,20.604,20.805,21.105,20.935,20.978,20.965,20.834,20.82,20.834,20.892,20.707,20.796,20.779,21.044,21.044,21.161,21.377,20.898,20.819,20.762,21.093,21.353,21.154,21.467,21.667,21.465,21.444,21.502,21.519,21.85,21.7,21.677,21.539,21.596,21.65,21.879,21.705,21.069,21.21,21.51,21.675,21.429,21.708,21.898,21.887,21.4,21.584,22.157,22.179,22.003,21.876,22.08,22.075,21.697,21.722,21.685,21.834,21.91,21.873,21.836,21.796,21.82,22.219,22.227,22.377,22.22,22.356,22.371,22.951,22.641,23.216,22.929,22.951,22.855,23.417,23.494,23.384,23.286,22.941,22.943,23.237,23.121,23.091,23.227,22.826,22.909,23.248,23.133,23.066,23.288,23.41,23.063
42,B,False,0.0,0.0,0.0,0.0,0.0,0.0,13.264,7.1866,8.4791,13.398,11.725,11.694,11.283,11.29,11.229,11.157,11.035,11.104,11.342,11.19,11.327,11.222,10.954,11.264,11.471,11.405,11.605,11.841,11.917,11.775,11.731,11.98,11.849,11.785,11.155,11.137,11.129,13.46,13.402,13.469,13.531,13.371,13.652,13.711,14.029,13.91,13.874,13.97,13.883,13.998,13.968,14.064,11.91,2.7034,2.7443,2.7333,12.469,12.502,12.432,12.295,12.233,0.0,0.0,0.0,0.0,0.0,2.5723,0.0,0.0,0.0,2.6596,2.6349,2.6277,2.6121,2.6173,2.6114,2.5801,2.5918,2.6224,2.5236,2.5185,0.0,2.5763,2.5851,2.6174,2.6298,2.6412,2.6572,2.6306,2.7084,2.7729,2.8255,2.8265,2.8578,2.897,2.8662,2.6578,2.682,2.7169,2.6592,2.6723,2.7095,2.6954,2.8373,2.8964,2.8626,2.8461,2.8522,2.8393,2.7638,2.8064,2.8366,2.7896,2.798,2.8214,2.8626,2.7938,2.7731,2.8001
43,B,False,0.0,3.0251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7926,0.0,0.0,0.0,0.0,0.0,2.5023,0.0,2.77,0.0,0.0,0.0,2.9654,3.0388,2.8057,0.0,2.77,0.0,0.0,0.0,0.0,2.5321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.066,9.2378,9.122,9.364,9.3601,9.407,8.9743,9.4078,9.2621,9.927,10.126,10.208,10.822,10.788,10.77,10.405,10.627,11.234,10.98,11.268,11.658,11.697,11.705,11.583,11.406,11.402,11.141,11.377,11.682,11.167,11.048,10.918,11.375,11.411,11.368,11.387,11.439,11.319,11.434,11.545,11.533,10.811,10.735,10.86,11.129,11.003,11.214,12.06,11.823,11.715,11.965,11.92,11.804,11.59,11.499,11.264,11.594,11.465,11.561,11.131,11.213,11.644,11.66,11.952,11.865,12.225,12.316,12.302,12.696
44,B,False,21.796,21.82,22.219,22.227,22.377,22.22,22.356,22.371,22.951,22.641,23.216,22.929,22.951,22.855,23.417,23.494,23.384,23.286,22.941,22.943,23.237,23.121,23.091,23.227,22.826,22.909,23.248,23.133,23.066,23.288,23.41,23.063,23.195,23.41,23.317,23.459,23.536,23.452,23.318,23.587,23.316,23.116,23.252,23.231,23.303,23.208,23.291,23.429,23.272,23.023,22.825,22.84,23.129,22.991,23.07,23.24,23.162,22.973,22.72,22.771,22.962,22.953,22.933,22.698,23.193,22.67,22.725,22.917,23.149,23.295,23.024,22.921,23.032,23.096,22.82,22.884,22.755,23.076,23.032,23.036,23.123,22.945,22.926,22.962,22.994,23.331,22.904,22.795,22.933,23.089,23.042,23.261,23.047,23.111,22.962,23.067,22.759,22.684,22.942,23.045,22.874,23.041,22.833,22.898,23.04,23.035,22.996,23.206,23.424,23.452,23.791,23.964,23.621,23.816,23.929,24.095,24.212,24.158,24.018
45,B,False,32.229,31.821,31.079,31.359,31.255,31.616,31.793,31.265,31.216,30.076,31.113,31.057,32.67,32.436,32.217,31.945,31.758,33.358,33.162,32.957,32.919,32.876,33.131,32.796,32.707,31.919,32.982,33.604,33.098,33.255,33.696,33.082,32.161,32.709,33.395,33.999,34.455,34.201,34.457,33.469,34.711,35.393,36.548,35.155,38.375,37.249,38.032,40.736,40.018,40.37,41.284,40.459,40.343,44.25,41.486,39.17,38.133,39.218,39.546,39.393,39.799,39.016,39.212,39.982,39.578,40.898,41.095,39.678,39.338,38.72,39.421,40.293,39.981,41.682,40.424,42.308,42.751,43.387,42.992,46.222,46.704,46.982,47.624,46.636,46.542,47.458,46.611,46.773,46.982,47.624,47.479,46.636,48.142,49.071,49.392,49.141,49.629,50.474,51.083,51.264,51.617,51.165,52.19,52.085,52.267,52.557,52.46,53.558,54.847,53.983,53.26,53.176,52.974,52.958,54.302,53.773,53.992,52.967,53.502
46,B,False,14.361,14.966,15.474,15.901,15.032,13.645,13.952,14.515,14.915,16.993,15.586,15.25,15.443,14.87,14.657,14.393,13.638,13.296,12.764,10.857,14.958,14.281,14.658,12.733,13.167,11.173,13.655,15.757,11.895,16.587,8.3567,15.781,15.965,15.829,15.979,15.871,15.519,16.398,16.651,18.432,17.823,18.742,20.566,20.07,19.206,19.303,20.106,20.325,20.503,21.385,21.353,20.104,21.836,22.43,21.385,20.196,20.322,19.209,18.231,18.019,17.525,17.232,16.956,17.679,17.662,17.65,17.981,18.352,18.191,18.877,19.153,18.883,19.124,18.989,18.601,19.051,19.374,18.444,18.037,18.511,19.394,18.621,17.981,17.935,18.455,18.479,18.011,17.119,16.332,16.063,16.558,16.442,16.312,15.833,16.195,16.34,16.644,16.465,15.876,16.907,16.619,16.329,16.415,16.901,16.769,17.058,17.505,17.418,18.307,18.848,19.09,18.541,19.051,19.026,18.98,19.299,19.047,19.246,19.105
