,FLARE_TYPE,COINCIDENCE,slf_1,slf_2,slf_3,slf_4,slf_5,slf_6,slf_7,slf_8,slf_9,slf_10,slf_11,slf_12,slf_13,slf_14,slf_15,slf_16,slf_17,slf_18,slf_19,slf_20,slf_21,slf_22,slf_23,slf_24,slf_25,slf_26,slf_27,slf_28,slf_29,slf_30,slf_31,slf_32,slf_33,slf_34,slf_35,slf_36,slf_37,slf_38,slf_39,slf_40,slf_41,slf_42,slf_43,slf_44,slf_45,slf_46,slf_47,slf_48,slf_49,slf_50,slf_51,slf_52,slf_53,slf_54,slf_55,slf_56,slf_57,slf_58,slf_59,slf_60,slf_61,slf_62,slf_63,slf_64,slf_65,slf_66,slf_67,slf_68,slf_69,slf_70,slf_71,slf_72,slf_73,slf_74,slf_75,slf_76,slf_77,slf_78,slf_79,slf_80,slf_81,slf_82,slf_83,slf_84,slf_85,slf_86,slf_87,slf_88,slf_89,slf_90,slf_91,slf_92,slf_93,slf_94,slf_95,slf_96,slf_97,slf_98,slf_99,slf_100,slf_101,slf_102,slf_103,slf_104,slf_105,slf_106,slf_107,slf_108,slf_109,slf_110,slf_111,slf_112,slf_113,slf_114,slf_115,slf_116,slf_117,slf_118,slf_119
10,B,True,6.9238,5.9975,5.7397,5.7191,7.0676,6.9685,6.9388,7.0329,6.8974,7.0245,7.0925,7.0701,6.9385,6.946,7.3016,6.2947,5.8698,6.424,7.3725,6.4781,6.4308,0.0,8.0541,8.1087,1.9133,6.3796,4.1774,6.3353,6.9393,6.4923,6.5479,6.5494,1.8281,1.7871,0.0,4.8907,4.5586,4.3115,4.366,3.5358,3.5765,4.9243,5.1773,4.4863,4.9105,3.6561,4.8855,6.8142,3.7029,3.482,6.5328,6.6461,1.7332,0.0,0.0,0.0,8.1093,8.0792,1.7757,0.0,0.0,0.0,2.0544,2.0662,0.0,0.0,0.0,1.4624,1.8556,1.8699,1.8525,0.0,1.805,0.0,1.6499,1.5846,1.5933,2.0071,2.0296,1.6665,1.6922,1.1406,2.0022,1.9837,0.0,0.0,0.0,0.0,0.0,1.8565,0.0,0.0,0.0,0.0,0.0,1.8311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0578,2.0694,1.8529,0.0,0.0,0.0,1.9361,0.0
11,B,True,58.118,59.796,60.302,59.447,58.752,58.942,56.722,58.644,58.26,58.709,57.853,56.22,55.832,57.143,58.309,58.382,58.159,59.026,58.24,57.713,59.024,59.576,59.877,58.548,59.752,59.397,58.899,59.61,59.369,59.834,59.814,59.968,60.974,61.026,62.258,62.235,63.142,61.671,60.929,61.405,61.268,59.607,61.059,62.189,61.848,59.762,59.665,60.104,60.999,60.771,60.359,58.432,57.864,58.923,58.373,56.96,57.363,57.259,59.236,56.198,56.811,57.772,58.258,57.646,57.671,57.678,57.124,56.369,56.87,56.672,56.701,58.125,59.301,58.984,58.518,58.975,58.559,57.498,56.641,57.87,58.284,57.241,57.77,59.37,59.653,61.24,61.94,60.532,59.914,58.415,59.238,58.712,58.332,58.403,59.144,59.373,61.0,59.72,60.213,62.09,64.456,61.337,62.083,63.025,63.546,62.488,62.243,62.268,62.583,62.448,63.455,63.614,64.464,64.451,64.446,64.846,65.133,66.938,68.099
12,B,True,0.0,0.0,4.5166,4.043,4.1673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.412,22.864,22.885,26.367,20.708,37.011,50.43,31.937,24.603,25.312,24.081,21.507,21.521,23.186,21.847,23.455,21.164,21.392,20.682,18.392,22.688,21.815,23.238,22.725,22.288,28.508,30.846,24.548,19.924,18.989,18.263,18.317,20.177,20.37,19.456,18.083,19.248,19.878,19.047,16.857,18.523,17.479,19.927,27.228,28.827,22.556,18.751,25.096,27.55,24.718,21.91,23.618,35.024,20.829,39.635,37.453,36.452,35.106,38.005,38.63,36.606,35.277,36.358,37.08,38.948,37.83,36.327,39.828,37.481,38.959,42.353,40.558,40.134,42.323,39.426,41.039,39.46,39.868,39.554,38.785,38.11,36.368,36.893,37.829,41.783,41.02,43.581,47.711,44.929,44.929,43.094,44.399,44.364,45.819,50.48,51.724,47.19,47.735,50.779,47.684,50.558,55.862,51.514,46.903,48.441,46.889,0.0
13,B,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,B,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1637,3.031,0.0,3.0251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7926,0.0,0.0,0.0,0.0,0.0,2.5023,0.0,2.77,0.0,0.0,0.0,2.9654,3.0388,2.8057,0.0,2.77,0.0,0.0,0.0,0.0,2.5321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.066,9.2378,9.122,9.364,9.3601,9.407,8.9743,9.4078,9.2621,9.927,10.126,10.208,10.822,10.788,10.77,10.405,10.627,11.234,10.98,11.268,11.658,11.697,11.705,11.583,11.406,11.402,11.141,11.377,11.682,11.167,11.048,10.918,11.375,11.411,11.368,11.387,11.439,11.319,11.434,11.545,11.533,10.811,10.735,10.86,11.129,11.003,11.214,12.06,11.823,11.715,11.965,11.92,11.804,11.59,11.499,11.264,11.594,11.465,11.561
15,B,True,20.973,20.819,20.859,20.826,20.906,20.859,20.878,20.98,20.811,20.867,20.947,20.947,20.885,21.051,20.925,20.692,20.699,20.806,20.595,20.674,21.115,21.398,21.209,21.148,21.22,20.934,20.932,20.609,20.626,20.744,20.434,20.761,20.797,20.686,20.554,20.556,20.69,20.507,21.027,20.628,20.323,20.43,20.525,20.386,20.638,20.604,20.805,21.105,20.935,20.978,20.965,20.834,20.82,20.834,20.892,20.707,20.796,20.779,21.044,21.044,21.161,21.377,20.898,20.819,20.762,21.093,21.353,21.154,21.467,21.667,21.465,21.444,21.502,21.519,21.85,21.7,21.677,21.539,21.596,21.65,21.879,21.705,21.069,21.21,21.51,21.675,21.429,21.708,21.898,21.887,21.4,21.584,22.157,22.179,22.003,21.876,22.08,22.075,21.697,21.722,21.685,21.834,21.91,21.873,21.836,21.796,21.82,22.219,22.227,22.377,22.22,22.356,22.371,22.951,22.641,23.216,22.929,22.951,22.855
16,B,True,26.657,27.378,26.965,27.021,26.464,25.859,26.225,27.017,27.38,29.015,26.76,27.519,28.242,33.052,28.953,28.472,29.034,28.85,29.492,30.581,36.999,33.958,34.034,34.036,33.47,34.373,34.865,36.478,35.503,35.02,34.603,36.133,35.013,32.303,32.291,32.657,34.267,39.045,37.954,36.67,38.705,41.199,38.712,40.198,41.982,42.187,47.623,49.302,48.159,48.264,47.838,44.057,20.663,85.595,66.39,86.753,0.0,28.961,0.0,0.0,0.0,120.12,113.25,0.0,0.0,124.24,139.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.8,97.859,97.859,97.859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.47,98.357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,B,False,19.382,19.057,18.586,18.375,18.471,18.709,18.445,18.922,18.802,19.407,18.723,18.892,18.616,18.759,18.964,19.78,19.922,20.027,20.404,20.467,20.98,20.865,20.863,20.937,21.728,21.747,22.237,21.605,21.589,22.428,22.36,22.316,22.994,23.661,23.892,24.411,24.205,23.372,24.402,24.879,25.987,26.234,26.041,25.045,25.651,25.222,25.112,24.774,26.083,25.353,25.725,24.784,26.166,26.659,26.557,26.8,25.922,27.098,27.462,28.432,27.645,27.233,28.004,28.751,28.64,28.127,28.775,28.427,28.916,30.175,29.931,28.816,30.579,29.706,29.495,29.631,30.25,28.875,30.327,30.544,30.476,30.559,30.555,31.634,31.26,30.253,29.366,30.729,30.649,31.373,30.761,31.59,32.164,33.112,32.155,31.971,32.443,32.515,33.275,34.904,31.987,32.973,32.561,32.115,33.169,33.072,32.295,32.949,32.399,31.682,31.664,31.306,31.974,31.176,31.443,31.384,31.995,32.241,31.706
18,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5866,9.355,11.189,9.7542,8.1285,8.6444,8.067,8.3936,8.0967,8.1373,8.092,8.8557,9.2862,8.9196,8.6862,17.937,9.8663,18.128,23.236,20.155,12.513,9.1124,23.631,27.71,27.519,28.793,34.322,33.053,34.107,35.584,33.619,33.858,34.156,32.69,31.899,30.189,30.675,30.324,27.016,26.453,26.948,25.497,24.017,24.287,22.534,21.705,21.346,20.572,20.342,20.436,20.543,20.716,19.517,19.044,19.227,19.186,19.5,19.777,19.489,19.669,19.734,19.657
19,B,True,3.46,3.3884,3.9622,3.2676,3.1741,3.3105,3.7456,3.6533,3.2749,3.1956,3.1489,3.3054,3.8908,3.8985,3.3473,3.1495,3.6184,3.1794,3.7941,3.5982,2.9723,0.0,3.5468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
