,FLARE_TYPE,COINCIDENCE,MEANGBT_1,MEANGBT_2,MEANGBT_3,MEANGBT_4,MEANGBT_5,MEANGBT_6,MEANGBT_7,MEANGBT_8,MEANGBT_9,MEANGBT_10,MEANGBT_11,MEANGBT_12,MEANGBT_13,MEANGBT_14,MEANGBT_15,MEANGBT_16,MEANGBT_17,MEANGBT_18,MEANGBT_19,MEANGBT_20,MEANGBT_21,MEANGBT_22,MEANGBT_23,MEANGBT_24,MEANGBT_25,MEANGBT_26,MEANGBT_27,MEANGBT_28,MEANGBT_29,MEANGBT_30,MEANGBT_31,MEANGBT_32,MEANGBT_33,MEANGBT_34,MEANGBT_35,MEANGBT_36,MEANGBT_37,MEANGBT_38,MEANGBT_39,MEANGBT_40,MEANGBT_41,MEANGBT_42,MEANGBT_43,MEANGBT_44,MEANGBT_45,MEANGBT_46,MEANGBT_47,MEANGBT_48,MEANGBT_49,MEANGBT_50,MEANGBT_51,MEANGBT_52,MEANGBT_53,MEANGBT_54,MEANGBT_55,MEANGBT_56,MEANGBT_57,MEANGBT_58,MEANGBT_59,MEANGBT_60,MEANGBT_61,MEANGBT_62,MEANGBT_63,MEANGBT_64,MEANGBT_65,MEANGBT_66,MEANGBT_67,MEANGBT_68,MEANGBT_69,MEANGBT_70,MEANGBT_71,MEANGBT_72,MEANGBT_73,MEANGBT_74,MEANGBT_75,MEANGBT_76,MEANGBT_77,MEANGBT_78,MEANGBT_79,MEANGBT_80,MEANGBT_81,MEANGBT_82,MEANGBT_83,MEANGBT_84,MEANGBT_85,MEANGBT_86,MEANGBT_87,MEANGBT_88,MEANGBT_89,MEANGBT_90,MEANGBT_91,MEANGBT_92,MEANGBT_93,MEANGBT_94,MEANGBT_95,MEANGBT_96,MEANGBT_97,MEANGBT_98,MEANGBT_99,MEANGBT_100,MEANGBT_101,MEANGBT_102,MEANGBT_103,MEANGBT_104,MEANGBT_105,MEANGBT_106,MEANGBT_107,MEANGBT_108,MEANGBT_109,MEANGBT_110,MEANGBT_111,MEANGBT_112,MEANGBT_113,MEANGBT_114,MEANGBT_115,MEANGBT_116,MEANGBT_117,MEANGBT_118,MEANGBT_119,MEANGBT_120
0,B,False,68.171,69.252,69.281,68.974,68.643,68.34,68.223,67.584,67.457,67.346,67.044,67.957,67.215,66.703,66.251,66.379,66.715,67.486,67.783,68.138,68.587,69.277,68.644,68.585,69.3,67.741,69.472,69.543,68.254,68.746,68.348,67.828,67.138,67.334,66.941,67.572,66.84,67.054,66.437,66.052,66.017,65.585,65.86,65.364,65.569,66.871,66.651,67.016,66.427,66.721,64.889,65.566,65.675,66.202,65.743,65.984,64.909,65.066,65.521,66.309,65.99,66.102,64.885,65.076,65.032,64.808,65.786,65.865,65.519,66.892,65.846,66.918,67.359,67.546,68.019,68.794,68.567,68.575,67.62,66.493,67.68,66.491,65.809,65.9,65.782,65.961,66.191,66.86,65.982,65.749,66.964,66.545,67.12,67.837,66.815,67.536,66.849,66.999,66.131,65.874,65.641,64.976,64.929,66.035,66.04,65.369,65.518,65.758,64.929,64.342,64.182,64.278,65.632,66.39,65.908,65.138,66.048,66.446,66.48,66.364
1,B,False,64.507,65.037,64.714,65.125,64.166,64.532,64.299,65.616,65.65,65.553,65.665,64.466,65.758,64.703,64.791,65.446,65.654,67.015,65.9,65.71,67.013,65.888,66.511,67.075,67.495,68.437,68.163,68.539,68.032,67.919,67.52,66.295,66.049,66.811,66.321,66.483,66.084,66.656,66.584,65.648,65.432,65.479,65.397,65.909,67.55,66.413,65.48,65.626,66.007,65.846,65.526,66.549,66.107,66.352,66.401,66.467,66.951,67.439,68.044,68.969,68.549,68.973,69.174,69.232,68.117,68.845,68.017,68.261,68.123,67.411,68.124,68.594,68.565,69.038,69.06,68.434,69.39,68.664,70.649,71.084,71.035,71.769,72.768,72.294,71.02,70.605,71.295,70.537,70.378,71.229,71.979,70.744,70.48,69.51,68.653,68.614,69.468,69.097,68.312,68.416,69.508,69.345,69.214,69.208,69.21,69.698,69.376,69.19,69.134,70.34,69.648,68.882,68.783,67.965,68.453,68.112,68.195,68.693,68.998,69.16
2,B,True,67.11,66.089,65.902,65.936,66.522,66.799,66.771,66.942,65.826,66.582,66.598,66.906,66.067,66.896,67.127,67.778,67.063,66.881,66.42,66.647,66.512,65.917,66.634,66.789,67.172,66.777,66.038,65.391,66.162,66.077,65.945,66.769,67.71,69.886,68.402,68.454,67.333,67.375,68.263,68.551,68.354,69.367,69.086,69.077,69.186,69.659,69.872,69.694,67.811,68.874,67.935,67.388,66.962,68.038,67.442,68.189,67.484,67.173,67.366,67.245,67.615,67.234,67.749,67.95,67.569,66.736,66.85,66.81,66.353,66.126,66.381,66.883,67.138,66.334,67.329,66.836,66.568,66.18,66.413,65.53,65.318,64.883,65.134,64.627,64.111,64.357,65.391,65.505,64.367,65.57,66.458,65.899,67.219,67.637,67.566,66.655,67.341,68.058,67.485,66.593,68.171,69.252,69.281,68.974,68.643,68.34,68.223,67.584,67.457,67.346,67.044,67.957,67.215,66.703,66.251,66.379,66.715,67.486,67.783,68.138
3,B,False,66.771,66.942,65.826,66.582,66.598,66.906,66.067,66.896,67.127,67.778,67.063,66.881,66.42,66.647,66.512,65.917,66.634,66.789,67.172,66.777,66.038,65.391,66.162,66.077,65.945,66.769,67.71,69.886,68.402,68.454,67.333,67.375,68.263,68.551,68.354,69.367,69.086,69.077,69.186,69.659,69.872,69.694,67.811,68.874,67.935,67.388,66.962,68.038,67.442,68.189,67.484,67.173,67.366,67.245,67.615,67.234,67.749,67.95,67.569,66.736,66.85,66.81,66.353,66.126,66.381,66.883,67.138,66.334,67.329,66.836,66.568,66.18,66.413,65.53,65.318,64.883,65.134,64.627,64.111,64.357,65.391,65.505,64.367,65.57,66.458,65.899,67.219,67.637,67.566,66.655,67.341,68.058,67.485,66.593,68.171,69.252,69.281,68.974,68.643,68.34,68.223,67.584,67.457,67.346,67.044,67.957,67.215,66.703,66.251,66.379,66.715,67.486,67.783,68.138,68.587,69.277,68.644,68.585,69.3,67.741
4,B,False,84.35,82.846,82.158,85.405,85.2,85.495,85.777,86.149,87.251,87.769,86.651,88.957,88.566,87.656,88.57,88.715,89.191,88.73,88.679,90.51,91.076,91.789,93.773,92.677,92.521,91.858,94.278,94.236,92.742,94.074,93.562,95.206,92.103,92.07,91.766,89.949,89.675,89.855,87.631,87.813,90.386,90.047,89.988,90.116,89.343,90.01,90.573,91.284,91.897,91.35,90.377,92.713,91.311,91.63,91.59,90.78,91.517,91.08,91.2,90.355,90.446,88.57,88.114,89.954,89.043,87.93,87.06,86.995,87.438,88.341,89.073,88.061,86.631,86.412,86.452,87.74,88.16,87.52,89.643,89.362,89.188,87.526,87.14,85.984,85.478,85.275,82.72,82.186,81.796,82.106,82.469,81.532,81.187,80.929,81.526,81.757,81.519,80.758,80.835,81.41,81.572,81.602,81.367,79.855,79.966,78.543,78.544,77.344,75.614,77.11,75.601,75.327,76.416,78.238,76.609,77.595,77.978,76.771,77.897,76.223
5,N,False,164.41,178.39,178.34,174.75,166.8,164.69,170.38,171.23,165.29,169.8,173.27,178.12,173.86,175.35,183.25,178.36,182.88,179.36,179.99,185.0,183.14,180.92,185.58,190.12,173.57,171.29,171.04,174.69,173.43,169.76,162.33,165.15,162.75,151.7,148.92,147.09,148.08,145.97,153.97,155.7,159.41,161.23,160.79,161.9,166.79,159.87,162.82,170.81,159.56,160.75,161.86,149.25,154.1,149.79,152.36,149.6,154.96,157.99,147.27,146.54,146.42,144.69,148.02,158.48,155.69,154.17,161.45,163.03,161.19,157.13,155.18,157.51,157.39,156.31,154.14,152.61,149.09,157.81,154.54,148.31,154.9,157.68,168.98,166.15,154.87,166.59,167.36,164.3,175.93,168.65,166.39,177.16,185.61,193.49,187.74,197.2,200.31,180.04,173.77,185.37,178.91,184.68,168.96,168.76,165.06,168.43,156.8,161.17,148.18,161.14,153.95,158.36,152.28,160.6,167.11,164.74,175.86,181.94,186.07,185.74
6,N,False,125.22,123.12,123.72,118.17,117.37,116.84,116.13,113.94,116.49,117.08,117.12,114.82,116.4,112.49,113.09,112.22,113.72,112.68,114.35,113.13,113.55,111.91,112.63,112.83,117.64,114.91,114.88,117.43,112.72,116.27,120.67,122.24,119.42,113.89,112.57,111.95,110.71,110.5,113.97,115.55,113.97,112.72,110.95,110.71,114.01,113.47,109.55,110.88,113.57,112.72,115.34,116.52,115.87,118.61,117.15,121.66,129.41,130.64,133.23,131.85,133.83,131.86,129.02,130.66,131.99,130.07,130.54,127.64,126.33,122.61,126.23,125.86,121.76,124.83,120.66,121.65,121.87,122.75,123.11,121.94,124.25,128.48,133.85,129.06,126.28,129.75,134.26,132.44,134.94,132.17,130.41,133.63,135.8,131.13,130.61,124.04,127.79,122.68,123.09,123.53,127.43,126.57,127.03,127.64,132.44,132.26,131.14,131.69,130.67,129.73,129.43,131.45,132.86,134.63,136.27,137.77,139.43,137.34,143.69,147.27
