,FLARE_TYPE,COINCIDENCE,AREA_ACR_1,AREA_ACR_2,AREA_ACR_3,AREA_ACR_4,AREA_ACR_5,AREA_ACR_6,AREA_ACR_7,AREA_ACR_8,AREA_ACR_9,AREA_ACR_10,AREA_ACR_11,AREA_ACR_12,AREA_ACR_13,AREA_ACR_14,AREA_ACR_15,AREA_ACR_16,AREA_ACR_17,AREA_ACR_18,AREA_ACR_19,AREA_ACR_20,AREA_ACR_21,AREA_ACR_22,AREA_ACR_23,AREA_ACR_24,AREA_ACR_25,AREA_ACR_26,AREA_ACR_27,AREA_ACR_28,AREA_ACR_29,AREA_ACR_30,AREA_ACR_31,AREA_ACR_32,AREA_ACR_33,AREA_ACR_34,AREA_ACR_35,AREA_ACR_36,AREA_ACR_37,AREA_ACR_38,AREA_ACR_39,AREA_ACR_40,AREA_ACR_41,AREA_ACR_42,AREA_ACR_43,AREA_ACR_44,AREA_ACR_45,AREA_ACR_46,AREA_ACR_47,AREA_ACR_48,AREA_ACR_49,AREA_ACR_50,AREA_ACR_51,AREA_ACR_52,AREA_ACR_53,AREA_ACR_54,AREA_ACR_55,AREA_ACR_56,AREA_ACR_57,AREA_ACR_58,AREA_ACR_59,AREA_ACR_60,AREA_ACR_61,AREA_ACR_62,AREA_ACR_63,AREA_ACR_64,AREA_ACR_65,AREA_ACR_66,AREA_ACR_67,AREA_ACR_68,AREA_ACR_69,AREA_ACR_70,AREA_ACR_71,AREA_ACR_72,AREA_ACR_73,AREA_ACR_74,AREA_ACR_75,AREA_ACR_76,AREA_ACR_77,AREA_ACR_78,AREA_ACR_79,AREA_ACR_80,AREA_ACR_81,AREA_ACR_82,AREA_ACR_83,AREA_ACR_84,AREA_ACR_85,AREA_ACR_86,AREA_ACR_87,AREA_ACR_88,AREA_ACR_89,AREA_ACR_90,AREA_ACR_91,AREA_ACR_92,AREA_ACR_93,AREA_ACR_94,AREA_ACR_95,AREA_ACR_96,AREA_ACR_97,AREA_ACR_98,AREA_ACR_99,AREA_ACR_100,AREA_ACR_101,AREA_ACR_102,AREA_ACR_103,AREA_ACR_104,AREA_ACR_105,AREA_ACR_106,AREA_ACR_107,AREA_ACR_108,AREA_ACR_109,AREA_ACR_110,AREA_ACR_111,AREA_ACR_112,AREA_ACR_113,AREA_ACR_114,AREA_ACR_115,AREA_ACR_116,AREA_ACR_117,AREA_ACR_118,AREA_ACR_119,AREA_ACR_120
0,B,False,193.31,190.5,195.3,190.3,190.27,188.51,188.84,188.79,187.63,189.02,190.63,187.67,190.59,190.34,186.95,182.69,185.12,186.21,182.66,182.75,183.25,180.19,183.34,178.65,176.31,176.98,173.71,176.33,177.86,172.19,169.76,171.37,172.19,168.2,165.05,169.36,169.08,167.51,168.8,169.6,175.45,175.13,177.65,178.26,182.79,183.48,180.63,183.63,186.01,183.43,186.13,187.48,189.64,187.43,187.89,188.3,189.74,190.85,189.33,193.19,197.94,198.56,195.71,194.92,197.26,199.84,200.32,197.76,206.44,201.86,206.19,205.19,206.39,202.1,201.35,201.22,203.89,205.69,206.97,204.8,206.08,207.63,206.06,206.68,204.26,201.47,200.05,203.3,202.56,202.19,200.93,200.22,199.65,198.26,200.92,202.67,200.67,202.19,201.48,201.51,203.1,197.99,200.21,198.29,194.77,197.4,193.83,194.37,192.32,192.43,193.4,197.33,199.89,195.69,198.12,199.88,203.9,200.27,200.27,201.97
1,B,False,203.15,204.8,204.19,207.99,206.92,203.19,205.03,200.91,202.14,207.68,206.03,204.56,199.84,202.25,204.77,205.66,204.63,204.83,202.89,203.21,204.74,207.4,207.75,208.9,209.11,207.87,207.29,206.59,201.51,205.85,211.91,211.66,210.32,206.59,204.03,201.4,202.9,204.05,205.95,205.48,202.35,201.49,201.25,201.11,198.68,196.43,191.93,192.37,192.01,193.88,194.7,198.62,200.32,199.37,198.81,199.59,202.33,204.93,204.51,203.13,205.8,201.34,198.73,201.28,204.06,204.32,202.71,208.51,210.51,206.79,202.69,204.26,210.01,209.26,204.84,208.39,212.69,216.12,212.91,218.39,216.48,220.89,216.24,218.95,220.73,219.44,216.94,220.09,218.8,221.07,220.89,219.31,223.6,219.7,222.26,216.73,215.25,218.62,221.09,222.47,220.94,219.45,224.48,222.85,221.67,223.67,223.91,224.23,225.59,227.25,223.93,218.0,215.26,221.46,213.87,217.88,213.58,213.05,212.14,212.0
2,B,True,197.51,191.3,194.25,191.88,192.06,188.59,187.09,188.05,188.96,191.62,191.44,186.62,185.53,185.18,187.23,182.36,185.32,183.27,186.69,186.67,186.06,189.32,188.93,192.3,192.31,194.76,197.34,192.9,193.49,197.17,200.98,200.99,203.14,202.2,203.31,204.95,205.18,202.11,202.54,201.95,200.98,199.68,198.89,200.69,202.68,203.65,201.37,199.06,201.35,204.22,204.81,203.91,201.4,204.77,203.44,200.56,196.85,198.21,199.02,200.12,200.53,203.2,202.63,198.96,200.06,202.86,196.45,195.52,196.93,197.35,202.88,201.08,202.86,201.29,199.63,202.36,200.35,197.5,201.64,196.31,196.63,197.44,198.42,195.31,195.74,192.91,197.34,195.03,196.37,197.48,197.83,195.54,195.95,192.63,195.07,198.03,193.75,194.64,191.8,192.38,193.31,190.5,195.3,190.3,190.27,188.51,188.84,188.79,187.63,189.02,190.63,187.67,190.59,190.34,186.95,182.69,185.12,186.21,182.66,182.75
3,B,False,187.09,188.05,188.96,191.62,191.44,186.62,185.53,185.18,187.23,182.36,185.32,183.27,186.69,186.67,186.06,189.32,188.93,192.3,192.31,194.76,197.34,192.9,193.49,197.17,200.98,200.99,203.14,202.2,203.31,204.95,205.18,202.11,202.54,201.95,200.98,199.68,198.89,200.69,202.68,203.65,201.37,199.06,201.35,204.22,204.81,203.91,201.4,204.77,203.44,200.56,196.85,198.21,199.02,200.12,200.53,203.2,202.63,198.96,200.06,202.86,196.45,195.52,196.93,197.35,202.88,201.08,202.86,201.29,199.63,202.36,200.35,197.5,201.64,196.31,196.63,197.44,198.42,195.31,195.74,192.91,197.34,195.03,196.37,197.48,197.83,195.54,195.95,192.63,195.07,198.03,193.75,194.64,191.8,192.38,193.31,190.5,195.3,190.3,190.27,188.51,188.84,188.79,187.63,189.02,190.63,187.67,190.59,190.34,186.95,182.69,185.12,186.21,182.66,182.75,183.25,180.19,183.34,178.65,176.31,176.98
4,B,False,285.96,286.34,289.81,294.72,291.31,292.02,297.48,299.46,303.07,305.71,309.91,308.35,309.3,309.13,307.43,308.99,304.94,308.41,308.06,311.31,312.8,312.16,310.69,309.41,311.5,309.31,307.4,305.98,307.09,307.09,307.7,308.39,306.71,303.85,303.47,302.16,299.26,299.45,298.22,294.65,296.84,301.39,299.35,297.57,298.34,299.67,299.37,302.99,300.15,297.81,293.46,299.63,298.11,301.35,301.2,298.26,297.07,298.17,298.04,299.86,300.2,298.53,299.89,301.58,300.52,301.66,299.22,300.13,298.82,298.24,296.78,298.27,300.41,300.87,303.9,304.89,308.0,304.14,304.6,298.98,298.4,294.56,294.97,297.88,294.82,291.58,296.49,294.56,293.86,296.96,294.53,301.53,300.62,297.23,293.75,289.37,288.02,286.87,286.9,288.77,286.79,287.58,288.55,286.26,286.01,284.55,283.39,283.26,287.11,281.42,283.24,282.93,279.9,278.53,277.32,278.16,277.51,272.27,268.8,271.31
5,N,False,36.834,36.245,36.26,35.349,36.901,37.052,36.972,36.432,35.61,36.046,36.294,36.167,36.136,35.359,37.012,36.751,35.556,36.083,35.304,35.751,36.233,36.109,35.892,35.769,34.989,35.145,34.221,33.397,32.004,33.143,33.584,32.617,33.295,33.122,32.668,32.267,31.2,31.124,29.77,29.502,29.044,28.355,27.66,27.11,28.217,26.669,26.873,26.802,27.287,27.968,26.744,25.662,25.713,25.626,26.121,25.285,24.498,24.511,24.477,25.22,25.328,23.851,23.388,24.317,24.574,24.789,24.081,24.003,23.105,22.244,22.363,21.797,21.661,23.127,22.757,23.545,22.93,23.526,22.711,22.437,21.192,21.689,22.096,22.215,21.349,22.584,22.113,23.057,22.627,22.256,21.887,21.715,20.996,20.968,20.689,20.362,19.344,18.072,17.347,15.978,16.824,16.701,16.516,16.825,17.381,16.752,15.727,15.685,14.908,15.519,15.623,15.983,14.852,15.965,14.829,14.804,14.159,14.174,13.633,14.149
6,N,False,66.379,66.426,65.445,66.546,66.581,64.655,64.292,64.552,64.811,68.051,67.654,67.635,67.624,65.687,65.488,66.686,66.531,68.87,68.281,67.786,66.82,67.987,67.561,66.836,66.984,66.528,66.484,67.078,68.578,65.975,66.455,65.298,63.498,65.279,67.355,66.124,67.454,69.636,68.916,67.646,68.615,70.085,72.017,73.863,74.113,74.067,76.413,75.287,75.801,76.964,73.579,76.307,76.998,75.416,76.305,77.445,77.366,75.44,77.045,74.942,72.687,74.294,75.552,77.395,77.396,78.103,80.988,79.619,79.857,80.181,80.703,81.118,79.983,78.288,80.427,80.843,81.926,81.329,81.432,78.489,77.816,76.302,77.834,79.062,78.005,76.865,78.28,76.726,76.894,79.573,80.183,80.465,81.712,83.438,82.13,84.375,85.186,86.504,87.966,87.526,86.221,87.144,90.038,89.805,89.155,88.165,88.18,85.958,84.46,87.08,87.162,89.289,88.128,88.931,88.447,88.314,89.42,89.343,88.146,87.285
