,FLARE_TYPE,COINCIDENCE,MEANGBZ_1,MEANGBZ_2,MEANGBZ_3,MEANGBZ_4,MEANGBZ_5,MEANGBZ_6,MEANGBZ_7,MEANGBZ_8,MEANGBZ_9,MEANGBZ_10,MEANGBZ_11,MEANGBZ_12,MEANGBZ_13,MEANGBZ_14,MEANGBZ_15,MEANGBZ_16,MEANGBZ_17,MEANGBZ_18,MEANGBZ_19,MEANGBZ_20,MEANGBZ_21,MEANGBZ_22,MEANGBZ_23,MEANGBZ_24,MEANGBZ_25,MEANGBZ_26,MEANGBZ_27,MEANGBZ_28,MEANGBZ_29,MEANGBZ_30,MEANGBZ_31,MEANGBZ_32,MEANGBZ_33,MEANGBZ_34,MEANGBZ_35,MEANGBZ_36,MEANGBZ_37,MEANGBZ_38,MEANGBZ_39,MEANGBZ_40,MEANGBZ_41,MEANGBZ_42,MEANGBZ_43,MEANGBZ_44,MEANGBZ_45,MEANGBZ_46,MEANGBZ_47,MEANGBZ_48,MEANGBZ_49,MEANGBZ_50,MEANGBZ_51,MEANGBZ_52,MEANGBZ_53,MEANGBZ_54,MEANGBZ_55,MEANGBZ_56,MEANGBZ_57,MEANGBZ_58,MEANGBZ_59,MEANGBZ_60,MEANGBZ_61,MEANGBZ_62,MEANGBZ_63,MEANGBZ_64,MEANGBZ_65,MEANGBZ_66,MEANGBZ_67,MEANGBZ_68,MEANGBZ_69,MEANGBZ_70,MEANGBZ_71,MEANGBZ_72,MEANGBZ_73,MEANGBZ_74,MEANGBZ_75,MEANGBZ_76,MEANGBZ_77,MEANGBZ_78,MEANGBZ_79,MEANGBZ_80,MEANGBZ_81,MEANGBZ_82,MEANGBZ_83,MEANGBZ_84,MEANGBZ_85,MEANGBZ_86,MEANGBZ_87,MEANGBZ_88,MEANGBZ_89,MEANGBZ_90,MEANGBZ_91,MEANGBZ_92,MEANGBZ_93,MEANGBZ_94,MEANGBZ_95,MEANGBZ_96,MEANGBZ_97,MEANGBZ_98,MEANGBZ_99,MEANGBZ_100,MEANGBZ_101,MEANGBZ_102,MEANGBZ_103,MEANGBZ_104,MEANGBZ_105,MEANGBZ_106,MEANGBZ_107,MEANGBZ_108,MEANGBZ_109,MEANGBZ_110,MEANGBZ_111,MEANGBZ_112,MEANGBZ_113,MEANGBZ_114,MEANGBZ_115,MEANGBZ_116,MEANGBZ_117,MEANGBZ_118
1672,N,False,132.33,132.29,133.81,131.2,132.63,132.22,131.22,134.65,134.49,134.62,133.37,130.94,130.75,132.23,130.51,130.31,127.28,127.74,128.02,125.84,126.77,129.24,125.73,125.32,120.27,119.38,118.77,118.62,118.17,119.54,119.6,120.05,119.95,120.64,125.29,127.39,126.73,127.89,130.98,130.64,132.45,110.38,137.23,139.61,136.57,134.61,134.32,127.14,127.15,124.3,125.58,125.54,124.28,124.03,126.42,127.47,127.12,126.62,125.17,130.52,133.71,133.51,134.7,137.81,138.63,138.97,141.26,142.02,142.29,145.43,147.43,148.43,144.57,144.05,145.55,144.97,148.7,148.05,150.57,150.89,147.42,148.27,147.7,147.41,146.41,146.8,151.36,150.97,150.7,146.63,147.52,146.03,143.98,143.86,143.58,140.24,135.62,139.63,138.71,138.75,135.98,136.35,137.43,139.93,137.88,142.72,144.32,145.08,143.89,145.85,144.15,142.17,141.52,138.78,139.38,143.55,141.87,140.01
1673,N,False,139.93,137.73,136.24,136.22,134.33,134.33,127.24,127.09,127.6,128.2,127.69,127.97,128.04,131.57,133.14,132.09,128.12,124.78,123.53,121.37,119.75,122.32,124.35,124.91,124.17,124.56,126.65,127.34,129.51,127.3,131.14,128.54,126.58,126.0,128.28,127.95,132.9,131.91,131.76,134.11,135.41,133.25,136.33,138.37,138.42,138.49,136.62,136.25,132.9,134.04,132.3,130.1,128.74,127.72,126.95,128.2,130.91,129.59,130.13,132.67,133.41,135.39,135.64,134.45,134.16,132.32,133.81,136.21,138.09,137.78,136.32,138.09,140.99,138.85,135.71,136.35,135.69,137.53,135.74,133.18,130.83,134.95,136.06,132.3,131.42,130.83,128.86,131.28,131.79,130.77,130.7,131.56,133.78,131.78,129.17,129.34,128.93,128.24,126.02,126.66,127.0,126.53,124.96,124.06,122.57,124.03,124.09,127.95,126.64,126.82,127.11,128.01,129.66,130.01,130.29,130.6,129.67,132.78
1674,N,False,123.72,123.5,124.62,123.81,123.61,121.4,120.14,122.53,117.47,120.61,119.6,117.3,118.4,116.33,112.93,112.45,115.74,117.52,116.76,118.23,118.59,123.97,124.92,124.62,127.62,130.09,130.58,131.91,131.71,133.56,133.22,132.39,130.26,130.1,125.25,125.06,126.03,124.37,127.27,123.45,123.18,121.1,121.13,120.11,120.2,119.52,117.13,120.63,123.76,123.66,121.83,121.45,117.45,120.17,118.02,116.69,116.8,117.7,115.96,117.31,120.27,119.79,120.61,117.66,121.6,126.06,129.1,128.29,125.64,126.85,126.05,129.78,124.4,121.94,121.8,122.2,120.68,120.0,118.81,113.56,110.36,107.3,109.86,110.1,111.88,112.63,112.56,110.62,111.54,116.38,115.32,113.08,115.62,117.38,115.73,116.16,113.36,115.04,114.84,120.15,121.56,121.2,118.54,118.6,118.44,115.07,113.73,114.59,114.17,116.28,118.66,117.9,114.22,120.07,116.69,117.74,114.98,115.87
1675,N,False,95.691,95.151,94.125,93.356,92.762,91.329,91.472,91.402,90.755,93.088,92.954,93.558,94.581,94.923,94.952,93.303,93.274,93.791,93.677,94.68,95.734,96.357,96.223,96.365,96.416,96.441,96.682,97.694,98.537,98.098,97.373,96.202,95.08,94.647,94.508,94.301,92.929,92.235,91.629,91.231,91.235,92.152,92.862,91.575,91.288,91.575,92.67,92.455,93.303,93.093,94.452,94.028,92.804,92.363,92.589,92.187,92.795,91.537,91.736,92.499,91.927,91.912,91.223,91.688,92.239,92.055,91.717,90.942,92.333,92.03,93.736,94.342,95.453,95.966,95.246,94.821,93.918,91.679,90.89,89.237,89.717,89.069,87.996,88.354,88.029,88.713,87.592,87.126,87.935,86.863,84.926,86.331,85.994,86.032,86.319,86.151,86.945,87.141,86.956,87.309,88.417,88.146,88.83,88.991,89.576,88.814,89.073,89.296,90.766,91.354,90.892,89.537,89.772,91.137,89.306,90.305,87.776,89.388
1676,N,False,145.31,148.19,153.88,152.51,152.8,155.23,151.36,156.83,160.44,161.3,162.05,162.15,167.12,167.53,164.44,164.62,169.55,164.67,166.55,159.35,155.47,150.77,151.6,155.2,151.84,151.15,153.21,153.77,148.28,153.53,153.65,151.55,152.72,150.86,150.47,150.39,155.77,156.98,159.54,157.84,155.48,157.66,157.17,157.44,161.14,156.72,153.46,148.54,151.29,154.94,152.68,153.46,157.58,154.76,155.21,153.36,155.4,153.87,150.96,146.98,149.76,151.08,148.95,146.3,149.28,151.52,149.96,153.73,158.18,159.82,159.68,163.06,163.58,162.19,164.91,167.69,169.48,168.54,165.25,162.72,162.2,158.99,156.53,158.19,155.06,150.96,151.19,151.64,149.72,152.09,152.39,150.89,150.45,148.94,145.81,148.01,153.26,150.91,150.81,146.9,149.32,146.2,138.93,142.85,137.06,134.03,127.27,126.35,128.87,129.0,128.2,129.2,125.87,124.08,124.81,126.18,126.22,125.55
1677,N,False,159.21,161.63,153.75,150.37,153.74,155.17,150.94,144.89,144.8,145.92,139.33,137.25,139.95,134.91,140.61,141.18,140.17,139.48,146.41,142.65,136.62,144.66,144.28,144.71,143.67,142.53,145.14,140.3,137.4,138.94,139.17,140.48,143.76,139.8,137.24,137.58,138.27,138.37,135.63,137.24,138.84,135.48,137.41,138.07,138.43,144.56,144.06,143.6,140.29,141.46,142.0,142.78,143.0,145.18,144.63,142.29,141.04,143.13,139.6,140.48,139.47,137.8,134.95,134.71,135.47,138.01,134.7,133.1,132.59,133.51,133.16,131.76,127.49,125.77,128.51,125.38,128.15,124.7,123.27,122.73,124.55,125.63,124.65,124.83,128.67,110.37,133.88,134.34,134.87,136.18,135.59,137.92,135.99,132.92,132.17,131.68,129.11,129.26,127.84,126.77,123.15,122.73,122.75,119.82,117.74,117.73,118.38,115.37,118.42,118.89,120.18,123.03,122.06,123.91,122.98,119.43,120.28,121.44
1678,N,False,140.32,141.05,145.5,141.16,139.1,134.51,136.95,147.42,150.35,150.01,145.18,152.97,153.63,139.71,144.89,141.25,138.4,138.67,134.08,130.76,122.16,125.73,129.49,127.31,128.69,133.69,136.88,136.85,139.67,138.46,136.57,137.56,140.48,136.41,134.29,130.59,125.78,129.0,126.0,127.48,128.2,129.68,130.23,132.09,134.34,131.2,129.31,130.48,128.66,128.44,128.31,130.13,129.48,131.89,129.15,128.97,131.15,131.34,129.94,128.4,127.06,130.56,131.09,128.74,127.37,128.07,126.18,126.66,130.23,135.26,137.69,135.16,137.12,134.65,135.97,134.12,132.68,129.95,127.09,127.41,123.23,120.39,120.95,123.88,121.35,119.34,122.77,116.96,116.7,117.77,118.09,115.93,118.26,119.34,121.33,121.1,119.21,124.47,119.24,121.83,117.96,119.24,120.57,120.96,118.38,118.69,119.15,118.13,120.25,121.71,119.31,118.28,120.48,124.96,124.99,126.36,128.86,130.83
1679,N,False,152.15,152.13,156.31,153.1,151.92,152.75,150.9,157.3,154.16,153.64,156.13,156.14,151.9,151.26,154.81,159.77,158.7,155.86,161.42,153.92,157.38,151.89,156.05,151.11,144.85,148.04,157.94,155.17,150.36,155.46,155.06,152.82,152.61,153.13,150.67,155.59,152.91,151.01,151.18,152.69,158.08,154.53,151.52,154.16,154.98,155.95,152.59,150.53,149.74,153.37,156.8,156.9,158.41,153.78,148.79,159.27,158.68,159.75,155.02,155.75,160.14,158.6,155.73,154.44,148.17,141.53,142.62,133.43,122.51,134.09,136.02,130.59,121.01,124.79,120.76,116.99,116.48,120.18,114.41,120.0,120.91,125.98,124.73,127.89,129.27,130.93,128.28,133.67,135.15,127.62,125.91,131.05,132.46,131.33,130.33,136.66,139.27,147.3,142.97,142.69,145.48,141.62,138.88,134.75,137.05,132.34,131.27,127.66,125.47,127.24,124.43,123.38,128.46,128.95,128.39,128.6,125.41,126.47
1680,N,False,126.24,127.37,127.71,127.83,129.44,129.36,128.47,128.8,128.93,128.7,129.74,128.98,127.81,131.9,131.15,134.51,133.5,135.62,133.24,134.19,137.66,139.71,141.2,140.53,144.06,140.56,139.34,140.18,136.77,135.91,135.5,137.08,133.01,133.81,135.63,135.75,133.82,135.72,133.99,134.16,133.88,136.37,136.71,137.24,137.37,135.92,137.17,138.12,137.83,139.45,140.55,140.53,139.72,140.47,137.25,139.79,139.14,138.62,142.1,142.88,143.65,145.07,144.15,145.39,143.98,146.43,148.73,147.42,145.69,147.54,146.75,145.2,142.18,142.02,140.06,139.77,137.52,136.46,133.73,134.6,135.38,135.18,133.87,134.04,135.85,136.71,136.6,136.18,136.22,137.29,136.34,138.85,139.74,140.89,141.86,141.65,140.56,137.94,137.09,136.3,137.51,134.34,132.82,133.28,134.29,135.81,134.07,134.7,135.53,133.52,134.72,131.05,129.24,130.95,130.99,130.79,130.4,131.59
1681,N,False,106.6,106.63,106.67,106.92,106.92,106.52,106.51,107.26,107.23,106.83,107.42,107.92,107.91,107.67,107.53,107.22,106.65,106.05,105.89,105.71,105.94,105.59,105.11,105.75,105.04,105.16,104.63,104.69,104.47,104.45,104.57,104.35,104.19,103.51,103.87,103.39,104.27,104.56,105.38,106.23,106.26,106.69,107.61,108.08,108.52,109.75,110.38,110.66,109.94,109.88,110.14,109.17,108.45,107.36,107.3,107.28,107.43,106.44,107.06,105.86,105.81,105.87,106.21,105.86,105.91,105.67,105.33,104.5,104.51,104.1,104.99,105.41,106.01,105.29,105.84,106.19,106.47,106.63,106.31,106.57,107.09,106.67,106.48,106.03,106.4,106.57,106.66,106.14,106.02,106.06,105.75,105.82,106.09,106.51,106.72,107.24,107.5,107.75,107.74,108.95,110.55,110.79,110.64,111.46,111.14,111.56,110.57,109.67,108.98,109.15,108.14,107.63,107.61,106.82,107.02,106.08,106.08,105.89
1682,N,False,133.22,133.68,137.39,135.67,137.61,139.5,133.31,132.04,132.07,132.71,133.92,133.73,134.54,138.75,136.46,141.15,141.25,139.99,137.67,136.58,139.94,142.49,139.46,134.36,130.83,131.75,134.29,137.56,137.5,136.86,135.36,139.64,137.33,132.57,133.38,130.58,126.16,125.85,126.01,127.18,122.87,121.58,124.54,122.33,122.89,121.56,120.93,121.7,123.64,125.96,123.07,123.58,127.49,129.37,127.29,129.09,127.31,130.41,128.81,127.34,124.19,124.64,126.99,124.66,123.32,125.75,127.48,126.9,127.73,128.55,128.97,123.13,123.9,123.66,126.8,128.23,124.25,124.13,120.65,122.13,123.74,123.55,126.58,122.07,123.57,123.35,123.52,119.58,121.62,119.53,121.59,122.31,117.93,117.86,116.44,116.68,117.21,117.0,117.71,117.24,118.45,118.52,118.27,120.58,117.82,120.98,121.63,123.42,127.81,126.58,126.84,127.32,127.95,127.8,128.77,131.09,129.36,127.85
1683,N,False,115.18,116.63,113.98,114.4,115.08,115.84,116.54,115.49,115.91,113.02,111.9,114.39,113.84,113.32,114.31,114.46,114.64,113.9,114.47,114.01,114.32,113.76,114.04,113.19,113.17,114.09,114.52,110.85,110.61,110.04,108.68,108.33,109.5,109.72,110.7,110.36,110.61,109.12,110.0,111.39,112.56,113.36,112.84,114.37,115.32,115.4,115.56,117.03,115.32,116.37,116.45,117.32,116.12,117.74,118.09,116.75,116.96,117.42,115.83,115.2,112.64,113.47,113.55,114.0,114.24,113.25,114.08,114.74,113.69,114.24,114.69,114.28,113.07,113.77,114.76,114.76,114.81,113.54,114.69,114.73,115.1,116.23,116.6,115.22,114.03,113.43,112.64,112.63,111.99,111.84,111.28,112.0,111.47,111.09,110.25,109.36,108.39,107.17,106.98,106.16,107.76,106.84,106.88,106.7,107.91,108.13,109.94,109.72,109.82,109.44,109.34,109.41,109.62,108.59,110.36,110.42,110.87,110.55
1684,N,False,132.75,133.48,136.1,136.01,137.77,138.64,140.59,139.13,137.53,138.47,142.71,140.35,137.58,138.07,135.16,133.32,133.08,130.42,130.26,128.2,127.67,128.97,130.02,127.27,129.32,132.32,132.14,132.63,131.5,131.52,132.76,135.56,134.11,133.41,134.64,132.79,133.37,135.28,135.32,135.04,137.4,139.21,138.09,139.28,138.54,137.54,138.38,136.81,135.65,134.54,133.5,132.83,133.56,134.01,133.23,132.15,132.06,134.79,134.06,133.41,133.11,132.12,134.01,133.65,134.43,134.36,134.9,136.34,135.9,137.28,140.89,142.66,142.36,143.0,143.92,146.21,146.92,145.81,145.14,146.36,145.24,145.28,143.07,142.52,139.22,140.06,139.3,138.32,137.51,138.73,138.65,137.55,137.03,137.92,136.86,135.42,135.66,135.18,134.26,135.07,137.71,135.06,135.14,134.46,136.31,135.71,136.38,135.61,136.93,138.4,139.69,140.51,142.11,140.92,141.02,141.14,143.29,142.33
1685,N,False,125.85,128.74,129.58,130.4,130.14,130.62,127.93,128.46,127.71,129.2,128.71,131.83,132.07,133.34,129.6,132.44,134.07,131.65,129.95,127.34,125.69,123.23,120.72,123.12,124.58,123.6,123.35,122.55,120.8,123.39,124.07,120.7,118.69,116.12,116.96,114.4,110.84,110.53,108.01,108.29,108.19,105.26,99.756,99.112,107.85,108.43,109.25,109.63,111.16,112.36,112.95,111.65,111.1,110.87,111.64,114.38,111.79,113.85,112.72,110.99,110.93,107.37,108.02,105.59,106.16,103.06,103.87,103.1,103.12,104.9,103.99,104.79,102.1,103.14,101.74,104.04,102.32,103.22,103.66,103.56,105.16,100.52,103.6,102.55,105.43,107.61,108.72,110.06,108.38,107.33,105.29,104.04,102.64,99.293,98.876,97.173,99.311,98.056,96.368,94.262,93.164,93.956,93.147,95.799,94.737,94.985,93.794,94.933,95.628,96.82,97.521,96.599,98.384,99.653,98.48,96.822,97.039,99.585
