,FLARE_TYPE,COINCIDENCE,MEANGAM_1,MEANGAM_2,MEANGAM_3,MEANGAM_4,MEANGAM_5,MEANGAM_6,MEANGAM_7,MEANGAM_8,MEANGAM_9,MEANGAM_10,MEANGAM_11,MEANGAM_12,MEANGAM_13,MEANGAM_14,MEANGAM_15,MEANGAM_16,MEANGAM_17,MEANGAM_18,MEANGAM_19,MEANGAM_20,MEANGAM_21,MEANGAM_22,MEANGAM_23,MEANGAM_24,MEANGAM_25,MEANGAM_26,MEANGAM_27,MEANGAM_28,MEANGAM_29,MEANGAM_30,MEANGAM_31,MEANGAM_32,MEANGAM_33,MEANGAM_34,MEANGAM_35,MEANGAM_36,MEANGAM_37,MEANGAM_38,MEANGAM_39,MEANGAM_40,MEANGAM_41,MEANGAM_42,MEANGAM_43,MEANGAM_44,MEANGAM_45,MEANGAM_46,MEANGAM_47,MEANGAM_48,MEANGAM_49,MEANGAM_50,MEANGAM_51,MEANGAM_52,MEANGAM_53,MEANGAM_54,MEANGAM_55,MEANGAM_56,MEANGAM_57,MEANGAM_58,MEANGAM_59,MEANGAM_60,MEANGAM_61,MEANGAM_62,MEANGAM_63,MEANGAM_64,MEANGAM_65,MEANGAM_66,MEANGAM_67,MEANGAM_68,MEANGAM_69,MEANGAM_70,MEANGAM_71,MEANGAM_72,MEANGAM_73,MEANGAM_74,MEANGAM_75,MEANGAM_76,MEANGAM_77,MEANGAM_78,MEANGAM_79,MEANGAM_80,MEANGAM_81,MEANGAM_82,MEANGAM_83,MEANGAM_84,MEANGAM_85,MEANGAM_86,MEANGAM_87,MEANGAM_88,MEANGAM_89,MEANGAM_90,MEANGAM_91,MEANGAM_92,MEANGAM_93,MEANGAM_94,MEANGAM_95,MEANGAM_96,MEANGAM_97,MEANGAM_98,MEANGAM_99,MEANGAM_100,MEANGAM_101,MEANGAM_102,MEANGAM_103,MEANGAM_104,MEANGAM_105,MEANGAM_106,MEANGAM_107,MEANGAM_108,MEANGAM_109,MEANGAM_110,MEANGAM_111,MEANGAM_112,MEANGAM_113,MEANGAM_114,MEANGAM_115,MEANGAM_116,MEANGAM_117,MEANGAM_118,MEANGAM_119,MEANGAM_120
0,B,False,60.948,60.666,60.851,60.943,60.876,61.397,60.828,60.863,60.781,60.765,60.722,60.402,60.518,60.524,60.622,60.575,60.372,60.519,60.554,60.598,60.664,60.471,60.728,60.545,60.295,61.176,60.423,60.216,60.502,60.293,61.108,61.341,61.271,61.321,61.536,61.787,61.918,62.213,61.963,61.957,62.363,62.229,62.039,62.113,62.035,61.744,61.245,61.501,62.085,61.612,61.379,61.246,61.395,60.67,60.55,60.971,61.753,61.578,60.966,60.809,61.174,60.808,61.324,61.335,61.562,61.656,61.324,61.004,61.736,61.841,61.333,61.211,61.299,61.197,61.203,60.198,60.72,60.283,60.494,60.71,60.626,60.537,60.763,60.771,60.443,60.817,60.508,60.549,60.75,60.875,60.376,60.31,60.254,60.372,60.686,60.247,60.455,60.365,60.096,60.274,60.886,61.123,60.861,60.527,60.67,60.66,60.739,61.073,60.848,60.775,60.712,61.037,60.63,60.829,60.675,60.981,60.617,60.856,60.577,60.572
1,B,False,59.702,59.874,59.563,59.767,60.219,60.058,60.132,59.674,59.828,60.012,60.459,60.32,60.061,60.238,60.184,60.0,59.764,59.394,59.609,59.952,59.578,59.679,59.717,59.624,59.242,58.818,59.191,58.971,58.93,59.023,58.996,59.338,59.356,59.323,59.408,59.487,59.697,59.422,59.466,59.79,59.482,59.268,59.53,59.482,59.053,59.345,59.616,59.727,59.579,59.625,59.829,59.956,59.877,60.032,60.097,59.834,59.875,59.453,59.737,59.566,59.766,59.993,59.55,59.968,60.223,60.011,60.047,60.002,60.225,59.952,59.998,60.225,60.445,60.155,60.043,60.103,59.536,60.245,59.915,59.93,60.18,59.821,59.748,59.777,59.948,60.119,59.893,59.851,60.07,59.602,59.311,59.515,59.32,59.451,59.789,59.863,59.909,60.054,60.085,59.996,59.714,60.049,60.219,60.007,59.81,59.579,59.874,59.754,59.939,59.784,59.592,59.913,59.933,60.017,59.762,60.007,60.08,59.967,60.081,60.064
2,B,True,61.69,61.729,61.667,61.942,62.364,62.297,62.374,62.048,62.432,62.26,62.463,62.338,62.406,62.119,62.108,62.349,62.492,62.236,62.152,61.774,61.852,61.875,61.636,61.248,61.114,61.427,61.468,61.343,61.206,61.106,61.189,61.038,61.258,60.796,61.014,60.916,61.043,61.387,61.121,61.247,61.409,61.242,61.418,60.843,60.98,61.366,61.107,61.339,61.94,61.478,61.789,61.857,61.988,61.25,61.981,61.644,61.638,61.694,61.793,61.731,61.58,62.101,61.489,61.539,61.463,61.36,61.67,61.844,61.861,62.039,62.251,61.985,61.98,62.274,62.061,62.15,62.212,62.279,62.304,62.508,62.426,62.619,62.487,62.533,62.136,62.318,62.16,62.079,62.144,61.93,61.616,61.545,61.565,61.552,61.438,61.853,61.522,61.384,61.367,61.345,60.948,60.666,60.851,60.943,60.876,61.397,60.828,60.863,60.781,60.765,60.722,60.402,60.518,60.524,60.622,60.575,60.372,60.519,60.554,60.598
3,B,False,62.374,62.048,62.432,62.26,62.463,62.338,62.406,62.119,62.108,62.349,62.492,62.236,62.152,61.774,61.852,61.875,61.636,61.248,61.114,61.427,61.468,61.343,61.206,61.106,61.189,61.038,61.258,60.796,61.014,60.916,61.043,61.387,61.121,61.247,61.409,61.242,61.418,60.843,60.98,61.366,61.107,61.339,61.94,61.478,61.789,61.857,61.988,61.25,61.981,61.644,61.638,61.694,61.793,61.731,61.58,62.101,61.489,61.539,61.463,61.36,61.67,61.844,61.861,62.039,62.251,61.985,61.98,62.274,62.061,62.15,62.212,62.279,62.304,62.508,62.426,62.619,62.487,62.533,62.136,62.318,62.16,62.079,62.144,61.93,61.616,61.545,61.565,61.552,61.438,61.853,61.522,61.384,61.367,61.345,60.948,60.666,60.851,60.943,60.876,61.397,60.828,60.863,60.781,60.765,60.722,60.402,60.518,60.524,60.622,60.575,60.372,60.519,60.554,60.598,60.664,60.471,60.728,60.545,60.295,61.176
4,B,False,58.367,58.988,59.307,58.352,58.246,58.71,58.352,58.457,57.89,58.119,58.346,57.45,57.968,58.607,58.497,58.626,58.448,58.545,58.768,58.515,58.365,58.273,57.745,58.076,57.767,58.418,57.882,57.344,57.694,57.399,57.415,56.752,57.339,57.637,57.766,57.621,57.619,57.971,58.318,58.849,58.184,58.019,57.837,58.203,58.779,58.726,58.422,57.813,58.059,58.568,59.054,58.301,58.954,58.841,58.735,58.923,58.154,58.352,58.69,58.571,58.593,58.929,58.634,58.208,58.315,58.517,58.531,58.621,58.568,58.523,58.353,58.629,58.469,58.722,58.567,58.273,58.222,58.371,58.33,58.774,58.579,59.375,59.587,60.295,60.094,60.127,60.474,60.544,60.405,60.461,60.419,60.54,60.421,60.707,60.494,60.38,60.312,60.394,60.295,60.233,60.29,60.185,60.29,60.632,60.85,60.995,61.439,62.128,62.237,61.469,62.223,62.258,61.911,61.609,61.907,61.862,61.966,62.264,61.732,62.386
5,N,False,44.546,41.962,42.418,45.152,45.629,43.18,42.489,44.377,45.501,43.954,41.683,42.217,41.469,41.941,38.699,38.174,37.308,38.777,40.207,37.788,37.418,37.955,39.184,38.697,41.506,41.192,41.449,39.838,39.798,39.824,40.149,38.373,37.876,38.696,38.295,39.092,38.662,38.557,37.51,38.37,38.668,37.414,36.576,36.355,37.336,37.41,37.715,36.338,36.175,38.209,37.037,38.851,38.435,39.7,38.54,38.372,37.222,38.015,36.787,38.492,38.974,38.693,38.911,35.834,37.047,35.824,35.08,35.739,36.412,35.331,36.633,35.075,35.398,35.038,35.21,35.053,35.764,35.777,35.151,35.908,36.424,36.399,35.088,34.291,36.669,35.961,34.109,34.958,34.378,35.525,34.659,33.755,35.021,34.739,33.833,33.783,34.397,34.388,32.506,32.562,32.587,32.774,33.934,33.886,34.349,33.737,33.929,33.14,33.859,32.094,33.425,31.529,31.756,31.867,32.171,30.721,31.859,31.398,33.347,32.713
6,N,False,29.345,29.645,29.64,29.639,29.974,29.895,29.894,30.023,29.783,29.855,30.695,29.992,30.31,30.184,29.664,29.655,28.912,29.442,30.044,29.921,30.745,29.911,30.524,29.9,29.643,29.946,30.053,29.449,29.459,29.774,29.927,29.733,29.847,29.961,29.584,30.355,30.358,30.207,30.271,29.668,30.258,29.902,30.658,30.144,30.478,29.798,30.338,30.275,30.369,30.681,30.811,30.555,30.741,30.226,30.223,30.001,29.362,30.339,30.295,30.192,29.437,30.208,30.567,29.966,29.434,30.437,30.552,30.347,29.888,29.857,29.481,29.938,31.572,30.877,31.108,31.049,30.152,30.395,29.634,29.258,29.244,29.955,29.7,29.801,29.643,30.044,29.7,30.801,29.359,29.43,30.165,29.831,30.655,30.325,29.934,30.583,30.017,30.627,30.314,30.239,31.099,30.403,30.274,30.788,30.866,31.008,32.152,31.803,31.435,32.059,32.031,31.631,30.756,30.637,31.173,30.802,30.889,30.685,31.397,31.085
