,FLARE_TYPE,COINCIDENCE,g_s_1,g_s_2,g_s_3,g_s_4,g_s_5,g_s_6,g_s_7,g_s_8,g_s_9,g_s_10,g_s_11,g_s_12,g_s_13,g_s_14,g_s_15,g_s_16,g_s_17,g_s_18,g_s_19,g_s_20,g_s_21,g_s_22,g_s_23,g_s_24,g_s_25,g_s_26,g_s_27,g_s_28,g_s_29,g_s_30,g_s_31,g_s_32,g_s_33,g_s_34,g_s_35,g_s_36,g_s_37,g_s_38,g_s_39,g_s_40,g_s_41,g_s_42,g_s_43,g_s_44,g_s_45,g_s_46,g_s_47,g_s_48,g_s_49,g_s_50,g_s_51,g_s_52,g_s_53,g_s_54,g_s_55,g_s_56,g_s_57,g_s_58,g_s_59,g_s_60,g_s_61,g_s_62,g_s_63,g_s_64,g_s_65,g_s_66,g_s_67,g_s_68,g_s_69,g_s_70,g_s_71,g_s_72,g_s_73,g_s_74,g_s_75,g_s_76,g_s_77,g_s_78,g_s_79,g_s_80,g_s_81,g_s_82,g_s_83,g_s_84,g_s_85,g_s_86,g_s_87,g_s_88,g_s_89,g_s_90,g_s_91,g_s_92,g_s_93,g_s_94,g_s_95,g_s_96,g_s_97,g_s_98,g_s_99,g_s_100,g_s_101,g_s_102,g_s_103,g_s_104,g_s_105,g_s_106,g_s_107,g_s_108,g_s_109,g_s_110,g_s_111,g_s_112,g_s_113,g_s_114,g_s_115,g_s_116,g_s_117,g_s_118
502,C,True,62012.0,55477.0,58277.0,62173.0,65302.0,66401.0,66115.0,61252.0,64011.0,59415.0,68736.0,56657.0,59176.0,58378.0,59235.0,56920.0,58311.0,65478.0,60853.0,63420.0,63432.0,62872.0,72857.0,74009.0,71877.0,68059.0,69372.0,69628.0,72917.0,65087.0,61702.0,60516.0,68396.0,64715.0,66341.0,63016.0,68021.0,61828.0,63836.0,57533.0,60644.0,62341.0,55784.0,57214.0,58485.0,60764.0,59924.0,64015.0,66530.0,68971.0,68196.0,65652.0,60313.0,61318.0,66828.0,61938.0,65988.0,58275.0,58302.0,57729.0,53683.0,62128.0,54588.0,60860.0,55622.0,58544.0,51898.0,64251.0,59595.0,64515.0,64568.0,63710.0,60679.0,52446.0,50164.0,55884.0,57380.0,51946.0,54061.0,54457.0,51506.0,55190.0,53181.0,49601.0,50908.0,55979.0,54507.0,53616.0,51772.0,49982.0,50194.0,47585.0,44560.0,55197.0,53087.0,48957.0,50228.0,45602.0,48630.0,53234.0,53107.0,53546.0,51283.0,49226.0,50227.0,50907.0,50455.0,48164.0,48980.0,52782.0,45950.0,51416.0,48084.0,42557.0,52188.0,51509.0,56398.0,50795.0
503,C,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
504,C,False,11344.0,12249.0,9747.2,10941.0,13942.0,14496.0,14419.0,14842.0,11151.0,10563.0,9916.6,10208.0,10403.0,11152.0,10710.0,12560.0,12370.0,11593.0,10247.0,10657.0,10874.0,11146.0,11529.0,10117.0,9281.5,10518.0,9845.7,11337.0,10685.0,10671.0,10912.0,10839.0,10526.0,11928.0,10187.0,11359.0,8369.8,9294.3,10417.0,10472.0,10264.0,10393.0,10495.0,10213.0,9883.5,9877.6,9724.2,11031.0,10035.0,10218.0,10400.0,11526.0,10153.0,10301.0,8432.7,12762.0,11368.0,10090.0,8928.3,7909.3,10896.0,10032.0,8039.0,8161.3,8963.3,9829.4,8426.5,7946.2,7888.6,7590.9,7776.6,7448.5,8477.0,9008.5,8668.1,7949.2,5958.9,6055.6,5943.2,5967.7,6292.5,5891.0,5927.0,6003.4,5163.5,3876.6,4689.9,4860.4,6159.3,5914.4,5809.2,4670.4,7007.1,6891.7,6993.1,5851.7,6413.5,5047.2,5117.2,5176.2,4085.7,4522.5,4277.6,4146.7,4180.2,4236.8,4226.0,4007.1,3152.4,3117.9,3818.1,3748.9,3117.5,3092.6,3958.9,3740.4,3745.4,3614.8
505,C,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.478,32.958,30.01,53.335,60.571,46.853,36.016,43.542,38.097,36.264,42.358,37.4,46.621,0.0,54.913,52.125,49.665,0.0,0.0,63.924,65.256,68.917,77.097,115.72,202.37,83.312,196.48,189.42,0.0,80.627,77.429,0.0,98.248,105.54,114.36,107.32,119.48,100.39,264.38,134.16,127.39,124.34,104.23,49.613,43.351,92.946,92.066,69.057,70.844,79.102,38.17,0.0,39.293,39.103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.372,0.0,0.0,0.0,0.0,0.0,0.0,17.4,19.962,17.548
506,C,True,2379.5,2372.6,2394.2,2390.9,2543.8,1760.2,1827.6,2580.0,2650.1,2651.1,2743.0,3325.2,3259.9,3279.0,2625.3,2628.4,3256.1,3381.8,2617.9,2691.4,2648.3,2700.7,2616.5,2652.2,1932.2,1931.9,2845.1,1936.0,2838.3,2895.8,3609.2,3448.9,3514.3,2538.0,2541.2,3290.0,2480.2,2480.7,2504.8,2493.4,2530.5,2539.1,2547.0,2579.4,2502.3,2695.1,2686.4,2528.1,3551.9,3593.3,3336.5,3292.0,3372.4,2605.7,3391.3,3606.6,3719.1,4440.1,4152.5,4186.1,3647.5,3352.9,3292.8,3317.3,3381.6,3485.7,3280.5,3456.2,4746.6,5082.1,5053.4,5075.5,6170.5,4700.4,4506.5,6139.7,6004.1,5206.9,5119.8,6049.0,6286.8,5378.5,5413.2,5413.8,6493.4,8356.8,4902.1,8089.5,8314.7,8453.2,8335.5,7974.8,6005.6,9961.3,9857.7,9813.5,9230.4,9402.4,11520.0,16903.0,9751.8,9607.7,10011.0,9850.4,11795.0,11548.0,11621.0,11301.0,12524.0,12384.0,10880.0,11359.0,10923.0,11018.0,10185.0,9524.2,9163.6,10229.0
507,C,False,7943.9,9142.9,8382.4,8089.4,6940.2,7738.9,8621.8,8569.2,8634.2,7793.3,7788.5,8413.6,7724.1,7040.7,7167.7,7082.1,6857.3,6929.8,6546.9,7831.9,7191.5,7893.4,7071.5,8798.7,9021.2,9202.8,8707.2,7209.9,8883.5,9445.0,10388.0,10822.0,10314.0,7370.8,6729.8,8585.4,9639.8,9586.9,9240.2,8645.0,8806.2,8833.8,8357.0,9860.9,9498.7,8863.1,9485.9,9660.8,9785.4,8693.2,9868.0,9867.4,9445.7,9393.2,8314.5,10792.0,10268.0,10053.0,10230.0,8474.6,8705.2,7987.9,7663.8,7527.8,6682.9,8476.3,7427.0,6256.6,4988.1,6060.8,5099.1,5834.6,4553.5,5824.3,5833.4,4998.6,5720.3,6103.1,5102.1,5879.4,5809.1,5606.6,5489.2,5288.3,4238.7,5839.2,6482.1,6664.3,6055.9,6452.7,5903.6,5744.8,6101.7,5577.1,4914.5,5984.6,5806.0,6635.5,5565.0,5463.2,5222.1,6286.9,5335.4,4597.7,5303.1,4883.2,5253.9,5359.2,5560.0,5185.7,4152.6,4329.5,4634.5,4679.7,4849.0,4880.2,4580.7,4658.5
508,C,False,766.62,595.88,636.69,604.24,618.41,583.56,594.12,617.24,502.82,740.07,641.44,705.35,664.76,526.45,695.65,737.66,614.56,641.29,439.95,559.88,793.0,857.61,935.79,857.44,762.5,800.0,808.38,798.06,825.35,685.21,882.23,872.98,706.56,917.83,893.32,717.48,805.41,604.0,570.01,632.29,732.21,715.33,616.04,600.16,599.87,537.38,432.26,420.38,292.09,278.43,441.78,273.24,382.0,252.77,269.37,434.64,478.58,280.8,292.3,431.02,396.77,425.3,437.04,430.07,287.84,263.98,252.86,246.56,248.4,249.59,484.89,250.76,379.25,253.11,250.34,225.55,243.71,228.92,217.43,248.27,126.44,120.75,140.66,135.28,132.72,125.56,127.78,135.33,127.21,118.25,116.35,106.71,116.11,117.76,116.33,124.32,116.56,119.17,0.0,134.34,128.55,130.95,131.96,139.36,132.6,142.94,320.55,139.56,138.39,132.4,128.57,120.77,126.98,130.21,131.37,130.63,210.65,129.82
509,C,False,133.32,126.28,135.14,137.05,138.56,135.56,129.24,128.92,130.07,128.54,132.55,110.21,112.99,110.78,109.49,106.35,107.9,106.72,101.33,99.129,109.72,113.55,119.07,112.68,112.9,109.17,107.63,113.95,114.07,110.41,112.39,124.79,157.22,127.19,154.26,115.57,134.21,143.89,146.96,150.18,266.41,264.57,270.62,211.63,225.51,228.84,230.52,232.42,235.87,236.61,243.56,251.23,250.38,404.49,424.86,439.47,437.16,430.92,486.6,502.03,484.03,509.74,535.76,520.68,495.95,534.62,533.65,480.56,659.13,443.64,652.03,296.64,302.13,658.74,623.16,556.72,752.29,637.53,631.15,685.25,643.71,299.52,523.35,557.22,659.51,760.37,425.37,430.94,449.84,421.12,567.85,442.73,586.19,409.99,545.26,563.74,446.97,759.23,930.09,946.2,723.08,995.37,1176.9,1270.4,1329.8,1240.3,1097.5,965.21,1131.9,1213.1,1209.3,1244.0,1157.6,1618.0,1158.5,1348.2,1582.2,1676.7
510,C,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.62,473.83,416.96,432.59,377.73,426.12,438.84,489.82,472.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
511,C,False,25014.0,28395.0,29888.0,33286.0,28104.0,25783.0,24815.0,26513.0,25386.0,26365.0,26813.0,26244.0,24998.0,21928.0,19325.0,18820.0,21360.0,26289.0,25721.0,22221.0,21343.0,20836.0,17163.0,18839.0,21022.0,21391.0,18022.0,20342.0,24752.0,22220.0,22413.0,22247.0,23320.0,20401.0,22515.0,17979.0,21282.0,21422.0,21457.0,20490.0,15506.0,18704.0,20013.0,21795.0,20420.0,20765.0,17352.0,16960.0,15762.0,16122.0,15534.0,16289.0,14712.0,14109.0,12391.0,10238.0,12150.0,11900.0,12389.0,9368.9,9527.3,7635.3,8813.2,11368.0,10531.0,10357.0,11443.0,12683.0,10938.0,9843.2,7478.1,11135.0,13768.0,10199.0,8851.3,10629.0,11950.0,12676.0,11281.0,11906.0,11669.0,11436.0,10724.0,9916.0,9784.7,9602.2,11315.0,10237.0,10542.0,10566.0,11425.0,12825.0,11977.0,12075.0,10887.0,9786.7,10830.0,11358.0,10121.0,10262.0,9524.2,9283.8,8947.0,9758.4,9986.5,9053.6,9753.6,11730.0,9978.3,10828.0,14524.0,11547.0,12134.0,10196.0,12989.0,10216.0,10832.0,10213.0
