,FLARE_TYPE,COINCIDENCE,R_VALUE_1,R_VALUE_2,R_VALUE_3,R_VALUE_4,R_VALUE_5,R_VALUE_6,R_VALUE_7,R_VALUE_8,R_VALUE_9,R_VALUE_10,R_VALUE_11,R_VALUE_12,R_VALUE_13,R_VALUE_14,R_VALUE_15,R_VALUE_16,R_VALUE_17,R_VALUE_18,R_VALUE_19,R_VALUE_20,R_VALUE_21,R_VALUE_22,R_VALUE_23,R_VALUE_24,R_VALUE_25,R_VALUE_26,R_VALUE_27,R_VALUE_28,R_VALUE_29,R_VALUE_30,R_VALUE_31,R_VALUE_32,R_VALUE_33,R_VALUE_34,R_VALUE_35,R_VALUE_36,R_VALUE_37,R_VALUE_38,R_VALUE_39,R_VALUE_40,R_VALUE_41,R_VALUE_42,R_VALUE_43,R_VALUE_44,R_VALUE_45,R_VALUE_46,R_VALUE_47,R_VALUE_48,R_VALUE_49,R_VALUE_50,R_VALUE_51,R_VALUE_52,R_VALUE_53,R_VALUE_54,R_VALUE_55,R_VALUE_56,R_VALUE_57,R_VALUE_58,R_VALUE_59,R_VALUE_60,R_VALUE_61,R_VALUE_62,R_VALUE_63,R_VALUE_64,R_VALUE_65,R_VALUE_66,R_VALUE_67,R_VALUE_68,R_VALUE_69,R_VALUE_70,R_VALUE_71,R_VALUE_72,R_VALUE_73,R_VALUE_74,R_VALUE_75,R_VALUE_76,R_VALUE_77,R_VALUE_78,R_VALUE_79,R_VALUE_80,R_VALUE_81,R_VALUE_82,R_VALUE_83,R_VALUE_84,R_VALUE_85,R_VALUE_86,R_VALUE_87,R_VALUE_88,R_VALUE_89,R_VALUE_90,R_VALUE_91,R_VALUE_92,R_VALUE_93,R_VALUE_94,R_VALUE_95,R_VALUE_96,R_VALUE_97,R_VALUE_98,R_VALUE_99,R_VALUE_100,R_VALUE_101,R_VALUE_102,R_VALUE_103,R_VALUE_104,R_VALUE_105,R_VALUE_106,R_VALUE_107,R_VALUE_108,R_VALUE_109,R_VALUE_110,R_VALUE_111,R_VALUE_112,R_VALUE_113,R_VALUE_114,R_VALUE_115,R_VALUE_116,R_VALUE_117,R_VALUE_118,R_VALUE_119
20,B,False,3.4533,3.3538,3.5624,3.5657,3.5734,3.6494,3.6856,3.5925,3.5923,3.6517,3.7511,3.644,3.6619,3.5979,3.5926,3.5398,3.5676,3.5904,3.6156,3.6252,3.654,3.5871,3.6649,3.6997,3.6923,3.5921,3.6593,3.7393,3.7077,3.7582,3.7485,3.8011,3.8966,3.8728,3.7712,3.8718,3.8494,3.8665,3.7541,3.7957,3.8056,3.8048,3.7267,3.8303,3.7183,3.7991,3.7998,3.7576,3.8028,3.7891,3.7907,3.8532,3.8144,3.7796,3.7511,3.7194,3.7374,3.7493,3.759,3.8053,3.7406,3.7275,3.651,3.6604,3.6196,3.6558,3.7452,3.7661,3.7493,3.6573,3.6497,3.8029,3.753,3.756,3.7777,3.7183,3.6063,3.7448,3.7738,3.6689,3.7207,3.7384,3.7087,3.7161,3.7448,3.7047,3.7396,3.628,3.6958,3.5908,3.5118,3.5498,3.2708,3.3319,3.6004,3.4807,3.4023,3.4753,3.5651,3.3895,3.4329,3.4547,3.4216,3.4917,3.6076,3.6817,3.5978,3.4846,3.5729,3.6405,3.5939,3.5966,3.5485,3.4671,3.5497,3.4984,3.4988,3.5313,3.5679
21,B,True,2.3401,2.8632,1.5344,3.1548,3.0089,3.1351,3.0066,3.2312,2.8051,3.0162,3.1058,3.2873,3.2119,3.0735,3.0303,3.1061,2.7848,3.5446,3.3022,3.2799,3.3969,3.3876,3.3198,3.4282,3.3303,3.3254,3.3245,3.2845,3.3615,3.53,3.4358,3.3594,3.2078,3.3673,3.0992,3.0909,3.1517,3.4578,3.456,3.2137,3.552,3.3268,3.2128,3.4693,3.5716,3.6509,3.5903,3.5359,3.6241,3.5934,3.3679,3.5291,3.4005,3.5177,3.6071,3.23,3.2319,3.3488,3.3027,3.2847,3.3202,3.4235,3.0328,2.9167,3.2883,3.133,3.13,3.2587,3.1172,3.1103,2.711,2.9178,3.3898,3.3692,1.8757,2.9894,3.1656,3.1684,3.2825,3.1349,2.813,2.8281,3.0137,3.159,3.089,3.0616,3.4679,3.2437,3.4613,3.3888,3.4028,3.4675,3.5131,3.4651,3.3968,3.4533,3.3538,3.5624,3.5657,3.5734,3.6494,3.6856,3.5925,3.5923,3.6517,3.7511,3.644,3.6619,3.5979,3.5926,3.5398,3.5676,3.5904,3.6156,3.6252,3.654,3.5871,3.6649,3.6997
22,B,False,3.5446,3.3022,3.2799,3.3969,3.3876,3.3198,3.4282,3.3303,3.3254,3.3245,3.2845,3.3615,3.53,3.4358,3.3594,3.2078,3.3673,3.0992,3.0909,3.1517,3.4578,3.456,3.2137,3.552,3.3268,3.2128,3.4693,3.5716,3.6509,3.5903,3.5359,3.6241,3.5934,3.3679,3.5291,3.4005,3.5177,3.6071,3.23,3.2319,3.3488,3.3027,3.2847,3.3202,3.4235,3.0328,2.9167,3.2883,3.133,3.13,3.2587,3.1172,3.1103,2.711,2.9178,3.3898,3.3692,1.8757,2.9894,3.1656,3.1684,3.2825,3.1349,2.813,2.8281,3.0137,3.159,3.089,3.0616,3.4679,3.2437,3.4613,3.3888,3.4028,3.4675,3.5131,3.4651,3.3968,3.4533,3.3538,3.5624,3.5657,3.5734,3.6494,3.6856,3.5925,3.5923,3.6517,3.7511,3.644,3.6619,3.5979,3.5926,3.5398,3.5676,3.5904,3.6156,3.6252,3.654,3.5871,3.6649,3.6997,3.6923,3.5921,3.6593,3.7393,3.7077,3.7582,3.7485,3.8011,3.8966,3.8728,3.7712,3.8718,3.8494,3.8665,3.7541,3.7957,3.8056
23,B,False,3.3131,3.4724,3.6208,3.5428,3.6091,3.6517,3.5766,3.6025,3.712,3.4169,3.5243,3.7822,3.7084,3.5365,3.6011,3.5247,3.4673,3.5398,3.5712,3.5971,3.5953,3.575,3.6108,3.6954,3.5389,3.7309,3.5535,3.5509,3.5783,3.5765,3.5835,3.5995,3.7902,3.7809,3.8245,3.8675,3.7984,3.7654,3.8645,3.9063,3.8845,3.9754,3.9107,3.8746,3.8494,3.8741,3.8678,3.85,3.8054,3.7473,3.8641,3.8677,3.8899,3.9005,3.7564,3.7,3.7487,3.7034,3.8667,3.8866,3.8252,3.7825,3.8969,3.8251,3.7159,3.7455,3.77,3.685,3.7093,3.7445,3.6346,3.5472,3.6022,3.6627,3.622,3.6011,3.5137,3.4659,3.4602,3.6238,3.5588,3.642,3.7556,3.6076,3.5993,3.4258,3.5166,3.7334,3.5677,3.5744,3.5706,3.6847,3.6081,3.5059,3.5028,3.5572,3.561,3.5571,3.4641,3.5487,3.6049,3.3367,3.399,3.2741,3.4944,3.4151,3.3274,3.2407,3.2616,3.2694,3.2379,3.314,3.344,3.2657,3.3293,3.3316,3.3257,3.1948,3.2401
24,B,False,3.1835,3.1875,3.0702,2.9557,2.9367,2.9407,3.1002,2.9931,3.0813,3.0384,3.0435,3.044,3.0085,3.0848,3.1388,2.7143,2.8685,2.8187,2.7023,3.2264,3.1124,3.0473,3.1078,3.2166,3.2471,3.1504,3.124,3.1422,3.1929,3.2536,3.166,3.0612,3.067,3.1451,3.0981,3.0868,3.1583,3.271,3.2784,3.1622,3.0332,2.9355,2.9375,3.1643,3.1315,3.1292,3.0759,2.9225,2.9598,2.9951,3.2076,3.0438,2.9091,3.0201,3.1294,3.0109,3.0553,2.8421,2.9049,2.895,2.9882,2.7147,2.7053,2.822,3.107,2.7043,2.9006,2.968,2.9847,3.0629,3.0169,3.1039,3.1128,2.7927,3.0192,3.0993,2.8985,2.5359,2.3886,2.5734,2.3761,2.8932,2.779,2.8835,2.8683,2.7792,2.682,2.7806,2.8626,2.5332,2.7442,2.8054,2.7282,2.6279,2.5113,2.8261,2.8219,2.6102,2.6087,2.6002,0.0,2.5802,2.6824,2.7481,3.0158,2.8115,2.4948,2.6811,2.0371,2.5924,2.6899,2.6857,2.9772,2.6545,2.6492,2.4261,0.0,0.0,2.4156
25,B,False,2.3713,2.4593,1.9956,2.0022,2.1872,1.6808,1.6812,1.6967,0.0,0.0,1.8873,0.0,2.3957,0.0,0.0,2.3283,2.3259,2.3374,2.4193,0.0,0.0,2.1634,2.1777,2.1884,1.9946,1.9886,1.9857,1.6867,1.6887,2.128,1.67,0.0,1.6334,1.6085,0.0,0.0,0.0,0.0,0.0,0.0,1.6119,1.6307,1.6202,1.9023,1.8924,0.0,1.578,1.5834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6765,1.6733,0.0,0.0,1.5619,1.5532,2.4599,2.091,2.6287,0.0,2.1579,2.0523,2.4547,2.6785,2.2781,3.0584,3.0607,2.9136,2.8962,2.7277,2.652,3.064,2.8522,2.7136,3.1488,3.2764,3.2053,3.439,3.3572,3.2587,3.3892,3.3225,3.228,3.2386,3.495,3.3557,3.2637,3.1735,2.8329,2.7592,3.0988,3.3228,2.8784,3.4849,3.5353,3.2722,3.1474,2.8327,3.4053,3.4956,3.3703,3.4096,2.957,3.264,2.9632,2.9274,3.4271,3.2345,3.0239,2.9365,3.0527,3.2153
26,B,False,3.3198,3.4282,3.3303,3.3254,3.3245,3.2845,3.3615,3.53,3.4358,3.3594,3.2078,3.3673,3.0992,3.0909,3.1517,3.4578,3.456,3.2137,3.552,3.3268,3.2128,3.4693,3.5716,3.6509,3.5903,3.5359,3.6241,3.5934,3.3679,3.5291,3.4005,3.5177,3.6071,3.23,3.2319,3.3488,3.3027,3.2847,3.3202,3.4235,3.0328,2.9167,3.2883,3.133,3.13,3.2587,3.1172,3.1103,2.711,2.9178,3.3898,3.3692,1.8757,2.9894,3.1656,3.1684,3.2825,3.1349,2.813,2.8281,3.0137,3.159,3.089,3.0616,3.4679,3.2437,3.4613,3.3888,3.4028,3.4675,3.5131,3.4651,3.3968,3.4533,3.3538,3.5624,3.5657,3.5734,3.6494,3.6856,3.5925,3.5923,3.6517,3.7511,3.644,3.6619,3.5979,3.5926,3.5398,3.5676,3.5904,3.6156,3.6252,3.654,3.5871,3.6649,3.6997,3.6923,3.5921,3.6593,3.7393,3.7077,3.7582,3.7485,3.8011,3.8966,3.8728,3.7712,3.8718,3.8494,3.8665,3.7541,3.7957,3.8056,3.8048,3.7267,3.8303,3.7183,3.7991
27,B,False,2.5313,2.5389,2.5474,2.5473,2.6683,2.5497,2.5484,2.6007,2.7692,2.7649,2.749,2.5303,2.5304,2.2097,2.2048,2.2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2294,0.0,2.3921,2.2393,2.2423,2.2445,1.9141,1.9081,1.8975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3583,0.0,0.0,2.1724,2.1706,2.1736,2.1726,0.0,0.0,1.8876,0.0,0.0,0.0,0.0,2.464,0.0,0.0,0.0,0.0,2.3594,2.3565,2.3562,2.3537,2.3469,0.0,2.4358,0.0,2.4304,2.4273,2.3166,2.3209,2.3189,2.3135,2.3106,2.3067,0.0,0.0,0.0,0.0,2.1063,2.1026,0.0,0.0,2.3891,2.6043,2.4953,2.5014,2.5101,2.5094,2.2093,2.506,2.2041,2.1986,2.1841,1.7558,0.0,0.0,1.7472,1.8679,1.8641,1.864,0.0,0.0,0.0,0.0,2.1933,2.4804,2.4821,2.1932,2.1751,0.0,0.0,0.0,0.0,0.0
28,B,False,3.7534,3.6734,3.7668,3.6483,3.782,3.7912,3.7179,3.7442,3.6766,3.7298,3.8358,3.8355,3.8876,3.7364,3.8511,3.8424,3.9011,3.8975,3.9445,3.928,3.8304,3.7836,3.8156,3.8644,3.8512,3.8595,3.8192,3.8182,3.8158,3.8229,3.814,3.7965,3.8338,3.7261,3.8111,3.902,3.924,3.9102,3.7617,3.7119,3.7132,3.7482,3.7445,3.7254,3.7125,3.7543,3.7252,3.7429,3.597,3.6941,3.7993,3.6847,3.6769,3.6981,3.7666,3.8279,3.7655,3.7815,3.7501,3.7823,3.7221,3.7426,3.8047,3.8068,3.7709,3.7398,3.7206,3.7871,3.8374,3.7162,3.7065,3.6926,3.7397,3.7389,3.7286,3.5642,3.7039,3.6718,3.8333,4.0164,3.9365,3.9774,3.9413,3.8731,3.8899,3.8642,3.8366,3.8212,3.8974,3.7569,3.8951,3.9236,3.7875,3.8721,3.8678,3.8532,3.8772,3.8064,3.8292,3.8533,3.8279,3.8426,3.8901,3.8478,3.7877,3.744,3.8481,3.7553,3.6976,3.8058,3.7526,3.6989,3.8205,3.6759,3.7248,3.6911,3.7133,3.8154,3.741
29,B,True,3.8057,3.8756,3.7918,3.7666,3.8202,3.757,3.7422,3.792,3.7011,3.7884,3.7848,3.7818,3.7377,3.6955,3.5587,3.5175,3.5675,3.743,3.5841,3.7196,3.6169,3.7793,3.7091,3.8606,3.9014,3.9474,3.9736,3.9513,3.9508,3.9204,3.868,3.9413,3.9619,3.995,4.0187,4.0366,4.0513,4.1556,4.0791,4.0303,4.0367,4.0335,4.0463,4.0811,4.0586,4.0319,4.025,4.0481,4.0332,3.9862,3.9035,3.9573,3.9506,3.9467,3.9982,4.0215,3.9436,3.8155,3.9072,3.861,3.8818,3.8357,3.8617,3.8744,3.9001,3.8818,4.0841,3.9454,3.9422,3.9732,3.9866,3.908,3.9086,3.9227,3.9191,3.8879,3.8797,3.9154,3.9372,3.8916,3.9161,3.8326,3.8027,3.8436,3.8792,3.831,3.9073,3.8689,3.8078,3.8823,3.9695,3.9031,3.9686,3.8608,3.9561,3.8691,3.8919,3.9123,3.9331,3.8253,3.9011,3.8569,3.9115,3.883,3.9196,3.8907,3.8356,3.8445,3.8101,3.8411,3.7678,3.7982,3.7902,3.7958,3.7227,3.6773,3.6665,3.7247,3.6562
30,B,False,2.8428,2.8372,2.8111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9025,0.0,3.1736,3.1274,3.1239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0185,2.0129,2.31,2.3154,0.0,0.0,0.0,0.0,0.0,2.447,2.4487,2.1565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8954,2.4222,2.4275,2.42,0.0,0.0,3.2024,2.9473,1.8947,0.0,0.0,2.805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8655,1.8703,0.0,0.0,0.0,1.984,2.6372,2.6406,2.6567,2.5463,0.0,0.0,0.0,1.9304,3.1201,2.3099,2.3028,2.2978,2.507,2.5011,0.0,0.0,0.0,0.0,0.0,0.0,2.1879,2.3692,1.9112,0.0,1.9112,0.0,3.0374,0.0,0.0,0.0,2.1605,2.1753,3.3128,3.0899,3.3989,3.2043,3.3736,3.0791,2.9606
31,B,False,3.7493,3.759,3.8053,3.7406,3.7275,3.651,3.6604,3.6196,3.6558,3.7452,3.7661,3.7493,3.6573,3.6497,3.8029,3.753,3.756,3.7777,3.7183,3.6063,3.7448,3.7738,3.6689,3.7207,3.7384,3.7087,3.7161,3.7448,3.7047,3.7396,3.628,3.6958,3.5908,3.5118,3.5498,3.2708,3.3319,3.6004,3.4807,3.4023,3.4753,3.5651,3.3895,3.4329,3.4547,3.4216,3.4917,3.6076,3.6817,3.5978,3.4846,3.5729,3.6405,3.5939,3.5966,3.5485,3.4671,3.5497,3.4984,3.4988,3.5313,3.5679,3.5555,3.646,3.6497,3.4566,3.4539,3.4299,3.5711,3.5584,3.507,3.4945,3.474,3.4824,3.4669,3.4323,3.471,3.4677,3.4823,3.4916,3.5323,3.4543,3.5194,3.5188,3.5701,3.5426,3.5648,3.5318,3.5162,3.5127,3.6026,3.5773,3.5754,3.4967,3.53,3.5274,3.53,3.5624,3.5595,3.5698,3.6116,3.6127,3.511,3.5524,3.5397,3.5421,3.5469,3.4983,3.5157,3.4777,3.4896,3.4372,3.4285,3.4659,3.6089,3.6341,3.6221,3.5363,3.566
32,B,False,3.3765,3.3917,3.374,3.2073,3.2026,2.6111,1.9955,3.3213,3.0429,2.3388,2.4625,2.6873,2.9074,2.9183,3.0628,2.7546,1.9943,0.0,1.8302,2.4222,2.4236,2.9878,2.9982,3.2968,3.1327,3.2254,3.2201,3.2925,3.0977,3.2916,2.8395,3.0318,3.1008,3.331,3.2057,2.826,2.7567,3.0199,3.0202,3.2245,3.0544,2.9685,2.7776,3.4978,2.3633,3.0915,2.6866,2.9311,3.5683,2.7206,2.6412,0.0,0.0,2.7899,2.0808,0.0,0.0,2.6653,2.558,0.0,0.0,0.0,2.9687,2.4421,2.6802,3.157,2.8583,2.711,3.0898,3.0841,3.0394,3.0374,3.093,0.0,3.0544,2.7321,2.6705,0.0,2.7927,2.774,2.9569,3.0249,3.0322,2.985,3.1105,2.9698,3.2269,3.2867,3.2651,3.2206,3.1882,3.0408,2.8208,2.7752,3.2015,3.3667,2.932,2.9357,2.9142,3.2765,2.9834,3.0326,3.1296,3.1482,3.0744,3.2495,3.4211,2.6568,3.3675,3.1163,2.9169,3.0628,3.0639,2.8957,2.6925,2.9949,2.9086,3.0074,3.1121
33,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3383,0.0,2.5787,2.8071,2.9259,2.8818,2.9021,2.8584,2.9188,3.0682,3.0667,2.991,2.9825,2.9913,2.9953,2.8996,3.0327,3.1015,3.037,3.3224,3.2479,3.1173,3.2085,3.1605,3.2106,3.2706,3.2919,3.2851,3.2572,3.3109,3.2905,3.3832,3.3672,3.119,3.1777,3.3089,3.2774,3.3313,3.233,3.2199,3.3445,3.1607,3.4384,3.6669,3.4766,3.4953,3.4111,3.5703,3.3613,3.5999,3.3689,3.4593,3.5003,3.4379,3.0577,3.1733,3.0517,3.3974,3.0643,3.0677,3.0827,2.8674,3.0011,2.9811,2.9196,2.7801,2.7304,2.7202,2.319,2.9714,2.8567,3.1946,3.0338,3.195,3.2238,3.187,3.1983,3.2165,3.2157,3.2509,3.2665,3.4112,3.374,3.3631,3.1924,3.1944,3.2911,3.3224,3.257,3.2803,3.1738,3.2044,3.1721,3.2237,3.1702,3.3315,3.1459,3.1346,3.164,3.1373,3.1181,2.9964,3.1748,3.1835,3.1875,3.0702,2.9557,2.9367,2.9407,3.1002,2.9931
34,B,False,3.7422,3.792,3.7011,3.7884,3.7848,3.7818,3.7377,3.6955,3.5587,3.5175,3.5675,3.743,3.5841,3.7196,3.6169,3.7793,3.7091,3.8606,3.9014,3.9474,3.9736,3.9513,3.9508,3.9204,3.868,3.9413,3.9619,3.995,4.0187,4.0366,4.0513,4.1556,4.0791,4.0303,4.0367,4.0335,4.0463,4.0811,4.0586,4.0319,4.025,4.0481,4.0332,3.9862,3.9035,3.9573,3.9506,3.9467,3.9982,4.0215,3.9436,3.8155,3.9072,3.861,3.8818,3.8357,3.8617,3.8744,3.9001,3.8818,4.0841,3.9454,3.9422,3.9732,3.9866,3.908,3.9086,3.9227,3.9191,3.8879,3.8797,3.9154,3.9372,3.8916,3.9161,3.8326,3.8027,3.8436,3.8792,3.831,3.9073,3.8689,3.8078,3.8823,3.9695,3.9031,3.9686,3.8608,3.9561,3.8691,3.8919,3.9123,3.9331,3.8253,3.9011,3.8569,3.9115,3.883,3.9196,3.8907,3.8356,3.8445,3.8101,3.8411,3.7678,3.7982,3.7902,3.7958,3.7227,3.6773,3.6665,3.7247,3.6562,3.5243,3.6356,3.6618,3.6804,3.686,3.7199
35,B,True,0.0,0.0,0.0,0.0,2.8595,0.0,0.0,0.0,0.0,2.8109,3.0805,3.1303,2.8729,2.9732,0.0,2.8074,2.8111,1.7211,1.8998,1.4861,1.5114,1.8363,2.3631,1.8806,1.8549,2.2357,2.344,2.6553,2.718,2.0745,2.0727,1.9804,1.9833,2.2335,2.2493,2.3362,2.3277,2.2387,1.8787,1.8732,2.4209,2.4129,2.2208,2.2263,2.7154,2.6563,2.826,2.7826,0.0,3.0969,3.293,0.0,2.8027,0.0,3.157,0.0,2.5303,2.5257,2.5215,2.5441,2.6706,2.5071,2.5013,2.492,1.9306,0.0,0.0,2.7671,2.8254,2.7712,2.2446,2.9617,2.4501,2.287,2.2862,2.2694,2.2726,2.4675,2.604,2.6939,2.6945,2.6936,2.5866,2.5813,2.0039,2.7072,2.685,2.6768,2.6691,2.7455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7503,2.3709,2.0379,2.0387,2.0518,2.2924,0.0,0.0,2.3454,1.9397,1.9361,1.8,1.8055,2.7056,2.2958,2.5742
36,B,False,3.672,3.7097,3.8362,3.7693,3.6633,3.6586,3.5483,3.5375,3.4553,3.4833,3.3268,3.4413,3.3887,3.3446,3.5219,3.6695,3.5438,3.461,3.5502,3.4058,3.4044,3.6284,3.5194,3.5899,3.8847,3.8862,3.842,3.8267,3.8081,3.7561,3.7571,3.9088,3.7755,3.7889,3.7612,3.8505,3.8929,3.825,3.7358,3.8154,3.7316,3.5917,3.594,3.5981,3.6568,3.6627,3.675,3.5885,3.5161,3.5577,3.6914,3.7491,3.7812,3.8614,3.6709,3.7081,3.8031,3.7707,3.6658,3.8084,3.825,3.6684,3.8492,3.8578,3.9111,3.9532,3.9709,3.9322,3.667,3.7371,3.8466,3.9845,3.7849,3.873,3.9694,3.9228,3.9533,3.899,3.8891,3.6073,3.6491,3.7734,3.8522,3.7376,3.8217,4.0546,3.9731,3.9221,3.9746,3.9062,3.9315,3.8547,3.7254,3.8319,3.8864,3.9582,3.9752,3.8735,3.8637,3.9493,4.0069,3.8609,3.7,3.7638,3.9755,3.8569,3.7928,3.8366,3.7597,3.6284,3.6627,3.7786,3.8178,3.8643,3.8814,3.6045,3.6254,3.3785,3.3964
37,B,False,0.0,0.0,0.0,0.0,2.8834,0.0,0.0,0.0,0.0,0.0,2.9551,2.6826,2.9954,2.3505,2.8887,2.9823,2.8415,3.1339,3.1811,2.4821,2.5786,3.0776,2.688,2.9715,2.2611,2.6761,2.0631,3.2038,3.3062,3.3874,3.1718,3.1505,3.1897,3.216,3.226,3.1759,3.2158,3.1895,3.2731,3.3174,3.139,3.4291,3.3348,3.5611,3.7291,3.5288,3.3449,3.3131,3.4724,3.6208,3.5428,3.6091,3.6517,3.5766,3.6025,3.712,3.4169,3.5243,3.7822,3.7084,3.5365,3.6011,3.5247,3.4673,3.5398,3.5712,3.5971,3.5953,3.575,3.6108,3.6954,3.5389,3.7309,3.5535,3.5509,3.5783,3.5765,3.5835,3.5995,3.7902,3.7809,3.8245,3.8675,3.7984,3.7654,3.8645,3.9063,3.8845,3.9754,3.9107,3.8746,3.8494,3.8741,3.8678,3.85,3.8054,3.7473,3.8641,3.8677,3.8899,3.9005,3.7564,3.7,3.7487,3.7034,3.8667,3.8866,3.8252,3.7825,3.8969,3.8251,3.7159,3.7455,3.77,3.685,3.7093,3.7445,3.6346,3.5472
38,B,False,3.8362,3.7693,3.6633,3.6586,3.5483,3.5375,3.4553,3.4833,3.3268,3.4413,3.3887,3.3446,3.5219,3.6695,3.5438,3.461,3.5502,3.4058,3.4044,3.6284,3.5194,3.5899,3.8847,3.8862,3.842,3.8267,3.8081,3.7561,3.7571,3.9088,3.7755,3.7889,3.7612,3.8505,3.8929,3.825,3.7358,3.8154,3.7316,3.5917,3.594,3.5981,3.6568,3.6627,3.675,3.5885,3.5161,3.5577,3.6914,3.7491,3.7812,3.8614,3.6709,3.7081,3.8031,3.7707,3.6658,3.8084,3.825,3.6684,3.8492,3.8578,3.9111,3.9532,3.9709,3.9322,3.667,3.7371,3.8466,3.9845,3.7849,3.873,3.9694,3.9228,3.9533,3.899,3.8891,3.6073,3.6491,3.7734,3.8522,3.7376,3.8217,4.0546,3.9731,3.9221,3.9746,3.9062,3.9315,3.8547,3.7254,3.8319,3.8864,3.9582,3.9752,3.8735,3.8637,3.9493,4.0069,3.8609,3.7,3.7638,3.9755,3.8569,3.7928,3.8366,3.7597,3.6284,3.6627,3.7786,3.8178,3.8643,3.8814,3.6045,3.6254,3.3785,3.3964,3.4945,3.4423
39,B,False,0.0,0.0,0.0,0.0,0.0,2.5188,0.0,0.0,2.8413,2.4461,2.9433,2.8506,3.0839,2.8127,0.0,0.0,0.0,0.0,0.0,2.8834,0.0,0.0,0.0,0.0,0.0,2.9551,2.6826,2.9954,2.3505,2.8887,2.9823,2.8415,3.1339,3.1811,2.4821,2.5786,3.0776,2.688,2.9715,2.2611,2.6761,2.0631,3.2038,3.3062,3.3874,3.1718,3.1505,3.1897,3.216,3.226,3.1759,3.2158,3.1895,3.2731,3.3174,3.139,3.4291,3.3348,3.5611,3.7291,3.5288,3.3449,3.3131,3.4724,3.6208,3.5428,3.6091,3.6517,3.5766,3.6025,3.712,3.4169,3.5243,3.7822,3.7084,3.5365,3.6011,3.5247,3.4673,3.5398,3.5712,3.5971,3.5953,3.575,3.6108,3.6954,3.5389,3.7309,3.5535,3.5509,3.5783,3.5765,3.5835,3.5995,3.7902,3.7809,3.8245,3.8675,3.7984,3.7654,3.8645,3.9063,3.8845,3.9754,3.9107,3.8746,3.8494,3.8741,3.8678,3.85,3.8054,3.7473,3.8641,3.8677,3.8899,3.9005,3.7564,3.7,3.7487
40,B,False,3.2158,3.1895,3.2731,3.3174,3.139,3.4291,3.3348,3.5611,3.7291,3.5288,3.3449,3.3131,3.4724,3.6208,3.5428,3.6091,3.6517,3.5766,3.6025,3.712,3.4169,3.5243,3.7822,3.7084,3.5365,3.6011,3.5247,3.4673,3.5398,3.5712,3.5971,3.5953,3.575,3.6108,3.6954,3.5389,3.7309,3.5535,3.5509,3.5783,3.5765,3.5835,3.5995,3.7902,3.7809,3.8245,3.8675,3.7984,3.7654,3.8645,3.9063,3.8845,3.9754,3.9107,3.8746,3.8494,3.8741,3.8678,3.85,3.8054,3.7473,3.8641,3.8677,3.8899,3.9005,3.7564,3.7,3.7487,3.7034,3.8667,3.8866,3.8252,3.7825,3.8969,3.8251,3.7159,3.7455,3.77,3.685,3.7093,3.7445,3.6346,3.5472,3.6022,3.6627,3.622,3.6011,3.5137,3.4659,3.4602,3.6238,3.5588,3.642,3.7556,3.6076,3.5993,3.4258,3.5166,3.7334,3.5677,3.5744,3.5706,3.6847,3.6081,3.5059,3.5028,3.5572,3.561,3.5571,3.4641,3.5487,3.6049,3.3367,3.399,3.2741,3.4944,3.4151,3.3274,3.2407
41,B,False,3.7154,4.0006,3.7049,3.6993,3.7939,3.8745,3.9129,3.979,3.9178,3.8301,3.857,3.837,3.8456,3.821,3.7192,3.7129,3.82,3.85,3.8352,3.7966,3.8189,3.904,3.9613,3.8885,3.6525,3.7778,3.7575,3.6839,3.6904,3.715,3.6825,3.4559,3.0981,3.5807,3.4569,3.6873,3.6929,3.6557,3.3805,3.4705,3.2239,3.5384,3.2227,3.2437,2.9056,3.4828,3.1224,3.2531,3.0706,3.3627,3.1682,3.0685,3.186,2.8521,3.1095,2.7677,2.441,2.5898,3.059,3.2707,3.4269,3.324,3.4318,3.7816,3.43,3.1071,3.4236,3.3768,3.3698,3.1585,3.3547,3.5494,3.3042,3.3463,3.0428,2.7867,2.9702,3.2126,3.4128,3.4175,3.1072,3.1349,3.4472,3.4298,3.3262,3.3176,2.9325,2.7589,3.098,3.2171,2.7354,2.9998,3.3371,2.9929,3.048,3.0612,3.31,3.0744,3.3499,3.3005,3.2602,3.2788,3.5408,2.8066,2.5073,2.6417,2.2665,2.023,1.9994,2.8229,3.2174,2.7017,3.1096,3.0622,2.7918,3.325,2.878,3.093,3.0854
