,FLARE_TYPE,COINCIDENCE,R_VALUE_1,R_VALUE_2,R_VALUE_3,R_VALUE_4,R_VALUE_5,R_VALUE_6,R_VALUE_7,R_VALUE_8,R_VALUE_9,R_VALUE_10,R_VALUE_11,R_VALUE_12,R_VALUE_13,R_VALUE_14,R_VALUE_15,R_VALUE_16,R_VALUE_17,R_VALUE_18,R_VALUE_19,R_VALUE_20,R_VALUE_21,R_VALUE_22,R_VALUE_23,R_VALUE_24,R_VALUE_25,R_VALUE_26,R_VALUE_27,R_VALUE_28,R_VALUE_29,R_VALUE_30,R_VALUE_31,R_VALUE_32,R_VALUE_33,R_VALUE_34,R_VALUE_35,R_VALUE_36,R_VALUE_37,R_VALUE_38,R_VALUE_39,R_VALUE_40,R_VALUE_41,R_VALUE_42,R_VALUE_43,R_VALUE_44,R_VALUE_45,R_VALUE_46,R_VALUE_47,R_VALUE_48,R_VALUE_49,R_VALUE_50,R_VALUE_51,R_VALUE_52,R_VALUE_53,R_VALUE_54,R_VALUE_55,R_VALUE_56,R_VALUE_57,R_VALUE_58,R_VALUE_59,R_VALUE_60,R_VALUE_61,R_VALUE_62,R_VALUE_63,R_VALUE_64,R_VALUE_65,R_VALUE_66,R_VALUE_67,R_VALUE_68,R_VALUE_69,R_VALUE_70,R_VALUE_71,R_VALUE_72,R_VALUE_73,R_VALUE_74,R_VALUE_75,R_VALUE_76,R_VALUE_77,R_VALUE_78,R_VALUE_79,R_VALUE_80,R_VALUE_81,R_VALUE_82,R_VALUE_83,R_VALUE_84,R_VALUE_85,R_VALUE_86,R_VALUE_87,R_VALUE_88,R_VALUE_89,R_VALUE_90,R_VALUE_91,R_VALUE_92,R_VALUE_93,R_VALUE_94,R_VALUE_95,R_VALUE_96,R_VALUE_97,R_VALUE_98,R_VALUE_99,R_VALUE_100,R_VALUE_101,R_VALUE_102,R_VALUE_103,R_VALUE_104,R_VALUE_105,R_VALUE_106,R_VALUE_107,R_VALUE_108,R_VALUE_109,R_VALUE_110,R_VALUE_111,R_VALUE_112,R_VALUE_113,R_VALUE_114,R_VALUE_115,R_VALUE_116,R_VALUE_117,R_VALUE_118,R_VALUE_119
10,B,True,3.7375,3.743,3.7548,3.6696,3.7827,3.7095,3.6689,3.6817,3.7404,3.672,3.7097,3.8362,3.7693,3.6633,3.6586,3.5483,3.5375,3.4553,3.4833,3.3268,3.4413,3.3887,3.3446,3.5219,3.6695,3.5438,3.461,3.5502,3.4058,3.4044,3.6284,3.5194,3.5899,3.8847,3.8862,3.842,3.8267,3.8081,3.7561,3.7571,3.9088,3.7755,3.7889,3.7612,3.8505,3.8929,3.825,3.7358,3.8154,3.7316,3.5917,3.594,3.5981,3.6568,3.6627,3.675,3.5885,3.5161,3.5577,3.6914,3.7491,3.7812,3.8614,3.6709,3.7081,3.8031,3.7707,3.6658,3.8084,3.825,3.6684,3.8492,3.8578,3.9111,3.9532,3.9709,3.9322,3.667,3.7371,3.8466,3.9845,3.7849,3.873,3.9694,3.9228,3.9533,3.899,3.8891,3.6073,3.6491,3.7734,3.8522,3.7376,3.8217,4.0546,3.9731,3.9221,3.9746,3.9062,3.9315,3.8547,3.7254,3.8319,3.8864,3.9582,3.9752,3.8735,3.8637,3.9493,4.0069,3.8609,3.7,3.7638,3.9755,3.8569,3.7928,3.8366,3.7597,3.6284
11,B,True,3.2754,2.8083,2.5852,2.6033,2.9185,3.336,3.2538,2.8101,3.2408,3.1882,3.0487,3.0365,2.4441,2.7087,3.1346,2.9075,3.0704,2.4514,2.9785,3.3377,3.0231,2.9983,3.1071,2.6069,3.1226,3.0539,3.4114,3.4185,3.4667,3.3164,3.573,3.5278,3.2597,3.4253,3.3794,3.1786,3.0187,3.192,3.0334,2.9071,3.2759,3.6333,3.4714,3.4406,3.4965,3.2584,3.6145,3.6529,3.4814,3.2139,3.2145,3.2125,3.4904,3.4353,3.3042,3.3026,3.4637,3.5876,3.6042,3.5551,3.5168,3.4742,3.5198,3.5757,3.7427,3.5489,3.7356,3.4049,3.2981,3.5936,3.3652,3.757,3.6769,3.7541,3.7716,3.612,3.5831,3.4857,3.4592,3.4008,3.6145,3.4955,3.4871,3.4572,3.3923,3.3614,3.3356,3.3824,3.2809,3.5721,3.6296,3.5189,3.2836,3.2512,3.3577,3.2612,3.7182,3.6689,3.6144,3.6872,3.6672,3.7069,3.7086,3.6414,3.6305,3.7393,3.804,3.7636,3.8535,3.8994,3.7041,3.6967,3.6144,3.6623,3.4934,3.464,3.4943,3.7276,3.755
12,B,True,2.8584,2.9188,3.0682,3.0667,2.991,2.9825,2.9913,2.9953,2.8996,3.0327,3.1015,3.037,3.3224,3.2479,3.1173,3.2085,3.1605,3.2106,3.2706,3.2919,3.2851,3.2572,3.3109,3.2905,3.3832,3.3672,3.119,3.1777,3.3089,3.2774,3.3313,3.233,3.2199,3.3445,3.1607,3.4384,3.6669,3.4766,3.4953,3.4111,3.5703,3.3613,3.5999,3.3689,3.4593,3.5003,3.4379,3.0577,3.1733,3.0517,3.3974,3.0643,3.0677,3.0827,2.8674,3.0011,2.9811,2.9196,2.7801,2.7304,2.7202,2.319,2.9714,2.8567,3.1946,3.0338,3.195,3.2238,3.187,3.1983,3.2165,3.2157,3.2509,3.2665,3.4112,3.374,3.3631,3.1924,3.1944,3.2911,3.3224,3.257,3.2803,3.1738,3.2044,3.1721,3.2237,3.1702,3.3315,3.1459,3.1346,3.164,3.1373,3.1181,2.9964,3.1748,3.1835,3.1875,3.0702,2.9557,2.9367,2.9407,3.1002,2.9931,3.0813,3.0384,3.0435,3.044,3.0085,3.0848,3.1388,2.7143,2.8685,2.8187,2.7023,3.2264,3.1124,3.0473,3.1078
13,B,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6839,2.3611,0.0,0.0,0.0,0.0,0.0,2.3883,2.3855,2.3831,2.5842,2.5931,2.5935,2.7759,2.7763,2.7694,2.5918,2.4724,2.4542,2.4592,2.4658,2.6226,2.7445,2.7392,2.3689,2.6706,2.5778,2.8058,2.8927,2.9783,2.9342,2.7476,2.8206,2.8112,2.8513,2.7848,2.7234,2.5582,2.4298,0.0,0.0,0.0,0.0,1.9589,1.973,0.0,0.0,1.9185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2328,2.2503,2.2442,1.9413,1.9334,1.9392,1.9396,1.9341,2.2039,1.925,1.9356,2.2155,1.9339,1.9295,1.9276,1.9175,1.9195,2.5241,2.5326,2.5268,2.5301,2.5313,2.5389,2.5474,2.5473,2.6683,2.5497,2.5484,2.6007,2.7692,2.7649,2.749,2.5303,2.5304,2.2097,2.2048,2.2048,0.0,0.0,0.0,0.0
14,B,True,0.0,2.3283,2.3259,2.3374,2.4193,0.0,0.0,2.1634,2.1777,2.1884,1.9946,1.9886,1.9857,1.6867,1.6887,2.128,1.67,0.0,1.6334,1.6085,0.0,0.0,0.0,0.0,0.0,0.0,1.6119,1.6307,1.6202,1.9023,1.8924,0.0,1.578,1.5834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6765,1.6733,0.0,0.0,1.5619,1.5532,2.4599,2.091,2.6287,0.0,2.1579,2.0523,2.4547,2.6785,2.2781,3.0584,3.0607,2.9136,2.8962,2.7277,2.652,3.064,2.8522,2.7136,3.1488,3.2764,3.2053,3.439,3.3572,3.2587,3.3892,3.3225,3.228,3.2386,3.495,3.3557,3.2637,3.1735,2.8329,2.7592,3.0988,3.3228,2.8784,3.4849,3.5353,3.2722,3.1474,2.8327,3.4053,3.4956,3.3703,3.4096,2.957,3.264,2.9632,2.9274,3.4271,3.2345,3.0239,2.9365,3.0527,3.2153,2.983,3.2324,3.2899,3.1321,2.8534,2.901,3.0911,3.1352,2.7386,2.1136,2.6756,2.6737,2.5437,3.0325
15,B,True,3.8005,3.8851,3.8615,3.9052,3.939,4.0193,3.9618,4.0508,4.0266,3.9762,4.041,3.999,3.897,3.8319,3.7191,3.7003,3.6769,3.7523,3.7154,4.0006,3.7049,3.6993,3.7939,3.8745,3.9129,3.979,3.9178,3.8301,3.857,3.837,3.8456,3.821,3.7192,3.7129,3.82,3.85,3.8352,3.7966,3.8189,3.904,3.9613,3.8885,3.6525,3.7778,3.7575,3.6839,3.6904,3.715,3.6825,3.4559,3.0981,3.5807,3.4569,3.6873,3.6929,3.6557,3.3805,3.4705,3.2239,3.5384,3.2227,3.2437,2.9056,3.4828,3.1224,3.2531,3.0706,3.3627,3.1682,3.0685,3.186,2.8521,3.1095,2.7677,2.441,2.5898,3.059,3.2707,3.4269,3.324,3.4318,3.7816,3.43,3.1071,3.4236,3.3768,3.3698,3.1585,3.3547,3.5494,3.3042,3.3463,3.0428,2.7867,2.9702,3.2126,3.4128,3.4175,3.1072,3.1349,3.4472,3.4298,3.3262,3.3176,2.9325,2.7589,3.098,3.2171,2.7354,2.9998,3.3371,2.9929,3.048,3.0612,3.31,3.0744,3.3499,3.3005,3.2602
16,B,True,2.7155,2.8792,2.8428,2.8372,2.8111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9025,0.0,3.1736,3.1274,3.1239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0185,2.0129,2.31,2.3154,0.0,0.0,0.0,0.0,0.0,2.447,2.4487,2.1565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8954,2.4222,2.4275,2.42,0.0,0.0,3.2024,2.9473,1.8947,0.0,0.0,2.805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8655,1.8703,0.0,0.0,0.0,1.984,2.6372,2.6406,2.6567,2.5463,0.0,0.0,0.0,1.9304,3.1201,2.3099,2.3028,2.2978,2.507,2.5011,0.0,0.0,0.0,0.0,0.0,0.0,2.1879,2.3692,1.9112,0.0,1.9112,0.0,3.0374,0.0,0.0,0.0,2.1605,2.1753,3.3128,3.0899,3.3989,3.2043,3.3736
17,B,False,2.6451,2.8488,2.6907,2.6326,2.9433,3.1068,3.2219,2.9079,3.0258,2.8408,2.7855,2.811,3.0387,3.0172,2.8904,2.9451,3.0338,2.9335,3.1319,2.6066,2.4462,2.6081,2.8601,2.9462,2.6038,2.479,2.4676,2.6549,2.2607,2.9613,0.0,2.8492,2.8409,0.0,0.0,2.5473,1.8574,2.4725,2.3568,2.5474,2.6493,2.2276,3.2047,3.2351,3.4859,3.4307,3.4538,3.2991,2.7842,2.822,0.0,0.0,3.0525,2.9806,2.9752,3.3878,3.0709,3.0739,2.9049,3.0152,3.1186,3.0951,3.0028,2.4187,2.7251,1.9716,2.5541,2.1463,2.1402,2.5042,2.6288,2.8649,2.7948,2.787,3.0427,2.9793,2.4878,2.5584,2.7898,2.5195,2.2993,2.3008,2.871,2.7036,2.825,2.7573,2.9474,2.9153,2.7067,2.8839,2.9263,2.9594,3.17,3.0455,2.9732,3.0377,2.9212,2.5793,2.4176,2.5056,2.4992,2.6742,2.5997,2.3053,2.464,0.0,2.554,2.1595,2.7148,2.6671,2.4245,2.6859,2.6706,2.688,2.4749,2.4755,2.4533,2.8471,2.706
18,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7344,2.6524,0.0,1.9672,2.755,2.8366,2.6081,2.4801,2.6029,2.9562,2.7898,0.0,2.4584,0.0,0.0,0.0,2.4924,2.489,2.479,2.4798,2.4817,2.4734,0.0,0.0,2.4707,2.0806,2.1048,2.0056,0.0,2.308,2.451,1.9042,2.659,2.7601,2.8253,2.897,1.9101,2.7947,2.7985,2.4104,2.7497,2.8767,2.8329,2.8824,2.8113,2.9271,2.9807,3.05,2.9548,2.7615,2.5732,3.1112,3.2845,2.9176,2.9648,2.9017,3.0279,2.9695,2.8534,2.7926,3.0853,3.1019,3.0077,3.0849,3.1809,3.3885,3.3715,3.5652,3.4372,3.3753,3.5862,3.2769,3.4292,3.4576,3.6307,3.7673,3.8172,3.7935,3.8185,3.7619,3.5845,3.8299,3.9029,3.9369,3.9682,3.9906,3.9764,3.9767,3.9735,4.0096,4.0128,4.0542,4.0236,3.7485,3.8224,3.9287,3.9637,3.9482,3.9576,4.04,3.9885,3.9379,4.0247,4.0002,3.9965,3.9092,3.8939,3.9704,4.0492,3.981,4.0091
19,B,True,3.2924,3.5012,3.4014,3.3497,3.3871,3.2668,3.142,3.0226,3.1701,3.1736,3.019,3.165,3.2034,3.1237,3.0459,3.0398,3.1531,3.1693,3.1305,3.1009,3.126,3.1983,3.1324,3.0423,3.0435,3.2059,3.136,3.4083,3.4441,3.4276,3.3367,3.1881,3.3598,3.3353,3.4816,3.504,3.4739,3.3264,3.3704,3.3437,3.4191,3.4892,3.5243,3.3863,3.3086,3.1962,3.4812,3.469,3.2421,3.186,3.3185,3.315,3.3277,3.3716,3.3729,3.3398,3.3813,3.3965,3.4756,3.5113,3.5337,3.3926,3.4424,3.5335,3.5422,3.579,3.5485,3.5075,3.4178,3.4601,3.3217,3.4593,3.4866,3.4689,3.4235,3.4541,3.496,3.3859,3.4334,3.4578,3.4747,3.4253,3.4248,3.4508,3.4477,3.4259,3.4938,3.3974,3.4895,3.5617,3.6013,3.6598,3.5372,3.5462,3.5754,3.5623,3.5854,3.4435,3.4117,3.4602,3.4627,3.4546,3.5105,3.4412,3.4616,3.2995,3.2824,3.3734,3.3054,3.4551,3.3307,3.3834,3.221,3.3742,3.3327,3.4667,3.3565,3.2723,3.2723
