,FLARE_TYPE,COINCIDENCE,MEANGAM_1,MEANGAM_2,MEANGAM_3,MEANGAM_4,MEANGAM_5,MEANGAM_6,MEANGAM_7,MEANGAM_8,MEANGAM_9,MEANGAM_10,MEANGAM_11,MEANGAM_12,MEANGAM_13,MEANGAM_14,MEANGAM_15,MEANGAM_16,MEANGAM_17,MEANGAM_18,MEANGAM_19,MEANGAM_20,MEANGAM_21,MEANGAM_22,MEANGAM_23,MEANGAM_24,MEANGAM_25,MEANGAM_26,MEANGAM_27,MEANGAM_28,MEANGAM_29,MEANGAM_30,MEANGAM_31,MEANGAM_32,MEANGAM_33,MEANGAM_34,MEANGAM_35,MEANGAM_36,MEANGAM_37,MEANGAM_38,MEANGAM_39,MEANGAM_40,MEANGAM_41,MEANGAM_42,MEANGAM_43,MEANGAM_44,MEANGAM_45,MEANGAM_46,MEANGAM_47,MEANGAM_48,MEANGAM_49,MEANGAM_50,MEANGAM_51,MEANGAM_52,MEANGAM_53,MEANGAM_54,MEANGAM_55,MEANGAM_56,MEANGAM_57,MEANGAM_58,MEANGAM_59,MEANGAM_60,MEANGAM_61,MEANGAM_62,MEANGAM_63,MEANGAM_64,MEANGAM_65,MEANGAM_66,MEANGAM_67,MEANGAM_68,MEANGAM_69,MEANGAM_70,MEANGAM_71,MEANGAM_72,MEANGAM_73,MEANGAM_74,MEANGAM_75,MEANGAM_76,MEANGAM_77,MEANGAM_78,MEANGAM_79,MEANGAM_80,MEANGAM_81,MEANGAM_82,MEANGAM_83,MEANGAM_84,MEANGAM_85,MEANGAM_86,MEANGAM_87,MEANGAM_88,MEANGAM_89,MEANGAM_90,MEANGAM_91,MEANGAM_92,MEANGAM_93,MEANGAM_94,MEANGAM_95,MEANGAM_96,MEANGAM_97,MEANGAM_98,MEANGAM_99,MEANGAM_100,MEANGAM_101,MEANGAM_102,MEANGAM_103,MEANGAM_104,MEANGAM_105,MEANGAM_106,MEANGAM_107,MEANGAM_108,MEANGAM_109,MEANGAM_110,MEANGAM_111,MEANGAM_112,MEANGAM_113,MEANGAM_114,MEANGAM_115,MEANGAM_116,MEANGAM_117
0,X,False,59.703,59.541,59.598,59.828,59.809,59.849,59.948,59.983,60.104,60.195,60.311,60.497,60.522,60.685,60.597,60.516,60.398,60.376,60.477,60.576,60.466,60.511,60.453,60.492,60.563,60.406,60.226,60.34,60.191,60.153,60.002,59.937,59.951,59.856,60.087,59.95,60.026,60.181,60.026,60.169,60.368,60.309,60.482,60.564,60.707,60.699,60.831,60.948,60.915,60.925,60.967,60.869,60.901,60.888,60.862,60.711,60.612,60.587,60.495,60.419,60.509,60.629,60.631,60.493,60.438,60.468,60.425,60.443,60.378,60.416,60.356,60.472,60.383,60.367,60.387,60.325,60.341,60.367,60.336,60.263,60.095,59.962,59.877,59.815,59.9,60.039,60.068,59.96,60.179,60.312,60.172,60.206,60.175,60.168,60.145,59.961,60.026,60.041,60.128,60.039,59.993,59.852,59.996,59.929,59.773,59.879,59.783,59.636,59.296,59.25,59.253,59.224,59.323,59.254,59.119,59.18,59.33
1,X,False,58.046,58.109,57.919,57.67,57.611,57.61,57.571,57.417,57.358,57.464,57.545,57.4,57.301,57.258,57.291,57.23,57.523,57.711,57.717,57.784,57.913,58.169,58.202,58.195,58.287,58.283,58.258,58.361,58.306,58.39,58.311,58.367,58.414,58.276,58.437,58.494,58.46,58.457,58.211,58.141,58.103,58.197,58.122,58.011,58.006,58.171,58.105,58.232,58.431,58.576,58.61,58.688,58.811,58.929,59.039,59.02,59.023,58.96,59.02,58.837,58.823,58.805,58.765,58.638,58.579,58.457,58.375,58.385,58.513,58.339,58.248,58.252,58.181,58.138,58.079,58.017,57.991,58.027,58.019,58.038,58.126,58.162,58.164,58.05,57.936,57.994,57.933,57.773,57.53,57.467,57.218,57.103,56.981,56.888,56.749,56.503,56.46,56.455,56.309,56.427,56.551,56.406,57.009,56.343,56.398,56.468,56.394,56.519,56.527,56.647,56.481,56.561,56.527,56.757,56.596,56.348,56.103
2,X,False,44.545,44.628,44.86,44.816,44.704,44.465,44.52,44.492,44.475,44.515,44.527,44.599,44.661,44.57,44.814,44.975,44.731,44.846,44.984,44.946,44.613,44.85,44.804,44.59,44.484,44.778,44.855,44.877,44.791,44.858,44.923,44.538,44.832,44.721,44.747,44.753,44.825,44.572,44.27,44.414,44.239,43.831,43.848,43.758,43.698,43.557,43.414,43.326,43.151,43.38,43.221,43.284,43.386,43.349,43.214,43.128,43.099,43.138,43.006,43.145,42.923,42.81,42.693,42.775,43.08,42.801,43.272,43.453,43.063,43.234,43.259,43.284,43.255,43.44,43.259,43.209,43.13,43.057,43.081,43.144,43.108,43.251,43.104,43.313,43.374,43.211,43.084,43.175,43.007,43.134,43.219,43.033,43.127,42.763,43.093,43.115,43.762,43.241,43.403,43.449,43.583,43.059,42.836,42.811,43.006,42.964,42.617,42.929,42.912,42.532,42.62,42.555,42.993,42.92,42.664,42.557,42.693
3,X,False,54.46,54.615,54.686,54.626,55.074,55.023,54.843,54.796,54.992,55.318,55.076,54.947,55.007,55.184,55.023,55.127,55.029,54.959,54.833,54.618,54.804,54.703,54.615,54.472,54.111,54.091,53.797,54.038,53.69,53.611,53.454,53.401,53.587,53.341,52.874,52.583,52.201,51.627,51.392,51.379,51.371,51.759,52.585,52.594,53.135,53.51,53.656,53.762,53.757,53.897,53.862,53.949,53.488,53.128,53.169,52.981,52.717,52.62,52.629,51.911,51.629,51.705,51.496,51.69,51.575,51.802,51.966,51.852,51.74,52.113,52.123,52.383,52.139,52.345,52.228,52.168,51.734,51.924,51.775,51.571,51.739,51.566,51.084,51.242,51.135,51.067,50.992,50.986,51.177,50.961,50.859,50.976,51.315,51.604,51.628,51.544,51.707,51.526,51.452,51.255,50.879,50.954,50.763,50.53,50.344,50.202,49.532,49.673,49.378,49.518,49.515,49.599,49.733,49.887,50.259,50.425,50.142
4,X,True,49.86,49.305,49.1,49.004,48.641,48.787,48.444,48.42,48.437,48.631,48.547,48.35,48.66,48.338,48.588,48.591,48.472,48.614,48.294,48.448,48.385,48.516,48.559,48.475,48.678,48.362,48.298,48.472,48.408,48.252,48.063,48.085,47.953,47.796,47.826,47.703,47.589,47.554,47.436,46.892,47.106,47.477,47.728,47.73,48.042,47.743,47.982,48.225,48.144,48.101,48.157,48.616,48.647,48.358,48.01,47.817,48.138,47.99,47.853,47.609,47.658,47.342,47.043,46.901,47.102,47.09,46.978,47.0,47.077,47.134,46.67,46.702,46.941,47.003,47.19,46.776,46.734,46.884,46.568,46.501,46.42,46.214,46.424,46.054,46.04,45.942,46.092,46.089,46.421,46.576,46.883,46.733,46.467,46.405,46.547,46.573,46.611,46.364,45.909,45.78,45.964,45.786,45.331,44.972,47.189,44.764,44.714,44.661,44.567,44.689,44.961,44.654,44.67,44.896,45.006,44.963,45.069
5,X,False,46.821,46.47,46.395,46.265,46.05,46.16,46.006,45.749,45.698,45.753,45.73,45.577,45.732,45.605,45.873,45.78,45.55,45.584,45.863,45.376,45.488,45.396,45.349,45.495,45.6,45.55,45.825,45.432,45.497,45.469,45.377,45.441,45.439,45.557,45.567,45.928,45.957,46.212,45.981,46.096,46.222,46.541,46.459,46.347,46.403,46.455,46.169,45.946,45.951,46.182,46.472,45.86,45.672,45.674,45.179,45.391,45.112,45.268,44.857,45.121,44.654,44.965,45.505,44.767,44.924,45.174,45.065,45.449,45.494,45.76,45.725,45.927,46.077,46.04,45.953,45.897,45.843,45.572,45.373,45.624,45.52,45.401,45.615,45.367,45.814,45.894,45.874,45.888,45.742,45.366,45.863,46.016,45.989,45.471,45.494,45.838,45.752,45.741,45.551,45.572,45.476,45.706,45.407,45.838,45.741,45.978,46.034,45.942,45.874,45.727,45.924,45.923,46.019,46.063,46.089,45.856,45.783
6,X,False,32.961,32.84,33.085,33.268,33.186,33.442,33.488,33.531,33.77,33.678,33.926,34.007,33.905,33.992,33.331,33.955,33.754,33.908,33.991,34.127,34.708,34.504,34.487,34.287,34.274,34.296,34.369,34.329,34.083,34.303,33.908,34.287,34.469,33.882,34.303,34.265,34.397,34.313,34.135,34.143,34.46,34.588,34.77,34.388,34.583,34.579,34.472,34.385,34.167,34.347,34.807,34.344,34.7,34.598,34.869,34.636,35.567,35.704,35.977,35.244,35.485,35.781,35.755,35.56,35.285,35.58,35.896,36.441,36.722,36.509,36.83,35.957,36.368,36.303,36.92,36.021,35.605,36.368,35.257,35.876,35.021,34.953,35.049,35.113,36.275,35.789,35.545,35.708,35.776,36.029,34.38,34.812,35.04,34.81,34.198,32.843,33.4,32.969,33.133,33.052,31.804,32.123,33.657,32.559,32.445,32.443,30.844,31.537,31.984,32.697,31.691,30.078,30.732,31.8,30.561,29.636,30.135
7,X,True,49.695,50.19,50.4,49.849,50.084,50.055,49.934,49.769,49.339,49.118,49.197,49.763,49.362,48.604,48.526,48.285,48.004,48.312,48.462,48.335,48.532,48.624,48.847,48.916,48.927,48.621,48.913,48.36,48.157,47.844,47.927,47.777,47.51,47.986,47.642,47.642,46.88,47.306,47.171,47.606,47.118,47.426,47.629,47.587,47.746,48.232,47.537,48.179,48.065,47.867,48.099,48.004,48.048,48.056,47.768,47.807,47.432,47.148,47.886,47.865,47.471,47.359,47.47,47.688,47.877,47.71,47.822,47.698,47.913,47.647,47.892,47.926,47.563,47.305,47.579,47.747,47.42,47.276,47.491,47.363,47.601,47.929,47.834,47.384,47.801,47.572,47.288,47.356,47.145,47.44,47.192,47.986,47.91,48.093,48.051,48.482,48.159,48.311,48.037,48.097,47.98,47.923,48.432,48.401,48.528,48.849,48.77,48.81,48.865,48.274,48.157,48.213,47.945,48.086,48.512,48.236,48.312
8,X,False,51.12,51.085,51.177,51.43,51.252,51.237,51.243,51.013,51.202,51.129,51.182,51.151,51.26,51.149,51.051,51.086,51.448,51.392,51.16,51.314,50.803,51.141,51.197,51.176,51.321,51.46,51.361,51.487,51.144,51.403,51.379,51.161,51.318,51.335,51.246,51.405,51.746,51.939,52.042,52.113,52.094,52.129,52.325,52.444,52.465,52.432,52.325,52.418,52.453,52.249,52.205,52.213,52.316,52.293,52.366,52.206,52.554,52.572,52.767,52.762,52.815,52.738,53.008,53.001,52.974,53.239,53.198,53.153,52.947,52.819,52.739,52.868,52.694,52.955,53.237,53.265,53.148,53.371,52.998,53.133,53.281,53.325,53.172,53.529,53.353,53.425,53.265,53.409,53.296,53.635,53.551,53.337,53.093,53.084,53.265,53.382,53.123,53.111,53.105,53.114,53.236,53.403,53.253,53.305,53.273,53.236,53.296,53.268,53.405,53.501,53.494,53.392,53.6,53.563,53.599,53.519,53.377
9,X,False,51.237,51.243,51.013,51.202,51.129,51.182,51.151,51.26,51.149,51.051,51.086,51.448,51.392,51.16,51.314,50.803,51.141,51.197,51.176,51.321,51.46,51.361,51.487,51.144,51.403,51.379,51.161,51.318,51.335,51.246,51.405,51.746,51.939,52.042,52.113,52.094,52.129,52.325,52.444,52.465,52.432,52.325,52.418,52.453,52.249,52.205,52.213,52.316,52.293,52.366,52.206,52.554,52.572,52.767,52.762,52.815,52.738,53.008,53.001,52.974,53.239,53.198,53.153,52.947,52.819,52.739,52.868,52.694,52.955,53.237,53.265,53.148,53.371,52.998,53.133,53.281,53.325,53.172,53.529,53.353,53.425,53.265,53.409,53.296,53.635,53.551,53.337,53.093,53.084,53.265,53.382,53.123,53.111,53.105,53.114,53.236,53.403,53.253,53.305,53.273,53.236,53.296,53.268,53.405,53.501,53.494,53.392,53.6,53.563,53.599,53.519,53.377,53.257,53.325,53.15,52.99,52.852
10,X,False,46.774,47.028,47.02,47.338,47.357,46.976,47.042,47.26,47.418,46.92,47.202,46.874,46.876,47.132,46.655,46.671,46.756,47.273,47.136,46.497,47.022,46.862,46.63,46.459,46.655,47.093,46.921,46.887,46.407,46.479,46.084,46.272,46.219,46.476,46.13,45.988,45.567,45.627,45.82,45.662,45.449,45.407,45.579,45.696,45.395,45.108,45.354,45.548,45.258,45.33,45.413,45.261,45.218,45.003,45.007,45.276,45.276,45.119,45.251,45.158,45.108,45.14,45.362,45.063,45.24,45.143,45.18,44.979,44.913,45.107,45.032,45.141,44.962,44.921,44.829,45.157,44.83,45.037,44.957,45.343,45.442,45.168,45.293,45.313,45.245,45.152,45.194,45.032,45.186,44.843,44.812,44.865,44.754,44.467,44.219,44.115,44.254,44.01,44.063,44.128,43.869,43.47,43.452,43.504,43.418,43.449,43.548,43.444,43.452,43.578,43.622,43.538,43.504,43.313,43.505,43.372,43.507
11,X,False,52.792,53.062,52.998,53.146,53.166,53.263,53.253,53.224,53.128,53.224,53.243,53.357,53.212,53.073,52.9,52.757,52.786,52.699,52.571,52.394,52.182,52.029,51.924,51.949,53.322,52.049,52.177,52.356,52.489,52.57,52.742,52.829,52.759,52.777,52.806,52.788,52.792,52.793,52.787,52.851,52.894,52.844,52.895,52.875,52.963,52.938,52.937,52.933,53.041,53.152,53.248,53.1,53.068,53.083,53.017,53.007,52.943,53.036,52.907,52.949,52.799,52.733,52.702,52.766,52.706,52.614,52.525,52.496,52.536,52.486,52.459,52.482,52.15,51.967,51.831,51.654,51.42,51.426,51.364,51.428,51.453,51.526,51.658,51.897,51.998,52.045,52.276,52.454,52.554,52.557,52.466,52.577,52.577,52.649,52.617,52.48,52.522,52.484,52.538,52.484,52.418,52.291,52.311,52.338,52.408,52.31,52.304,52.247,52.142,52.179,52.233,52.213,52.155,52.206,52.172,52.178,52.142
12,X,False,45.346,44.391,44.611,44.45,44.264,44.239,44.1,43.61,43.268,43.326,43.449,43.464,43.028,42.215,42.106,41.704,42.61,42.922,42.912,41.812,42.834,42.538,43.182,43.061,43.248,42.892,42.665,42.667,41.751,42.463,41.947,42.381,42.14,41.201,42.031,42.255,41.536,41.158,39.885,39.76,40.417,39.279,40.116,40.06,39.905,39.811,40.3,40.188,39.636,40.481,40.34,39.18,39.15,39.756,39.586,39.025,39.18,38.601,38.293,38.634,38.682,38.314,38.168,38.278,38.839,38.846,38.596,39.141,38.591,38.791,38.362,38.456,39.014,38.853,39.294,38.838,38.995,38.357,38.462,38.117,38.097,38.338,37.624,37.222,37.746,37.505,37.958,37.095,37.211,36.916,36.369,36.184,35.729,35.927,35.783,35.728,35.85,35.549,35.482,35.383,35.483,35.932,36.684,36.359,35.872,36.53,36.459,36.469,36.674,36.558,36.556,36.362,36.377,36.252,35.796,36.366,35.904
13,X,True,43.291,43.003,43.1,43.349,43.461,43.526,43.214,43.36,43.347,43.205,43.243,43.086,42.82,42.657,42.48,42.435,42.189,42.833,42.379,42.338,41.89,41.933,42.015,41.796,41.949,41.919,41.697,41.903,41.826,41.783,41.758,42.01,42.486,42.619,42.377,42.264,42.261,42.518,42.249,42.032,41.92,42.135,41.974,42.079,42.041,42.012,42.067,41.966,41.696,41.737,41.858,41.871,41.858,42.037,42.238,41.95,42.027,42.002,42.129,41.978,41.988,42.009,41.669,41.913,42.214,42.036,42.003,42.002,42.327,42.101,41.972,41.716,41.667,41.779,41.984,41.572,41.804,42.017,41.492,41.272,41.505,41.304,41.478,41.512,41.376,41.369,41.411,41.517,41.478,41.467,41.686,41.639,41.644,41.617,41.693,41.872,41.281,41.327,41.342,41.147,41.373,40.927,41.563,41.304,41.414,41.417,41.149,41.345,41.188,41.401,41.421,41.398,41.174,41.099,40.934,40.829,40.821
14,X,False,42.289,42.369,42.153,42.335,42.515,42.589,43.007,43.055,42.878,43.038,43.196,43.392,43.419,43.056,43.621,43.533,44.001,43.714,43.45,43.546,42.674,43.546,43.036,43.345,43.274,42.687,43.068,42.904,42.877,42.803,42.794,41.905,41.911,41.794,41.957,42.283,41.176,41.795,41.751,43.315,41.865,41.346,41.63,41.686,40.966,40.442,40.039,39.707,39.317,38.87,38.739,38.286,37.598,37.413,37.98,38.013,38.099,37.593,36.941,37.347,36.46,36.392,37.431,36.789,35.662,35.97,35.779,36.075,34.875,34.07,34.006,32.5,32.72,32.011,31.835,31.25,30.114,29.8,29.226,29.472,29.939,28.453,29.211,28.087,27.865,27.62,26.982,27.388,27.015,27.121,26.589,27.284,26.308,26.408,26.01,26.708,26.261,25.937,25.8,25.439,25.633,25.251,25.329,24.94,25.319,24.934,24.697,24.839,24.549,25.018,25.876,24.689,24.362,24.622,25.225,24.94,25.436
15,X,False,43.912,44.001,43.915,43.899,43.817,43.677,43.751,43.731,43.522,43.633,43.565,43.632,43.562,43.615,43.75,43.572,43.202,43.866,44.038,43.974,44.08,44.027,44.074,44.197,44.092,44.313,44.238,44.292,44.282,44.408,44.496,44.307,44.248,44.207,44.339,44.402,44.378,44.006,44.061,44.207,44.411,44.315,44.247,44.463,44.491,44.891,44.72,44.913,44.909,44.918,44.979,44.816,44.96,45.007,44.898,45.025,44.989,45.042,45.024,45.206,45.059,45.154,45.138,45.046,45.135,45.312,45.332,45.337,45.426,45.478,45.23,45.304,44.938,44.978,44.962,45.223,45.52,45.061,45.022,45.114,45.168,45.523,45.33,45.564,45.573,45.767,45.569,45.42,45.591,45.57,45.632,45.535,45.608,45.521,45.567,45.164,45.041,45.335,44.9,45.274,45.259,45.321,45.216,45.447,45.538,45.667,45.439,45.582,45.811,45.714,45.803,45.597,45.754,45.913,46.012,46.014,46.007
16,X,False,51.549,51.619,51.623,51.616,51.797,51.89,52.017,52.11,52.162,52.164,52.33,52.39,52.369,52.357,52.468,52.475,52.432,52.436,52.382,52.312,52.276,52.316,52.261,52.469,52.334,52.198,52.326,52.37,52.444,52.519,52.589,52.553,52.55,52.558,52.619,52.718,52.674,52.664,52.803,52.914,52.803,52.772,52.781,52.827,52.869,52.812,52.923,52.91,52.81,53.008,53.097,53.114,53.153,53.299,53.312,53.364,53.567,53.557,53.481,53.68,53.783,53.847,53.873,54.027,53.894,53.965,53.961,53.878,54.006,54.068,54.048,53.533,53.482,53.544,53.594,53.629,53.824,53.94,54.024,54.121,54.343,54.357,54.331,54.4,54.378,54.32,54.336,54.545,54.534,54.29,54.471,54.504,54.56,54.657,54.679,54.671,54.633,54.578,54.639,54.696,54.712,54.654,54.615,54.675,54.767,54.897,54.779,54.859,54.927,54.991,54.87,54.73,54.783,54.738,54.502,54.559,54.544
17,X,False,53.168,53.227,53.247,53.475,53.408,53.75,53.964,54.011,54.063,54.341,54.218,54.136,54.219,54.364,54.285,54.184,54.178,54.256,54.319,54.07,54.083,54.016,53.751,53.759,53.561,53.415,53.196,53.218,53.219,53.18,53.212,53.182,53.111,53.08,52.814,52.897,52.844,52.908,52.855,53.109,53.142,52.977,53.167,53.193,53.214,53.271,53.282,53.241,53.359,53.54,53.464,53.502,53.47,53.463,53.516,53.331,53.264,53.157,53.3,53.004,52.977,52.861,52.54,52.16,52.447,52.476,52.362,52.196,52.425,52.583,52.458,52.511,52.529,52.561,52.63,52.74,52.766,52.831,52.896,52.745,52.769,52.696,52.829,52.756,52.64,52.771,52.529,52.529,52.608,52.839,52.783,52.617,52.531,52.354,52.535,52.455,52.321,52.483,52.363,52.255,52.242,52.239,52.106,52.085,52.178,52.307,52.145,51.992,51.829,51.68,51.775,51.597,51.498,51.299,51.377,51.067,50.771
18,X,False,38.64,38.59,38.486,39.387,38.915,38.617,38.943,38.909,39.232,39.104,39.011,39.167,39.181,38.955,38.882,38.829,39.086,38.406,38.306,38.297,38.586,38.441,37.994,38.203,38.095,38.149,38.208,37.716,37.617,37.765,37.884,37.992,37.917,38.256,38.204,38.077,37.984,38.187,38.32,39.397,38.348,38.621,37.813,37.822,38.05,38.267,38.149,38.073,37.635,37.063,37.303,37.084,37.245,37.053,36.889,36.798,36.679,37.503,36.818,37.273,36.97,36.968,37.034,37.42,37.293,37.08,37.384,37.235,37.016,36.565,36.837,36.769,36.994,36.973,36.746,37.037,36.866,36.689,36.472,36.552,36.604,36.309,36.465,36.364,36.108,36.026,35.974,36.105,36.035,36.169,35.967,36.603,36.759,36.715,36.469,36.673,37.05,36.995,36.76,37.011,36.554,36.508,36.674,36.658,36.609,36.45,36.476,36.648,36.434,36.526,36.331,36.517,36.459,36.035,36.385,36.5,36.143
19,X,False,55.159,55.197,55.187,55.09,55.206,55.077,55.165,55.109,55.101,54.975,54.739,54.655,54.601,54.68,54.908,55.048,55.333,55.331,55.447,55.536,55.573,55.546,55.537,55.514,55.484,55.411,55.473,55.553,55.49,55.541,55.521,55.54,55.668,55.604,55.586,55.612,55.646,55.654,55.809,55.854,56.015,56.014,55.955,56.079,56.103,56.072,55.982,55.93,55.94,56.008,56.022,56.079,56.124,56.128,56.107,56.132,56.194,56.176,56.189,56.195,56.248,56.071,55.98,55.923,55.755,55.637,55.591,55.709,55.882,56.064,56.186,56.401,56.509,56.657,56.57,56.698,56.896,56.916,56.926,56.834,56.834,56.713,56.629,56.676,56.681,56.498,56.578,56.451,56.515,56.607,56.388,56.392,56.426,56.336,56.375,56.187,56.192,56.249,56.222,56.206,56.251,56.267,56.234,56.175,56.276,56.122,56.253,56.283,56.393,56.387,56.391,56.496,56.592,56.591,56.562,56.624,56.762
20,X,False,18.296,18.394,18.375,18.403,18.75,19.213,19.015,18.764,19.357,20.364,21.041,21.992,22.316,22.201,23.761,24.74,24.513,22.848,23.814,23.447,23.353,23.258,22.018,22.222,21.28,22.142,21.533,21.327,21.107,21.144,22.004,21.503,22.413,22.221,22.658,22.411,22.206,22.424,22.487,22.623,23.135,23.63,24.148,24.561,23.656,24.852,24.921,25.169,25.249,26.598,28.036,27.187,27.303,28.719,28.279,29.027,29.96,30.33,30.394,30.459,30.807,31.261,31.336,32.31,32.267,32.199,33.144,32.764,33.379,33.554,33.849,33.721,34.79,34.213,35.095,34.936,34.876,35.083,35.098,35.184,35.771,35.143,35.379,35.447,35.562,35.387,35.628,36.043,36.206,35.859,36.667,36.167,36.183,36.453,37.252,37.173,36.486,36.235,36.615,36.309,35.984,36.109,36.221,35.706,35.469,35.955,35.841,35.881,36.502,36.08,36.521,36.445,36.116,36.234,35.804,36.661,36.334
21,X,True,46.615,46.364,46.161,46.263,46.275,46.295,46.734,46.785,46.431,46.499,46.6,46.628,46.96,46.584,46.401,46.351,45.867,45.956,45.624,45.282,45.45,44.908,44.638,44.464,44.476,44.468,44.752,44.238,44.601,44.765,44.344,44.036,43.639,43.517,43.654,43.324,43.762,43.329,43.164,43.396,43.415,43.594,43.203,43.127,43.018,42.999,42.441,43.039,42.762,42.328,42.92,43.56,43.11,44.207,44.123,43.951,43.978,43.861,44.096,44.105,43.494,43.082,43.126,42.496,42.548,42.907,42.834,42.822,42.761,42.84,42.747,42.947,43.132,43.106,43.424,43.398,42.89,43.23,43.257,43.382,43.444,43.159,43.211,43.521,43.238,43.058,42.85,42.936,42.797,42.885,42.646,42.859,43.245,43.218,42.905,42.86,42.763,42.914,43.316,43.355,43.519,42.921,43.387,42.946,43.143,43.425,43.531,43.2,43.571,43.279,42.853,43.374,43.024,42.798,43.41,42.833,42.759
22,X,False,33.175,32.857,33.109,32.89,32.79,32.512,32.453,32.8,33.116,32.912,33.142,32.861,32.705,32.985,32.507,32.501,31.9,32.129,31.534,32.168,31.708,31.406,31.524,31.832,30.879,31.314,30.807,30.337,30.555,30.257,30.548,30.389,30.256,30.326,30.715,30.347,30.544,30.59,30.262,30.092,30.29,30.102,30.221,30.096,30.314,30.497,30.562,30.508,30.329,30.0,30.232,30.411,30.42,30.429,30.415,30.522,30.541,30.831,30.847,30.739,30.499,30.687,30.584,30.681,30.598,30.92,31.486,31.041,31.237,30.832,30.831,31.066,31.582,31.338,31.0,30.649,30.691,30.813,30.634,30.777,30.938,30.973,31.0,31.086,31.16,31.537,31.504,31.456,31.825,31.423,31.32,31.444,31.535,31.407,31.205,31.386,31.711,31.706,31.922,32.13,32.4,32.58,32.485,32.478,32.467,32.311,32.249,32.288,32.194,32.493,32.261,32.346,32.421,32.083,32.373,32.456,32.073
23,X,False,50.411,50.534,49.523,49.536,48.845,48.471,48.165,48.245,47.691,47.001,47.283,46.752,46.447,46.216,45.783,45.771,45.312,44.657,43.82,45.867,45.77,45.156,45.905,45.065,45.914,45.343,45.106,45.003,45.708,45.465,46.072,45.493,45.432,45.165,45.424,45.322,45.566,44.694,45.429,45.356,45.463,45.673,45.38,45.028,45.368,45.321,44.963,44.861,45.319,45.471,45.107,45.368,45.643,45.43,45.772,45.649,45.401,45.393,45.278,45.649,45.315,45.43,44.838,44.914,44.865,44.915,44.953,44.506,44.71,44.577,44.398,44.351,44.624,44.675,44.605,44.308,43.861,43.717,43.871,43.586,43.426,43.749,44.151,43.122,42.851,43.348,42.978,42.592,43.349,43.017,42.632,42.772,42.926,42.947,42.878,43.09,43.32,43.564,43.182,43.085,43.112,43.196,43.735,42.958,42.786,42.81,42.501,42.372,42.535,42.686,41.816,42.131,42.122,41.626,41.579,41.499,41.56
24,X,False,44.472,44.318,44.351,44.328,44.101,43.988,44.186,43.985,44.345,44.06,43.617,43.337,43.21,42.94,42.967,42.937,42.742,42.735,42.794,42.779,42.869,43.419,43.129,43.128,43.084,43.157,42.86,42.975,42.697,42.754,42.736,42.758,42.692,42.583,42.723,42.916,42.812,42.714,42.702,42.575,42.432,42.399,42.449,42.36,42.381,42.432,42.608,42.625,42.636,42.588,42.588,42.47,42.446,42.237,42.542,42.52,42.5,42.448,42.428,42.385,42.294,42.202,42.14,42.175,42.231,42.418,42.28,42.494,42.646,42.698,42.847,42.895,42.91,42.92,43.084,43.146,43.094,42.914,42.951,42.804,42.951,42.922,42.708,42.668,42.453,42.468,42.435,42.368,42.299,42.26,42.224,42.224,42.254,42.279,42.316,42.238,42.186,42.184,42.296,42.374,42.459,42.488,42.457,42.479,42.394,42.302,42.229,42.218,42.225,42.326,42.447,42.498,42.47,42.617,42.587,42.775,42.884
25,X,True,51.552,51.49,51.38,51.368,51.35,51.335,51.272,51.242,51.16,51.15,51.158,51.141,51.168,51.182,51.139,51.187,51.216,51.216,51.318,51.356,51.44,51.411,51.472,51.547,51.612,51.621,51.53,51.549,51.534,51.521,51.449,51.622,51.623,51.636,51.693,51.758,51.749,51.731,51.715,51.762,51.814,51.946,51.917,51.955,51.94,51.961,51.995,51.97,52.006,52.027,52.067,52.063,52.098,52.175,52.179,52.211,52.248,52.282,52.355,52.385,52.367,52.405,52.396,52.487,52.679,52.644,52.615,52.587,52.625,52.568,52.546,52.602,52.709,52.824,52.914,53.041,53.049,53.125,53.131,53.058,53.039,53.065,53.112,53.019,53.067,53.055,53.103,53.145,53.171,53.095,53.075,53.121,53.132,53.164,53.191,53.215,53.211,53.341,53.525,53.491,53.471,53.507,53.552,53.577,53.685,53.756,53.811,53.825,53.721,53.781,53.734,53.74,53.756,53.638,53.592,53.54,53.509
26,X,True,49.983,49.909,49.839,49.72,49.636,49.566,49.565,49.503,49.476,49.414,49.349,49.367,49.383,49.245,49.245,49.157,49.105,49.113,49.012,48.983,49.038,49.012,48.956,48.916,48.885,48.797,48.934,48.905,48.842,48.796,48.743,48.656,48.501,48.403,48.332,48.103,47.911,47.879,47.755,47.589,47.447,47.358,47.286,47.242,47.294,47.205,47.273,47.223,47.3,47.29,47.364,47.448,47.374,47.44,47.369,47.356,47.241,47.331,47.213,47.113,47.11,47.031,46.944,46.865,46.832,46.751,46.783,46.718,46.714,46.666,46.637,46.577,46.495,46.407,46.308,46.378,46.432,46.394,46.425,46.375,46.395,46.363,46.339,46.234,46.167,46.033,45.945,45.825,45.685,45.627,45.523,45.462,45.458,45.394,45.333,45.331,45.366,45.23,45.341,45.413,45.319,45.508,45.583,45.665,45.709,45.697,45.732,45.611,45.575,45.517,45.474,45.478,45.377,45.278,45.228,45.149,45.022
