,FLARE_TYPE,COINCIDENCE,MEANGAM_1,MEANGAM_2,MEANGAM_3,MEANGAM_4,MEANGAM_5,MEANGAM_6,MEANGAM_7,MEANGAM_8,MEANGAM_9,MEANGAM_10,MEANGAM_11,MEANGAM_12,MEANGAM_13,MEANGAM_14,MEANGAM_15,MEANGAM_16,MEANGAM_17,MEANGAM_18,MEANGAM_19,MEANGAM_20,MEANGAM_21,MEANGAM_22,MEANGAM_23,MEANGAM_24,MEANGAM_25,MEANGAM_26,MEANGAM_27,MEANGAM_28,MEANGAM_29,MEANGAM_30,MEANGAM_31,MEANGAM_32,MEANGAM_33,MEANGAM_34,MEANGAM_35,MEANGAM_36,MEANGAM_37,MEANGAM_38,MEANGAM_39,MEANGAM_40,MEANGAM_41,MEANGAM_42,MEANGAM_43,MEANGAM_44,MEANGAM_45,MEANGAM_46,MEANGAM_47,MEANGAM_48,MEANGAM_49,MEANGAM_50,MEANGAM_51,MEANGAM_52,MEANGAM_53,MEANGAM_54,MEANGAM_55,MEANGAM_56,MEANGAM_57,MEANGAM_58,MEANGAM_59,MEANGAM_60,MEANGAM_61,MEANGAM_62,MEANGAM_63,MEANGAM_64,MEANGAM_65,MEANGAM_66,MEANGAM_67,MEANGAM_68,MEANGAM_69,MEANGAM_70,MEANGAM_71,MEANGAM_72,MEANGAM_73,MEANGAM_74,MEANGAM_75,MEANGAM_76,MEANGAM_77,MEANGAM_78,MEANGAM_79,MEANGAM_80,MEANGAM_81,MEANGAM_82,MEANGAM_83,MEANGAM_84,MEANGAM_85,MEANGAM_86,MEANGAM_87,MEANGAM_88,MEANGAM_89,MEANGAM_90,MEANGAM_91,MEANGAM_92,MEANGAM_93,MEANGAM_94,MEANGAM_95,MEANGAM_96,MEANGAM_97,MEANGAM_98,MEANGAM_99,MEANGAM_100,MEANGAM_101,MEANGAM_102,MEANGAM_103,MEANGAM_104,MEANGAM_105,MEANGAM_106,MEANGAM_107,MEANGAM_108,MEANGAM_109,MEANGAM_110,MEANGAM_111,MEANGAM_112,MEANGAM_113,MEANGAM_114,MEANGAM_115,MEANGAM_116,MEANGAM_117
1861,N,False,55.602,55.268,54.863,55.639,57.655,56.976,58.561,58.351,59.993,59.905,60.371,59.837,60.502,60.006,59.804,59.319,59.273,59.248,59.912,59.36,60.423,60.089,60.019,59.727,59.109,58.253,58.009,58.854,58.923,58.162,57.877,58.449,57.727,57.672,57.157,56.848,57.044,57.063,57.036,57.113,56.872,57.237,56.493,56.693,56.409,56.42,56.38,56.079,55.937,55.315,55.148,55.332,55.351,54.699,54.362,54.302,54.416,54.089,53.38,53.709,53.421,53.542,53.124,52.839,53.437,53.418,53.492,53.23,53.19,53.636,53.235,52.342,52.436,53.026,52.584,52.498,52.458,52.287,52.62,51.903,52.424,51.808,51.928,52.272,51.991,52.411,52.697,51.518,52.192,50.603,51.454,51.62,51.78,50.536,50.762,51.012,50.58,49.516,48.813,52.019,49.363,49.23,48.518,49.445,48.46,47.997,48.271,48.836,49.391,48.639,48.744,48.361,48.377,48.356,47.844,48.657,48.071
1862,N,False,31.285,31.209,31.387,31.396,31.211,31.073,31.067,30.958,30.588,30.406,30.163,30.264,30.21,30.177,29.882,29.903,29.715,29.656,29.19,29.295,29.463,29.514,30.212,30.265,30.357,30.456,30.364,30.279,30.096,30.083,30.474,30.314,30.312,30.117,30.044,29.813,29.372,29.346,29.231,29.304,29.197,29.027,28.997,28.911,28.899,28.878,28.897,28.669,28.86,28.965,28.855,28.81,28.861,28.55,28.796,28.808,28.505,28.389,28.095,28.405,28.001,27.908,27.67,27.703,27.576,27.792,27.898,27.849,27.718,27.771,27.465,27.594,27.846,28.002,27.961,28.104,28.013,28.059,27.978,28.193,27.775,27.848,27.555,27.388,27.149,27.366,27.3,26.821,26.948,26.97,26.859,26.899,26.613,26.548,26.526,26.451,26.514,26.512,26.537,26.434,26.357,26.31,26.107,26.171,26.216,26.096,26.377,26.14,26.054,26.047,26.216,26.046,26.222,26.053,25.96,26.147,26.255
1863,N,False,46.906,46.491,46.589,46.82,46.801,46.586,46.318,46.846,46.465,46.559,46.655,46.567,46.606,46.452,46.765,46.548,46.674,46.429,46.62,46.577,46.655,46.611,46.827,47.291,47.317,47.192,47.385,47.531,47.582,47.997,47.922,48.286,47.657,47.694,47.798,47.858,47.766,48.154,48.066,47.995,48.204,48.219,48.223,48.041,47.582,48.019,48.212,47.914,48.077,48.238,48.471,48.727,48.571,48.633,49.239,49.065,49.355,49.531,49.268,48.909,49.038,49.376,48.98,49.245,49.112,49.069,49.013,48.829,49.036,49.133,49.106,49.171,48.925,48.624,48.731,49.013,49.286,49.024,49.128,49.197,48.97,49.194,49.348,49.606,49.278,49.192,49.45,49.437,49.788,50.01,49.94,50.317,50.603,50.135,50.086,50.585,50.245,50.042,49.868,50.285,50.166,50.716,50.557,50.355,51.151,50.618,50.748,50.851,50.817,50.427,50.124,50.211,49.963,49.851,49.898,50.403,50.545
1864,N,False,33.929,34.639,33.841,34.566,34.659,34.192,36.255,33.941,35.01,36.121,35.511,35.347,35.462,36.051,35.503,34.705,34.941,34.227,34.661,34.691,35.173,36.154,37.731,36.566,35.699,35.605,35.416,35.157,34.867,35.592,35.338,35.487,34.405,34.76,34.16,34.15,34.384,34.726,34.898,34.584,33.247,34.486,34.288,34.925,33.875,34.026,33.558,34.331,35.139,33.657,34.612,35.38,34.717,34.87,35.423,35.417,35.591,36.22,35.096,34.782,35.467,34.129,33.838,33.896,33.677,33.806,34.716,36.491,36.332,34.573,36.186,37.707,36.247,38.141,37.601,37.474,42.485,38.099,39.539,41.002,40.1,40.435,40.089,41.747,41.339,40.545,38.12,37.614,41.069,41.848,44.301,42.792,42.168,38.941,38.714,39.096,37.977,37.061,37.267,42.287,39.762,41.05,36.599,35.962,36.916,35.752,35.784,38.041,36.773,36.751,38.672,35.177,36.1,38.18,36.509,34.915,35.139
1865,N,False,32.307,33.868,33.607,34.92,34.349,33.652,32.943,33.085,33.472,33.095,32.679,31.555,32.202,32.749,31.614,32.103,31.272,32.266,31.846,32.971,33.076,34.534,33.636,32.233,32.332,32.573,32.651,33.099,34.049,33.25,32.372,41.323,38.127,44.97,38.513,35.221,39.26,32.542,33.282,34.501,33.35,34.612,31.034,32.334,32.862,33.786,33.913,35.614,33.724,31.995,33.5,34.792,34.363,32.161,29.559,30.888,32.004,32.569,32.107,33.238,31.175,31.778,33.046,33.801,34.335,35.509,32.75,33.14,33.1,34.49,32.703,34.612,35.135,37.019,37.607,33.549,33.795,36.811,32.933,31.857,38.144,33.268,35.16,32.579,33.326,33.746,34.573,32.673,34.832,34.166,32.016,31.531,31.452,32.218,33.266,32.254,34.425,31.446,35.464,34.81,37.994,36.641,36.967,36.765,37.565,36.794,35.641,35.252,36.005,35.322,37.023,36.398,36.236,34.606,35.318,36.67,37.57
1866,N,False,47.274,47.23,47.325,47.15,47.336,47.5,47.683,47.429,47.437,47.336,47.305,47.152,46.871,46.802,46.956,46.716,46.924,46.89,46.943,47.284,47.304,47.4,47.388,47.6,47.879,48.128,48.157,48.066,47.595,47.883,47.945,48.072,48.114,48.346,48.04,48.189,47.91,47.667,47.786,47.775,47.537,47.091,47.261,47.368,47.077,47.323,47.134,47.252,47.056,47.434,47.054,47.26,47.743,47.757,47.565,47.894,47.648,47.781,47.684,48.021,48.004,48.102,48.126,47.849,47.992,48.136,47.902,47.698,47.242,47.189,47.217,46.916,46.797,46.952,47.423,47.086,47.307,47.606,47.888,48.072,48.022,48.02,48.158,48.305,48.491,48.8,48.912,49.088,48.933,48.64,48.57,48.662,48.331,48.22,48.309,48.331,48.44,48.076,48.247,48.107,48.123,48.483,48.588,48.586,48.392,48.593,48.77,48.859,48.747,48.603,48.765,48.861,49.039,48.719,48.923,48.696,48.938
1867,N,False,33.317,33.269,32.158,32.117,33.117,33.085,32.354,32.186,32.111,32.102,32.695,32.36,32.158,31.831,31.469,30.184,30.775,30.119,29.96,30.724,30.764,30.351,30.36,30.248,30.992,30.977,30.235,30.547,30.731,30.878,30.188,31.094,30.239,30.619,30.594,30.091,31.029,30.707,30.907,30.155,29.395,29.937,29.376,28.78,28.72,29.435,29.317,29.037,28.65,28.323,29.017,28.194,28.444,28.445,28.708,27.905,28.854,27.59,29.014,28.056,27.955,28.633,29.0,28.827,28.547,28.118,27.838,27.772,26.818,26.929,26.917,27.391,27.556,27.571,27.419,29.323,29.046,29.487,28.407,29.032,29.443,29.509,28.732,29.26,28.642,28.838,29.842,29.634,29.021,28.659,27.807,28.792,29.069,28.871,28.517,28.461,28.433,28.426,29.095,29.005,28.691,27.651,28.17,28.383,28.557,27.955,27.657,27.811,28.576,27.152,27.486,26.622,26.896,27.102,27.474,26.851,26.573
1868,N,False,47.604,48.464,49.122,48.487,47.861,47.765,48.51,47.883,47.793,47.442,48.181,48.087,47.36,47.269,47.002,45.674,45.524,45.275,44.631,45.355,44.578,44.751,45.321,46.082,45.986,46.613,47.848,47.461,47.044,47.305,47.46,46.505,46.525,46.862,47.039,46.867,46.411,46.364,46.527,46.672,46.835,46.772,46.596,47.406,47.237,46.929,46.476,46.158,45.964,46.011,46.082,45.783,45.783,45.609,45.099,45.533,45.324,45.827,45.655,45.259,44.825,44.576,44.804,44.188,43.861,43.58,43.847,44.298,43.719,41.858,41.099,40.627,40.005,39.991,40.094,39.874,39.829,39.406,40.512,41.108,40.925,41.265,41.374,41.896,41.453,42.385,42.946,42.12,42.188,42.261,41.772,42.183,41.975,41.987,41.058,40.377,40.515,40.382,40.465,40.058,39.954,39.695,39.391,39.154,38.937,38.465,38.828,38.761,38.954,38.741,39.606,39.387,39.089,39.118,38.236,38.298,38.296
1869,N,False,39.089,41.022,41.53,42.794,41.13,38.121,39.961,40.254,39.113,35.974,39.255,36.651,37.107,36.135,36.0,36.395,36.517,36.423,36.254,38.648,38.361,35.684,37.142,39.586,36.814,35.124,34.487,36.628,35.999,34.722,34.299,34.685,35.341,35.262,34.201,33.554,35.333,35.298,35.717,34.256,33.229,32.971,33.724,32.864,33.487,33.023,35.714,32.678,32.503,35.618,37.246,34.034,39.697,35.607,38.489,37.275,36.318,34.727,36.886,40.643,36.362,41.685,44.023,40.334,37.12,39.405,41.045,43.281,40.289,41.023,41.753,35.012,38.276,37.174,38.433,39.824,41.456,43.664,43.623,45.622,41.482,39.772,38.385,40.061,42.021,41.091,42.946,45.364,42.968,43.724,42.976,44.037,44.327,42.708,43.278,45.427,49.826,50.594,53.726,53.55,53.267,54.838,53.594,53.161,52.903,53.183,52.703,52.825,50.647,51.254,51.966,52.947,52.875,51.2,51.802,51.539,52.563
1870,N,False,38.58,39.153,39.019,38.99,38.908,38.945,38.748,38.964,38.667,38.373,38.593,38.152,38.244,37.87,37.958,37.884,37.812,37.546,37.476,37.818,37.709,38.049,38.126,37.89,37.838,38.119,38.417,38.471,38.398,39.324,39.725,39.311,39.105,39.687,39.462,39.46,39.301,39.579,39.733,40.177,40.394,40.814,41.091,41.119,41.607,41.252,41.626,41.368,41.514,41.746,41.243,40.824,41.595,41.446,40.737,40.2,39.72,39.662,40.036,40.461,40.826,41.382,42.022,42.413,43.141,44.026,43.479,43.122,42.793,42.465,42.204,41.988,42.463,41.961,41.951,42.274,42.251,42.214,42.149,42.189,42.318,42.794,43.155,42.658,42.517,43.218,43.506,44.05,43.871,44.382,44.288,44.41,44.718,44.697,44.181,44.7,44.654,44.392,44.926,44.412,44.585,44.543,44.893,44.79,44.412,44.676,44.404,43.586,42.995,42.394,41.943,41.608,41.474,41.468,42.104,41.736,41.823
