,FLARE_TYPE,COINCIDENCE,SHRGT45_1,SHRGT45_2,SHRGT45_3,SHRGT45_4,SHRGT45_5,SHRGT45_6,SHRGT45_7,SHRGT45_8,SHRGT45_9,SHRGT45_10,SHRGT45_11,SHRGT45_12,SHRGT45_13,SHRGT45_14,SHRGT45_15,SHRGT45_16,SHRGT45_17,SHRGT45_18,SHRGT45_19,SHRGT45_20,SHRGT45_21,SHRGT45_22,SHRGT45_23,SHRGT45_24,SHRGT45_25,SHRGT45_26,SHRGT45_27,SHRGT45_28,SHRGT45_29,SHRGT45_30,SHRGT45_31,SHRGT45_32,SHRGT45_33,SHRGT45_34,SHRGT45_35,SHRGT45_36,SHRGT45_37,SHRGT45_38,SHRGT45_39,SHRGT45_40,SHRGT45_41,SHRGT45_42,SHRGT45_43,SHRGT45_44,SHRGT45_45,SHRGT45_46,SHRGT45_47,SHRGT45_48,SHRGT45_49,SHRGT45_50,SHRGT45_51,SHRGT45_52,SHRGT45_53,SHRGT45_54,SHRGT45_55,SHRGT45_56,SHRGT45_57,SHRGT45_58,SHRGT45_59,SHRGT45_60,SHRGT45_61,SHRGT45_62,SHRGT45_63,SHRGT45_64,SHRGT45_65,SHRGT45_66,SHRGT45_67,SHRGT45_68,SHRGT45_69,SHRGT45_70,SHRGT45_71,SHRGT45_72,SHRGT45_73,SHRGT45_74,SHRGT45_75,SHRGT45_76,SHRGT45_77,SHRGT45_78,SHRGT45_79,SHRGT45_80,SHRGT45_81,SHRGT45_82,SHRGT45_83,SHRGT45_84,SHRGT45_85,SHRGT45_86,SHRGT45_87,SHRGT45_88,SHRGT45_89,SHRGT45_90,SHRGT45_91,SHRGT45_92,SHRGT45_93,SHRGT45_94,SHRGT45_95,SHRGT45_96,SHRGT45_97,SHRGT45_98,SHRGT45_99,SHRGT45_100,SHRGT45_101,SHRGT45_102,SHRGT45_103,SHRGT45_104,SHRGT45_105,SHRGT45_106,SHRGT45_107,SHRGT45_108,SHRGT45_109,SHRGT45_110,SHRGT45_111,SHRGT45_112,SHRGT45_113,SHRGT45_114,SHRGT45_115,SHRGT45_116,SHRGT45_117,SHRGT45_118,SHRGT45_119
20,B,False,32.702,32.117,31.635,32.98,32.854,31.818,29.936,30.621,30.03,30.384,29.911,30.366,29.733,29.502,29.743,30.334,30.731,31.147,30.788,30.265,29.755,29.752,29.839,30.433,30.218,29.805,30.155,29.451,30.272,29.694,29.859,29.521,29.868,28.221,28.359,29.156,30.373,29.191,29.908,29.507,30.402,29.386,28.869,29.965,29.02,28.576,29.579,28.765,28.099,28.357,28.871,29.274,27.858,27.777,26.898,27.468,27.655,27.917,27.033,27.088,26.75,26.34,26.661,25.944,26.219,25.268,25.784,27.25,26.291,26.235,26.184,25.213,24.933,24.677,24.297,23.508,22.948,24.406,23.784,25.257,23.975,24.022,23.403,23.206,23.312,23.233,23.516,23.409,22.647,23.317,22.088,23.135,23.494,21.673,21.678,21.508,21.39,21.208,20.488,21.25,21.11,21.006,21.736,20.656,20.714,21.384,21.047,20.586,20.763,19.732,21.585,21.031,20.408,19.545,19.595,18.523,18.915,18.469,18.524
21,B,True,40.799,40.554,42.159,41.384,41.247,42.289,41.691,42.692,41.68,41.801,42.619,42.399,42.38,41.062,41.33,39.941,40.493,41.803,41.909,41.953,40.988,41.362,41.931,40.363,40.676,40.522,39.929,40.002,39.0,38.57,38.337,38.414,37.797,37.285,37.97,37.264,38.169,36.323,36.065,36.993,37.254,37.011,36.983,35.97,35.806,35.162,36.774,38.055,36.65,35.231,35.494,34.816,35.962,35.525,35.791,36.035,35.608,35.287,35.152,33.646,34.944,34.608,34.904,36.819,34.494,33.78,32.867,32.759,33.493,32.586,33.728,33.161,33.202,33.635,34.106,34.321,32.807,32.921,34.431,33.878,33.813,33.677,31.238,31.991,31.783,32.54,32.378,34.126,32.329,32.617,31.413,32.143,32.372,32.552,32.417,32.702,32.117,31.635,32.98,32.854,31.818,29.936,30.621,30.03,30.384,29.911,30.366,29.733,29.502,29.743,30.334,30.731,31.147,30.788,30.265,29.755,29.752,29.839,30.433
22,B,False,41.803,41.909,41.953,40.988,41.362,41.931,40.363,40.676,40.522,39.929,40.002,39.0,38.57,38.337,38.414,37.797,37.285,37.97,37.264,38.169,36.323,36.065,36.993,37.254,37.011,36.983,35.97,35.806,35.162,36.774,38.055,36.65,35.231,35.494,34.816,35.962,35.525,35.791,36.035,35.608,35.287,35.152,33.646,34.944,34.608,34.904,36.819,34.494,33.78,32.867,32.759,33.493,32.586,33.728,33.161,33.202,33.635,34.106,34.321,32.807,32.921,34.431,33.878,33.813,33.677,31.238,31.991,31.783,32.54,32.378,34.126,32.329,32.617,31.413,32.143,32.372,32.552,32.417,32.702,32.117,31.635,32.98,32.854,31.818,29.936,30.621,30.03,30.384,29.911,30.366,29.733,29.502,29.743,30.334,30.731,31.147,30.788,30.265,29.755,29.752,29.839,30.433,30.218,29.805,30.155,29.451,30.272,29.694,29.859,29.521,29.868,28.221,28.359,29.156,30.373,29.191,29.908,29.507,30.402
23,B,False,25.684,26.241,27.153,26.081,27.036,28.037,26.731,27.016,26.513,25.781,26.924,26.305,27.016,27.325,23.269,24.233,25.214,23.26,25.157,24.369,24.379,25.938,24.736,22.937,21.951,22.433,21.871,23.248,22.849,23.706,24.676,23.689,23.339,23.864,26.248,27.53,26.73,28.705,26.834,26.652,26.528,26.847,25.847,27.259,27.653,27.047,26.451,27.465,26.99,27.278,25.86,26.749,28.214,27.724,26.71,26.858,28.215,26.877,24.347,25.891,24.935,24.319,26.529,26.862,27.015,26.729,27.322,27.76,27.876,25.39,25.571,24.852,23.607,23.773,24.29,24.813,23.515,24.068,24.297,23.315,24.358,23.225,23.108,22.599,20.594,20.689,20.22,20.808,19.783,19.971,20.569,20.297,20.46,21.623,21.018,19.819,19.793,21.906,20.606,21.101,21.496,21.669,21.33,20.618,21.59,22.043,23.004,21.03,21.204,21.82,19.903,20.712,19.299,20.606,18.986,20.151,19.647,19.54,20.025
24,B,False,8.725,8.7165,8.631,9.122,9.0109,10.063,10.46,9.2813,9.9108,10.205,10.244,10.197,10.033,9.4997,9.5706,9.8213,9.6071,9.6555,9.0904,9.9913,9.2242,9.6592,9.948,10.621,9.8026,10.318,11.277,11.483,10.721,10.963,10.348,10.65,10.317,10.91,10.06,10.029,9.0317,9.7189,10.004,10.466,9.3867,10.195,10.02,10.217,9.3933,9.6126,9.5927,9.3868,9.3846,9.6085,9.3534,9.3574,9.6346,10.258,10.603,10.249,10.253,9.9422,10.183,10.495,10.384,9.4652,9.509,9.2063,8.9382,8.498,9.3231,8.8388,10.094,9.8583,8.9152,9.6663,10.034,9.6663,8.793,8.5674,9.17,9.0176,8.7425,8.7396,9.5226,9.0833,8.9974,9.18,8.2934,9.1319,9.0221,10.035,8.295,8.636,8.2557,8.2225,8.2339,8.1261,7.9093,8.5619,8.3945,7.9665,7.2809,7.3454,7.3252,6.9821,7.9586,7.9666,8.0715,8.0642,8.6719,8.48,7.6123,8.6155,8.5221,8.3363,8.0628,7.5962,8.6094,9.7859,8.6178,9.0785,9.1925
25,B,False,43.972,43.273,43.706,42.048,43.719,44.094,42.825,41.826,42.963,40.95,40.984,41.622,40.904,40.01,37.891,35.223,35.373,36.25,36.652,36.065,34.952,33.843,33.208,32.684,34.359,34.118,35.049,35.95,35.14,35.124,35.824,34.97,34.164,35.209,35.426,35.657,34.805,34.241,34.537,33.377,32.169,31.973,32.651,34.532,32.101,32.397,32.27,30.507,31.472,30.974,32.394,32.042,30.464,31.485,33.149,32.17,31.543,31.798,32.957,30.557,33.223,34.717,35.718,36.735,37.151,37.572,37.463,38.904,38.841,39.903,40.948,39.804,41.554,41.636,40.138,41.914,40.147,36.375,35.986,32.696,33.473,34.294,34.46,37.165,38.28,39.308,40.195,37.905,38.157,39.084,38.249,37.328,36.864,37.576,37.162,38.102,38.556,36.287,34.962,34.838,35.645,35.949,37.445,34.928,34.496,36.114,36.731,36.732,35.232,34.807,34.006,36.149,37.698,35.072,33.593,35.639,35.467,32.898,34.236
26,B,False,41.931,40.363,40.676,40.522,39.929,40.002,39.0,38.57,38.337,38.414,37.797,37.285,37.97,37.264,38.169,36.323,36.065,36.993,37.254,37.011,36.983,35.97,35.806,35.162,36.774,38.055,36.65,35.231,35.494,34.816,35.962,35.525,35.791,36.035,35.608,35.287,35.152,33.646,34.944,34.608,34.904,36.819,34.494,33.78,32.867,32.759,33.493,32.586,33.728,33.161,33.202,33.635,34.106,34.321,32.807,32.921,34.431,33.878,33.813,33.677,31.238,31.991,31.783,32.54,32.378,34.126,32.329,32.617,31.413,32.143,32.372,32.552,32.417,32.702,32.117,31.635,32.98,32.854,31.818,29.936,30.621,30.03,30.384,29.911,30.366,29.733,29.502,29.743,30.334,30.731,31.147,30.788,30.265,29.755,29.752,29.839,30.433,30.218,29.805,30.155,29.451,30.272,29.694,29.859,29.521,29.868,28.221,28.359,29.156,30.373,29.191,29.908,29.507,30.402,29.386,28.869,29.965,29.02,28.576
27,B,False,6.3712,7.3383,5.8824,7.4878,6.8809,7.2063,6.0676,6.9176,5.6537,5.3702,5.5905,6.1307,5.9444,5.6718,6.2069,5.0941,5.0977,4.7699,5.5526,5.0711,4.4584,5.8257,5.5048,5.1711,6.4909,6.176,6.6317,7.2826,7.1547,5.868,5.7863,7.151,6.1124,5.4062,4.7917,4.5588,4.7577,4.5216,4.8476,4.8186,4.7217,5.1297,4.2258,3.9624,4.5705,5.9674,4.3884,3.2796,3.3316,4.079,4.2375,3.7121,3.4767,4.225,5.623,4.9213,4.4206,4.9358,5.5692,5.3246,4.8103,6.4461,5.9404,5.1832,5.134,5.7143,5.0414,4.9053,5.4026,5.0914,5.3022,4.225,4.7991,5.5763,5.5992,5.4279,4.4254,4.9031,5.3321,4.9774,5.0365,4.749,5.1442,4.7048,4.9128,4.6157,4.6251,3.6914,4.1923,3.996,3.7535,4.1571,3.4743,4.2904,4.9077,4.9455,5.657,4.8469,4.9716,5.0411,5.0865,5.585,4.8756,4.728,4.6978,4.8038,4.0441,5.4215,4.7949,4.7406,4.3564,4.2002,4.321,4.7752,3.9801,4.5921,3.7519,3.5787,4.7727
28,B,False,63.756,63.206,62.958,63.247,64.467,63.964,63.909,63.052,62.556,62.996,63.611,63.175,63.159,63.582,63.58,63.74,63.048,62.83,63.25,63.594,62.923,63.628,63.721,63.564,62.705,61.973,62.746,62.294,61.661,61.91,62.374,62.748,63.552,63.024,62.82,63.24,63.152,61.69,62.242,62.654,62.181,62.282,62.678,62.456,62.494,62.6,63.096,63.812,63.808,63.564,64.226,64.203,63.802,64.581,64.398,63.881,64.315,63.853,64.171,63.072,63.161,63.141,62.589,63.442,64.123,63.325,63.634,63.805,64.214,63.39,63.022,62.747,61.915,61.966,62.715,62.392,61.15,62.629,62.146,61.802,62.014,61.82,61.656,62.013,61.538,62.068,62.121,62.328,62.624,62.309,61.977,61.895,61.407,62.167,62.653,62.073,61.661,62.249,62.693,62.705,61.894,61.707,62.026,62.288,61.706,61.597,61.939,62.263,62.542,62.553,62.59,63.029,63.298,63.338,62.458,63.405,63.266,63.012,63.375
29,B,True,68.151,68.885,68.377,68.913,69.817,69.21,69.001,69.199,69.573,68.879,68.576,68.217,69.605,68.936,69.245,68.617,68.955,69.109,68.647,68.36,68.098,68.31,67.395,66.817,66.667,67.323,66.391,66.293,66.156,67.259,66.744,65.65,66.4,65.603,66.46,65.858,65.617,65.789,65.464,65.858,66.682,65.657,66.659,66.445,66.989,67.429,66.829,66.961,68.02,67.502,68.174,68.123,67.909,67.307,67.421,67.475,67.146,67.712,67.311,67.075,66.43,67.461,66.608,66.718,66.332,66.178,66.737,66.443,67.144,67.505,67.368,67.191,67.296,67.22,67.079,67.784,67.6,67.874,67.003,68.073,68.362,68.562,69.13,69.369,68.802,69.437,69.051,68.85,69.33,68.56,67.684,68.076,68.865,68.455,67.932,68.557,68.55,68.325,68.057,67.941,67.618,67.229,66.085,66.364,66.207,66.561,65.944,66.077,65.678,66.167,66.476,66.244,65.993,65.528,66.15,66.683,66.005,65.723,66.53
30,B,False,20.361,21.09,21.06,21.84,20.754,20.273,19.929,20.383,19.757,19.467,18.614,18.329,18.906,17.838,18.761,18.264,17.379,16.799,17.458,16.426,16.661,16.104,16.434,17.538,16.819,17.67,17.446,17.068,18.696,19.263,18.502,18.394,17.121,18.018,18.206,19.176,18.051,18.321,18.012,17.56,17.925,16.966,16.063,16.844,15.416,15.366,16.334,14.956,13.95,13.417,13.493,12.616,11.923,11.307,10.924,11.308,12.312,11.497,11.804,11.235,12.741,12.174,13.004,11.274,11.861,13.046,13.477,12.419,11.446,12.352,12.029,12.013,11.598,10.729,11.346,10.84,12.381,11.178,9.2236,9.6523,8.982,8.5171,9.1538,9.2673,9.0361,8.1159,8.1326,7.7711,8.7709,7.8699,8.0896,7.7699,7.9126,8.1895,8.387,8.5083,7.6051,7.647,7.2729,7.8797,8.3904,8.0211,7.8469,7.6008,9.0104,8.1779,7.4057,7.8402,7.9752,8.0689,8.9799,9.8279,9.1621,9.5696,10.809,11.411,11.843,11.444,11.786
31,B,False,27.917,27.033,27.088,26.75,26.34,26.661,25.944,26.219,25.268,25.784,27.25,26.291,26.235,26.184,25.213,24.933,24.677,24.297,23.508,22.948,24.406,23.784,25.257,23.975,24.022,23.403,23.206,23.312,23.233,23.516,23.409,22.647,23.317,22.088,23.135,23.494,21.673,21.678,21.508,21.39,21.208,20.488,21.25,21.11,21.006,21.736,20.656,20.714,21.384,21.047,20.586,20.763,19.732,21.585,21.031,20.408,19.545,19.595,18.523,18.915,18.469,18.524,19.141,18.467,17.912,17.861,18.408,17.9,17.434,17.89,17.425,17.342,16.667,16.986,17.33,16.508,16.445,16.483,15.774,15.797,16.26,16.411,16.592,16.532,17.605,17.228,16.522,18.607,17.044,18.088,19.002,17.644,19.055,17.341,17.544,17.526,16.824,16.956,16.923,16.661,16.899,16.91,17.04,17.094,17.022,16.516,17.41,17.429,17.55,17.278,16.695,16.212,15.944,16.548,16.6,16.335,16.227,16.31,16.2
32,B,False,18.475,19.066,19.615,19.864,19.844,20.406,19.97,20.282,19.933,19.133,19.366,19.361,19.288,18.698,19.824,19.99,18.897,19.625,19.267,19.303,20.255,19.971,20.543,20.796,21.657,22.098,21.609,22.289,22.544,23.592,22.219,22.748,22.271,21.789,21.385,22.356,22.833,21.98,22.43,22.563,22.711,22.286,21.297,21.74,23.257,22.197,21.705,21.402,21.846,21.488,21.243,21.617,21.721,22.026,21.165,21.545,21.735,22.787,23.842,22.569,21.886,22.995,22.502,23.067,23.587,23.744,22.855,23.224,22.491,22.139,22.201,22.454,21.283,22.273,22.689,22.248,22.394,22.153,22.132,22.587,23.291,22.921,22.638,23.477,23.809,23.446,24.623,23.975,23.891,24.319,24.904,25.432,25.284,26.333,25.872,26.319,25.481,25.397,26.191,26.112,25.771,26.001,25.913,26.825,26.041,26.011,25.942,26.616,27.27,26.403,26.444,27.198,26.567,26.507,26.856,26.56,26.866,26.747,27.18
33,B,False,2.8568,2.4587,2.701,3.085,2.9814,3.2975,3.1717,3.7035,3.6589,3.9664,3.9426,4.3101,4.5638,4.6886,5.0231,5.5398,5.434,5.895,5.7205,5.8334,5.8955,4.9109,4.5443,4.6555,4.5509,4.654,4.1587,4.4618,4.5883,5.329,5.566,5.6009,5.4547,5.6878,5.6623,5.548,6.0784,6.8668,6.6132,7.3001,7.0496,6.8528,6.747,7.191,7.0955,6.5107,6.3888,8.2528,8.0415,8.2042,8.5832,8.3931,8.6528,8.9646,8.8986,8.2643,7.4141,8.5365,7.0915,6.7104,7.7688,7.7482,8.2809,7.0141,5.6845,6.8617,5.6632,6.1859,6.1861,6.4112,5.9656,5.8537,6.862,6.4457,6.7691,7.136,7.2259,7.1487,7.39,7.1501,7.7958,7.1952,6.8343,7.2732,7.326,6.8742,6.5323,6.6136,6.5538,6.9939,6.5754,6.5761,6.7598,6.175,7.0811,7.2227,7.2384,7.6514,8.0221,8.0513,7.6618,8.1123,8.1453,8.1507,7.6618,8.466,7.477,8.6763,8.791,9.0129,8.4921,8.725,8.7165,8.631,9.122,9.0109,10.063,10.46,9.2813
34,B,False,69.001,69.199,69.573,68.879,68.576,68.217,69.605,68.936,69.245,68.617,68.955,69.109,68.647,68.36,68.098,68.31,67.395,66.817,66.667,67.323,66.391,66.293,66.156,67.259,66.744,65.65,66.4,65.603,66.46,65.858,65.617,65.789,65.464,65.858,66.682,65.657,66.659,66.445,66.989,67.429,66.829,66.961,68.02,67.502,68.174,68.123,67.909,67.307,67.421,67.475,67.146,67.712,67.311,67.075,66.43,67.461,66.608,66.718,66.332,66.178,66.737,66.443,67.144,67.505,67.368,67.191,67.296,67.22,67.079,67.784,67.6,67.874,67.003,68.073,68.362,68.562,69.13,69.369,68.802,69.437,69.051,68.85,69.33,68.56,67.684,68.076,68.865,68.455,67.932,68.557,68.55,68.325,68.057,67.941,67.618,67.229,66.085,66.364,66.207,66.561,65.944,66.077,65.678,66.167,66.476,66.244,65.993,65.528,66.15,66.683,66.005,65.723,66.53,65.441,65.66,66.521,67.069,66.291,65.573
35,B,True,35.16,36.191,34.841,33.912,34.978,34.955,34.175,34.033,34.635,34.389,33.179,32.1,31.786,32.909,31.758,33.586,32.045,32.664,32.631,33.274,32.116,31.275,30.93,30.887,30.574,30.207,32.001,31.979,32.066,32.156,31.494,30.948,31.413,30.601,31.553,31.014,31.943,31.993,30.804,30.794,30.823,30.469,30.181,29.88,29.267,29.11,30.262,30.287,30.135,29.82,29.624,29.891,29.691,28.893,28.957,29.924,29.288,29.817,31.184,29.65,30.453,30.09,30.905,30.3,30.044,29.239,30.216,30.168,30.286,30.254,29.274,29.737,29.357,28.842,30.035,29.603,27.987,28.694,29.301,30.474,30.971,28.978,30.339,28.447,30.357,31.029,30.595,29.502,29.913,30.52,30.219,30.462,29.867,28.403,28.335,28.513,28.871,28.284,28.689,29.797,29.162,28.566,29.516,28.868,29.353,28.942,28.594,27.889,28.566,28.645,29.217,29.921,30.359,30.155,29.687,29.411,28.633,28.117,28.464
36,B,False,58.448,58.25,58.567,58.12,57.735,58.249,58.195,58.051,57.92,57.591,57.556,57.474,57.04,57.431,57.352,57.025,56.73,57.026,57.305,56.857,57.124,57.274,57.491,57.616,57.296,57.551,57.403,57.354,57.863,58.023,57.958,58.163,58.235,58.761,59.303,59.351,59.179,59.404,60.244,60.313,60.106,60.445,61.306,61.124,61.298,61.362,61.143,61.187,60.994,60.42,59.8,59.705,60.186,59.723,59.618,59.184,59.487,59.796,59.901,59.632,60.219,60.622,60.451,60.705,61.247,61.493,61.581,61.539,62.101,61.924,61.989,61.972,62.261,62.294,61.63,62.061,61.623,61.833,61.466,61.142,61.454,61.824,61.748,62.08,62.067,62.063,61.537,61.497,61.498,61.714,61.809,61.339,61.374,61.07,61.213,60.377,59.991,60.125,60.059,59.482,59.536,59.317,60.218,59.991,60.451,61.053,61.392,61.917,62.458,62.435,62.311,62.198,62.118,62.266,61.852,61.749,61.519,61.411,60.969
37,B,False,20.32,21.558,21.565,19.183,22.107,24.346,25.497,24.437,25.5,26.429,25.92,29.316,27.399,29.069,28.917,30.123,26.78,26.082,28.264,27.63,28.119,28.928,26.845,25.564,26.021,25.96,26.257,24.443,25.303,22.523,22.4,23.636,23.424,24.373,21.789,21.104,21.61,22.315,23.287,23.641,24.23,22.686,23.939,24.969,27.251,27.381,28.059,25.684,26.241,27.153,26.081,27.036,28.037,26.731,27.016,26.513,25.781,26.924,26.305,27.016,27.325,23.269,24.233,25.214,23.26,25.157,24.369,24.379,25.938,24.736,22.937,21.951,22.433,21.871,23.248,22.849,23.706,24.676,23.689,23.339,23.864,26.248,27.53,26.73,28.705,26.834,26.652,26.528,26.847,25.847,27.259,27.653,27.047,26.451,27.465,26.99,27.278,25.86,26.749,28.214,27.724,26.71,26.858,28.215,26.877,24.347,25.891,24.935,24.319,26.529,26.862,27.015,26.729,27.322,27.76,27.876,25.39,25.571,24.852
38,B,False,58.567,58.12,57.735,58.249,58.195,58.051,57.92,57.591,57.556,57.474,57.04,57.431,57.352,57.025,56.73,57.026,57.305,56.857,57.124,57.274,57.491,57.616,57.296,57.551,57.403,57.354,57.863,58.023,57.958,58.163,58.235,58.761,59.303,59.351,59.179,59.404,60.244,60.313,60.106,60.445,61.306,61.124,61.298,61.362,61.143,61.187,60.994,60.42,59.8,59.705,60.186,59.723,59.618,59.184,59.487,59.796,59.901,59.632,60.219,60.622,60.451,60.705,61.247,61.493,61.581,61.539,62.101,61.924,61.989,61.972,62.261,62.294,61.63,62.061,61.623,61.833,61.466,61.142,61.454,61.824,61.748,62.08,62.067,62.063,61.537,61.497,61.498,61.714,61.809,61.339,61.374,61.07,61.213,60.377,59.991,60.125,60.059,59.482,59.536,59.317,60.218,59.991,60.451,61.053,61.392,61.917,62.458,62.435,62.311,62.198,62.118,62.266,61.852,61.749,61.519,61.411,60.969,60.695,60.145
39,B,False,17.455,13.34,13.712,18.717,14.815,19.406,20.532,21.536,17.924,18.583,19.548,20.293,24.241,22.236,19.5,20.32,21.558,21.565,19.183,22.107,24.346,25.497,24.437,25.5,26.429,25.92,29.316,27.399,29.069,28.917,30.123,26.78,26.082,28.264,27.63,28.119,28.928,26.845,25.564,26.021,25.96,26.257,24.443,25.303,22.523,22.4,23.636,23.424,24.373,21.789,21.104,21.61,22.315,23.287,23.641,24.23,22.686,23.939,24.969,27.251,27.381,28.059,25.684,26.241,27.153,26.081,27.036,28.037,26.731,27.016,26.513,25.781,26.924,26.305,27.016,27.325,23.269,24.233,25.214,23.26,25.157,24.369,24.379,25.938,24.736,22.937,21.951,22.433,21.871,23.248,22.849,23.706,24.676,23.689,23.339,23.864,26.248,27.53,26.73,28.705,26.834,26.652,26.528,26.847,25.847,27.259,27.653,27.047,26.451,27.465,26.99,27.278,25.86,26.749,28.214,27.724,26.71,26.858,28.215
40,B,False,21.61,22.315,23.287,23.641,24.23,22.686,23.939,24.969,27.251,27.381,28.059,25.684,26.241,27.153,26.081,27.036,28.037,26.731,27.016,26.513,25.781,26.924,26.305,27.016,27.325,23.269,24.233,25.214,23.26,25.157,24.369,24.379,25.938,24.736,22.937,21.951,22.433,21.871,23.248,22.849,23.706,24.676,23.689,23.339,23.864,26.248,27.53,26.73,28.705,26.834,26.652,26.528,26.847,25.847,27.259,27.653,27.047,26.451,27.465,26.99,27.278,25.86,26.749,28.214,27.724,26.71,26.858,28.215,26.877,24.347,25.891,24.935,24.319,26.529,26.862,27.015,26.729,27.322,27.76,27.876,25.39,25.571,24.852,23.607,23.773,24.29,24.813,23.515,24.068,24.297,23.315,24.358,23.225,23.108,22.599,20.594,20.689,20.22,20.808,19.783,19.971,20.569,20.297,20.46,21.623,21.018,19.819,19.793,21.906,20.606,21.101,21.496,21.669,21.33,20.618,21.59,22.043,23.004,21.03
41,B,False,37.367,38.252,38.515,38.562,39.117,38.611,38.952,39.726,39.977,39.784,39.035,38.487,38.329,38.315,38.51,38.379,38.592,38.058,37.936,37.903,37.76,37.981,38.132,38.338,37.562,37.084,37.264,37.73,38.083,37.58,39.015,38.947,39.389,38.708,38.981,38.301,38.448,39.245,38.657,38.871,39.165,38.972,39.096,39.054,39.048,38.257,38.765,39.01,39.147,39.52,39.581,39.235,38.985,39.098,38.991,39.178,39.229,39.449,39.017,39.354,39.417,39.481,39.729,39.688,39.647,38.643,39.162,39.844,39.958,40.323,39.932,40.79,41.138,41.37,41.611,41.721,41.216,41.36,41.032,40.982,40.564,41.16,40.85,41.412,41.05,41.213,41.545,41.925,42.16,42.942,42.345,41.631,41.424,41.457,42.15,42.002,42.076,42.624,42.976,42.515,42.212,42.193,41.962,41.492,41.388,40.617,40.609,40.495,40.648,40.699,40.836,40.203,40.139,40.78,40.324,40.253,39.804,39.78,40.742
42,B,False,56.824,57.417,58.072,56.131,55.875,56.281,55.733,55.194,54.622,54.547,54.111,52.326,52.65,53.697,53.872,53.792,53.623,53.743,55.394,55.303,55.753,55.522,55.135,55.581,54.822,55.758,54.949,53.874,55.003,54.286,53.99,52.423,52.789,53.196,52.895,53.018,53.761,54.134,55.069,55.837,55.927,56.44,56.061,56.175,57.386,57.091,56.315,55.837,55.698,57.203,57.43,56.914,57.151,58.221,58.233,58.618,57.446,57.049,57.918,57.352,56.867,57.61,57.463,56.505,56.879,56.865,57.394,57.148,57.105,56.555,56.1,55.765,55.229,55.68,54.642,54.463,55.326,55.677,56.605,57.845,58.328,58.964,59.859,60.632,59.712,60.964,61.809,62.248,62.009,62.023,61.44,61.232,60.562,61.489,60.894,60.479,61.241,60.741,60.507,60.581,60.406,60.891,60.832,61.649,62.486,63.023,63.183,64.364,64.304,63.555,64.468,65.001,64.873,64.702,65.063,64.802,64.994,65.006,64.593
43,B,False,34.359,34.118,35.049,35.95,35.14,35.124,35.824,34.97,34.164,35.209,35.426,35.657,34.805,34.241,34.537,33.377,32.169,31.973,32.651,34.532,32.101,32.397,32.27,30.507,31.472,30.974,32.394,32.042,30.464,31.485,33.149,32.17,31.543,31.798,32.957,30.557,33.223,34.717,35.718,36.735,37.151,37.572,37.463,38.904,38.841,39.903,40.948,39.804,41.554,41.636,40.138,41.914,40.147,36.375,35.986,32.696,33.473,34.294,34.46,37.165,38.28,39.308,40.195,37.905,38.157,39.084,38.249,37.328,36.864,37.576,37.162,38.102,38.556,36.287,34.962,34.838,35.645,35.949,37.445,34.928,34.496,36.114,36.731,36.732,35.232,34.807,34.006,36.149,37.698,35.072,33.593,35.639,35.467,32.898,34.236,35.078,34.777,35.412,33.519,34.551,35.176,36.995,37.655,37.294,36.553,36.787,35.622,35.333,36.112,36.092,36.346,36.468,36.734,35.718,35.747,35.544,33.983,33.356,32.7
44,B,False,41.925,42.16,42.942,42.345,41.631,41.424,41.457,42.15,42.002,42.076,42.624,42.976,42.515,42.212,42.193,41.962,41.492,41.388,40.617,40.609,40.495,40.648,40.699,40.836,40.203,40.139,40.78,40.324,40.253,39.804,39.78,40.742,40.547,41.019,41.323,41.356,41.463,41.586,41.612,41.582,41.985,42.864,43.498,42.248,42.324,42.415,42.863,42.44,42.814,42.846,42.313,42.452,42.55,42.881,42.119,41.78,41.714,41.543,41.166,42.778,42.343,42.47,42.81,42.731,42.11,43.257,43.522,42.585,42.444,41.994,42.361,42.027,42.745,43.177,42.844,42.063,41.809,42.29,41.855,41.91,41.906,41.637,42.963,42.71,42.538,42.605,42.829,43.366,42.844,42.586,43.002,43.0,43.594,43.257,43.164,43.59,43.346,43.156,44.257,44.506,45.086,44.272,44.444,44.266,44.543,44.489,44.022,44.355,44.19,43.815,44.418,43.397,43.589,43.319,42.945,43.285,45.011,43.782,44.749
45,B,False,28.869,29.965,29.02,28.576,29.579,28.765,28.099,28.357,28.871,29.274,27.858,27.777,26.898,27.468,27.655,27.917,27.033,27.088,26.75,26.34,26.661,25.944,26.219,25.268,25.784,27.25,26.291,26.235,26.184,25.213,24.933,24.677,24.297,23.508,22.948,24.406,23.784,25.257,23.975,24.022,23.403,23.206,23.312,23.233,23.516,23.409,22.647,23.317,22.088,23.135,23.494,21.673,21.678,21.508,21.39,21.208,20.488,21.25,21.11,21.006,21.736,20.656,20.714,21.384,21.047,20.586,20.763,19.732,21.585,21.031,20.408,19.545,19.595,18.523,18.915,18.469,18.524,19.141,18.467,17.912,17.861,18.408,17.9,17.434,17.89,17.425,17.342,16.667,16.986,17.33,16.508,16.445,16.483,15.774,15.797,16.26,16.411,16.592,16.532,17.605,17.228,16.522,18.607,17.044,18.088,19.002,17.644,19.055,17.341,17.544,17.526,16.824,16.956,16.923,16.661,16.899,16.91,17.04,17.094
