,FLARE_TYPE,COINCIDENCE,SHRGT45_1,SHRGT45_2,SHRGT45_3,SHRGT45_4,SHRGT45_5,SHRGT45_6,SHRGT45_7,SHRGT45_8,SHRGT45_9,SHRGT45_10,SHRGT45_11,SHRGT45_12,SHRGT45_13,SHRGT45_14,SHRGT45_15,SHRGT45_16,SHRGT45_17,SHRGT45_18,SHRGT45_19,SHRGT45_20,SHRGT45_21,SHRGT45_22,SHRGT45_23,SHRGT45_24,SHRGT45_25,SHRGT45_26,SHRGT45_27,SHRGT45_28,SHRGT45_29,SHRGT45_30,SHRGT45_31,SHRGT45_32,SHRGT45_33,SHRGT45_34,SHRGT45_35,SHRGT45_36,SHRGT45_37,SHRGT45_38,SHRGT45_39,SHRGT45_40,SHRGT45_41,SHRGT45_42,SHRGT45_43,SHRGT45_44,SHRGT45_45,SHRGT45_46,SHRGT45_47,SHRGT45_48,SHRGT45_49,SHRGT45_50,SHRGT45_51,SHRGT45_52,SHRGT45_53,SHRGT45_54,SHRGT45_55,SHRGT45_56,SHRGT45_57,SHRGT45_58,SHRGT45_59,SHRGT45_60,SHRGT45_61,SHRGT45_62,SHRGT45_63,SHRGT45_64,SHRGT45_65,SHRGT45_66,SHRGT45_67,SHRGT45_68,SHRGT45_69,SHRGT45_70,SHRGT45_71,SHRGT45_72,SHRGT45_73,SHRGT45_74,SHRGT45_75,SHRGT45_76,SHRGT45_77,SHRGT45_78,SHRGT45_79,SHRGT45_80,SHRGT45_81,SHRGT45_82,SHRGT45_83,SHRGT45_84,SHRGT45_85,SHRGT45_86,SHRGT45_87,SHRGT45_88,SHRGT45_89,SHRGT45_90,SHRGT45_91,SHRGT45_92,SHRGT45_93,SHRGT45_94,SHRGT45_95,SHRGT45_96,SHRGT45_97,SHRGT45_98,SHRGT45_99,SHRGT45_100,SHRGT45_101,SHRGT45_102,SHRGT45_103,SHRGT45_104,SHRGT45_105,SHRGT45_106,SHRGT45_107,SHRGT45_108,SHRGT45_109,SHRGT45_110,SHRGT45_111,SHRGT45_112,SHRGT45_113,SHRGT45_114,SHRGT45_115,SHRGT45_116,SHRGT45_117,SHRGT45_118,SHRGT45_119
10,B,True,58.589,59.018,59.524,59.168,58.899,59.344,58.629,58.726,58.918,58.448,58.25,58.567,58.12,57.735,58.249,58.195,58.051,57.92,57.591,57.556,57.474,57.04,57.431,57.352,57.025,56.73,57.026,57.305,56.857,57.124,57.274,57.491,57.616,57.296,57.551,57.403,57.354,57.863,58.023,57.958,58.163,58.235,58.761,59.303,59.351,59.179,59.404,60.244,60.313,60.106,60.445,61.306,61.124,61.298,61.362,61.143,61.187,60.994,60.42,59.8,59.705,60.186,59.723,59.618,59.184,59.487,59.796,59.901,59.632,60.219,60.622,60.451,60.705,61.247,61.493,61.581,61.539,62.101,61.924,61.989,61.972,62.261,62.294,61.63,62.061,61.623,61.833,61.466,61.142,61.454,61.824,61.748,62.08,62.067,62.063,61.537,61.497,61.498,61.714,61.809,61.339,61.374,61.07,61.213,60.377,59.991,60.125,60.059,59.482,59.536,59.317,60.218,59.991,60.451,61.053,61.392,61.917,62.458,62.435
11,B,True,8.9818,8.9984,8.8105,8.2232,8.6773,8.9571,9.0018,8.9495,8.7044,8.5809,8.5,8.6785,8.5868,8.4562,8.8194,8.7883,9.2646,9.2057,10.026,10.127,9.5892,9.9898,9.9152,9.6672,9.6208,9.6857,10.138,9.9881,9.5446,9.6084,9.5876,9.7342,9.6599,9.328,9.0773,9.3004,9.4602,9.4531,9.0555,9.1846,9.3527,9.3638,9.0935,9.4235,9.7107,9.7212,9.8119,9.6126,9.8946,10.499,10.337,10.522,10.952,10.932,10.791,11.022,11.076,10.843,10.976,10.969,11.233,11.065,11.388,10.975,10.756,10.132,10.234,10.408,10.549,10.475,10.458,10.478,10.856,11.12,11.813,11.582,11.358,11.384,11.402,11.303,11.413,11.39,11.837,11.253,11.578,10.917,11.1,11.418,11.279,10.859,10.938,11.183,11.347,10.842,11.255,11.387,11.385,11.14,11.337,11.439,11.725,11.314,11.19,12.243,12.193,12.031,12.052,12.308,12.16,12.333,12.62,12.369,12.81,11.802,12.194,12.28,12.689,12.503,12.529
12,B,True,5.5398,5.434,5.895,5.7205,5.8334,5.8955,4.9109,4.5443,4.6555,4.5509,4.654,4.1587,4.4618,4.5883,5.329,5.566,5.6009,5.4547,5.6878,5.6623,5.548,6.0784,6.8668,6.6132,7.3001,7.0496,6.8528,6.747,7.191,7.0955,6.5107,6.3888,8.2528,8.0415,8.2042,8.5832,8.3931,8.6528,8.9646,8.8986,8.2643,7.4141,8.5365,7.0915,6.7104,7.7688,7.7482,8.2809,7.0141,5.6845,6.8617,5.6632,6.1859,6.1861,6.4112,5.9656,5.8537,6.862,6.4457,6.7691,7.136,7.2259,7.1487,7.39,7.1501,7.7958,7.1952,6.8343,7.2732,7.326,6.8742,6.5323,6.6136,6.5538,6.9939,6.5754,6.5761,6.7598,6.175,7.0811,7.2227,7.2384,7.6514,8.0221,8.0513,7.6618,8.1123,8.1453,8.1507,7.6618,8.466,7.477,8.6763,8.791,9.0129,8.4921,8.725,8.7165,8.631,9.122,9.0109,10.063,10.46,9.2813,9.9108,10.205,10.244,10.197,10.033,9.4997,9.5706,9.8213,9.6071,9.6555,9.0904,9.9913,9.2242,9.6592,9.948
13,B,True,7.0475,5.9986,5.9312,7.9581,7.0993,6.5786,6.5428,7.249,7.8577,7.1875,7.3296,6.0662,6.3234,6.3501,6.82,7.1213,7.1244,7.0976,7.6207,6.3484,6.3959,6.5223,6.4211,6.4218,6.0362,6.1826,6.099,5.6507,5.4277,5.2982,6.0229,5.9324,6.2332,6.0092,6.25,6.6569,6.7877,6.6779,7.6148,6.9822,6.74,5.6995,5.1632,6.0005,6.6891,6.0273,6.392,6.9738,5.8184,5.4656,5.7211,5.177,5.3433,5.309,5.2041,5.2866,6.3968,6.1442,6.375,6.6756,5.3832,5.9016,5.6174,5.7494,5.6203,6.1281,5.8779,7.1588,6.7337,6.2926,6.5946,6.8176,7.1944,6.4351,6.4817,5.6871,5.3044,6.267,5.6376,6.4145,7.2705,6.381,6.1807,7.0755,6.5866,7.9841,7.8467,7.8618,7.6051,7.0631,7.3687,7.2593,7.6324,7.2836,7.6411,6.7552,6.342,7.3934,6.5204,6.3712,7.3383,5.8824,7.4878,6.8809,7.2063,6.0676,6.9176,5.6537,5.3702,5.5905,6.1307,5.9444,5.6718,6.2069,5.0941,5.0977,4.7699,5.5526,5.0711
14,B,True,37.891,35.223,35.373,36.25,36.652,36.065,34.952,33.843,33.208,32.684,34.359,34.118,35.049,35.95,35.14,35.124,35.824,34.97,34.164,35.209,35.426,35.657,34.805,34.241,34.537,33.377,32.169,31.973,32.651,34.532,32.101,32.397,32.27,30.507,31.472,30.974,32.394,32.042,30.464,31.485,33.149,32.17,31.543,31.798,32.957,30.557,33.223,34.717,35.718,36.735,37.151,37.572,37.463,38.904,38.841,39.903,40.948,39.804,41.554,41.636,40.138,41.914,40.147,36.375,35.986,32.696,33.473,34.294,34.46,37.165,38.28,39.308,40.195,37.905,38.157,39.084,38.249,37.328,36.864,37.576,37.162,38.102,38.556,36.287,34.962,34.838,35.645,35.949,37.445,34.928,34.496,36.114,36.731,36.732,35.232,34.807,34.006,36.149,37.698,35.072,33.593,35.639,35.467,32.898,34.236,35.078,34.777,35.412,33.519,34.551,35.176,36.995,37.655,37.294,36.553,36.787,35.622,35.333,36.112
15,B,True,37.0,36.77,37.194,36.605,37.404,36.187,37.165,37.915,38.344,37.859,37.871,37.677,37.954,38.019,37.432,37.776,37.862,37.888,37.367,38.252,38.515,38.562,39.117,38.611,38.952,39.726,39.977,39.784,39.035,38.487,38.329,38.315,38.51,38.379,38.592,38.058,37.936,37.903,37.76,37.981,38.132,38.338,37.562,37.084,37.264,37.73,38.083,37.58,39.015,38.947,39.389,38.708,38.981,38.301,38.448,39.245,38.657,38.871,39.165,38.972,39.096,39.054,39.048,38.257,38.765,39.01,39.147,39.52,39.581,39.235,38.985,39.098,38.991,39.178,39.229,39.449,39.017,39.354,39.417,39.481,39.729,39.688,39.647,38.643,39.162,39.844,39.958,40.323,39.932,40.79,41.138,41.37,41.611,41.721,41.216,41.36,41.032,40.982,40.564,41.16,40.85,41.412,41.05,41.213,41.545,41.925,42.16,42.942,42.345,41.631,41.424,41.457,42.15,42.002,42.076,42.624,42.976,42.515,42.212
16,B,True,20.864,20.27,20.361,21.09,21.06,21.84,20.754,20.273,19.929,20.383,19.757,19.467,18.614,18.329,18.906,17.838,18.761,18.264,17.379,16.799,17.458,16.426,16.661,16.104,16.434,17.538,16.819,17.67,17.446,17.068,18.696,19.263,18.502,18.394,17.121,18.018,18.206,19.176,18.051,18.321,18.012,17.56,17.925,16.966,16.063,16.844,15.416,15.366,16.334,14.956,13.95,13.417,13.493,12.616,11.923,11.307,10.924,11.308,12.312,11.497,11.804,11.235,12.741,12.174,13.004,11.274,11.861,13.046,13.477,12.419,11.446,12.352,12.029,12.013,11.598,10.729,11.346,10.84,12.381,11.178,9.2236,9.6523,8.982,8.5171,9.1538,9.2673,9.0361,8.1159,8.1326,7.7711,8.7709,7.8699,8.0896,7.7699,7.9126,8.1895,8.387,8.5083,7.6051,7.647,7.2729,7.8797,8.3904,8.0211,7.8469,7.6008,9.0104,8.1779,7.4057,7.8402,7.9752,8.0689,8.9799,9.8279,9.1621,9.5696,10.809,11.411,11.843
17,B,False,32.965,33.391,34.279,35.359,35.123,32.685,32.005,31.357,29.206,26.739,23.479,23.912,23.064,22.769,23.183,22.614,23.776,24.752,26.971,27.43,28.898,30.038,29.026,29.052,29.949,29.866,29.904,29.448,28.473,29.379,28.557,27.825,26.463,28.377,28.051,26.91,28.423,28.45,28.359,28.099,28.412,27.911,27.938,28.65,28.227,27.321,26.557,25.977,25.111,26.856,26.428,26.047,26.187,26.124,25.784,27.226,27.87,28.475,28.458,29.348,28.97,28.626,27.723,27.579,28.084,26.803,25.746,24.305,21.286,20.065,21.3,21.02,20.661,21.709,21.662,22.583,23.61,24.027,24.03,24.583,25.69,26.011,25.649,25.111,24.86,23.87,24.335,23.772,23.194,23.252,22.431,21.889,20.595,19.848,17.954,17.653,17.754,15.991,14.851,13.979,13.935,14.883,15.775,14.652,13.929,14.64,15.19,16.804,17.873,16.836,18.058,20.002,21.198,20.435,20.329,19.565,19.459,19.219,20.893
18,B,False,3.3333,3.0118,3.0971,3.3243,3.384,3.477,3.0251,3.1643,3.2755,3.0201,2.9538,3.2884,2.5492,2.9359,2.997,2.8986,2.8497,2.821,2.8295,2.3521,2.5321,2.3053,1.9312,2.1807,2.3728,2.1588,2.1874,2.2473,1.8206,1.8389,2.6158,2.6056,2.4523,2.685,2.3353,2.8859,2.914,2.9235,3.7304,5.3554,6.2395,6.0998,6.2465,7.2918,7.3536,6.4005,6.5215,7.4635,6.0834,6.8777,7.3116,7.6358,8.793,8.538,8.5696,7.941,7.8557,7.782,8.2536,7.1729,8.4502,9.5439,10.241,9.5609,10.935,9.5091,9.2451,10.646,10.811,10.121,10.888,10.74,11.261,12.801,12.613,11.993,11.884,11.289,10.655,9.7853,9.4284,11.013,11.0,12.37,11.909,11.32,12.151,11.431,12.517,13.543,13.356,15.551,15.153,15.37,15.25,15.683,14.079,15.501,14.653,15.759,15.749,16.039,15.181,14.466,16.405,16.87,15.621,16.088,16.69,16.268,17.581,16.67,17.582,15.74,14.55,14.438,13.819,13.64,13.828
19,B,True,22.923,22.704,22.488,22.634,23.473,24.22,23.677,24.041,24.981,25.384,25.003,24.24,23.969,24.922,24.151,24.928,24.154,24.886,25.034,25.096,24.39,25.317,24.483,25.618,25.842,24.857,24.426,25.917,25.352,25.812,25.162,24.515,26.275,26.809,25.839,25.837,24.442,24.011,23.32,23.498,21.948,21.942,22.456,22.082,20.996,21.189,21.338,21.394,19.211,19.215,18.319,18.566,18.867,18.408,17.626,18.082,18.185,17.422,17.724,17.507,17.577,17.464,17.242,18.499,18.913,18.163,19.683,19.316,19.421,19.3,19.242,19.84,20.183,20.948,19.07,18.9,19.69,18.719,18.612,18.219,19.155,18.145,17.403,16.696,17.678,17.055,17.809,16.455,16.621,16.86,17.02,16.442,17.731,18.847,18.068,17.216,17.032,18.395,17.964,16.996,17.603,16.816,17.0,16.154,16.21,17.199,17.831,17.302,17.173,17.075,16.297,15.518,15.345,14.841,14.778,13.942,13.191,13.442,13.879
