,FLARE_TYPE,COINCIDENCE,d_l_f_1,d_l_f_2,d_l_f_3,d_l_f_4,d_l_f_5,d_l_f_6,d_l_f_7,d_l_f_8,d_l_f_9,d_l_f_10,d_l_f_11,d_l_f_12,d_l_f_13,d_l_f_14,d_l_f_15,d_l_f_16,d_l_f_17,d_l_f_18,d_l_f_19,d_l_f_20,d_l_f_21,d_l_f_22,d_l_f_23,d_l_f_24,d_l_f_25,d_l_f_26,d_l_f_27,d_l_f_28,d_l_f_29,d_l_f_30,d_l_f_31,d_l_f_32,d_l_f_33,d_l_f_34,d_l_f_35,d_l_f_36,d_l_f_37,d_l_f_38,d_l_f_39,d_l_f_40,d_l_f_41,d_l_f_42,d_l_f_43,d_l_f_44,d_l_f_45,d_l_f_46,d_l_f_47,d_l_f_48,d_l_f_49,d_l_f_50,d_l_f_51,d_l_f_52,d_l_f_53,d_l_f_54,d_l_f_55,d_l_f_56,d_l_f_57,d_l_f_58,d_l_f_59,d_l_f_60,d_l_f_61,d_l_f_62,d_l_f_63,d_l_f_64,d_l_f_65,d_l_f_66,d_l_f_67,d_l_f_68,d_l_f_69,d_l_f_70,d_l_f_71,d_l_f_72,d_l_f_73,d_l_f_74,d_l_f_75,d_l_f_76,d_l_f_77,d_l_f_78,d_l_f_79,d_l_f_80,d_l_f_81,d_l_f_82,d_l_f_83,d_l_f_84,d_l_f_85,d_l_f_86,d_l_f_87,d_l_f_88,d_l_f_89,d_l_f_90,d_l_f_91,d_l_f_92,d_l_f_93,d_l_f_94,d_l_f_95,d_l_f_96,d_l_f_97,d_l_f_98,d_l_f_99,d_l_f_100,d_l_f_101,d_l_f_102,d_l_f_103,d_l_f_104,d_l_f_105,d_l_f_106,d_l_f_107,d_l_f_108,d_l_f_109,d_l_f_110,d_l_f_111,d_l_f_112,d_l_f_113,d_l_f_114,d_l_f_115,d_l_f_116,d_l_f_117,d_l_f_118,d_l_f_119
10,B,True,129.07,111.46,106.39,105.08,129.57,127.4,127.3,129.15,127.06,128.08,129.73,128.61,126.21,125.97,131.42,113.48,107.42,117.34,135.46,118.02,117.02,0.0,148.66,148.66,35.06,117.04,77.106,118.04,128.65,119.07,120.07,120.13,33.499,32.65,0.0,90.758,84.526,80.035,81.582,65.413,66.284,90.594,95.53,82.154,89.579,66.807,90.028,125.18,68.582,65.043,123.19,124.25,32.684,0.0,0.0,0.0,150.22,150.29,32.802,0.0,0.0,0.0,38.136,38.136,0.0,0.0,0.0,26.82,34.059,34.059,33.601,0.0,32.65,0.0,29.941,29.148,29.279,36.749,37.209,30.252,31.02,20.779,36.359,35.791,0.0,0.0,0.0,0.0,0.0,33.29,0.0,0.0,0.0,0.0,0.0,33.242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.336,37.216,33.653,0.0,0.0,0.0,35.128,0.0
11,B,True,455.77,463.37,462.93,463.64,462.82,462.23,451.22,461.96,461.41,461.65,461.43,451.54,454.19,461.71,462.61,462.78,462.24,462.88,462.48,462.73,464.13,463.37,463.57,463.28,464.31,463.68,463.56,464.07,465.58,465.81,463.94,464.7,464.98,465.83,466.06,465.88,466.05,465.32,465.97,467.38,467.23,461.05,465.19,466.0,465.74,465.25,462.35,460.54,459.8,460.32,458.97,457.4,457.05,458.29,458.59,455.49,453.09,449.84,453.46,452.91,453.51,454.69,458.51,457.76,458.36,459.22,459.19,459.71,458.33,459.08,459.7,461.56,460.81,461.71,459.32,456.15,456.72,458.6,458.05,460.35,459.13,458.14,456.71,459.64,459.25,459.8,459.04,458.51,457.34,456.85,458.19,459.17,458.27,459.24,459.16,458.38,458.9,458.03,458.3,463.41,469.38,466.85,467.97,468.98,468.55,468.25,468.25,469.82,469.88,469.79,469.79,469.05,469.94,469.84,470.79,469.74,469.81,470.79,470.79
12,B,True,0.0,0.0,14.142,13.153,13.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.646,56.08,55.082,57.035,48.875,81.944,105.12,78.334,64.662,69.669,64.803,62.582,63.033,65.667,62.303,65.967,59.524,61.424,59.384,52.809,53.009,53.009,61.564,52.0,51.0,52.118,65.925,60.21,47.024,52.266,54.521,52.593,45.177,45.1,44.045,43.105,44.045,44.011,44.045,45.011,45.011,44.045,43.105,64.903,72.003,65.634,58.71,76.772,83.268,72.396,62.911,65.954,105.86,59.805,102.47,107.54,106.07,106.75,106.13,102.34,100.75,98.516,102.26,91.788,91.924,91.924,102.88,101.24,92.779,93.771,93.771,94.763,93.771,94.763,94.895,95.885,95.885,96.876,97.015,96.876,96.876,97.867,97.739,98.615,98.615,98.732,99.725,100.72,101.71,101.71,101.71,101.6,102.59,102.59,102.49,103.59,104.48,104.48,104.48,105.57,105.39,105.48,107.38,108.46,108.46,109.55,0.0
13,B,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,B,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.763,16.155,0.0,16.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.56,0.0,0.0,0.0,0.0,0.0,13.153,0.0,14.56,0.0,0.0,0.0,15.524,15.811,14.866,0.0,14.56,0.0,0.0,0.0,0.0,13.601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.09,51.039,51.039,52.393,51.431,52.54,49.493,53.474,53.813,59.18,60.369,61.045,64.008,64.008,65.008,63.567,64.631,66.863,66.068,67.067,68.066,68.629,68.118,68.833,68.843,68.715,68.162,69.189,71.152,71.308,72.452,72.79,72.636,74.731,74.837,74.866,74.818,74.9,75.852,76.876,76.989,75.434,74.385,76.205,76.67,75.712,76.529,79.9,79.807,79.75,81.453,81.928,81.984,81.878,80.781,79.133,79.874,79.353,79.926
15,B,True,236.35,234.94,234.87,234.59,233.42,233.63,234.05,235.19,234.84,235.47,235.03,234.3,234.34,234.84,234.47,234.12,233.98,234.48,233.42,234.11,234.7,236.13,235.53,235.59,236.19,236.95,237.34,235.79,236.49,236.33,236.26,237.74,237.23,236.88,236.67,237.48,239.03,237.9,240.27,238.21,237.8,239.25,238.6,237.67,238.03,238.03,237.23,238.06,239.33,238.38,237.41,237.25,236.69,238.07,237.09,236.91,237.33,238.04,238.71,238.61,239.21,239.75,238.39,238.81,239.25,238.96,240.11,239.55,238.51,239.74,238.06,237.61,238.25,238.44,238.45,238.8,238.55,237.79,237.77,238.47,238.32,238.85,237.44,237.55,239.42,239.07,237.87,237.79,238.41,237.96,237.33,237.96,237.58,238.97,238.43,238.62,238.12,238.65,238.22,238.16,238.2,238.16,238.77,239.15,238.97,237.53,236.56,236.97,236.83,237.02,236.4,236.56,236.6,236.86,236.58,236.44,236.63,236.98,237.59
16,B,True,109.33,105.78,105.35,108.98,104.89,102.13,100.57,100.42,100.11,105.2,106.81,107.51,106.23,112.51,107.61,107.52,110.07,112.3,113.52,112.74,109.76,113.34,112.46,114.74,113.38,110.64,112.23,116.15,117.31,115.12,114.92,117.55,106.47,106.74,107.78,109.0,108.51,122.25,126.68,123.62,125.92,130.46,129.21,128.69,132.2,131.34,134.88,133.69,132.55,130.87,112.91,113.91,40.803,145.68,117.26,104.4,0.0,41.012,0.0,0.0,0.0,160.38,160.38,0.0,0.0,160.61,161.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.58,138.58,138.58,138.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.93,139.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,B,False,153.64,149.85,151.07,150.23,152.89,152.19,155.02,155.09,151.79,154.65,153.71,153.68,154.85,154.26,155.05,156.51,156.09,156.2,156.64,158.16,159.84,160.18,159.4,158.9,160.05,159.86,160.91,159.95,160.48,163.15,162.31,161.82,162.81,163.0,161.87,163.37,163.59,163.08,161.88,160.81,162.51,163.58,163.08,160.8,162.45,162.59,161.44,162.04,165.18,165.18,166.94,163.57,165.48,165.52,166.07,166.87,165.53,167.02,167.27,166.55,165.32,165.63,166.42,167.87,167.5,168.46,168.01,168.67,168.56,170.03,170.13,170.43,172.0,170.87,170.52,171.59,172.83,171.87,173.56,172.71,173.23,172.8,173.07,173.82,175.21,175.19,174.24,175.57,174.81,174.28,174.24,175.17,174.76,175.8,176.35,175.34,176.28,176.67,177.35,178.6,179.29,177.8,176.59,176.14,177.14,175.24,174.15,174.58,173.7,173.12,175.9,174.54,175.36,173.5,174.67,174.66,174.17,174.19,174.54
18,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.042,15.297,16.279,16.279,16.279,18.248,19.416,20.396,20.224,21.213,21.095,22.511,23.195,24.187,24.083,50.448,25.08,50.984,61.068,52.971,28.327,24.709,75.654,92.028,92.31,99.413,117.39,118.31,118.31,120.54,119.81,121.19,122.26,123.45,124.17,125.04,126.64,126.42,123.64,123.61,124.96,123.91,125.22,126.63,124.95,126.11,128.05,128.46,130.08,131.39,133.31,134.08,133.66,132.12,133.54,137.2,138.07,142.04,139.97,139.89,140.81,140.72
19,B,True,18.514,18.096,20.616,17.553,17.083,17.68,19.925,19.925,18.028,17.72,17.11,18.028,20.616,20.616,17.911,16.983,19.698,17.502,20.616,19.698,15.811,0.0,19.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
