,FLARE_TYPE,COINCIDENCE,TOTPOT_1,TOTPOT_2,TOTPOT_3,TOTPOT_4,TOTPOT_5,TOTPOT_6,TOTPOT_7,TOTPOT_8,TOTPOT_9,TOTPOT_10,TOTPOT_11,TOTPOT_12,TOTPOT_13,TOTPOT_14,TOTPOT_15,TOTPOT_16,TOTPOT_17,TOTPOT_18,TOTPOT_19,TOTPOT_20,TOTPOT_21,TOTPOT_22,TOTPOT_23,TOTPOT_24,TOTPOT_25,TOTPOT_26,TOTPOT_27,TOTPOT_28,TOTPOT_29,TOTPOT_30,TOTPOT_31,TOTPOT_32,TOTPOT_33,TOTPOT_34,TOTPOT_35,TOTPOT_36,TOTPOT_37,TOTPOT_38,TOTPOT_39,TOTPOT_40,TOTPOT_41,TOTPOT_42,TOTPOT_43,TOTPOT_44,TOTPOT_45,TOTPOT_46,TOTPOT_47,TOTPOT_48,TOTPOT_49,TOTPOT_50,TOTPOT_51,TOTPOT_52,TOTPOT_53,TOTPOT_54,TOTPOT_55,TOTPOT_56,TOTPOT_57,TOTPOT_58,TOTPOT_59,TOTPOT_60,TOTPOT_61,TOTPOT_62,TOTPOT_63,TOTPOT_64,TOTPOT_65,TOTPOT_66,TOTPOT_67,TOTPOT_68,TOTPOT_69,TOTPOT_70,TOTPOT_71,TOTPOT_72,TOTPOT_73,TOTPOT_74,TOTPOT_75,TOTPOT_76,TOTPOT_77,TOTPOT_78,TOTPOT_79,TOTPOT_80,TOTPOT_81,TOTPOT_82,TOTPOT_83,TOTPOT_84,TOTPOT_85,TOTPOT_86,TOTPOT_87,TOTPOT_88,TOTPOT_89,TOTPOT_90,TOTPOT_91,TOTPOT_92,TOTPOT_93,TOTPOT_94,TOTPOT_95,TOTPOT_96,TOTPOT_97,TOTPOT_98,TOTPOT_99,TOTPOT_100,TOTPOT_101,TOTPOT_102,TOTPOT_103,TOTPOT_104,TOTPOT_105,TOTPOT_106,TOTPOT_107,TOTPOT_108,TOTPOT_109,TOTPOT_110,TOTPOT_111,TOTPOT_112,TOTPOT_113,TOTPOT_114,TOTPOT_115,TOTPOT_116,TOTPOT_117,TOTPOT_118,TOTPOT_119
0,X,False,7.0148e+23,7.0773e+23,7.1436e+23,7.1369e+23,7.1821e+23,7.2632e+23,7.32e+23,7.3284e+23,7.3888e+23,7.4218e+23,7.425e+23,7.4504e+23,7.476e+23,7.5448e+23,7.5738e+23,7.6166e+23,7.6159e+23,7.6154e+23,7.624e+23,7.6599e+23,7.6903e+23,7.702e+23,7.6996e+23,7.7122e+23,7.7633e+23,7.7453e+23,7.8177e+23,7.8757e+23,7.8942e+23,7.8895e+23,7.8299e+23,7.8099e+23,7.799e+23,7.8373e+23,7.8108e+23,7.7696e+23,7.7471e+23,7.7679e+23,7.7465e+23,7.7898e+23,7.7722e+23,7.7027e+23,7.7185e+23,7.7799e+23,7.8484e+23,7.8563e+23,7.8925e+23,7.8902e+23,7.8821e+23,7.883e+23,7.8765e+23,7.901e+23,7.9371e+23,7.9369e+23,7.9668e+23,8.0015e+23,8.0318e+23,8.0708e+23,8.0571e+23,8.0507e+23,8.1027e+23,8.1719e+23,8.2385e+23,8.2387e+23,8.2415e+23,8.2281e+23,8.2788e+23,8.2867e+23,8.2853e+23,8.2443e+23,8.2565e+23,8.2961e+23,8.3325e+23,8.3634e+23,8.3521e+23,8.338e+23,8.3583e+23,8.3603e+23,8.3532e+23,8.4193e+23,8.4466e+23,8.4372e+23,8.422e+23,8.4305e+23,8.428e+23,8.4657e+23,8.5074e+23,8.5389e+23,8.5798e+23,8.6497e+23,8.6657e+23,8.6806e+23,8.694e+23,8.6675e+23,8.634e+23,8.5997e+23,8.6059e+23,8.5805e+23,8.5554e+23,8.5482e+23,8.5705e+23,8.5684e+23,8.5705e+23,8.5344e+23,8.5256e+23,8.5496e+23,8.5176e+23,8.508e+23,8.4998e+23,8.5305e+23,8.5398e+23,8.5425e+23,8.5129e+23,8.5214e+23,8.5185e+23,8.466e+23,8.5121e+23,8.5386e+23,8.5265e+23
1,X,False,9.6413e+23,9.6309e+23,9.5874e+23,9.5569e+23,9.5794e+23,9.5562e+23,9.473e+23,9.5436e+23,9.5431e+23,9.5211e+23,9.5291e+23,9.5583e+23,9.5371e+23,9.5273e+23,9.4872e+23,9.464e+23,9.5173e+23,9.5362e+23,9.4972e+23,9.5144e+23,9.5597e+23,9.5973e+23,9.6255e+23,9.6684e+23,9.6637e+23,9.6427e+23,9.5925e+23,9.5878e+23,9.6059e+23,9.6167e+23,9.5917e+23,9.564e+23,9.5814e+23,9.5758e+23,9.5715e+23,9.63e+23,9.6696e+23,9.7428e+23,9.7662e+23,9.8085e+23,9.8968e+23,9.9246e+23,9.9111e+23,9.9095e+23,9.9219e+23,9.8829e+23,9.8819e+23,9.8818e+23,9.9074e+23,9.9059e+23,9.8947e+23,9.8985e+23,9.8765e+23,9.8555e+23,9.8711e+23,9.8884e+23,9.8675e+23,9.9101e+23,9.9504e+23,9.9524e+23,9.9311e+23,9.9256e+23,9.9415e+23,9.9618e+23,9.9519e+23,9.9449e+23,9.9428e+23,9.949e+23,9.9336e+23,9.9389e+23,9.9857e+23,1.0018e+24,1.0005e+24,1.0027e+24,1.0063e+24,1.001e+24,1.0023e+24,1.0047e+24,1.0059e+24,1.0077e+24,1.0057e+24,1.0004e+24,1.0002e+24,1.0018e+24,1.0014e+24,1.0027e+24,1.0057e+24,1.0077e+24,1.0078e+24,1.0105e+24,1.0136e+24,1.0223e+24,1.0318e+24,1.0325e+24,1.0356e+24,1.0426e+24,1.0533e+24,1.0536e+24,1.0531e+24,1.0521e+24,1.0572e+24,1.0543e+24,1.0681e+24,1.0473e+24,1.0491e+24,1.0524e+24,1.054e+24,1.055e+24,1.0582e+24,1.0593e+24,1.0596e+24,1.0609e+24,1.0628e+24,1.0638e+24,1.0612e+24,1.062e+24,1.0599e+24,1.0628e+24,1.0609e+24
2,X,False,7.2083e+23,7.2274e+23,7.2759e+23,7.2767e+23,7.2356e+23,7.2246e+23,7.2238e+23,7.1335e+23,7.121e+23,7.0973e+23,7.027e+23,6.9916e+23,6.9743e+23,6.9335e+23,6.9323e+23,6.8993e+23,6.8803e+23,6.8861e+23,6.9178e+23,6.9048e+23,6.8075e+23,6.7932e+23,6.7909e+23,6.7682e+23,6.7424e+23,6.7966e+23,6.8191e+23,6.798e+23,6.8369e+23,6.8432e+23,6.8222e+23,6.7862e+23,6.7509e+23,6.7935e+23,6.8031e+23,6.8048e+23,6.8356e+23,6.8246e+23,6.8338e+23,6.8706e+23,6.8424e+23,6.8234e+23,6.8197e+23,6.8141e+23,6.825e+23,6.8626e+23,6.9012e+23,6.9335e+23,6.9815e+23,7.0851e+23,7.1002e+23,7.1762e+23,7.2895e+23,7.3548e+23,7.3446e+23,7.3284e+23,7.3551e+23,7.3276e+23,7.3216e+23,7.3157e+23,7.2378e+23,7.1791e+23,7.1774e+23,7.2049e+23,7.2066e+23,7.1975e+23,7.2308e+23,7.2511e+23,7.2661e+23,7.3023e+23,7.3234e+23,7.3285e+23,7.359e+23,7.42e+23,7.3016e+23,7.2854e+23,7.3308e+23,7.349e+23,7.4008e+23,7.4161e+23,7.361e+23,7.3786e+23,7.3729e+23,7.3786e+23,7.3778e+23,7.3566e+23,7.3229e+23,7.332e+23,7.2922e+23,7.3533e+23,7.3888e+23,7.3434e+23,7.3738e+23,7.2688e+23,7.3931e+23,7.3372e+23,7.4818e+23,7.3372e+23,7.4135e+23,7.371e+23,7.5374e+23,7.628e+23,7.5255e+23,7.4517e+23,7.506e+23,7.5657e+23,7.5114e+23,7.5076e+23,7.8246e+23,7.7407e+23,7.4405e+23,7.5772e+23,7.5727e+23,7.4985e+23,7.2462e+23,7.2194e+23,7.2322e+23,7.5881e+23,7.2609e+23
3,X,False,3.5987e+23,3.595e+23,3.6178e+23,3.6103e+23,3.6058e+23,3.5924e+23,3.5996e+23,3.6173e+23,3.6217e+23,3.6227e+23,3.6027e+23,3.5701e+23,3.5569e+23,3.5654e+23,3.5548e+23,3.5332e+23,3.5126e+23,3.5151e+23,3.5796e+23,3.6419e+23,3.6409e+23,3.6294e+23,3.6212e+23,3.6069e+23,3.6086e+23,3.6137e+23,3.6465e+23,3.63e+23,3.603e+23,3.6125e+23,3.629e+23,3.5943e+23,3.6195e+23,3.5952e+23,3.5926e+23,3.6133e+23,3.6322e+23,3.6461e+23,3.6441e+23,3.6456e+23,3.6183e+23,3.6036e+23,3.5775e+23,3.5612e+23,3.547e+23,3.549e+23,3.5613e+23,3.5641e+23,3.5591e+23,3.5494e+23,3.5421e+23,3.5307e+23,3.5231e+23,3.5065e+23,3.5095e+23,3.5031e+23,3.5106e+23,3.5121e+23,3.5042e+23,3.5062e+23,3.4796e+23,3.4762e+23,3.4897e+23,3.4841e+23,3.4673e+23,3.4745e+23,3.4515e+23,3.4216e+23,3.4338e+23,3.4298e+23,3.4479e+23,3.4505e+23,3.4281e+23,3.447e+23,3.4399e+23,3.4243e+23,3.4369e+23,3.4445e+23,3.4292e+23,3.414e+23,3.4118e+23,3.4163e+23,3.3992e+23,3.4105e+23,3.4242e+23,3.4196e+23,3.3934e+23,3.399e+23,3.3968e+23,3.3777e+23,3.3786e+23,3.3805e+23,3.3749e+23,3.3573e+23,3.3513e+23,3.3268e+23,3.3266e+23,3.3247e+23,3.3025e+23,3.2827e+23,3.2982e+23,3.3167e+23,3.3135e+23,3.3341e+23,3.3054e+23,3.3008e+23,3.3069e+23,3.3448e+23,3.3578e+23,3.3434e+23,3.3521e+23,3.3158e+23,3.2608e+23,3.2382e+23,3.2328e+23,3.2088e+23,3.1943e+23,3.2146e+23,3.2171e+23
4,X,True,3.3849e+23,3.3675e+23,3.3549e+23,3.3389e+23,3.3429e+23,3.3655e+23,3.3743e+23,3.3759e+23,3.3755e+23,3.3792e+23,3.3581e+23,3.38e+23,3.3859e+23,3.3708e+23,3.3837e+23,3.3809e+23,3.3694e+23,3.3743e+23,3.35e+23,3.3529e+23,3.3514e+23,3.349e+23,3.3429e+23,3.3616e+23,3.3589e+23,3.3478e+23,3.3736e+23,3.409e+23,3.3826e+23,3.3898e+23,3.4069e+23,3.4313e+23,3.427e+23,3.4269e+23,3.4345e+23,3.4402e+23,3.4534e+23,3.4942e+23,3.494e+23,3.4646e+23,3.4536e+23,3.4226e+23,3.4016e+23,3.363e+23,3.3364e+23,3.3201e+23,3.3082e+23,3.3231e+23,3.2944e+23,3.2784e+23,3.2838e+23,3.2852e+23,3.2672e+23,3.2526e+23,3.2346e+23,3.2588e+23,3.2665e+23,3.2911e+23,3.2734e+23,3.2685e+23,3.2666e+23,3.2508e+23,3.2298e+23,3.1923e+23,3.2167e+23,3.2193e+23,3.2079e+23,3.1925e+23,3.1729e+23,3.1439e+23,3.1261e+23,3.1519e+23,3.1366e+23,3.1361e+23,3.1125e+23,3.1175e+23,3.135e+23,3.143e+23,3.1387e+23,3.1333e+23,3.1491e+23,3.1512e+23,3.1441e+23,3.1299e+23,3.1332e+23,3.1414e+23,3.1205e+23,3.1078e+23,3.1228e+23,3.1168e+23,3.1115e+23,3.1009e+23,3.0868e+23,3.1019e+23,3.0834e+23,3.0567e+23,3.0554e+23,3.0306e+23,3.0352e+23,3.0575e+23,3.0733e+23,3.1106e+23,3.174e+23,3.1891e+23,3.3614e+23,3.182e+23,3.1738e+23,3.1748e+23,3.1446e+23,3.1137e+23,3.1107e+23,3.0611e+23,3.0786e+23,3.0754e+23,3.101e+23,3.0992e+23,3.063e+23,3.0468e+23,3.0349e+23
5,X,False,1.9313e+24,1.9233e+24,1.9763e+24,1.9338e+24,1.991e+24,1.9804e+24,1.9756e+24,1.9737e+24,1.9766e+24,1.9772e+24,1.9925e+24,1.9916e+24,2.013e+24,2.0041e+24,2.0213e+24,2.0216e+24,2.0093e+24,2.0239e+24,2.0252e+24,2.0115e+24,2.0108e+24,2.0239e+24,2.0221e+24,2.0259e+24,2.0328e+24,2.0366e+24,2.0339e+24,2.0221e+24,2.0286e+24,2.0234e+24,2.0128e+24,2.0276e+24,2.0116e+24,2.0097e+24,1.9934e+24,1.9998e+24,1.9953e+24,2.0082e+24,1.9899e+24,1.997e+24,1.9896e+24,2.0119e+24,2.0092e+24,1.9978e+24,1.9898e+24,2.0126e+24,1.9972e+24,1.9728e+24,1.9961e+24,2.0026e+24,2.0398e+24,1.9971e+24,1.9893e+24,1.9908e+24,1.9742e+24,1.9853e+24,1.9695e+24,1.958e+24,1.9325e+24,1.9544e+24,1.9009e+24,1.9152e+24,1.9312e+24,1.8519e+24,1.8556e+24,1.8838e+24,1.8525e+24,1.8791e+24,1.8887e+24,1.8816e+24,1.8807e+24,1.8938e+24,1.8782e+24,1.8914e+24,1.8575e+24,1.8775e+24,1.8712e+24,1.8778e+24,1.8516e+24,1.8746e+24,1.8698e+24,1.8419e+24,1.8557e+24,1.8315e+24,1.8493e+24,1.8525e+24,1.8481e+24,1.8401e+24,1.8368e+24,1.8144e+24,1.8388e+24,1.8439e+24,1.8355e+24,1.813e+24,1.8229e+24,1.8439e+24,1.8494e+24,1.8526e+24,1.8543e+24,1.8665e+24,1.8705e+24,1.8869e+24,1.8675e+24,1.8867e+24,1.8948e+24,1.8911e+24,1.8935e+24,1.8812e+24,1.9008e+24,1.8696e+24,1.8764e+24,1.8644e+24,1.858e+24,1.8536e+24,1.8666e+24,1.8487e+24,1.8468e+24,1.8611e+24,1.8513e+24
6,X,True,9.1636e+23,9.2421e+23,9.3543e+23,9.1867e+23,9.2129e+23,9.1937e+23,9.0046e+23,9.0558e+23,8.8812e+23,8.8674e+23,8.9728e+23,9.0396e+23,8.8746e+23,8.7435e+23,8.6715e+23,8.5766e+23,8.3933e+23,8.3394e+23,8.3965e+23,8.2667e+23,8.3329e+23,8.3107e+23,8.3042e+23,8.3525e+23,8.3199e+23,8.2773e+23,8.2792e+23,8.1645e+23,8.2204e+23,8.126e+23,8.184e+23,8.2201e+23,8.1264e+23,8.1694e+23,8.0224e+23,7.9851e+23,7.8359e+23,7.8599e+23,7.7768e+23,7.7638e+23,7.7249e+23,7.6963e+23,7.6874e+23,7.7143e+23,7.7933e+23,7.9131e+23,7.7618e+23,7.928e+23,7.9076e+23,7.9497e+23,7.9642e+23,8.0419e+23,8.1164e+23,8.1239e+23,8.0831e+23,8.1277e+23,8.0144e+23,8.0967e+23,8.1993e+23,8.2267e+23,8.2079e+23,8.1973e+23,8.2349e+23,8.3255e+23,8.4122e+23,8.4131e+23,8.5002e+23,8.5249e+23,8.6837e+23,8.5733e+23,8.7076e+23,8.7342e+23,8.6595e+23,8.6839e+23,8.8121e+23,8.8616e+23,8.792e+23,8.8636e+23,8.9972e+23,9.0001e+23,9.1405e+23,9.2814e+23,9.3077e+23,9.2489e+23,9.3113e+23,9.2534e+23,9.3014e+23,9.3335e+23,9.3758e+23,9.5567e+23,9.5156e+23,9.9825e+23,9.9737e+23,1.0262e+24,1.05e+24,1.0611e+24,1.0616e+24,1.0668e+24,1.0689e+24,1.0819e+24,1.0732e+24,1.0652e+24,1.0932e+24,1.089e+24,1.1022e+24,1.1145e+24,1.1183e+24,1.1277e+24,1.1309e+24,1.1099e+24,1.1063e+24,1.1087e+24,1.1042e+24,1.1118e+24,1.1378e+24,1.1395e+24,1.1466e+24,1.1553e+24,1.1665e+24
7,X,False,1.4684e+24,1.476e+24,1.475e+24,1.4804e+24,1.4797e+24,1.4695e+24,1.4731e+24,1.4781e+24,1.4924e+24,1.4823e+24,1.4884e+24,1.4941e+24,1.4949e+24,1.5091e+24,1.4946e+24,1.4895e+24,1.4871e+24,1.5184e+24,1.5262e+24,1.5149e+24,1.5365e+24,1.5364e+24,1.5279e+24,1.5339e+24,1.5364e+24,1.5729e+24,1.5647e+24,1.5273e+24,1.5122e+24,1.5599e+24,1.5385e+24,1.5594e+24,1.5673e+24,1.5574e+24,1.5754e+24,1.5672e+24,1.5669e+24,1.5759e+24,1.5851e+24,1.5851e+24,1.5794e+24,1.5705e+24,1.5947e+24,1.5849e+24,1.5837e+24,1.5709e+24,1.5807e+24,1.5955e+24,1.5785e+24,1.5828e+24,1.5726e+24,1.5715e+24,1.571e+24,1.565e+24,1.5537e+24,1.5618e+24,1.5641e+24,1.5541e+24,1.5511e+24,1.5553e+24,1.5523e+24,1.5543e+24,1.5586e+24,1.5514e+24,1.5496e+24,1.5482e+24,1.5458e+24,1.5416e+24,1.5378e+24,1.5384e+24,1.5458e+24,1.5423e+24,1.5446e+24,1.5345e+24,1.5367e+24,1.5445e+24,1.5271e+24,1.5366e+24,1.532e+24,1.54e+24,1.5508e+24,1.5486e+24,1.55e+24,1.5599e+24,1.5595e+24,1.5647e+24,1.5594e+24,1.5625e+24,1.5791e+24,1.5818e+24,1.5893e+24,1.595e+24,1.5936e+24,1.5988e+24,1.5937e+24,1.5911e+24,1.5888e+24,1.579e+24,1.576e+24,1.5807e+24,1.5681e+24,1.5509e+24,1.5513e+24,1.5535e+24,1.5565e+24,1.5543e+24,1.5598e+24,1.5607e+24,1.5564e+24,1.5625e+24,1.5697e+24,1.5541e+24,1.5556e+24,1.5458e+24,1.5531e+24,1.557e+24,1.5585e+24,1.5664e+24,1.5708e+24
8,X,False,2.2752e+24,2.2737e+24,2.2776e+24,2.2806e+24,2.2771e+24,2.2789e+24,2.2796e+24,2.2843e+24,2.2805e+24,2.2782e+24,2.2766e+24,2.2823e+24,2.284e+24,2.2888e+24,2.2908e+24,2.2909e+24,2.2944e+24,2.2983e+24,2.3005e+24,2.2954e+24,2.2937e+24,2.3007e+24,2.3124e+24,2.3194e+24,2.413e+24,2.3402e+24,2.3489e+24,2.3577e+24,2.3601e+24,2.3677e+24,2.3723e+24,2.3732e+24,2.3751e+24,2.3702e+24,2.3712e+24,2.3712e+24,2.3753e+24,2.3762e+24,2.3778e+24,2.3792e+24,2.3864e+24,2.3883e+24,2.3904e+24,2.3933e+24,2.3927e+24,2.3914e+24,2.3902e+24,2.3933e+24,2.3934e+24,2.4001e+24,2.3986e+24,2.3897e+24,2.3895e+24,2.3955e+24,2.395e+24,2.3898e+24,2.384e+24,2.3839e+24,2.3829e+24,2.3836e+24,2.378e+24,2.3898e+24,2.3866e+24,2.3833e+24,2.3922e+24,2.3913e+24,2.3981e+24,2.3971e+24,2.4013e+24,2.4019e+24,2.3951e+24,2.3922e+24,2.3917e+24,2.3746e+24,2.3659e+24,2.3638e+24,2.3453e+24,2.346e+24,2.3436e+24,2.3409e+24,2.334e+24,2.33e+24,2.3241e+24,2.3247e+24,2.3231e+24,2.3164e+24,2.3142e+24,2.3127e+24,2.3146e+24,2.3134e+24,2.3111e+24,2.3138e+24,2.3096e+24,2.3121e+24,2.3179e+24,2.317e+24,2.3139e+24,2.3134e+24,2.3211e+24,2.3212e+24,2.317e+24,2.3136e+24,2.3103e+24,2.312e+24,2.3062e+24,2.303e+24,2.2999e+24,2.2944e+24,2.2994e+24,2.3005e+24,2.2981e+24,2.2932e+24,2.2841e+24,2.2783e+24,2.2728e+24,2.2757e+24,2.2796e+24,2.2795e+24,2.2822e+24
9,X,False,4.735e+23,4.6397e+23,4.8446e+23,4.6443e+23,4.8654e+23,4.8888e+23,4.5907e+23,4.8956e+23,4.7374e+23,4.6631e+23,4.8461e+23,4.567e+23,4.7536e+23,4.5433e+23,4.6467e+23,4.534e+23,4.6423e+23,4.71e+23,4.8028e+23,4.5918e+23,4.7732e+23,4.7131e+23,4.8315e+23,4.7681e+23,4.8957e+23,4.7935e+23,4.951e+23,4.9616e+23,4.8373e+23,4.8335e+23,4.5936e+23,4.6239e+23,4.6037e+23,4.4857e+23,4.7281e+23,4.741e+23,4.5057e+23,4.599e+23,4.3031e+23,4.0795e+23,4.2367e+23,4.0519e+23,4.1028e+23,4.1607e+23,4.1079e+23,4.0552e+23,4.1669e+23,4.0985e+23,4.0728e+23,4.17e+23,4.181e+23,4.091e+23,4.0493e+23,4.0771e+23,4.1185e+23,3.9756e+23,4.0417e+23,3.8656e+23,3.7935e+23,3.8954e+23,3.8528e+23,3.7882e+23,3.4564e+23,3.5076e+23,4.0974e+23,4.1408e+23,4.0903e+23,4.1959e+23,3.8565e+23,3.879e+23,3.828e+23,3.8305e+23,3.8547e+23,3.8155e+23,3.9148e+23,3.8393e+23,3.8287e+23,3.405e+23,3.7989e+23,3.6808e+23,3.6043e+23,3.6679e+23,3.5794e+23,3.4348e+23,3.4998e+23,3.4314e+23,3.5157e+23,3.3097e+23,3.3178e+23,3.2963e+23,3.2168e+23,2.9762e+23,3.1622e+23,3.272e+23,3.2777e+23,3.2679e+23,3.3311e+23,3.0609e+23,3.3238e+23,3.3332e+23,3.3497e+23,3.4073e+23,3.4926e+23,3.4443e+23,3.389e+23,3.1697e+23,3.4731e+23,3.4402e+23,3.4265e+23,3.3248e+23,3.3745e+23,3.348e+23,3.3939e+23,3.3453e+23,3.3235e+23,3.3489e+23,3.3232e+23,3.4258e+23,3.31e+23
