,FLARE_TYPE,COINCIDENCE,MEANGAM_1,MEANGAM_2,MEANGAM_3,MEANGAM_4,MEANGAM_5,MEANGAM_6,MEANGAM_7,MEANGAM_8,MEANGAM_9,MEANGAM_10,MEANGAM_11,MEANGAM_12,MEANGAM_13,MEANGAM_14,MEANGAM_15,MEANGAM_16,MEANGAM_17,MEANGAM_18,MEANGAM_19,MEANGAM_20,MEANGAM_21,MEANGAM_22,MEANGAM_23,MEANGAM_24,MEANGAM_25,MEANGAM_26,MEANGAM_27,MEANGAM_28,MEANGAM_29,MEANGAM_30,MEANGAM_31,MEANGAM_32,MEANGAM_33,MEANGAM_34,MEANGAM_35,MEANGAM_36,MEANGAM_37,MEANGAM_38,MEANGAM_39,MEANGAM_40,MEANGAM_41,MEANGAM_42,MEANGAM_43,MEANGAM_44,MEANGAM_45,MEANGAM_46,MEANGAM_47,MEANGAM_48,MEANGAM_49,MEANGAM_50,MEANGAM_51,MEANGAM_52,MEANGAM_53,MEANGAM_54,MEANGAM_55,MEANGAM_56,MEANGAM_57,MEANGAM_58,MEANGAM_59,MEANGAM_60,MEANGAM_61,MEANGAM_62,MEANGAM_63,MEANGAM_64,MEANGAM_65,MEANGAM_66,MEANGAM_67,MEANGAM_68,MEANGAM_69,MEANGAM_70,MEANGAM_71,MEANGAM_72,MEANGAM_73,MEANGAM_74,MEANGAM_75,MEANGAM_76,MEANGAM_77,MEANGAM_78,MEANGAM_79,MEANGAM_80,MEANGAM_81,MEANGAM_82,MEANGAM_83,MEANGAM_84,MEANGAM_85,MEANGAM_86,MEANGAM_87,MEANGAM_88,MEANGAM_89,MEANGAM_90,MEANGAM_91,MEANGAM_92,MEANGAM_93,MEANGAM_94,MEANGAM_95,MEANGAM_96,MEANGAM_97,MEANGAM_98,MEANGAM_99,MEANGAM_100,MEANGAM_101,MEANGAM_102,MEANGAM_103,MEANGAM_104,MEANGAM_105,MEANGAM_106,MEANGAM_107,MEANGAM_108,MEANGAM_109,MEANGAM_110,MEANGAM_111,MEANGAM_112,MEANGAM_113,MEANGAM_114,MEANGAM_115,MEANGAM_116,MEANGAM_117,MEANGAM_118,MEANGAM_119
20,B,False,48.359,48.162,48.154,48.348,48.205,47.669,46.598,46.785,46.885,46.812,46.651,46.462,46.117,46.175,46.206,46.314,46.617,46.552,46.482,46.34,46.073,46.194,46.205,46.427,46.175,45.963,46.105,45.733,45.849,45.544,46.07,45.776,45.987,45.119,45.236,45.654,46.218,45.533,45.885,45.493,46.041,45.872,45.345,45.796,45.419,45.31,45.636,45.076,44.601,44.523,45.065,45.284,44.728,44.507,44.218,44.148,44.448,44.526,43.717,43.295,42.89,42.825,43.152,42.497,42.762,42.332,42.57,43.102,42.504,42.316,42.279,41.847,41.913,41.45,41.214,40.846,40.303,40.911,40.874,41.847,40.998,41.321,41.088,40.896,40.593,40.823,40.987,40.539,39.98,40.155,39.837,40.348,40.74,39.897,39.082,39.076,38.9,38.758,38.254,39.017,39.118,38.833,39.199,38.574,38.349,38.453,38.392,38.478,38.354,37.404,38.276,38.22,37.786,37.331,37.61,37.05,37.132,36.977,36.82
21,B,True,53.74,53.871,54.394,54.251,54.288,54.561,54.269,54.86,54.719,54.532,54.395,54.54,54.344,54.023,53.975,53.552,53.482,53.891,54.1,53.77,53.55,53.779,53.905,53.118,53.494,53.077,52.629,52.496,52.421,52.303,51.939,51.867,51.579,51.564,51.553,51.272,51.317,50.533,50.725,50.891,50.738,50.832,50.291,49.681,49.8,49.825,50.234,50.711,50.036,49.368,49.632,49.184,49.409,49.481,49.374,49.624,49.255,49.455,49.261,48.756,49.07,49.094,49.353,50.349,48.876,48.677,48.365,48.361,48.748,47.977,48.865,48.744,48.172,48.321,48.36,48.906,48.368,48.204,48.679,48.333,48.301,48.279,47.45,47.834,47.584,47.808,48.132,48.464,47.924,48.247,48.081,48.233,48.336,48.397,48.048,48.359,48.162,48.154,48.348,48.205,47.669,46.598,46.785,46.885,46.812,46.651,46.462,46.117,46.175,46.206,46.314,46.617,46.552,46.482,46.34,46.073,46.194,46.205,46.427
22,B,False,53.891,54.1,53.77,53.55,53.779,53.905,53.118,53.494,53.077,52.629,52.496,52.421,52.303,51.939,51.867,51.579,51.564,51.553,51.272,51.317,50.533,50.725,50.891,50.738,50.832,50.291,49.681,49.8,49.825,50.234,50.711,50.036,49.368,49.632,49.184,49.409,49.481,49.374,49.624,49.255,49.455,49.261,48.756,49.07,49.094,49.353,50.349,48.876,48.677,48.365,48.361,48.748,47.977,48.865,48.744,48.172,48.321,48.36,48.906,48.368,48.204,48.679,48.333,48.301,48.279,47.45,47.834,47.584,47.808,48.132,48.464,47.924,48.247,48.081,48.233,48.336,48.397,48.048,48.359,48.162,48.154,48.348,48.205,47.669,46.598,46.785,46.885,46.812,46.651,46.462,46.117,46.175,46.206,46.314,46.617,46.552,46.482,46.34,46.073,46.194,46.205,46.427,46.175,45.963,46.105,45.733,45.849,45.544,46.07,45.776,45.987,45.119,45.236,45.654,46.218,45.533,45.885,45.493,46.041
23,B,False,43.795,44.361,44.877,44.573,44.738,44.55,42.764,43.381,43.988,42.955,43.492,43.491,43.71,43.719,41.187,41.318,41.75,41.46,41.682,41.81,42.069,42.928,41.823,41.441,40.663,40.521,40.413,40.977,41.284,42.373,42.49,42.168,41.139,41.797,43.618,44.486,43.756,44.928,44.519,44.309,44.815,44.798,44.341,45.148,45.304,44.91,44.378,45.107,44.757,44.58,44.009,45.04,45.631,45.161,44.96,45.056,45.089,44.398,43.656,44.715,44.327,44.121,44.963,45.249,45.302,44.795,45.169,45.726,46.045,45.081,45.081,44.924,43.937,43.631,44.365,44.353,43.371,44.229,44.228,44.116,43.64,43.308,43.382,43.652,41.883,42.222,42.532,42.171,41.147,41.498,41.65,41.583,41.38,42.463,43.019,42.42,42.304,43.149,42.352,42.422,43.083,42.196,42.378,42.161,42.032,42.641,43.015,42.524,42.731,41.883,40.605,41.034,40.643,41.07,40.426,40.862,40.082,40.949,40.782
24,B,False,30.913,30.62,30.669,30.754,30.643,31.122,31.235,31.053,31.052,31.33,31.452,31.71,31.484,31.215,31.47,31.574,31.166,31.441,31.327,31.584,31.412,31.579,31.838,32.021,32.125,32.408,32.617,32.559,32.042,32.242,31.6,31.967,31.713,31.966,31.737,31.172,31.073,31.292,31.522,31.697,31.207,31.664,31.474,31.453,31.08,31.218,31.018,30.855,30.787,30.984,30.941,31.199,31.028,31.327,31.653,31.852,31.823,31.553,31.84,32.147,32.24,31.665,32.012,31.73,31.703,31.529,31.802,31.558,32.369,32.09,31.808,32.002,32.136,31.795,31.573,31.195,31.139,31.39,31.204,31.601,31.701,31.524,31.455,31.649,31.576,31.99,31.914,32.287,31.717,32.016,31.878,31.812,31.674,31.667,31.745,31.835,31.888,31.805,31.561,31.564,31.602,31.273,31.712,31.72,31.797,31.66,32.15,32.01,31.864,32.094,32.247,32.044,31.676,31.91,32.276,32.481,32.001,32.19,32.304
25,B,False,51.618,51.397,52.584,51.761,52.216,52.334,52.312,51.458,51.924,51.158,51.074,51.33,50.672,50.664,49.938,49.008,48.676,48.996,48.185,47.489,46.656,45.849,45.191,45.829,47.357,47.413,47.58,47.603,47.436,47.955,47.835,48.0,47.311,47.971,47.791,47.915,47.534,47.569,48.074,47.656,46.481,46.008,46.042,46.886,45.42,46.201,46.211,45.439,45.479,45.61,46.246,46.237,45.476,46.242,47.004,46.178,46.155,46.347,47.046,45.778,47.322,48.37,48.985,49.408,49.613,50.282,50.646,51.648,50.787,52.1,52.318,52.365,52.543,53.197,52.879,53.356,52.687,51.014,50.191,48.609,48.101,48.903,48.499,50.829,51.898,51.077,52.916,52.38,52.854,52.559,53.117,52.515,52.075,51.968,52.119,52.242,53.304,51.361,50.619,51.194,50.942,50.977,51.954,50.732,50.374,50.981,51.471,51.321,51.354,50.349,50.248,51.409,51.862,50.538,49.741,50.677,50.662,49.552,49.952
26,B,False,53.905,53.118,53.494,53.077,52.629,52.496,52.421,52.303,51.939,51.867,51.579,51.564,51.553,51.272,51.317,50.533,50.725,50.891,50.738,50.832,50.291,49.681,49.8,49.825,50.234,50.711,50.036,49.368,49.632,49.184,49.409,49.481,49.374,49.624,49.255,49.455,49.261,48.756,49.07,49.094,49.353,50.349,48.876,48.677,48.365,48.361,48.748,47.977,48.865,48.744,48.172,48.321,48.36,48.906,48.368,48.204,48.679,48.333,48.301,48.279,47.45,47.834,47.584,47.808,48.132,48.464,47.924,48.247,48.081,48.233,48.336,48.397,48.048,48.359,48.162,48.154,48.348,48.205,47.669,46.598,46.785,46.885,46.812,46.651,46.462,46.117,46.175,46.206,46.314,46.617,46.552,46.482,46.34,46.073,46.194,46.205,46.427,46.175,45.963,46.105,45.733,45.849,45.544,46.07,45.776,45.987,45.119,45.236,45.654,46.218,45.533,45.885,45.493,46.041,45.872,45.345,45.796,45.419,45.31
27,B,False,28.468,29.1,28.739,28.938,28.659,29.283,28.924,29.677,28.858,28.843,28.971,28.994,28.948,28.794,28.911,28.565,28.491,28.12,28.092,28.157,27.699,27.951,28.316,28.359,28.637,28.802,28.59,28.679,28.712,28.319,28.181,27.897,28.174,27.893,27.801,27.859,27.811,27.936,27.917,28.034,27.704,27.98,27.759,27.592,27.742,28.103,27.446,27.263,27.362,27.463,27.59,27.344,27.305,27.593,28.259,27.811,27.71,27.604,28.126,27.695,28.021,27.924,27.802,27.744,27.874,28.129,28.193,27.676,27.883,28.128,28.095,27.682,27.53,27.6,27.657,27.645,27.436,27.206,27.517,27.538,27.341,27.126,27.346,27.471,27.553,27.422,27.058,27.482,27.577,27.325,27.557,27.682,27.91,27.99,28.238,28.147,28.229,28.174,27.895,28.279,28.211,28.337,28.28,27.748,27.586,27.928,27.428,27.879,27.629,27.428,27.597,27.619,27.481,27.612,27.435,27.607,27.135,27.161,27.16
28,B,False,59.702,59.874,59.563,59.767,60.219,60.058,60.132,59.674,59.828,60.012,60.459,60.32,60.061,60.238,60.184,60.0,59.764,59.394,59.609,59.952,59.578,59.679,59.717,59.624,59.242,58.818,59.191,58.971,58.93,59.023,58.996,59.338,59.356,59.323,59.408,59.487,59.697,59.422,59.466,59.79,59.482,59.268,59.53,59.482,59.053,59.345,59.616,59.727,59.579,59.625,59.829,59.956,59.877,60.032,60.097,59.834,59.875,59.453,59.737,59.566,59.766,59.993,59.55,59.968,60.223,60.011,60.047,60.002,60.225,59.952,59.998,60.225,60.445,60.155,60.043,60.103,59.536,60.245,59.915,59.93,60.18,59.821,59.748,59.777,59.948,60.119,59.893,59.851,60.07,59.602,59.311,59.515,59.32,59.451,59.789,59.863,59.909,60.054,60.085,59.996,59.714,60.049,60.219,60.007,59.81,59.579,59.874,59.754,59.939,59.784,59.592,59.913,59.933,60.017,59.762,60.007,60.08,59.967,60.081
29,B,True,61.69,61.729,61.667,61.942,62.364,62.297,62.374,62.048,62.432,62.26,62.463,62.338,62.406,62.119,62.108,62.349,62.492,62.236,62.152,61.774,61.852,61.875,61.636,61.248,61.114,61.427,61.468,61.343,61.206,61.106,61.189,61.038,61.258,60.796,61.014,60.916,61.043,61.387,61.121,61.247,61.409,61.242,61.418,60.843,60.98,61.366,61.107,61.339,61.94,61.478,61.789,61.857,61.988,61.25,61.981,61.644,61.638,61.694,61.793,61.731,61.58,62.101,61.489,61.539,61.463,61.36,61.67,61.844,61.861,62.039,62.251,61.985,61.98,62.274,62.061,62.15,62.212,62.279,62.304,62.508,62.426,62.619,62.487,62.533,62.136,62.318,62.16,62.079,62.144,61.93,61.616,61.545,61.565,61.552,61.438,61.853,61.522,61.384,61.367,61.345,60.948,60.666,60.851,60.943,60.876,61.397,60.828,60.863,60.781,60.765,60.722,60.402,60.518,60.524,60.622,60.575,60.372,60.519,60.554
30,B,False,40.511,40.61,40.753,40.907,40.558,40.601,40.226,40.525,40.667,40.27,39.762,39.785,39.672,39.461,39.57,38.915,38.714,38.264,38.661,38.084,37.779,37.403,37.526,37.768,37.398,37.994,37.862,37.589,38.431,38.302,37.828,37.761,37.553,37.92,37.847,38.273,37.9,37.89,37.748,37.482,37.633,37.281,36.974,36.95,36.118,36.489,36.384,35.392,35.264,34.862,35.16,34.727,34.485,34.392,34.266,34.675,35.313,34.921,35.091,35.028,36.021,34.878,34.994,34.522,34.419,35.409,35.378,34.485,34.191,34.339,34.23,33.696,33.534,32.807,33.039,32.591,33.862,33.08,32.007,32.267,31.672,31.699,32.141,32.109,32.15,31.654,31.336,31.094,31.414,30.696,31.649,31.445,31.405,31.325,32.043,31.985,31.167,31.185,31.057,31.476,31.324,31.424,31.264,31.161,31.796,31.018,30.705,31.034,31.168,31.117,31.683,32.187,31.828,32.091,32.62,32.969,33.303,33.271,33.156
31,B,False,44.526,43.717,43.295,42.89,42.825,43.152,42.497,42.762,42.332,42.57,43.102,42.504,42.316,42.279,41.847,41.913,41.45,41.214,40.846,40.303,40.911,40.874,41.847,40.998,41.321,41.088,40.896,40.593,40.823,40.987,40.539,39.98,40.155,39.837,40.348,40.74,39.897,39.082,39.076,38.9,38.758,38.254,39.017,39.118,38.833,39.199,38.574,38.349,38.453,38.392,38.478,38.354,37.404,38.276,38.22,37.786,37.331,37.61,37.05,37.132,36.977,36.82,36.984,36.862,36.09,36.234,36.473,36.168,35.968,35.653,35.473,35.566,35.373,35.559,35.56,34.995,34.857,35.029,34.817,34.371,34.46,34.84,35.061,35.184,35.419,34.93,34.646,35.429,34.938,35.231,35.735,35.126,35.645,35.005,35.171,35.189,35.274,35.129,35.187,35.117,34.868,34.9,35.345,35.275,35.197,34.95,35.195,35.249,35.409,35.203,34.925,34.539,34.293,34.454,34.357,34.178,34.24,34.448,34.72
32,B,False,36.358,36.822,37.115,37.294,37.222,37.496,37.019,37.47,37.596,37.075,36.658,37.251,37.051,36.946,37.33,37.4,37.144,37.568,37.571,37.831,38.094,37.76,38.362,38.147,38.802,38.697,38.693,39.099,39.502,40.011,39.429,39.585,39.617,39.292,39.188,39.73,39.891,39.651,39.883,39.866,39.864,40.098,39.315,39.462,40.009,39.35,39.336,39.177,39.454,39.424,39.474,39.482,39.963,40.073,39.696,39.822,39.862,40.793,41.033,40.451,40.085,40.267,40.077,40.316,40.902,40.865,40.226,40.84,40.453,40.499,40.569,40.345,39.909,39.973,40.223,40.21,40.169,40.019,40.191,40.124,40.633,40.394,40.214,40.746,40.965,40.39,40.718,40.542,40.757,41.041,41.596,41.648,41.641,41.883,42.034,42.431,42.075,41.882,42.407,42.201,42.163,42.219,42.088,42.698,42.603,42.463,42.267,42.52,43.18,42.721,42.705,43.048,42.754,42.488,42.629,42.554,42.589,42.195,42.569
33,B,False,27.814,27.636,27.683,27.978,27.699,27.906,28.029,28.534,28.563,28.739,28.708,29.094,29.119,29.404,29.64,29.81,29.721,29.96,29.902,29.812,29.741,29.185,28.927,29.014,29.123,29.037,28.736,28.706,28.766,28.956,29.052,28.847,29.051,29.366,29.302,29.213,29.461,29.772,29.872,30.426,30.268,30.158,29.803,30.198,30.406,30.115,29.9,30.897,31.075,31.235,31.272,31.192,31.568,31.467,31.335,31.08,30.61,31.168,30.195,29.918,30.414,30.459,30.634,29.801,29.177,29.719,29.262,29.406,29.198,29.22,29.051,28.932,29.47,29.202,29.537,29.747,30.095,30.037,30.102,30.076,30.451,30.205,29.97,30.401,30.504,30.107,30.128,30.222,30.317,30.437,30.02,29.997,30.077,30.046,30.267,30.557,30.425,30.904,31.417,31.107,30.667,30.817,30.821,30.883,30.562,30.94,30.603,30.92,31.051,30.928,30.714,30.913,30.62,30.669,30.754,30.643,31.122,31.235,31.053
34,B,False,62.374,62.048,62.432,62.26,62.463,62.338,62.406,62.119,62.108,62.349,62.492,62.236,62.152,61.774,61.852,61.875,61.636,61.248,61.114,61.427,61.468,61.343,61.206,61.106,61.189,61.038,61.258,60.796,61.014,60.916,61.043,61.387,61.121,61.247,61.409,61.242,61.418,60.843,60.98,61.366,61.107,61.339,61.94,61.478,61.789,61.857,61.988,61.25,61.981,61.644,61.638,61.694,61.793,61.731,61.58,62.101,61.489,61.539,61.463,61.36,61.67,61.844,61.861,62.039,62.251,61.985,61.98,62.274,62.061,62.15,62.212,62.279,62.304,62.508,62.426,62.619,62.487,62.533,62.136,62.318,62.16,62.079,62.144,61.93,61.616,61.545,61.565,61.552,61.438,61.853,61.522,61.384,61.367,61.345,60.948,60.666,60.851,60.943,60.876,61.397,60.828,60.863,60.781,60.765,60.722,60.402,60.518,60.524,60.622,60.575,60.372,60.519,60.554,60.598,60.664,60.471,60.728,60.545,60.295
35,B,True,48.738,48.865,48.314,48.054,48.643,48.347,48.215,47.958,47.994,47.787,47.609,47.069,46.696,47.332,47.183,47.776,47.332,47.392,47.975,48.301,47.635,47.152,47.521,47.174,47.127,47.041,47.652,47.679,47.37,47.238,46.894,46.964,46.949,46.703,47.26,46.753,46.883,47.12,46.841,46.525,46.685,46.58,46.493,46.113,45.795,45.949,46.095,45.726,45.424,45.706,45.335,45.415,45.024,44.488,44.721,45.168,44.77,45.201,45.674,45.077,45.261,45.161,45.866,45.329,45.283,45.111,45.389,45.36,45.527,45.579,45.409,45.267,44.824,45.027,45.719,45.513,44.991,44.801,45.175,45.397,45.619,44.866,45.004,44.052,44.941,45.615,45.103,44.309,44.969,44.931,45.179,45.109,44.349,43.989,43.744,44.029,44.043,43.436,43.729,44.59,44.635,44.054,44.779,44.482,45.006,44.808,44.646,44.19,44.547,44.45,44.723,44.933,44.885,45.078,44.395,44.265,44.021,43.761,43.396
36,B,False,58.874,58.76,58.963,58.669,58.58,58.689,58.637,58.436,58.355,58.291,58.359,58.157,58.153,58.101,58.267,58.126,58.012,58.207,58.135,57.939,58.143,58.104,57.981,58.181,58.122,58.124,58.189,58.212,58.396,58.399,58.459,58.662,58.715,58.979,59.105,59.027,58.961,59.05,59.316,59.271,59.499,59.533,60.012,60.203,60.083,59.909,59.994,59.913,59.879,59.697,59.436,59.223,59.441,59.054,58.911,58.639,58.494,58.526,58.5,58.467,58.951,59.001,59.153,59.377,59.776,59.887,59.979,59.942,60.14,60.134,60.265,60.172,60.252,60.382,60.336,60.444,60.443,60.409,60.226,60.162,60.24,60.294,60.38,60.674,60.557,60.549,60.608,60.419,60.024,60.035,59.83,59.544,59.536,59.308,59.407,58.979,58.37,58.661,58.724,58.681,58.825,58.843,59.309,58.946,59.35,59.595,59.746,59.857,60.085,60.172,60.059,59.909,60.024,59.882,59.864,59.94,59.665,59.604,59.521
37,B,False,41.244,40.954,40.878,39.549,42.097,44.658,45.365,44.767,45.761,46.271,46.34,47.502,46.348,47.466,47.661,48.343,46.26,46.852,47.6,47.235,47.652,47.618,46.662,46.783,47.205,46.92,46.862,45.334,45.415,44.228,43.861,44.985,44.832,44.487,43.105,42.594,42.33,42.714,42.715,42.739,42.543,41.933,42.53,43.156,44.536,43.73,43.781,43.795,44.361,44.877,44.573,44.738,44.55,42.764,43.381,43.988,42.955,43.492,43.491,43.71,43.719,41.187,41.318,41.75,41.46,41.682,41.81,42.069,42.928,41.823,41.441,40.663,40.521,40.413,40.977,41.284,42.373,42.49,42.168,41.139,41.797,43.618,44.486,43.756,44.928,44.519,44.309,44.815,44.798,44.341,45.148,45.304,44.91,44.378,45.107,44.757,44.58,44.009,45.04,45.631,45.161,44.96,45.056,45.089,44.398,43.656,44.715,44.327,44.121,44.963,45.249,45.302,44.795,45.169,45.726,46.045,45.081,45.081,44.924
38,B,False,58.963,58.669,58.58,58.689,58.637,58.436,58.355,58.291,58.359,58.157,58.153,58.101,58.267,58.126,58.012,58.207,58.135,57.939,58.143,58.104,57.981,58.181,58.122,58.124,58.189,58.212,58.396,58.399,58.459,58.662,58.715,58.979,59.105,59.027,58.961,59.05,59.316,59.271,59.499,59.533,60.012,60.203,60.083,59.909,59.994,59.913,59.879,59.697,59.436,59.223,59.441,59.054,58.911,58.639,58.494,58.526,58.5,58.467,58.951,59.001,59.153,59.377,59.776,59.887,59.979,59.942,60.14,60.134,60.265,60.172,60.252,60.382,60.336,60.444,60.443,60.409,60.226,60.162,60.24,60.294,60.38,60.674,60.557,60.549,60.608,60.419,60.024,60.035,59.83,59.544,59.536,59.308,59.407,58.979,58.37,58.661,58.724,58.681,58.825,58.843,59.309,58.946,59.35,59.595,59.746,59.857,60.085,60.172,60.059,59.909,60.024,59.882,59.864,59.94,59.665,59.604,59.521,59.379,59.043
39,B,False,36.995,35.833,36.895,39.322,38.901,41.212,42.007,42.076,40.077,40.086,41.036,41.785,43.568,43.45,41.768,41.244,40.954,40.878,39.549,42.097,44.658,45.365,44.767,45.761,46.271,46.34,47.502,46.348,47.466,47.661,48.343,46.26,46.852,47.6,47.235,47.652,47.618,46.662,46.783,47.205,46.92,46.862,45.334,45.415,44.228,43.861,44.985,44.832,44.487,43.105,42.594,42.33,42.714,42.715,42.739,42.543,41.933,42.53,43.156,44.536,43.73,43.781,43.795,44.361,44.877,44.573,44.738,44.55,42.764,43.381,43.988,42.955,43.492,43.491,43.71,43.719,41.187,41.318,41.75,41.46,41.682,41.81,42.069,42.928,41.823,41.441,40.663,40.521,40.413,40.977,41.284,42.373,42.49,42.168,41.139,41.797,43.618,44.486,43.756,44.928,44.519,44.309,44.815,44.798,44.341,45.148,45.304,44.91,44.378,45.107,44.757,44.58,44.009,45.04,45.631,45.161,44.96,45.056,45.089
40,B,False,42.33,42.714,42.715,42.739,42.543,41.933,42.53,43.156,44.536,43.73,43.781,43.795,44.361,44.877,44.573,44.738,44.55,42.764,43.381,43.988,42.955,43.492,43.491,43.71,43.719,41.187,41.318,41.75,41.46,41.682,41.81,42.069,42.928,41.823,41.441,40.663,40.521,40.413,40.977,41.284,42.373,42.49,42.168,41.139,41.797,43.618,44.486,43.756,44.928,44.519,44.309,44.815,44.798,44.341,45.148,45.304,44.91,44.378,45.107,44.757,44.58,44.009,45.04,45.631,45.161,44.96,45.056,45.089,44.398,43.656,44.715,44.327,44.121,44.963,45.249,45.302,44.795,45.169,45.726,46.045,45.081,45.081,44.924,43.937,43.631,44.365,44.353,43.371,44.229,44.228,44.116,43.64,43.308,43.382,43.652,41.883,42.222,42.532,42.171,41.147,41.498,41.65,41.583,41.38,42.463,43.019,42.42,42.304,43.149,42.352,42.422,43.083,42.196,42.378,42.161,42.032,42.641,43.015,42.524
41,B,False,47.491,47.94,48.084,47.83,47.979,48.075,47.914,48.328,48.469,48.564,48.518,48.279,48.136,47.892,48.05,47.796,47.972,47.771,47.697,47.642,47.266,47.511,47.731,47.688,47.32,47.112,47.087,47.238,47.416,47.194,47.862,47.653,48.207,48.173,48.339,48.283,48.238,48.474,48.355,48.469,48.324,48.268,48.342,48.231,48.44,48.193,48.322,48.321,48.349,48.377,48.734,48.667,48.45,48.459,48.176,48.279,48.085,48.342,48.376,48.507,48.703,48.627,48.712,48.899,48.934,48.683,48.911,49.158,49.407,49.588,49.371,49.601,49.639,49.891,49.804,49.43,49.141,48.879,48.788,49.033,49.031,49.196,49.619,49.894,49.826,49.904,50.033,50.299,50.561,50.913,50.642,50.261,50.146,50.229,50.286,50.346,50.245,50.312,50.497,50.125,50.03,49.923,49.688,49.621,49.442,49.413,49.413,49.273,49.494,49.364,48.99,48.911,48.886,49.537,49.066,48.874,48.956,48.91,49.252
42,B,False,58.367,58.988,59.307,58.352,58.246,58.71,58.352,58.457,57.89,58.119,58.346,57.45,57.968,58.607,58.497,58.626,58.448,58.545,58.768,58.515,58.365,58.273,57.745,58.076,57.767,58.418,57.882,57.344,57.694,57.399,57.415,56.752,57.339,57.637,57.766,57.621,57.619,57.971,58.318,58.849,58.184,58.019,57.837,58.203,58.779,58.726,58.422,57.813,58.059,58.568,59.054,58.301,58.954,58.841,58.735,58.923,58.154,58.352,58.69,58.571,58.593,58.929,58.634,58.208,58.315,58.517,58.531,58.621,58.568,58.523,58.353,58.629,58.469,58.722,58.567,58.273,58.222,58.371,58.33,58.774,58.579,59.375,59.587,60.295,60.094,60.127,60.474,60.544,60.405,60.461,60.419,60.54,60.421,60.707,60.494,60.38,60.312,60.394,60.295,60.233,60.29,60.185,60.29,60.632,60.85,60.995,61.439,62.128,62.237,61.469,62.223,62.258,61.911,61.609,61.907,61.862,61.966,62.264,61.732
43,B,False,47.357,47.413,47.58,47.603,47.436,47.955,47.835,48.0,47.311,47.971,47.791,47.915,47.534,47.569,48.074,47.656,46.481,46.008,46.042,46.886,45.42,46.201,46.211,45.439,45.479,45.61,46.246,46.237,45.476,46.242,47.004,46.178,46.155,46.347,47.046,45.778,47.322,48.37,48.985,49.408,49.613,50.282,50.646,51.648,50.787,52.1,52.318,52.365,52.543,53.197,52.879,53.356,52.687,51.014,50.191,48.609,48.101,48.903,48.499,50.829,51.898,51.077,52.916,52.38,52.854,52.559,53.117,52.515,52.075,51.968,52.119,52.242,53.304,51.361,50.619,51.194,50.942,50.977,51.954,50.732,50.374,50.981,51.471,51.321,51.354,50.349,50.248,51.409,51.862,50.538,49.741,50.677,50.662,49.552,49.952,50.434,50.542,51.348,50.073,51.095,51.459,52.39,52.753,53.057,52.66,52.38,52.475,52.066,51.926,52.041,51.652,51.729,51.587,51.311,51.056,50.408,49.627,49.324,48.968
44,B,False,50.299,50.561,50.913,50.642,50.261,50.146,50.229,50.286,50.346,50.245,50.312,50.497,50.125,50.03,49.923,49.688,49.621,49.442,49.413,49.413,49.273,49.494,49.364,48.99,48.911,48.886,49.537,49.066,48.874,48.956,48.91,49.252,49.077,49.214,49.477,49.663,49.677,49.729,49.962,50.056,50.547,50.905,51.232,51.023,50.945,50.915,50.941,50.749,51.081,51.42,51.013,50.801,50.575,50.714,50.424,49.876,49.61,49.475,49.487,50.353,50.341,50.566,51.014,51.065,50.998,51.408,51.572,51.37,51.33,51.477,51.353,50.802,51.018,51.37,51.076,50.708,50.666,51.07,50.62,50.804,50.826,50.99,51.58,51.348,51.49,51.331,51.374,51.782,51.443,51.621,51.932,52.089,52.088,52.002,51.89,52.313,52.504,52.385,52.78,53.297,53.337,52.892,53.142,53.153,53.052,52.943,52.846,52.615,52.301,52.152,52.375,51.695,51.579,51.542,51.791,51.962,52.981,52.859,53.067
45,B,False,45.345,45.796,45.419,45.31,45.636,45.076,44.601,44.523,45.065,45.284,44.728,44.507,44.218,44.148,44.448,44.526,43.717,43.295,42.89,42.825,43.152,42.497,42.762,42.332,42.57,43.102,42.504,42.316,42.279,41.847,41.913,41.45,41.214,40.846,40.303,40.911,40.874,41.847,40.998,41.321,41.088,40.896,40.593,40.823,40.987,40.539,39.98,40.155,39.837,40.348,40.74,39.897,39.082,39.076,38.9,38.758,38.254,39.017,39.118,38.833,39.199,38.574,38.349,38.453,38.392,38.478,38.354,37.404,38.276,38.22,37.786,37.331,37.61,37.05,37.132,36.977,36.82,36.984,36.862,36.09,36.234,36.473,36.168,35.968,35.653,35.473,35.566,35.373,35.559,35.56,34.995,34.857,35.029,34.817,34.371,34.46,34.84,35.061,35.184,35.419,34.93,34.646,35.429,34.938,35.231,35.735,35.126,35.645,35.005,35.171,35.189,35.274,35.129,35.187,35.117,34.868,34.9,35.345,35.275
