,FLARE_TYPE,COINCIDENCE,MEANGAM_1,MEANGAM_2,MEANGAM_3,MEANGAM_4,MEANGAM_5,MEANGAM_6,MEANGAM_7,MEANGAM_8,MEANGAM_9,MEANGAM_10,MEANGAM_11,MEANGAM_12,MEANGAM_13,MEANGAM_14,MEANGAM_15,MEANGAM_16,MEANGAM_17,MEANGAM_18,MEANGAM_19,MEANGAM_20,MEANGAM_21,MEANGAM_22,MEANGAM_23,MEANGAM_24,MEANGAM_25,MEANGAM_26,MEANGAM_27,MEANGAM_28,MEANGAM_29,MEANGAM_30,MEANGAM_31,MEANGAM_32,MEANGAM_33,MEANGAM_34,MEANGAM_35,MEANGAM_36,MEANGAM_37,MEANGAM_38,MEANGAM_39,MEANGAM_40,MEANGAM_41,MEANGAM_42,MEANGAM_43,MEANGAM_44,MEANGAM_45,MEANGAM_46,MEANGAM_47,MEANGAM_48,MEANGAM_49,MEANGAM_50,MEANGAM_51,MEANGAM_52,MEANGAM_53,MEANGAM_54,MEANGAM_55,MEANGAM_56,MEANGAM_57,MEANGAM_58,MEANGAM_59,MEANGAM_60,MEANGAM_61,MEANGAM_62,MEANGAM_63,MEANGAM_64,MEANGAM_65,MEANGAM_66,MEANGAM_67,MEANGAM_68,MEANGAM_69,MEANGAM_70,MEANGAM_71,MEANGAM_72,MEANGAM_73,MEANGAM_74,MEANGAM_75,MEANGAM_76,MEANGAM_77,MEANGAM_78,MEANGAM_79,MEANGAM_80,MEANGAM_81,MEANGAM_82,MEANGAM_83,MEANGAM_84,MEANGAM_85,MEANGAM_86,MEANGAM_87,MEANGAM_88,MEANGAM_89,MEANGAM_90,MEANGAM_91,MEANGAM_92,MEANGAM_93,MEANGAM_94,MEANGAM_95,MEANGAM_96,MEANGAM_97,MEANGAM_98,MEANGAM_99,MEANGAM_100,MEANGAM_101,MEANGAM_102,MEANGAM_103,MEANGAM_104,MEANGAM_105,MEANGAM_106,MEANGAM_107,MEANGAM_108,MEANGAM_109,MEANGAM_110,MEANGAM_111,MEANGAM_112,MEANGAM_113,MEANGAM_114,MEANGAM_115,MEANGAM_116,MEANGAM_117,MEANGAM_118,MEANGAM_119
10,B,True,59.163,59.187,59.439,59.365,59.149,59.145,58.81,58.863,58.932,58.874,58.76,58.963,58.669,58.58,58.689,58.637,58.436,58.355,58.291,58.359,58.157,58.153,58.101,58.267,58.126,58.012,58.207,58.135,57.939,58.143,58.104,57.981,58.181,58.122,58.124,58.189,58.212,58.396,58.399,58.459,58.662,58.715,58.979,59.105,59.027,58.961,59.05,59.316,59.271,59.499,59.533,60.012,60.203,60.083,59.909,59.994,59.913,59.879,59.697,59.436,59.223,59.441,59.054,58.911,58.639,58.494,58.526,58.5,58.467,58.951,59.001,59.153,59.377,59.776,59.887,59.979,59.942,60.14,60.134,60.265,60.172,60.252,60.382,60.336,60.444,60.443,60.409,60.226,60.162,60.24,60.294,60.38,60.674,60.557,60.549,60.608,60.419,60.024,60.035,59.83,59.544,59.536,59.308,59.407,58.979,58.37,58.661,58.724,58.681,58.825,58.843,59.309,58.946,59.35,59.595,59.746,59.857,60.085,60.172
11,B,True,31.039,30.933,30.792,30.576,30.743,30.886,30.847,30.953,30.882,30.821,30.944,30.98,31.143,30.98,31.317,31.307,31.618,31.662,31.94,32.136,31.889,32.068,32.047,31.805,31.804,31.813,32.008,32.04,31.719,31.714,31.797,31.84,31.843,31.632,31.584,31.818,31.843,31.908,31.668,31.685,31.696,31.818,31.734,32.041,31.963,32.069,32.006,31.818,32.038,32.437,32.354,32.427,32.659,32.739,32.524,32.654,32.68,32.642,32.538,32.706,32.905,32.998,33.204,33.094,32.805,32.559,32.509,32.462,32.467,32.422,32.403,32.514,32.663,32.552,32.963,32.806,32.742,32.775,32.824,32.905,32.999,33.109,33.192,33.125,33.438,33.142,33.09,33.204,33.101,32.903,32.915,32.928,33.022,32.817,33.16,33.14,33.19,33.199,33.188,33.331,33.415,33.379,33.302,33.728,33.728,33.649,33.667,33.792,33.726,33.98,33.95,33.859,34.147,33.774,34.077,33.987,34.108,33.976,34.118
12,B,True,29.81,29.721,29.96,29.902,29.812,29.741,29.185,28.927,29.014,29.123,29.037,28.736,28.706,28.766,28.956,29.052,28.847,29.051,29.366,29.302,29.213,29.461,29.772,29.872,30.426,30.268,30.158,29.803,30.198,30.406,30.115,29.9,30.897,31.075,31.235,31.272,31.192,31.568,31.467,31.335,31.08,30.61,31.168,30.195,29.918,30.414,30.459,30.634,29.801,29.177,29.719,29.262,29.406,29.198,29.22,29.051,28.932,29.47,29.202,29.537,29.747,30.095,30.037,30.102,30.076,30.451,30.205,29.97,30.401,30.504,30.107,30.128,30.222,30.317,30.437,30.02,29.997,30.077,30.046,30.267,30.557,30.425,30.904,31.417,31.107,30.667,30.817,30.821,30.883,30.562,30.94,30.603,30.92,31.051,30.928,30.714,30.913,30.62,30.669,30.754,30.643,31.122,31.235,31.053,31.052,31.33,31.452,31.71,31.484,31.215,31.47,31.574,31.166,31.441,31.327,31.584,31.412,31.579,31.838
13,B,True,29.931,29.822,29.87,30.162,30.187,29.97,29.838,29.993,30.172,30.308,30.014,29.833,29.779,29.384,29.754,30.007,30.196,30.382,30.11,30.124,29.672,29.507,29.58,29.585,29.446,29.382,29.433,29.492,29.394,29.182,28.969,29.056,29.479,29.298,29.517,29.235,29.607,29.875,30.052,29.695,29.803,29.465,29.372,29.579,29.851,29.777,29.652,29.713,29.775,29.528,29.453,29.36,29.174,29.253,29.128,29.22,29.086,29.138,29.213,29.04,28.904,29.421,29.347,29.081,29.396,29.05,28.868,29.239,29.419,29.444,29.394,29.298,29.641,29.815,29.406,29.499,29.144,29.346,29.042,29.363,29.673,29.506,29.12,28.953,29.355,29.367,29.685,29.627,29.278,29.305,29.078,28.922,28.623,28.998,28.826,28.78,28.505,28.957,28.557,28.468,29.1,28.739,28.938,28.659,29.283,28.924,29.677,28.858,28.843,28.971,28.994,28.948,28.794,28.911,28.565,28.491,28.12,28.092,28.157
14,B,True,49.938,49.008,48.676,48.996,48.185,47.489,46.656,45.849,45.191,45.829,47.357,47.413,47.58,47.603,47.436,47.955,47.835,48.0,47.311,47.971,47.791,47.915,47.534,47.569,48.074,47.656,46.481,46.008,46.042,46.886,45.42,46.201,46.211,45.439,45.479,45.61,46.246,46.237,45.476,46.242,47.004,46.178,46.155,46.347,47.046,45.778,47.322,48.37,48.985,49.408,49.613,50.282,50.646,51.648,50.787,52.1,52.318,52.365,52.543,53.197,52.879,53.356,52.687,51.014,50.191,48.609,48.101,48.903,48.499,50.829,51.898,51.077,52.916,52.38,52.854,52.559,53.117,52.515,52.075,51.968,52.119,52.242,53.304,51.361,50.619,51.194,50.942,50.977,51.954,50.732,50.374,50.981,51.471,51.321,51.354,50.349,50.248,51.409,51.862,50.538,49.741,50.677,50.662,49.552,49.952,50.434,50.542,51.348,50.073,51.095,51.459,52.39,52.753,53.057,52.66,52.38,52.475,52.066,51.926
15,B,True,46.941,46.772,47.04,46.886,47.444,46.692,47.106,47.273,47.753,47.378,47.355,47.167,47.633,47.803,47.723,47.621,47.751,47.809,47.491,47.94,48.084,47.83,47.979,48.075,47.914,48.328,48.469,48.564,48.518,48.279,48.136,47.892,48.05,47.796,47.972,47.771,47.697,47.642,47.266,47.511,47.731,47.688,47.32,47.112,47.087,47.238,47.416,47.194,47.862,47.653,48.207,48.173,48.339,48.283,48.238,48.474,48.355,48.469,48.324,48.268,48.342,48.231,48.44,48.193,48.322,48.321,48.349,48.377,48.734,48.667,48.45,48.459,48.176,48.279,48.085,48.342,48.376,48.507,48.703,48.627,48.712,48.899,48.934,48.683,48.911,49.158,49.407,49.588,49.371,49.601,49.639,49.891,49.804,49.43,49.141,48.879,48.788,49.033,49.031,49.196,49.619,49.894,49.826,49.904,50.033,50.299,50.561,50.913,50.642,50.261,50.146,50.229,50.286,50.346,50.245,50.312,50.497,50.125,50.03
16,B,True,40.085,40.316,40.511,40.61,40.753,40.907,40.558,40.601,40.226,40.525,40.667,40.27,39.762,39.785,39.672,39.461,39.57,38.915,38.714,38.264,38.661,38.084,37.779,37.403,37.526,37.768,37.398,37.994,37.862,37.589,38.431,38.302,37.828,37.761,37.553,37.92,37.847,38.273,37.9,37.89,37.748,37.482,37.633,37.281,36.974,36.95,36.118,36.489,36.384,35.392,35.264,34.862,35.16,34.727,34.485,34.392,34.266,34.675,35.313,34.921,35.091,35.028,36.021,34.878,34.994,34.522,34.419,35.409,35.378,34.485,34.191,34.339,34.23,33.696,33.534,32.807,33.039,32.591,33.862,33.08,32.007,32.267,31.672,31.699,32.141,32.109,32.15,31.654,31.336,31.094,31.414,30.696,31.649,31.445,31.405,31.325,32.043,31.985,31.167,31.185,31.057,31.476,31.324,31.424,31.264,31.161,31.796,31.018,30.705,31.034,31.168,31.117,31.683,32.187,31.828,32.091,32.62,32.969,33.303
17,B,False,51.433,51.792,52.451,52.95,52.779,51.946,51.586,51.421,50.207,49.009,47.126,47.031,46.708,46.339,46.087,45.805,46.669,47.079,48.562,49.38,49.868,50.634,50.323,50.76,51.28,51.073,50.876,50.521,49.805,50.142,49.916,49.58,48.833,49.643,49.144,48.963,49.482,49.331,49.35,49.07,49.408,49.293,49.316,49.354,49.294,49.168,48.792,48.844,48.829,49.175,48.854,48.955,48.859,48.663,48.994,49.498,49.671,50.126,50.556,50.629,50.259,50.148,49.037,48.656,48.93,47.89,47.055,46.205,44.5,44.17,45.167,45.081,45.179,45.992,46.106,46.463,47.419,47.863,48.073,48.588,48.912,48.689,48.262,47.632,47.602,46.77,46.725,46.529,46.159,45.571,44.709,44.165,43.374,42.593,41.217,41.17,41.294,40.174,39.817,39.473,39.711,40.023,40.033,39.974,39.394,39.781,39.769,40.811,41.544,41.167,42.089,43.199,43.994,43.886,44.008,43.551,43.901,44.253,44.592
18,B,False,26.921,27.083,27.08,26.803,26.888,26.667,26.341,26.061,25.97,25.818,25.932,25.938,25.41,25.892,26.119,25.964,25.937,26.043,26.06,25.787,26.021,26.065,25.794,25.796,25.905,25.743,25.728,25.694,25.548,25.526,26.172,26.292,26.032,26.226,25.793,26.072,25.892,26.151,26.859,27.215,28.206,28.029,28.251,28.909,28.728,28.389,28.575,29.127,27.977,28.491,28.899,29.369,29.968,29.892,29.953,29.505,29.485,29.248,29.4,28.929,29.932,30.449,30.925,30.506,31.232,30.618,30.355,31.187,31.467,31.54,31.721,31.684,32.072,32.708,32.804,32.224,31.947,31.37,31.101,30.943,31.262,31.736,31.85,32.382,32.208,31.854,32.528,31.89,32.735,33.444,33.36,34.65,33.821,34.095,34.074,34.478,33.65,34.218,34.445,35.046,34.986,35.37,35.23,34.655,35.435,35.656,34.928,35.201,35.608,35.324,35.771,35.764,36.21,34.98,34.554,34.505,34.29,34.517,34.381
19,B,True,38.692,38.612,38.29,38.71,39.217,39.487,39.137,39.86,39.982,40.579,40.736,40.507,40.178,40.38,40.185,40.435,39.785,40.377,40.291,40.557,40.586,40.812,39.997,40.573,40.755,40.304,40.296,40.976,40.338,40.698,40.506,39.898,41.291,41.679,41.067,40.94,39.087,38.969,38.54,38.872,38.223,37.996,37.998,38.504,37.395,37.4,37.794,38.147,37.053,37.154,36.869,37.055,36.597,36.633,36.156,36.31,36.494,36.327,36.085,36.078,36.129,35.794,35.895,36.473,36.455,36.285,36.632,36.733,36.645,36.222,36.399,36.368,36.254,36.938,36.256,36.385,36.437,35.682,36.457,35.838,35.88,35.78,35.37,35.332,35.458,35.162,35.518,34.99,34.757,35.17,35.69,35.262,35.665,36.27,36.199,35.797,35.413,36.488,36.084,35.702,35.72,35.176,34.876,34.665,34.503,35.205,35.591,35.277,34.961,35.113,34.799,34.261,34.229,33.694,33.843,33.779,33.315,33.541,33.78
