,name,tss_mean,tss_std,label
0,KNN,0.6347486413043479,0.023447441056984642,0h-24h time-series
1,KNN,0.5125868055555556,0.038989213565057926,Randomized 60 time-points
2,LDA,0.43039326690821256,0.03528823662600451,0h-24h time-series
3,LDA,0.1907344504830918,0.06316484937321983,Randomized 60 time-points
4,DART,0.8066085446859902,0.023368908449188056,0h-24h time-series
5,DART,0.7876811594202898,0.02515728811740261,Randomized 60 time-points
6,RFC,0.8170818236714975,0.02456269679842491,0h-24h time-series
7,RFC,0.80546875,0.029186379816028077,Randomized 60 time-points
8,SVM,0.6348052536231884,0.0353541714705402,0h-24h time-series
9,SVM,0.6263020833333334,0.03348027519760354,Randomized 60 time-points
