,name,tss,timepoint,dataset
112,DART,0.7710567210567212,18,All Flares
113,LDA,0.6746477596477597,18,All Flares
114,KNN,0.8413733609385783,18,Coincidental Flares
115,LR,0.8577639751552796,18,Coincidental Flares
116,RFC,0.8881642512077296,18,Coincidental Flares
117,SVM,0.8654934437543135,18,Coincidental Flares
118,DART,0.8579365079365079,18,Coincidental Flares
119,LDA,0.8371635610766046,18,Coincidental Flares
120,KNN,0.657693999978537,18,Noncoincidental Flares
121,LR,0.7658564330403614,18,Noncoincidental Flares
122,RFC,0.6976809074616616,18,Noncoincidental Flares
123,SVM,0.6485936275930159,18,Noncoincidental Flares
124,DART,0.6948155779487677,18,Noncoincidental Flares
125,LDA,0.6305635148042026,18,Noncoincidental Flares
126,KNN,0.7277211955112773,17,All Flares
127,LR,0.8069151759811366,17,All Flares
128,RFC,0.7686098045751392,17,All Flares
129,SVM,0.7211732898781527,17,All Flares
130,DART,0.7751614137747984,17,All Flares
131,LDA,0.6685974593533573,17,All Flares
132,KNN,0.827498388136686,17,Coincidental Flares
133,LR,0.8646196002578981,17,Coincidental Flares
134,RFC,0.8837685364281107,17,Coincidental Flares
135,SVM,0.8328981302385559,17,Coincidental Flares
136,DART,0.881221792392005,17,Coincidental Flares
137,LDA,0.8176176660219213,17,Coincidental Flares
138,KNN,0.6589774544704122,17,Noncoincidental Flares
139,LR,0.7907454986328226,17,Noncoincidental Flares
140,RFC,0.6991693752257132,17,Noncoincidental Flares
141,SVM,0.6341794355878865,17,Noncoincidental Flares
142,DART,0.6987927565392353,17,Noncoincidental Flares
143,LDA,0.6266181705618326,17,Noncoincidental Flares
144,KNN,0.7372842657845535,16,All Flares
145,LR,0.8010990459753585,16,All Flares
146,RFC,0.775361354810873,16,All Flares
147,SVM,0.7367095738050721,16,All Flares
148,DART,0.7803502085430748,16,All Flares
149,LDA,0.6666049427105807,16,All Flares
150,KNN,0.7878703703703704,16,Coincidental Flares
151,LR,0.8135185185185186,16,Coincidental Flares
152,RFC,0.8782407407407409,16,Coincidental Flares
153,SVM,0.8233796296296295,16,Coincidental Flares
154,DART,0.8565740740740739,16,Coincidental Flares
155,LDA,0.8140277777777778,16,Coincidental Flares
156,KNN,0.6555268856373828,16,Noncoincidental Flares
157,LR,0.776253212717301,16,Noncoincidental Flares
158,RFC,0.700743731406715,16,Noncoincidental Flares
159,SVM,0.6423926901827455,16,Noncoincidental Flares
160,DART,0.6968348410337362,16,Noncoincidental Flares
161,LDA,0.6281909618926192,16,Noncoincidental Flares
162,KNN,0.7282596779719082,15,All Flares
163,LR,0.8012647025236953,15,All Flares
164,RFC,0.7756132237067489,15,All Flares
165,SVM,0.7248241406874499,15,All Flares
166,DART,0.770514445586388,15,All Flares
167,LDA,0.660252940504739,15,All Flares
168,KNN,0.7934782608695651,15,Coincidental Flares
169,LR,0.8042886719905356,15,Coincidental Flares
170,RFC,0.8552203490091688,15,Coincidental Flares
171,SVM,0.8379029872818691,15,Coincidental Flares
172,DART,0.8379029872818694,15,Coincidental Flares
173,LDA,0.8176279207335108,15,Coincidental Flares
174,KNN,0.6612974098057354,15,Noncoincidental Flares
175,LR,0.7732057508479804,15,Noncoincidental Flares
176,RFC,0.7053981652790624,15,Noncoincidental Flares
177,SVM,0.6458718778908417,15,Noncoincidental Flares
178,DART,0.698808973172988,15,Noncoincidental Flares
179,LDA,0.6373843663274745,15,Noncoincidental Flares
180,KNN,0.719382036403313,14,All Flares
181,LR,0.7970964417772929,14,All Flares
182,RFC,0.7693867204505503,14,All Flares
183,SVM,0.7255412829880916,14,All Flares
184,DART,0.7588250205271482,14,All Flares
185,LDA,0.6534576534576534,14,All Flares
186,KNN,0.795875850340136,14,Coincidental Flares
187,LR,0.8201247165532881,14,Coincidental Flares
188,RFC,0.8439058956916098,14,Coincidental Flares
189,SVM,0.8366780045351473,14,Coincidental Flares
190,DART,0.8396400226757369,14,Coincidental Flares
191,LDA,0.7902210884353741,14,Coincidental Flares
192,KNN,0.6642086499671637,14,Noncoincidental Flares
193,LR,0.7801069518716577,14,Noncoincidental Flares
194,RFC,0.6963101604278076,14,Noncoincidental Flares
195,SVM,0.6464649591894175,14,Noncoincidental Flares
196,DART,0.7019964349376113,14,Noncoincidental Flares
197,LDA,0.6255905807298997,14,Noncoincidental Flares
198,KNN,0.7258417616182308,13,All Flares
199,LR,0.787244484274314,13,All Flares
200,RFC,0.7682029616353007,13,All Flares
201,SVM,0.72195194810737,13,All Flares
202,DART,0.773754960952503,13,All Flares
203,LDA,0.6485159817351599,13,All Flares
204,KNN,0.7693611111111112,13,Coincidental Flares
205,LR,0.8272777777777779,13,Coincidental Flares
206,RFC,0.8623888888888888,13,Coincidental Flares
207,SVM,0.8220555555555558,13,Coincidental Flares
208,DART,0.8200000000000001,13,Coincidental Flares
209,LDA,0.7981944444444445,13,Coincidental Flares
210,KNN,0.6513227513227515,13,Noncoincidental Flares
211,LR,0.7824640967498111,13,Noncoincidental Flares
212,RFC,0.6937893675988916,13,Noncoincidental Flares
213,SVM,0.6453010833963214,13,Noncoincidental Flares
214,DART,0.6950365331317713,13,Noncoincidental Flares
215,LDA,0.6236583522297808,13,Noncoincidental Flares
216,KNN,0.7129522487078607,12,All Flares
217,LR,0.7859980971482939,12,All Flares
218,RFC,0.7603934274473502,12,All Flares
219,SVM,0.7154218416518809,12,All Flares
220,DART,0.7613957674406645,12,All Flares
221,LDA,0.6538090462598678,12,All Flares
222,KNN,0.774235294117647,12,Coincidental Flares
223,LR,0.8024967320261437,12,Coincidental Flares
224,RFC,0.8448758169934639,12,Coincidental Flares
225,SVM,0.8054248366013071,12,Coincidental Flares
226,DART,0.8386013071895424,12,Coincidental Flares
227,LDA,0.7561830065359477,12,Coincidental Flares
228,KNN,0.6452910052910054,12,Noncoincidental Flares
229,LR,0.7696392496392496,12,Noncoincidental Flares
230,RFC,0.6962193362193363,12,Noncoincidental Flares
231,SVM,0.6299951899951901,12,Noncoincidental Flares
232,DART,0.6843097643097644,12,Noncoincidental Flares
233,LDA,0.6350553150553151,12,Noncoincidental Flares
234,KNN,0.7116848914817313,11,All Flares
235,LR,0.7777442271798932,11,All Flares
236,RFC,0.7695943634995555,11,All Flares
237,SVM,0.7194780764758193,11,All Flares
238,DART,0.7511682448477031,11,All Flares
239,LDA,0.6555676077120772,11,All Flares
240,KNN,0.7813976872800403,11,Coincidental Flares
241,LR,0.8064982403217698,11,Coincidental Flares
242,RFC,0.8676344896933131,11,Coincidental Flares
243,SVM,0.798931623931624,11,Coincidental Flares
244,DART,0.8242961287078934,11,Coincidental Flares
245,LDA,0.753720462543992,11,Coincidental Flares
246,KNN,0.6232686911826782,11,Noncoincidental Flares
247,LR,0.7683559705013285,11,Noncoincidental Flares
248,RFC,0.6985830043287893,11,Noncoincidental Flares
249,SVM,0.641145846265902,11,Noncoincidental Flares
250,DART,0.6964045390211804,11,Noncoincidental Flares
251,LDA,0.6146591181850538,11,Noncoincidental Flares
252,KNN,0.6951713813606,10,All Flares
253,LR,0.7771218476515975,10,All Flares
254,RFC,0.7550477589315556,10,All Flares
255,SVM,0.7135942303256272,10,All Flares
256,DART,0.7595962734381253,10,All Flares
257,LDA,0.6440709722673369,10,All Flares
258,KNN,0.7673560716013547,10,Coincidental Flares
259,LR,0.7985365263667149,10,Coincidental Flares
260,RFC,0.8258224479922593,10,Coincidental Flares
261,SVM,0.7927431059506532,10,Coincidental Flares
262,DART,0.8159772617319788,10,Coincidental Flares
263,LDA,0.7467464925012095,10,Coincidental Flares
264,KNN,0.6429447014973331,10,Noncoincidental Flares
265,LR,0.7703802776171197,10,Noncoincidental Flares
266,RFC,0.6884350298823985,10,Noncoincidental Flares
267,SVM,0.640525994473363,10,Noncoincidental Flares
268,DART,0.6911678234046655,10,Noncoincidental Flares
269,LDA,0.6199023199023199,10,Noncoincidental Flares
270,KNN,0.7136407649479545,9,All Flares
271,LR,0.7632413459210845,9,All Flares
272,RFC,0.7528443476155895,9,All Flares
