,name,tss,missing_timepoint,std
0,KNN,0.7492831215970962,complete,0.036805952465423605
1,RFC,0.8225181488203268,complete,0.021935929763955943
2,LR,0.7242816091954024,complete,0.031132651477545084
3,SVM,0.7385319620891309,complete,0.03347219145485832
4,LDA,0.3566091954022989,complete,0.03893597527054581
5,DART,0.7984084492841298,complete,0.031380980075879555
6,KNN,0.7465194595684614,4,0.028754688158703866
7,RFC,0.8254113732607382,4,0.031000890390603015
8,LR,0.7151396450897357,4,0.03101637692861751
9,SVM,0.7495765275257108,4,0.02548074008546249
10,LDA,0.35365799556362165,4,0.0542131840975061
11,DART,0.8031483161927806,4,0.029242561913918122
12,KNN,0.7518461383343417,13,0.03215394691975971
