,0
Unnamed: 0,1707.990476190476
nar,12107.824761904762
magnitude,2.783619047619047
COINCIDENCE,1.0
before_coincident_flare,0.29714285714285715
ABSNJZH,282.5305252413333
AREA_ACR,904.8124506247619
MEANGAM,39.1798
MEANGBH,48.04448
MEANGBT,88.5916419047619
MEANGBZ,94.51937714285714
MEANJZD,-0.006383115619047621
MEANJZH,-0.00035268281904761873
MEANPOT,7069.814419047619
MEANSHR,32.2202260952381
R_VALUE,3.722843809523809
SAVNCPP,10198155842285.715
SHRGT45,26.06486053333333
TOTPOT,5.016178982857142e+23
TOTUSJH,1828.6084605329524
TOTUSJZ,32567843738095.24
USFLUX,2.2865215824761905e+22
d_l_f,163.54331142857143
g_s,43465.346931428576
slf,14.14796902857143
