,name,tss,timepoint,dataset
112,DART,0.8249307862679954,6,All Flares
113,LDA,0.6634330543487521,6,All Flares
114,KNN,0.8198903318903319,6,Coincidental Flares
115,LR,0.8612698412698413,6,Coincidental Flares
116,RFC,0.8764906204906205,6,Coincidental Flares
117,SVM,0.858089466089466,6,Coincidental Flares
118,DART,0.8864184704184702,6,Coincidental Flares
119,LDA,0.8272496392496392,6,Coincidental Flares
120,KNN,0.7062876530489108,6,Noncoincidental Flares
121,LR,0.7891786645873364,6,Noncoincidental Flares
122,RFC,0.7682363752819626,6,Noncoincidental Flares
123,SVM,0.6662809694876864,6,Noncoincidental Flares
124,DART,0.7550646541721201,6,Noncoincidental Flares
125,LDA,0.5974384323335838,6,Noncoincidental Flares
126,KNN,0.790672384785757,7,All Flares
127,LR,0.8055679785330947,7,All Flares
128,RFC,0.8299735390578412,7,All Flares
129,SVM,0.7409622838401907,7,All Flares
130,DART,0.8301718630207003,7,All Flares
131,LDA,0.6752212177357525,7,All Flares
132,KNN,0.8120981240981241,7,Coincidental Flares
133,LR,0.8552554112554113,7,Coincidental Flares
134,RFC,0.8717402597402597,7,Coincidental Flares
135,SVM,0.8452929292929292,7,Coincidental Flares
136,DART,0.878147186147186,7,Coincidental Flares
137,LDA,0.8403636363636363,7,Coincidental Flares
138,KNN,0.7384049495483956,7,Noncoincidental Flares
139,LR,0.7953159375087027,7,Noncoincidental Flares
140,RFC,0.7627980914719615,7,Noncoincidental Flares
141,SVM,0.6750870255367735,7,Noncoincidental Flares
142,DART,0.7745244924670694,7,Noncoincidental Flares
143,LDA,0.596291551792958,7,Noncoincidental Flares
144,KNN,0.7682950528154018,8,All Flares
145,LR,0.8000963668114831,8,All Flares
146,RFC,0.8280009476957151,8,All Flares
147,SVM,0.730843236221143,8,All Flares
148,DART,0.8245509093619557,8,All Flares
149,LDA,0.6515626331033307,8,All Flares
150,KNN,0.8224877344877345,8,Coincidental Flares
151,LR,0.8294891774891774,8,Coincidental Flares
152,RFC,0.8695180375180374,8,Coincidental Flares
153,SVM,0.8375757575757576,8,Coincidental Flares
154,DART,0.866031746031746,8,Coincidental Flares
155,LDA,0.8237864357864358,8,Coincidental Flares
156,KNN,0.7055102249204006,8,Noncoincidental Flares
157,LR,0.7810186861232559,8,Noncoincidental Flares
158,RFC,0.7578234797218896,8,Noncoincidental Flares
159,SVM,0.6716375653271697,8,Noncoincidental Flares
160,DART,0.7650185190342252,8,Noncoincidental Flares
161,LDA,0.611382011937583,8,Noncoincidental Flares
162,KNN,0.777812473379334,9,All Flares
163,LR,0.8045311035863362,9,All Flares
164,RFC,0.8249092235284098,9,All Flares
165,SVM,0.7441501086123179,9,All Flares
166,DART,0.8167156486923929,9,All Flares
167,LDA,0.6636705106908596,9,All Flares
168,KNN,0.819994227994228,9,Coincidental Flares
169,LR,0.8300721500721502,9,Coincidental Flares
170,RFC,0.8541240981240981,9,Coincidental Flares
171,SVM,0.8256450216450217,9,Coincidental Flares
172,DART,0.8461818181818184,9,Coincidental Flares
173,LDA,0.8125367965367967,9,Coincidental Flares
174,KNN,0.7029398386662583,9,Noncoincidental Flares
175,LR,0.8000751900637723,9,Noncoincidental Flares
176,RFC,0.7684313124843353,9,Noncoincidental Flares
177,SVM,0.6721666805907526,9,Noncoincidental Flares
178,DART,0.765705440604491,9,Noncoincidental Flares
179,LDA,0.6087257604871572,9,Noncoincidental Flares
180,KNN,0.7759101605758582,10,All Flares
181,LR,0.8013179891813613,10,All Flares
182,RFC,0.8303555456171734,10,All Flares
183,SVM,0.7281641323792486,10,All Flares
184,DART,0.8208860422523213,10,All Flares
185,LDA,0.6503410107334525,10,All Flares
186,KNN,0.8315844155844156,10,Coincidental Flares
187,LR,0.8193477633477634,10,Coincidental Flares
188,RFC,0.8597633477633478,10,Coincidental Flares
189,SVM,0.8219047619047619,10,Coincidental Flares
190,DART,0.8413621933621933,10,Coincidental Flares
191,LDA,0.7872900432900434,10,Coincidental Flares
192,KNN,0.7170908871499254,10,Noncoincidental Flares
193,LR,0.7948364848181052,10,Noncoincidental Flares
194,RFC,0.7621023513139694,10,Noncoincidental Flares
