,name,tss_mean,tss_std,dataset
0,KNN,0.7296371239714018,0.032992171653179324,Original
1,KNN,0.7289824711754391,0.03314213348683276,Interpolated
2,RFC,0.8192856746097873,0.02806302990246032,Original
3,RFC,0.8184516866236581,0.02782586321679969,Interpolated
4,LR,0.7114845938375349,0.039170798848703246,Original
5,LR,0.7053887844089478,0.04097004414993561,Interpolated
6,SVM,0.7350005157870513,0.032790379000998945,Original
7,SVM,0.7328572222089969,0.03116691190291501,Interpolated
8,LDA,0.4623546869172597,0.045119185409345376,Original
9,LDA,0.4278239341062203,0.06114058004845429,Interpolated
10,DART,0.7980503249458425,0.027582952032409964,Original
11,DART,0.7952650748684744,0.02663790055085939,Interpolated
