,0
Unnamed: 0,1351.4508445214378
nar,12077.365526201818
magnitude,2.2708964919878736
COINCIDENCE,0.0
before_coincident_flare,0.3352100476396708
ABSNJZH,147.55113702766565
AREA_ACR,599.4475204759636
MEANGAM,38.30926071892594
MEANGBH,51.34117193590299
MEANGBT,100.46515114768299
MEANGBZ,104.44746600259853
MEANJZD,0.07611665336076223
MEANJZH,-7.036329579904713e-05
MEANPOT,5688.225634906887
MEANSHR,30.666008228670417
R_VALUE,3.059808943265483
SAVNCPP,5950856262946.73
SHRGT45,21.581450674317885
TOTPOT,2.643913951693374e+23
TOTUSJH,1063.8841075375833
TOTUSJZ,19863817013767.863
USFLUX,1.4660059036379387e+22
d_l_f,146.4550848419229
g_s,17974.669337981813
slf,15.882909034213947
