,name,tss,missing_timepoint,std
0,KNN,0.746603120526249,complete,0.03098840875447818
1,RFC,0.8202127466792309,complete,0.022745223523442916
2,LR,0.7218116690526671,complete,0.03276258283010776
3,SVM,0.7402823333272928,complete,0.03444023728771326
4,LDA,0.41147817262562736,complete,0.042406708966935706
5,DART,0.7969253816090703,complete,0.0368404157972309
6,KNN,0.7417211822481562,4,0.03306903754328384
7,RFC,0.8200798555110571,4,0.031701341381441775
8,LR,0.710720692967037,4,0.03456914366040325
9,SVM,0.7443246410428334,4,0.028581835979687793
10,LDA,0.38048009954756606,4,0.0457150239426902
11,DART,0.7976574911355551,4,0.025326590459015048
12,KNN,0.746603120526249,13,0.029485119829513018
13,RFC,0.8187606086415502,13,0.026005715689343206
14,LR,0.7142435170251707,13,0.029052370085205836
15,SVM,0.747741152166428,13,0.03531140900312192
16,LDA,0.4033482533872146,13,0.04237685041696673
17,DART,0.7998634845272397,13,0.035035950087638074
18,KNN,0.744455720058714,30,0.029647941747105784
19,RFC,0.8120224223643754,30,0.028325387664901957
20,LR,0.7036085992666824,30,0.034011601372108104
21,SVM,0.7424285256932993,30,0.029661316517056984
22,LDA,0.4173876012540093,30,0.053869370003401536
23,DART,0.8004512259210265,30,0.023982975447041012
