,name,tss,tss_std,hours,dataset
0,LR,0.7335571070533476,0.0272213952719365,1,All Flares
1,LDA,0.6251163623344076,0.0325382883526206,1,All Flares
2,KNN,0.7007608306480487,0.024303184257957,1,All Flares
3,DART,0.7426602219835303,0.0287395159482936,1,All Flares
4,RFC,0.7420336555674903,0.0231630078931418,1,All Flares
5,SVM,0.6770855710705336,0.0259966189252736,1,All Flares
6,LR,0.734469696969697,0.0574590852523598,1,Coincidental Flares
7,LDA,0.6515467171717172,0.0631901477741935,1,Coincidental Flares
8,KNN,0.7612531565656565,0.0378485286598132,1,Coincidental Flares
9,DART,0.8065656565656565,0.0477456094358259,1,Coincidental Flares
10,RFC,0.7810448232323232,0.0429894836920258,1,Coincidental Flares
11,SVM,0.7915719696969695,0.0406451925870793,1,Coincidental Flares
12,LR,0.7223312011371713,0.0368862372673924,1,Noncoincidental Flares
13,LDA,0.590768684052266,0.0370958904918188,1,Noncoincidental Flares
14,KNN,0.632063309824504,0.0380083972314913,1,Noncoincidental Flares
15,DART,0.6840878027445191,0.0367038851151934,1,Noncoincidental Flares
16,RFC,0.6984150675195452,0.0335642098134582,1,Noncoincidental Flares
17,SVM,0.6156743753758679,0.0351600021845487,1,Noncoincidental Flares
18,LR,0.739024701302188,0.029239228025733404,2,All Flares
19,LDA,0.6190643039334137,0.027291145358796186,2,All Flares
20,KNN,0.7080900120821589,0.03086237319763438,2,All Flares
21,DART,0.7622519801315613,0.024611333933955648,2,All Flares
22,RFC,0.7686058531346488,0.023121161120952295,2,All Flares
23,SVM,0.6908333333333334,0.028265831536822415,2,All Flares
24,LR,0.6966397849462366,0.05484753159129929,2,Coincidental Flares
25,LDA,0.44529569892473114,0.062330503851529995,2,Coincidental Flares
26,KNN,0.7538306451612905,0.05650178382109113,2,Coincidental Flares
27,DART,0.7792506720430109,0.04815262328346432,2,Coincidental Flares
28,RFC,0.7991935483870967,0.04791729110648937,2,Coincidental Flares
29,SVM,0.7787466397849463,0.050110961002073254,2,Coincidental Flares
30,LR,0.7191360359431054,0.03281288700680808,2,Noncoincidental Flares
31,LDA,0.5606906669417415,0.04095539881876822,2,Noncoincidental Flares
32,KNN,0.6364571513713625,0.030868231165752522,2,Noncoincidental Flares
33,DART,0.7055989180391753,0.03133249458174292,2,Noncoincidental Flares
34,RFC,0.7164592144322571,0.033839244619891115,2,Noncoincidental Flares
35,SVM,0.6407443065250031,0.033550421490693906,2,Noncoincidental Flares
36,LR,0.7349061045328237,0.02462350863351786,3,All Flares
37,LDA,0.59902971734013,0.03961074624248622,3,All Flares
38,KNN,0.7127513761305511,0.03326103565273368,3,All Flares
39,DART,0.7669063169259634,0.01932343826975098,3,All Flares
40,RFC,0.7694422910140003,0.028670480544569738,3,All Flares
41,SVM,0.6929280164250695,0.027987555007515454,3,All Flares
42,LR,0.7176771619394571,0.056936505343905194,3,Coincidental Flares
43,LDA,0.15166102871020906,0.10469952985021394,3,Coincidental Flares
44,KNN,0.7482262121606383,0.04579758767086765,3,Coincidental Flares
45,DART,0.7819151704397606,0.04780218853010034,3,Coincidental Flares
46,RFC,0.8105386416861827,0.0524312559666668,3,Coincidental Flares
47,SVM,0.7868678983433082,0.06018493794837608,3,Coincidental Flares
48,LR,0.7053427775140872,0.03258227779001736,3,Noncoincidental Flares
49,LDA,0.5359901176871493,0.04984806310348739,3,Noncoincidental Flares
50,KNN,0.62765891416262,0.02976057499242712,3,Noncoincidental Flares
51,DART,0.6902546034296008,0.03463658549654244,3,Noncoincidental Flares
52,RFC,0.7131190137159685,0.04003599038567895,3,Noncoincidental Flares
53,SVM,0.623625056287804,0.03967902567286883,3,Noncoincidental Flares
54,LR,0.7285824175824177,0.03171175463767682,4,All Flares
55,LDA,0.5974732600732601,0.027773596305114428,4,All Flares
56,KNN,0.7113238095238095,0.023791930169224606,4,All Flares
57,DART,0.7637677655677655,0.023881654628463426,4,All Flares
58,RFC,0.7665501831501832,0.030848611096971467,4,All Flares
59,SVM,0.7091633699633699,0.02795568222249286,4,All Flares
60,LR,0.7054127938764353,0.0493692833635519,4,Coincidental Flares
61,LDA,0.34224530708948425,0.08869974115922527,4,Coincidental Flares
62,KNN,0.768279569892473,0.045251160581085546,4,Coincidental Flares
63,DART,0.800555859303809,0.041341298819248654,4,Coincidental Flares
64,RFC,0.8124658283214873,0.04369034251787718,4,Coincidental Flares
65,SVM,0.7906050665208675,0.05077634468912264,4,Coincidental Flares
66,LR,0.7140003779289494,0.03392127959466597,4,Noncoincidental Flares
67,LDA,0.5260770975056689,0.049222090825272485,4,Noncoincidental Flares
68,KNN,0.631496598639456,0.04572994618093946,4,Noncoincidental Flares
69,DART,0.6967290249433107,0.03229003960091104,4,Noncoincidental Flares
70,RFC,0.7194331065759637,0.03362647669884404,4,Noncoincidental Flares
71,SVM,0.6298696145124717,0.0392662413468696,4,Noncoincidental Flares
72,LR,0.7291148861779349,0.028451319708766798,5,All Flares
73,LDA,0.5854672595295102,0.04147768796155968,5,All Flares
74,KNN,0.7156405578991374,0.035879461351528585,5,All Flares
75,DART,0.7573229962376012,0.02758896522520867,5,All Flares
76,RFC,0.7732417436248241,0.02990093788763529,5,All Flares
77,SVM,0.703898453236043,0.03084152070802337,5,All Flares
78,LR,0.7190960451977401,0.050171145694722884,5,Coincidental Flares
79,LDA,0.3420903954802261,0.09435702018185746,5,Coincidental Flares
80,KNN,0.7624952919020715,0.05733195351803902,5,Coincidental Flares
81,DART,0.8041902071563088,0.03973081802117405,5,Coincidental Flares
82,RFC,0.8287476459510358,0.046884468423648226,5,Coincidental Flares
83,SVM,0.7858097928436913,0.04548611414161782,5,Coincidental Flares
84,LR,0.6986169282759879,0.030323334140588933,5,Noncoincidental Flares
85,LDA,0.4874427525736877,0.04545837007697535,5,Noncoincidental Flares
86,KNN,0.6235813728944036,0.03736467387423559,5,Noncoincidental Flares
87,DART,0.6957248731096931,0.03486488026269989,5,Noncoincidental Flares
88,RFC,0.7078463224644772,0.037770419752843634,5,Noncoincidental Flares
89,SVM,0.6319744001252593,0.03218099474531851,5,Noncoincidental Flares
90,LR,0.7321877156659765,0.027569448840970324,6,All Flares
91,LDA,0.5595859213250517,0.02892423771888931,6,All Flares
92,KNN,0.7041159420289854,0.03255113102326002,6,All Flares
93,DART,0.76231884057971,0.03390428046155553,6,All Flares
94,RFC,0.7654133885438233,0.02783456838875818,6,All Flares
95,SVM,0.7031111111111111,0.020588464015135945,6,All Flares
96,LR,0.7146892655367233,0.057407913652264324,6,Coincidental Flares
97,LDA,0.4435028248587571,0.07205328198268532,6,Coincidental Flares
98,KNN,0.757627118644068,0.04155135821061446,6,Coincidental Flares
99,DART,0.8062146892655367,0.0513503070390486,6,Coincidental Flares
100,RFC,0.8225988700564972,0.03833490498008448,6,Coincidental Flares
101,SVM,0.7853107344632768,0.048797339845625294,6,Coincidental Flares
102,LR,0.720632183908046,0.028389988887406254,6,Noncoincidental Flares
