,name,tss_mean,tss_std,timepoint
0,KNN,0.7217685941232018,0.03599972696323792,2
1,RFC,0.8114425373548854,0.027617534242900407,2
2,LR,0.7170662032518388,0.03443198290231834,2
3,SVM,0.7217090802326596,0.026857689805042988,2
4,LDA,0.3776378540084589,0.08707772637436166,2
5,DART,0.7893636774823244,0.04563930660052616,2
6,KNN,0.7203966005665726,0.032735911326009594,3
7,RFC,0.8120345021861437,0.03610808620486481,3
8,LR,0.7115004642083462,0.03550384948083484,3
9,SVM,0.7361146158179986,0.036151920316112335,3
10,LDA,0.4233603923155665,0.07165907455256047,3
11,DART,0.8039295038128568,0.03265186112221142,3
12,KNN,0.7234651367629205,0.0333050846219465,4
13,RFC,0.804902357543584,0.028487794409866537,4
14,LR,0.7001920314868157,0.03376230370503093,4
15,SVM,0.721359932074813,0.036877320284755676,4
16,LDA,0.44351179565310545,0.052716470375967335,4
17,DART,0.7834186365764437,0.030232945760764237,4
18,KNN,0.7298164591615682,0.029668231986185935,5
19,RFC,0.8103125669531269,0.025343971311173715,5
20,LR,0.7255877988589204,0.03469724874715927,5
21,SVM,0.7231318589758848,0.032109204260448776,5
22,LDA,0.4257131747883289,0.045277482845422753,5
23,DART,0.7833837217606592,0.03398279718312895,5
24,KNN,0.7273708350195602,0.029673742056097675,6
25,RFC,0.8091984669221798,0.02905337532723912,6
26,LR,0.700015870370811,0.037601006128701354,6
27,SVM,0.7322120916355208,0.03780050556517161,6
28,LDA,0.44092175113671533,0.04222217250169367,6
29,DART,0.7913435062410235,0.031198168223489562,6
30,KNN,0.725595734044326,0.040676549728091024,7
31,RFC,0.8138564207552713,0.03011962621574614,7
32,LR,0.7150657430110855,0.043508956330174174,7
33,SVM,0.727940581331683,0.040200677379766216,7
34,LDA,0.45294038295204764,0.0564738056072708,7
35,DART,0.791277644202157,0.038776677731510924,7
36,KNN,0.7245292451258122,0.026327189583059022,8
37,RFC,0.8055601844137089,0.03165738080407762,8
38,LR,0.6984129629188787,0.03805504755576257,8
39,SVM,0.7234341895398383,0.03512478487635812,8
40,LDA,0.4331484435133827,0.050247737745946056,8
41,DART,0.7873529015005438,0.043986448691229106,8
42,KNN,0.7221621793193197,0.03612011102841542,9
43,RFC,0.811357630871045,0.036643870930188685,9
44,LR,0.6990207981209482,0.032985790919968686,9
45,SVM,0.7347862657810998,0.03621762702285462,9
46,LDA,0.44033296037961933,0.05656048963541447,9
47,DART,0.7847406384650176,0.03363895900564558,9
48,KNN,0.722546242292951,0.036020908120228304,10
49,RFC,0.8093278104442911,0.03524446307314337,10
50,LR,0.7055141603383565,0.03767033355306794,10
51,SVM,0.7341633537267598,0.0312133208537895,10
52,LDA,0.42915307766165967,0.04842209837552259,10
53,DART,0.7845454329040398,0.032889220139068094,10
54,KNN,0.7209568246562083,0.04343602158175746,11
55,RFC,0.8104292141785894,0.030241172407091097,11
56,LR,0.6987152934828323,0.032515508328596995,11
57,SVM,0.7244189460486743,0.04128684775130606,11
58,LDA,0.43710413343807786,0.04987821833451006,11
59,DART,0.7805008689028021,0.02674511368719996,11
60,KNN,0.7214162718911928,0.0421618918420799,12
61,RFC,0.8097586910118156,0.025932789827290154,12
62,LR,0.714282540211552,0.03469088001675462,12
63,SVM,0.7308869156727845,0.03367585481836014,12
64,LDA,0.4295220637830202,0.04171215190989303,12
65,DART,0.7873084644622722,0.03412371539694909,12
66,KNN,0.7430539354552017,0.030641288946134153,13
67,RFC,0.8162639560073323,0.026400760675738138,13
68,LR,0.6886542719070633,0.03561770856222897,13
69,SVM,0.7230056895279358,0.040243709796200476,13
70,LDA,0.41710667269740764,0.04115646478999065,13
71,DART,0.7895874497107626,0.03375604782203218,13
72,KNN,0.7321486101522762,0.035990270683350874,14
73,RFC,0.8159084597011609,0.0311103669785356,14
74,LR,0.7155886717293148,0.03501157263932222,14
75,SVM,0.7257250775664374,0.03937501641271078,14
76,LDA,0.4500107125002975,0.04431310628859461,14
77,DART,0.794651685036621,0.036731342193614715,14
78,KNN,0.7428650780425484,0.044750665650257544,15
79,RFC,0.8155243967275296,0.03776083918065886,15
80,LR,0.7035121130605219,0.034468482200545214,15
81,SVM,0.7207901857626903,0.035732582728308454,15
82,LDA,0.4479888272589489,0.04727924918744907,15
83,DART,0.7835821013957992,0.032841582557295954,15
84,KNN,0.7254195729283216,0.03552584552364301,16
85,RFC,0.8122638290443657,0.035264484091513185,16
86,LR,0.7030018806389411,0.03960347214179515,16
87,SVM,0.7273367137223162,0.037459632198412626,16
88,LDA,0.4525769514604709,0.05369986489645121,16
89,DART,0.7899524682394206,0.03724559676888295,16
90,KNN,0.7350441593067825,0.03463511871336634,17
91,RFC,0.8144261670673937,0.022695242814788085,17
92,LR,0.7046643019814158,0.037574848134945105,17
93,SVM,0.7360455797049696,0.025793975754414104,17
94,LDA,0.42990295268248946,0.03902872550288175,17
95,DART,0.790761063632252,0.03628933374920089,17
96,KNN,0.7222693043222955,0.033888596570478484,18
97,RFC,0.8109513493782783,0.02511222349054154,18
98,LR,0.7030177510097524,0.036498168338748006,18
99,SVM,0.7316859888431294,0.03787791758100518,18
100,LDA,0.4202878885265155,0.06743929166317686,18
101,DART,0.7936883535283801,0.029058751709518153,18
102,KNN,0.7181684005046779,0.034645049296881225,19
103,RFC,0.8089151808031997,0.03604604189052724,19
104,LR,0.7099864308329564,0.038947162489809596,19
105,SVM,0.7246141516096523,0.032132839799055936,19
106,LDA,0.4308297823378643,0.04534781538013585,19
107,DART,0.7965616841637506,0.027850422683608378,19
108,KNN,0.7265463692559179,0.03373026640177822,20
109,RFC,0.8033319843518142,0.036811886499427626,20
