,FLARE_TYPE,COINCIDENCE,SHRGT45_1,SHRGT45_2,SHRGT45_3,SHRGT45_4,SHRGT45_5,SHRGT45_6,SHRGT45_7,SHRGT45_8,SHRGT45_9,SHRGT45_10,SHRGT45_11,SHRGT45_12,SHRGT45_13,SHRGT45_14,SHRGT45_15,SHRGT45_16,SHRGT45_17,SHRGT45_18,SHRGT45_19,SHRGT45_20,SHRGT45_21,SHRGT45_22,SHRGT45_23,SHRGT45_24,SHRGT45_25,SHRGT45_26,SHRGT45_27,SHRGT45_28,SHRGT45_29,SHRGT45_30,SHRGT45_31,SHRGT45_32,SHRGT45_33,SHRGT45_34,SHRGT45_35,SHRGT45_36,SHRGT45_37,SHRGT45_38,SHRGT45_39,SHRGT45_40,SHRGT45_41,SHRGT45_42,SHRGT45_43,SHRGT45_44,SHRGT45_45,SHRGT45_46,SHRGT45_47,SHRGT45_48,SHRGT45_49,SHRGT45_50,SHRGT45_51,SHRGT45_52,SHRGT45_53,SHRGT45_54,SHRGT45_55,SHRGT45_56,SHRGT45_57,SHRGT45_58,SHRGT45_59,SHRGT45_60,SHRGT45_61,SHRGT45_62,SHRGT45_63,SHRGT45_64,SHRGT45_65,SHRGT45_66,SHRGT45_67,SHRGT45_68,SHRGT45_69,SHRGT45_70,SHRGT45_71,SHRGT45_72,SHRGT45_73,SHRGT45_74,SHRGT45_75,SHRGT45_76,SHRGT45_77,SHRGT45_78,SHRGT45_79,SHRGT45_80,SHRGT45_81,SHRGT45_82,SHRGT45_83,SHRGT45_84,SHRGT45_85,SHRGT45_86,SHRGT45_87,SHRGT45_88,SHRGT45_89,SHRGT45_90,SHRGT45_91,SHRGT45_92,SHRGT45_93,SHRGT45_94,SHRGT45_95,SHRGT45_96,SHRGT45_97,SHRGT45_98,SHRGT45_99,SHRGT45_100,SHRGT45_101,SHRGT45_102,SHRGT45_103,SHRGT45_104,SHRGT45_105,SHRGT45_106,SHRGT45_107,SHRGT45_108,SHRGT45_109,SHRGT45_110,SHRGT45_111,SHRGT45_112,SHRGT45_113,SHRGT45_114,SHRGT45_115
10,X,False,30.339,30.642,30.539,30.485,30.813,30.886,31.44,31.333,31.04,31.332,31.569,31.692,31.53,31.292,31.77,32.157,32.841,32.44,32.122,32.159,30.912,32.098,31.349,31.838,31.917,31.624,31.389,31.77,31.916,31.569,31.373,30.549,29.616,29.272,29.261,29.062,27.35,27.65,27.614,28.878,27.552,26.739,27.148,26.295,25.955,25.461,24.765,25.011,24.397,22.611,22.839,22.429,20.969,21.568,21.638,21.988,21.485,21.0,19.714,20.035,19.446,19.015,19.873,18.919,17.199,17.832,17.416,17.334,15.421,14.431,15.168,12.328,12.285,12.314,11.94,10.639,9.163,9.2334,10.2,10.196,9.6363,8.8662,10.228,7.3809,8.4161,8.0794,8.588,8.2537,8.3779,7.9134,9.5884,7.5864,5.5708,6.1904,7.4794,7.7353,6.3066,6.7225,6.1237,6.1797,5.8737,6.5514,7.1785,7.7303,7.2263,9.2531,6.1679,6.5971,6.8064,7.8263,8.6554,9.8463,8.4645,9.017,7.8943
11,X,False,33.748,33.614,33.657,33.645,33.508,33.26,33.296,33.302,33.088,33.128,32.782,32.832,32.855,32.789,32.956,32.56,32.014,32.896,33.378,33.185,33.143,33.348,33.473,33.595,33.696,33.993,33.881,33.923,33.889,34.19,34.23,33.988,33.586,33.578,33.841,33.924,33.702,32.886,33.033,33.371,33.608,33.194,33.093,33.543,33.546,34.114,33.79,34.465,34.511,34.299,34.543,34.276,34.559,34.747,34.542,34.938,34.858,34.892,34.874,35.185,35.002,35.006,34.667,34.652,35.0,35.235,35.233,35.268,35.179,35.276,35.087,35.25,34.471,34.651,34.596,34.787,35.362,34.515,34.737,34.91,35.243,35.388,34.913,35.2,35.17,35.442,35.094,34.801,35.095,35.055,35.315,35.366,35.314,35.379,35.32,34.717,34.556,35.211,34.31,34.822,34.847,34.946,34.902,35.36,35.531,35.895,35.679,36.008,36.222,36.205,36.291,35.777,36.265,36.47,36.479
12,X,False,44.647,44.663,45.096,45.138,44.961,45.399,45.482,45.68,45.696,45.924,45.721,45.826,46.038,46.483,46.19,46.254,46.289,46.22,46.023,45.85,45.974,45.758,45.559,45.496,45.217,44.91,44.451,44.587,44.596,44.464,44.48,44.151,44.203,44.12,43.516,43.721,43.965,44.326,44.155,44.371,44.366,44.243,44.306,44.441,44.352,44.508,44.943,44.944,45.141,45.401,45.234,45.383,45.251,45.192,45.223,45.053,45.02,44.854,44.969,44.424,44.529,44.412,44.202,43.56,44.107,44.182,43.742,43.415,43.707,44.058,43.928,43.865,44.122,44.282,44.096,44.083,44.432,44.594,44.383,44.215,44.186,44.186,44.259,44.07,43.86,44.1,43.692,43.835,43.861,44.272,44.256,43.802,43.77,43.378,43.884,43.698,43.679,43.666,43.859,43.8,44.037,43.819,43.383,43.356,43.951,43.938,43.513,43.089,42.921,42.63,43.156,42.667,42.64,42.274,42.331
13,X,False,23.587,23.6,23.446,24.2,23.524,23.339,24.044,23.918,24.178,23.834,23.925,23.825,23.938,23.641,23.979,23.599,24.204,23.118,23.116,23.136,23.413,23.45,22.81,23.236,22.992,23.098,22.982,22.149,21.922,22.018,22.208,22.141,22.348,22.626,22.1,21.674,21.74,22.139,22.204,23.008,21.859,22.57,21.399,21.384,21.894,22.367,22.284,22.182,21.606,21.173,21.218,21.225,21.288,21.059,20.738,20.648,20.444,20.855,20.359,21.153,20.626,20.277,20.305,20.936,20.472,19.868,20.471,19.957,19.677,19.066,19.128,19.346,19.807,19.865,19.453,20.064,19.552,19.436,19.387,19.126,19.768,19.057,19.513,19.49,19.148,18.892,18.66,19.148,18.766,18.573,18.255,19.076,19.428,19.161,18.801,19.179,19.394,18.959,18.692,18.886,18.361,18.185,18.323,18.564,18.784,18.674,18.983,19.504,18.827,18.951,19.11,19.33,19.675,18.905,19.776
14,X,False,50.851,51.036,50.854,50.73,51.009,50.864,51.182,51.234,51.4,51.063,50.62,50.546,50.315,50.409,50.824,50.701,51.437,51.257,51.377,51.536,51.531,51.374,51.411,51.385,51.38,51.296,51.368,51.488,51.487,51.796,51.785,51.675,51.815,51.533,51.737,51.727,51.863,51.907,52.171,52.332,52.528,52.552,52.618,52.647,52.598,52.651,52.541,52.485,52.386,52.483,52.606,52.712,52.816,52.66,52.694,52.755,52.797,52.821,52.674,52.739,52.821,52.601,52.313,52.33,52.146,52.229,52.151,52.143,52.365,52.785,52.935,53.274,53.405,53.571,53.217,53.461,53.621,53.623,53.537,53.462,53.502,53.275,53.097,53.216,53.13,53.065,53.168,52.825,52.886,53.138,52.699,52.737,52.665,52.621,52.715,52.65,52.434,52.792,52.484,52.5,52.55,52.762,52.69,52.526,52.587,52.434,52.586,52.56,52.628,52.604,52.596,52.727,52.827,52.921,52.837
15,X,False,1.0121,1.2916,0.58131,0.80114,1.2225,2.5651,1.7765,1.0789,2.3818,1.9309,3.3277,3.7696,4.4556,4.8141,6.5926,7.235,8.2157,4.7334,6.432,7.0845,7.3428,6.871,5.2197,5.5007,5.7223,5.3242,4.4551,4.2481,4.2911,2.991,4.507,3.3534,4.7155,3.5483,4.5148,4.0152,3.7715,4.2088,4.5845,4.5148,5.3331,6.2488,7.1908,7.8531,5.8376,7.8142,7.9291,8.1177,7.6868,9.7723,12.413,9.983,10.454,11.63,11.057,12.47,15.054,13.957,15.232,15.133,14.159,14.984,15.097,16.724,16.424,15.477,16.898,15.551,16.472,17.107,17.185,16.035,17.621,17.26,18.073,19.038,19.351,18.964,18.941,19.06,20.296,19.598,19.865,19.911,19.241,19.054,19.275,19.959,20.023,19.592,20.503,19.803,20.3,20.307,21.917,21.025,21.112,20.313,21.084,21.272,20.934,21.352,22.024,20.866,19.809,20.74,19.971,19.523,21.098,20.591,20.554,20.313,19.933,19.506,19.16
16,X,False,14.163,13.513,13.64,13.809,13.199,12.693,12.45,13.395,13.968,13.161,13.425,13.425,13.046,13.485,12.275,12.877,12.139,12.237,11.598,12.11,11.759,10.617,10.841,11.294,10.146,10.689,9.564,8.7068,8.9216,8.3078,8.8332,8.7244,8.5326,8.6309,9.0129,8.2065,8.6473,9.2577,8.5874,8.6162,8.5849,7.9252,8.4655,8.3566,8.4839,8.9865,9.192,8.9844,8.9731,8.4246,8.5035,8.7145,8.7794,9.1903,9.0988,8.8813,8.9871,9.4482,9.6125,9.7256,9.0618,9.5025,9.2559,9.5023,9.5203,9.9096,11.379,10.729,10.758,10.421,10.577,10.613,11.76,11.2,10.463,9.9682,9.747,9.8534,9.0767,9.3322,9.8224,9.7233,9.6538,9.8959,10.058,10.886,10.994,10.417,10.754,10.611,10.323,10.5,10.87,9.9506,9.9726,10.232,10.673,10.869,10.987,11.294,11.841,11.806,11.73,11.613,11.561,11.283,11.133,11.264,11.331,11.129,10.737,10.888,10.965,10.709,11.366
17,X,False,47.12,44.666,43.844,43.835,43.838,42.868,41.108,41.957,41.336,40.662,40.325,41.241,39.062,40.287,37.637,38.744,36.844,35.938,34.482,37.857,37.402,36.312,36.66,36.004,37.206,36.77,35.605,36.295,37.664,35.865,37.848,36.831,36.368,36.649,36.336,36.331,36.878,35.014,35.97,35.569,35.915,36.726,35.804,34.646,35.98,35.717,34.607,34.491,35.73,36.194,34.814,36.798,35.32,35.34,36.246,36.04,35.175,35.579,34.907,36.514,35.422,35.097,34.662,34.999,35.255,34.77,35.125,34.245,34.939,34.938,34.199,34.193,34.827,33.991,34.26,33.76,33.001,32.174,32.437,31.487,31.629,31.773,32.455,30.464,30.781,31.661,31.0,30.509,31.034,30.937,30.002,30.671,30.95,30.352,30.547,31.225,30.854,32.042,30.475,29.931,30.081,30.44,30.486,28.314,28.886,29.312,29.046,29.076,28.654,28.738,27.043,27.802,27.443,26.975,26.456
18,X,False,35.096,35.57,34.604,35.646,34.051,33.743,33.896,33.602,34.773,34.403,32.78,32.516,32.107,31.698,32.067,32.133,31.746,31.956,32.283,32.28,32.494,34.275,32.761,32.906,33.093,32.996,32.461,32.433,31.578,31.712,31.619,32.029,31.822,31.52,31.582,32.192,31.622,31.455,31.475,31.349,31.148,31.071,31.278,31.045,30.933,30.894,31.441,31.481,31.344,31.242,31.432,31.201,31.07,31.162,31.687,31.635,31.58,31.559,31.568,31.634,31.17,31.217,30.775,30.72,30.671,31.04,30.846,31.236,31.321,31.317,31.466,31.688,31.545,31.44,31.888,32.066,32.156,32.137,32.133,31.96,32.201,32.318,31.899,31.96,31.785,31.584,31.615,31.451,31.483,31.318,31.397,31.116,31.165,31.276,31.339,31.204,31.016,31.044,31.154,31.254,31.28,31.18,31.372,31.362,31.269,31.154,31.157,31.178,31.17,31.283,31.631,31.732,31.662,31.856,32.003
19,X,True,34.747,34.955,35.126,35.011,35.148,35.191,35.205,35.11,35.194,35.078,34.834,34.948,34.873,34.744,34.496,34.182,33.975,33.938,33.81,33.723,33.463,33.443,33.332,33.242,33.252,33.333,33.234,33.271,33.33,33.18,33.383,33.529,33.614,33.843,33.402,33.74,33.741,33.845,33.525,33.047,33.124,33.213,33.239,32.864,32.649,32.435,32.52,32.42,32.329,32.25,32.266,32.293,32.376,32.244,32.317,32.022,31.889,31.649,31.781,31.952,31.663,31.737,31.634,31.71,31.535,31.354,31.4,31.3,31.242,31.145,31.019,30.503,30.622,30.322,30.328,30.091,29.809,29.666,29.781,29.853,29.368,29.675,29.766,29.817,30.05,30.265,30.008,29.96,30.021,30.274,30.066,29.995,29.893,29.704,29.405,29.318,29.46,29.333,29.039,28.982,28.76,28.746,28.807,29.103,28.804,28.946,28.696,28.789,28.805,28.418,28.642,28.465,28.755,28.411,28.327
20,X,False,23.116,22.964,23.207,22.757,23.192,23.232,23.282,23.125,23.127,23.272,23.32,23.225,23.278,23.164,23.415,23.609,23.61,24.201,23.407,23.467,22.87,22.83,23.532,23.334,23.555,23.595,23.481,23.3,23.282,23.554,23.565,22.807,23.21,23.083,23.653,23.797,24.135,24.268,24.127,24.041,24.449,24.051,24.221,24.384,24.492,24.58,24.147,24.351,24.414,24.479,24.589,24.914,24.692,25.134,25.051,24.926,25.24,25.05,25.155,25.399,25.1,24.896,24.995,24.656,24.786,24.592,25.223,25.372,25.279,25.607,25.746,25.581,25.524,25.596,25.823,26.099,26.285,26.257,26.196,26.45,26.614,26.701,27.225,27.241,27.291,27.193,27.383,27.565,27.388,27.846,27.701,27.903,28.175,28.125,28.325,27.954,27.895,27.592,27.665,27.801,27.891,28.159,28.188,27.68,27.81,27.602,27.36,27.274,27.667,27.711,28.214,28.051,28.346,28.294,27.981
21,M,False,22.29,25.269,22.848,23.368,22.147,23.874,22.316,21.853,21.17,21.294,22.077,20.848,18.653,19.432,21.6,21.651,22.981,20.635,20.147,20.618,21.086,19.026,21.139,13.209,19.611,19.004,19.345,19.044,18.396,18.637,18.597,18.148,17.068,18.217,20.358,18.243,21.045,19.334,19.817,20.064,19.442,18.464,19.327,17.832,18.483,18.505,18.445,18.931,19.764,20.65,18.745,17.723,17.945,19.479,18.883,17.313,16.227,16.673,17.59,19.34,17.962,17.711,19.154,20.782,19.467,19.669,19.881,20.185,20.899,21.989,22.4,22.736,23.364,21.154,21.449,22.354,21.166,21.554,21.7,21.025,22.208,21.287,21.24,22.171,23.107,23.345,23.486,24.856,24.33,25.013,24.616,25.697,25.075,25.072,25.797,25.746,25.783,25.688,25.837,25.302,25.105,24.812,25.189,25.256,25.223,24.873,24.142,24.133,25.11,24.407,24.758,24.846,24.37,24.842,24.62
22,M,False,11.591,10.192,8.1388,13.021,9.4622,16.41,18.049,12.219,9.8171,8.7544,11.502,19.412,10.584,19.237,20.076,19.675,13.819,11.043,13.616,17.663,16.769,20.015,16.226,11.537,17.306,18.637,15.711,15.695,16.283,15.814,12.138,16.982,17.451,16.153,19.418,18.114,18.479,17.638,14.682,12.06,16.563,14.152,12.821,17.367,20.223,21.333,20.065,19.475,16.914,20.212,19.694,19.965,18.924,19.703,19.635,18.579,20.223,18.108,15.895,15.075,10.952,18.731,20.176,21.061,20.713,20.76,21.932,20.589,22.367,20.736,21.121,20.759,18.588,21.587,23.26,21.374,20.152,22.32,23.113,21.773,21.12,23.168,20.513,19.267,19.915,21.58,17.786,19.367,16.506,19.579,19.519,13.839,16.622,16.928,18.401,16.02,19.495,18.962,19.867,19.35,18.916,22.753,23.549,20.723,24.526,26.272,21.021,19.978,19.343,21.381,26.944,26.367,25.64,25.409,25.107
23,M,False,20.048,19.783,19.619,19.28,19.492,19.895,19.564,19.959,20.414,20.13,20.792,20.998,20.996,21.159,21.506,21.418,21.7,21.91,22.376,22.566,22.433,22.152,22.03,21.843,21.699,21.285,20.533,20.863,20.873,20.553,20.151,20.268,20.112,20.475,19.803,19.852,20.896,20.142,20.183,20.18,19.872,20.137,20.659,20.682,21.204,21.025,21.21,21.837,21.517,22.074,22.599,22.675,23.151,22.798,23.05,23.96,24.532,24.787,24.939,24.363,24.513,24.46,24.915,24.495,25.075,24.621,24.212,24.313,24.029,23.839,23.466,23.911,24.351,24.282,23.827,24.258,23.744,24.09,24.924,24.751,25.113,25.426,25.598,26.299,26.368,27.22,26.85,28.148,27.69,27.961,28.092,28.025,28.359,28.419,28.626,28.458,28.482,28.777,28.616,28.849,28.685,28.578,28.953,29.38,29.471,29.19,30.011,30.292,29.909,29.471,29.36,29.011,28.866,28.155,27.684
24,M,False,12.052,11.46,12.067,13.419,14.185,12.707,12.738,12.859,13.074,13.879,13.483,13.056,14.243,15.591,16.251,16.218,14.881,15.976,15.199,14.842,15.823,15.879,16.964,15.734,16.647,16.916,17.014,17.448,18.14,18.03,18.744,18.831,18.345,18.479,19.648,19.993,19.559,19.65,18.923,18.879,18.416,18.653,19.785,17.637,17.813,18.035,17.514,19.097,19.113,19.141,18.301,19.052,19.758,19.416,20.142,20.951,20.505,20.256,20.957,20.416,20.822,21.344,21.657,21.609,21.501,20.959,20.193,20.882,22.477,21.656,21.312,21.256,22.927,21.324,22.078,22.128,20.728,20.762,21.937,21.176,21.93,20.326,22.254,21.366,24.001,21.922,24.126,22.878,23.39,21.814,21.26,22.906,23.203,22.494,21.505,23.079,24.874,23.402,24.18,23.613,27.393,24.809,23.056,22.96,23.889,22.891,22.684,24.038,24.86,23.195,24.165,23.479,23.436,24.379,22.844
