,FLARE_TYPE,COINCIDENCE,SHRGT45_1,SHRGT45_2,SHRGT45_3,SHRGT45_4,SHRGT45_5,SHRGT45_6,SHRGT45_7,SHRGT45_8,SHRGT45_9,SHRGT45_10,SHRGT45_11,SHRGT45_12,SHRGT45_13,SHRGT45_14,SHRGT45_15,SHRGT45_16,SHRGT45_17,SHRGT45_18,SHRGT45_19,SHRGT45_20,SHRGT45_21,SHRGT45_22,SHRGT45_23,SHRGT45_24,SHRGT45_25,SHRGT45_26,SHRGT45_27,SHRGT45_28,SHRGT45_29,SHRGT45_30,SHRGT45_31,SHRGT45_32,SHRGT45_33,SHRGT45_34,SHRGT45_35,SHRGT45_36,SHRGT45_37,SHRGT45_38,SHRGT45_39,SHRGT45_40,SHRGT45_41,SHRGT45_42,SHRGT45_43,SHRGT45_44,SHRGT45_45,SHRGT45_46,SHRGT45_47,SHRGT45_48,SHRGT45_49,SHRGT45_50,SHRGT45_51,SHRGT45_52,SHRGT45_53,SHRGT45_54,SHRGT45_55,SHRGT45_56,SHRGT45_57,SHRGT45_58,SHRGT45_59,SHRGT45_60,SHRGT45_61,SHRGT45_62,SHRGT45_63,SHRGT45_64,SHRGT45_65,SHRGT45_66,SHRGT45_67,SHRGT45_68,SHRGT45_69,SHRGT45_70,SHRGT45_71,SHRGT45_72,SHRGT45_73,SHRGT45_74,SHRGT45_75,SHRGT45_76,SHRGT45_77,SHRGT45_78,SHRGT45_79,SHRGT45_80,SHRGT45_81,SHRGT45_82,SHRGT45_83,SHRGT45_84,SHRGT45_85,SHRGT45_86,SHRGT45_87,SHRGT45_88,SHRGT45_89,SHRGT45_90,SHRGT45_91,SHRGT45_92,SHRGT45_93,SHRGT45_94,SHRGT45_95,SHRGT45_96,SHRGT45_97,SHRGT45_98,SHRGT45_99,SHRGT45_100,SHRGT45_101,SHRGT45_102,SHRGT45_103,SHRGT45_104,SHRGT45_105,SHRGT45_106,SHRGT45_107,SHRGT45_108,SHRGT45_109,SHRGT45_110,SHRGT45_111,SHRGT45_112,SHRGT45_113,SHRGT45_114,SHRGT45_115
0,X,False,55.174,54.882,54.821,55.433,55.593,55.865,55.842,56.092,56.363,56.608,57.108,57.33,57.33,57.984,57.877,57.703,57.08,57.582,57.868,57.882,57.787,57.982,58.175,57.644,57.536,57.342,57.369,57.894,57.337,57.739,57.045,57.158,57.3,57.438,57.572,57.066,57.08,57.53,57.573,57.67,58.263,58.025,58.444,58.954,58.937,58.849,59.29,59.288,58.734,59.199,59.214,59.088,59.21,59.269,59.259,58.958,58.959,59.032,59.003,58.621,58.777,59.408,59.122,59.343,59.398,59.49,59.801,60.145,59.98,59.961,59.863,60.346,60.275,60.059,60.017,60.079,60.32,60.454,60.192,60.183,59.937,59.46,59.245,58.901,58.563,58.893,58.966,58.77,59.22,59.459,59.597,59.587,59.966,60.043,60.143,60.021,60.451,60.389,60.559,60.423,60.389,59.872,59.833,59.824,59.492,59.584,59.545,59.188,58.624,58.726,58.591,58.78,58.831,58.786,58.282
1,X,False,55.66,55.631,55.423,54.975,55.123,54.939,55.317,55.289,55.08,55.157,55.215,54.815,54.922,54.555,54.627,54.437,54.739,54.938,54.914,55.002,54.894,55.09,55.211,55.44,55.794,55.683,55.776,55.993,56.06,56.28,56.054,56.064,56.32,55.854,55.948,56.229,55.912,55.996,55.537,55.656,55.628,55.418,55.388,55.427,55.194,55.617,55.591,55.733,56.161,56.36,56.412,56.691,57.13,57.29,57.275,57.508,57.276,57.413,57.273,57.104,56.984,56.945,56.828,56.58,56.374,55.961,56.317,56.069,56.007,55.655,55.862,55.844,55.588,55.588,55.673,55.716,55.857,56.025,55.751,55.926,55.699,55.891,56.14,55.812,55.558,55.601,55.575,55.352,55.06,55.202,54.564,54.221,54.06,53.967,53.542,53.352,53.173,53.045,52.776,52.809,53.166,52.907,53.673,52.791,52.969,53.055,53.025,53.179,53.078,53.22,52.927,52.983,53.064,53.495,53.504
2,X,False,33.172,33.547,33.902,33.937,33.86,33.437,33.668,33.601,33.763,33.974,34.052,34.195,34.383,33.8,34.208,34.382,34.054,34.113,34.276,34.157,33.556,33.7,33.492,33.389,33.09,33.337,33.561,33.74,33.8,33.777,33.771,33.095,33.318,33.662,33.844,33.602,33.63,33.431,33.042,32.72,32.408,32.024,31.972,32.185,32.028,31.901,31.907,32.13,31.986,32.071,32.256,32.133,31.987,31.992,31.625,31.8,31.572,31.563,31.456,31.947,31.327,31.226,31.081,31.277,32.111,32.077,32.204,32.492,32.626,32.896,33.101,33.051,33.076,33.55,32.691,32.717,32.348,32.403,32.256,32.149,32.571,32.502,32.603,32.749,32.604,32.716,32.521,32.365,31.845,31.954,32.041,32.066,31.951,31.735,31.934,31.8,32.749,32.06,32.315,32.391,32.595,32.194,32.058,31.923,32.444,32.48,32.042,32.554,32.432,32.102,32.125,31.333,31.852,31.96,31.149
3,X,False,42.602,42.655,43.072,42.583,43.507,43.313,42.822,42.849,43.0,43.551,43.551,43.058,43.096,42.792,43.301,43.262,43.694,43.59,43.644,43.348,43.704,43.566,43.727,43.451,42.64,42.254,41.901,42.555,41.923,41.997,42.198,41.763,42.255,41.707,41.188,40.432,40.103,39.254,38.748,39.184,39.217,39.459,40.8,41.228,42.204,42.418,42.614,42.497,42.209,41.835,42.219,42.305,42.021,41.269,41.476,41.571,41.343,41.185,40.992,40.06,40.036,39.819,39.491,40.095,39.888,40.125,40.722,40.57,40.591,40.962,41.19,41.474,41.507,41.897,41.565,41.581,40.639,41.005,40.655,40.313,40.485,40.91,39.995,40.563,40.146,39.581,39.303,39.533,39.943,39.359,39.236,39.235,39.619,40.218,40.331,40.114,40.531,39.905,39.438,39.406,38.876,39.097,38.719,38.796,38.232,38.424,37.452,37.637,37.071,37.484,37.472,37.371,37.44,37.73,37.857
4,X,True,37.082,36.709,36.529,36.374,35.829,35.829,35.423,35.682,35.441,35.921,36.032,36.088,36.198,35.607,35.698,36.071,35.588,35.772,35.14,35.871,35.895,36.246,36.085,36.061,36.169,35.583,35.536,35.792,35.468,36.003,35.782,35.762,35.603,35.149,35.224,34.967,34.663,34.945,34.452,33.721,34.458,34.855,35.58,36.041,36.048,35.779,35.761,36.244,36.39,36.098,36.319,36.373,36.305,36.199,35.758,35.484,36.026,35.691,35.802,35.574,35.67,35.326,34.838,34.559,35.366,35.597,35.441,35.495,35.285,35.038,34.614,34.724,34.54,34.931,35.337,34.94,35.009,34.961,34.742,34.385,34.432,33.955,33.523,33.278,33.181,33.217,33.466,33.379,33.879,34.24,34.604,34.187,33.726,33.684,33.594,33.709,34.283,33.884,33.627,33.448,33.82,33.372,32.653,32.11,36.199,31.495,31.525,30.913,30.564,31.166,31.632,31.141,31.101,31.433,31.768
5,X,False,40.261,39.492,39.747,39.218,39.299,39.356,39.193,38.573,38.697,38.477,38.547,38.144,38.115,37.942,38.05,37.978,37.556,37.604,38.235,37.296,37.653,37.292,37.363,37.49,37.935,37.758,38.256,37.648,37.634,37.753,37.418,37.84,38.002,37.952,37.801,38.41,38.603,38.765,38.309,38.572,38.555,38.727,38.377,38.287,38.267,38.14,37.718,37.263,37.153,37.362,37.613,36.878,36.722,36.761,36.197,36.565,36.373,36.719,36.544,36.859,36.259,37.076,37.523,36.234,36.559,37.014,36.695,37.069,37.194,37.542,37.395,37.657,37.931,37.969,37.854,37.611,37.632,37.294,36.978,37.483,37.333,37.081,37.512,37.195,37.808,37.776,37.853,37.892,37.556,36.952,37.753,38.102,38.299,37.404,37.502,38.086,37.89,37.673,37.519,37.584,37.318,37.382,36.938,37.498,37.294,37.713,37.751,37.663,37.644,37.513,37.75,37.679,37.862,37.969,38.151
6,X,True,44.289,44.744,45.286,44.338,44.448,43.944,43.299,43.667,42.289,42.537,42.738,43.604,43.185,41.978,41.848,41.807,41.379,41.363,41.539,41.023,41.309,41.62,41.604,41.229,41.396,40.852,41.27,40.434,39.818,39.362,39.311,39.349,39.041,39.841,39.277,39.143,37.931,39.045,38.432,38.88,38.19,38.62,38.468,38.563,38.979,39.634,38.408,39.748,39.272,39.07,39.325,39.234,39.017,39.441,38.978,38.921,38.372,38.068,38.896,38.908,38.202,38.124,38.342,38.849,38.941,38.66,38.581,38.397,38.655,38.03,38.17,38.147,37.399,36.794,37.356,37.547,36.877,36.562,37.287,37.081,37.388,38.505,38.566,37.518,38.485,38.211,37.003,37.491,37.118,37.869,37.507,38.702,38.577,38.793,39.079,39.868,39.025,39.301,38.845,38.966,38.83,38.425,39.355,39.443,39.493,39.864,39.838,39.711,39.925,39.271,39.041,38.998,38.614,38.865,39.485
7,X,False,45.404,45.809,45.863,46.051,46.246,46.403,46.49,46.402,46.328,46.496,46.72,46.903,46.669,46.543,46.347,46.315,46.047,46.074,45.821,45.87,45.451,45.232,44.835,44.815,47.08,44.837,45.216,45.344,45.589,45.626,45.742,45.974,45.952,46.275,46.489,46.516,46.533,46.593,46.725,46.788,46.803,46.902,46.884,46.75,46.936,46.921,46.697,46.861,47.008,47.105,47.422,46.908,46.983,47.14,47.139,47.009,47.026,47.011,46.764,46.777,46.497,46.246,46.325,46.351,46.189,46.141,46.047,45.673,45.797,45.686,45.604,45.696,45.245,44.801,44.625,44.266,44.11,44.128,44.017,44.336,44.507,44.489,44.654,45.049,45.185,45.369,45.467,45.764,45.974,45.909,45.754,45.844,45.7,45.851,45.917,45.585,45.602,45.266,45.418,45.532,45.424,45.372,45.208,45.083,45.465,45.181,45.351,45.161,44.967,44.863,44.825,44.928,44.738,44.893,44.813
8,X,False,37.485,35.289,35.719,34.736,35.351,35.752,34.946,34.66,33.601,33.855,34.81,34.154,34.008,33.174,33.682,32.344,34.562,35.119,34.966,32.92,34.439,33.881,34.633,34.035,34.317,33.69,33.271,33.178,30.515,32.532,31.252,31.563,31.404,29.787,30.958,31.449,29.984,29.428,26.949,26.566,27.684,25.623,27.532,27.32,27.476,26.471,27.658,26.872,26.258,28.347,28.134,26.761,26.067,27.306,26.99,25.042,25.67,24.238,23.675,24.185,24.653,23.685,23.091,23.412,23.731,23.918,23.394,24.576,23.819,23.67,23.098,23.543,24.149,23.46,24.463,23.858,24.178,22.081,22.559,22.411,21.843,22.992,21.511,20.689,21.549,21.284,22.478,20.692,21.134,21.143,20.09,19.734,19.365,20.071,19.811,19.943,20.05,19.501,19.403,19.189,19.148,19.991,21.15,20.727,19.677,20.327,20.264,20.279,20.236,20.418,20.269,19.978,19.981,19.712,19.138
9,X,True,31.767,31.243,31.072,31.775,32.037,31.914,31.395,31.34,31.194,31.031,31.215,30.904,29.961,29.924,29.665,29.521,28.936,30.107,29.261,29.487,28.709,28.771,28.978,28.47,28.881,28.963,28.662,29.202,28.882,29.085,28.869,29.136,29.708,29.828,29.623,29.122,28.849,29.365,28.742,28.452,28.141,28.596,28.369,28.402,28.275,27.967,28.247,28.453,27.595,27.881,28.066,28.048,28.108,28.339,28.527,27.937,28.121,28.082,28.341,27.855,28.164,28.494,28.226,28.843,29.463,29.253,28.886,29.535,30.357,29.942,29.548,29.318,29.373,29.289,29.425,28.801,29.178,29.375,28.341,27.767,28.438,28.194,28.364,28.094,27.877,28.044,27.971,28.196,27.803,27.956,28.651,28.658,28.667,28.608,28.903,29.243,28.445,28.689,28.53,28.253,28.852,27.96,29.02,28.671,28.641,28.588,28.317,28.412,28.134,28.574,28.708,28.81,28.361,28.228,27.86
