,FLARE_TYPE,COINCIDENCE,MEANSHR_1,MEANSHR_2,MEANSHR_3,MEANSHR_4,MEANSHR_5,MEANSHR_6,MEANSHR_7,MEANSHR_8,MEANSHR_9,MEANSHR_10,MEANSHR_11,MEANSHR_12,MEANSHR_13,MEANSHR_14,MEANSHR_15,MEANSHR_16,MEANSHR_17,MEANSHR_18,MEANSHR_19,MEANSHR_20,MEANSHR_21,MEANSHR_22,MEANSHR_23,MEANSHR_24,MEANSHR_25,MEANSHR_26,MEANSHR_27,MEANSHR_28,MEANSHR_29,MEANSHR_30,MEANSHR_31,MEANSHR_32,MEANSHR_33,MEANSHR_34,MEANSHR_35,MEANSHR_36,MEANSHR_37,MEANSHR_38,MEANSHR_39,MEANSHR_40,MEANSHR_41,MEANSHR_42,MEANSHR_43,MEANSHR_44,MEANSHR_45,MEANSHR_46,MEANSHR_47,MEANSHR_48,MEANSHR_49,MEANSHR_50,MEANSHR_51,MEANSHR_52,MEANSHR_53,MEANSHR_54,MEANSHR_55,MEANSHR_56,MEANSHR_57,MEANSHR_58,MEANSHR_59,MEANSHR_60,MEANSHR_61,MEANSHR_62,MEANSHR_63,MEANSHR_64,MEANSHR_65,MEANSHR_66,MEANSHR_67,MEANSHR_68,MEANSHR_69,MEANSHR_70,MEANSHR_71,MEANSHR_72,MEANSHR_73,MEANSHR_74,MEANSHR_75,MEANSHR_76,MEANSHR_77,MEANSHR_78,MEANSHR_79,MEANSHR_80,MEANSHR_81,MEANSHR_82,MEANSHR_83,MEANSHR_84,MEANSHR_85,MEANSHR_86,MEANSHR_87,MEANSHR_88,MEANSHR_89,MEANSHR_90,MEANSHR_91,MEANSHR_92,MEANSHR_93,MEANSHR_94,MEANSHR_95,MEANSHR_96,MEANSHR_97,MEANSHR_98,MEANSHR_99,MEANSHR_100,MEANSHR_101,MEANSHR_102,MEANSHR_103,MEANSHR_104,MEANSHR_105,MEANSHR_106,MEANSHR_107,MEANSHR_108,MEANSHR_109,MEANSHR_110,MEANSHR_111,MEANSHR_112,MEANSHR_113,MEANSHR_114,MEANSHR_115
0,X,False,50.356,50.329,50.44,50.601,50.497,50.519,50.635,50.621,50.859,50.918,51.096,51.283,51.385,51.531,51.529,51.447,51.264,51.289,51.407,51.53,51.445,51.61,51.664,51.521,51.718,51.693,51.676,51.821,51.531,51.598,51.401,51.343,51.305,51.209,51.204,51.039,51.131,51.523,51.422,51.633,51.822,51.646,51.886,52.013,52.285,52.153,52.383,52.371,52.261,52.397,52.441,52.43,52.576,52.599,52.529,52.393,52.378,52.225,52.153,52.12,52.071,52.303,52.303,52.267,52.4,52.453,52.712,52.732,52.641,52.503,52.485,52.534,52.383,52.211,52.253,52.24,52.28,52.323,52.242,52.278,52.142,52.03,51.967,51.816,51.727,51.907,52.119,52.032,52.472,52.572,52.466,52.555,52.556,52.523,52.56,52.426,52.537,52.445,52.454,52.458,52.3,52.176,52.255,52.163,51.938,52.068,52.009,51.952,51.71,51.781,51.718,51.96,52.004,51.843,51.764
1,X,False,50.115,50.201,50.097,49.974,49.751,49.746,49.843,49.637,49.636,49.84,49.792,49.576,49.622,49.503,49.518,49.41,49.629,49.874,49.891,50.027,49.982,50.133,50.204,50.209,50.316,50.263,50.276,50.36,50.238,50.387,50.25,50.367,50.397,50.357,50.376,50.676,50.562,50.757,50.457,50.454,50.341,50.381,50.216,50.089,50.004,50.077,50.018,50.013,50.278,50.312,50.39,50.584,50.628,50.734,50.765,50.852,50.75,50.791,50.735,50.623,50.587,50.66,50.68,50.55,50.482,50.32,50.338,50.373,50.418,50.145,50.274,50.292,50.32,50.24,50.296,50.178,50.054,50.049,49.96,49.972,49.996,50.083,50.186,50.009,49.902,49.893,49.877,49.801,49.531,49.62,49.296,49.168,49.061,49.04,48.98,48.862,48.86,48.819,48.773,48.791,48.941,48.811,49.735,48.689,48.758,48.655,48.701,48.766,48.598,48.704,48.489,48.641,48.67,48.837,48.853
2,X,False,38.993,39.151,39.317,39.399,39.261,39.188,39.279,39.22,39.266,39.307,39.215,39.319,39.388,39.069,39.248,39.241,39.122,39.155,39.252,39.193,38.788,38.713,38.72,38.691,38.592,38.723,38.833,39.052,38.931,38.936,38.888,38.483,38.622,38.684,38.653,38.611,38.717,38.468,38.208,38.467,38.212,37.933,37.897,37.893,37.877,37.877,37.941,37.933,37.758,38.024,37.956,38.015,38.051,37.944,37.695,37.589,37.525,37.575,37.368,37.66,37.152,37.239,37.009,36.981,37.38,37.237,37.643,37.791,37.817,38.097,38.184,38.192,38.258,38.472,38.161,38.159,38.061,37.938,38.087,38.003,38.021,38.027,37.941,37.919,37.781,37.761,37.62,37.631,37.199,37.285,37.433,37.362,37.273,0.0,37.562,37.425,38.097,37.626,37.965,38.113,38.066,37.773,37.549,37.484,37.709,37.825,37.468,37.788,37.559,37.246,37.113,36.85,37.063,37.051,36.594
3,X,False,43.866,43.994,43.996,43.732,44.165,44.152,44.101,43.962,44.199,44.445,44.442,44.243,44.09,44.372,44.467,44.418,44.542,44.437,44.392,44.045,44.363,44.231,44.322,44.009,43.78,43.571,43.524,43.662,43.304,43.128,43.175,43.141,43.339,42.898,42.549,42.137,41.941,41.286,41.212,41.333,41.201,41.461,42.265,42.304,42.851,42.937,42.989,43.1,43.063,43.015,43.095,43.036,42.745,42.253,42.519,42.567,42.423,42.294,42.412,41.923,41.887,41.977,41.612,41.909,41.836,41.888,42.249,42.161,42.121,42.286,42.508,42.628,42.432,42.657,42.399,42.376,41.936,42.064,41.991,41.842,41.783,41.945,41.413,41.691,41.501,41.253,41.264,41.276,41.481,41.037,41.055,41.183,41.379,41.73,41.743,41.614,41.767,41.306,41.064,40.964,40.845,40.85,40.682,40.536,40.281,40.415,39.85,40.075,39.952,40.075,39.96,39.995,39.901,40.22,40.378
4,X,True,39.761,39.341,39.202,39.252,38.756,39.043,38.829,38.889,38.859,39.081,39.014,38.917,39.208,38.808,38.881,38.878,38.863,38.911,38.748,38.828,38.976,39.117,38.989,38.852,39.121,38.889,38.694,38.942,38.813,38.973,38.775,38.924,38.581,38.703,38.675,38.61,38.588,38.783,38.65,38.204,38.551,38.799,39.071,39.109,39.191,39.044,38.95,39.184,39.338,39.28,39.365,39.679,39.727,39.551,39.368,39.154,39.603,39.527,39.632,39.327,39.452,39.309,38.881,38.866,39.209,39.325,39.239,39.246,39.298,39.236,38.938,39.133,39.247,39.278,39.446,39.138,39.236,39.325,39.138,38.949,38.95,38.728,38.732,38.27,38.361,38.299,38.407,38.242,38.562,38.72,38.828,38.639,38.437,38.442,38.414,38.396,38.765,38.502,38.336,38.231,38.474,38.285,37.945,37.55,40.634,37.46,37.395,37.106,36.956,37.166,37.413,37.134,37.158,37.435,37.606
5,X,False,41.175,40.776,40.9,40.485,40.714,40.702,40.635,40.399,40.267,40.313,40.177,40.116,40.037,39.897,39.976,40.026,39.781,39.805,40.21,39.555,39.722,39.652,39.621,39.714,39.916,39.892,40.115,39.744,39.799,39.92,39.746,39.821,39.86,39.786,39.765,0.0,40.203,40.357,40.239,40.281,40.231,40.454,40.49,40.278,40.197,40.187,39.928,39.752,39.683,39.792,40.248,39.707,39.656,39.761,39.361,39.717,39.462,39.74,39.385,39.618,39.223,39.587,40.013,39.188,39.387,39.614,39.403,39.767,39.805,40.109,40.019,40.037,40.267,40.2,40.06,39.963,40.048,39.854,39.578,39.939,39.837,39.699,40.016,39.744,40.146,40.137,40.165,40.158,40.071,39.781,40.352,40.408,40.503,40.014,40.039,40.351,40.314,40.254,40.052,40.125,40.019,40.226,39.99,40.277,40.17,40.279,40.274,40.137,39.992,39.791,40.119,39.982,40.126,40.189,40.232
6,X,True,44.422,44.898,44.984,44.424,44.609,44.532,44.248,44.408,43.869,43.906,43.88,44.661,44.346,43.616,43.623,43.337,43.186,43.396,43.656,43.44,43.579,43.783,43.851,43.775,43.765,43.387,43.567,43.143,42.818,42.586,42.732,42.631,42.484,42.879,42.684,42.57,41.84,42.363,42.261,42.548,42.138,42.243,42.412,42.241,42.386,42.903,42.293,42.891,42.829,42.502,42.73,42.76,42.653,42.746,42.407,42.531,42.087,41.886,42.508,42.551,42.209,42.155,42.358,42.558,42.708,42.391,42.319,42.417,42.604,42.367,42.594,42.468,42.221,41.856,42.074,42.24,41.922,41.741,42.033,41.946,42.009,42.526,42.508,42.038,42.473,42.246,41.653,41.825,41.586,41.903,41.766,42.487,42.331,42.488,42.62,43.012,42.687,42.713,42.217,42.453,42.228,42.226,42.634,0.0,42.799,43.141,42.961,43.01,43.171,42.797,42.551,42.544,42.287,42.42,42.748
7,X,False,45.286,45.451,45.516,45.648,45.703,45.79,45.792,45.767,45.671,45.7,45.832,45.877,45.707,0.0,45.466,45.332,45.302,45.264,45.118,45.019,44.772,44.679,44.594,44.583,46.754,44.749,45.013,45.192,45.353,45.429,45.531,45.625,0.0,45.573,45.618,45.557,45.581,45.556,45.564,45.606,45.608,45.568,45.717,45.626,45.698,45.655,45.607,45.659,45.654,45.715,45.872,45.606,45.645,45.694,45.677,45.668,45.604,45.623,45.581,45.554,45.38,45.361,45.318,45.344,45.306,45.206,45.202,0.0,45.141,45.139,45.119,45.248,44.931,44.691,44.542,44.371,44.158,44.176,43.976,44.105,44.208,44.31,44.327,44.464,44.564,44.61,44.764,44.942,45.072,45.076,44.969,45.018,44.99,45.03,45.144,44.969,44.995,44.906,44.981,45.022,44.997,44.924,44.914,44.858,44.943,44.892,44.91,44.762,44.622,44.639,44.735,44.746,44.604,44.7,44.671
8,X,False,38.886,37.619,37.761,37.395,37.576,37.475,37.243,37.14,36.739,36.676,37.106,36.743,36.607,36.051,36.123,35.811,36.808,37.159,37.27,36.178,37.35,36.77,0.0,36.868,37.202,36.63,36.551,36.671,35.658,36.058,35.533,35.861,35.915,35.038,35.805,35.787,35.43,34.949,33.791,33.548,0.0,33.102,34.146,33.825,33.93,33.642,34.286,33.863,33.257,34.219,34.311,33.332,33.04,33.832,33.765,33.134,33.036,32.488,32.182,32.638,32.714,32.063,31.711,31.923,32.317,32.527,32.295,32.592,31.954,31.942,31.398,31.655,32.347,31.991,32.424,31.924,31.978,31.152,31.381,31.145,30.932,31.362,30.653,30.266,30.721,30.39,30.791,30.003,30.263,29.959,29.347,29.003,28.825,29.316,29.111,29.179,29.385,29.06,29.208,28.931,29.061,29.583,30.052,29.892,29.201,29.617,29.535,29.491,29.46,29.488,29.482,29.431,29.376,29.168,28.751
9,X,True,37.736,37.491,37.391,37.855,37.918,37.975,37.669,37.757,37.648,37.44,37.591,37.437,37.012,36.932,36.615,36.611,36.37,36.937,36.486,36.643,36.268,36.293,36.432,36.261,36.482,36.487,36.394,36.693,36.501,36.534,36.227,36.464,0.0,36.945,36.694,36.558,36.414,36.664,36.4,36.219,36.108,36.331,36.143,36.245,36.225,36.18,36.121,36.157,35.806,35.874,35.949,35.965,36.008,36.082,36.214,0.0,35.971,35.917,35.921,35.883,35.984,35.995,35.77,36.076,36.221,36.276,36.249,36.392,36.847,36.542,36.494,36.376,36.437,36.507,36.666,36.296,36.412,36.599,36.075,35.662,35.8,35.544,35.669,35.566,35.436,35.433,35.437,35.591,0.0,35.594,36.019,36.027,0.0,36.151,36.293,36.344,36.134,36.057,36.061,35.888,36.103,35.682,36.276,36.034,35.991,35.903,35.694,35.806,35.564,35.665,35.714,35.772,35.66,35.516,35.311
