index,nar,time_start,xray_class,time_peak,time_end
463,12425,2015-09-26 19:48:00,N,not applicable,not applicable
464,12426,2015-09-27 19:00:00,N,not applicable,not applicable
465,12429,2015-10-11 03:12:00,N,not applicable,not applicable
466,12430,2015-10-13 09:12:00,N,not applicable,not applicable
467,12433,2015-10-15 03:00:00,N,not applicable,not applicable
468,12439,2015-10-29 21:00:00,N,not applicable,not applicable
469,12441,2015-10-31 20:12:00,N,not applicable,not applicable
470,12442,2015-10-29 20:12:00,N,not applicable,not applicable
471,12444,2015-10-31 08:12:00,N,not applicable,not applicable
472,11735,2013-04-29 22:24:00,N,not applicable,not applicable
473,11794,2013-07-16 15:12:00,N,not applicable,not applicable
474,11798,2013-07-21 07:24:00,N,not applicable,not applicable
475,11903,2013-11-23 10:48:00,N,not applicable,not applicable
476,11961,2014-01-20 21:12:00,N,not applicable,not applicable
477,11988,2014-02-28 05:00:00,N,not applicable,not applicable
478,12018,2014-03-27 06:48:00,N,not applicable,not applicable
479,12025,2014-04-01 04:24:00,N,not applicable,not applicable
480,12061,2014-05-17 05:00:00,N,not applicable,not applicable
481,12086,2014-06-11 06:24:00,N,not applicable,not applicable
482,12233,2014-12-11 11:12:00,N,not applicable,not applicable
483,12416,2015-09-12 18:24:00,N,not applicable,not applicable
484,12418,2015-09-20 00:24:00,N,not applicable,not applicable
485,12438,2015-10-24 03:00:00,N,not applicable,not applicable
486,12447,2015-11-06 08:12:00,N,not applicable,not applicable
487,12451,2015-11-11 15:00:00,N,not applicable,not applicable
488,12453,2015-11-15 09:00:00,N,not applicable,not applicable
489,12456,2015-11-19 07:24:00,N,not applicable,not applicable
490,12460,2015-11-28 07:48:00,N,not applicable,not applicable
491,12471,2015-12-18 09:12:00,N,not applicable,not applicable
492,12474,2015-12-20 01:36:00,N,not applicable,not applicable
493,12475,2015-12-24 21:24:00,N,not applicable,not applicable
494,12486,2016-01-23 16:12:00,N,not applicable,not applicable
495,12502,2016-02-16 20:48:00,N,not applicable,not applicable
496,12504,2016-02-23 10:12:00,N,not applicable,not applicable
497,12507,2016-02-27 22:12:00,N,not applicable,not applicable
498,12508,2016-03-01 04:12:00,N,not applicable,not applicable
499,12509,2016-03-02 04:12:00,N,not applicable,not applicable
500,12517,2016-03-08 00:24:00,N,not applicable,not applicable
501,12520,2016-03-13 14:48:00,N,not applicable,not applicable
502,12525,2016-03-18 23:48:00,N,not applicable,not applicable
503,12527,2016-04-03 23:48:00,N,not applicable,not applicable
504,12530,2016-04-12 22:36:00,N,not applicable,not applicable
505,12533,2016-04-26 05:48:00,N,not applicable,not applicable
506,12534,2016-04-26 13:12:00,N,not applicable,not applicable
507,12538,2016-04-29 20:48:00,N,not applicable,not applicable
508,12547,2016-05-18 16:12:00,N,not applicable,not applicable
509,12557,2016-06-20 11:00:00,N,not applicable,not applicable
510,12560,2016-07-09 18:00:00,N,not applicable,not applicable
511,12563,2016-07-13 05:48:00,N,not applicable,not applicable
512,12566,2016-07-17 10:12:00,N,not applicable,not applicable
513,12568,2016-07-18 02:36:00,N,not applicable,not applicable
514,12569,2016-07-21 14:36:00,N,not applicable,not applicable
515,12570,2016-08-02 07:48:00,N,not applicable,not applicable
516,12573,2016-08-13 10:48:00,N,not applicable,not applicable
517,12575,2016-08-13 10:48:00,N,not applicable,not applicable
518,12577,2016-08-13 10:48:00,N,not applicable,not applicable
519,12581,2016-08-29 19:24:00,N,not applicable,not applicable
520,12584,2016-09-03 20:24:00,N,not applicable,not applicable
521,12587,2016-09-06 02:00:00,N,not applicable,not applicable
522,12590,2016-09-12 04:36:00,N,not applicable,not applicable
523,12594,2016-09-22 01:00:00,N,not applicable,not applicable
524,12596,2016-09-24 07:12:00,N,not applicable,not applicable
525,12600,2016-10-12 15:12:00,N,not applicable,not applicable
526,12606,2016-11-07 01:24:00,N,not applicable,not applicable
527,12608,2016-11-11 22:36:00,N,not applicable,not applicable
528,12609,2016-11-14 22:48:00,N,not applicable,not applicable
529,12618,2016-12-15 13:12:00,N,not applicable,not applicable
530,12630,2017-02-01 18:48:00,N,not applicable,not applicable
531,12633,2017-02-03 18:48:00,N,not applicable,not applicable
532,12637,2017-02-23 18:48:00,N,not applicable,not applicable
533,12639,2017-02-26 12:48:00,N,not applicable,not applicable
534,12642,2017-03-03 23:48:00,N,not applicable,not applicable
535,12649,2017-04-01 17:36:00,N,not applicable,not applicable
536,12662,2017-06-18 16:12:00,N,not applicable,not applicable
537,12666,2017-07-15 05:36:00,N,not applicable,not applicable
538,12668,2017-07-24 06:24:00,N,not applicable,not applicable
539,12669,2017-07-30 06:36:00,N,not applicable,not applicable
540,12675,2017-09-04 19:24:00,N,not applicable,not applicable
541,12678,2017-09-09 16:24:00,N,not applicable,not applicable
542,12679,2017-09-05 04:24:00,N,not applicable,not applicable
543,12684,2017-10-17 15:24:00,N,not applicable,not applicable
544,12691,2017-12-12 19:00:00,N,not applicable,not applicable
545,12693,2018-01-04 14:12:00,N,not applicable,not applicable
546,12694,2018-01-10 08:12:00,N,not applicable,not applicable
547,12695,2018-01-11 02:00:00,N,not applicable,not applicable
548,12698,2018-02-06 20:12:00,N,not applicable,not applicable
549,12702,2018-03-19 01:48:00,N,not applicable,not applicable
550,12707,2018-04-22 18:48:00,N,not applicable,not applicable
551,12708,2018-05-08 18:48:00,N,not applicable,not applicable
552,12709,2018-05-12 13:48:00,N,not applicable,not applicable
553,12716,2018-07-21 15:36:00,N,not applicable,not applicable
554,12717,2018-08-05 03:36:00,N,not applicable,not applicable
555,12721,2018-09-10 10:00:00,N,not applicable,not applicable
556,12722,2018-09-13 16:00:00,N,not applicable,not applicable
557,12723,2018-10-01 22:00:00,N,not applicable,not applicable
558,12725,2018-10-16 08:00:00,N,not applicable,not applicable
559,12726,2018-11-13 19:48:00,N,not applicable,not applicable
560,12727,2018-11-17 13:48:00,N,not applicable,not applicable
561,12730,2018-12-13 08:24:00,N,not applicable,not applicable
562,12737,2019-04-04 17:00:00,N,not applicable,not applicable
563,12739,2019-04-19 10:24:00,N,not applicable,not applicable
564,12755,2020-01-11 08:36:00,N,not applicable,not applicable
565,12758,2020-03-11 08:36:00,N,not applicable,not applicable
566,12760,2020-04-29 08:36:00,N,not applicable,not applicable
567,12761,2020-04-29 08:36:00,N,not applicable,not applicable
568,12764,2020-06-04 01:36:00,N,not applicable,not applicable
569,12766,2020-07-10 08:36:00,N,not applicable,not applicable
570,12767,2020-07-27 08:36:00,N,not applicable,not applicable
571,12768,2020-08-02 08:36:00,N,not applicable,not applicable
572,12771,2020-08-14 15:24:00,N,not applicable,not applicable
573,12775,2020-10-12 03:24:00,N,not applicable,not applicable
574,12784,2020-11-24 05:12:00,N,not applicable,not applicable
575,12789,2020-12-02 20:24:00,N,not applicable,not applicable
576,12802,2021-02-19 04:12:00,N,not applicable,not applicable
577,12809,2021-03-13 03:24:00,N,not applicable,not applicable
578,12813,2021-04-05 12:12:00,N,not applicable,not applicable
579,12825,2021-05-26 23:12:00,N,not applicable,not applicable
580,12848,2021-07-23 00:48:00,N,not applicable,not applicable
581,12852,2021-08-07 23:00:00,N,not applicable,not applicable
582,12854,2021-08-11 19:12:00,N,not applicable,not applicable
583,12855,2021-08-15 03:12:00,N,not applicable,not applicable
584,12856,2021-08-14 19:12:00,N,not applicable,not applicable
585,12867,2021-09-01 04:12:00,N,not applicable,not applicable
586,12870,2021-09-10 23:48:00,N,not applicable,not applicable
587,12874,2021-09-22 22:36:00,N,not applicable,not applicable
588,12878,2021-09-29 02:48:00,N,not applicable,not applicable
589,12881,2021-09-30 11:00:00,N,not applicable,not applicable
590,12883,2021-10-11 19:24:00,N,not applicable,not applicable
591,12886,2021-10-30 07:48:00,N,not applicable,not applicable
592,12888,2021-10-30 13:48:00,N,not applicable,not applicable
593,12889,2021-10-30 13:48:00,N,not applicable,not applicable
594,12890,2021-10-31 01:48:00,N,not applicable,not applicable
595,12892,2021-10-31 07:48:00,N,not applicable,not applicable
596,12893,2021-10-31 20:24:00,N,not applicable,not applicable
597,12905,2021-12-16 23:48:00,N,not applicable,not applicable
598,12906,2021-12-18 11:48:00,N,not applicable,not applicable
599,12910,2021-12-18 17:48:00,N,not applicable,not applicable
600,12911,2021-12-20 05:48:00,N,not applicable,not applicable
601,12912,2021-12-22 05:48:00,N,not applicable,not applicable
602,12913,2021-12-25 06:24:00,N,not applicable,not applicable
603,12914,2021-12-25 19:12:00,N,not applicable,not applicable
604,12915,2021-12-26 01:12:00,N,not applicable,not applicable
605,12916,2021-12-26 01:12:00,N,not applicable,not applicable
606,12919,2021-12-26 01:12:00,N,not applicable,not applicable
607,12934,2022-01-31 05:24:00,N,not applicable,not applicable
608,12935,2022-01-31 05:24:00,N,not applicable,not applicable
609,12937,2022-01-31 05:24:00,N,not applicable,not applicable
610,12938,2022-02-02 17:24:00,N,not applicable,not applicable
611,12942,2022-02-07 16:00:00,N,not applicable,not applicable
612,12943,2022-02-10 22:00:00,N,not applicable,not applicable
613,12944,2022-02-07 04:00:00,N,not applicable,not applicable
614,12945,2022-02-12 16:00:00,N,not applicable,not applicable
615,12946,2022-02-15 02:00:00,N,not applicable,not applicable
616,12676,2017-09-04 13:00:00,N,not applicable,not applicable
617,12865,2021-09-06 13:12:00,N,not applicable,not applicable
618,12876,2021-09-24 12:24:00,N,not applicable,not applicable
619,12884,2021-10-11 07:24:00,N,not applicable,not applicable
620,12920,2021-12-26 01:12:00,N,not applicable,not applicable
