index,nar,time_start,xray_class,time_peak,time_end
53,11253,2011-07-16 12:48:00,N,not applicable,not applicable
54,11256,2011-07-22 06:48:00,N,not applicable,not applicable
55,11258,2011-07-17 18:48:00,N,not applicable,not applicable
56,11264,2011-07-29 08:48:00,N,not applicable,not applicable
57,11268,2011-08-09 08:12:00,N,not applicable,not applicable
58,11270,2011-08-15 07:00:00,N,not applicable,not applicable
59,11273,2011-08-19 01:48:00,N,not applicable,not applicable
60,11276,2011-08-26 01:48:00,N,not applicable,not applicable
61,11278,2011-08-25 09:48:00,N,not applicable,not applicable
62,11280,2011-08-30 22:24:00,N,not applicable,not applicable
63,11282,2011-08-31 10:24:00,N,not applicable,not applicable
64,11284,2011-08-30 07:36:00,N,not applicable,not applicable
65,11285,2011-08-31 02:00:00,N,not applicable,not applicable
66,11288,2011-09-08 13:48:00,N,not applicable,not applicable
67,11293,2011-09-15 02:00:00,N,not applicable,not applicable
68,11294,2011-09-15 14:00:00,N,not applicable,not applicable
69,11298,2011-09-19 08:36:00,N,not applicable,not applicable
70,11299,2011-09-19 02:36:00,N,not applicable,not applicable
71,11300,2011-09-19 20:36:00,N,not applicable,not applicable
72,11304,2011-09-27 09:36:00,N,not applicable,not applicable
73,11306,2011-10-02 03:36:00,N,not applicable,not applicable
74,11308,2011-10-05 17:48:00,N,not applicable,not applicable
75,11310,2011-10-06 15:36:00,N,not applicable,not applicable
76,11311,2011-10-09 01:36:00,N,not applicable,not applicable
77,11320,2011-10-14 23:24:00,N,not applicable,not applicable
78,11322,2011-10-17 14:12:00,N,not applicable,not applicable
79,11323,2011-10-21 20:12:00,N,not applicable,not applicable
80,11326,2011-10-22 04:48:00,N,not applicable,not applicable
81,11327,2011-10-23 22:48:00,N,not applicable,not applicable
82,11328,2011-10-23 16:48:00,N,not applicable,not applicable
83,11329,2011-10-21 16:48:00,N,not applicable,not applicable
84,11331,2011-10-25 22:24:00,N,not applicable,not applicable
85,11332,2011-10-28 04:24:00,N,not applicable,not applicable
86,11335,2011-10-30 10:24:00,N,not applicable,not applicable
87,11336,2011-11-04 18:12:00,N,not applicable,not applicable
88,11337,2011-11-04 18:12:00,N,not applicable,not applicable
89,11340,2011-11-09 04:24:00,N,not applicable,not applicable
90,11343,2011-11-13 04:24:00,N,not applicable,not applicable
91,11345,2011-11-12 19:00:00,N,not applicable,not applicable
92,11349,2011-11-15 22:36:00,N,not applicable,not applicable
93,11350,2011-11-19 15:00:00,N,not applicable,not applicable
94,11351,2011-11-18 21:00:00,N,not applicable,not applicable
95,11360,2011-11-26 22:00:00,N,not applicable,not applicable
96,11365,2011-12-11 00:24:00,N,not applicable,not applicable
97,11369,2011-12-10 04:48:00,N,not applicable,not applicable
98,11370,2011-12-09 04:48:00,N,not applicable,not applicable
99,11371,2011-12-10 10:48:00,N,not applicable,not applicable
