index,time_start,time_peak,time_end,nar,xray_class
0,2013-01-03 21:01:00,2013-01-03 21:08:00,2013-01-03 21:17:00,11640,B9.4
1,2013-10-06 00:16:00,2013-10-06 00:51:00,2013-10-06 01:03:00,11857,B8.7
2,2012-01-09 20:01:00,2012-01-09 20:13:00,2012-01-09 20:28:00,11395,C2.6
3,2021-05-26 07:51:00,2021-05-26 08:00:00,2021-05-26 08:04:00,12826,C1.1
4,2021-06-03 01:57:00,2021-06-03 02:05:00,2021-06-03 02:09:00,12829,B5.7
5,2013-12-02 14:34:00,2013-12-02 14:44:00,2013-12-02 15:09:00,11913,C2.5
6,2015-06-05 04:42:00,2015-06-05 05:06:00,2015-06-05 05:18:00,12361,C1.3
7,2010-07-12 05:54:00,2010-07-12 06:06:00,2010-07-12 06:21:00,11087,B3.4
8,2018-08-25 08:02:00,2018-08-25 08:13:00,2018-08-25 08:30:00,12720,B2.6
9,2012-12-17 01:32:00,2012-12-17 02:20:00,2012-12-17 04:39:00,11629,C1.3
10,2020-08-03 08:34:00,2020-08-03 08:39:00,2020-08-03 08:46:00,12770,B2.2
11,2011-08-15 23:54:00,2011-08-16 00:25:00,2011-08-16 00:59:00,11271,C1.3
12,2010-10-14 16:58:00,2010-10-14 17:03:00,2010-10-14 17:08:00,11113,B2.1
13,2018-06-01 04:57:00,2018-06-01 05:04:00,2018-06-01 05:09:00,12712,B2.1
14,2010-07-12 11:34:00,2010-07-12 11:39:00,2010-07-12 11:44:00,11087,B2.1
15,2015-04-29 16:20:00,2015-04-29 16:34:00,2015-04-29 16:52:00,12327,C1.0
16,2012-12-15 10:37:00,2012-12-15 10:47:00,2012-12-15 10:52:00,11633,B4.7
17,2017-06-04 19:00:00,2017-06-04 19:04:00,2017-06-04 19:08:00,12661,B1.6
18,2016-07-15 03:51:00,2016-07-15 03:54:00,2016-07-15 03:56:00,12565,B5.9
19,2015-03-18 11:15:00,2015-03-18 11:20:00,2015-03-18 11:25:00,12302,C1.1
20,2012-04-21 11:00:00,2012-04-21 11:14:00,2012-04-21 11:24:00,11462,C1.0
21,2012-11-27 20:30:00,2012-11-27 20:36:00,2012-11-27 20:40:00,11623,C1.6
22,2013-07-08 01:13:00,2013-07-08 01:22:00,2013-07-08 01:23:00,11785,C9.7
23,2016-12-30 12:22:00,2016-12-30 12:29:00,2016-12-30 12:39:00,12621,B2.2
24,2012-02-11 18:47:00,2012-02-11 18:54:00,2012-02-11 19:06:00,11419,C7.7
