,name,tss,timepoint,dataset
0,KNN,0.8967815244763835,0,All Flares
1,LR,0.9173760825502119,0,All Flares
2,RFC,0.9347490940359929,0,All Flares
3,SVM,0.8556630428106383,0,All Flares
4,DART,0.9251090227872982,0,All Flares
5,LDA,0.885151403476445,0,All Flares
6,KNN,0.9183588761174967,0,Coincidental Flares
7,LR,0.9350255427841635,0,Coincidental Flares
8,RFC,0.9483716475095784,0,Coincidental Flares
9,SVM,0.8955938697318008,0,Coincidental Flares
10,DART,0.9387292464878672,0,Coincidental Flares
11,LDA,0.9202745849297574,0,Coincidental Flares
12,KNN,0.8023199023199022,0,Noncoincidental Flares
13,LR,0.8855718355718356,0,Noncoincidental Flares
14,RFC,0.8949938949938949,0,Noncoincidental Flares
15,SVM,0.7929385429385429,0,Noncoincidental Flares
16,DART,0.9047212047212045,0,Noncoincidental Flares
17,LDA,0.8436711436711435,0,Noncoincidental Flares
18,KNN,0.8784351451018116,1,All Flares
19,LR,0.9203944203944203,1,All Flares
20,RFC,0.9083854417187751,1,All Flares
21,SVM,0.868109668109668,1,All Flares
22,DART,0.9005611672278339,1,All Flares
23,LDA,0.8611992945326278,1,All Flares
24,KNN,0.95015873015873,1,Coincidental Flares
25,LR,0.9803174603174603,1,Coincidental Flares
26,RFC,0.9669841269841268,1,Coincidental Flares
27,SVM,0.9288888888888889,1,Coincidental Flares
28,DART,0.9614285714285715,1,Coincidental Flares
29,LDA,0.954126984126984,1,Coincidental Flares
30,KNN,0.7979613299894831,1,Noncoincidental Flares
31,LR,0.8952377100018877,1,Noncoincidental Flares
32,RFC,0.8776204729930157,1,Noncoincidental Flares
33,SVM,0.8067766901275518,1,Noncoincidental Flares
34,DART,0.8472507618046005,1,Noncoincidental Flares
35,LDA,0.8294986921230751,1,Noncoincidental Flares
36,KNN,0.8582812249478915,2,All Flares
37,LR,0.9168510501843836,2,All Flares
38,RFC,0.9062690396023729,2,All Flares
39,SVM,0.8571749238415904,2,All Flares
40,DART,0.897162097162097,2,All Flares
41,LDA,0.8504088504088504,2,All Flares
42,KNN,0.9436936936936938,2,Coincidental Flares
43,LR,0.9557915057915057,2,Coincidental Flares
44,RFC,0.9487129987129986,2,Coincidental Flares
45,SVM,0.9138996138996139,2,Coincidental Flares
46,DART,0.9563384813384814,2,Coincidental Flares
47,LDA,0.9156370656370656,2,Coincidental Flares
48,KNN,0.7982120051085567,2,Noncoincidental Flares
49,LR,0.8653097062579821,2,Noncoincidental Flares
50,RFC,0.8670817369093232,2,Noncoincidental Flares
51,SVM,0.8063617496807151,2,Noncoincidental Flares
52,DART,0.8685983397190292,2,Noncoincidental Flares
53,LDA,0.8095226692209451,2,Noncoincidental Flares
54,KNN,0.8790049618996988,3,All Flares
55,LR,0.913036800756099,3,All Flares
56,RFC,0.9138874121330262,3,All Flares
57,SVM,0.8778634296178155,3,All Flares
58,DART,0.8876631815228307,3,All Flares
59,LDA,0.8468958591765609,3,All Flares
60,KNN,0.9311001642036122,3,Coincidental Flares
61,LR,0.9517241379310344,3,Coincidental Flares
62,RFC,0.9650246305418719,3,Coincidental Flares
63,SVM,0.9197701149425287,3,Coincidental Flares
64,DART,0.965615763546798,3,Coincidental Flares
65,LDA,0.9104433497536946,3,Coincidental Flares
66,KNN,0.7936574710783916,3,Noncoincidental Flares
67,LR,0.8709192891621498,3,Noncoincidental Flares
68,RFC,0.8635115821265809,3,Noncoincidental Flares
69,SVM,0.803411266618127,3,Noncoincidental Flares
70,DART,0.829444759054014,3,Noncoincidental Flares
71,LDA,0.7950516409136262,3,Noncoincidental Flares
72,KNN,0.8782222222222222,4,All Flares
73,LR,0.9172222222222222,4,All Flares
74,RFC,0.9383333333333332,4,All Flares
75,SVM,0.878111111111111,4,All Flares
76,DART,0.9186666666666669,4,All Flares
77,LDA,0.8513333333333334,4,All Flares
78,KNN,0.9492592592592592,4,Coincidental Flares
79,LR,0.9559259259259257,4,Coincidental Flares
80,RFC,0.9531481481481481,4,Coincidental Flares
81,SVM,0.9366666666666666,4,Coincidental Flares
82,DART,0.9412962962962961,4,Coincidental Flares
83,LDA,0.9246296296296297,4,Coincidental Flares
84,KNN,0.7790513833992094,4,Noncoincidental Flares
85,LR,0.8976064997804128,4,Noncoincidental Flares
86,RFC,0.8918752744839701,4,Noncoincidental Flares
87,SVM,0.78989898989899,4,Noncoincidental Flares
88,DART,0.8516084760649978,4,Noncoincidental Flares
89,LDA,0.7817687747035573,4,Noncoincidental Flares
90,KNN,0.8857313229406252,5,All Flares
91,LR,0.9142573189084818,5,All Flares
92,RFC,0.9154868387426529,5,All Flares
93,SVM,0.8548499304313258,5,All Flares
94,DART,0.8994533889882729,5,All Flares
95,LDA,0.8455589630008233,5,All Flares
96,KNN,0.9503285543608124,5,Coincidental Flares
