,FLARE_TYPE,COINCIDENCE,MEANGBZ_1,MEANGBZ_2,MEANGBZ_3,MEANGBZ_4,MEANGBZ_5,MEANGBZ_6,MEANGBZ_7,MEANGBZ_8,MEANGBZ_9,MEANGBZ_10,MEANGBZ_11,MEANGBZ_12,MEANGBZ_13,MEANGBZ_14,MEANGBZ_15,MEANGBZ_16,MEANGBZ_17,MEANGBZ_18,MEANGBZ_19,MEANGBZ_20,MEANGBZ_21,MEANGBZ_22,MEANGBZ_23,MEANGBZ_24,MEANGBZ_25,MEANGBZ_26,MEANGBZ_27,MEANGBZ_28,MEANGBZ_29,MEANGBZ_30,MEANGBZ_31,MEANGBZ_32,MEANGBZ_33,MEANGBZ_34,MEANGBZ_35,MEANGBZ_36,MEANGBZ_37,MEANGBZ_38,MEANGBZ_39,MEANGBZ_40,MEANGBZ_41,MEANGBZ_42,MEANGBZ_43,MEANGBZ_44,MEANGBZ_45
0,X,False,116.17,117.58,117.63,115.9,115.69,115.35,115.13,114.56,113.81,113.53,112.28,110.63,110.46,109.7,110.04,110.0,109.97,109.34,108.35,106.96,107.06,106.47,106.11,106.22,106.55,107.77,108.48,108.57,109.52,109.46,110.46,110.8,110.8,110.83,110.35,110.21,109.36,108.73,108.65,108.06,106.27,105.12,104.07,103.81,103.22
1,X,False,111.2,111.31,110.64,110.88,110.62,110.19,109.55,109.23,109.59,108.42,107.7,108.3,108.59,108.36,107.96,108.22,107.83,106.6,106.64,106.99,107.21,107.1,107.3,107.05,107.02,106.36,105.76,104.77,103.94,102.89,101.89,100.58,99.982,100.35,99.381,99.267,99.65,99.792,100.72,101.99,102.97,103.01,104.63,104.89,105.09
2,X,False,81.416,81.235,81.149,81.004,81.401,82.767,83.161,83.244,83.291,83.35,83.295,83.164,82.59,82.686,82.302,81.815,81.729,81.832,81.218,81.544,81.537,81.062,80.312,79.967,80.131,80.326,79.703,79.65,79.323,79.814,80.606,80.497,79.562,79.866,79.937,79.481,79.469,79.283,79.224,79.796,79.884,80.984,80.28,81.356,81.149
3,X,False,109.42,109.62,110.12,110.79,110.44,111.22,112.5,112.35,112.23,111.68,111.76,112.98,113.66,113.13,113.58,112.29,113.28,113.01,113.95,114.28,113.52,112.85,111.82,111.91,113.21,112.95,112.53,111.93,112.76,111.68,110.81,110.7,110.2,109.69,110.64,110.09,110.61,111.25,112.54,112.44,114.27,115.56,115.54,116.78,115.52
4,X,True,118.31,118.77,119.91,120.94,122.47,122.02,122.57,122.7,123.47,121.51,121.61,123.22,122.33,123.22,122.93,122.54,122.25,120.87,122.28,122.08,122.33,121.46,121.25,120.0,118.35,118.79,117.87,117.82,117.04,116.51,116.6,114.91,114.26,113.42,112.03,112.43,112.22,112.38,112.9,114.26,114.8,115.96,116.4,116.99,116.89
5,X,False,78.691,78.185,83.238,78.156,85.101,79.517,79.514,79.392,79.939,79.51,81.307,79.958,78.613,77.87,77.059,77.715,78.685,78.374,78.539,77.644,79.642,79.048,78.876,80.064,79.883,79.105,79.349,77.828,79.6,80.614,80.402,80.828,81.27,80.881,80.575,79.132,80.664,79.517,80.413,80.659,80.966,79.226,79.762,79.952,77.815
6,X,True,80.036,77.638,77.277,76.947,76.072,76.63,76.547,76.632,79.403,79.075,79.292,79.899,80.707,82.005,81.442,80.659,82.276,81.349,80.675,80.553,80.891,79.611,79.208,80.728,81.481,80.396,80.361,79.712,82.01,80.857,81.797,78.989,80.004,79.45,80.193,81.008,79.56,81.647,83.423,82.77,84.742,84.202,83.318,84.352,86.074
7,X,False,98.249,97.593,97.562,97.653,97.855,97.95,98.634,99.094,99.655,99.833,100.38,100.78,101.77,102.53,103.34,103.98,104.33,105.03,105.67,105.85,106.05,105.74,105.77,105.78,94.694,103.92,102.8,102.5,102.04,101.73,101.35,101.16,101.26,100.92,101.01,101.08,101.27,101.36,102.15,102.21,102.62,102.49,102.78,103.13,103.06
8,X,False,95.425,95.694,95.912,89.913,96.495,95.759,91.317,99.294,96.483,97.867,97.923,96.228,100.3,100.41,105.33,103.24,102.81,104.2,104.55,102.31,101.3,99.664,96.458,94.885,96.789,97.05,98.661,96.57,100.73,94.735,92.362,92.175,93.318,96.708,97.544,94.342,94.633,98.01,96.666,93.629,93.218,93.521,94.375,93.812,93.786
9,X,True,99.216,99.768,100.17,100.67,101.11,100.84,100.82,100.89,101.06,101.47,101.13,100.24,99.408,99.575,98.925,97.508,96.576,96.184,95.066,94.781,95.186,95.416,94.998,95.117,96.467,96.051,97.036,97.114,97.806,98.299,98.78,99.837,99.617,99.824,99.897,99.518,99.61,98.266,98.142,97.8,97.272,96.856,96.577,96.263,95.842
10,X,False,84.695,83.945,85.766,85.556,83.332,84.084,83.948,84.512,81.759,82.031,82.624,83.323,80.852,82.123,81.134,79.667,81.912,80.195,79.362,83.289,79.887,81.102,81.411,80.162,83.966,79.683,82.619,83.675,84.469,82.903,82.398,86.454,83.509,81.676,81.23,82.989,76.564,76.319,78.278,82.762,78.631,76.862,79.232,80.231,81.973
11,X,False,94.745,94.483,94.761,94.154,94.472,94.648,94.141,94.628,94.549,94.422,94.811,94.668,94.697,94.731,95.56,96.009,96.959,96.781,97.425,97.696,98.304,98.524,99.036,98.496,98.645,98.994,98.304,98.222,98.55,98.133,98.175,98.456,98.004,97.594,97.09,96.714,95.98,95.881,95.229,94.588,94.422,94.72,94.849,95.046,95.726
