,FLARE_TYPE,COINCIDENCE,AREA_ACR_1,AREA_ACR_2,AREA_ACR_3,AREA_ACR_4,AREA_ACR_5,AREA_ACR_6,AREA_ACR_7,AREA_ACR_8,AREA_ACR_9,AREA_ACR_10,AREA_ACR_11,AREA_ACR_12,AREA_ACR_13,AREA_ACR_14,AREA_ACR_15,AREA_ACR_16,AREA_ACR_17,AREA_ACR_18,AREA_ACR_19,AREA_ACR_20,AREA_ACR_21,AREA_ACR_22,AREA_ACR_23,AREA_ACR_24,AREA_ACR_25,AREA_ACR_26,AREA_ACR_27,AREA_ACR_28,AREA_ACR_29,AREA_ACR_30,AREA_ACR_31,AREA_ACR_32,AREA_ACR_33,AREA_ACR_34,AREA_ACR_35,AREA_ACR_36,AREA_ACR_37,AREA_ACR_38,AREA_ACR_39,AREA_ACR_40,AREA_ACR_41,AREA_ACR_42,AREA_ACR_43,AREA_ACR_44,AREA_ACR_45
1105,B,False,411.99,413.01,411.64,416.09,414.51,415.66,414.27,418.32,418.29,415.84,414.35,415.41,412.8,414.82,413.33,418.19,420.73,425.15,422.4,420.61,423.09,425.37,423.65,425.65,424.53,421.26,416.87,416.9,413.34,412.02,412.65,414.24,416.81,415.38,416.7,418.01,417.74,413.91,413.76,414.79,414.62,415.53,417.23,421.28,416.4
1106,B,False,541.11,544.11,551.99,537.4,536.66,553.58,552.44,542.7,551.63,563.17,555.5,558.54,563.25,558.36,557.0,565.16,565.85,562.0,565.21,549.84,552.78,553.37,557.36,562.91,552.44,552.57,553.07,568.15,558.22,551.82,569.79,564.99,570.43,565.95,564.92,572.99,567.93,561.78,550.04,550.56,556.77,559.89,556.12,560.43,553.15
1107,B,False,42.142,44.077,42.341,36.877,43.629,44.273,48.712,54.294,52.628,52.813,52.778,56.712,58.422,59.255,57.64,58.877,61.246,67.433,72.52,72.076,81.652,82.949,85.84,89.866,82.575,82.286,87.747,82.753,79.736,83.862,89.569,91.989,85.277,87.715,81.448,87.847,93.717,92.45,92.303,88.783,85.344,85.59,82.882,81.834,83.301
1108,B,False,202.84,206.32,205.77,211.3,212.71,219.39,227.84,228.69,234.79,233.15,234.23,236.71,238.69,236.94,235.6,232.85,236.65,244.32,243.26,244.98,246.4,244.31,245.69,247.95,252.06,252.17,253.47,254.76,257.43,257.51,258.39,259.74,265.66,264.24,267.08,270.13,273.12,275.26,276.93,279.17,285.12,288.76,292.89,298.1,301.5
1109,B,False,384.94,396.21,397.13,394.14,391.77,396.55,399.69,400.96,404.27,403.88,399.49,399.38,393.63,392.74,395.24,400.76,394.02,394.28,395.87,391.99,392.99,390.85,390.01,392.31,388.59,393.63,393.16,395.03,395.08,392.98,383.68,386.87,386.88,386.75,384.14,388.27,387.75,384.52,383.84,382.09,375.3,370.44,368.41,372.31,372.69
1110,B,True,788.11,787.21,788.37,785.6,787.42,789.39,787.93,789.77,796.12,799.77,801.29,801.42,797.73,799.79,797.09,793.51,795.45,801.6,807.38,809.22,809.73,812.83,816.53,822.7,821.78,824.12,830.45,826.12,826.61,828.26,830.35,836.09,837.52,832.48,834.36,838.17,839.47,835.03,837.22,833.62,832.02,826.74,831.63,839.63,830.09
1111,B,False,90.467,90.44,93.972,93.168,91.112,91.911,93.746,94.276,93.589,94.145,94.646,91.926,90.697,92.674,91.931,93.06,92.287,91.786,94.279,92.675,90.157,89.321,92.379,90.551,88.539,90.475,91.588,92.107,91.885,94.421,94.67,93.371,96.443,97.617,96.44,94.016,94.291,92.539,92.755,94.49,92.726,96.451,98.876,98.813,98.397
1112,B,False,196.69,197.79,199.37,200.25,199.95,203.25,207.08,206.77,206.51,206.95,206.21,206.73,207.01,204.78,202.81,205.21,203.37,202.25,203.67,203.25,204.36,202.52,206.49,203.27,201.19,196.26,196.99,198.28,197.29,196.35,195.63,193.65,194.21,193.85,194.83,196.88,198.98,196.69,200.13,198.12,196.35,196.47,192.31,189.96,189.47
1113,B,False,35.46,35.129,36.455,36.053,36.086,35.116,34.708,32.256,31.694,31.284,32.095,33.022,33.55,33.04,35.145,35.728,34.162,35.032,36.492,38.305,36.545,36.707,36.966,35.224,35.437,35.038,34.893,34.543,33.878,34.465,33.703,32.401,33.809,32.54,31.779,31.835,31.466,31.185,28.233,28.57,28.317,28.468,27.762,26.651,31.413
1114,B,False,53.894,53.686,54.664,56.608,57.338,58.558,58.454,59.132,57.4,58.249,59.282,62.397,64.459,65.264,65.423,66.693,68.58,69.637,68.349,69.034,70.522,70.863,71.929,71.136,72.191,72.661,74.754,76.343,76.967,76.576,77.009,77.133,75.964,76.727,75.762,76.707,77.188,76.954,78.523,77.963,77.77,78.363,79.247,80.009,80.201
1115,B,False,465.35,467.0,466.06,467.25,467.31,469.24,472.79,474.26,473.07,476.79,477.47,481.99,488.66,490.54,489.33,487.45,492.24,497.21,494.8,495.4,497.22,499.27,503.84,510.1,514.45,520.7,517.05,521.52,525.31,523.87,526.42,522.94,527.47,532.31,530.17,533.47,534.41,540.53,540.84,542.9,542.18,541.61,538.67,540.1,537.74
1116,B,False,78.346,78.902,82.007,79.807,80.665,80.785,82.658,81.882,81.891,84.749,83.399,85.21,87.306,88.494,88.06,91.025,91.899,91.413,89.508,87.826,89.327,88.658,90.142,90.839,90.113,90.166,89.699,89.959,91.829,93.264,97.669,93.883,97.576,94.789,93.009,93.861,95.879,94.014,94.727,95.465,96.984,100.21,102.08,107.17,114.18
1117,B,False,410.5,410.15,406.14,407.58,406.71,406.35,410.64,414.43,418.69,401.19,386.5,390.85,384.81,388.56,388.27,370.58,359.68,372.12,374.73,367.5,373.99,364.6,369.18,365.74,362.01,365.36,361.4,357.55,362.65,367.52,360.04,349.95,346.5,358.09,379.03,374.9,378.95,388.47,397.47,391.74,404.0,394.34,391.92,384.92,386.32
1118,B,False,113.84,110.07,108.47,107.46,109.08,107.91,107.65,107.62,105.66,107.23,107.68,107.95,105.55,107.15,105.69,105.17,109.45,107.43,105.82,106.59,107.22,108.7,108.04,105.84,103.66,104.66,104.98,105.4,106.56,102.96,102.52,101.67,98.542,96.964,97.509,98.876,101.4,100.6,102.86,103.39,101.26,105.38,104.46,102.86,101.95
1119,B,False,101.78,106.34,104.82,106.46,112.27,112.42,112.84,115.86,117.83,121.63,122.86,123.22,125.8,124.98,125.82,122.73,126.08,127.29,127.39,126.84,130.74,133.26,128.92,134.86,131.8,133.35,134.89,135.06,134.73,135.24,136.7,138.32,140.08,139.73,137.08,139.78,141.65,140.84,142.43,141.24,144.0,145.66,146.54,149.7,143.81
1120,B,False,432.6,430.77,426.59,427.49,429.41,425.71,430.02,432.31,435.48,438.04,440.33,442.29,440.33,437.69,440.11,446.63,443.43,445.04,446.81,450.79,453.7,454.23,460.78,465.97,455.89,456.94,453.5,460.08,461.16,458.86,461.88,461.45,463.74,462.56,461.28,460.68,462.15,460.0,462.62,461.68,461.51,460.97,460.73,461.65,455.86
1121,B,False,216.05,213.81,213.56,218.28,214.83,211.82,209.2,208.01,207.31,201.55,202.17,202.11,198.44,199.78,197.8,198.99,195.34,198.2,199.55,191.92,190.46,188.04,189.46,188.54,189.73,189.97,189.47,187.5,184.98,185.08,185.19,186.26,187.32,186.68,188.37,195.43,193.03,190.34,186.61,188.27,188.36,188.81,184.6,181.19,183.64
1122,B,False,31.479,32.386,31.914,34.307,37.525,44.843,48.721,51.362,53.174,56.453,56.838,57.467,54.178,56.196,56.122,56.434,56.01,56.336,56.953,57.017,56.584,58.536,60.913,61.914,61.303,62.764,64.204,63.979,65.424,64.065,62.661,64.425,63.522,63.008,63.259,64.466,63.872,64.28,66.111,65.542,66.127,65.41,64.541,63.169,62.303
1123,B,False,345.67,348.72,348.28,346.82,348.11,350.79,355.16,355.08,360.66,359.61,355.63,352.98,359.9,355.83,362.12,362.99,360.1,355.07,362.84,358.63,360.79,368.77,371.57,372.21,370.12,370.79,369.55,376.83,371.58,370.43,376.42,379.22,380.52,376.52,368.32,372.12,363.21,362.39,370.84,367.01,357.14,361.95,362.7,365.55,362.76
1124,B,False,375.93,377.52,376.37,381.85,383.79,385.5,388.52,390.54,393.59,396.38,400.31,400.04,402.65,405.18,404.22,410.76,406.8,410.46,409.71,412.82,414.14,421.36,418.43,418.66,419.28,423.83,428.02,433.29,432.9,431.61,435.59,432.64,433.59,435.34,434.54,438.43,436.73,441.35,439.85,446.95,445.21,443.26,445.71,448.48,454.2
1125,B,False,218.82,220.05,217.46,214.56,216.69,215.13,218.77,219.96,222.38,222.98,225.43,227.39,230.78,233.39,230.75,233.54,235.44,237.28,237.92,239.0,238.15,242.49,243.6,242.22,241.46,238.73,241.64,248.42,244.99,243.92,242.93,247.15,248.61,246.05,248.92,255.86,254.07,254.3,259.3,258.93,259.31,262.24,263.63,264.22,270.31
1126,B,False,220.51,220.6,219.88,221.5,223.04,223.29,226.42,229.93,230.0,232.68,232.19,236.15,236.18,234.32,236.34,237.49,241.11,244.22,244.7,245.18,244.18,245.42,252.64,250.66,250.7,253.37,254.21,256.5,259.41,259.58,261.88,264.62,265.59,268.41,275.24,282.61,283.58,283.5,284.95,288.14,286.01,288.05,289.01,291.34,290.58
1127,B,False,25.693,24.742,24.596,22.911,22.609,23.811,24.113,22.985,21.253,20.873,22.19,22.066,23.31,22.629,24.367,23.72,25.285,22.945,22.483,22.31,22.952,23.325,22.336,21.83,21.399,21.884,22.163,24.567,24.564,24.606,27.449,25.037,25.445,24.547,25.823,26.376,26.071,26.81,26.896,29.548,28.46,30.217,30.974,29.033,30.035
1128,B,True,611.44,613.14,611.39,611.27,614.07,603.03,599.83,597.25,598.05,599.7,603.16,588.26,588.63,578.31,584.2,586.22,588.89,585.03,588.25,578.28,568.4,553.69,553.47,552.11,557.23,565.17,556.98,550.8,550.92,549.35,542.58,542.49,542.94,541.6,534.67,516.26,518.44,519.49,530.72,518.33,510.11,500.81,495.25,492.37,489.0
