,FLARE_TYPE,COINCIDENCE,MEANGBT_1,MEANGBT_2,MEANGBT_3,MEANGBT_4,MEANGBT_5,MEANGBT_6,MEANGBT_7,MEANGBT_8,MEANGBT_9,MEANGBT_10,MEANGBT_11,MEANGBT_12,MEANGBT_13,MEANGBT_14,MEANGBT_15,MEANGBT_16,MEANGBT_17,MEANGBT_18,MEANGBT_19,MEANGBT_20,MEANGBT_21,MEANGBT_22,MEANGBT_23,MEANGBT_24,MEANGBT_25,MEANGBT_26,MEANGBT_27,MEANGBT_28,MEANGBT_29,MEANGBT_30,MEANGBT_31,MEANGBT_32,MEANGBT_33,MEANGBT_34,MEANGBT_35,MEANGBT_36,MEANGBT_37,MEANGBT_38,MEANGBT_39,MEANGBT_40,MEANGBT_41,MEANGBT_42,MEANGBT_43,MEANGBT_44,MEANGBT_45
0,X,False,106.29,107.74,107.87,106.49,106.65,105.73,105.36,103.99,103.29,103.24,102.64,100.88,100.88,100.11,100.46,100.38,100.93,99.903,98.992,97.48,97.381,97.045,96.54,96.246,96.51,97.379,97.845,97.495,98.347,98.059,98.571,99.137,99.473,99.616,99.181,99.728,99.575,99.563,99.921,99.799,98.66,97.742,96.971,96.918,96.086
1,X,False,103.08,102.94,103.1,103.1,103.02,102.44,102.24,101.97,101.79,101.06,100.37,101.45,101.41,101.45,100.95,101.37,101.37,100.52,100.5,100.65,100.96,100.64,100.86,100.53,100.26,99.875,99.113,98.316,98.009,96.996,96.419,94.868,94.585,94.72,93.764,93.445,93.623,93.202,93.932,94.824,95.308,95.175,96.465,97.013,97.004
2,X,False,76.138,75.969,75.88,75.959,76.217,77.439,77.578,77.804,77.877,78.062,78.104,78.079,77.546,78.031,77.53,77.057,76.828,76.833,76.291,76.334,76.409,76.022,75.224,74.953,74.979,74.667,74.242,74.405,73.794,73.87,74.506,74.617,73.976,74.154,73.931,73.919,73.63,73.774,73.584,73.637,74.004,74.577,74.04,75.138,75.133
3,X,False,107.36,107.73,108.28,108.92,108.16,108.67,110.2,110.15,109.49,109.01,108.52,109.94,110.07,109.86,110.1,109.12,109.93,109.81,110.69,110.44,109.28,109.46,108.68,108.96,110.3,110.47,110.18,109.37,110.2,109.48,108.38,107.68,107.64,106.7,107.85,107.79,108.47,109.0,109.89,109.69,111.13,111.87,110.92,111.77,110.45
4,X,True,113.94,113.97,115.28,115.91,116.59,116.14,116.69,116.14,116.92,115.64,115.68,116.86,116.01,117.11,116.75,115.9,116.02,114.58,115.66,115.72,115.84,115.42,115.27,114.28,113.09,114.01,112.88,113.25,112.8,112.15,112.26,111.18,110.34,109.68,107.93,108.49,108.4,108.53,108.8,110.11,110.57,110.96,110.57,110.27,110.28
5,X,False,61.414,61.23,64.155,61.307,64.901,62.493,62.325,62.795,62.523,62.68,63.429,62.868,62.417,62.027,61.408,62.115,62.26,62.13,62.324,61.921,63.138,62.931,63.081,63.52,63.693,63.558,63.566,63.248,64.158,64.537,64.287,65.061,65.635,64.85,64.921,63.902,65.011,64.43,64.91,65.525,65.239,64.128,64.224,64.629,64.035
6,X,True,61.524,60.637,60.188,60.401,59.898,59.937,59.984,60.362,61.66,61.873,62.315,62.235,62.724,63.928,64.16,64.095,64.706,64.675,63.829,64.357,64.432,64.161,63.855,64.606,65.147,64.816,64.364,64.289,65.219,64.756,65.399,64.963,65.261,64.793,65.056,65.152,65.651,65.996,66.759,65.907,68.152,68.118,67.927,68.566,68.816
7,X,False,94.853,94.139,94.239,94.209,94.364,94.397,94.978,95.353,95.959,96.259,96.65,96.842,97.511,98.067,98.682,99.191,99.13,99.461,99.981,100.01,100.03,99.875,99.944,100.01,91.659,98.513,97.549,97.419,97.062,96.97,96.582,96.315,96.558,96.278,96.266,96.397,96.518,96.353,97.181,97.271,97.806,97.744,97.881,98.291,98.351
8,X,False,68.713,68.136,68.034,65.026,68.006,68.01,66.017,69.227,69.124,70.198,69.748,70.676,71.861,72.164,74.201,73.217,73.857,73.158,75.746,73.506,72.069,72.684,70.375,69.764,70.514,71.834,72.103,70.606,72.421,70.152,68.319,68.49,69.23,72.085,71.889,71.149,70.88,72.816,73.673,72.259,71.845,72.649,72.797,72.299,72.361
9,X,True,91.471,92.282,92.539,92.697,93.306,93.369,93.643,93.532,93.753,94.016,93.747,93.066,92.284,92.505,91.498,90.602,89.859,89.233,88.601,88.252,88.295,88.252,87.686,88.017,88.6,88.213,89.003,89.411,89.713,90.033,90.459,91.208,91.009,91.252,91.459,91.109,91.206,90.553,90.308,90.497,90.161,89.626,89.336,88.959,88.505
10,X,False,65.504,64.388,65.018,65.182,64.085,64.1,63.372,63.697,62.528,62.096,62.6,62.566,61.806,61.949,61.742,60.388,60.786,59.987,59.956,63.104,61.231,61.728,62.039,61.455,62.911,61.765,63.097,63.687,64.012,63.261,63.348,65.093,63.1,62.608,62.51,63.129,60.011,59.105,59.53,61.436,59.493,59.621,60.013,60.842,62.002
11,X,False,84.704,84.585,84.913,84.441,84.692,84.852,84.454,84.779,84.69,84.597,85.029,84.838,85.245,85.513,86.154,86.818,87.461,87.488,87.782,88.389,89.148,89.347,89.979,89.382,89.394,90.262,89.36,89.279,89.386,89.024,89.23,89.772,89.676,89.245,88.799,88.241,87.999,88.058,87.223,86.716,86.327,86.748,86.527,86.918,87.088
12,X,False,102.42,101.84,102.62,103.19,103.44,102.61,102.15,101.41,100.67,100.43,99.534,98.487,97.695,97.155,96.905,96.941,96.677,97.225,98.45,99.225,99.456,99.879,100.73,100.73,101.86,101.99,101.87,101.96,101.98,101.99,101.87,101.83,101.73,101.71,101.69,101.61,101.87,101.67,101.33,101.21,101.33,100.9,101.38,101.58,101.48
13,X,False,106.71,107.63,107.76,107.67,108.71,107.8,107.43,107.14,107.21,107.13,107.27,107.17,106.05,104.76,104.84,104.39,104.09,103.83,103.49,103.67,103.23,103.7,104.38,104.56,105.22,105.2,105.62,105.84,105.43,105.44,105.61,105.44,105.86,105.62,106.35,105.61,105.99,105.9,106.14,105.12,105.69,105.58,104.9,104.19,104.18
14,X,False,87.368,87.236,86.531,85.671,85.583,86.164,85.948,85.97,85.783,85.342,85.41,84.949,85.149,84.742,84.243,84.162,84.88,84.692,85.265,85.47,85.123,85.398,85.475,85.331,85.173,85.155,85.035,84.556,84.809,84.102,83.937,82.958,82.619,81.447,80.899,80.18,79.596,79.636,79.287,75.821,78.89,79.043,79.552,79.536,79.132
15,X,False,89.119,89.555,90.135,91.286,91.486,92.299,92.891,93.236,93.062,93.598,94.237,94.136,94.644,93.957,93.45,93.06,92.402,91.536,91.072,90.544,90.2,90.145,89.778,89.8,89.956,90.291,90.284,90.129,90.208,90.308,90.928,90.98,90.67,91.101,91.204,90.937,91.004,91.188,91.251,90.643,90.082,89.962,89.758,89.585,89.646
