,FLARE_TYPE,COINCIDENCE,MEANGBT_1,MEANGBT_2,MEANGBT_3,MEANGBT_4,MEANGBT_5,MEANGBT_6,MEANGBT_7,MEANGBT_8,MEANGBT_9,MEANGBT_10,MEANGBT_11,MEANGBT_12,MEANGBT_13,MEANGBT_14,MEANGBT_15,MEANGBT_16,MEANGBT_17,MEANGBT_18,MEANGBT_19,MEANGBT_20,MEANGBT_21,MEANGBT_22,MEANGBT_23,MEANGBT_24,MEANGBT_25,MEANGBT_26,MEANGBT_27,MEANGBT_28,MEANGBT_29,MEANGBT_30,MEANGBT_31,MEANGBT_32,MEANGBT_33,MEANGBT_34,MEANGBT_35,MEANGBT_36,MEANGBT_37,MEANGBT_38,MEANGBT_39,MEANGBT_40,MEANGBT_41,MEANGBT_42,MEANGBT_43,MEANGBT_44,MEANGBT_45
16,X,False,56.602,57.955,56.461,58.521,58.566,60.371,59.672,60.529,60.487,57.343,59.88,59.36,58.608,61.377,64.907,66.738,67.876,64.552,66.652,69.214,69.674,69.76,68.705,69.689,72.598,72.404,71.887,70.505,70.298,66.632,69.295,64.911,67.573,65.613,67.247,66.103,67.344,67.313,67.482,66.537,66.81,69.189,71.261,68.926,68.895
17,X,False,76.026,76.789,75.84,78.22,77.412,78.424,78.534,79.841,80.524,80.767,81.452,83.538,84.206,86.004,85.197,86.932,89.167,88.415,90.455,90.445,91.839,91.082,92.715,93.306,93.392,92.561,94.139,93.097,92.297,90.758,91.168,90.36,90.506,89.179,88.126,88.408,88.722,89.591,89.857,90.217,90.154,91.249,92.784,93.052,93.874
18,X,False,62.628,59.165,59.882,61.884,63.221,61.692,64.79,63.605,66.651,66.868,67.19,70.835,68.171,66.386,64.527,69.595,68.312,67.041,67.089,69.588,67.631,66.669,65.876,66.123,66.294,67.466,63.545,65.651,67.219,63.452,68.488,64.141,62.984,66.012,64.289,63.785,63.705,63.585,63.582,63.037,62.95,63.567,60.993,59.642,62.027
19,X,False,62.921,65.513,62.373,66.268,62.911,63.009,62.693,63.244,64.858,65.165,62.543,63.222,63.325,62.987,63.221,64.932,64.259,64.971,65.922,65.144,65.372,67.547,64.86,64.387,64.784,64.544,64.269,64.057,64.61,63.888,64.102,64.717,64.292,63.905,64.593,65.264,64.168,63.889,64.748,64.598,64.264,63.939,64.48,64.16,64.413
20,X,True,89.346,89.352,89.94,90.32,90.509,90.673,90.924,91.198,91.335,91.206,91.344,90.561,90.392,90.104,89.522,88.917,88.126,87.756,87.407,87.168,87.08,86.933,86.932,87.157,87.267,87.516,87.805,88.368,88.929,89.479,89.884,89.856,90.133,89.772,90.168,89.861,89.942,89.078,89.462,89.042,88.385,87.931,87.255,86.761,86.248
21,X,False,92.152,91.738,91.96,92.174,92.274,92.875,93.618,94.613,95.073,96.005,96.392,97.785,98.182,99.378,100.46,101.35,102.13,102.53,102.7,102.71,102.95,102.72,101.75,101.11,101.25,100.87,100.61,100.26,99.513,99.449,99.235,99.223,99.329,98.686,98.56,98.439,98.67,98.912,98.545,99.139,98.607,98.771,99.328,100.09,100.36
22,X,True,101.87,101.1,100.48,99.951,100.41,100.88,101.84,101.54,102.2,103.84,106.25,107.99,108.59,109.16,110.16,111.04,110.4,110.27,109.24,108.18,107.06,105.19,104.18,103.97,103.44,103.55,102.98,102.61,103.39,104.22,104.66,105.49,105.21,106.02,106.81,107.55,107.61,107.28,107.28,108.06,108.44,108.67,107.91,108.1,108.18
23,X,False,107.81,80.454,75.822,67.936,96.794,61.802,55.009,47.013,41.911,39.255,40.577,41.174,42.094,41.454,45.182,44.553,46.047,51.136,53.674,59.555,62.242,72.684,59.726,57.272,58.305,56.227,55.117,56.157,53.131,51.954,50.48,49.6,60.653,49.552,48.498,47.472,49.041,48.031,49.487,50.022,49.746,51.106,50.964,51.648,52.822
24,X,True,102.34,104.1,103.44,104.08,103.95,103.72,104.19,105.17,104.46,105.19,106.82,106.68,106.78,107.15,107.99,107.06,107.19,106.78,106.22,106.06,106.21,104.84,104.43,103.73,104.47,103.82,103.1,103.07,102.72,102.0,101.76,102.85,102.64,101.5,102.46,103.22,103.37,104.46,105.1,107.06,107.52,107.83,108.09,109.36,110.01
25,X,True,107.99,107.06,107.19,106.78,106.22,106.06,106.21,104.84,104.43,103.73,104.47,103.82,103.1,103.07,102.72,102.0,101.76,102.85,102.64,101.5,102.46,103.22,103.37,104.46,105.1,107.06,107.52,107.83,108.09,109.36,110.01,109.56,109.8,108.84,107.66,107.06,105.51,104.07,103.9,103.05,102.78,103.5,102.43,103.67,104.11
26,X,False,69.594,68.885,70.983,68.916,69.77,73.111,72.975,71.731,74.264,73.186,67.915,69.035,67.306,68.14,67.199,64.581,63.723,65.465,65.061,65.724,63.897,64.824,66.499,70.347,66.875,67.263,66.119,69.306,66.025,64.625,67.867,67.084,69.939,71.903,75.42,69.918,67.817,76.413,73.388,76.887,76.881,74.119,75.297,79.61,79.887
27,M,False,113.81,112.0,112.6,111.07,110.77,111.61,112.09,112.8,111.99,112.04,113.35,113.17,116.44,118.55,117.58,115.78,116.61,119.15,119.24,117.24,116.37,116.96,116.73,130.16,110.32,113.16,113.5,112.92,111.52,110.48,109.12,109.36,109.66,107.8,106.81,108.79,107.76,107.18,105.84,107.83,108.4,109.04,110.97,110.27,111.12
28,M,False,111.54,104.84,106.7,110.39,102.51,109.98,105.72,99.362,99.155,99.678,99.936,97.011,103.95,99.425,103.99,105.15,109.21,96.935,103.51,97.304,97.962,93.45,102.88,102.07,98.703,101.47,95.44,97.27,92.574,95.052,96.03,91.54,93.847,95.526,94.837,101.67,94.941,96.131,100.67,98.947,98.307,101.51,110.69,96.932,93.117
29,M,False,90.047,89.587,89.979,90.406,89.803,90.886,90.846,91.796,92.975,93.399,92.924,93.337,93.446,94.417,95.261,95.435,95.131,94.247,94.673,94.823,95.303,94.776,94.805,94.222,93.933,94.021,93.177,92.841,92.064,91.901,91.866,91.773,91.419,91.654,91.121,91.454,90.538,91.391,92.637,92.142,92.738,92.745,92.893,92.338,92.893
30,M,True,67.385,45.351,61.829,46.819,46.295,45.597,46.036,47.779,48.049,69.956,49.359,49.675,49.948,54.142,49.319,51.384,52.694,53.157,51.313,51.225,51.487,53.249,54.275,52.833,54.466,55.947,52.246,48.987,52.069,52.992,51.296,53.688,68.394,53.572,52.169,54.771,55.306,56.495,59.86,57.224,60.146,62.598,61.746,58.336,59.414
31,M,False,78.045,77.878,78.557,77.51,78.083,77.436,75.891,75.843,75.082,74.49,75.12,74.647,75.145,75.285,75.643,77.048,77.51,78.115,80.193,81.687,80.399,81.348,81.853,80.993,81.638,81.859,82.08,81.827,81.426,79.432,81.742,79.869,80.203,79.979,80.116,79.13,79.415,78.358,78.596,78.325,79.245,79.863,79.515,79.805,79.517
32,M,False,63.136,61.379,61.43,60.232,61.319,60.162,62.005,61.38,60.717,60.608,60.142,59.959,59.743,60.668,60.626,63.874,59.758,60.275,59.921,59.144,60.242,60.209,61.387,65.274,60.022,59.814,59.885,59.07,59.562,58.315,57.685,61.697,55.811,56.709,55.848,54.459,54.067,53.502,56.632,54.126,54.061,52.707,52.691,54.763,55.875
33,M,False,86.358,84.182,85.246,84.591,84.477,86.209,85.474,86.22,85.812,85.223,85.536,87.015,84.344,83.196,83.863,83.763,84.875,86.103,86.046,88.386,88.673,89.712,89.261,89.883,90.043,90.587,91.204,91.18,89.833,91.049,89.361,86.305,84.459,84.476,84.114,85.024,83.391,81.034,81.465,82.027,86.958,82.798,82.727,83.606,84.553
34,M,True,119.08,121.23,119.25,119.25,120.6,122.77,123.08,122.14,121.43,122.84,125.96,125.98,125.99,123.01,120.16,119.59,117.89,117.23,115.82,116.28,115.59,114.15,113.31,112.89,113.0,112.48,115.22,116.89,116.98,116.94,116.87,118.51,118.72,118.32,119.59,120.66,118.74,118.23,118.2,117.3,117.65,117.88,119.05,120.03,120.29
35,M,True,104.17,104.87,107.05,108.17,108.73,108.08,108.71,108.93,108.32,107.98,108.09,107.44,106.71,105.93,104.57,103.52,102.57,102.36,101.52,100.54,101.01,101.12,101.72,101.9,102.84,103.19,103.55,104.46,104.14,105.57,105.99,106.2,106.52,106.68,107.18,106.92,108.02,108.55,108.51,107.71,108.07,106.27,106.29,107.74,107.87
36,M,False,112.64,111.58,111.18,110.34,108.06,106.95,105.56,104.23,103.44,102.84,102.68,103.03,103.62,102.7,103.3,104.19,104.66,105.28,106.91,107.64,107.57,107.12,107.6,108.01,108.17,107.47,108.44,107.75,107.95,108.46,109.52,108.72,107.36,108.57,108.75,109.63,111.3,109.49,109.17,108.38,107.87,107.51,106.85,106.38,106.78
37,M,False,92.424,92.638,92.754,92.459,92.826,92.668,92.895,94.041,94.181,93.943,94.708,95.118,95.346,95.582,96.206,96.334,96.687,96.542,96.921,96.62,96.296,96.475,95.985,95.128,94.547,92.7,92.548,92.703,93.066,93.535,93.616,94.343,95.209,95.317,96.51,97.218,97.792,98.152,99.147,100.42,100.53,100.08,99.735,99.508,99.119
38,M,True,100.82,101.4,100.75,100.68,100.99,102.06,101.62,101.35,101.33,100.83,100.11,100.38,100.47,101.55,101.67,101.33,101.37,100.65,100.38,100.93,100.76,100.67,101.23,102.15,102.67,102.14,102.11,102.54,102.85,102.76,102.32,102.64,101.95,101.82,101.94,101.99,101.11,100.4,99.403,97.856,97.746,96.653,95.765,94.393,94.604
39,M,True,108.01,108.05,107.38,107.15,107.34,107.74,107.7,108.13,108.91,108.95,108.65,108.44,108.34,109.07,109.66,109.77,110.27,109.46,110.61,110.24,110.63,108.67,109.78,110.27,109.4,108.76,108.35,109.36,108.99,109.31,107.95,108.46,108.54,108.4,108.96,110.1,111.47,111.4,113.63,114.88,115.56,115.73,116.29,116.31,117.75
40,M,False,101.33,101.37,100.65,100.38,100.93,100.76,100.67,101.23,102.15,102.67,102.14,102.11,102.54,102.85,102.76,102.32,102.64,101.95,101.82,101.94,101.99,101.11,100.4,99.403,97.856,97.746,96.653,95.765,94.393,94.604,95.123,94.694,94.766,95.373,96.484,97.035,97.9,98.005,98.019,98.146,98.209,98.767,99.052,99.114,99.083
41,M,False,110.61,110.24,110.63,108.67,109.78,110.27,109.4,108.76,108.35,109.36,108.99,109.31,107.95,108.46,108.54,108.4,108.96,110.1,111.47,111.4,113.63,114.88,115.56,115.73,116.29,116.31,117.75,116.45,115.5,113.5,113.12,113.43,112.11,110.23,110.03,108.78,108.84,109.75,108.01,108.76,109.17,110.25,110.64,112.17,112.91
42,M,False,108.78,108.84,109.75,108.01,108.76,109.17,110.25,110.64,112.17,112.91,113.38,115.91,117.35,117.47,118.0,118.93,119.14,121.0,120.81,120.7,120.63,119.34,119.46,120.77,122.16,122.02,122.55,122.97,122.52,123.43,122.02,121.75,121.27,120.81,120.98,120.29,119.22,119.39,119.39,119.51,118.14,117.75,116.41,115.62,116.72
43,M,False,77.344,78.573,76.675,77.148,77.601,78.267,77.602,77.943,78.243,78.44,77.935,78.088,77.912,78.364,79.546,79.258,79.645,79.64,80.038,79.365,79.863,79.915,79.572,79.681,80.21,80.587,80.521,80.271,80.777,81.671,82.854,83.602,84.519,84.548,85.04,84.941,84.501,83.739,84.848,84.952,84.002,83.233,82.591,81.726,81.749
44,M,True,100.19,100.08,100.2,99.919,98.815,98.462,98.236,97.163,95.549,94.662,93.916,93.561,93.15,93.104,93.524,93.541,93.323,93.977,94.076,94.41,95.417,96.157,96.286,96.176,96.329,96.087,96.224,96.212,96.075,95.606,95.033,94.829,94.741,94.851,94.315,93.903,93.223,93.134,92.982,92.184,91.952,91.995,91.402,91.562,91.743
45,M,True,99.276,99.433,98.471,98.854,99.997,99.606,100.14,100.25,99.932,100.3,101.03,100.08,100.29,99.609,98.989,98.88,99.42,98.614,98.588,97.969,97.462,97.929,97.747,97.212,97.53,96.916,95.859,94.789,94.624,94.991,95.21,94.526,94.437,94.55,94.799,94.792,95.165,95.411,94.56,95.512,95.861,95.286,94.803,94.239,93.956
46,M,False,93.541,93.323,93.977,94.076,94.41,95.417,96.157,96.286,96.176,96.329,96.087,96.224,96.212,96.075,95.606,95.033,94.829,94.741,94.851,94.315,93.903,93.223,93.134,92.982,92.184,91.952,91.995,91.402,91.562,91.743,91.742,91.354,92.013,92.316,92.422,92.444,93.331,93.566,93.578,93.294,93.286,93.679,93.064,93.605,93.363
47,M,False,96.157,96.286,96.176,96.329,96.087,96.224,96.212,96.075,95.606,95.033,94.829,94.741,94.851,94.315,93.903,93.223,93.134,92.982,92.184,91.952,91.995,91.402,91.562,91.743,91.742,91.354,92.013,92.316,92.422,92.444,93.331,93.566,93.578,93.294,93.286,93.679,93.064,93.605,93.363,92.891,92.109,92.046,91.269,91.3,90.639
48,M,False,92.878,91.464,92.036,92.618,93.863,94.246,93.71,93.426,93.556,93.543,93.082,92.991,92.352,93.22,93.806,93.26,92.97,93.536,93.056,93.304,94.099,94.998,95.475,96.016,96.557,97.129,97.812,97.637,97.683,97.666,96.934,96.99,95.468,94.228,94.276,93.322,93.353,93.075,92.786,92.851,93.366,92.807,93.716,94.389,93.872
49,M,False,90.267,90.818,91.233,92.106,93.207,93.359,93.29,93.089,92.847,92.074,91.326,90.362,89.432,88.578,87.935,87.171,86.86,86.291,85.647,85.075,84.939,84.446,84.346,84.527,84.83,84.544,84.202,83.854,83.971,84.467,84.248,83.969,83.919,84.021,83.977,84.262,84.751,84.594,84.781,85.009,85.471,86.146,86.511,87.164,87.627
50,M,True,86.909,86.037,85.035,84.863,84.351,84.727,83.921,83.086,84.321,84.002,85.052,84.182,84.149,84.137,84.69,85.158,84.899,84.361,84.058,84.008,83.946,85.116,83.681,83.52,83.8,83.1,83.036,82.851,82.494,82.554,82.587,82.4,81.663,81.016,82.532,82.754,82.589,83.745,83.76,84.973,85.039,84.676,84.779,84.496,84.633
51,M,False,83.52,83.8,83.1,83.036,82.851,82.494,82.554,82.587,82.4,81.663,81.016,82.532,82.754,82.589,83.745,83.76,84.973,85.039,84.676,84.779,84.496,84.633,84.675,85.193,84.638,83.333,82.003,81.376,80.542,80.934,80.73,80.171,79.702,78.991,79.542,79.113,80.373,80.159,80.703,81.311,81.125,80.277,79.536,80.689,79.142
52,M,False,80.277,79.536,80.689,79.142,77.488,78.945,77.137,76.463,76.524,77.06,75.774,75.106,76.26,76.457,76.683,74.198,73.354,73.094,73.068,73.086,72.823,71.977,71.53,71.68,71.869,72.409,71.873,71.409,71.157,69.726,69.833,69.462,69.262,68.963,68.001,67.045,67.314,67.935,66.793,66.812,67.889,67.549,67.85,68.155,69.243
53,M,False,66.793,66.812,67.889,67.549,67.85,68.155,69.243,69.524,72.147,71.504,71.427,70.038,73.051,72.394,70.988,70.967,70.8,70.578,71.507,73.254,67.275,60.516,68.849,68.531,67.477,68.969,67.901,68.823,68.978,67.087,66.988,69.808,70.154,64.995,66.331,64.753,64.844,65.487,63.817,63.243,62.65,62.909,60.786,63.409,60.647
54,M,False,72.147,71.504,71.427,70.038,73.051,72.394,70.988,70.967,70.8,70.578,71.507,73.254,67.275,60.516,68.849,68.531,67.477,68.969,67.901,68.823,68.978,67.087,66.988,69.808,70.154,64.995,66.331,64.753,64.844,65.487,63.817,63.243,62.65,62.909,60.786,63.409,60.647,60.955,61.605,61.129,59.351,59.423,57.862,58.661,58.945
55,M,True,91.572,91.201,91.798,92.421,92.902,92.533,92.639,93.277,94.215,94.154,94.392,94.648,95.093,95.075,94.706,94.938,94.874,95.169,94.766,94.2,94.273,94.068,93.797,93.472,92.923,92.841,92.528,92.483,93.364,93.549,93.127,94.215,95.303,95.789,96.55,96.696,97.556,98.559,98.613,98.636,98.816,98.224,98.67,97.859,97.571
56,M,False,95.075,94.706,94.938,94.874,95.169,94.766,94.2,94.273,94.068,93.797,93.472,92.923,92.841,92.528,92.483,93.364,93.549,93.127,94.215,95.303,95.789,96.55,96.696,97.556,98.559,98.613,98.636,98.816,98.224,98.67,97.859,97.571,96.285,95.921,95.111,93.636,93.386,94.305,95.338,94.991,95.484,96.348,96.557,96.708,98.118
57,M,True,104.69,106.64,107.13,108.93,109.15,109.25,110.56,111.15,109.98,109.49,109.4,108.3,107.96,107.25,106.45,105.15,104.56,103.9,103.41,102.7,101.48,101.82,101.03,100.55,100.91,100.74,101.17,100.58,101.11,100.12,99.848,99.99,100.94,100.89,100.7,101.47,100.9,100.39,99.982,101.1,101.2,101.35,101.9,103.21,104.06
58,M,False,70.459,71.13,71.492,71.089,71.227,71.143,71.705,72.289,71.86,72.346,72.899,73.332,74.221,74.382,74.657,75.184,75.64,76.295,76.134,76.302,76.388,76.516,76.083,76.013,75.43,74.999,74.634,74.79,74.561,74.636,75.127,75.872,76.776,76.851,77.553,78.502,79.105,79.065,79.751,80.136,80.757,80.773,80.547,80.292,79.428
59,M,False,123.26,122.44,121.33,120.72,118.68,117.12,115.91,115.4,115.13,115.54,115.38,115.28,117.96,118.61,119.92,120.9,121.52,122.51,123.99,124.08,125.18,126.52,127.48,126.52,126.52,126.34,125.9,124.56,123.64,123.08,121.33,120.28,119.57,120.54,119.32,119.4,119.89,120.01,120.3,120.47,121.12,120.62,121.39,121.81,121.66
60,M,True,90.686,91.956,92.865,93.057,93.331,94.313,94.072,92.976,92.607,92.134,91.2,90.618,90.468,89.034,88.381,88.143,87.439,86.682,87.56,87.399,88.259,88.394,89.614,89.781,90.661,91.847,92.034,92.772,92.699,92.476,91.416,92.33,92.113,92.585,93.064,92.946,93.048,93.047,92.758,93.039,93.346,93.882,94.27,94.051,94.102
61,M,False,90.597,90.743,90.636,91.151,90.942,91.33,91.5,92.578,93.915,94.799,95.121,96.493,96.224,97.124,97.758,98.294,97.788,97.563,97.555,96.683,95.347,94.837,93.978,93.439,92.901,92.523,92.177,92.309,92.148,92.382,92.686,93.716,93.386,93.767,93.706,94.602,95.152,95.04,95.665,95.653,95.945,96.204,96.048,96.413,96.913
62,M,True,69.665,66.091,71.003,70.701,69.666,68.329,66.131,66.437,65.7,66.707,64.858,65.495,64.72,67.751,66.039,67.732,66.207,68.042,71.091,67.098,72.103,67.502,68.547,71.114,67.711,72.914,67.835,69.795,66.261,68.161,72.914,72.114,66.198,73.903,68.498,68.066,73.809,70.814,72.982,69.323,70.65,68.949,69.969,72.116,69.951
63,M,False,70.937,73.007,73.495,71.475,74.852,72.009,70.947,75.294,71.056,72.871,72.881,70.788,72.135,70.467,72.005,71.458,72.415,72.942,72.966,71.582,72.838,73.29,71.997,72.79,76.271,72.556,73.026,74.253,75.142,74.873,72.18,74.124,73.368,74.739,74.144,75.861,75.077,74.257,74.901,75.151,76.132,75.264,76.743,77.844,77.625
64,M,False,111.78,109.71,109.71,109.52,109.83,109.95,110.77,110.2,110.44,110.42,111.16,111.55,111.92,111.76,110.6,111.51,112.53,112.06,112.89,113.5,114.33,113.93,114.19,114.69,113.98,113.92,113.96,113.95,113.75,114.11,115.16,115.57,115.85,115.57,116.59,115.95,115.49,115.02,114.58,114.39,114.54,114.85,114.19,114.54,114.48
65,M,False,53.094,50.354,52.427,55.837,52.659,57.753,55.666,54.578,54.572,57.758,55.227,52.679,50.814,55.942,50.076,54.104,51.566,53.098,50.81,59.835,54.056,52.972,54.256,50.062,53.325,52.519,50.327,56.31,53.008,48.507,52.43,48.952,50.153,51.242,54.079,52.311,49.502,52.401,49.233,51.47,50.111,51.819,52.366,52.491,50.467
66,M,False,106.79,105.76,105.19,105.08,105.04,105.27,105.08,104.69,104.38,104.69,104.44,104.54,105.28,104.23,105.38,106.18,105.85,105.32,108.07,109.91,111.07,112.69,113.14,113.4,113.34,113.68,113.91,115.16,115.29,114.91,115.92,115.95,115.58,114.18,113.01,113.22,111.4,110.16,109.64,110.04,110.59,110.07,109.03,108.5,108.75
67,M,False,92.425,92.539,92.518,92.298,92.712,93.575,94.068,94.915,95.498,95.605,95.445,96.32,97.226,97.514,98.056,98.396,99.029,100.04,99.638,100.69,100.62,100.4,100.72,100.9,102.34,100.96,101.29,100.03,100.26,100.55,100.22,99.813,99.048,98.652,98.167,98.513,99.002,99.113,100.12,100.8,100.72,100.91,101.6,102.33,102.26
68,M,True,106.84,107.48,109.11,109.13,110.48,110.6,111.11,111.09,111.72,111.13,110.6,110.68,111.86,110.98,111.26,110.94,110.4,109.01,107.96,107.68,106.35,106.65,105.61,105.37,105.88,106.23,106.69,107.54,107.54,108.73,109.63,109.43,110.35,110.05,110.71,110.76,111.27,110.78,110.11,109.69,110.18,109.71,110.4,110.44,111.05
69,M,True,110.54,110.94,111.13,111.6,111.74,111.68,111.3,110.78,110.67,111.15,110.85,110.75,111.3,111.49,110.95,111.0,112.02,112.79,111.29,112.08,113.19,112.9,113.14,112.73,112.83,112.96,112.93,112.61,112.6,112.38,111.94,111.21,111.58,111.01,109.37,108.02,107.28,107.63,107.54,107.45,107.48,107.19,107.59,107.47,108.41
