,name,parameter,tss,mac,ssw,csw
32,KNN,MEANPOT,0.385725585,0.688625222,0.053928992,0.684241249
33,LR,MEANPOT,0.383296285,0.701483491,-0.081016948,0.868688492
34,RFC,MEANPOT,0.329444226,0.675613087,0.012361296,0.637138271
35,SVM,MEANPOT,0.123160728,0.563983199,-0.587254811,0.796113789
36,KNN,MEANSHR,0.197374054,0.605482814,-0.225923067,0.625853899
37,LR,MEANSHR,0.048047233,0.528020269,-0.843984114,0.956460818
38,RFC,MEANSHR,0.168444995,0.594788222,-0.191965741,0.5663946
39,SVM,MEANSHR,0.262946692,0.649500397,-0.244542767,0.770235653
40,KNN,R_VALUE,0.681760378,0.83325026,0.488092655,0.860734248
41,LR,R_VALUE,0.696845321,0.85630425,0.54087022,0.847396384
42,RFC,R_VALUE,0.635268475,0.829503359,0.465708354,0.810795921
43,SVM,R_VALUE,0.67652899,0.839739557,0.50944161,0.863529171
44,KNN,SAVNCPP,0.554092274,0.797367116,0.292020895,0.835195104
45,LR,SAVNCPP,-0.016454174,0.50480269,0.855808057,-0.888523548
46,RFC,SAVNCPP,0.505521078,0.764107382,0.257192379,0.758614689
47,SVM,SAVNCPP,0.032866568,0.521268622,-0.950775931,1.000660379
48,KNN,SHRGT45,0.255012746,0.645862644,-0.122362325,0.630644067
49,LR,SHRGT45,0.174034053,0.588520468,-0.445856953,0.825031401
50,RFC,SHRGT45,0.234018899,0.615654056,-0.140525325,0.606492821
51,SVM,SHRGT45,0.218836876,0.624892475,-0.375355587,0.831595358
52,KNN,TOTPOT,0.563699806,0.784454634,0.326093077,0.820657555
53,LR,TOTPOT,0.002672206,0.516009414,-0.996866026,1.022461442
54,RFC,TOTPOT,0.565558287,0.795364489,0.330858565,0.78202289
55,SVM,TOTPOT,0.022688433,0.527252502,-0.961043223,1.005861522
56,KNN,TOTUSJH,0.680724482,0.83373124,0.486056865,0.865852582
57,LR,TOTUSJH,0.66811523,0.840728203,0.38621374,0.951768963
58,RFC,TOTUSJH,0.606638764,0.820038612,0.432116754,0.791909752
59,SVM,TOTUSJH,0.676409709,0.836271324,0.469323696,0.867696481
60,KNN,TOTUSJZ,0.629009588,0.816546787,0.418404845,0.862283213
61,LR,TOTUSJZ,-0.017977051,0.502209739,0.865984093,-0.866312341
62,RFC,TOTUSJZ,0.552417906,0.777857535,0.328545289,0.769246446
63,SVM,TOTUSJZ,0.042761994,0.519012311,-0.946245611,1.003727221
64,KNN,USFLUX,0.605105529,0.813950845,0.358479682,0.826399389
65,LR,USFLUX,0.003104281,0.514275559,-0.978964976,1.001849435
66,RFC,USFLUX,0.572832791,0.799960259,0.349556703,0.770007842
67,SVM,USFLUX,0.024778792,0.519344732,-0.959765246,0.99679366
68,KNN,d_l_f,0.474712481,0.739504892,0.232819124,0.700517263
69,LR,d_l_f,0.203904591,0.599389208,-0.45353144,0.856864046
70,RFC,d_l_f,0.481738428,0.763074441,0.296297722,0.679884384
71,SVM,d_l_f,0.396741787,0.705817188,0.071165395,0.730160813
72,KNN,g_s,0.639917905,0.834169651,0.457163753,0.84784572
73,LR,g_s,0.504955295,0.763635859,0.887519594,0.124164043
74,RFC,g_s,0.610332463,0.800755079,0.398485706,0.798593408
75,SVM,g_s,0.692686312,0.865694871,0.708127459,0.688245416
76,KNN,slf,0.322720242,0.668263517,0.021510982,0.656911397
77,LR,slf,0.014123328,0.52465667,-0.963235206,0.995134938
78,RFC,slf,0.32103109,0.675430721,0.026912479,0.597750619
79,SVM,slf,0.394226294,0.69775169,0.053816906,0.740108482
